DesiredFlux,1.109,HitTime,1715787058.9519436,DesiredPos,0.52531403303146362 -0.3081667423248291  0.1983610987663269
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715787058.4128833, 0.55959223661367996   1.0798213278235167 -0.13481923456048367  -1.4930264969249218  -1.0541045234616253   1.6938785709834026  -0.5966761622196638,  0.0017932692667548247 -4.0389510161058283e-07 -6.2031675698948579e-05 -2.9367821226697266e-05 -1.7333333013578085e-07 -5.5471904805163388e-06  0.00013761283494596595,-2.0627428741455081  67.257763290405279  5.4805061302185063 -13.543315982818603  1.4077194786071776 -2.0605828628540039 0.14418072509765625,  2.0900671000362232   2.2924846291355951  -1.4557632203369089   1.0021189798942189 -0.91177293021939487   0.1078386122316643   1.7980187740862434,  0.5224839448928833 0.034044302999973297  0.21055610477924347, 0.52398890256881714 -0.50490981340408325  0.47382760047912598  0.49597296118736267,-7.1941634814720601e-05    0.000950910325627774  8.0391855590278283e-06,0.0033505100291222334   -1.6111665964126587 -0.014440912753343582,  0.25135126709938049 -0.015693694353103638  0.063922218978404999 -0.015693694353103638   0.23648634552955627  0.023811791092157364  0.063922218978404999  0.023811791092157364   0.17775221168994904, 0.56104100312470706 -0.45618345129305737  0.90163868850456907  0.43473762399859339 -0.10168595075743525 0.084720390498560505                    0,0.00065639789681881666
IIWA_14,1715787058.4178832, 0.55959870807638024   1.0798213278235167 -0.13481977386722252  -1.4930262572693989  -1.0541045234616253   1.6938788106389255 -0.59667556302631497,   0.001693473921414855  -3.231160812884663e-07  -7.119761011317434e-05 -1.3908036062069078e-05 -1.3866666410862468e-07  5.1484685348756638e-06  0.00013405800190985137,-2.1167548446655275  67.242331298828134  5.4374901390075685 -13.505676990509032  1.3971549797058105 -2.0549090843200681 0.14551573181152344,  2.0907165765829383    2.296430250755058  -1.4533702282612848    1.006903609000535 -0.91346231974775771  0.10299542835518899   1.7979426678793899, 0.52248376607894897 0.034048017114400864  0.21055617928504944,  0.5239904522895813 -0.50490808486938477  0.47382965683937073  0.49597108364105225,-6.4439642301294953e-05  0.00090929085854440928   9.618607691663783e-06,0.0033509575296193361   -1.6111660003662109 -0.014441017061471939,  0.25135147571563721 -0.015693577006459236  0.063922077417373657 -0.015693577006459236   0.23648613691329956  0.023812228813767433  0.063922077417373657  0.023812228813767433   0.17775224149227142,   0.56103786331007655   -0.45619788686224183    0.90164704780626437    0.43474881723071235   -0.10167600151156364   0.084727734834366686 1.7763568394002505e-12,0.00062746257754042745
IIWA_14,1715787058.4228809, 0.55960422080790573   1.0798212679369068  -0.1348210920271401   -1.493025657966967  -1.0541045234616253   1.6938785110967927 -0.59667496383296614,  0.0015752883981515699 -2.6539572607632337e-06 -0.00010968448479371272   1.284566842645956e-05 -1.1093333128689975e-07 -7.8629104871206651e-06  0.00013121413548095972, -2.170766815185547  67.188319328308111  5.4106051445007326 -13.477447746276855  1.4024372291564942 -2.0575790977478028 0.14284571838378907,-58.248912354738827  9.1200719827917904 -43.912863609026473 -20.776276824721194 -2.1783684307308935  2.6725532998499988  1.7978407103826444, 0.52248364686965942 0.034051250666379929  0.21055637300014496, 0.52399158477783203 -0.50490665435791016  0.47383156418800354   0.4959695041179657,-5.6589036830700934e-05  0.00085666251834481955  1.5311212337110192e-05,0.0033513207454234362   -1.6111655235290527 -0.014441025443375111,  0.25135159492492676 -0.015693482011556625  0.063921965658664703 -0.015693482011556625   0.23648595809936523  0.023812614381313324  0.063921965658664703  0.023812614381313324   0.17775227129459381,    0.5610353224696496   -0.45621057578415503    0.90165443940559697    0.43475877887466652    -0.1016672663958218    0.08473349118176543 8.8817841970012523e-13,0.00059101346414536238
IIWA_14,1715787058.4278822, 0.55960913434608239   1.0798211480546038 -0.13482288971626966  -1.4930253584248341  -1.0541045234616253   1.6938785110967927 -0.59667406498840148,   0.001456772245587863 -6.9184579275526164e-06 -0.00015965515301724222  2.2258220056188843e-05 -8.8746665029519809e-08 -6.2903283896965322e-06  0.00014092509097146292,-2.2247787857055665   67.15231134796143   5.374310401916504 -13.441153003692627  1.3971549797058105 -2.0529065742492674 0.14184446334838868,-58.246634591748666   9.120182112433918 -43.911017426431442 -20.776049920257911 -2.1780668073162137  2.6725324594554598  1.7976401227204302, 0.52248376607894897 0.034053780138492584  0.21055670082569122, 0.52399235963821411 -0.50490564107894897  0.47383338212966919  0.49596795439720154,-3.8748148654121906e-05  0.00078651460353285074  2.5086796085815877e-05,0.0033515668474137783   -1.6111650466918945 -0.014441262930631638,  0.25135162472724915 -0.015693381428718567  0.063921943306922913 -0.015693381428718567   0.23648583889007568  0.023812860250473022  0.063921943306922913  0.023812860250473022   0.17775239050388336,    0.5610322785418731   -0.45621971218956503    0.90165800131547513    0.43476602726766345   -0.10165991486044135   0.084738255187843947 2.6645352591003757e-12,0.00054228369845077395
IIWA_14,1715787058.432884, 0.55960541930368646    1.079824144130431 -0.13483996721758504  -1.4930423760395395  -1.0541069203222873   1.6938906151733215 -0.59667346579505265,  0.0010168161006328768  0.00011430826674638716 -0.00081082417502908685 -0.00066289801217127883  -9.594542380987244e-05  0.00047913079844230649  0.00013670780673024895, -2.088462860107422  67.008279426574717  5.5759478607177737 -13.140041065216064  1.4306092262268066 -2.0879505004882812 0.14518198013305664,-58.244040116136347  9.1202454930605352 -43.908843168113194 -20.775618963823757 -2.1778227850485146   2.672293664700915  1.7974139872684496, 0.52248388528823853 0.034055769443511963  0.21055717766284943, 0.52399259805679321 -0.50490486621856689  0.47383522987365723  0.49596676230430603,-2.7034517188440077e-05  0.00070879963459447026  3.9300757634919137e-05,0.0033517749980092049    -1.611164927482605 -0.014441779814660549,  0.25135159492492676 -0.015693275257945061   0.06392195075750351 -0.015693275257945061   0.23648576438426971  0.023813037201762199   0.06392195075750351  0.023813037201762199   0.17775247991085052, 0.56102881300112983 -0.45622690305968661  0.90165951912091202  0.43477166204386464 -0.10165339433942933 0.084740902775770621                    0,0.00048896519001573324
IIWA_14,1715787058.4378843, 0.55944177472410861    1.079868665516154 -0.13523874233582533   -1.493436057741607  -1.0541590756472587   1.6941398270283889 -0.59667232729496489,-0.0057323303026076385  0.0018723020423160358  -0.016599664069635131  -0.016277586492439017 -0.0021629693379075915   0.010351778841451154 0.00015490624889462392, 6.5585964202880866  63.178573516845709  11.872413574218751  -6.098861003875732  1.3548969841003418 -3.1249169654846192 0.22828614807128905,  -58.2216666847414  9.1142469942457396 -43.889475307412248 -20.762465457813182 -2.1793682701309982  2.6636355638579929  1.7988947867147984, 0.52247858047485352 0.034044109284877777  0.21056041121482849, 0.52398169040679932 -0.50489938259124756   0.4738369882106781  0.49598217010498047,-0.00023299215536098927  0.00010065967944683507  0.00016060852794907987,0.0033517249394208193   -1.6111648082733154 -0.014442562125623226,   0.2513522207736969 -0.015692222863435745  0.063921965658664703 -0.015692222863435745   0.23648715019226074  0.023811569437384605  0.063921965658664703  0.023811569437384605   0.17775052785873413,   0.56098458884790148   -0.45619067886981668    0.90159373620490868    0.43473591276921297   -0.10165173547527218   0.084672663104967683 8.8817841970012523e-13,0.00020673140534199774
IIWA_14,1715787058.4428842, 0.55937490276106772   1.0798540447839269 -0.13567460853683055  -1.4937408166636148  -1.0542305974946762   1.6944190595283386 -0.59666705421896227,-0.0072607427637218372 0.00091301234476750853  -0.030714379295916881  -0.025212426074261773 -0.0045912493670233869    0.01945072307114714 0.00033484803922053698, 11.790041564941406  62.131770088195807  14.216785095214844 -5.7964048156738279 0.91382915496826167 -2.8295467300415038 0.12949565124511719,-57.767655581854477  8.9955898618048202 -43.474890850011882  -20.48640448078207 -2.2145286878973027   2.473674483147235  1.8308798829420847,  0.5223655104637146 0.033734872937202454  0.21064098179340363, 0.52371960878372192 -0.50480180978775024  0.47385415434837341   0.4963417649269104,-0.0047131804749369621  -0.012285588309168816  0.0033542795572429895,0.0033517263364046812   -1.6111679077148438 -0.014443740248680115,  0.25136131048202515 -0.015669520944356918  0.063925787806510925 -0.015669520944356918   0.23652155697345734  0.023771442472934723  0.063925787806510925  0.023771442472934723   0.17770867049694061,    0.56001002323924354    -0.45517226747371353      0.8999549637209725     0.43376584353271852    -0.10173202001162451    0.083078303115158292 -8.8817841970012523e-13,0.0093461824581027031
IIWA_14,1715787058.4478824, 0.55933613376239322   1.0798523069814072 -0.13625122954243982  -1.4941821955961456  -1.0543331823630548   1.6949251533060379 -0.59666148160082688,-0.0073593541579574217 0.00066089777502746725  -0.047636343661104003   -0.03782509816064232  -0.007776394228765247   0.035804329564888875  0.0004907831567918478, 13.580152587890625  63.194005508422855  14.921171951293946 -7.0909173011779787  1.7695535659790038 -3.0304652404785157 0.13016315460205077,-57.492329017836255  8.9639879356151511 -43.151348333744494 -20.333029016628458 -2.2151255563842227  2.3172470999956358  1.8389552747440354, 0.52228850126266479 0.033484052866697311  0.21077461540699005, 0.52344679832458496 -0.50472050905227661  0.47393065690994263  0.49663913249969482,-0.0068560801446437836  -0.019853642210364342  0.0080343317240476608,0.0033595196437090635   -1.6112406253814697   -0.0144540686160326,  0.25135532021522522 -0.015651274472475052  0.063937164843082428 -0.015651274472475052   0.23655085265636444   0.02373894490301609  0.063937164843082428   0.02373894490301609   0.17768613994121552,   0.55921960142057969   -0.45439014444781378    0.89860291843457674    0.43303447556208852   -0.10170046401825061   0.081598133196969513 8.8817841970012523e-13,0.015477202832698822
IIWA_14,1715787058.4528825, 0.55930353668428601    1.079856980864061 -0.13700132220398023  -1.4948485185622427  -1.0544892648891326   1.6956189201565426 -0.59665962402508732,-0.0071913664506543561 0.00071567352617373306  -0.068112781390499755  -0.056912997172395161  -0.012464416426123968   0.056394137672099373 0.00046692955501592367, 13.819348457336426  63.055117584228519  13.676396705627441 -7.4982249679565429  1.4209251022338867 -2.8959633140563965 0.16987960433959962,-57.168161726971903   8.906907902070758 -42.746814143499982 -20.118030462415053 -2.2166047798766346  2.0902493793937356   1.858497318488852, 0.52215516567230225 0.033168323338031769  0.21096719801425934, 0.5230565071105957 -0.5045698881149292 0.47405004501342773 0.49708917737007141,-0.010827487334609032 -0.028493201360106468  0.014142671599984169,0.0035275842528790236   -1.6113003492355347 -0.014691532589495182,  0.25135433673858643 -0.015627499669790268   0.06394774466753006 -0.015627499669790268    0.2365887314081192  0.023703711107373238   0.06394774466753006  0.023703711107373238   0.17764994502067566,    0.5581915028178841   -0.45354195230373762    0.89701252473872728    0.43221865422360395   -0.10157867992788283   0.079414367384345042 1.7763568394002505e-12,0.023125056177377701
IIWA_14,1715787058.4578819,  0.5592648275722214   1.0798536852461009 -0.13797881545000915   -1.495723966115732  -1.0547648063013302   1.6965607603620272 -0.59665680771817309,-0.0073014576431077042 0.00044071410253553598  -0.093589954953556431  -0.080548299877489696  -0.020993189628800941   0.082788918357063535 0.00048619592058205284, 13.559576599121094  62.718185768127448  13.205909301757812 -6.6042989006042481  1.2342856216430664 -2.8285454750061034 0.18389717483520507,-56.754912805882981  8.8040986062264093 -42.241613124497263 -19.815759559079762 -2.2219076672198677   1.792471086780896   1.896476820247555, 0.52195042371749878 0.032748948782682419   0.2112148255109787, 0.52254939079284668 -0.50432854890823364  0.47420588135719299  0.49771839380264282,-0.016868429258465767 -0.039530113339424133  0.021244904026389122,0.0036694488953799009   -1.6113770008087158 -0.015055458061397076,  0.25136363506317139 -0.015592276118695736  0.063955970108509064 -0.015592276118695736   0.23663957417011261  0.023658895865082741  0.063955970108509064  0.023658895865082741   0.17759121954441071, 0.55669402771663101 -0.45246506726126512  0.89488094699241572  0.43113474610034785 -0.10134243350989891 0.076453951645127916                    0,0.032992046326398849
