DesiredFlux,0.988,HitTime,1715792623.1772828,DesiredPos,  0.5349162220954895 -0.29906243085861206   0.1987149715423584
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715792622.6126149, 0.55973448934711456   1.2368892758509136 -0.12367144858168987  -1.2969913621959248  -1.0634801180440736   1.8274197478383745 -0.59098263672751983, 3.9831636430686735e-05 -1.3427541219442181e-05   0.0024626615942621296  9.2910367843152805e-05 -3.5668253810296725e-05 -0.00031526242923297519   7.846074582722235e-06,-1.6229311141967775  70.619365455627445  4.7465457801818847 -14.406324306488036   1.408599853515625 -2.1526983261108397 0.28902895355224612, 0.32273242340566205  -4.5398254160812801 -0.26814142871843705 -0.27669265371950907  -1.0149620661309251  0.32166074730988814  0.33173847130482603, 0.54480642080307007 0.060535058379173279  0.18076874315738678,  0.4812195897102356 -0.49954700469970703  0.49800843000411987  0.52044987678527832,-0.00022775179240852594  0.00073814118513837457 -0.00053925375686958432,-0.018938744440674782   -1.4309548139572144  0.034349061548709869,  0.24846827983856201 -0.019416354596614838   0.06521383672952652 -0.019416354596614838   0.23440088331699371  0.031781237572431564   0.06521383672952652  0.031781237572431564   0.17844678461551666,    0.7066322721183127   -0.61689617975346778     1.1573759838832132    0.69117704142573899  -0.083449635436494418  -0.086535769553641728 1.7763568394002505e-12,0.00065021472983062267
IIWA_14,1715792622.617609, 0.55973460922941753   1.2368893358466067 -0.12365808623185352  -1.2969916018514478  -1.0634801180440736   1.8274161525691985 -0.59098281649643269,  3.666060126349142e-05 -8.3422052523441761e-06   0.0025046232688634368   6.474207335523352e-05 -2.8534603048237382e-05 -0.00039602071042344714 -9.1389684849670208e-07,-1.6332191085815431  70.601361465454104  4.7949387702941895  -14.41573405456543  1.4024372291564942 -2.1356769905090331 0.28902895355224612,   0.7055975972460915   -4.6201462967361318 -0.049665687413877169 -0.013964343615695672   -1.0861824398173803   0.24578130500684439   0.33161222219436054, 0.54480630159378052 0.060541581362485886  0.18076536059379578,0.48122718930244446 -0.4995478093624115 0.49800589680671692 0.52044451236724854,-0.00018610470579005778  0.00085151189705356956 -0.00056657497771084309,-0.018938422203063965   -1.4309535026550293   0.03435656800866127,  0.24846909940242767 -0.019416866824030876  0.065213076770305634 -0.019416866824030876    0.2343997061252594  0.031782433390617371  0.065213076770305634  0.031782433390617371   0.17844706773757935,      0.706658019077544    -0.61692773257338018       1.157427190072724     0.69120663095301182   -0.083450656035211068    -0.08650254197650753 -8.8817841970012523e-13,0.00071750424103811383
IIWA_14,1715792622.6226094, 0.55973269176706808   1.2368892159643037 -0.12364855869763304  -1.2969953768895366   -1.063479638776661   1.8274158529179825 -0.59098293637873578,-4.7370012967384709e-05 -1.1469056320817371e-05   0.0023847999839100528 -9.9207864867554635e-05 -3.6569859327796389e-06 -0.00032880261698125602 -5.5264096021802834e-06,-1.4351752166748049  70.575641479492191  4.8850035018920899 -14.317603824615478  1.3769063568115234 -2.1450220375061035 0.28936270523071289,-52.712762026721286  7.4388778947372911 -30.386187639017852 -16.957987322288446 -1.3853771828095685 -2.9503967708082541 0.33199710255550929, 0.54480510950088501 0.060545273125171661  0.18076185882091522, 0.48123347759246826 -0.49954774975776672   0.4980025589466095  0.52044194936752319,-0.00019676466763485223  0.00082880922127515078 -0.00059334211982786655,-0.018938334658741951   -1.4309509992599487  0.034364495426416397,  0.24847020208835602 -0.019417159259319305  0.065212249755859375 -0.019417159259319305   0.23439890146255493  0.031783275306224823  0.065212249755859375  0.031783275306224823   0.17844681441783905,    0.70667347652619839    -0.61694752443308687      1.1574633171251847     0.69122288778977747   -0.083453715424397501   -0.086479666251193521 -1.7763568394002505e-12,0.0007165022543631494
IIWA_14,1715792622.6276097, 0.55972879684667609    1.236894608813526 -0.12364891823545895  -1.2970072413105425  -1.0634804056743343   1.8273949404919683 -0.59098263672751983,-0.00019369282605347305  0.00020653872383520801   0.0018934584740914768 -0.00055394313212881873 -3.3601495680842237e-05  -0.0010995391341533229  7.5649209563131849e-06,-1.5560591506958008  70.449613548278819  5.0584117164611815 -14.267866584777831  1.4041979789733887 -2.0809417152404786 0.28602518844604491,-52.713023749750818  7.4383072792069971 -30.388301637435969 -16.957902037814598 -1.3856203024733984  -2.949018419580764 0.33240103731566761, 0.54480403661727905 0.060549546033143997  0.18075810372829437, 0.48124039173126221 -0.49954771995544434  0.49799913167953491  0.52043884992599487,-0.00020116718951612711   0.0008340516360476613 -0.00062465848168358207,-0.018941512331366539   -1.4309490919113159  0.034377150237560272,  0.24847130477428436 -0.019417449831962585  0.065211407840251923 -0.019417449831962585   0.23439803719520569  0.031784143298864365  0.065211407840251923  0.031784143298864365   0.17844660580158234,   0.70668923523342642    -0.6169690198083444     1.1575001936794393    0.69124081922744551  -0.083456322541586303   -0.08645386334293903 3.5527136788005009e-12,0.00073248479748144746
IIWA_14,1715792622.632611, 0.55957749599914997     1.23699437750589 -0.12403469043260575  -1.2973666482367594  -1.0634853912073425   1.8269748335232776 -0.59098263672751983, -0.0062069881618878071   0.0041559786736303688   -0.013916121106598477   -0.014819431554380777 -0.00022630251687291513   -0.017683910054949015  6.0519367650505483e-06,  7.1758760833740238   63.772705192565923   10.744588054656983  -8.2711685600280767   1.4420541000366212 -0.89044947814941411  0.28335517501831053,-52.708605727853644  7.4369793480994923 -30.386348504341633 -16.955481949183248 -1.3862461017807943 -2.9495621309550364 0.33301039148388123, 0.54480195045471191 0.060550898313522339  0.18075551092624664, 0.48124420642852783 -0.49954706430435181  0.49799573421478271   0.5204392671585083,-0.00024333804321940988  0.00072131358319893479 -0.00060369534185156226,-0.018942147493362427   -1.4309471845626831  0.034389153122901917,  0.24847237765789032 -0.019417604431509972  0.065210692584514618 -0.019417604431509972   0.23439764976501465  0.031784635037183762  0.065210692584514618  0.031784635037183762   0.17844605445861816,  0.70669718694027495  -0.61697876866606549    1.1575212807928281   0.69124667655096061 -0.083460892804865239 -0.086444488546000287                     0,0.00067057250998914242
IIWA_14,1715792622.6376436, 0.55952638326842374    1.236990962005627  -0.1244580931283394  -1.2976694295916416  -1.0635062916996683    1.826285381017601 -0.59098251695429982,-0.0070100997585591093  0.0031881629283819026  -0.028069004714624965  -0.023966799438790758 -0.0010170617065273764  -0.041725228271025074 9.6324782123871447e-06, 12.165553359985353  62.895653671264654  12.244770748138428 -7.6071091957092287 0.75888317108154291 -2.3339254875183104 0.30538278579711914,-52.698325217801283  7.4304885689171112 -30.381385569484216 -16.949996467795007 -1.3877400063836272 -2.9466258359555559 0.33479636486290432, 0.54480075836181641 0.060545742511749268  0.18074774742126465, 0.48125144839286804 -0.49954378604888916  0.49799218773841858  0.52043908834457397,-0.00024194027355406433  0.00037088929093442857 -0.00079341005766764283,-0.018943352624773979   -1.4309461116790771  0.034402269870042801,  0.24847419559955597 -0.019416064023971558  0.065209932625293732 -0.019416064023971558   0.23439835011959076  0.031783219426870346  0.065209932625293732  0.031783219426870346   0.17844401299953461,   0.70663682252458671   -0.61694375488752229      1.157455299921395    0.69120246625420378  -0.083456511211998929  -0.086426295838215594 1.7763568394002505e-12,0.00062712316866964102
IIWA_14,1715792622.6426091, 0.55950738830475888   1.2369850897362757 -0.12507522082605974  -1.2981317810549626   -1.063510893609307   1.8251662941180962 -0.59098251695429982, -0.0063678783534418691   0.0023156395686564878   -0.047140311680513372   -0.037667498083875636 -0.00099772575076952801   -0.078143658597011875  7.7059825699097161e-06, 14.104840301513672  62.620449821472171  13.623970966339112  -7.806058155059814  1.4561400985717774 -1.2088485794067383  0.2960377388000488,-52.334498113611069  7.2718864420450933 -30.134506401801584 -16.769580559038985  -1.429980500206216 -2.9360696310505823 0.37489008261615242, 0.54478710889816284 0.060259472578763962  0.18066711723804474, 0.48122924566268921 -0.49946534633636475  0.49797168374061584  0.52055448293685913,-0.00074382679304108024   -0.011154865846037865  -0.0038582559209316969,-0.018940865993499756   -1.4309473037719727  0.034409981220960617,  0.24849036335945129 -0.019369235262274742  0.065214186906814575 -0.019369235262274742   0.23444369435310364  0.031718745827674866  0.065214186906814575  0.031718745827674866   0.17839552462100983,    0.70465947534348317    -0.61530626083072804      1.1546390508740956     0.68941687644930028   -0.083357716576415442   -0.086790083567045428 -3.5527136788005009e-12,0.0081621892750263214
IIWA_14,1715792622.6476102, 0.55950541095579942   1.2369762813867902 -0.12590165288008542  -1.2987906138314917    -1.06350983890684   1.8237605445247669 -0.59098215741647397, -0.0051733966411318466   0.0015001776755020541   -0.070769531505438243   -0.056487309528265181 -0.00075599250193889044    -0.11874491061078095  2.0546299089717646e-05, 15.524583526611329  62.502137886047365  12.713913902282714 -8.0883505973815915 0.97105352401733402 -1.3119778480529785 0.29970900726318361,-52.166615465938065  7.2217075569436497 -29.991891620573963  -16.72763087920212 -1.4360225246628593 -2.8551517233654815 0.38844829355672084, 0.54484087228775024 0.060032255947589874  0.18060217797756195, 0.48130062222480774 -0.49943408370018005  0.49798992276191711  0.52050107717514038, 0.0015508339274674654  -0.018014425411820412 -0.0056796129792928696,-0.018947059288620949   -1.4310322999954224  0.034440264105796814, 0.24849161505699158 -0.01932019367814064 0.065225504338741302 -0.01932019367814064  0.23448047041893005 0.031650211662054062 0.065225504338741302 0.031650211662054062  0.17837058007717133,    0.70265456229634538    -0.61373626527050362      1.1517394885469656      0.6876960193515913   -0.083123532967022129   -0.086505482462584382 -8.8817841970012523e-13,0.013079172931611538
IIWA_14,1715792622.6526115, 0.55951224195632565   1.2369749631177893 -0.12695674411915647  -1.2996406548452262   -1.063527000380309   1.8220065333505746 -0.59098083914747335,-0.0038654772918562518  0.0011474113803676624  -0.098819274767192544  -0.079191488171989191 -0.0012912529403100728   -0.16515637545631562 6.9167799296873368e-05, 14.457204109191895  62.324669982910159  13.191122554779053 -6.8301328544616702   1.060851764678955 -1.3396792373657227 0.28936270523071289,-51.978381463702775  7.1384993512537278 -29.835919620114385 -16.676757466386793 -1.4523542541075165 -2.7151865416709988  0.4141776341991974, 0.54491961002349854 0.059726223349571228  0.18048077821731567, 0.48145952820777893 -0.49938479065895081  0.49801120162010193  0.52038103342056274, 0.0043774843215942383  -0.026656562462449074 -0.0093899806961417198,-0.018997404724359512   -1.4310941696166992  0.034734711050987244,  0.24849821627140045 -0.019244430586695671  0.065239034593105316 -0.019244430586695671   0.23453213274478912  0.031548351049423218  0.065239034593105316  0.031548351049423218   0.17833265662193298,    0.69959020227905455    -0.61147611902967469      1.1473944618991538     0.68517347365393277   -0.082729883232879331    -0.08585169647457036 -5.3290705182007514e-12,0.019735347479581833
IIWA_14,1715792622.6576102, 0.55950481165336752   1.2369666340793497  -0.1282251544081448  -1.3006333681259139  -1.0635188510889655   1.8198312168209942 -0.59098017995843144,-0.0033895939518103421 0.00058476756670957123   -0.12979183137328726   -0.10306172176510052 -0.0007070306985073496     -0.219137761548267 8.1701801113786876e-05, 14.228296234130861  61.874570228576665  13.836362422943115 -6.7830841140747067  1.2448501205444336 -1.3890744857788087 0.29236647033691404,-51.740096804040661  7.0237646653738457 -29.630627677735358 -16.589901212288851 -1.4771491014224889 -2.5673744312298545 0.45313214723251793, 0.54499870538711548 0.059323199093341827  0.18033167719841003,  0.4816475510597229 -0.49929586052894592  0.49804383516311646  0.52026110887527466, 0.006646457128226757 -0.037453349679708481  -0.01345417182892561,-0.019200468435883522    -1.431181788444519  0.035041451454162598,  0.24851155281066895 -0.019143847748637199  0.065254293382167816 -0.019143847748637199   0.23460209369659424  0.031416025012731552  0.065254293382167816  0.031416025012731552   0.17827709019184113,  0.69551778489529426  -0.60854996194592559    1.1416901894394371   0.68186827007110651 -0.082184784301553293 -0.085147270476149117                     0,0.027840210124850273
