DesiredFlux,0.526,HitTime,1715794109.2965069,DesiredPos, 0.55771356821060181 -0.30731582641601562   0.1984708309173584
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715794108.6573691, 0.57489267630051299   1.1386372670800993 -0.17775607577997152  -1.3955765922818559  -1.0678542643098168   1.7070479757617723 -0.59959336225464788,-4.3033196475037396e-06   2.411383357823795e-06 -1.2840595293997389e-05   1.969194332656689e-05  7.9437666855081794e-06 -0.00011648820197822282 -0.00014352334784667882,-0.95678347778320316   68.981002349853526   6.5263324165344239  -14.808254974365234   1.3892316055297851  -1.8559930839538574  0.54601774597167974, -0.73737824228121074    2.8079866727959133   0.82753677793076619 -0.032893073515935053  -0.62624569239094363  -0.20382491499799937  -0.51124021580383039, 0.55010032653808594 0.040717285126447678  0.20792457461357117,-0.50514739751815796  0.50596380233764648 -0.50061440467834473 -0.48806962370872498, 2.5168998035951518e-05  6.5619644828984747e-07 -1.8210093912784941e-05, 0.0041285478509962559     -0.764731764793396 -0.0051265056245028973,  0.24482174217700958 -0.014800413511693478  0.067754074931144714 -0.014800413511693478   0.23703214526176453  0.023340597748756409  0.067754074931144714  0.023340597748756409   0.18238618969917297,  0.52677963198366484  -0.45499209341404168   0.85465471197210263   0.47721126732724883 -0.053918504119288002  0.049129595693031547                     0,2.1371764887589961e-05
IIWA_14,1715794108.6623697,  0.5748926164139031   1.1386372670800993 -0.17775607577997152  -1.3955761728574201  -1.0678544561215018   1.7070466574927716 -0.59959414121690968,-5.1495889701348538e-06  1.5432853490072288e-06 -8.2179809881583299e-06  2.6983484099961797e-05 -1.0539632406259902e-06 -0.00012105151119672306 -0.00012061622336645698,-0.94135148620605469   68.988718345642098   6.5209554176330569  -14.817664722442627   1.3901119804382325  -1.8563268356323241  0.54234647750854492, -0.73727115914751029    2.8079196809141118   0.82758679910746547 -0.032749893765776035  -0.62632606171615668  -0.20388287615177214  -0.51119560193016833,0.55010038614273071 0.04071720689535141 0.20792447030544281,-0.50514763593673706  0.50596368312835693 -0.50061416625976562 -0.48806971311569214, 2.1161857148399577e-05 -2.5494825877103722e-06 -1.8754193661152385e-05, 0.0041283625178039074   -0.76473188400268555 -0.0051263142377138138,  0.24482174217700958 -0.014800400473177433  0.067754082381725311 -0.014800400473177433   0.23703216016292572  0.023340562358498573  0.067754082381725311  0.023340562358498573   0.18238618969917297,   0.52677911399889865   -0.45499132525073094    0.85465349867863694    0.47721056155314301  -0.053918790465345978   0.049129993158203433 4.4408920985006262e-12,1.9527195036062039e-05
IIWA_14,1715794108.6673691, 0.57489273629620607   1.1386372071934894 -0.17775607577997152  -1.3955760530842001  -1.0678544561215018   1.7070459984128128 -0.59959474051934158, 6.7562094283414607e-07 -1.1608361165266776e-06 -6.5743847905266641e-06  2.6377716080316145e-05 -8.4317059250079222e-07  -0.0001232044073106304 -0.00012046507596928041,-0.94906748199462898   68.988718345642098   6.5303651657104496  -14.810943473815918   1.3953942298889159   -1.854991828918457  0.54368148422241214, -30.375276397912302   5.6187255957001554  -18.647650295157312  -11.386010614640702 -0.38207601656900314   1.6494794689196466 -0.51125831642901787, 0.55010062456130981 0.040717270225286484  0.20792439579963684,-0.50514799356460571  0.50596368312835693 -0.50061416625976562 -0.48806938529014587, 2.6230405637761578e-05  4.3708391217478493e-07 -1.8435543097439222e-05, 0.0041281981393694878   -0.76473188400268555 -0.0051261908374726772,  0.24482171237468719 -0.014800380915403366  0.067754097282886505 -0.014800380915403366   0.23703214526176453  0.023340543732047081  0.067754097282886505  0.023340543732047081   0.18238621950149536,  0.52677847065396577  -0.45499099169887813   0.85465275559570841   0.47721026029456937 -0.053918457642687656  0.049131607812391564                     0,2.2053474822314456e-05
IIWA_14,1715794108.672369, 0.57488614495120283   1.1386384655758801   -0.177772973621457  -1.3955894753206464  -1.0678539766795561   1.7070537282579037 -0.59959521983038733,-0.00026311330337566979  4.9406626736145438e-05 -0.00068117316725163526 -0.00051578728498743293  1.8503141353996652e-05  0.00021063027778741667 -0.00011554450260512002,-0.81532355499267584   68.975858352661135   6.8045921096801756  -14.621404262542725   1.3892316055297851  -1.8793557014465332  0.54167897415161137, -30.375276078855844    5.618727410997141  -18.647684052776796  -11.386009256636326   -0.382082908362055   1.6495005248613204 -0.51125419881068712, 0.55010074377059937 0.040717262774705887  0.20792430639266968,-0.50514823198318481  0.50596368312835693  -0.5006139874458313 -0.48806926608085632, 2.5438708689762279e-05  7.8145411919194885e-08 -1.8245531464344822e-05, 0.0041281180456280708   -0.76473182439804077 -0.0051260744221508503,    0.244821697473526 -0.014800369739532471  0.067754104733467102 -0.014800369739532471   0.23703214526176453   0.02334052138030529  0.067754104733467102   0.02334052138030529   0.18238623440265656,   0.52677806713674613   -0.45499052033992626    0.85465200806211783    0.47720983136567696  -0.053918496107918656   0.049132567166765284 8.8817841970012523e-13,2.1531830498133786e-05
IIWA_14,1715794108.6773701, 0.57475114264273031   1.1386597375397203 -0.17823334762673565  -1.3958681086272473    -1.06784870369082    1.707185974146072 -0.59959737694825976,-0.0056105829816013551 0.00089040385499546517  -0.018959898744947388  -0.011557962092027524 0.00022572206252694169  0.0054583397489616119 -0.0001787203169815626, 6.8492322616577148  66.447583732604983  12.967977100372314 -9.0629316482543949  1.2510127449035644 -2.6796922264099119 0.55469528961181636, -30.375459774716457   5.6187585836380807  -18.647821441035987  -11.386072859986884 -0.38207279032382579   1.6495732006984842 -0.51123235391258237, 0.55010086297988892 0.040717359632253647  0.20792421698570251,-0.50514864921569824  0.50596356391906738 -0.50061386823654175   -0.488069087266922, 2.5453447960899211e-05  3.9716837818559725e-06 -1.7840009604697116e-05, 0.0041279075667262077   -0.76473188400268555 -0.0051259333267807961,  0.24482168257236481 -0.014800356701016426  0.067754112184047699 -0.014800356701016426   0.23703214526176453  0.023340508341789246  0.067754112184047699  0.023340508341789246   0.18238626420497894,    0.52677762933406314     -0.4549903667694366     0.85465144734264697     0.47720962887254359   -0.053918309514067175    0.049133980471793848 -1.7763568394002505e-12,2.1552525140577927e-05
IIWA_14,1715794108.6823688, 0.57470650137470425   1.1386473339210588 -0.17876047371275222   -1.396087120286686  -1.0678493747699174    1.707252246915764 -0.59960133175526165, -0.0062741171063233929  0.00021617833753616908   -0.036252962436620774   -0.018006836051170701  0.00015373448612543585   0.0070175825868519373 -0.00030116853366054781, 12.039525428771974  66.354991783142097  16.028833724975588 -9.2833886032104491  1.2122762489318848 -2.3569543533325197 0.47459488677978517, -30.357009201181555   5.6149504258832827   -18.63173403933888  -11.376293279345083 -0.38373264660006606   1.6431795790249062 -0.51019460023101348, 0.55009722709655762 0.040705155581235886  0.20792746543884277, -0.5051383376121521  0.50596112012863159 -0.50061416625976562 -0.48808208107948303,-0.00012463876919355243 -0.00048498471733182669  0.00011521366104716435,0.0041277855634689331    -0.764731764793396 -0.005125813651829958,  0.24482174217700958 -0.014799408614635468  0.067754462361335754 -0.014799408614635468   0.23703351616859436  0.023338709026575089  0.067754462361335754  0.023338709026575089   0.18238502740859985,  0.52673778366241208  -0.45494540810420148   0.85458177104769106   0.47716533437291986 -0.053923533194222273  0.049074732524800879                     0,0.00035340886097401381
IIWA_14,1715794108.687372, 0.57469817233626452   1.1386551236527596  -0.1794090001018821  -1.3964820604802273  -1.0678473613580923   1.7074123561127759 -0.59960288978886833, -0.0053524552226477144  0.00048453193806058869   -0.054943425514491724   -0.030203076582586516  0.00020352406190200645    0.012018433949954156 -0.00030325617119586246, 13.688176528930665   66.94140746307373  16.215684436798096 -8.9701784172058101  1.2554146194458007 -2.7738101997375488 0.49695624923706055, -29.934475951872361    5.549152049233359  -18.237520333121942  -11.173717134161913 -0.41317345598552119   1.5059173171648133 -0.49440891239820295, 0.55003714561462402 0.040415477007627487   0.2080187052488327,-0.50488626956939697   0.5059167742729187 -0.50064629316329956 -0.48835572600364685,-0.0025047643575817347   -0.01197315938770771  0.0037442916072905064,0.0041276724077761173  -0.76473319530487061 -0.005125704687088728, 0.24481366574764252 -0.01477492693811655 0.067767664790153503 -0.01477492693811655  0.23706720769405365 0.023292152211070061 0.067767664790153503 0.023292152211070061  0.18236342072486877,   0.52571738814499724   -0.45381493552376639    0.85278002375854811    0.47606836216029791   -0.05400916021169877    0.04773073189667798 6.2172489379008766e-12,0.0087982965633273125
IIWA_14,1715794108.6923683, 0.57469014294904075   1.1386526068879781  -0.1802307583823371  -1.3970532885275311  -1.0678490871396566   1.7076038041145871 -0.59960504690674077, -0.0046031396670691135  0.00028695495918973742   -0.076825071629793323   -0.047011583158221487  9.3787986948755647e-05     0.01727266723241358 -0.00032888965185415655, 14.032824340820314  66.244395843505856  14.571667022705078 -8.6878859748840327  1.2140369987487794 -2.4921237831115723 0.53133267211914059, -29.671578808766967   5.5422449658799851  -17.926277416149407  -11.068433664870696 -0.41865547541312087   1.4109672849358559 -0.49396476562507652,0.55001217126846313 0.04016706719994545 0.20813789963722229, -0.5046464204788208  0.50588244199752808 -0.50072300434112549 -0.48856058716773987,-0.0030091630760580301  -0.019510962069034576  0.0077684232965111732,  0.004131724126636982   -0.76476716995239258 -0.0051300488412380219,  0.24479275941848755 -0.014749438501894474  0.067786641418933868 -0.014749438501894474    0.2370990663766861  0.023246150463819504  0.067786641418933868  0.023246150463819504     0.182355597615242,  0.52466999648803636  -0.45276641429659037   0.85096069712786715   0.47505075337461733 -0.053978520107023087  0.046576690449384728                     0,0.014590414240956306
IIWA_14,1715794108.6973698,  0.5746773796834701   1.1386501501188899 -0.18129309993728709   -1.397771862615359  -1.0678544561215018   1.7079178508062094 -0.59960582586900246, -0.0041930423564812015  0.00013129320382514772    -0.10395371950183455    -0.06635223003969476 -0.00013972888424542784    0.026380001450821734 -0.00029427021195107834, 14.084264312744141  65.766004104614268   13.68983920288086 -7.7926156578063965 0.78089254379272455  -2.464756145477295 0.53967646408081049, -29.377251075582077   5.4861168049462785  -17.579732680244334  -10.896851449965116 -0.43840813514258614   1.2771151419359479 -0.47332543655199311,  0.5499265193939209 0.039860766381025314  0.20827294886112213, -0.5043444037437439  0.50578117370605469 -0.50081437826156616 -0.48888352513313293,-0.005845166277140379 -0.027851510792970657  0.011627910658717155, 0.0042077894322574139   -0.76479810476303101 -0.0052336156368255615,  0.24478457868099213 -0.014713622629642487  0.067801907658576965 -0.014713622629642487   0.23714056611061096  0.023192247375845909  0.067801907658576965  0.023192247375845909   0.18232807517051697,  0.52321321587633918  -0.45155213816361339   0.84869155152578202   0.47379318493323552 -0.053856629308235426  0.044950622442918586                     0,0.021141363307833672
IIWA_14,1715794108.702369, 0.57466371768241786   1.1386483525388433  -0.1826052527588197  -1.3986168703176967  -1.0678500458490148   1.7083477848512532 -0.59960630528913139, -0.0039009139272745312  3.3131361196441468e-05    -0.13564908846277174   -0.086882092125261462  6.4627792083164334e-05    0.038301362962408075 -0.00025459297471803544, 14.706687973022461  65.269608375549325  14.964187942504882 -7.6810429306030272     1.1268798828125 -2.7187411727905273 0.53300143051147464, -29.010554077935204   5.4034043842476782  -17.162656910760635  -10.672721933205782 -0.46593307523950711   1.1109509646895945 -0.44210327958474493, 0.54979950189590454 0.039461735635995865  0.20844022929668427,-0.50396955013275146  0.50563532114028931 -0.50092238187789917 -0.48931008577346802,-0.0097751254215836525  -0.038225490599870682   0.016016153618693352, 0.0042652352713048458   -0.76483875513076782 -0.0053538759239017963,  0.24478062987327576 -0.014665368944406509  0.067818515002727509 -0.014665368944406509   0.23719450831413269  0.023122208192944527  0.067818515002727509  0.023122208192944527   0.18228667974472046,    0.52126043776379305    -0.44997749433939305      0.8457207646568321     0.47212629907988912   -0.053683119978664706    0.042863673748172459 -8.8817841970012523e-13,0.029281780123710632
