DesiredFlux,1.073,HitTime,1715792168.2198503,DesiredPos, 0.52538728713989258 -0.31170886754989624    0.199003666639328
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715792167.6620915, 0.52044942113827619   1.2738981203377198 -0.10343974002739185  -1.2971588417002016   -1.094818099222775   1.8507761633129984 -0.56267865395546035,-5.0851935125518523e-06 -2.4900024768197627e-05  0.00034632262492356237 -2.4713923929256458e-05  2.1641372355386996e-06 -1.4803985362860217e-05 -1.0929052967244526e-06,   0.5195437164306641    71.162057159423838    4.4575320892333981   -13.302695281982421    1.7026450729370117   -2.0385552520751955 -0.070421604156494136,  2.8981802477098135  -8.7533568666549826 -0.16422221693034461  0.71565735248778739 -0.39620526608397688 -0.17207753100184014  0.45241731663501894,  0.5416722297668457 0.042445726692676544  0.16629089415073395,0.46804055571556091 -0.4917047917842865   0.501362144947052 0.53647035360336304,  -5.03969204146415e-05   0.0001510970905655995 -9.5985509688034654e-05,-0.075301103293895721   -1.5483810901641846   0.15125718712806702,  0.25269895792007446 -0.017949879169464111  0.063226483762264252 -0.017949879169464111   0.23582541942596436  0.031866688281297684  0.063226483762264252  0.031866688281297684   0.17265647649765015,  0.64531524354194403  -0.57208126386498748    1.1396153808016507   0.64929736275409766 -0.080373077885553812  -0.16060899008518703                     0,0.00012811062333639711
IIWA_14,1715792167.6670907, 0.52044924136936321   1.2738978806821968 -0.10343962014508887  -1.2971590814648075  -1.0948181950413509   1.8507761633129984 -0.56267847418654737,-1.1258911329156864e-05 -2.9506240733846836e-05  0.00028185339205834704 -2.9361723381289228e-05  -2.101433250070048e-06 -1.1843188290288175e-05  6.3164322817358199e-06,  0.47067574310302734    71.136337173461925    4.4561878395080567    -13.31613777923584    1.7044058227539063   -2.0398902587890624 -0.070087852478027346,   2.898009782214586  -8.7531167528541403 -0.16409686410189472  0.71600932491751346 -0.39645757414139654 -0.17247968231458077  0.45240396519955128, 0.54167217016220093 0.042446061968803406   0.1662907600402832,  0.4680410623550415 -0.49170488119125366  0.50136184692382812  0.53647011518478394,-4.2537263652775437e-05  0.00013416526780929416 -8.2612852565944195e-05,-0.075300917029380798   -1.5483807325363159    0.1512598991394043,  0.25269898772239685 -0.017949925735592842  0.063226431608200073 -0.017949925735592842   0.23582534492015839   0.03186677023768425  0.063226431608200073   0.03186677023768425   0.17265650629997253,    0.6453173165219539    -0.5720830154114509     1.1396190790744498    0.64929892064480299  -0.080373516775367193    -0.1606071637487716 8.8817841970012523e-13,0.000112428046122659
IIWA_14,1715792167.6720524, 0.52044894182723034   1.2738975810309809 -0.10343914083404304  -1.2971592612337204  -1.0948181950413509   1.8507761633129984 -0.56267865395546035, -2.098881437834669e-05 -3.5591041220693991e-05  0.00024465515547970396 -3.0680135219705873e-05 -1.6811466000560384e-06 -9.4745506322305407e-06 -2.1376106937267257e-06,  0.41923577117919925    71.100329193115243      4.43602409362793   -13.328236026763916    1.7079273223876952   -2.0368864936828612 -0.068752845764160159, -55.252600079036711   3.9109005355926247  -33.376920826029618  -16.232105025253738 -0.84841153159233451  -4.5314110085070558   0.4523937324274272, 0.54167205095291138 0.042446020990610123  0.16629065573215485, 0.46804124116897583 -0.49170497059822083  0.50136154890060425  0.53647011518478394,-3.7681238609366119e-05  0.00010571776510914788  -7.030414417386055e-05,-0.075301095843315125   -1.5483803749084473   0.15126289427280426,  0.25269901752471924 -0.017949942499399185  0.063226401805877686 -0.017949942499399185   0.23582533001899719  0.031866777688264847  0.063226401805877686  0.031866777688264847   0.17265649139881134,  0.64531798456091138  -0.57208295156563338    1.1396198577209304   0.64929873410601857 -0.080374150893014473  -0.16060668737694073                     0,9.123285417445004e-05
IIWA_14,1715792167.6770909, 0.52044001359544179   1.2739032735314193 -0.10345495995296772  -1.2971760989704297  -1.0948189621135571   1.8507546515845523 -0.56267847418654737,-0.00037392032304475552    0.000199227184557805 -0.00043704063260327334 -0.00069805357654984304 -3.2027805527968584e-05 -0.00086804877835021735  5.4806679641340016e-06,  0.55297969818115233    70.925433288574226    4.6632022972106935   -13.078205577850342    1.7202525711059571   -1.9854887351989745 -0.070087852478027346,-55.251788355385372   3.911025417671846 -33.376015543060134   -16.2319678306994 -0.8483612709581736 -4.5315345576787447 0.45232218670380531, 0.54167205095291138 0.042445942759513855  0.16629073023796082,0.46804118156433105 -0.4917050302028656 0.50136160850524902 0.53647011518478394,-3.0819941457593814e-05  8.1520680396351963e-05 -5.3076768381288275e-05,-0.075301118195056915   -1.5483804941177368   0.15126413106918335,  0.25269901752471924 -0.017949948087334633  0.063226401805877686 -0.017949948087334633   0.23582533001899719  0.031866777688264847  0.063226401805877686  0.031866777688264847   0.17265650629997253,  0.64531820704161191  -0.57208275186049207    1.1396200604583129   0.64929844031524908 -0.080374308991437715  -0.16060669937090211                     0,7.0296177000273019e-05
IIWA_14,1715792167.6820452, 0.52024892513145637   1.2740080756442631   -0.103850019919729  -1.2975703799749294  -1.0948313298657026   1.8502109273082661 -0.56267865395546035, -0.0079426748178522671   0.0043514662613984359   -0.016152031176534031   -0.016329683041226863 -0.00052033233024340118   -0.022443410074129748 -2.8062221478081807e-06,    9.637278739929199     63.76498919677735    10.583278087615966   -6.4792836761474613    1.6383777046203614  -0.38882070541381836 -0.075427879333496095, -55.251175282428768   3.9110453191649102  -33.375504341290082  -16.231834392554131 -0.84837244815284851  -4.5315845714131981  0.45232016517196649, 0.5416719913482666 0.04244593158364296 0.16629074513912201, 0.46804136037826538 -0.49170511960983276  0.50136137008666992  0.53647011518478394,-2.6247409550705925e-05  6.4796920923981816e-05 -4.1528826841386035e-05,-0.0753006711602211 -1.5483802556991577 0.15126481652259827,  0.25269904732704163 -0.017949977889657021  0.063226386904716492 -0.017949977889657021    0.2358253002166748  0.031866796314716339  0.063226386904716492  0.031866796314716339   0.17265652120113373,    0.64531939546519368    -0.57208292159760532      1.1396214335803734     0.64929854289186295   -0.080374899332547045    -0.16060624954850056 -8.8817841970012523e-13,5.6017634051386267e-05
IIWA_14,1715792167.6870914, 0.52016323786458052   1.2739851857602063 -0.10429217792360458  -1.2979032418613035  -1.0948694876500731   1.8492466166431607 -0.56267769522428557,-0.0097816305293160419  0.0025655776468446025  -0.030607945096250366  -0.026378221887943386 -0.0019425772390123447  -0.056527154663519139 3.6104269273062823e-05,   15.149071731567384    63.253161476135254    12.264934494018554   -6.2279089775085446   0.85484403610229487   -2.0959605407714843 -0.054735275268554685, -55.233742781796558   3.9029716906542475  -33.364905961866114  -16.223250802127694 -0.85070169585162803  -4.5303938362774474  0.45447593605322073, 0.54167085886001587 0.042432196438312531  0.16628573834896088, 0.46804189682006836 -0.49170124530792236  0.50135916471481323  0.53647518157958984,-6.6304746724199504e-05 -0.00049761834088712931 -0.00023397443874273449,-0.075300462543964386   -1.5483801364898682   0.15126404166221619,  0.25270017981529236 -0.017947837710380554  0.063226193189620972 -0.017947837710380554   0.23582722246646881   0.03186367079615593  0.063226193189620972   0.03186367079615593   0.17265410721302032,   0.64523196063603905   -0.57200860087647243     1.1394907531148135    0.64921814959095769  -0.080372342429413379   -0.16061698768599086 1.7763568394002505e-12,0.00038155115908011794
IIWA_14,1715792167.6920934, 0.52014484209426448   1.2739515699552313  -0.1049196120087241  -1.2983939958311239  -1.0948973869126992   1.8476473818124506 -0.56267757534198259, -0.008561135236094336 0.00070782991847718546  -0.049583719481781044  -0.040732736303172978 -0.0026700322962555142   -0.10919111695921999 3.3678707537392294e-05,   15.532299522399903     63.57466130065918    13.140041065216064   -7.6272729415893554    1.8443854331970215  -0.47225862503051758 -0.049395248413085936, -54.848986059380159   3.7304468607512269  -33.128429049967089  -16.039566377703132 -0.90167789760897077  -4.4939542180861203  0.50172111081271653, 0.54165458679199219 0.042114254087209702  0.16617925465106964, 0.46806135773658752 -0.49162095785140991  0.50131535530090332  0.53657269477844238,-0.00070788932498544455   -0.013116617687046528  -0.0044440641067922115,-0.075300246477127075   -1.5483840703964233   0.15126410126686096,  0.25272274017333984 -0.017897402867674828  0.063224285840988159 -0.017897402867674828   0.23587168753147125  0.031788352876901627  0.063224285840988159  0.031788352876901627   0.17260222136974335,  0.64317549268100294  -0.57025183184578054    1.1363688558647667   0.64731946579765776 -0.080297222432967885  -0.16079911343425124                     0,0.0095523558557033539
IIWA_14,1715792167.6970911, 0.52014058763604665   1.2739162164568198 -0.10576042524853699   -1.299130366605002  -1.0949031393433808   1.8456255831348787 -0.56267745545967962, -0.0070190865175888241 -0.00084787600167581065   -0.073299505177940344   -0.062041019997662962  -0.0023661230642672711    -0.16822484067025226  3.1738258148855862e-05,   15.411415588378906    62.713041770935064    11.900642818450928   -8.3679545402526863    1.3496147346496581   -1.0750141563415527 -0.044722724914550781, -54.678739460351572   3.6779887004904328  -33.013882344668701  -16.016625341090382 -0.90863863898487507  -4.3546981876891602  0.51646184320475796, 0.54173362255096436 0.041851423680782318  0.16607251763343811, 0.46822187304496765 -0.49161368608474731  0.50131076574325562  0.53644365072250366,  0.002587656257674098  -0.021008167415857315 -0.0078201098367571831,-0.075311705470085144   -1.5484700202941895   0.15132078528404236,  0.25272831320762634 -0.017841111868619919  0.063232630491256714 -0.017841111868619919   0.23590512573719025  0.031703043729066849  0.063232630491256714  0.031703043729066849   0.17257937788963318,    0.64097003594021373    -0.56847763709733101       1.132977245436706     0.64539635524063499    -0.08004685131535183    -0.16009636155445151 -2.6645352591003757e-12,0.015543433837592602
IIWA_14,1715792167.7020686, 0.52013597374908593   1.2738888924547151 -0.10684943183471587  -1.3000822136557528  -1.0949389960856655   1.8429872559529354 -0.56267403995941656,-0.0057998246924996092 -0.0017712608855286701   -0.10219986758950775  -0.087706698028162305 -0.0033271681428009747   -0.24011295981393119 0.00016201061704147716,   14.091980308532715    62.566437850952148    12.199066257476806   -5.8017818145751949    1.3504951095581055  -0.92716216278076169 -0.071756610870361323, -54.545306813665327   3.5958120378409579  -32.938994369071636  -16.015304358534848 -0.92222573026991006  -4.1070449705183689  0.54367453117531495, 0.54185891151428223 0.041526317596435547  0.16587170958518982, 0.46855789422988892 -0.49160200357437134  0.50130343437194824  0.53616774082183838,0.0070671839639544487 -0.029810080304741859 -0.014278656803071499,-0.075511395931243896   -1.5484268665313721   0.15236809849739075,  0.25274309515953064 -0.017753042280673981  0.063239552080631256 -0.017753042280673981   0.23594748973846436  0.031578265130519867  0.063239552080631256  0.031578265130519867   0.17254728078842163,  0.63757551302678905  -0.56602217395163024    1.1279621116582206   0.64266522603784182 -0.079563466567122987  -0.15862294908863817                     0,0.023281076923012733
IIWA_14,1715792167.7070966,0.52012291094138241  1.2738326265302895 -0.1081729695480423 -1.3011510267824862 -1.0949587460569481  1.8397693117986387 -0.5626736205349806,  -0.00516237206214062 -0.0036676456854488134   -0.13470140260466323   -0.11291788349186375 -0.0034517333655457094   -0.32080813402301578 0.00014638547107158586,  15.915527313232422   61.725394309997561   12.580833179473878  -6.5774139060974122   1.5256897163391112  -1.1120605926513671 -0.07809789276123047, -54.351232399157361    3.463449475077168  -32.825257867033905  -15.965968432670373 -0.95522901949206118  -3.8355586541529676  0.59231271699378996, 0.54198026657104492 0.041090421378612518  0.16561064124107361, 0.46897566318511963 -0.49154964089393616  0.50128418207168579  0.53586840629577637, 0.010481622070074081 -0.041280969977378845 -0.021845091134309769,-0.076288409531116486   -1.5483455657958984   0.15368981659412384,  0.25277191400527954 -0.017635082826018333  0.063242785632610321 -0.017635082826018333   0.23600766062736511  0.031414471566677094  0.063242785632610321  0.031414471566677094   0.17249318957328796,    0.63301414723504479    -0.56279896910993443       1.121303424327813     0.63902502717994025   -0.078928956910750969    -0.15690451617178525 -4.4408920985006262e-12,0.032966859638690948
