DesiredFlux,0.822,HitTime,1715793101.9173079,DesiredPos, 0.5428653359413147  0.3188396692276001 0.21929699182510376
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715793101.3736303, -0.4636109388333724   1.1210951780983007 0.018431438300946304  -1.3162067486189093  -1.9600136555321404  -1.8858068316633909 -0.91327955033847097, 0.00065221603550936764  1.0635298071412346e-06  6.1457900605755195e-06 -0.00085717373032248188 -9.5823964079643798e-07  -3.217849599895681e-06 -3.8373370706175697e-06,-0.10081872940063477   64.439299083709713  -1.9597145462036132  -15.330848655700683   -1.179702377319336   1.8176116409301757 -0.22027610778808593,-0.016774912684546478   -2.1044796429317465   0.72228509048946588  -0.22509035345914885   0.58550616004663103   0.58157913301502473  -0.31637956497014968,  0.54777657985687256 -0.039733100682497025   0.21305343508720398, -0.70095288753509521 -0.011517355218529701  0.016864527016878128   0.71291512250900269,-0.00021701435616705567  0.00067602039780467749 -0.00012440314458217472,-0.0025624926201999187     1.1869542598724365  0.0032556510996073484, 0.24788400530815125 0.029177498072385788 0.064817324280738831 0.029177498072385788  0.23184980452060699 -0.02256113663315773 0.064817324280738831 -0.02256113663315773  0.18601395189762115,   -1.0856110769834615   -0.37562714163907884    -1.1408635343919116    0.67453887567836546    0.54337050081532112   0.089107496900275862 2.4938608511604343e-05,0.00049918232252821326
IIWA_7,1715793101.3786323, -0.4636103996357166   1.1210955976318198 0.018431558183249298  -1.3162106434302183  -1.9600136555321404  -1.8858067117810879 -0.91327955033847097, 0.00054334073463958366   1.763216460715332e-05  9.7119241682351123e-06 -0.00084153143661895547 -7.6659171263715047e-07  2.2210124390254846e-06 -3.0698696564940558e-06,-0.084687732696533208    64.595232051849365   -1.9667575454711914    -15.33877202987671   -1.1700182533264161    1.8186128959655761  -0.21960860443115235,-0.014300548953742998   -2.1072921210426161   0.72444438359317398   -0.2187627548271309   0.58947723394362017   0.58440649706384751  -0.31656570411961854,  0.54777556657791138 -0.039732515811920166   0.21305276453495026, -0.70095229148864746 -0.011516106314957142  0.016865810379385948   0.71291571855545044,-0.00021367160661611706  0.00056413654237985611 -0.00012665743997786194,-0.002561887027695775    1.1869544982910156 0.0032558252569288015,  0.24788442254066467  0.029177332296967506  0.064817130565643311  0.029177332296967506   0.23184995353221893 -0.022561142221093178  0.064817130565643311 -0.022561142221093178   0.18601348996162415,   -1.0856035984447843   -0.37562667197832411    -1.1408594729065413    0.67453428021835293     0.5433693753147395   0.089109647130491965 2.4938985987432716e-05,0.00042687129462137818
IIWA_7,1715793101.3836317,-0.46360950079115182   1.1210958971739526 0.018431737952162255  -1.3162144783549172  -1.9600140391555099  -1.8858068316633909 -0.91327967022077394, 0.00047062637030280299  2.6087417000743854e-05  1.4960295852870804e-05  -0.0008266221372515201 -1.5958208150724215e-05 -3.0184821677216418e-06 -7.2511878441372741e-06,-0.055114238739013673    64.751165019989017   -1.9553126716613769   -15.363422527313233   -1.1744201278686524    1.8206154060363768  -0.21760609436035155,  30.644649149876251   2.5774150232678465    19.21491418725434  -7.3371123381080272   1.0059839866012723   2.3097940025640153 -0.31666627236837425,  0.54777467250823975 -0.039731897413730621   0.21305212378501892, -0.70095175504684448 -0.011515139602124691   0.01686701737344265   0.71291625499725342,-0.00020765626686625183  0.00047603910206817091 -0.00012675802281592041,-0.0025612711906433105     1.1869547367095947  0.0032560876570641994,  0.24788479506969452  0.029177200049161911  0.064816951751708984  0.029177200049161911   0.23185008764266968 -0.022561142221093178  0.064816951751708984 -0.022561142221093178   0.18601307272911072,   -1.0855973701069388   -0.37562598357077093    -1.1408559343486502    0.67452993908645453    0.54336877352856305   0.089112232644517064 2.4939469156493033e-05,0.00037022653850726783
IIWA_7,1715793101.3886321,-0.46358067875113362   1.1211061436747418 0.018462657223442883  -1.3162456373908038  -1.9600123133739455  -1.8857873572795973 -0.91327955033847097, 0.0015293826969700378  0.0004307299651677725  0.0012487390879073852 -0.0019076591452641886 5.6264696052270158e-05 0.00077656056600869481  -1.00565815636779e-06,-0.20163745880126954   64.724280025482173  -2.4095861244201662  -15.063214683532715  -1.2175584983825682   1.7535313186645507 -0.21960860443115235,   30.64625938191454   2.5771149331935717   19.215764145000307  -7.3371441657791152   1.0059809432750348   2.3096088853442622 -0.31688737474223821,  0.54777359962463379 -0.039731007069349289   0.21305133402347565, -0.70095103979110718 -0.011513997800648212  0.016868554055690765   0.71291691064834595,-0.00020857118943240494  0.00041647360194474459 -0.00013313798990566283,-0.0025607079733163118     1.1869550943374634  0.0032563938293606043,  0.24788522720336914  0.029177021235227585  0.064816758036613464  0.029177021235227585    0.2318502813577652 -0.022561114281415939  0.064816758036613464 -0.022561114281415939   0.18601256608963013,   -1.085588994444997  -0.37562451448103218   -1.1408502330816361   0.67452429250369761    0.5433680418143183  0.089115742323286895 2.494012818488045e-05,0.00033548334613442421
IIWA_7,1715793101.3936317,-0.46312395990164096    1.121183621676398 0.018975701883971293  -1.3164909544345624  -1.9600037806337656  -1.8856184396240168 -0.91327984998968692,   0.019492260137282651   0.0034437040383797934    0.021520777691462326   -0.011338809066556571  0.00038632136404095229   0.0073779546760301745 -1.2790575163151643e-05, -9.2712903556823729   61.414737201690677  -8.4656851196289065  -11.627111415863038   -1.166496753692627   1.7722214126586915 -0.25031375885009766, 30.647233144572954  2.5769287264896872  19.216269132972023 -7.3370960626527477  1.0060621318163754  2.3096180406356375 -0.3170706747584785,  0.54777246713638306 -0.039729919284582138   0.21305061876773834, -0.70095032453536987 -0.011513212695717812  0.016870314255356789   0.71291756629943848,-0.00021139171440154314  0.00037676174542866647 -0.00013527287228498608,-0.0025602250825613737     1.1869553327560425  0.0032567060552537441,  0.24788559973239899  0.029176881536841393  0.064816579222679138  0.029176881536841393   0.23185048997402191 -0.022561060264706612  0.064816579222679138 -0.022561060264706612   0.18601207435131073,   -1.0855817414885394   -0.37562224777509812     -1.140844264519103    0.67451804801166304      0.543368351565654    0.08912088343659974 2.4941108733855799e-05,0.00031350346398539841
IIWA_7,1715793101.3986461,-0.46262871181807974   1.1211590540945977 0.019548607738101527  -1.3166752718937147  -1.9599894954629038  -1.8853057113104783 -0.91327967022077394,   0.035403731452274809   0.0017722599586938357     0.04013285631837922   -0.016443745619335703  0.00088046392570363967    0.018411496282362431 -3.0417036114059334e-06,  -18.64205519104004   61.519588680267333  -13.311268615722655  -11.855128517150879 -0.77561029434204098   1.6433932647705078 -0.21994235610961915,  30.618965004577756   2.5592554296542236   19.198269234867997  -7.3211442345531834   1.0125416812031569   2.3117479614648939 -0.32069910024094445,  0.54776912927627563 -0.039698604494333267   0.21304324269294739, -0.70093971490859985 -0.011515330523252487  0.016889112070202827   0.71292752027511597,-0.00030369701562449336   0.0015539075247943401 -0.00040292975609190762,-0.0025596506893634796     1.1869555711746216  0.0032570990733802319,  0.2478862851858139 0.029173335060477257 0.064817182719707489 0.029173335060477257  0.23185527324676514 -0.02255656011402607 0.064817182719707489 -0.02255656011402607   0.1860077977180481,   -1.0854050925663827   -0.37551075415365176    -1.1406078843352319     0.6743909626258926    0.54336648847197466   0.089209579318350052 2.4959023292581151e-05,0.0011314192088320851
IIWA_7,1715793101.4036314,-0.46232389300946208    1.121142875328764 0.020182573281614314  -1.3169719413237226  -1.9599840306624829  -1.8848697252271702 -0.91328056906533872,   0.040515737506526137  0.00077065733360676516    0.057464906795214862   -0.025021773695786377  0.00092296315739696336    0.032168640358213221 -3.8387145480260763e-05, -22.338741935729981   61.127067760467533  -14.368598880767822  -12.661551933288575  -1.2906296157836914   1.6200306472778321 -0.19924975204467774,  30.158088838754292   2.4680609199874337   18.838276149209925  -7.1776711360010355   1.0611087994486657   2.3917579382227716 -0.33762196336840433,   0.5477716326713562 -0.039234500378370285   0.21303422749042511, -0.70078372955322266 -0.011693106032907963  0.017118576914072037   0.71307253837585449,-0.00014982957509346306    0.019807334989309311 -0.00068040640326216817,-0.0025590274017304182     1.1869630813598633  0.0032574308570474386,  0.24785710871219635  0.029138779267668724  0.064842827618122101  0.029138779267668724   0.23192273080348969 -0.022485110908746719  0.064842827618122101 -0.022485110908746719   0.18597905337810516,   -1.0834877374756857   -0.37377016499462457    -1.1373457504690876    0.67272482149061119    0.54359044867791084    0.09077009221147847 2.5277182125194031e-05,0.013724219053983688
IIWA_7,1715793101.4086299, -0.4622231056993133   1.1211214235960107 0.020979584102272984   -1.317437049098265  -1.9599785658620619   -1.884189021184369  -0.9132815876831234,   0.036444082411172377   -0.000241543443244693    0.077852358262518712   -0.038621729938322677  0.00095696254276050408    0.052963073998617917 -7.1454427771250453e-05, -20.085779396057131   60.898545307159424  -12.066418495178223   -11.73539752960205 -0.92087215423583979   1.2161911163330079  -0.2142685775756836,  29.766552597704052   2.5039285829149951   18.494232012352001  -7.1455667106979188   1.0664332709303739   2.4404990351190037 -0.32859398878380097,  0.54782867431640625 -0.038741651922464371   0.21307183802127838, -0.70067751407623291 -0.011922065168619156  0.017277883365750313   0.71316927671432495, 0.0021383799612522125   0.035562265664339066 0.00096626020967960358,-0.0025588443968445063      1.187069296836853  0.0032632637303322554,  0.24780365824699402  0.029101740568876266  0.064881257712841034  0.029101740568876266   0.23199082911014557 -0.022402325645089149  0.064881257712841034 -0.022402325645089149      0.18597412109375,   -1.0814739228148795   -0.37181568633481987    -1.1337797049355558    0.67093104488957778      0.543736029759323   0.092132947608902782 2.5552287397090367e-05,0.024676678702235222
IIWA_7,1715793101.4136326,-0.46217888396480628    1.121090684093643 0.022082132807201175  -1.3179895218374267  -1.9599722381708589  -1.8832547310550625 -0.91328176745203637,   0.030924135309218771  -0.0014228148493061685     0.10638383480714259   -0.052996293517126238   0.0010186776823288795    0.079742064371157134 -6.4354298736115747e-05, -15.936080493927001   59.906489009857175  -10.744975757598876  -11.763569526672363 -0.94640302658081055   1.3520280494689942 -0.22828614807128905,  29.558350273565516   2.4751326303337478   18.264944233809622  -7.0974032623675116   1.0892910546972572   2.4422203160571732 -0.33830585930385526,  0.54786616563796997 -0.038315456360578537   0.21307629346847534, -0.70057225227355957 -0.012041045352816582  0.017384272068738937   0.71326804161071777,0.0031839669682085514  0.045502152293920517 0.0009616775787435472,-0.0025634504854679108     1.1871763467788696  0.0032721804454922676,  0.24777033925056458  0.029047908261418343  0.064913526177406311  0.029047908261418343   0.23205524682998657 -0.022324679419398308  0.064913526177406311 -0.022324679419398308   0.18595747649669647,   -1.0788733938769113   -0.37010404036497135    -1.1300651514272175    0.66922796154855746     0.5435430879314751   0.093035121386364494 2.5739011810799184e-05,0.031586814671754837
IIWA_7,1715793101.4186323,-0.46205958100203853   1.1210175803234248 0.023527010937030923  -1.3186496728829564  -1.9599749226617813   -1.881967445466546  -0.9132815876831234,  0.029511426758084706 -0.0040624026881723677      0.142902193038904   -0.06880307663489077 0.00070756250896532834    0.11528507503758288 -4.429268246977722e-05, -15.085170417785644    60.21297794723511  -10.854142246246338  -12.121001739501953  -1.3003137397766114  0.89445449829101564 -0.23996745681762696,  29.487245553978976   2.3905587665388772   18.095336849393693     -7.0379225437035   1.1245997379975092   2.3857521864456031 -0.36657536335673557,  0.54789543151855469 -0.037920627743005753   0.21304437518119812, -0.70046514272689819 -0.012035666964948177   0.01741805300116539   0.71337252855300903,  0.0036887673195451498    0.052203305065631866 -0.00048843445256352425,-0.0025955827441066504     1.1872779130935669  0.0032554506324231625,  0.24775557219982147   0.02896476536989212  0.064943991601467133   0.02896476536989212   0.23212228715419769 -0.022242521867156029  0.064943991601467133 -0.022242521867156029   0.18592768907546997, -1.0751643034012659 -0.36846458328998466  -1.1256552093339423  0.66741516971990933  0.54285730867054127 0.093385678201052258 2.58199985836427e-05,0.036230694502592087
