DesiredFlux,1.049,HitTime,1715185925.8812563,DesiredPos,0.56034225225448608  0.1971776932477951  0.2204110324382782
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715185925.4054241,-1.1070257580755583  1.5040190272491876  1.1120182064056257 -1.1183879417177471  -2.818105059258905 -1.5916118468931559 -0.3547790766221911, 0.00039026290586687126 -8.1718979065574513e-06  -0.0019432263384845665  2.7897453226166972e-05  9.1977177005789956e-06 -1.2398914199734341e-05 -7.0672166855321444e-06,-0.34278367996215819   64.095171154022211  -20.716101970672607  -5.8227996444702148  -2.1199427795410157  0.92048712921142573 -0.09278296661376953,-0.0081501451835954697     1.4774761582454343   -0.44474307889977016   -0.52436640340245555    -7.8620347669715196   -0.41578713998630601    0.76255417522465718, 0.56258636713027954 -0.14787143468856812  0.23140639066696167, -0.68796700239181519  0.026559986174106598 -0.012182049453258514   0.72515344619750977,-0.00012455476098693907  0.00015000841813161969 -0.00085936725372448564, -0.001684401766397059     1.1555609703063965 -0.0082497131079435349,   0.15180544555187225 -0.0033469388727098703   0.052280701696872711 -0.0033469388727098703    0.25403156876564026  0.0002219402085756883   0.052280701696872711  0.0002219402085756883    0.25053653120994568,    0.10531639997601872   0.0063948355877307961    0.011284154447288586    -0.14292560691986367     0.20441643903135187     -0.1512126280820425 -1.6785936640673071e-05,0.0007999259396456182
IIWA_7,1715185925.4104016, -1.1070275556556048   1.5040190272491876   1.1120097574848831  -1.1183874024110083   -2.818105059258905  -1.5916120266620688 -0.35477895673988807,  0.0002403071228298203 -6.5375183252459614e-06   -0.001892537900491154  4.3890232133838832e-05   7.358174160463197e-06 -1.7109887874461963e-05 -8.5848122726324016e-07, -0.40461916732788084    64.076351657867434   -20.710819721221924   -5.7955080223083497   -2.1120194053649901   0.92215588760375977 -0.095119228363037114, 33.949063331364052  4.6518585743785765  7.8000400996494905  -23.59170773168621 -7.2364781332746073  -1.062091610844405 0.76230836820917469,0.56258523464202881 -0.1478734165430069 0.23140256106853485, -0.68796855211257935  0.026563743129372597 -0.012180489487946033   0.72515189647674561, -0.0001451065472792834  4.0593975427327678e-05 -0.00084061961388215423,-0.0016828111838549376     1.1555609703063965 -0.0082429535686969757,   0.15180625021457672 -0.0033464406151324511   0.052281491458415985 -0.0033464406151324511    0.25403156876564026 0.00022179882216732949   0.052281491458415985 0.00022179882216732949    0.25053569674491882,    0.10530092936367197   0.0063909386396332479    0.011281236324212074    -0.14291072792849135     0.20441863586340148    -0.15121693816144699 -1.6787010004293279e-05,0.00077524263178929687
IIWA_7,1715185925.4154248, -1.1070290536935183   1.5040190272491876   1.1120016681019662  -1.1183868632133525  -2.8181052510705897  -1.5916121464352888 -0.35477889685327813, 0.00013232418172408252 -5.2300146601967693e-06  -0.0018376056370670751  5.6680091941380995e-05  -1.785928061936689e-06 -1.8478839099916274e-05  1.7086794161423144e-06, -0.43419266128540041    64.079040157318119   -20.715221595764159   -5.7955080223083497   -2.1164212799072266   0.92148838424682622 -0.094785476684570311, 33.951611824949026  4.6527626341324035  7.8003012359608368 -23.593290032621866 -7.2366243672989423 -1.0623711883499267 0.76202750996876079, 0.56258416175842285 -0.14787536859512329  0.23139891028404236, -0.68796998262405396  0.026567360386252403 -0.012178925797343254     0.725150465965271,-0.00015958493168000132 -4.5482742280000821e-05 -0.00081882713129743934,-0.0016812863759696484      1.155561089515686 -0.0082363728433847427,   0.15180701017379761 -0.0033459437545388937   0.052282236516475677 -0.0033459437545388937    0.25403159856796265 0.00022166017151903361   0.052282236516475677 0.00022166017151903361    0.25053492188453674,    0.10528549936861253   0.0063871167261808637    0.011278339398401727    -0.14289602826034198     0.20442080389537765    -0.15122097912056987 -1.6788022971780947e-05,0.00075840833596885204
IIWA_7,1715185925.4204254, -1.1070026284268955   1.5040256784808006   1.1120196444478463  -1.1184192805225466  -2.8181052510705897   -1.591619277087031 -0.35477895673988807,  0.0011628700102947469  0.00026186525279307127 -0.00075103067445056178  -0.0012513482942117576 -1.4287424495493514e-06 -0.00030000914096721626 -1.0285208650390552e-06,      -0.688255859375    63.991663925170897   -21.130758552551271   -5.4178271865844723   -2.1692437744140625   0.95419604873657227 -0.097455490112304685, 33.953409005980369   4.653621822516417  7.8003930276574795 -23.594471372863108 -7.2367381757745033 -1.0626166672524122 0.76177758122765837, 0.56258314847946167 -0.14787711203098297  0.23139534890651703, -0.68797141313552856  0.026570729911327362 -0.012177366763353348   0.72514897584915161, -0.0001679928827797994 -0.00010626125003909692 -0.00079697120236232877, -0.001679668202996254      1.155561089515686 -0.0082297725602984428,   0.15180772542953491 -0.0033454874064773321   0.052282944321632385 -0.0033454874064773321    0.25403162837028503 0.00022154385806061327   0.052282944321632385 0.00022154385806061327    0.25053414702415466,    0.10527132328430611    0.006383912221519239    0.011275831812262993     -0.1428825642544318     0.20442321658897811    -0.15122441176496082 -1.6789043488785182e-05,0.0007456220337189734
IIWA_7,1715185925.4254231,-1.1065575343428857   1.504069420904262  1.1122751481057842 -1.1189619261853552 -2.8181064015916326 -1.5916703898177571 -0.3547790766221911,   0.018734059368624711   0.0019591891406900708   0.0096193217779562152   -0.022706905147713168 -4.7163835674872498e-05  -0.0022845165418181952   -5.61810881319372e-06, -8.8249994468688957   62.371843006134036  -23.489282932281494   2.4800161170959472  -2.1947746467590332   1.4995462913513184 -0.10179426193237305, 33.918496977197186  4.6532753711200998  7.7787155882034096 -23.564212124259907 -7.2396328550414202 -1.0480319645145868 0.76133939000213835, 0.5625799298286438 -0.1478472501039505 0.23140060901641846,  -0.6879618763923645   0.02654716931283474 -0.012155935168266296   0.72515928745269775,-0.00026220022118650377   0.0011097460519522429 -0.00042714516166597605,-0.0016781387384980917     1.1555613279342651 -0.0082235643640160561,   0.15180888772010803 -0.0033516217954456806   0.052282240241765976 -0.0033516217954456806    0.25403106212615967 0.00022479341714642942   0.052282240241765976 0.00022479341714642942    0.25053533911705017,    0.10546189578919396    0.006473826263064808    0.011332019498766499    -0.14305928227109632     0.20444389694995735    -0.15111476674256608 -1.6780498324209248e-05,0.0011053591733798385
IIWA_7,1715185925.430413,-1.1060945237996058   1.504061750945781  1.1125195065274514 -1.1196531163844683   -2.81809700596067 -1.5916768013938474 -0.3547790766221911,   0.033507669226096048   0.0012605529733118682    0.017469794289050801   -0.045813132082695454  0.00033809416996342652  -0.0020840762770653783 -4.4944870505549761e-06,   -18.44176198196411    61.148575756073001   -24.345887718200682    6.9505599021911619   -1.4887139701843262    1.3183191299438477 -0.090112953186035155,  33.359968776000727   4.6120739588094466   7.5479809873673194  -23.084893298956356  -7.2565057253933052 -0.83511320407315526  0.75507653087520432, 0.56253963708877563 -0.14735676348209381  0.23148883879184723, -0.68783998489379883  0.026179641485214233 -0.011816004291176796   0.72529387474060059,-0.0018323021940886974   0.020503982901573181  0.0031887881923466921,-0.0016766857588663697     1.1555614471435547 -0.0082176458090543747,   0.15182919800281525 -0.0034539010375738144   0.052271604537963867 -0.0034539010375738144    0.25402224063873291 0.00027855572989210486   0.052271604537963867 0.00027855572989210486     0.2505544126033783,    0.10863905110625183   0.0079610576553257317    0.012271077211689629     -0.1459891978172756     0.20481421548312895    -0.14937516190816069 -1.6663793456217491e-05,0.018909798935055733
IIWA_7,1715185925.4354208,-1.1058450122933223  1.5040576763655591  1.1128713033817972 -1.1205286838202608 -2.8180958554396272 -1.5916997511645141  -0.354779436160017,   0.036786595632216645  0.00084545916977385015    0.028047709605073905   -0.071673203097857754  0.00031649617768597426  -0.0025852518483221818 -1.7977102676454301e-05, -23.008178298950195   61.710472141265868  -25.495657348632811   8.9190781974792479  -2.0283837890625001   1.6000055465698242 -0.12081810760498046,  32.838137963606194   4.5776044450241606   7.3576340534154978  -22.624702022140401  -7.2728755831242076 -0.62157361035173531  0.75145100547358012, 0.56248033046722412 -0.14680437743663788  0.23158760368824005, -0.68772035837173462  0.025785868987441063 -0.011428816244006157   0.72542756795883179,-0.0038668939378112555   0.038488771766424179   0.006506799254566431,-0.0016752952942624688      1.155561089515686 -0.0082118809223175049,   0.15185900032520294 -0.0035716774873435497   0.052262607961893082 -0.0035716774873435497    0.25401195883750916 0.00034041758044622838   0.052262607961893082 0.00034041758044622838    0.25057452917098999,     0.1122981621968222   0.0096719444977466651    0.013359293491443935    -0.14934560819179765     0.20523874226485717    -0.14743875809086759 -1.6542692549137428e-05,0.035608023405075073
IIWA_7,1715185925.4404418,-1.1058368030281025  1.5040757724846592  1.1133341941518573 -1.1216603542164232 -2.8180914451671404 -1.5917070615851692  -0.354779436160017,    0.02975764711456641   0.0014002120998225253    0.040953798486463938    -0.10260537832478037  0.00042960784161940425  -0.0023606183048597031 -1.4381682141163442e-05, -22.504084651947021   63.273834571838378  -24.584469318389893   7.6055588340759277  -1.3302464866638184   1.2715938949584962 -0.10880304718017578,  32.475693585179165   4.5651249421095761   7.1450724430834818  -22.228291675137783  -7.3006321606683349 -0.38761816682181294  0.74685798391720559, 0.56235522031784058 -0.14629000425338745  0.23172807693481445,  -0.6875573992729187  0.025382915511727333 -0.011065191589295864    0.7256019115447998,-0.0081400731578469276   0.051347926259040833   0.010834203101694584, -0.001673655235208571     1.1555572748184204 -0.0082195773720741272,   0.15189085900783539 -0.0036867940798401833   0.052247665822505951 -0.0036867940798401833    0.25400099158287048 0.00040165000245906413   0.052247665822505951 0.00040165000245906413    0.25060349702835083,    0.11587598739826177    0.011365840350663348    0.014431662154645863    -0.15264749292631663     0.20553970704861868    -0.14554185773363315 -1.6392247115248892e-05,0.048208072781562805
IIWA_7,1715185925.4454257,-1.1059491552171241  1.5041061525582839  1.1139685790107228  -1.123157064043548 -2.8180872267063384   -1.59171497109009  -0.354779436160017,   0.019312030130788572   0.0023353726248487991    0.058138433143789817    -0.14195269574481623    0.000512424705375841  -0.0022048748407197628 -1.1505345712930755e-05,  -18.31405825805664   63.142098098754886  -25.477169475555421   6.6274623107910156  -1.9456285476684569   1.3827332038879394 -0.10012550354003906,  32.232471053592356   4.5485148417457006   6.9186916351173693  -21.861708073025039   -7.333647260568557 -0.12888975666824931  0.73544221152845979, 0.56215167045593262 -0.14579945802688599  0.23190324008464813, -0.68733543157577515  0.024979259818792343 -0.010714936070144176   0.72583144903182983,-0.014706501737236977  0.060672122985124588  0.015693271532654762,-0.0016567261191084981     1.1555521488189697 -0.0083521520718932152,   0.15193004906177521  -0.003806036664173007    0.05222855880856514  -0.003806036664173007    0.25398898124694824 0.00046417469275183976    0.05222855880856514 0.00046417469275183976    0.25064077973365784,    0.11958322217608952    0.013096763022968361    0.015524373286446291    -0.15608859903881722     0.20565721163157136    -0.14368309510626176 -1.6202245323171383e-05,0.058434616774320602
IIWA_7,1715185925.4504237, -1.106027232412129  1.5041240689084712   1.114700635439773 -1.1250211502975034 -2.8180988275608105 -1.5916998710468171  -0.354779436160017,   0.012326536304436645   0.0025849521073678097    0.075793003677042906    -0.18812560675406897 -5.4094414585734911e-05  -0.0011598981416607946  -9.204276570344604e-06,  -16.579976112365724    62.867871154785156   -25.506221847534178    6.0402522468566895   -2.0952922821044924    1.4381359825134277 -0.096787986755371092, 31.948160545171024  4.5340205796134878  6.6148168435715977 -21.409777444928636 -7.3823790976166697  0.1994364405075208 0.72119304546371499, 0.56186604499816895 -0.14521785080432892  0.23214204609394073, -0.68703514337539673  0.024481333792209625 -0.010301828384399414   0.72613859176635742,-0.023270038887858391   0.07175784558057785  0.022143740206956863,-0.0016260428819805384     1.1555464267730713 -0.0084999632090330124,   0.15197919309139252 -0.0039520179852843285   0.052201412618160248 -0.0039520179852843285    0.25397363305091858 0.00054038321832194924   0.052201412618160248 0.00054038321832194924    0.25069189071655273,    0.12412331942801558    0.015207783572446232    0.016854454658599138    -0.16030943704548051     0.20571114247935895    -0.14144203168342528 -1.5950188725355474e-05,0.071369156241416931
