DesiredFlux,0.504,HitTime,1715867361.5261853,DesiredPos,0.56087201833724976  0.1501527726650238 0.22158136963844299
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715867360.7793107, -1.0654634474178202   1.5352059951669903   1.0888145298207486 -0.91794968293416945  -2.8188522038193558  -1.7721095538209179 -0.33493409899621462,-0.00032981042371936221  -0.0018743384585957047  1.9950632026392997e-07 -0.00025532846465989257  3.9400592774199667e-06 -3.8234056329335199e-06  1.2110582274695211e-06, 0.16265421676635741   67.920905872344974  -18.192947483062746  -6.6714810562133788  -2.1102586555480958   0.7726351356506348 -0.15285826873779296, -0.18187259973220915   0.42883641534889483  -0.90099532198604271  -0.37383862585843786   -5.9662974401473647 -0.060455319409129737   0.28684180793422454, 0.56531065702438354 -0.19997967779636383  0.22877700626850128,  -0.68663972616195679   0.012990163639187813 -0.0031115959864109755    0.72687512636184692,-9.0678353444673121e-05 -0.00019862563931383193  0.00088663317728787661,-0.0011563448933884501    0.55447608232498169 -0.0018723647808656096,   0.14296615123748779   0.022128626704216003   0.050735935568809509   0.022128626704216003    0.25039860606193542 -0.0076688779518008232   0.050735935568809509 -0.0076688779518008232    0.24575965106487274,   -0.70402538106195678    -0.21314418153695058     -0.1380694596013754     0.66457326383373427     0.34993126539584196    -0.11923363593302483 -1.6485475207161926e-05,0.00082999130245298147
IIWA_7,1715867360.7843125, -1.0654638069556459   1.5351985648640323   1.0888144100475285 -0.91794602777838352  -2.8188522038193558  -1.7721096737032209 -0.33493409899621462,-0.00027822985200483876  -0.0017966828851974637 -4.6313237441355615e-06  -5.805654029067376e-05  3.1520474219359736e-06  -7.854016625288846e-06  9.6884658197561682e-07, 0.16399846649169922   67.938381118774416  -18.202631607055665  -6.6547539329528806  -2.1128997802734375  0.77463764572143556 -0.15185701370239257, 16.147082725001766 0.85708199059479384  3.3464652265584527 -10.065302448369078 -5.0937407950929989 0.34020254424339336 0.28722482452009612,  0.5653112530708313 -0.19998137652873993  0.22878058254718781,  -0.68664246797561646   0.012989284470677376 -0.0031137738842517138    0.72687256336212158,-4.8594723921269178e-05 -0.00022671632177662104   0.0008522576536051929,-0.0011571157956495881    0.55447596311569214 -0.0018743758555501699,   0.14296570420265198   0.022129261866211891   0.050735324621200562   0.022129261866211891    0.25039839744567871 -0.0076689482666552067   0.050735324621200562 -0.0076689482666552067    0.24576012790203094,    -0.7040467499255243    -0.21314659713222994    -0.13807679991417743     0.66459573848165476     0.34993836768792974     -0.1192355178871729 -1.6487526455222223e-05,0.00080282503040507436
IIWA_7,1715867360.7893121, -1.0654351646845408   1.5351929922458967   1.0888312478933211 -0.91797359154509406  -2.8188522996379319  -1.7721052394760901 -0.33493409899621462, 0.00092310696260036805   -0.001660251033582271    0.000669808772706247  -0.0011489959006540037 -1.3111051098340126e-06  0.00017108587193223946   7.750772655804935e-07,-0.07527798461914062   67.943758117675785  -18.470265579223632  -6.2885179710388179  -2.1498755264282225  0.76095382690429691 -0.15219076538085938,  16.14792141085999 0.85742961934131989  3.3471278335644739 -10.067074202978961 -5.0937878278294644 0.33893185961408551 0.28771056811415463, 0.56531202793121338 -0.19998364150524139  0.22878435254096985,  -0.68664532899856567   0.012988570146262646 -0.0031165808904916048    0.72686982154846191,-7.4891427175316494e-06 -0.00027232032152824104  0.00083315826486796141,-0.0011578035773709416    0.55447602272033691 -0.0018762819236144423,     0.142965167760849   0.022130072116851807   0.050734639167785645   0.022130072116851807    0.25039812922477722 -0.0076690963469445705   0.050734639167785645 -0.0076690963469445705    0.24576063454151154,   -0.70407410332196108    -0.21315130885612987    -0.13808558558014994     0.66462485397078552     0.34994538148680476    -0.11923969533444989 -1.6489743792647005e-05,0.00079676235327497125
IIWA_7,1715867360.794312, -1.0648917399503874   1.5351910147878542   1.0890555326287623  -0.9184894524034537  -2.8188526832613015  -1.7720580216657558 -0.33493409899621462,   0.022475474936214847  -0.0014072991485627635   0.0095072364358140763   -0.021553631054908814 -1.6393818868481703e-05   0.0020255811109195303  6.2006181246439488e-07, -9.7713512535095219   66.782326354980469  -20.577883110046386  0.81786828994750971  -2.0081351661682127   1.1187356262207031 -0.16287081909179688, 16.148665600684026 0.85735596333253028  3.3481220391073396 -10.068646787484818 -5.0936186262537548 0.33765563920317382 0.28810945605063698, 0.56531292200088501 -0.19998596608638763  0.22878777980804443,  -0.68664819002151489    0.01298814918845892 -0.0031194179318845272    0.72686713933944702, 2.9605856980197132e-05 -0.00031055088038556278  0.00080349884228780866,-0.0011584991589188576    0.55447596311569214 -0.0018780847312882543,   0.14296464622020721   0.022130886092782021   0.050733990967273712   0.022130886092782021    0.25039786100387573 -0.0076692705042660236   0.050733990967273712 -0.0076692705042660236    0.24576108157634735,   -0.70410153850541946     -0.2131567160290615    -0.13809442627943369     0.66465430524953462     0.34995195104237098    -0.11924476507241266 -1.6491999765833043e-05,0.00078346225200220942
IIWA_7,1715867360.79931,  -1.064316557096082   1.5351483509778707   1.0892703498256764 -0.91890392686739875  -2.8188479853585537  -1.7718906020480891 -0.33493409899621462,  0.040987694121190563 -0.0028323917181911325   0.016198477025214236  -0.033821883401728939 0.00017480105481352951  0.0083172495954013069 4.9604944997151589e-07, -21.431373371124266   66.047021755218509   -22.14142894744873   2.0292641639709474  -1.9341836738586426  0.48560869216918945 -0.12015060424804687, 16.113446704760793 0.85593803283923542  3.3356289277170643  -10.04619654208576 -5.0953781232719262 0.34387335314234746 0.28833381077400344, 0.56531715393066406 -0.19995865225791931  0.22879563271999359,  -0.68664395809173584    0.01296746451407671 -0.0031048355158418417     0.7268715500831604,0.00019214685016777366 0.00084428122499957681 0.00095692655304446816,-0.0011591650545597076    0.55447584390640259 -0.0018798457458615303,   0.14296296238899231   0.022124391049146652   0.050733547657728195   0.022124391049146652    0.25040039420127869 -0.0076658874750137329   0.050733547657728195 -0.0076658874750137329    0.24576288461685181,   -0.70388021921674593    -0.21305494947299053    -0.13804375378390077     0.66441148161056063      0.3499644020927839    -0.11915106282067711 -1.6485130593935082e-05,0.00117302848957479
IIWA_7,1715867360.8043118, -1.0640321115158227   1.5350898679398797   1.0894280622492927 -0.91929563122050684  -2.8188503822192157  -1.7717969452805993 -0.33493457841634355,   0.044167978507324734  -0.0046052348941950181    0.019267278564822798   -0.042725680845706798  4.3966417372974796e-05    0.010400070375914925 -1.8779965597195583e-05, -23.504206447601319   68.640079475402828  -22.074520454406738   1.9667575454711914  -1.9368247985839844  0.70454979324340816 -0.16086830902099608, 15.484148160231657 0.82405250135113872  3.1420807356322644 -9.6284490815358215  -5.119771894686906 0.47193207870560994 0.28546391391770609, 0.56537455320358276 -0.19943998754024506  0.22886376082897186,  -0.68654406070709229   0.012613642029464245 -0.0027745545376092196    0.72697347402572632,0.0024388870224356651  0.021421179175376892 0.0034914356656372547,-0.0011599170975387096    0.55447584390640259  -0.001881722011603415,   0.14294466376304626   0.022001035511493683   0.050739523023366928   0.022001035511493683    0.25044798851013184 -0.0076047256588935852   0.050739523023366928 -0.0076047256588935852    0.24578256905078888,   -0.69967977777851686    -0.21120904587190736    -0.13705577648437384     0.65983002226621679     0.35018780976203701    -0.11734468197710513 -1.6338699282414382e-05,0.019851719960570335
IIWA_7,1715867360.8093119, -1.0639662581705664   1.5350908266710543   1.0895901489043469 -0.91974905445203947  -2.8188417536604593  -1.7716321622009339 -0.33493457841634355,   0.037968516616108471  -0.0036458386683691463     0.02189728905402779   -0.052317473937870833  0.00038031548415378059    0.014911379487347423 -1.5023972477756466e-05, -18.534515213012696   68.747619453430175  -20.310249137878419  0.48860807418823243  -1.5098429679870604  0.45256727600097657 -0.16954585266113281, 14.992143867238068 0.83963818776164678  2.9748242593294463 -9.3553971061478194 -5.1557095528283874  0.5268407097425889 0.29274771128452737, 0.56548219919204712 -0.19894646108150482  0.22894155979156494,  -0.68648505210876465   0.012307873927056789 -0.0025183202233165503    0.72703540325164795,0.0062317866832017899  0.036880392581224442 0.0059072556905448437,-0.0011606669286265969    0.55447626113891602 -0.0018834549700841308,    0.1429184228181839   0.021880732849240303   0.050739414989948273   0.021880732849240303    0.25049266219139099 -0.0075487680733203888   0.050739414989948273 -0.0075487680733203888    0.24580517411231995,   -0.69559590607770616    -0.20951144872061178    -0.13618514144875249     0.65543911246646047     0.35033455515742773    -0.11584871011027786 -1.6231389565746213e-05,0.034418195486068726
IIWA_7,1715867360.8143127, -1.0639034009011374    1.535088369901966   1.0898134749086137 -0.92032148088604082  -2.8188394526183735   -1.771468757276879 -0.33493481807186642,   0.032889104070047033  -0.0030149416982308413    0.026450871413893323   -0.064751036510350662  0.00039629407075349052    0.018465300552072593 -2.1605398897053017e-05, -12.594275676727294   67.227273014068601  -20.547950363159181 -0.73335229873657226  -2.1393110275268556  0.71122482681274413 -0.16320457077026368, 14.828508277479358 0.85652728678316326  2.9042594173954672 -9.2338154724773336 -5.1732201414457704 0.58718478927101336 0.29704504693786449,  0.5655137300491333 -0.19863155484199524  0.22900886833667755,  -0.68643605709075928   0.012096872553229332 -0.0023386662360280752    0.72708576917648315,0.0062267929315567017  0.042100626975297928 0.0074208788573741913,-0.0011631493689492345    0.55448591709136963 -0.0018877411494031549,   0.14290860295295715   0.021800560876727104   0.050739731639623642   0.021800560876727104    0.25052240490913391 -0.0075091980397701263   0.050739731639623642 -0.0075091980397701263     0.2458232194185257,   -0.69287613914248425    -0.20832998249709078     -0.1355703679237763     0.65246374281358044     0.35042379316019279    -0.11479649700563144 -1.6150921045010591e-05,0.039265953004360199
IIWA_7,1715867360.8193097, -1.0636988302050128   1.5350691352827783   1.0900322469125294 -0.92103927601160684   -2.818855080121963  -1.7711863490412723  -0.3349342787651276,   0.034494111101024544  -0.0031813381260896614    0.029911577287744053   -0.080512634230921448 -0.00030806488697362566    0.026068569865928801  4.2879504352628387e-06,  -10.80239079284668   66.810555599212648  -20.680006599426271  -1.4006764793395996  -2.0785651588439942  0.68185467910766606 -0.15319202041625976, 14.836730039475921 0.82244840878704806  2.8899686264838538 -9.1926817257420463 -5.1692023244822103 0.62694553881717952 0.28907051942537909, 0.56550508737564087 -0.19841101765632629  0.22904589772224426,  -0.68636244535446167    0.01198206190019846 -0.0022289399057626724    0.72715753316879272,0.0046188235282897949  0.042501334100961685 0.0074220062233507633,-0.0011917983647435904    0.55449461936950684 -0.0019276124658063054,   0.14291386306285858   0.021729767322540283   0.050744354724884033   0.021729767322540283    0.25054612755775452 -0.0074785333126783371   0.050744354724884033 -0.0074785333126783371     0.2458389550447464,   -0.69048992066855774    -0.20743171919956893    -0.13502090165884439      0.6498335394273802     0.35023542892176351    -0.11418737442570048 -1.6071475261725254e-05,0.039438575506210327
IIWA_7,1715867360.8243096, -1.0633778327396444   1.5350382160114977   1.0902703136404093 -0.92191694078774489  -2.8188476977282928  -1.7708169353788721 -0.33493481807186642,   0.040435187495555636   -0.003781841352096818    0.033451930945389188   -0.099516698430258885  4.8843837227189615e-05    0.035631402388750053 -1.8141909204694983e-05, -12.712569652557374   66.219085720062253  -20.134174156188966  -1.9614752960205077  -1.9042509269714356  0.41251707458496095 -0.15352577209472656, 14.791218251048376 0.80011389295297053  2.8363483581478022 -9.1063560048517882 -5.1745063417557473 0.69353904418126811 0.28245867531609159, 0.56548178195953369 -0.19814293086528778  0.22910349071025848,   -0.6862647533416748   0.011821418069303036 -0.0020878016948699951    0.72725272178649902,0.0027417941018939018  0.044722761958837509 0.0082483198493719101,-0.0012397971004247665    0.55450040102005005 -0.0019793456885963678,   0.14291970431804657   0.021645115688443184   0.050748325884342194   0.021645115688443184    0.25057503581047058 -0.0074397563003003597   0.050748325884342194 -0.0074397563003003597    0.24585995078086853,   -0.68763476626143571    -0.20630057653825418    -0.13433087534764354     0.64665891368775874     0.35003612918016458    -0.11337398067912119 -1.5966408195566828e-05,0.041409164667129517
