DesiredFlux,0.994,HitTime,1715868161.1577442,DesiredPos,0.59637778997421265   0.158436119556427 0.22129133343696594
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715868160.6412525,-0.89649582317004262   1.5790771865114777   1.0653564283004939 -0.63458280494636055   -2.819890708758213  -1.9117447689797107 -0.32610729788978193,  6.264112845588731e-05 -0.00036497197292251015 -0.00012371462180665014  -0.0026346899356670408 -6.7695024027935777e-07  8.7383145252835527e-06  1.0553852124562849e-05, 0.72320635223388674   73.101644313812258  -14.016448917388916  -9.1162821769714348  -2.0820866584777833  0.69353598785400394 -0.11948310089111328,-0.031501911539646654    1.7490824198318733 -0.040153618017484405   -1.5585423380090708   -2.6083553553393681  0.079230231109767013    1.2484641670194963, 0.60547208786010742 -0.20292967557907104  0.22259880602359772, -0.70172411203384399  -0.01553503330796957 0.0053425924852490425   0.71225935220718384,-0.00056719238637015224  0.00012162711936980486 -1.3764340110355988e-05, -0.0051227337680757046       1.090051531791687 -0.00073787878500297666, 0.12311353534460068 0.045192800462245941  0.04365886002779007 0.045192800462245941   0.2416110634803772 -0.01598496176302433  0.04365886002779007 -0.01598496176302433  0.23692603409290314,    -1.5457289471028091    -0.42484375448648137    -0.31695328132741452      1.7658137403335772     0.61739630960477854    -0.07632001860358173 -2.7232365695795124e-05,0.00052911386592313647
IIWA_7,1715868160.6462524,-0.89647634878624882   1.5790752091625184   1.0653569076115399 -0.63459287167823686   -2.819890708758213  -1.9117447689797107 -0.32610729788978193, 0.00082908825451646375 -0.00037107153670747756 -7.9799255606742653e-05  -0.0025104212235861358  -5.415601922234862e-07  6.9906516202268423e-06  8.4430816996502785e-06, 0.61432212448120116   72.774991630554197  -13.977712421417236  -9.0247231864929205  -2.0768044090270994  0.69353598785400394 -0.12148561096191406,-0.050841857160542958    1.7495056032403049 -0.044449991392863986   -1.5465525488681737   -2.6094157722350291  0.082028047185700365    1.2482874454293227, 0.60547167062759399 -0.20292024314403534  0.22259847819805145, -0.70172214508056641 -0.015540775842964649 0.0053509012795984745   0.71226108074188232,-0.00046915269922465086  0.00047439901391044259 -2.4196755475713871e-05, -0.0051208874210715294      1.0900523662567139 -0.00073671381687745452,  0.12311335653066635  0.045189917087554932  0.043659884482622147  0.045189917087554932   0.24161319434642792 -0.015983756631612778  0.043659884482622147 -0.015983756631612778    0.2369263619184494,    -1.5456028909994757    -0.42480183316317977    -0.31692818619877272      1.7656491588686762     0.61739207975719523   -0.076277759400333878 -2.7226723986473189e-05,0.00060880277305841446
IIWA_7,1715868160.6512499,-0.89645903152032747   1.5790729321623429   1.0653574469182787 -0.63459820464084937  -2.8198905171210611  -1.9117445892107976 -0.32610747765869486,  0.0013559612404674584 -0.00038793723638683159 -4.2267134932488868e-05  -0.0022216554833694789  7.2322379232232258e-06  1.2783277819737748e-05 -4.3629115717471279e-07, 0.47720865249633787   72.456404445648189  -13.906402053833007  -8.9041118240356436  -2.0627184104919434   0.6918672294616699 -0.11914934921264649, 31.428730016470276  5.3537183074914365   4.257291384444021 -18.198733365637153 -2.0251834142151965  1.9487768374539516   1.248269979558049, 0.60547327995300293 -0.20290645956993103  0.22259858250617981, -0.70172041654586792 -0.015549138188362122 0.0053612664341926575   0.71226257085800171,-0.00031147789559327066  0.00093117158394306898 -1.5353945855167694e-05,-0.0051195351406931877     1.0900532007217407  -0.000736027373932302,  0.12311232089996338  0.045186303555965424  0.043660849332809448  0.045186303555965424     0.241615891456604 -0.015982268378138542  0.043660849332809448 -0.015982268378138542   0.23692670464515686,    -1.5454447111622471    -0.42474751696364166    -0.31689985006622123      1.7654478328399392     0.61739106772051855   -0.076222761324018506 -2.7220118603565879e-05,0.00089546228991821408
IIWA_7,1715868160.6562495,-0.89643973701452984   1.5790701757420387   1.0653585854183665 -0.63459946302324011  -2.8198905171210611  -1.9117447689797107 -0.32610747765869486,  0.0018565492242791281 -0.00042060660127860581  1.1726295564433655e-05  -0.0018276596823249499  5.7857903385785811e-06  3.0358657322339249e-06 -3.4903292573977027e-07, 0.23927645111083984   72.191587249755855  -13.866785182952881  -8.7835004615783685  -2.0433501625061035  0.69320223617553711 -0.11981685256958008, 31.413289244521547  5.3540696931138783  4.2547643608057495 -18.191794512028846 -2.0258422150832147  1.9491876541511721   1.248483255789038, 0.60547608137130737 -0.20289123058319092  0.22259916365146637, -0.70171928405761719 -0.015558576211333275 0.0053717996925115585   0.71226340532302856,-0.00013585700071416795   0.0013535498874261975  1.1182044545421377e-05, -0.0051190191879868507      1.0900542736053467 -0.00073580234311521053,  0.12311077862977982  0.045182652771472931   0.04366162046790123  0.045182652771472931   0.24161864817142487 -0.015980757772922516   0.04366162046790123 -0.015980757772922516   0.23692703247070312,    -1.5452843252372617    -0.42469102019637717    -0.31687373740663105       1.765246795550901     0.61739363114021728    -0.07616468051896419 -2.7213794773217614e-05,0.001240505138412118
IIWA_7,1715868160.6612496,-0.89639275885971847   1.5790753289357382   1.0653756030330719 -0.63463032240791073  -2.8198905171210611  -1.9117237366713933 -0.32610729788978193,  0.0033643655718777529 -0.00013035753304142973  0.00069008562466777682  -0.0026965031326848755  4.6286322708628653e-06  0.00084372102528192908  6.9115301763031201e-06,-0.29976768875122073   71.907950557708745  -14.098323783874511  -8.2605577659606926  -2.0776847839355468  0.62478314208984376 -0.11981685256958008, 31.397114734043839  5.3590824843275229  4.2497834282825728  -18.18735436452895 -2.0280115897676385  1.9479419065619623  1.2495628507510945, 0.60548323392868042 -0.20286707580089569  0.22260206937789917, -0.70171898603439331 -0.015574393793940544 0.0053859078325331211   0.71226322650909424,0.00017250867676921189  0.0017350077396258712 0.00011446542339399457, -0.0051209330558776855      1.0900553464889526 -0.00073600595351308584,  0.12310731410980225  0.045177571475505829  0.043662026524543762  0.045177571475505829   0.24162253737449646 -0.015978587791323662  0.043662026524543762 -0.015978587791323662   0.23692762851715088,    -1.5450606757543284    -0.42460720660741913    -0.31684338202619955      1.7649730319098111     0.61740485217764984   -0.076079150579388966 -2.7205826036436065e-05,0.0015933229587972164
IIWA_7,1715868160.66625,-0.89579198958766171   1.5791188317036766   1.0655305590363839 -0.63512317360899351  -2.8198905171210611  -1.9114970550534736 -0.32610711812086896,  0.026722263339772883  0.0016358246911031813  0.0067503086322164901  -0.021871250549459018 3.7029058166902925e-06  0.0097422415370144125 1.2719980660157878e-05, -11.151895721435547   69.902329967498773  -14.776212463378906   -1.839983558654785  -1.8558303070068358  0.47492863845825195 -0.10646678543090821, 31.397152455304756  5.3590794685097851  4.2497933161902148 -18.187369338749139 -2.0280075885674096  1.9479471907099906  1.2495628507510945, 0.60548323392868042 -0.20286707580089569  0.22260206937789917, -0.70171898603439331 -0.015574393793940544 0.0053859078325331211   0.71226322650909424,0.00017250867676921189  0.0017350077396258712 0.00011446542339399457, -0.005124297458678484     1.0900568962097168 -0.0007365901255980134,  0.12310731410980225  0.045177571475505829  0.043662026524543762  0.045177571475505829   0.24162253737449646 -0.015978587791323662  0.043662026524543762 -0.015978587791323662   0.23692762851715088,    -1.5450606757543284    -0.42460720660741913    -0.31684338202619955      1.7649730319098111     0.61740485217764984   -0.076079150579388966 -2.7205826036436065e-05,0.0015933229587972164
IIWA_7,1715868160.6712515,-0.89515442888405594   1.5790955822817938   1.0656831182663007 -0.63565838907792693  -2.8198779575572308  -1.9110870747032693 -0.32610723800317193,  0.046880238816048955 0.00037868287757016799   0.011502616102443148  -0.038905619196904231  0.0005053448778646858    0.02419300723778077 5.3806924091842736e-06,  -23.204438758850099    68.687128215789798   -16.293098430633545    1.5538617134094237   -1.7220133209228516   0.43154092025756835 -0.073759120941162104, 30.058597007481293  5.1850916174762594  4.0354680402033454 -17.486217972487655 -2.0413292427418126  1.9979661900782433  1.2323887657155055, 0.60577809810638428 -0.20168328285217285  0.22258965671062469, -0.70155054330825806 -0.016102531924843788 0.0059718471020460129   0.71241271495819092,    0.01073379535228014     0.04321637749671936 -0.00029201232246123254, -0.0051330062560737133      1.0900568962097168 -0.00073890038765966892,  0.12300928682088852  0.044832535088062286  0.043737463653087616  0.044832535088062286   0.24185560643672943 -0.015855573117733002  0.043737463653087616 -0.015855573117733002   0.23696805536746979,    -1.5302905283576251    -0.42008709421725854    -0.31429349577027921      1.7464988626585409     0.61620731387357353   -0.072783804044185274 -2.6719942702868593e-05,0.040602412074804306
IIWA_7,1715868160.6762493,-0.89484523584400044   1.5790847365876557   1.0658589268090173 -0.63632447227941802  -2.8198775741083941  -1.9105921861575339 -0.32610550030973545,   0.049871912655059164 -0.00013088146346856253    0.016234434590618255   -0.057767823417166811   0.0004196138557590579    0.039149947619641731  7.3812291386409892e-05,-27.661970848083495   68.72342295837403 -16.435719165802002  3.4977295112609861 -1.8540695571899415 0.32173661804199216 -0.1061330337524414, 30.058505494082446   5.185187518553513  4.0353867849134799 -17.486282709587275 -2.0413835315549731  1.9978765877532316  1.2323887657155055, 0.60577809810638428 -0.20168328285217285  0.22258965671062469, -0.70155054330825806 -0.016102531924843788 0.0059718471020460129   0.71241271495819092,    0.01073379535228014     0.04321637749671936 -0.00029201232246123254, -0.0051330216228961945      1.0900601148605347 -0.00073890259955078363,  0.12300928682088852  0.044832535088062286  0.043737463653087616  0.044832535088062286   0.24185560643672943 -0.015855573117733002  0.043737463653087616 -0.015855573117733002   0.23696805536746979,    -1.5302905283576251    -0.42008709421725854    -0.31429349577027921      1.7464988626585409     0.61620731387357353   -0.072783804044185274 -2.6719942702868593e-05,0.040602412074804306
IIWA_7,1715868160.6812499,-0.89487016307270972   1.5790801825873049   1.0661110749623852 -0.63716588471257973  -2.8198622342350652  -1.9098357419155962 -0.32610562008295535,   0.038900440975676069 -0.00028686518480766724    0.023073473807212086   -0.079870756060202025  0.00094928601776373789    0.061577727773219758  5.4258904313222105e-05, -23.709876655578615   67.875201381683354  -15.614329376220702    3.320774154663086  -1.3038352394104005 -0.07309161758422851 -0.11247431564331055, 29.793681656862955  5.1219078838665641   3.985231717472117 -17.338606105918878 -2.0403471462841258  2.0051102729865269  1.2205461923092387, 0.60587877035140991 -0.20124463737010956  0.22257925570011139, -0.70147418975830078 -0.016229694709181786 0.0061399508267641068   0.71248358488082886,   0.012577689252793789     0.05212784931063652 -0.00064321293029934168, -0.0051467395387589931      1.0901494026184082 -0.00073977676220238209,  0.12299360334873199  0.044671818614006042  0.043775338679552078  0.044671818614006042   0.24195605516433716 -0.015800992026925087  0.043775338679552078 -0.015800992026925087   0.23699529469013214,    -1.5235320147866105    -0.41818773681434607    -0.31309631777709512      1.7379270461894691     0.61525054413902325   -0.071818334379969428 -2.6545036391212307e-05,0.048895426094532013
IIWA_7,1715868160.6862502, -0.8949916231533499   1.5790570530477253   1.0664738373931721 -0.63821917826252128  -2.8198570570649051  -1.9088338007519039 -0.32610550030973545,  0.026261949554933703 -0.0011546737310306871   0.032969276277246579   -0.10602834684582352 0.00096651562061623368   0.089339828766269558 4.8198052246483502e-05, -17.734686626434325   67.199043769836422  -16.284294681549071  0.75184017181396479  -2.2792906379699707  0.57104912185668943 -0.10780179214477539, 29.793681656862955  5.1219078838665641   3.985231717472117 -17.338606105918878 -2.0403471462841258  2.0051102729865269  1.2205461923092387, 0.60587877035140991 -0.20124463737010956  0.22257925570011139, -0.70147418975830078 -0.016229694709181786 0.0061399508267641068   0.71248358488082886,   0.012577689252793789     0.05212784931063652 -0.00064321293029934168, -0.0054875239729881287       1.090147852897644 -0.00075790920527651906,  0.12299360334873199  0.044671818614006042  0.043775338679552078  0.044671818614006042   0.24195605516433716 -0.015800992026925087  0.043775338679552078 -0.015800992026925087   0.23699529469013214,    -1.5235320147866105    -0.41818773681434607    -0.31309631777709512      1.7379270461894691     0.61525054413902325   -0.071818334379969428 -2.6545036391212307e-05,0.048895426094532013
