DesiredFlux,0.796,HitTime,1715867796.0511618,DesiredPos, 0.5860973596572876 0.16515463590621948  0.2213304340839386
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715867795.4875298,-0.97387616569139157   1.5608798600223261   1.0850188861564478 -0.79849236717433725  -2.8206788874056414  -1.8116816442614068 -0.33352601251609998, 7.7157463011244586e-06   7.348529996549566e-07  -0.0015772222177453581  0.00055427164593451102 -3.8892705995487985e-06 -3.1797525281684755e-06  4.9492598426462811e-06,  0.74605859756469728    69.969542453765868    -16.45508741378784   -8.0008471679687503   -2.0310249137878418   0.82036162567138671 -0.074426624298095698,  0.036395843853393117   -0.33150521333006744   -0.47048009661256351   -0.67008780671122847    -3.6618159722011332 -0.0077367380191886159    0.56155387734440065, 0.59172624349594116 -0.18953083455562592  0.22272659838199615,   -0.69200915098190308 -0.00051682459888979793   0.0003641681105364114     0.72188842296600342,-8.5437248344533145e-05 -0.00050696806283667684 -0.00065319857094436884,  -0.001538338721729815     0.87537002563476562 -0.00038301703170873225,  0.13380731642246246  0.027222815901041031    0.0488114133477211  0.027222815901041031   0.24928200244903564 -0.009862956590950489    0.0488114133477211 -0.009862956590950489   0.24271643161773682,   -0.87410608841942405    -0.26097483263765042    -0.17991882300893991     0.89303910586124857     0.42715288249528527   -0.094079580706285526 -1.9009555707327763e-05,0.00075588352046906948
IIWA_7,1715867795.4925551,-0.97387544661573977   1.5608797402491064   1.0850135531938352 -0.79849098901872662  -2.8206787914125329  -1.8116816442614068 -0.33352619228501296, 3.4935623112920206e-05 -4.2030463917409561e-06  -0.0014750962787012977  0.00049854354117288141  7.2830786328541635e-07 -2.5438020225347806e-06 -3.2313486449983568e-06,   0.7393373489379883    69.945345958709723   -16.448044414520265   -7.9779574203491208   -2.0319052886962892   0.82203038406372075 -0.074092872619628908, 0.031921496373841729  -0.32065728094099455  -0.48000865152105399  -0.66048809753860172   -3.6656120541441854 0.0012490068951755695   0.56135672280341475, 0.59172606468200684 -0.18953046202659607  0.22272412478923798,   -0.69201058149337769 -0.00051532796351239085  0.00036643800558522344     0.72188705205917358,-7.6775766501668841e-05 -0.00039066901081241667 -0.00062149652512744069, -0.0015379146207123995     0.87536996603012085 -0.00038216632674448192,    0.1338077187538147   0.027222810313105583   0.048811890184879303   0.027222810313105583    0.24928200244903564 -0.0098630767315626144   0.048811890184879303 -0.0098630767315626144    0.24271596968173981,   -0.87410601565540702     -0.2609777111279854    -0.17992144478107264     0.89304189785810451     0.42715775617718776    -0.09407638962954934 -1.9010504281880003e-05,0.00067116483114659786
IIWA_7,1715867795.497529,-0.97387526695590987   1.5608798600223261   1.0850087595379616 -0.79848889178746418  -2.8206787914125329  -1.8116816442614068 -0.33352631205823285, 3.5134891686415331e-05  1.4284916780721562e-06  -0.0013718232579042625   0.0004827240834355984   5.826462906283331e-07 -2.0350416180278246e-06 -7.3760077119044989e-06, 0.70573110580444331    69.93728046035767  -16.447164039611817  -7.9559480476379392  -2.0345464134216309  0.81969412231445316 -0.07309161758422851, 25.577154088657412  3.0008775564841512  3.2963079124396777 -15.390645949258301  -3.520616355221696  1.0519242279250405 0.56124052404614921, 0.59172588586807251 -0.18953049182891846  0.22272206842899323,   -0.69201183319091797 -0.00051385723054409027  0.00036807890865020454     0.72188585996627808,-6.8138782808091491e-05  -0.0003140075714327395  -0.0005797838675789535,  -0.001537567819468677     0.87536996603012085 -0.00038137173396535218,   0.13380804657936096   0.027222901582717896   0.048812258988618851   0.027222901582717896    0.24928195774555206 -0.0098632154986262321   0.048812258988618851 -0.0098632154986262321    0.24271558225154877,   -0.87410926786546383    -0.26098128038043455    -0.17992431962010613     0.89304801021317104      0.4271617967841479   -0.094074990928838531 -1.9011456409145921e-05,0.00060276396106928587
IIWA_7,1715867795.5025196,-0.97384782307150231   1.5608868707917654   1.0850179274252729 -0.79852292701687511  -2.8206786955939567  -1.8116706786849657 -0.33352613228931993,   0.001125863289651655  0.00028157357091079896  -0.0007307431138709249 -0.00097522990968842201  4.2988600798854579e-06  0.00043699502434921668  1.2899503473713366e-06,  0.40058641815185547    69.833773231506342   -16.678702640533448    -7.481425971984863   -2.0583165359497069     0.786986457824707 -0.074426624298095698, 25.575875662510182  3.0021135819732203   3.295020499051152 -15.390044446446584 -3.5210790609703575  1.0521556133030492 0.56121170227155226, 0.59172570705413818 -0.18953098356723785  0.22272016108036041,   -0.69201314449310303 -0.00051229097880423069  0.00036917091347277164     0.72188466787338257,-6.0865822888445109e-05 -0.00027043299633078277 -0.00053985032718628645, -0.0015373001806437969     0.87537002563476562 -0.00038064189720898867,   0.13380837440490723   0.027223099023103714   0.048812586814165115   0.027223099023103714    0.24928185343742371 -0.0098634045571088791   0.048812586814165115 -0.0098634045571088791    0.24271520972251892,   -0.87411633606304662    -0.26098637194582608    -0.17992815927048156     0.89305856271604256     0.42716543858478673   -0.094075426225970205 -1.9012513341465365e-05,0.00055183348013088107
IIWA_7,1715867795.5075302,-0.97340290864732248   1.5609460729054083    1.085136271656866 -0.79904292256023257  -2.8206768739938166  -1.8115878077250041 -0.33352601251609998,  0.018697267598914158  0.0025933434024472133  0.0041491747726260806  -0.021580005662049356 7.6303093666377122e-05   0.003664434417944288 5.8228890760233285e-06,  -7.7119606742858888    67.200388019561771   -17.335462322235106  -0.25354797363281251   -1.7809984397888183    1.2268711700439454 -0.088777946472167968, 25.537717922270421   2.995430001670472  3.2852675078281059 -15.364921720318891 -3.5208506740190177  1.0581404045845058 0.55967924709708516, 0.59172827005386353 -0.18950174748897552  0.22271610796451569,   -0.69200694561004639 -0.00052462652092799544  0.00038887784467078745     0.72189050912857056,6.4496569393668324e-05  0.0010040114866569638 -0.0004936052137054503, -0.0015370611799880862     0.87536990642547607 -0.00038003324880264699,   0.13380864262580872   0.027214879170060158   0.048814605921506882   0.027214879170060158    0.24928535521030426 -0.0098602268844842911   0.048814605921506882 -0.0098602268844842911    0.24271540343761444,  -0.87382730595031433   -0.26088983590000225   -0.17986600518948848    0.89272929025341341    0.42715701170159548  -0.093988267471978304 -1.900189516845785e-05,0.0010190329048782587
IIWA_7,1715867795.5125306, -0.9729101173328496   1.5609276171393993   1.0852253743149221 -0.79945188418356916   -2.820671984453917  -1.8114279980701251 -0.33352769032292656,    0.03466946665804671   0.0013364440815974996   0.0068834461403433304   -0.033622469463103086   0.0002566240709184186   0.0093239337295130155 -6.2453961802511339e-05,  -17.326034709930418    66.103480243682867   -18.483471202850343   0.37327896118164061   -1.6920805740356446   0.63779945755004885 -0.031038906097412108, 24.969243864912883  2.8669734826109181  3.2068303399383731 -14.972736936570808 -3.5014380216383461  1.1673502364367487 0.53951074005234967, 0.59175640344619751 -0.18903124332427979  0.22270317375659943,   -0.69190263748168945 -0.00078245735494419932   0.0007145573035813868     0.72199004888534546,  0.0011693473206833005    0.019622759893536568 -0.00091053149662911892,  -0.001536834635771811     0.87537109851837158 -0.00037946851807646453,   0.13380672037601471    0.02708868496119976   0.048839341849088669    0.02708868496119976    0.24934090673923492 -0.0098060267046093941   0.048839341849088669 -0.0098060267046093941    0.24272459745407104,    -0.8693793168657038    -0.25925854901664991    -0.17886249288867617     0.88760521667197168      0.4271451648039104    -0.09241296433337709 -1.8816802338506022e-05,0.017893968150019646
IIWA_7,1715867795.5175536,-0.97258444609391059   1.5609135357139112   1.0853237049650655 -0.80001058872990816  -2.8206736142423727  -1.8113937831808844 -0.33352601251609998,  0.040762422883997652 0.00050589824575446654  0.0094399829180114199  -0.049246157424042272 0.00014010771850480981  0.0088277425532389507 1.7149103621320937e-05,  -21.768780052185058    67.502844207763673   -18.993208274841308    2.0644791603088377   -1.8391031837463379   0.94051222991943362 -0.093116718292236333, 24.969242622024087  2.8669570185379882  3.2068429182437685 -14.972731424835535 -3.5014305474315921  1.1673505286004091 0.53951074005234967, 0.59175640344619751 -0.18903124332427979  0.22270317375659943,   -0.69190263748168945 -0.00078245735494419932   0.0007145573035813868     0.72199004888534546,  0.0011693473206833005    0.019622759893536568 -0.00091053149662911892, -0.0015379980904981494     0.87538868188858032 -0.00037847590283490717,   0.13380672037601471    0.02708868496119976   0.048839341849088669    0.02708868496119976    0.24934090673923492 -0.0098060267046093941   0.048839341849088669 -0.0098060267046093941    0.24272459745407104,    -0.8693793168657038    -0.25925854901664991    -0.17886249288867617     0.88760521667197168      0.4271451648039104    -0.09241296433337709 -1.8816802338506022e-05,0.017893968150019646
IIWA_7,1715867795.5225534,-0.97246670105566635   1.5609137154828241   1.0854554115464949 -0.80070207847115438  -2.8206626846415306  -1.8112432014090101 -0.33352870894071124,   0.037319739836967868  0.00041190935311824777    0.012820249591587909   -0.067056515589082655  0.00054927020848971467    0.013085464917564169 -9.4137701553315085e-05,  -20.591217292785643    66.692261623382564   -18.197349357604981    1.9095331764221191   -1.2113958740234374   0.26166131591796876 -0.074760375976562501, 24.521763504737031  2.8358350767526446  3.1258887682856038 -14.714061224154385 -3.5103389838742056  1.2185012053499769 0.53593621156717819, 0.59183007478713989 -0.18858292698860168  0.22271691262722015,  -0.69185072183609009 -0.0010148591827601194 0.00097853376064449549    0.72203916311264038,  0.0038609614130109549    0.033631619065999985 -0.00017654050316195935, -0.0015526304487138987      0.8753887414932251 -0.00037662856630049646,   0.13379432260990143   0.026970518752932549   0.048854775726795197   0.026970518752932549    0.24939145147800446 -0.0097568454220890999   0.048854775726795197 -0.0097568454220890999    0.24273735284805298,    -0.8652278024401383    -0.25776477116146168    -0.17803495919643808      0.8829010963751216     0.42716518640251167   -0.091054704438597867 -1.8685483382796519e-05,0.030782243236899376
IIWA_7,1715867795.5275526,-0.97242793205699185   1.5608948402923792   1.0856708279367577 -0.80158411747873015  -2.8206603835994448  -1.8111022069488831 -0.33352715101618768,   0.031406551816554246 -0.00042548013529963619    0.018872855283781943   -0.088926772774297114  0.00053145785022223782    0.016108150339129011 -1.2993180300484547e-05,  -16.156537448883057    65.599386596679693   -19.261722621917723    1.9993314170837402   -2.2423148918151856    1.1113930892944337 -0.083437919616699219, 24.228661998355548  2.7876507632852068  3.0762149124929019 -14.471091100189216 -3.5068523582504403   1.335203452407288 0.52526007507492622, 0.59182083606719971 -0.18817739188671112  0.22273346781730652,  -0.69176226854324341 -0.0012644571252167225  0.0012857711408287287    0.72212308645248413,0.0026949814055114985  0.043123845010995865 0.0005257786251604557, -0.0015526589704677463     0.87540477514266968 -0.00037663549301214516,   0.13379909098148346   0.026859847828745842   0.048875425010919571   0.026859847828745842    0.24944059550762177 -0.0097054038196802139   0.048875425010919571 -0.0097054038196802139    0.24275006353855133,   -0.86133038266833495    -0.25624572220284136    -0.17712497615551825     0.87834746031933975     0.42722087513880069   -0.089531625268257642 -1.8516607802609997e-05,0.039290875196456909
IIWA_7,1715867795.5325301,-0.97231581963257607   1.5608748267109296   1.0859158454383835 -0.80265059360959501  -2.8206648896905078   -1.810776835252077 -0.33352769032292656,   0.029609738429874511  -0.0011409273662257727    0.024898984292055754    -0.11380046345403198  0.00024492263765978268    0.025901388143548469 -3.1966813795513336e-05,  -15.046187175750733    66.084660747528076   -18.413041210174562   0.67964942932128902   -1.6515833282470702   0.38114441680908201 -0.062745315551757816, 24.099599582286672  2.7317191380984838  3.0445318268153194 -14.318943996889445 -3.5025254881905168  1.4277137914083657 0.51053140256156881, 0.59177988767623901 -0.18784163892269135  0.22274385392665863,  -0.69165408611297607 -0.0014384571695700288  0.0015239816857501864    0.72222590446472168,0.00048997800331562757   0.047925665974617004 0.00084357801824808121, -0.0015946419443935156     0.87542039155960083 -0.00038567007868550718,    0.1338205486536026   0.026748457923531532   0.048898696899414062   0.026748457923531532    0.24948647618293762 -0.0096569722518324852   0.048898696899414062 -0.0096569722518324852    0.24276675283908844,  -0.85743561015316772   -0.25485122095858515   -0.17620790209349479    0.87374719993515981    0.42698197750823397   -0.08837945302531125 -1.835476481915066e-05,0.043585952371358871
