DesiredFlux,0.922,HitTime,1715868017.607738,DesiredPos,  0.583790123462677 0.15723127126693726 0.22144502401351929
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715868017.0832505,-0.97389869603762247   1.5618541176460881   1.0845763087281364 -0.77511563846704779  -2.8191634101621532   -1.833278296065707  -0.3104680641606134, 3.2914287836669217e-05  2.1034966016251274e-05   -0.002144657203061953  0.00095970031107595825 -1.4515343279770717e-06 -8.9989180400071419e-06 -3.2708710943452437e-05, 0.5108148956298828   70.38760411834717 -16.127587947845459 -8.0448659133911136 -2.2687261390686033 0.84906427001953122 -0.1405094566345215, 0.029474898760603885 0.0015123377546367722  -0.41898286517366667  -0.74372349310956454   -3.8033649176908604  -0.16135316157714469  -0.28366116317072843,  0.5905907154083252 -0.19820797443389893  0.22509905695915222, -0.69198274612426758 0.0053472043946385384  0.006127180065959692   0.72186821699142456,-6.0283007769612595e-05 -0.00052460568258538842 -0.00078081694664433599,-0.0029361264314502478     1.0133527517318726  -0.001580833806656301, 0.13270623981952667 0.031331844627857208  0.04785596951842308 0.031331844627857208  0.24771729111671448 -0.01110452227294445  0.04785596951842308 -0.01110452227294445  0.24218778312206268,    -1.0190501923723616    -0.29757860470613906    -0.20441549735927822      1.0610032934499358     0.45150098070489975    -0.10130397887664344 -2.0431020431033176e-05,0.00085763330571353436
IIWA_7,1715868017.0882843,-0.97389857626440257   1.5618541176460881   1.0845660622273472   -0.775111504000216  -2.8191634101621532   -1.833278296065707 -0.31046818404291637, 3.1122359065241188e-05  1.6827972813001019e-05  -0.0021255857940167397  0.00093313892213214356 -1.1612274623816575e-06 -7.1991344320057139e-06 -3.0962260873703979e-05, 0.48796265029907226   70.367440372467044  -16.123186073303224  -8.0316602897644049  -2.2643242645263673  0.84606050491333007 -0.13950820159912108, 0.016033775191377997 -0.012308020291790178    -0.411011715168071   -0.7395466953407821    -3.798633484229633  -0.16786348819279626  -0.28395345215161816, 0.59059035778045654 -0.19820953905582428  0.22509534657001495, -0.69198524951934814 0.0053507247939705849 0.0061288168653845787   0.72186577320098877,-6.1398153775371611e-05 -0.00048218682059086859 -0.00077282648999243975,-0.0029351443517953157      1.013352632522583 -0.0015786369331181049,  0.13270685076713562  0.031332384794950485  0.047856543213129044  0.031332384794950485   0.24771697819232941 -0.011104988865554333  0.047856543213129044 -0.011104988865554333   0.24218706786632538,     -1.019070347487272    -0.29759170790022438    -0.20442464510050939      1.0610320350599167     0.45150786132897025    -0.10130735467761554 -2.0433311043177582e-05,0.00083067256491631269
IIWA_7,1715868017.0932834,-0.97389881591992555   1.5618541176460881   1.0845561152686907 -0.77510635069743328  -2.8191634101621532   -1.833278176292487 -0.31046830381613627, 1.5311666332904218e-05  1.3462378250400817e-05  -0.0020983469814744296  0.00095264324901464699 -9.2898196990532601e-07 -9.6837874525786583e-07 -2.9560737494868999e-05, 0.44897940826416016    70.36475187301636  -16.126707572937011  -8.0078901672363276  -2.2652046394348142    0.847729263305664 -0.13917444992065431,  29.609978201923745   3.1144218302015756    4.334227273519156  -17.642758543472752  -3.3673618840427086  0.99529287938548816 -0.28422228283335216, 0.59059000015258789 -0.19821171462535858  0.22509168088436127, -0.69198787212371826 0.0053546177223324776 0.0061299917288124561    0.7218632698059082,-6.3189363572746515e-05  -0.0004725223989225924 -0.00076488632475957274, -0.002934163436293602     1.0133525133132935 -0.0015765582211315632,  0.13270746171474457  0.031333085149526596  0.047857075929641724  0.031333085149526596   0.24771659076213837 -0.011105523444712162  0.047857075929641724 -0.011105523444712162   0.24218635261058807,    -1.019096288001009   -0.29760695950020732   -0.20443506122092003     1.0610676043523171    0.45151460691261747   -0.10131302475446802 -2.043583435806795e-05,0.00082003429997712374
IIWA_7,1715868017.0982862,-0.97389941511327438   1.5618541176460881   1.0845456889989886 -0.77510065819699481  -2.8191634101621532   -1.833278535830313 -0.31046848358504925,-1.1718400886755233e-05  1.0769902600320655e-05  -0.0020957283732613956   0.0009898146167505186 -7.4318557592426087e-07 -1.5156216034437057e-05 -3.0839346515010581e-05,0.38983242034912108  70.367440372467044 -16.126707572937011 -7.9726751708984374 -2.2581616401672364 0.84906427001953122 -0.1385069465637207,  29.610554260495253   3.1152252104667095   4.3346324749945975  -17.643397142823645  -3.3673012878497564  0.99482532981164429 -0.28442553189400666, 0.59058982133865356 -0.19821444153785706  0.22508817911148071, -0.69199055433273315 0.0053587993606925011  0.006130492314696312   0.72186058759689331,-5.9188030718360096e-05 -0.00048745263484306633 -0.00075242231832817197,-0.0029331434052437544     1.0133523941040039 -0.0015744928969070315,  0.13270802795886993  0.031333941966295242  0.047857530415058136  0.031333941966295242   0.24771611392498016 -0.011106126941740513  0.047857530415058136 -0.011106126941740513   0.24218563735485077,    -1.019128105848921   -0.29762434135705007   -0.20444677474618089     1.0611102296476105     0.4515209814082155   -0.10132144867114334 -2.043858859934744e-05,0.0008174719987437129
IIWA_7,1715868017.1032863,-0.97387388869121627   1.5618608287643112   1.0845543176886443 -0.77512696358131472  -2.8191634101621532  -1.8332657725647423  -0.3104687832362652,  0.0010116821616149407  0.00027706065100609943  -0.0013314351123820596   -0.000260363679396124 -5.9454846073940874e-07  0.00049840564999836139 -3.6657525850065882e-05,0.080654983520507817   70.262588893890381  -16.424274291992187  -7.5412914657592776  -2.2942570114135741  0.80934782028198238 -0.13783944320678712,  29.611588724161791   3.1158538914994058   4.3354415197531129  -17.644202370772049  -3.3671180138244279  0.99437361361076082 -0.28464189532630935, 0.59058946371078491 -0.19821763038635254  0.22508454322814941, -0.69199341535568237  0.005363178439438343 0.0061309114098548889   0.72185784578323364,-6.1673992604482919e-05 -0.00051724462537094951 -0.00074722722638398409,-0.0029321324545890093     1.0133523941040039 -0.0015724521363154054,  0.13270862400531769  0.031334944069385529  0.047857992351055145  0.031334944069385529   0.24771557748317719 -0.011106789112091064  0.047857992351055145 -0.011106789112091064   0.24218489229679108,    -1.0191652246627214    -0.29764351392991273    -0.20445956218573258      1.0611591086853167     0.45152807394899241    -0.10133064307993322 -2.0441484060995663e-05,0.00082875706721097231
IIWA_7,1715868017.1082835,-0.97344725026413248   1.5619186527223436   1.0847078356497357 -0.77560615278134526  -2.8191639854226747  -1.8331939271769149  -0.3104687832362652,   0.017874882812643631    0.002534606842102622   0.0050755703537511757   -0.019375858944738446 -2.3486059626208036e-05   0.0032725400330967549 -2.9326020680052706e-05,-7.7361571693420412  67.875201381683354 -17.374198818206786 -1.0995882606506346 -2.1322680282592774  1.1991697807312012 -0.1385069465637207,  29.576933113374547   3.1109123848930116    4.325041279248099  -17.623070502462031  -3.3675892266837946  0.99823988112896145 -0.28565592632616699,0.59059375524520874 -0.1981915682554245 0.22508226335048676, -0.69198757410049438 0.0053518232889473438 0.0061455843970179558   0.72186338901519775, 0.00012387661263346672  0.00062842760235071182 -0.00068888760870322585,-0.0029312970582395792     1.0133521556854248  -0.001570535940118134,  0.13270796835422516  0.031327467411756516  0.047859534621238708  0.031327467411756516   0.24771919846534729 -0.011103990487754345  0.047859534621238708 -0.011103990487754345   0.24218538403511047,    -1.0188918994922247     -0.2975544750185577    -0.20440278885658358      1.0608413956250118     0.45151213381000588    -0.10125949642514342 -2.0432359804090083e-05,0.00085585121996700764
IIWA_7,1715868017.1132834,-0.97298705602776681   1.5619155367642135   1.0848384636176875 -0.77611895778635076  -2.8191538227195063  -1.8330909826398105 -0.31047135977857349,   0.032707675704741868   0.0019030471484747266   0.0092855750010739039   -0.036012887356010798  0.00038771927903251825   0.0067358135106515924 -0.00012652250887547199, -16.980562530517577   66.782326354980469    -18.0617716217041   1.6075645828247069  -1.9042509269714356  0.81368659210205074 -0.12448937606811523,  29.031713146484794    3.010479406697625   4.2209529446112271  -17.258624637796608  -3.3609248229921782   1.0992485667816121 -0.30112572624745837, 0.59063351154327393 -0.19774650037288666  0.22508317232131958, -0.69188356399536133 0.0050932741723954678 0.0064422893337905407   0.72196239233016968,  0.0016803165199235082     0.01830524206161499 -0.00051353598246350884,-0.0029302991461008787     1.0133534669876099 -0.0015685167163610458,  0.13269570469856262  0.031207818537950516  0.047882258892059326  0.031207818537950516   0.24778035283088684 -0.011052527464926243  0.047882258892059326 -0.011052527464926243   0.24219676852226257,     -1.014492169738368    -0.29594060744209116    -0.20342524662364525      1.0556428832959597     0.45144594014434603    -0.09974946959534492 -2.0258176469667433e-05,0.01673111692070961
IIWA_7,1715868017.1182826,-0.97269200440889247   1.5619028933809458    1.085029132657237 -0.77679289071523572  -2.8191478786516728  -1.8330843912948074 -0.31047237850544124,   0.037968205318766747   0.0010167023880728124    0.015055221582837182   -0.055767627040206921  0.00054793813656587643   0.0056523046086467705 -0.00014196708181045566, -22.305135692596437   67.129142784118656  -18.790722045898438   3.1200486755371095  -2.1252250289916992   1.0316264381408691 -0.15686328887939452,  28.554441748274847   2.9632750171414903   4.1244227282097423  -16.950860989002233  -3.3707007006018244   1.1899023706084766 -0.30832562661338359, 0.59068375825881958 -0.19727662205696106  0.22510407865047455, -0.69179779291152954 0.0048207938671112061 0.0067462185397744179   0.72204369306564331, 0.0033339920919388533   0.033439405262470245 0.00042872491758316755,-0.0029333459679037333     1.0133758783340454 -0.0015681743388995528, 0.13268181681632996 0.031081181019544601 0.047903295606374741 0.031081181019544601  0.24784399569034576 -0.01099797897040844 0.047903295606374741 -0.01099797897040844   0.2422119528055191,    -1.0098488827772201    -0.29423439733378132    -0.20245800641038869      1.0501804296989548     0.45141491043398929   -0.098163470361178895 -2.0093394503817308e-05,0.030576638877391815
IIWA_7,1715868017.1233108,-0.97262669047945816   1.5619040318810335   1.0852828986217384 -0.77767043560907079  -2.8191442354513923  -1.8330591046373552 -0.31047309758109304,   0.032987121432386142  0.00085890191396867464    0.022194815846327348   -0.079715897385568307  0.00058407852047540217   0.0055333099850038772 -0.00014233669152038519, -22.088711486816408    66.97052131652832  -18.070575370788575   3.3920845222473144  -1.4746279716491699  0.62111187362670894 -0.14985450363159181,  28.227862236303036   2.9345465280017016   4.0209938390004503  -16.675259078544908  -3.3855281316200738   1.3363973854360012 -0.31633938437007569, 0.59066194295883179 -0.19684197008609772  0.22515100240707397, -0.69167077541351318  0.004518936388194561 0.0070714596658945084   0.72216421365737915, 0.001766455709002912   0.04413272812962532 0.0022271596826612949,-0.0029654940590262413     1.0133992433547974 -0.0015765446005389094,  0.1326812356710434 0.030957913026213646 0.047925591468811035 0.030957913026213646  0.24790756404399872  -0.0109389778226614 0.047925591468811035  -0.0109389778226614  0.24223208427429199,    -1.0053206374687207    -0.29244528202276854    -0.20137346954651747      1.0446881773793493     0.45136580123994463    -0.09644316906953776 -1.9888359403807954e-05,0.040234416723251343
IIWA_7,1715868017.1282847,-0.97269152509784662   1.5618936656070244   1.0856331975472537 -0.77877184581391123  -2.8191318676992467  -1.8330471204431296  -0.3104747153922266,   0.023796312410370307  0.00027247057080741557    0.031767809697673968    -0.10782912610207254  0.00096197290220134809   0.0049060157570293417 -0.00017858179855864903, -17.851636352539064   66.030890758514403  -19.057475643157957   2.5689339828491211  -2.4025431251525879  0.94918977355957035 -0.13483567810058594,  28.057514422721905   2.8918945638454319   3.9300379405484867  -16.453145073677739  -3.3954717284256102   1.5008595376356106 -0.33031626136009429, 0.59057313203811646 -0.19646231830120087  0.22520352900028229,  -0.6915014386177063  0.004243840929120779 0.0073773092590272427   0.72232496738433838,-0.0021711329463869333   0.050484269857406616  0.0038959099911153316,-0.0030103251338005066     1.0134226083755493 -0.0015978426672518253,  0.13270087540149689  0.030832421034574509  0.047952041029930115  0.030832421034574509   0.24797084927558899 -0.010877534747123718  0.047952041029930115 -0.010877534747123718   0.24225752055644989,    -1.0007271959482367    -0.29063995195155456    -0.20016567999814328      1.0389768781351449     0.45110506897394487   -0.094836884872329108 -1.9655483463054679e-05,0.046107567846775055
