DesiredFlux,0.581,HitTime,1715862726.4192758,DesiredPos,   0.55645751953125 0.15365348756313324 0.22020119428634644
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715862725.8584268, -1.0814205027676167   1.5331060592987205   1.0864347024816534 -0.95249283304609167   -2.818501497533993  -1.7505880430224052 -0.34695703298636499, 9.4750135109662389e-05 -2.8971547429739938e-06  -0.0021027765661292379  0.00044744157085668161  2.1994817317455963e-06 -9.3982163959543854e-05  1.8093654645496101e-05, 0.39924216842651367   67.189634021759034  -18.531011447906494  -7.0562048912048336  -2.1296269035339357  0.91681586074829102 -0.16387207412719726,0.0047180326506162107  -0.18945597010548521  -0.49571350701767081  -0.45493163494513367   -6.0758077941996067   -0.2593593042751503   0.40209960390405419, 0.56091934442520142 -0.19626982510089874   0.2259746640920639,  -0.68545317649841309   0.014853081665933132 -0.0057717529125511646    0.72794228792190552,-0.00015206668467726558 -0.00032348552485927939 -0.00084848934784531593,-0.0015398437390103936    0.86044889688491821 -0.0019956750329583883,    0.1454639732837677     0.0189486313611269   0.051870141178369522     0.0189486313611269    0.25116726756095886 -0.0067846472375094891   0.051870141178369522 -0.0067846472375094891    0.24594032764434814,   -0.59896733062769769    -0.18906364492465855    -0.11900571267320359     0.55003812011555908     0.32306894982436773    -0.12502583033802139 -1.5476088854882164e-05,0.00062168546719476581
IIWA_7,1715862725.863472,  -1.081419783691965   1.5331061791810234   1.0864256543675617   -0.952491874314917   -2.818501497533993  -1.7505882227913181 -0.34695703298636499, 0.00010456313415530966  2.4775683245628344e-06  -0.0020441458165732923  0.00039630250367221381  1.7595853853964772e-06 -8.2376487682309573e-05  1.4474923716396881e-05, 0.42343866348266601   67.212486267089844  -18.538934822082521  -7.0702908897399901  -2.1287465286254883  0.91681586074829102 -0.16120206069946288,  24.83748514624784  2.3750879244309386  4.5540954800710196 -16.141547896306292 -5.6781463365642377 0.13988599296042575 0.40182378380671468, 0.56091856956481934 -0.19627022743225098  0.22597105801105499,  -0.68545478582382202   0.014855800196528435 -0.0057689286768436432    0.72794079780578613,-0.00015214332961477339 -0.00027455043164081872 -0.00082329841097816825,-0.0015387380262836814    0.86044883728027344 -0.0019931283313781023,   0.14546477794647217    0.01894882507622242   0.051870852708816528    0.01894882507622242    0.25116720795631409 -0.0067848297767341137   0.051870852708816528 -0.0067848297767341137    0.24593955278396606,   -0.59897376287620929     -0.1890687184373796    -0.11900884634297171     0.55004701315652937     0.32307410760035182    -0.12502422210358688 -1.5477090276050376e-05,0.00059494510060176253
IIWA_7,1715862725.8685455, -1.0814190047297032   1.5331061791810234   1.0864164265936402 -0.95249133500817806   -2.818501689171145  -1.7505885224425342 -0.34695691310406201, 0.00011480899779644172  1.9820546596502676e-06  -0.0020044276101157336  0.00033861427249511723 -6.2578177686848335e-06 -7.7887238788345971e-05  1.6375231092059535e-05, 0.44763515853881836   67.236682762146003  -18.543336696624756  -7.0817357635498048  -2.1278661537170409  0.91714961242675785 -0.16420582580566406, 24.836662348026952  2.3755890817911984  4.5539175265760043 -16.140995590724412 -5.6781764460641799 0.14001052028320821 0.40153622263454558, 0.56091785430908203 -0.19627085328102112   0.2259674072265625,  -0.68545639514923096   0.014858724549412727 -0.0057664024643599987     0.7279391884803772,-0.00015042602899484336 -0.00024466021568514407 -0.00080465339124202728,-0.0015375551301985979    0.86044877767562866 -0.0019905003719031811,   0.14546555280685425   0.018949054181575775   0.051871545612812042   0.018949054181575775    0.25116711854934692 -0.0067850346677005291   0.051871545612812042 -0.0067850346677005291    0.24593876302242279,    -0.5989813658695553    -0.18907445014226809    -0.11901221927779204     0.55005707907707091     0.32307875985759793    -0.12502390145963105 -1.5478192949558434e-05,0.00057689525419846177
IIWA_7,1715862725.8735394, -1.0813906021141209   1.5331116919125489   1.0864266730944294 -0.95252698815780545   -2.818501689171145  -1.7505851069422711 -0.34695673333514904,  0.0012279518215309855  0.00022209490474740592  -0.0011936820565254095  -0.0011552345670995227 -5.0062542149478671e-06  7.4310219491715695e-05  2.0290941392763009e-05, 0.18147371292114259   67.189634021759034  -18.856750164031983  -6.6389071846008303   -2.173645648956299  0.91180958557128911 -0.16253706741333007, 24.835806576385156  2.3759106129897529  4.5540994493431626 -16.140297726634717 -5.6780530644602258 0.14022691678246504  0.4012034892558165, 0.56091701984405518 -0.19627130031585693  0.22596369683742523,  -0.68545812368392944   0.014861567877233028 -0.0057635344564914703    0.72793757915496826,-0.00015361064288299531 -0.00021391102927736938 -0.00079228740651160479,-0.0015365368453785777    0.86044871807098389 -0.0019882332999259233,   0.14546637237071991   0.018949251621961594   0.051872260868549347   0.018949251621961594    0.25116705894470215 -0.0067852088250219822   0.051872260868549347 -0.0067852088250219822    0.24593797326087952,   -0.59898792105128607      -0.189079301360362    -0.11901518176316017     0.55006585972039446     0.32308403642344885    -0.12502233312261524 -1.5479287629460714e-05,0.00056375272106379271
IIWA_7,1715862725.8784282, -1.0809558144175102   1.5331548950292713   1.0865857636736564 -0.95302313497684843  -2.8185011139106235  -1.7505745607902659 -0.34695565472167134,   0.01837386932165079  0.0019058005926917516  0.0054086775238607956  -0.020770060415398625 1.9005417485658215e-05 0.00048129425580304829 5.9377292222241364e-05, -8.2993978042602539   65.159816936492916  -20.249503269195557  0.44282857894897459  -1.9746809196472168   1.4007557945251465 -0.16153581237792969,  24.79849423546186  2.3720651847376559  4.5402789583806502  -16.11303817543439 -5.6791339780959422 0.14954364329272374 0.40013700617852643, 0.56091809272766113 -0.19624046981334686  0.22596403956413269,  -0.68545031547546387   0.014843073673546314 -0.0057416055351495743    0.72794544696807861,-8.1127633166033775e-05   0.0010619619861245155 -0.00062015437288209796,  -0.00153550342656672    0.86044859886169434 -0.0019859999883919954,  0.14546649158000946  0.018941706046462059  0.051873229444026947  0.018941706046462059   0.25116953253746033 -0.006781573873013258  0.051873229444026947 -0.006781573873013258   0.24593855440616608,   -0.59873693863732314    -0.18897123584649123    -0.11895363835812134     0.54979780025776748     0.32309343330760854    -0.12491648185042337 -1.5469949321555987e-05,0.00083218090003356338
IIWA_7,1715862725.8834293, -1.0804963392567963   1.5331472250707903   1.0867054261742501  -0.9534421634411443  -2.8184944987636924  -1.7505562849022529 -0.34695523529723549,   0.03307810188587558  0.0012178421349132128  0.0091134420428365566  -0.033377186904153602 0.00027981021123338773  0.0011160709251605582 6.4278811211756321e-05,  -17.219838981628417    64.079040157318119   -21.261934413909913    1.9086528015136719   -1.7334581947326659   0.79399524307250979 -0.095119228363037114, 24.271390011981563  2.2956587632430727  4.4063207009433949 -15.722276221043025 -5.6789662160269838 0.28467373157649717 0.38726879682863757, 0.56093579530715942 -0.19579143822193146  0.22599324584007263,  -0.68534541130065918   0.014547716826200485 -0.0054211504757404327    0.72805261611938477,0.00063594616949558258   0.018810033798217773 0.00067394797224551439,-0.0015344916610047221    0.86044853925704956 -0.0019837536383420229,   0.14546358585357666   0.018835905939340591   0.051883570849895477   0.018835905939340591    0.25120484828948975 -0.0067281755618751049   0.051883570849895477 -0.0067281755618751049    0.24594955146312714,    -0.5952159267761381    -0.18738476912627533    -0.11808150065206746     0.54602969479944363     0.32331103854099652    -0.12330453741471459 -1.5336758085737756e-05,0.012715809978544712
IIWA_7,1715862725.8884275, -1.0801896030949123   1.5331515994113112   1.0868593634506947 -0.95402219994701665  -2.8184944987636924  -1.7505996677878881 -0.34695217933479827,   0.038731927984061901   0.0011492473287673085    0.013448244692050318   -0.049903209758216882  0.00022384816898671019 -0.00084245868528005463  0.00017366154645800767, -21.534880599975587   64.927261734008795    -21.7162078666687   3.5382267570495607  -2.0398286628723143   1.0406377334594727 -0.16987960433959962,  23.85964360287435  2.2672219550127384  4.3026792343377824 -15.437737873053596 -5.6898320457089957 0.38267693541689235  0.3847115225504345, 0.56097179651260376 -0.19536611437797546  0.22603186964988708,  -0.68527311086654663   0.014267290942370892 -0.0051244110800325871    0.72812837362289429,0.0019303866429254413  0.032058611512184143 0.0020865711849182844,-0.0015334158670157194      0.860451340675354 -0.0019814581610262394,   0.14545702934265137   0.018738586455583572   0.051891211420297623   0.018738586455583572    0.25123724341392517 -0.0066786766983568668   0.051891211420297623 -0.0066786766983568668    0.24596047401428223,   -0.59197902727481377    -0.18591057751082829    -0.11731163660355648     0.54259005832602014     0.32358703809043377    -0.12178557021957914 -1.5227953564789232e-05,0.02172977477312088
IIWA_7,1715862725.8934567, -1.0800732960988886   1.5331617260297974   1.0870810117572178 -0.95477954303351897  -2.8184820350184383  -1.7505846275221422 -0.34695110072132057,   0.035637822228198258   0.0013244626024620822    0.019624528014566614   -0.070216291266666578  0.00067762834535331886 -7.2356318386165071e-05  0.00018207377627443711, -20.966262966156005   65.095292949676519  -20.711700096130372   3.4061705207824708  -1.2184388732910156  0.80200528335571286 -0.15853204727172851, 23.571848773914429   2.225164704280413  4.2184631630993579 -15.168928079735805 -5.6916178198173784 0.52461864272391467  0.3753996905612742, 0.56093931198120117 -0.19496132433414459  0.22607779502868652,  -0.68516254425048828   0.013975195586681366 -0.0048030698671936989    0.72824031114578247,0.00021723078680224717   0.041832230985164642  0.0035111242905259132,-0.0015340688405558467    0.86049050092697144 -0.0019819429144263268,   0.14546254277229309   0.018642369657754898   0.051901519298553467   0.018642369657754898    0.25126931071281433 -0.0066267200745642185   0.051901519298553467 -0.0066267200745642185     0.2459728866815567,   -0.58878062720069124    -0.18438516166652263    -0.11647263250447182      0.5391221970274529     0.32382390629592805      -0.120171624470089 -1.5089721028260783e-05,0.028342176228761673
IIWA_7,1715862725.8984561,  -1.080053582059572   1.5331592093740991   1.0874099787231999 -0.95572989204635628  -2.8184735022782581  -1.7505801934040943 -0.34695146025914647,   0.02929881935522077 0.00095890385403840932    0.02885830105093562  -0.094186993526825413 0.00088341228349067308 0.00011947966720494315 0.00013127750798353939, -16.717089584350585   64.079040157318119  -21.641375999450684   3.2204114151000978  -2.1701241493225099   1.0710091361999512 -0.15552828216552733,  23.40535955886179     2.1900489338894  4.1261116966349691 -14.952234439175463 -5.7017438967662262 0.67110277035064303 0.36373056036725104,  0.5608595609664917 -0.19459058344364166   0.2261410653591156, -0.68501555919647217  0.013709384948015213 -0.004518397618085146   0.72838538885116577,-0.003046250669285655  0.048285435885190964 0.0053494530729949474,-0.0015480696456506848    0.86052650213241577 -0.0020022215321660042,   0.14547845721244812   0.018541790544986725   0.051911540329456329   0.018541790544986725    0.25130084156990051 -0.0065741939470171928   0.051911540329456329 -0.0065741939470171928    0.24599149823188782,   -0.58544828338735755    -0.18286492890462469    -0.11558345655959812     0.53547098088557732     0.32384436927124227    -0.11872121372480393 -1.4932630687525261e-05,0.032861817628145218
IIWA_7,1715862725.9034562, -1.0799743663644794   1.5331541759536196   1.0877917961133448 -0.95687887959935691  -2.8184811723021888  -1.7505638349784309 -0.34695098094810067,  0.026607683287881254 0.00056578626404961928   0.038359336446543192   -0.12130909694148576 0.00039992886956652189 0.00074992076029945539 0.00012419444821874765, -15.090547416687011   64.014516170501707  -21.419521522521972    2.052153911590576  -1.9491500473022461   1.0880304718017577 -0.14685073852539063, 23.253333332005685  2.1821115270877707  3.9816236420409048 -14.721523593374187 -5.7295964808494055 0.85082073630445421 0.35547265177410858, 0.56073713302612305 -0.19419391453266144  0.22624741494655609,  -0.68482691049575806   0.013393482193350792 -0.0042188460938632488    0.72857046127319336,-0.0073713939636945724   0.054480262100696564  0.0085499826818704605,-0.0015728513244539499    0.86056208610534668 -0.0020315069705247879,   0.14549770951271057    0.01842961460351944   0.051918163895606995    0.01842961460351944    0.25133568048477173 -0.0065134144388139248   0.051918163895606995 -0.0065134144388139248     0.2460198700428009,   -0.58173517579218625    -0.18112085947885603    -0.11454882289729795     0.53135232308365588     0.32380078603422291    -0.11710265551512222 -1.4740512366273606e-05,0.037559758871793747
