DesiredFlux,1.047,HitTime,1715861938.377357,DesiredPos,0.56290155649185181 0.16499222815036774   0.220420241355896
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715861937.9013546,  -1.098678445820372   1.5053092488087549   1.1023351923648914  -1.0230497774773468  -2.8196063471501072  -1.6737977438521949 -0.32867785426411961,-1.6439462557954433e-05   1.695066139321612e-05 -0.00043898775554496297 -3.4020874889356236e-05 -5.2333033260632148e-07 -7.0592804694926637e-06 -1.9591642435277416e-06,   0.522913143157959   66.322592948913581   -19.58834171295166  -6.8211447906494138  -2.0724025344848633  0.89378699493408198 -0.17355087280273437, 0.15353143403416813   3.1137041266631362 -0.83491118317344748 -0.72632924999152004  -7.8456089257950357 -0.36960029357091817  0.40408166381457788, 0.56459003686904907 -0.18057677149772644  0.23570515215396881,   -0.6914481520652771   0.028280748054385185 -0.0099113341420888901    0.72180426120758057,-0.00014632591046392918 -0.00038212200161069632 -0.00017604875029064715,-0.002459358423948288    1.5540769100189209 -0.022279404103755951,   0.14679540693759918   0.009968828409910202   0.050930310040712357   0.009968828409910202    0.25298631191253662 -0.0039937719702720642   0.050930310040712357 -0.0039937719702720642    0.24942834675312042,   -0.30983212015511796    -0.11075164704887897   -0.073846154028611721     0.25359810233505087     0.26674468806664464    -0.15723236443765387 -2.0313712045805232e-05,0.00030007064924575388
IIWA_7,1715861937.9063537, -1.0986663417438434   1.5053092488087549    1.102332735595803  -1.0230498972505668  -2.8196064429686833  -1.6737977438521949 -0.32867803403303253, 0.00047101149109881837  1.3560529114572896e-05  -0.0004494609679714944 -3.2007628711831694e-05 -4.2514073134678487e-06 -5.6474243755941313e-06 -8.7580879117171294e-06, 0.43956966018676757    66.34947794342041  -19.596265087127684  -6.8396326637268068  -2.0706417846679686  0.89111698150634766 -0.17288336944580079, 0.14193878997632992   3.1062311482379594 -0.83047478287151799 -0.72130722145482684  -7.8427056202768233 -0.37226762336721508  0.40401234498062122,  0.5645904541015625 -0.18057385087013245  0.23570410907268524,   -0.6914483904838562   0.028279572725296021 -0.0099086333066225052    0.72180414199829102,-9.9220662377774715e-05 -0.00018860891577787697 -0.00018214539159089327,-0.0024598441086709499     1.5540772676467896  -0.022274373099207878,   0.14679557085037231  0.0099682668223977089   0.050930552184581757  0.0099682668223977089    0.25298640131950378 -0.0039935018867254257   0.050930552184581757 -0.0039935018867254257     0.2494281530380249,   -0.30981431189935904    -0.11074377246922396   -0.073841675991115352     0.25358107836881416      0.2667488991980882    -0.15722217350067069 -2.0313754678369378e-05,0.00018885407189372927
IIWA_7,1715861937.9113309, -1.0986472268978755   1.5053093686910579   1.1023300390621087   -1.023049597708434  -2.8196064429686833  -1.6737977438521949 -0.32867779426842653,   0.001141403031592578  1.5643715410600348e-05 -0.00046743012215060361 -1.3624417654444161e-05 -3.4011258507742791e-06  -4.517939500475305e-06  2.5841139107308008e-06, 0.18550646209716798   66.348133693695075  -19.620035209655761  -6.8044176673889156  -2.0662399101257325  0.89078322982788083 -0.17188211441040038, 45.301428355531421  6.7916287881490138  9.6755605862235132 -31.248163659564717 -6.9341701786972845 -1.4789752582340183 0.40391204374114498, 0.56459099054336548 -0.18057085573673248  0.23570296168327332,  -0.69144874811172485    0.02827855758368969 -0.0099057415500283241    0.72180384397506714,-5.7658475270727649e-05 -3.1366544135380536e-05 -0.00019203283591195941,-0.0024603011552244425     1.5540776252746582  -0.022271791473031044,   0.14679576456546783  0.0099677061662077904   0.050930824130773544  0.0099677061662077904    0.25298652052879333 -0.0039932401850819588   0.050930824130773544 -0.0039932401850819588     0.2494279146194458,   -0.30979655312046717    -0.11073610430312186   -0.073837397690290629     0.25356434455181542     0.26675345239768333    -0.15721189125583734 -2.0313875470634457e-05,0.00013670933549292386
IIWA_7,1715861937.9163296, -1.0986287112452564   1.5053092488087549   1.1023268033307585  -1.0230480996705202  -2.8196063471501072  -1.6737978636254147 -0.32867779426842653,  0.0016537485300389479  7.7196802095382501e-06 -0.00050337335172820092  4.9021982425100191e-05  1.1118423667633684e-06 -8.4052803918451656e-06  2.0672911285846409e-06,-0.07527798461914062   66.310494701385494  -19.640283832550047  -6.7234231758117673  -2.0627184104919434  0.88911447143554689 -0.17455212783813476, 45.280290436200531  6.7900592292023001   9.673461007403592 -31.236758531412249 -6.9337492214359617 -1.4775719273529142  0.4039416197168133, 0.56459611654281616 -0.18055371940135956  0.23570072650909424,  -0.69145005941390991    0.02826959453523159 -0.0098930634558200836    0.72180312871932983, 0.00015266676200553775  0.00061188748804852366 -0.00020357986795715988,-0.0024607183877378702     1.5540776252746582  -0.022268544882535934,    0.1467956155538559  0.0099645396694540977   0.050931394100189209  0.0099645396694540977    0.25298711657524109 -0.0039917267858982086   0.050931394100189209 -0.0039917267858982086    0.24942745268344879,   -0.30969614183629091    -0.11069173646793828   -0.073813084596086043     0.25346859545383182     0.26677674771224957    -0.15715617843747864 -2.0314082416206247e-05,0.00044641521526500583
IIWA_7,1715861937.9213302, -1.0985869461707547   1.5053169187672359   1.1023528690595554   -1.023078599517365  -2.8196063471501072  -1.6738103272397695 -0.32867773438181658,  0.0029936018040995389  0.00031297408340781911  0.00063993047049468936  -0.0011807762878510452  8.8947389341069469e-07 -0.00050526879850577063  4.0492973008206194e-06,-0.49333964920043943   66.131709487915046   -20.09367691040039  -6.2145664787292478  -2.1155409049987792  0.94852227020263669 -0.17421837615966798, 45.280290436200531  6.7900592292023001   9.673461007403592 -31.236758531412249 -6.9337492214359617 -1.4775719273529142  0.4039416197168133, 0.56459611654281616 -0.18055371940135956  0.23570072650909424,  -0.69145005941390991    0.02826959453523159 -0.0098930634558200836    0.72180312871932983, 0.00015266676200553775  0.00061188748804852366 -0.00020357986795715988,-0.0024607204832136631     1.5540790557861328  -0.022268563508987427,    0.1467956155538559  0.0099645396694540977   0.050931394100189209  0.0099645396694540977    0.25298711657524109 -0.0039917267858982086   0.050931394100189209 -0.0039917267858982086    0.24942745268344879,   -0.30969614183629091    -0.11069173646793828   -0.073813084596086043     0.25346859545383182     0.26677674771224957    -0.15715617843747864 -2.0314082416206247e-05,0.00044641521526500583
IIWA_7,1715861937.9263291, -1.0980102053919256   1.5053828918857119   1.1027136541413831  -1.0236178895665204  -2.8196109490597459  -1.6739163277393108 -0.32867767449520663,   0.025464512596442702   0.0028893040057664048    0.014943347649503187   -0.022516222996497939 -0.00018336480643289828  -0.0046442350204540846  5.6349022386094028e-06, -11.120977977752686   63.988975425720213  -23.451426811218262    1.627813205718994  -2.4034235000610353   1.5649616203308105 -0.17421837615966798, 45.271389862282497  6.7895351245780668  9.6728930536767592 -31.232126194380612 -6.9335160941639273 -1.4770334676788104 0.40400571935082574, 0.56459939479827881 -0.18054413795471191  0.23569950461387634,  -0.69145107269287109   0.028264561668038368 -0.0098861036822199821     0.7218024730682373, 0.00025315434322692454  0.00087293062824755907 -0.00021201584604568779,-0.0024684411473572254     1.5540790557861328  -0.022258860990405083,   0.14679545164108276  0.0099628204479813576   0.050931695848703384  0.0099628204479813576    0.25298744440078735 -0.0039909109473228455   0.050931695848703384 -0.0039909109473228455     0.2494271844625473,   -0.30964163386082433    -0.11066770569678752   -0.073800177994076677      0.2534170265278135     0.26679048237499003    -0.15712534617939866 -2.0314375515084748e-05,0.00062870763940736651
IIWA_7,1715861937.9313295, -1.0974065600354277   1.5054298700405233   1.1030422615695392  -1.0242774414187013  -2.8196005947194256  -1.6739879334716155 -0.32867803403303253,   0.044517424337071294    0.004190569397067574    0.025098975245846648   -0.044395052484430611   0.0002674817676641681  -0.0065796173085509273 -9.8735912451227953e-06, -23.436993961334228    62.68236469268799  -24.339725093841551   6.6565146827697754  -1.5362542152404786     1.01694136428833 -0.16287081909179688, 45.230343323595349  6.7891818480249739  9.6495045674383544 -31.199434330281512 -6.9370299731955658 -1.4614109957079418 0.40401709225453253, 0.56460082530975342 -0.18050564825534821  0.23570723831653595, -0.69143974781036377  0.028231767937541008 -0.009860234335064888   0.72181493043899536,0.00025953407748602331   0.002237978158518672 0.00013995352492202073,-0.0024684423115104437     1.5540800094604492  -0.022258874028921127,   0.14679448306560516  0.0099549349397420883   0.050930965691804886  0.0099549349397420883    0.25298881530761719 -0.0039867027662694454   0.050930965691804886 -0.0039867027662694454    0.24942886829376221,   -0.30939183901601552    -0.11054721966319292   -0.073727639608112128     0.25316519493090439     0.26681835132524867    -0.15698083998172407 -2.0304280035077227e-05,0.0015206194948405027
IIWA_7,1715861937.9363298,  -1.097153273381972   1.5054981801548679   1.1035045530371674   -1.025078347159752  -2.8195932125002887   -1.674082189432454 -0.32867827368855546,   0.045745405607884947   0.0060848600914382676    0.038570838901806015   -0.067552271629574057  0.00050927417960635582  -0.0090339322803832597 -1.7485093913166526e-05, -26.852732513427735   62.694462940216063  -24.763185424804686   9.0273643112182622  -2.0371875381469726   1.6113531036376953 -0.19791474533081055, 44.558004446446283  6.7694551134372354  9.3390352815350752 -30.681998844797363 -6.9796082574873104 -1.2375137378113201 0.40416406189874943, 0.56461375951766968 -0.17993226647377014  0.23582100868225098,  -0.69129043817520142   0.027768820524215698 -0.0094817522913217545     0.7219809889793396,0.00071113836020231247    0.02472212165594101  0.0046648359857499599,-0.0024730563163757324     1.5540826320648193  -0.022255642339587212,   0.14678598940372467  0.0098321707919239998     0.0509219691157341  0.0098321707919239998    0.25301003456115723 -0.0039225257933139801     0.0509219691157341 -0.0039225257933139801    0.24945436418056488,   -0.30550458932143698     -0.1087139582112151   -0.072624502412299563     0.24925289919552895     0.26720530688928434    -0.15488605790814347 -2.0167036041129904e-05,0.016953980550169945
IIWA_7,1715861937.9413309, -1.0972228417696241   1.5056360586568647   1.1041605695067822  -1.0260907744797565  -2.8195888022278015  -1.6741397736258805 -0.32867737484399068,  0.033813588980221861   0.010383028153020921   0.057097329906035735  -0.094538910103839469 0.00058383024317347314 -0.0095305135613664663 2.1965707460602799e-05, -23.213848506927491   62.976755382537839  -23.101917972564696   6.9576029014587402  -1.2835866165161132   1.1487732772827148 -0.18523218154907226, 43.949881244992312  6.7266020116644185  9.1040085235933859 -30.195687655838594  -7.007192361663809 -1.0207743183610711  0.4007974228945983, 0.56461423635482788 -0.17930193245410919   0.2359258234500885,  -0.69113677740097046   0.027291528880596161 -0.0090514551848173141    0.72215175628662109,0.0005488232709467411   0.04498126357793808 0.0079309111461043358,-0.0024767287541180849     1.5541248321533203   -0.02228119969367981,   0.14678652584552765  0.0096937045454978943   0.050918251276016235  0.0096937045454978943    0.25303313136100769 -0.0038516893982887268   0.050918251276016235 -0.0038516893982887268    0.24947828054428101,   -0.30112377733804152    -0.10669446874400634   -0.071404058183954788     0.24486543487567403     0.26761508404771206    -0.15261211258854601 -2.0021301505579459e-05,0.030769003555178642
IIWA_7,1715861937.9463308, -1.0973790561553269   1.5058548906564737   1.1051009117834363  -1.0274790271473344  -2.8195824745365985  -1.6742352279734167 -0.32867803403303253,   0.020802295756065854     0.01705970250677822    0.083291554990991445    -0.13116123478618824   0.0007201718426592549   -0.011442584750541846 -8.7949957055854883e-06, -17.555901412963866   61.697029644012453  -23.974369506835938   5.6027059173583984  -2.1340287780761718   1.4204471435546875 -0.17788964462280274,  43.513356971128282   6.7116467673968714   8.5610544240721076  -29.597541940830325   -7.105316154476272 -0.56835294431107397  0.38636837396701074, 0.56437599658966064 -0.17837797105312347    0.236265629529953,  -0.69064372777938843   0.026443470269441605 -0.0084589561447501183    0.72266203165054321,-0.0086053125560283661   0.061696466058492661     0.0175150316208601,-0.0025179821532219648      1.554119348526001  -0.022648517042398453,   0.14680038392543793   0.009458569809794426    0.05088752880692482   0.009458569809794426    0.25306922197341919 -0.0037293266505002975    0.05088752880692482 -0.0037293266505002975    0.24955880641937256,   -0.29369574735049753    -0.10326051302111949    -0.06918275317380207     0.23720653187719876       0.267558713137106    -0.14907947533160382 -1.9606914314351798e-05,0.043586157262325287
