RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1715862815.0588882,0.55024152994155884 0.26278948783874512   0.320323646068573, 0.49706670641899109 -0.50386250019073486 -0.49719807505607605  0.50183790922164917,0.55024152994155884 0.26278948783874512   0.320323646068573, 0.49706670641899109 -0.50386250019073486 -0.49719807505607605  0.50183790922164917
1715862815.0638785,0.55024486780166626 0.26279419660568237 0.32030060887336731, 0.49701932072639465 -0.50387126207351685 -0.49719756841659546   0.5018765926361084,0.55024486780166626 0.26279419660568237 0.32030060887336731, 0.49701932072639465 -0.50387126207351685 -0.49719756841659546   0.5018765926361084
1715862815.0688808,0.55024349689483643 0.26277813315391541 0.32031536102294922, 0.49704861640930176 -0.50387036800384521    -0.49717977643013  0.50186610221862793,0.55024349689483643 0.26277813315391541 0.32031536102294922, 0.49704861640930176 -0.50387036800384521    -0.49717977643013  0.50186610221862793
1715862815.0737607,0.55025112628936768 0.26277512311935425 0.32031935453414917,  0.4970611035823822 -0.50386732816696167 -0.49720785021781921  0.50182896852493286,0.55025112628936768 0.26277512311935425 0.32031935453414917,  0.4970611035823822 -0.50386732816696167 -0.49720785021781921  0.50182896852493286
1715862815.0787594,0.55024433135986328 0.26277819275856018 0.32032632827758789, 0.49703747034072876 -0.50386637449264526 -0.49720314145088196  0.50185805559158325,0.55024433135986328 0.26277819275856018 0.32032632827758789, 0.49703747034072876 -0.50386637449264526 -0.49720314145088196  0.50185805559158325
1715862815.0838759,0.55022740364074707  0.2627890408039093  0.3203275203704834, 0.49703487753868103 -0.50387477874755859 -0.49717745184898376   0.5018775463104248,0.55022740364074707  0.2627890408039093  0.3203275203704834, 0.49703487753868103 -0.50387477874755859 -0.49717745184898376   0.5018775463104248
1715862815.0887589, 0.5502353310585022 0.26283061504364014 0.32029309868812561, 0.49707850813865662 -0.50386756658554077 -0.49719414114952087  0.50182509422302246, 0.5502353310585022 0.26283061504364014 0.32029309868812561, 0.49707850813865662 -0.50386756658554077 -0.49719414114952087  0.50182509422302246
1715862815.0937629,0.55022966861724854 0.26286715269088745 0.32032179832458496, 0.49712488055229187 -0.50385302305221558 -0.49715125560760498  0.50183618068695068,0.55022966861724854 0.26286715269088745 0.32032179832458496, 0.49712488055229187 -0.50385302305221558 -0.49715125560760498  0.50183618068695068
1715862815.098763,0.55025070905685425 0.26285946369171143 0.32033443450927734,  0.4971390962600708 -0.50384289026260376 -0.49715301394462585   0.5018305778503418,0.55025070905685425 0.26285946369171143 0.32033443450927734,  0.4971390962600708 -0.50384289026260376 -0.49715301394462585   0.5018305778503418
1715862815.1038766,0.55028367042541504 0.26287296414375305 0.32031974196434021, 0.49711117148399353 -0.50387465953826904  -0.4971468448638916  0.50183248519897461,0.55028367042541504 0.26287296414375305 0.32031974196434021, 0.49711117148399353 -0.50387465953826904  -0.4971468448638916  0.50183248519897461
1715862815.1088765,0.55034685134887695 0.26283091306686401 0.32032069563865662, 0.49709334969520569 -0.50387519598007202 -0.49719193577766418  0.50180494785308838,0.55034685134887695 0.26283091306686401 0.32032069563865662, 0.49709334969520569 -0.50387519598007202 -0.49719193577766418  0.50180494785308838
1715862815.1137607,0.55043840408325195 0.26275938749313354 0.32028371095657349, 0.49704131484031677 -0.50387543439865112 -0.49728125333786011  0.50176769495010376,0.55043840408325195 0.26275938749313354 0.32028371095657349, 0.49704131484031677 -0.50387543439865112 -0.49728125333786011  0.50176769495010376
1715862815.1187618,0.55047637224197388 0.26272842288017273 0.32027366757392883, 0.49697217345237732 -0.50389832258224487 -0.49727895855903625  0.50181549787521362,0.55047637224197388 0.26272842288017273 0.32027366757392883, 0.49697217345237732 -0.50389832258224487 -0.49727895855903625  0.50181549787521362
1715862815.1238763, 0.5505218505859375 0.26269176602363586 0.32027384638786316, 0.49698492884635925 -0.50392794609069824 -0.49731042981147766  0.50174188613891602, 0.5505218505859375 0.26269176602363586 0.32027384638786316, 0.49698492884635925 -0.50392794609069824 -0.49731042981147766  0.50174188613891602
1715862815.1288331,0.55053836107254028 0.26268735527992249  0.3202795684337616,   0.496966153383255 -0.50392359495162964 -0.49733051657676697  0.50174498558044434,0.55053836107254028 0.26268735527992249  0.3202795684337616,   0.496966153383255 -0.50392359495162964 -0.49733051657676697  0.50174498558044434
1715862815.1337585,0.55052030086517334 0.26272821426391602 0.32027581334114075, 0.49697422981262207 -0.50393110513687134 -0.49727112054824829  0.50178831815719604,0.55052030086517334 0.26272821426391602 0.32027581334114075, 0.49697422981262207 -0.50393110513687134 -0.49727112054824829  0.50178831815719604
1715862815.1387613,0.55051892995834351 0.26274442672729492 0.32025009393692017, 0.49698281288146973 -0.50393557548522949 -0.49723207950592041  0.50181394815444946,0.55051892995834351 0.26274442672729492 0.32025009393692017, 0.49698281288146973 -0.50393557548522949 -0.49723207950592041  0.50181394815444946
1715862815.1438189,0.55049163103103638 0.26277643442153931 0.32026463747024536, 0.49701538681983948 -0.50389754772186279  -0.4972398579120636  0.50181221961975098,0.55049163103103638 0.26277643442153931 0.32026463747024536, 0.49701538681983948 -0.50389754772186279  -0.4972398579120636  0.50181221961975098
