RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1715861746.061753,0.55110615491867065 0.48022282123565674 0.31797218322753906,-0.37653595209121704  0.59664279222488403  0.59723609685897827 -0.38150641322135925,0.55110615491867065 0.48022282123565674 0.31797218322753906,-0.37653595209121704  0.59664279222488403  0.59723609685897827 -0.38150641322135925
1715861746.0667846,0.55136603116989136 0.47518709301948547 0.31791269779205322,-0.38028261065483093  0.59396213293075562  0.59471046924591064 -0.38589325547218323,0.55136603116989136 0.47518709301948547 0.31791269779205322,-0.38028261065483093  0.59396213293075562  0.59471046924591064 -0.38589325547218323
1715861746.0718155,0.55159980058670044 0.47012966871261597 0.31792533397674561,-0.38430300354957581  0.59138029813766479  0.59209328889846802 -0.38987961411476135,0.55159980058670044 0.47012966871261597 0.31792533397674561,-0.38430300354957581  0.59138029813766479  0.59209328889846802 -0.38987961411476135
1715861746.0818372, 0.5519452691078186  0.4624769389629364 0.31798303127288818,  -0.390144944190979  0.58764970302581787  0.58803749084472656 -0.39581137895584106, 0.5519452691078186  0.4624769389629364 0.31798303127288818,  -0.390144944190979  0.58764970302581787  0.58803749084472656 -0.39581137895584106
1715861746.0867867,0.55214983224868774 0.45732736587524414 0.31800201535224915,-0.39383873343467712   0.5855674147605896  0.58509105443954468 -0.39958766102790833,0.55214983224868774 0.45732736587524414 0.31800201535224915,-0.39383873343467712   0.5855674147605896  0.58509105443954468 -0.39958766102790833
1715861746.0917852,0.55238234996795654 0.45220521092414856 0.31808137893676758,-0.39776062965393066  0.58294111490249634  0.58254444599151611 -0.40324699878692627,0.55238234996795654 0.45220521092414856 0.31808137893676758,-0.39776062965393066  0.58294111490249634  0.58254444599151611 -0.40324699878692627
1715861746.1017935,0.55273795127868652  0.4445827305316925 0.31811821460723877,-0.40304940938949585  0.57915735244750977  0.57903003692626953  -0.4084753692150116,0.55273795127868652  0.4445827305316925 0.31811821460723877,-0.40304940938949585  0.57915735244750977  0.57903003692626953  -0.4084753692150116
1715861746.1068099,0.55301427841186523 0.43946540355682373 0.31805011630058289,-0.40602588653564453  0.57676690816879272  0.57673132419586182 -0.41214555501937866,0.55301427841186523 0.43946540355682373 0.31805011630058289,-0.40602588653564453  0.57676690816879272  0.57673132419586182 -0.41214555501937866
1715861746.1117859,0.55327481031417847 0.43442529439926147 0.31801795959472656,-0.40928763151168823  0.57427078485488892  0.57443827390670776 -0.41559278964996338,0.55327481031417847 0.43442529439926147 0.31801795959472656,-0.40928763151168823  0.57427078485488892  0.57443827390670776 -0.41559278964996338
1715861746.126812,0.55394399166107178 0.42169126868247986 0.31815099716186523, -0.4168688952922821  0.56922680139541626  0.56870490312576294 -0.42281901836395264,0.55394399166107178 0.42169126868247986 0.31815099716186523, -0.4168688952922821  0.56922680139541626  0.56870490312576294 -0.42281901836395264
1715861746.1367865,0.55457609891891479 0.41173398494720459 0.31814196705818176,-0.42188066244125366  0.56560683250427246  0.56424504518508911 -0.42864108085632324,0.55457609891891479 0.41173398494720459 0.31814196705818176,-0.42188066244125366  0.56560683250427246  0.56424504518508911 -0.42864108085632324
