DesiredFlux,0.99,HitTime,1715863772.8612688,DesiredPos, 0.5560111403465271 0.15388472378253937 0.22054421901702881
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715863772.376858, -1.0883250342333188   1.5346255392366821   1.0923377122080988 -0.96017957483131233  -2.8195719283845935  -1.7448773202557259 -0.33065734856045087, 7.8048728357486881e-05 -2.6952841581822876e-06  -0.0020851376819022872  0.00024775282112474194 -7.7362120431469809e-07 -8.1545907108640677e-05 -0.00013433638092344625,-0.016130996704101563    67.012193058013921   -18.722052803039549   -6.8052980422973635   -2.0266230392456053   0.91347834396362304   -0.1278268928527832, 0.44406304433100424 -0.76151438789910919 -0.26257667421201925 -0.37029490913804886  -5.9844581099504435 -0.34454440675216103  -0.4398551759012832, 0.55995774269104004 -0.19661027193069458  0.22677929699420929, -0.68374443054199219  0.021351903676986694 -0.002252297243103385   0.72940564155578613,-0.00018473753880243748  -0.0002175219269702211 -0.00088005809811875224,-0.0023484725970774889     1.4664192199707031 -0.0037130375858396292,   0.14561457931995392   0.018346741795539856   0.051692623645067215   0.018346741795539856    0.25129920244216919 -0.0066085224971175194   0.051692623645067215 -0.0066085224971175194    0.24638962745666504,   -0.57928263680473435    -0.18463369172083688    -0.11352765321870351      0.5268808871861097      0.3106266096102317    -0.13352518654174972 -1.4964903982672695e-05,0.00062459474429488182
IIWA_7,1715863772.3818843, -1.0883250342333188   1.5346255392366821   1.0923293232830491 -0.96017897563796351  -2.8195718325660173  -1.7448777995667717 -0.33065758821597374, 6.2438982685989508e-05 -2.1562273265458302e-06  -0.0020036671475110028  0.00022216999085287217  3.2138460839310332e-06 -8.4409167516608235e-05 -0.00011705532565360485,-0.020163745880126954    67.006816059112552   -18.731736927032472   -6.8079391670227052   -2.0248622894287109   0.91247708892822266  -0.12682563781738282, 0.45686196306949972 -0.73196103568299697 -0.28612424167941719 -0.37043084301691298  -5.9965542141811268 -0.33143626079153943 -0.44003047442393561, 0.55995684862136841 -0.19661116600036621  0.22677567601203918,   -0.6837460994720459   0.021354641765356064 -0.0022502134088426828     0.7294040322303772,-0.00018328560690861195 -0.00020949241297785193 -0.00084941141540184617,-0.0023468129802495241      1.466418981552124 -0.0037088626995682716,   0.14561539888381958   0.018347024917602539   0.051693320274353027   0.018347024917602539    0.25129911303520203 -0.0066087367013096809   0.051693320274353027 -0.0066087367013096809    0.24638885259628296,   -0.57929201985240653    -0.18463978394800407    -0.11353113449308339     0.52689253465665331      0.3106311987988164    -0.13352532734112188 -1.4965971129043965e-05,0.00060345279052853584
IIWA_7,1715863772.3868566, -1.0883249143510156   1.5346256590099019   1.0923209343579994 -0.96017807679339873  -2.8195718325660173  -1.7448782189912075  -0.3306583072916256, 5.4746478276615422e-05  3.0659469302282571e-06  -0.0019384907199979753  0.00021368977527343376  2.5710768671448268e-06  -8.430431144724981e-05 -0.00012240728659712499,-0.036294742584228518    67.004127559661868   -18.723813552856445   -6.7947335433959957   -2.0239819145202635   0.91247708892822266  -0.12682563781738282,  41.997347963949409   4.7882056418178296   6.9019413611386256  -27.710826110004959  -6.1437106320327475 -0.15179501753531721 -0.44030171848097832, 0.55995595455169678 -0.19661204516887665  0.22677193582057953,  -0.68374776840209961   0.021357621997594833 -0.0022478296887129545    0.72940236330032349,-0.00018377725791651756 -0.00020280548778828233 -0.00082881306298077106,-0.0023449440486729145     1.4664188623428345 -0.0037046826910227537,  0.14561624825000763  0.018347309902310371  0.051694054156541824  0.018347309902310371   0.25129902362823486 -0.006608959287405014  0.051694054156541824 -0.006608959287405014   0.24638804793357849,   -0.57930149121698804     -0.1846461146857159     -0.1135348252754298     0.52690445480552128     0.31063600670444558    -0.13352530922361439 -1.4967078243444121e-05,0.00058925838675349951
IIWA_7,1715863772.3918805, -1.0882978300044341   1.5346375234309078   1.0923368733592271 -0.96020995490493721  -2.8195719283845935   -1.744876720953294 -0.33065914624958043,  0.0011271710458811434  0.00047702959777895759 -0.00091323252688796093  -0.0011041726413206871 -1.7758815536669301e-06 -7.5219326180261118e-06 -0.00013148414747088312,-0.28498094177246092    66.82399809646607  -19.109417762756348  -6.3739143371582028  -2.0697614097595216  0.91381209564208987 -0.12582438278198241,  41.997121076662417   4.7892409536103946   6.9013734689365744  -27.710705722312802   -6.143959916324083  -0.1516640043288644 -0.44054695210359307,0.55995506048202515 -0.1966128796339035  0.2267686128616333,  -0.68374919891357422   0.021360315382480621 -0.0022456406150013208    0.72940093278884888,-0.00018280291988048702 -0.00019584438996389508  -0.0007957416819408536,-0.0023431817535310984     1.4664187431335449 -0.0037005869671702385,   0.14561700820922852   0.018347578123211861   0.051694706082344055   0.018347578123211861     0.2512989342212677 -0.0066091613844037056   0.051694706082344055 -0.0066091613844037056    0.24638731777667999,   -0.57931039009284646    -0.18465187392058269    -0.11353809302061535     0.52691548909011843     0.31064019282700528     -0.1335252947933796 -1.4968009498517176e-05,0.00056684290757402778
IIWA_7,1715863772.3968561, -1.0878756258044811    1.534747658397281   1.0925500127493144 -0.96074798668078487  -2.8195728870939516  -1.7448704892551998 -0.33066010498075515,   0.017789904834828563   0.0047870223331528926   0.0077949895819803957   -0.022404609146962882 -3.9769079567859319e-05  0.00024325037767424925 -0.00014353656496579544, -8.7456887130737311    63.44589853668213  -20.709939346313476   1.4473363494873046  -2.0644791603088377   1.3573680763244629 -0.12115185928344727,  41.996957755164125   4.7900901601136754   6.9010613815231565  -27.710704746361198  -6.1440830931873194 -0.15167015968252573 -0.44073174054030895, 0.55995422601699829 -0.19661375880241394   0.2267652302980423,  -0.68375062942504883   0.021362904459238052 -0.0022436869330704212    0.72939950227737427, -0.0001790740352589637  -0.0001916361361509189 -0.00077202735701575875,-0.0023413852322846651     1.4664186239242554 -0.0036963676102459431,   0.14561775326728821   0.018347859382629395   0.051695354282855988   0.018347859382629395    0.25129884481430054 -0.0066093713976442814   0.051695354282855988 -0.0066093713976442814    0.24638660252094269,    -0.5793196992116556    -0.18465785678278834    -0.11354144728858984     0.52692698452938558     0.31064436080985303    -0.13352559295576327 -1.4968961625783095e-05,0.0005504613509401679
IIWA_7,1715863772.4018931, -1.0874422162634811   1.5347754019329045   1.0927766344806242  -0.9614261739588047  -2.8195633956444133  -1.7448502359091442 -0.33066429944328002,   0.031568305507859142   0.0049393592914628946    0.015300860917977454   -0.045051178438363357  0.00034784271787865627   0.0010047341443633474 -0.00028260775296722279, -18.301960010528564   62.226664035797121  -21.268977413177488   5.9504540061950681  -1.4006764793395996   1.1694658813476562 -0.11614558410644531,  41.961402683452086   4.7847620306767684   6.8848682923275017  -27.684099381257809  -6.1450523249202895  -0.1424010260198269 -0.44204892587315336, 0.55995553731918335 -0.19658404588699341   0.2267654687166214,  -0.68374037742614746   0.021343715488910675 -0.0022240320686250925    0.72940975427627563,-9.1707814135588706e-05   0.0010348480427637696 -0.00060796953039243817,-0.0023397121112793684     1.4664182662963867 -0.0036925924941897392,   0.14561749994754791    0.01834055595099926   0.051696084439754486    0.01834055595099926    0.25130116939544678 -0.0066059348173439503   0.051696084439754486 -0.0066059348173439503    0.24638727307319641,   -0.57907778435284385    -0.18455560540076021    -0.11348047784220938     0.52666902862519294     0.31064645728040574     -0.1334271136679277 -1.4959134375658323e-05,0.000812644197139889
IIWA_7,1715863772.4068544, -1.0872084039938192   1.5347749825084687   1.0931356818690152 -0.96231803993365073  -2.8195564926926888  -1.7448631788345446 -0.33066609702332644,   0.034607135192763469   0.0039347104557363524    0.026602584270021455   -0.071715581744531853  0.00055439224328101785  0.00028607029947756962 -0.00029798940423079361, -23.267618495941161    62.80200291824341  -22.385292797088624   6.8237859153747555  -1.9051313018798828   1.2615813446044921 -0.14785199356079101,  41.420899133290497   4.6747622939200291   6.7340066723028373  -27.261501544283888  -6.1370619296353137 0.011078329062718051 -0.46245572391575296, 0.55996489524841309 -0.19611538946628571  0.22678779065608978,  -0.68360227346420288   0.021033117547631264 -0.0018934768158942461     0.7295491099357605,0.0002917409292422235  0.019572809338569641 0.0004088740679435432,-0.0023380755446851254     1.4664227962493896 -0.0036887847818434238,    0.1456155925989151   0.018227651715278625   0.051706943660974503   0.018227651715278625    0.25133726000785828 -0.0065503558143973351   0.051706943660974503 -0.0065503558143973351    0.24639919400215149,   -0.57533743691928763    -0.18290696707978782    -0.11254520509940136     0.52267322370669334     0.31078740899115331    -0.13177826894672506 -1.4817080007389904e-05,0.013217517174780369
IIWA_7,1715863772.4118781, -1.0872124786831243   1.5347979322791354   1.0936104968376079 -0.96352059698646586  -2.8195538083762992  -1.7448670737549365 -0.33066759506124005,   0.027522720582007654   0.0040657591912589604    0.040274666159725012    -0.10547474750823085  0.00055088645020928435  7.3059423902490441e-05 -0.00029831303992884953, -22.486609405517576   64.076351657867434  -21.828015480041504   6.4954060745239257  -1.2395678710937499     1.05966157913208 -0.14251196670532226,  40.921061873850803   4.6237366563103057   6.5743722697671236  -26.862929902839152  -6.1525829253020365  0.18132147745335506 -0.47163220015567409, 0.55996161699295044 -0.19559444487094879  0.22684849798679352,  -0.68346786499023438   0.020674413070082664 -0.0015265020774677396    0.72968614101409912,7.8105891589075327e-05   0.036490477621555328  0.0027616880834102631,-0.0023392760194838047     1.4664913415908813 -0.0036895936354994774,  0.14561563730239868  0.018101135268807411  0.051716256886720657  0.018101135268807411   0.25137710571289062 -0.006486239843070507  0.051716256886720657 -0.006486239843070507    0.2464175820350647,   -0.57115119687756177    -0.18101550895366358    -0.11151829855693407     0.51819368596239812     0.31099768159981167    -0.12988917895828678 -1.4668552594798712e-05,0.024703141301870346
IIWA_7,1715863772.416887, -1.0873341785283703   1.5348564752037366   1.0942517726926928 -0.96507003746453335  -2.8195479599525086  -1.7448517339470577 -0.33067131021271912,   0.017150182655765525   0.0055943243370538947    0.057870767131175553    -0.14635741712928418  0.00067464611179097545  0.00067203985427489229 -0.00038725649110574997, -18.660874687194823   63.412292293548582  -22.638840770721437   5.9011530113220214  -1.9482696723937989   1.2358824653625489 -0.11981685256958008,  40.565649666268335   4.6258625537566269   6.3609508013720806  -26.511172013944165  -6.1950491574000113    0.395450186470655 -0.47516022713103079,  0.5598905086517334 -0.19509686529636383  0.22697120904922485,  -0.68328619003295898   0.020278120413422585 -0.0011750070843845606    0.72986805438995361,-0.0028216505888849497   0.049083434045314789  0.0071301464922726154,-0.0023532675113528967     1.4665665626525879 -0.0037161617074161768,  0.14562071859836578  0.017973214387893677  0.051719050854444504  0.017973214387893677   0.25141680240631104 -0.006417472381144762  0.051719050854444504 -0.006417472381144762   0.24644872546195984,   -0.56692410138348137    -0.17901596842939682    -0.11040389993244304     0.51358242339683002     0.31110360063202336    -0.12794938542759482 -1.4486969845961539e-05,0.03353361040353775
IIWA_7,1715863772.4219067, -1.0874367634185655   1.5349122618171167   1.0949979704338413 -0.96697906452864768  -2.8195570679532103  -1.7448407683706169 -0.33067304790615559,  0.0096167505168039402   0.0067069240048481795     0.07614452335087965    -0.19344701626800065  0.00017539686136714588    0.000976254941054671 -0.00037931293034366249,-17.284362968444825  63.292654067993162 -22.549042530059815  4.7416992568969727 -1.9236191749572753  1.2282061767578125 -0.1061330337524414,  40.318743654429369   4.6071561717062863    6.141661667181272  -26.166500014400878  -6.2347532750140724  0.65238532442128006 -0.48700429140898294, 0.55973184108734131 -0.19460321962833405  0.22712050378322601,   -0.68303567171096802    0.019864482805132866 -0.00081376545131206512      0.7301144003868103,-0.0086557529866695404   0.058991320431232452   0.011701265349984169, -0.002368738641962409      1.466641902923584 -0.0037800981663167477,   0.14564113318920135   0.017833033576607704   0.051722697913646698   0.017833033576607704    0.25145882368087769 -0.0063415034674108028   0.051722697913646698 -0.0063415034674108028    0.24648860096931458,   -0.56230164519011083    -0.17683633502274532     -0.1091174299920894       0.508466321908152     0.31101101634378736    -0.12594283617683999 -1.4257670155615187e-05,0.041011504828929901
