DesiredFlux,1.093,HitTime,1715863933.2512822,DesiredPos, 0.5711180567741394  0.1581442803144455 0.22065272927284241
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715863932.7674494, -1.0299978714885141   1.5467655589669518   1.0885613631586788 -0.87589080592386936  -2.8196891820472034  -1.7835170379201746 -0.32322131677729449,-4.6610604893407908e-05 -3.0939598687662399e-07  -0.0017013128666821932  0.00034180508874902629 -7.2216189592440991e-06  -0.0022590492387112235 -3.7763707068695037e-06, 0.10485147857666016   68.662931720733638  -17.619823417663575  -7.3652164840698244  -2.0371875381469726  0.89812576675415035 -0.12549063110351563,  0.10537978915728913  -0.33701298113726319  -0.40743305273600772  -0.36682018988203902   -4.8904394473116568 -0.018804066902146088  -0.30325150435990011, 0.57597768306732178 -0.19448094069957733  0.22566640377044678,-0.68784630298614502 0.011960807256400585 0.002668681088835001  0.72575289011001587,-0.00066068873275071383 -0.00033610028913244605 -0.00053538830252364278, -0.003003283403813839     1.6168715953826904 -0.0030977984424680471,   0.13977482914924622   0.023186065256595612    0.05023467168211937   0.023186065256595612    0.25028818845748901 -0.0082157514989376068    0.05023467168211937 -0.0082157514989376068    0.24474364519119263,    -0.7383453115030747    -0.22374505029221226    -0.14691814071765563     0.71468831752508066     0.37239232282804124    -0.10866218627114677 -1.7112772088268002e-05,0.00061812432250007987
IIWA_7,1715863932.7725034, -1.0299969726439493   1.5467656788492548   1.0885561499692862 -0.87589032661282351  -2.8196889904100515  -1.7835246478829625 -0.32322149654620741,-1.3347013235903116e-06  4.5477753294407304e-06  -0.0015695778690504193  0.00029261651283335764  1.8881909096067356e-06  -0.0021116379024859579  -1.021185308239054e-05, 0.13711347198486329   68.668308719635007  -17.614541168212892  -7.3740202331542966  -2.0371875381469726  0.89979452514648439 -0.12515687942504883,   0.10326235144220275   -0.31528700481281635   -0.42701931353272027   -0.35037490840912294    -4.8981278391993843 -0.0010140563346505982   -0.30327417608531071,0.57597541809082031 -0.1944812536239624 0.22566506266593933, -0.68784636259078979    0.0119593795388937 0.0026729493401944637   0.72575283050537109,-0.00061976263532415032 -0.00028155467589385808 -0.00048214098205789924,-0.0030000475235283375     1.6168712377548218  -0.003094732528552413,   0.13977526128292084   0.023186683654785156   0.050235070288181305   0.023186683654785156    0.25028809905052185 -0.0082157952710986137   0.050235070288181305 -0.0082157952710986137    0.24474315345287323,  -0.73836564284501804   -0.22374638725830565   -0.14691952846224154    0.71470932438488788    0.37240479181255282   -0.10864710690228208 -1.711221564448806e-05,0.0005638940492644906
IIWA_7,1715863932.7775075, -1.0299959540261645   1.5467655589669518   1.0885513563134126 -0.87589014684391064  -2.8196889904100515  -1.7835319583036175 -0.32322161642851044, 3.9676950332610475e-05  -1.157071855389445e-06  -0.0014474085301835597   0.0002412839667813606  1.5105527276853885e-06  -0.0019817271481907244 -1.2964774587074908e-05, 0.17071971511840819   68.664275970458988  -17.613660793304444  -7.3731398582458496  -2.0424697875976561  0.89745826339721679 -0.12215311431884765,  46.740857037017378   5.8328240552952515   6.9776666650522898   -29.58252371081495  -4.9419157571312953   0.6546510586084654 -0.30330657113020532, 0.57597345113754272 -0.19448129832744598  0.22566360235214233,-0.68784642219543457  0.01195819303393364 0.002676940755918622  0.72575277090072632,-0.00057299755280837417 -0.00022688615717925131 -0.00044394360156729817,-0.0029971222393214703     1.6168711185455322   -0.00309212994761765,   0.13977567851543427   0.023187169805169106    0.05023549497127533   0.023187169805169106    0.25028800964355469 -0.0082158418372273445    0.05023549497127533 -0.0082158418372273445    0.24474266171455383,   -0.73838170047624274    -0.22374766612021091    -0.14692084712120135     0.71472637143044082     0.37241586521163939     -0.1086334443387571 -1.7111697392380165e-05,0.00051343988161534071
IIWA_7,1715863932.7824521, -1.0299951750639027   1.5467656788492548   1.0885467423173687 -0.87588984719269469  -2.8196891820472034  -1.7835384297663177 -0.32322161642851044, 6.2900050738282375e-05  3.8696346346304731e-06  -0.0013424866659028747   0.0002050132220631459 -6.4570438948537037e-06  -0.0018442402265591339 -1.0371819669659926e-05, 0.20432595825195313   68.669652969360357   -17.60837854385376  -7.3845847320556643  -2.0345464134216309  0.90112953186035161 -0.12415562438964843,  46.738783769995997   5.8339394280554764   6.9760663095190889  -29.581892426337433   -4.942433738947547   0.6546319192487482 -0.30332731466534513, 0.57597160339355469 -0.19448114931583405  0.22566235065460205, -0.68784654140472412  0.011956838890910149 0.0026808977127075195   0.72575271129608154,-0.00053229928016662598 -0.00017550174379721284 -0.00040535093285143375,-0.0029945382848381996     1.6168709993362427 -0.0030900780111551285,   0.13977606594562531   0.023187600076198578   0.050235874950885773   0.023187600076198578    0.25028795003890991 -0.0082158492878079414   0.050235874950885773 -0.0082158492878079414    0.24474221467971802,  -0.73839575094147847   -0.22374784089418398   -0.14692167989416305    0.71474100458912559    0.37242691000205497   -0.10861931594652319 -1.711121022651696e-05,0.00046758746611885726
IIWA_7,1715863932.7874789,  -1.029967970835018   1.5467791011947842   1.0885663365834655 -0.87592214472866892  -2.8196889904100515  -1.7835359131106194 -0.32322161642851044,  0.0011384891959783008  0.00053998952888686729 -0.00029021868885160387  -0.0011278908613184396   2.499850961119052e-06  -0.0013747259533160507 -8.2974557357279408e-06,-0.0053769989013671875     68.476081008911137    -17.982537879943848    -6.9928178977966304    -2.0768044090270994    0.87509690093994141   -0.12382187271118164,  46.737266473389376   5.8346944259148739   6.9749429591271488  -29.581588881263322  -4.9427264472452919  0.65440526260490273 -0.30341865480175523, 0.57596993446350098 -0.19448113441467285  0.22566094994544983, -0.68784672021865845  0.011955901049077511 0.0026845186948776245   0.72575253248214722,-0.00049393385415896773 -0.00014011980965733528 -0.00038015004247426987, -0.002992195775732398     1.6168709993362427 -0.0030880111735314131,   0.13977643847465515   0.023188011720776558   0.050236251205205917   0.023188011720776558    0.25028789043426514 -0.0082158753648400307   0.050236251205205917 -0.0082158753648400307     0.2447417825460434,   -0.73840923748935694    -0.22374852922357746    -0.14692255251702591      0.7147551168524835     0.37243681263499084    -0.10860709368820665 -1.7110850070167771e-05,0.00043185343383811414
IIWA_7,1715863932.7924733, -1.0295419317103662   1.5469096692761257   1.0887946360125189 -0.87646928450521822   -2.819690428386822  -1.7835111656508231 -0.32322161642851044,   0.017952356342853762   0.0056547148767689612   0.0088998022110565889   -0.022787903751026718 -5.5519190052959015e-05  -0.0001098823708006898 -6.6379645885823526e-06, -8.0453346061706537   64.619428546905525  -19.467730350494385  0.54495206832885745  -2.1349091529846191   1.3443517608642579 -0.10913679885864258,  46.700311877325383   5.8273038006457938   6.9599621824024256   -29.55653926515404  -4.9432862970618103  0.66094617395867616 -0.30488143048529548, 0.57597172260284424 -0.19445058703422546  0.22566106915473938, -0.68783491849899292  0.011936797760426998 0.0027037491090595722   0.72576397657394409,-0.00032312751864083111   0.0011096474481746554 -0.00029937431099824607,-0.0029921955429017544     1.6168707609176636 -0.0030880109407007694,  0.13977587223052979   0.02318006195127964  0.050237257033586502   0.02318006195127964   0.25029098987579346 -0.008212321437895298  0.050237257033586502 -0.008212321437895298   0.24474257230758667,  -0.73813727035210164   -0.22364233355931518    -0.1468527241841322    0.71445137951808846    0.37242881234123004   -0.10850986785193584 -1.709746744182894e-05,0.00080705469008535147
IIWA_7,1715863932.7975171, -1.0290918640924867   1.5469620403892428   1.0890569107843731 -0.87717347751634189   -2.819680745125599   -1.783466943807233 -0.32322455250864457,   0.032364589789466179   0.0066186164260978401    0.017610832643010988   -0.046398043445768464  0.00034291509688088375    0.001680967846963353 -0.00012275357703608558, -18.066716308593751   63.035902370452881  -19.649967956542969   5.5657301712036134  -1.4218054771423341   1.1110593376159668 -0.10446427536010743,  46.137177114946688   5.6946261854980422   6.8194831113999053  -29.133507521581617  -4.9301779838704354  0.80461498687094934 -0.32770474915123249, 0.57598608732223511 -0.19397023320198059  0.22566761076450348, -0.68768364191055298  0.011634001508355141 0.0030352822504937649   0.72591090202331543,0.00030584482010453939   0.020100276917219162 2.5108256522798911e-05,-0.0029880080837756395     1.6168771982192993 -0.0030842910055071115,   0.13977226614952087   0.023057069629430771   0.050254769623279572   0.023057069629430771    0.25033912062644958 -0.0081553161144256592   0.050254769623279572 -0.0081553161144256592    0.24475415050983429,   -0.7339289143817318   -0.22194425864130451   -0.14579717490503796    0.70974785545763197     0.3724393292872108   -0.10686249449998186 -1.690702022827395e-05,0.013588366098701954
IIWA_7,1715863932.8024518, -1.0288409743215094   1.5469746237768174   1.0894862456360681 -0.87807768733232272  -2.8196682815548777  -1.7834726364167546 -0.32322527158429643,   0.035927262670661056   0.0057982286438620322    0.031262060182210838   -0.073286827395847881  0.00077287490635535253   0.0011170698967088452 -0.00012696588770310955, -23.920923862457276   63.255015075683595  -20.994300441741942   6.6670791816711423  -1.9553126716613769   1.2278724250793458 -0.14851949691772462,  45.599749336632165   5.6306781279676477   6.6519513361186391  -28.726029090837564  -4.9463161563137765  0.96978568908475304 -0.33922069117552367, 0.57599204778671265 -0.19342243671417236  0.22571881115436554, -0.68752771615982056  0.011270429007709026 0.0034069754183292389   0.72606265544891357,0.00045703808427788317   0.037987001240253448  0.0020761454943567514,-0.0029899172950536013     1.6169778108596802 -0.0030851985793560743,   0.13976925611495972   0.022914770990610123   0.050270307809114456   0.022914770990610123    0.25039410591125488 -0.0080872708931565285   0.050270307809114456 -0.0080872708931565285    0.24477460980415344,   -0.72906819606499695     -0.2199331930490267    -0.14460569539309631     0.70429840405550337     0.37248963660774237    -0.10493015492762936 -1.6698298743733631e-05,0.0257156603038311
IIWA_7,1715863932.8074796, -1.0290256512094047   1.5470798453140968   1.0907695764175824 -0.88083040382977407  -2.8196578313959813  -1.7834652061137966 -0.32322706916434291,   0.015774151967073078   0.0076833988978898997    0.066858370044743334    -0.14739033485757161     0.00090497662106031   0.0010615113440891485 -0.00015172321868584698, -19.177066581726073   64.329070606231696  -21.261054039001465   5.2664027023315425  -2.0547950363159178   1.1400957336425781 -0.12649188613891602, 45.219677887841804  5.6524852734533662  6.4005433794412907 -28.379114855682367 -5.0048758704138212  1.1827141284281084      -0.33976058831,  0.5759350061416626 -0.19290629029273987   0.2258513867855072, -0.68731802701950073  0.010855777189135551 0.0037508073728531599   0.72626578807830811,-0.0019578051287680864    0.05102350190281868  0.0069787227548658848,-0.0030058675911277533     1.6170930862426758 -0.0030965439509600401,    0.1397697776556015   0.022772444412112236   0.050276391208171844   0.022772444412112236    0.25044894218444824 -0.0080132568255066872   0.050276391208171844 -0.0080132568255066872    0.24481101334095001,    -0.7242116470052018    -0.21778982006104286    -0.14330443747123667     0.69871564983392531     0.37242442680396337    -0.10295046954311715 -1.6447839090716343e-05,0.034830637276172638
IIWA_7,1715863932.8124506, -1.0290256512094047   1.5470798453140968   1.0907695764175824 -0.88083040382977407  -2.8196578313959813  -1.7834652061137966 -0.32322706916434291,   0.015774151967073078   0.0076833988978898997    0.066858370044743334    -0.14739033485757161     0.00090497662106031   0.0010615113440891485 -0.00015172321868584698, -19.177066581726073   64.329070606231696  -21.261054039001465   5.2664027023315425  -2.0547950363159178   1.1400957336425781 -0.12649188613891602,  44.986553575963974   5.6608582987449854   6.1439620822076613  -28.063420518832462  -5.0615780895490712   1.4368231345205831 -0.34688935482726746,  0.5757872462272644 -0.19242359697818756  0.22601447999477386, -0.68704038858413696  0.010431871749460697 0.0040875249542295933   0.72653287649154663,-0.0075257755815982819   0.060106039047241211   0.012136620469391346,-0.0030289953574538231     1.6172076463699341 -0.0031483725178986788,   0.13978837430477142   0.022622356191277504   0.050283040851354599   0.022622356191277504    0.25050568580627441 -0.0079325707629323006   0.050283040851354599 -0.0079325707629323006    0.24485756456851959,   -0.71910133495256545    -0.21550004814363533    -0.14181966948267899     0.69270418309663739     0.37213476451158911    -0.10096473003651241 -1.6147808867827962e-05,0.041750654578208923
