DesiredFlux,1.12,HitTime,1715864002.1262624,DesiredPos,0.57638305425643921 0.15608827769756317  0.2205517590045929
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715864001.6427119, -1.0098873234727233   1.5511381832837707   1.0868848898727528 -0.83678885667840264  -2.8197622378645004  -1.8015642619484975 -0.31610106927011378, 4.8757369206652997e-05  3.3530599768108246e-06  -0.0020143496135254309  0.00025728371390693104 -3.1395046643418385e-06 -6.3253598332075846e-05 -9.2517972602595573e-07, 0.48796265029907226    69.41302306747437  -17.043177852630613  -7.6548598289489744  -2.0635987854003908  0.87476314926147458 -0.14084320831298827, 0.10524863744572771 0.097184365422295804 -0.46191411000328442  -0.5974756716207642  -4.5600830885340473 -0.16011065824643897 -0.35363630461195406,0.58181148767471313 -0.1972060352563858 0.22590084373950958, -0.69010573625564575  0.010906809009611607 0.0035764046479016542   0.72361749410629272,-0.00018633149738889188 -0.00029486225685104728 -0.00079998350702226162,-0.0037743959110230207     1.6547276973724365 -0.0037233680486679077,   0.13711163401603699   0.026435853913426399   0.049262311309576035   0.026435853913426399    0.24931751191616058 -0.0093730073422193527   0.049262311309576035 -0.0093730073422193527    0.24393114447593689,   -0.84859983063978461     -0.2540275100209044    -0.17035202979265307     0.84645044283870874     0.40070934967495475    -0.11000977751951524 -1.9138417073349956e-05,0.00059069489361718297
IIWA_7,1715864001.6476126, -1.0098853460146808   1.5511381832837707   1.0868772799099649 -0.83678879679179263  -2.8197622378645004  -1.8015643818308005  -0.3161011292658068, 0.00011810421706226894    2.68244798144866e-06  -0.0019158782023373237   0.0002082224355257182  -2.511603731473471e-06 -5.5398170784602708e-05 -3.1399715018098874e-06, 0.54307688903808593   69.411678817749021  -17.038775978088378  -7.6733477020263674  -2.0653595352172851  0.87509690093994141 -0.13984195327758789, 0.10029419029612413 0.094118485718273748 -0.46043955401875269 -0.59317218462493582  -4.5586682999971329  -0.1594249118750676 -0.35384449660631578, 0.58181101083755493 -0.19720545411109924   0.2258976548910141, -0.69010734558105469  0.010908645577728748 0.0035795054864138365   0.72361594438552856,-0.00016657428932376206 -0.00021274098253343254   -0.000767465156968683,-0.0037723628338426352     1.6547276973724365 -0.0037192448507994413,   0.13711221516132355   0.026435807347297668    0.04926295205950737   0.026435807347297668    0.24931752681732178 -0.0093731237575411797    0.04926295205950737 -0.0093731237575411797    0.24393053352832794,   -0.84859819864924191    -0.25403029501092078    -0.17035448082758364     0.84645153144435881     0.40071532973762203    -0.11000486457213299 -1.9139434925818932e-05,0.00055070756934583187
IIWA_7,1715864001.6526289, -1.0098837880901572   1.5511381832837707   1.0868701492582227 -0.83678861702287965  -2.8197622378645004  -1.8015649211375395 -0.31610094949689382, 0.00015680035459420314  2.1459583851589279e-06  -0.0018179286315571424  0.00017376870493968996 -2.0092829851787769e-06 -6.5890806189469208e-05  4.6787793176674715e-06, 0.56055213546752924   69.415711566925054  -17.029972229003906  -7.6759888267517091  -2.0635987854003908  0.87810066604614256 -0.14217821502685546,  48.216554949880539   6.1348472130008052   7.0909186723949027  -30.147217376692623  -4.4335308384901593  0.61541106699199655 -0.35400832582609731, 0.58181065320968628 -0.19720488786697388  0.22589471936225891, -0.69010883569717407  0.010910304263234138 0.0035823604557663202   0.72361451387405396,-0.00014891917817294598 -0.00014703049964737147 -0.00073151261312887073,-0.0037706450093537569     1.6547276973724365 -0.0037155286408960819,   0.13711276650428772   0.026435749605298042   0.049263540655374527   0.026435749605298042    0.24931754171848297 -0.0093732262030243874   0.049263540655374527 -0.0093732262030243874    0.24392998218536377,   -0.84859620964827798    -0.25403270845103521    -0.17035665274622858     0.84645199785882141     0.40072080911457419    -0.11000024186280655 -1.9140376394943814e-05,0.0005149832577444613
IIWA_7,1715864001.657717, -1.0098827694723724   1.5511381832837707   1.0868626591777377 -0.83678861702287965  -2.8197622378645004  -1.8015654004485853 -0.31610106927011378, 0.00016618499506684524  1.7167667081271424e-06   -0.001753946124643751  0.00013901496395175196 -1.6074263881430216e-06 -7.1885086781271046e-05 -1.0479053439922819e-06, 0.55517513656616213   69.402269069671632  -17.017646980285644  -7.6689458274841309  -2.0609576606750486  0.87776691436767573 -0.14184446334838868,  48.215146143062896   6.1359759636460378   7.0899884166721421  -30.146451682069156  -4.4338122953580958  0.61572876010935707 -0.35418294002313244,  0.5818101167678833 -0.19720456004142761  0.22589200735092163, -0.69011014699935913  0.010911921039223671 0.0035851025022566319    0.7236132025718689, -0.0001390828110743314 -0.00010465514060342684 -0.00069383485242724419,-0.0037689129821956158     1.6547278165817261 -0.0037119339685887098,    0.1371132880449295   0.026435766369104385   0.049264091998338699   0.026435766369104385    0.24931754171848297 -0.0093733398243784904   0.049264091998338699 -0.0093733398243784904    0.24392944574356079,   -0.84859684090954346     -0.2540355501174929    -0.17035898516049031     0.84645505951552735     0.40072624413589608    -0.10999596894478714 -1.9141238816189343e-05,0.00048417062498629093
IIWA_7,1715864001.6626079,  -1.009855205705662    1.551151365864694   1.0868804557547049 -0.83682127409667995  -2.8197622378645004  -1.8015574908345813 -0.31610106927011378,  0.0012354986644705001  0.00052867665029889877 -0.00069129382102657696  -0.0011950709808502265 -1.2859411105144174e-06   0.0002588764907344604 -8.3832427519382554e-07,  0.2675056953430176   69.181812114715569  -17.416456813812257  -7.2613322448730466  -2.1049764060974119  0.85507180023193363 -0.14117695999145508,  48.214378468539486   6.1367669714026301   7.0896723365419057  -30.145956785549554  -4.4338991528521952  0.61598095810776488 -0.35436402348162177, 0.58180946111679077 -0.19720450043678284  0.22588914632797241, -0.69011151790618896  0.010913715697824955 0.0035876971669495106   0.72361183166503906,-0.00013752009544987231 -8.1654165114741772e-05  -0.0006697538192383945,-0.0037674063351005316     1.6547278165817261 -0.0037086568772792816,   0.13711388409137726    0.02643582783639431   0.049264669418334961    0.02643582783639431    0.24931751191616058 -0.0093734795227646828   0.049264669418334961 -0.0093734795227646828    0.24392889440059662,  -0.84859899392153437   -0.25403923306566156    -0.1703616740567071    0.84645979130826277     0.4007314979626031   -0.10999245276011038 -1.914216696263793e-05,0.00046606539399363101
IIWA_7,1715864001.6676292, -1.0094210173114833   1.5512813947483799   1.0871140881463708 -0.83736691583531553  -2.8197640594646405  -1.8015264517900809 -0.31610064984567787,   0.018355934698726289   0.0056240966676731575   0.0087922606098127399   -0.022781726330103492 -7.3892758490880282e-05   0.0014486629726041219  1.6106318016028609e-05, -8.0117283630371094   65.330536651611325  -18.926299781799315  0.26851434707641603   -2.164841899871826   1.2902839889526367 -0.10980430221557617, 48.177381531347336  6.1295806977643954  7.0751615799366974 -30.120747367454253 -4.4343852780501223  0.6228651904294259 -0.3558214361639398, 0.58181250095367432 -0.19717369973659515  0.22588777542114258,-0.69010072946548462 0.010896951891481876 0.003606029786169529  0.72362232208251953, 1.0562703209870961e-05   0.0011668035294860601 -0.00059054023586213589,-0.0037657932844012976     1.6547278165817261 -0.0037055539432913065,   0.13711327314376831   0.026427382603287697   0.049266055226325989   0.026427382603287697    0.24932113289833069 -0.0093699796125292778   0.049266055226325989 -0.0093699796125292778    0.24392957985401154,   -0.84830269884861309    -0.25393234482784521    -0.17028953073783271      0.8461227425202722     0.40071605258340526    -0.10990168575730763 -1.9129220873992381e-05,0.00088515796232968569
IIWA_7,1715864001.6726565, -1.0089568082724225    1.551340656748633     1.08738367333888 -0.83807170803978814  -2.8197531298637988  -1.8014797132907925 -0.31610328638367918,   0.033253109321410942   0.0068697573442617144    0.017817216188217869   -0.046417069242987399  0.00037806982687539896   0.0030284703496184589 -9.2576465639596043e-05,  -18.31405825805664   63.654257244110106  -18.965916652679443   5.2919335746765137  -1.4711064720153808   1.1137293510437012 -0.11247431564331055, 47.601373483083577   5.996144525989032  6.9339609017961186 -29.698203106413079  -4.422909382583498 0.76353746127559763 -0.3777962383772886, 0.58183437585830688 -0.19668781757354736  0.22589059174060822, -0.68994903564453125  0.010594110004603863 0.0039373082108795643   0.72376972436904907, 0.00087330944370478392    0.020367398858070374 -0.00035650559584610164,-0.0037640139926224947     1.6547356843948364 -0.0037022656761109829,  0.13710574805736542  0.026300478726625443  0.049286864697933197  0.026300478726625443   0.24937732517719269 -0.009312603622674942  0.049286864697933197 -0.009312603622674942   0.24394138157367706,   -0.84383994210934787    -0.25219142197574484    -0.16918596897408378     0.84100633309525108     0.40067249257269566    -0.10823701785867001 -1.8929559253422212e-05,0.013799278996884823
IIWA_7,1715864001.6776302,-1.0087016042657007  1.5513583933299071   1.087827808691715 -0.8389709444309823 -2.8197399952139799 -1.8014879823335392 -0.3161012490390267,  0.036810647726002926  0.0062052691263745864   0.032019187063976343  -0.073103111042156249 0.00082784185425596399  0.0020920145698245362  7.432613587663486e-06, -24.629343467712403   63.642158996582033  -20.424697875976562   6.2885179710388179  -2.0222211647033692   1.1821484451293944 -0.15419327545166014,   47.04695270749221   5.9277801395171226   6.7656369982978539  -29.287155543815004  -4.4396600058578555  0.92726063922221225 -0.38963332591019317, 0.58184880018234253 -0.19612948596477509  0.22593599557876587,  -0.6897883415222168  0.010227254591882229 0.0043130661360919476   0.72392600774765015, 0.001249594846740365  0.038623400032520294 0.0015392519999295473,-0.0037670517340302467     1.6548560857772827  -0.003702227957546711,   0.13709849119186401    0.02615240216255188   0.049306601285934448    0.02615240216255188    0.24944210052490234 -0.0092435218393802643   0.049306601285934448 -0.0092435218393802643    0.24396203458309174,   -0.83864295277269463    -0.25011454929657617    -0.16793081905053242     0.83502649841271648      0.4006558194999954    -0.10626651989831259 -1.8706727722417327e-05,0.026172248646616936
IIWA_7,1715864001.6825917,  -1.008740792688811   1.5513893725968808    1.088412698849154 -0.84017745618171624  -2.8197391323231979  -1.8014936149473677  -0.3161007697279809,  0.027880981256388427  0.0062033859800479678   0.049010955948741511   -0.10674295886308263 0.00069678911468231417  0.0014483071027210012 2.5118532702046922e-05, -24.532557487487793   65.257947166442875  -19.846291561126709   5.6775377845764163   -1.233405246734619  0.76062007522583008 -0.14351322174072265,  46.664480289100034   5.9536502098832109   6.5099106543596719  -28.946175493337222  -4.5011852603468485   1.1386220018888449 -0.38998865833143648,  0.5817992091178894 -0.19561183452606201  0.22606556117534637, -0.68957251310348511 0.0098114125430583954 0.0046556699089705944   0.72413522005081177,-0.0010245154844596982   0.051593273878097534   0.006429778877645731,-0.0037921448238193989     1.6549947261810303 -0.0037138930056244135,   0.13709568977355957   0.026005920022726059   0.049316465854644775   0.026005920022726059    0.24950635433197021 -0.0091682514175772667   0.049316465854644775 -0.0091682514175772667    0.24399897456169128,   -0.83350598503972861    -0.24790809988051166    -0.16655708080115517     0.82894604746908129     0.40051407883190393    -0.10426906575400352 -1.8440011295695058e-05,0.035189006477594376
IIWA_7,1715864001.687593, -1.0089572876925514   1.5514699664475839   1.0891729181291807 -0.84172390058395652  -2.8197254224128576  -1.8014820501775777 -0.31610166857254568,   0.013644984855493317   0.0081864628121638451    0.069617535960060206    -0.14725214318007718   0.0011058277053591127   0.0016212364737779594 -1.5858956429498479e-05,  -19.93656767654419   64.775361515045162  -20.650073852539062   5.1713222122192386  -2.1040960311889649   1.1153981094360352 -0.13383442306518556,  46.446077519725179   5.9705965461412864   6.2459503390671731  -28.646059516471929  -4.5628119704548435   1.3914709749932244 -0.39594055002284956, 0.58165585994720459 -0.19513946771621704  0.22622811794281006, -0.68928700685501099 0.0093902461230754852 0.0049822703003883362   0.72441035509109497,-0.0066054807975888252   0.060149844735860825   0.011676833033561707,-0.0038255562540143728     1.6551326513290405 -0.0037685066927224398,   0.13711322844028473   0.025852292776107788   0.049327179789543152   0.025852292776107788    0.24957263469696045 -0.0090860193595290184   0.049327179789543152 -0.0090860193595290184    0.24404704570770264,   -0.82813176277785061    -0.24555848535090519    -0.16497920429792146     0.82241185989762045     0.40011898304825877    -0.10229655100335577 -1.8121199651943698e-05,0.041698675602674484
