DesiredFlux,1.163,HitTime,1715860116.898325,DesiredPos,0.50593024492263794 -0.2823256254196167 0.17896366119384766
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715860116.3562651, 0.62471679171547445     1.08809787319527  -0.1003613521819184  -1.5636269440150321  -1.0467368135956026   1.7085494194672437 -0.46867337508461099,-4.7218780989884276e-05 -1.6092600449957708e-06    -1.1283668250243e-05  0.00032082098262800553 -3.4292407774058937e-06  7.8698590618713897e-06 -0.00074277940419610914,-0.90019950866699228   65.519092239379887   4.4118275985717776  -11.943658809661866   1.5776318359374999  -2.1340082321166993  0.27100636291503905,  -2.5336809863813343    3.1330930200146008   -1.6742128948009194    2.0377293979253763    0.3074189673551172  -0.47001160820916299 -0.038773483901094842,  0.4890894889831543 0.064065247774124146   0.1953374445438385, 0.52201974391937256 -0.49574273824691772  0.50346946716308594  0.47775831818580627,9.2179747298359871e-05  2.960355777759105e-05 2.4224982553278096e-05,  0.03416074812412262   -1.2692160606384277 -0.033208303153514862,  0.26298141479492188 -0.012178323231637478   0.05533142015337944 -0.012178323231637478   0.23494380712509155  0.029105110093951225   0.05533142015337944  0.029105110093951225    0.1679312139749527,  0.44079227280491295  -0.62080462780311763   0.96214176321129941   0.53514896731687855 0.0018413680766826701   0.10842646463515848                     0,9.1385052655823529e-05
IIWA_14,1715860116.3612645, 0.62471679171547445   1.0880979930775732 -0.10036129229530844  -1.5636248467837697  -1.0467368135956026   1.7085491198160279 -0.46867463346700167,-3.7775024791907422e-05   3.507884091827197e-06 -6.6314702016863819e-06  0.00034054603659969767 -2.7433926219247153e-06 -5.6901613841194078e-06 -0.00064455881898403374,-0.85904753112792975   65.542240226745605   4.4252700958251951  -11.949035808563233   1.5793925857543945  -2.1416845207214354  0.27234136962890626,  -46.041854655255747    10.200186167986924   -33.109768321150952   -19.386412469893294    2.0542454565957451    2.9312382282046707 -0.039222053362179703, 0.48909026384353638 0.064065687358379364  0.19533766806125641, 0.52201980352401733 -0.49574324488639832  0.50346934795379639  0.47775784134864807,0.00010503946396056563 4.1205108573194593e-05 2.8351632863632403e-05, 0.034159630537033081   -1.2692160606384277 -0.033209118992090225,  0.26298117637634277 -0.012178454548120499  0.055331580340862274 -0.012178454548120499   0.23494371771812439  0.029105186462402344  0.055331580340862274  0.029105186462402344   0.16793149709701538,   0.44079732459678667   -0.62080638394323984     0.9621466838121151    0.53515158337091862  0.0018403213664086593    0.10842831625978988 8.8817841970012523e-13,0.00010652877972461283
IIWA_14,1715860116.3662953, 0.62471679171547445     1.08809787319527  -0.1003612322996154  -1.5636231090903332  -1.0467367177770268   1.7085494194672437 -0.46867535254265347, -3.022001983352594e-05  -1.988984854362056e-06 -2.9053484398048719e-06  0.00034194456673882059   1.638028932079451e-06  7.4339195263209933e-06 -0.00054441008125924765,-0.85647553253173836   65.539668228149424   4.4333355941772465  -11.951724308013915   1.5820337104797364  -2.1360107421875001  0.27134011459350588,  -46.042247305690211    10.200547286615663   -33.109960265642414   -19.386936658684807     2.054335409799497    2.9314575913600196 -0.039511688149344755, 0.48909091949462891 0.064066149294376373   0.1953376978635788, 0.52202010154724121 -0.49574357271194458  0.50346922874450684  0.47775730490684509,0.00011067099694628268 5.1296687161084265e-05 2.3737347873975523e-05, 0.034157250076532364   -1.2692162990570068 -0.033208519220352173,  0.26298102736473083 -0.012178533710539341  0.055331703275442123 -0.012178533710539341   0.23494365811347961  0.029105231165885925  0.055331703275442123  0.029105231165885925   0.16793172061443329,  0.44080042113225915  -0.62080765717720254   0.96214963967877765   0.53515346170840417 0.0018399388475032197   0.10843081900890894                     0,0.00011378959607100114
IIWA_14,1715860116.3713019, 0.62471073967721014   1.0881011689223132 -0.10037585314092552  -1.5636398869404327  -1.0467334580255827   1.7085655981239944 -0.46867661081596107,-0.00026625754643941173  0.00013023789384743791 -0.00058715793115686964  -0.0003975583505872894  0.00013170048090993715  0.00065309340565076492 -0.00048585899731150826,-0.69186762237548827   65.447076278686524   4.6390058021545411  -11.668087615966797   1.5521009635925294  -2.1810672187805178  0.27501138305664063,  -46.042441381684505    10.200894758654332    -33.10994765621404   -19.387315981897437    2.0543955738889474    2.9314821476311739 -0.039814933920894906, 0.4890914261341095 0.06406654417514801 0.19533790647983551, 0.52202010154724121 -0.49574396014213562  0.50346922874450684  0.47775691747665405,0.00010867370292544365 5.6904922530520707e-05 2.7702923034667037e-05, 0.034155212342739105   -1.2692161798477173 -0.033208135515451431,   0.2629808783531189 -0.012178629636764526  0.055331815034151077 -0.012178629636764526   0.23494359850883484  0.029105296358466148  0.055331815034151077  0.029105296358466148      0.16793192923069,  0.44080412040869987  -0.62080938971309507    0.9621534367925122   0.53515569669126961 0.0018393171101749317   0.10843215469780176                     0,0.00011515456571942195
IIWA_14,1715860116.3762302, 0.62457747517125717    1.088149585119345  -0.1007429898031503  -1.5640312917514079  -1.0466787142027976   1.7089607779730587 -0.46868116481631183, -0.0055435862752702498   0.0020408381963489645   -0.015155192833916658   -0.015974239119478453   0.0022951132961336121    0.016329668687089856 -0.00057084721187980339, 6.6023203964233401  61.427042472839361  10.579245338439941 -4.3352053642272947 0.95696752548217767 -3.8625081748962402 0.30471528244018553,  -46.02495718195572   10.194220386811619  -33.093838634948341   -19.37388788873994   2.0509328764843122   2.9228251361917454 -0.03796753572445434, 0.48908546566963196 0.064054422080516815  0.19534128904342651, 0.52200841903686523 -0.49573910236358643  0.50346922874450684  0.47777470946311951,-0.00015220351633615792 -0.00043928128434345126  0.00015714923210907727, 0.034152880311012268   -1.2692162990570068 -0.033207844942808151,  0.26298141479492188 -0.012178246863186359  0.055331669747829437 -0.012178246863186359   0.23494504392147064  0.029103880748152733  0.055331669747829437  0.029103880748152733   0.16792987287044525,  0.44078488583831898  -0.62076640155783736   0.96210253603778995    0.5351159520294857 0.0018250494102645121   0.10835588161572929                     0,0.00044935886398889124
IIWA_14,1715860116.3812785,   0.624511262288175   1.0881404172320337 -0.10115111257761505   -1.564312142062491  -1.0466756462630384   1.7094682499063685  -0.4686855990434427, -0.0070833843435031156   0.0012659550646266866   -0.028449065245723451   -0.024013403738909096   0.0019588082272719741    0.033362612282063879 -0.00063404685473853373, 10.858978073120118   60.71717086029053  13.680429454803466 -4.0045199317932125 0.65764005661010738 -2.6506558303833008 0.19724724197387694,   -45.626658608536282      10.06388054134236    -32.706783943345208    -19.080543074335839     1.9825012667818034     2.7161202889267071 -0.0014498279891523302, 0.48895472288131714 0.063769318163394928  0.19544370472431183, 0.52171421051025391 -0.49563387036323547  0.50349414348602295  0.47817876935005188,-0.0053533068858087063   -0.01175114419311285  0.0042254198342561722, 0.034150686115026474   -1.2692162990570068 -0.033207062631845474,  0.26298999786376953 -0.012169969268143177  0.055331911891698837 -0.012169969268143177    0.2349785715341568  0.029071174561977386  0.055331911891698837  0.029071174561977386    0.1678859144449234,    0.44035963018362878    -0.61977766748011476     0.96092988209139918      0.5342017300726809    0.001518671881584055     0.10654175924340592 -2.6645352591003757e-12,0.012440863065421581
IIWA_14,1715860116.3862567, 0.62446122817092653   1.0881427541188189  -0.1016914213536381  -1.5647322490311817  -1.0466710441788669   1.7103229049161466 -0.46868985339257752, -0.0076680721647411042   0.0011062395231090495    -0.04437160323750039   -0.036015001738753633   0.0017511299486785113    0.060876290216775292 -0.00067741144918336633, 13.852784439086914  61.429614471435549  14.009770637512206 -5.5181451225280762  1.1876257514953612 -3.3491980934143064 0.22795239639282228,  -45.367472634712129    10.027035907912873   -32.376728804024452   -18.904629927915913    1.9615913165831347    2.5225295268277659 0.0061089420466702918, 0.48886555433273315 0.063530996441841125  0.19561620056629181, 0.52137529850006104 -0.49554157257080078  0.50359123945236206  0.47854176163673401,-0.0078540844842791557  -0.018922360613942146   0.010285768657922745, 0.034149259328842163   -1.2692172527313232 -0.033207099884748459, 0.26298293471336365 -0.01216816995292902 0.055343698710203171 -0.01216816995292902  0.23500677943229675 0.029049305245280266 0.055343698710203171 0.029049305245280266  0.16786229610443115,  0.44018940028500708  -0.61910588938385303   0.96015292690143639   0.53360866638030302 0.0013225491857227212   0.10469782640587511                     0,0.020990908145904541
IIWA_14,1715860116.3912623, 0.62442401709677553   1.0881476077703855  -0.1024010672096774   -1.565378977731182  -1.0466626074317955   1.7114237159276384 -0.46869117166157814,  -0.007622900697832888   0.0010791376811536734   -0.063883116831572467   -0.054681149391013519   0.0017383738417990208    0.092733472633093922 -0.00059465991937179233, 13.595584579467774  61.673954338073735  13.462660999298096 -5.4657193832397457  0.8733319091796875 -3.2577501335144041 0.26066006088256838, -45.045941503514513   9.9603911529225044  -31.949190697253805  -18.648999095622418   1.9308810493274864   2.2366054002533815 0.024870550194199849, 0.48870882391929626 0.063220366835594177  0.19587256014347076, 0.52087807655334473 -0.49537166953086853  0.50374466180801392  0.47909730672836304,-0.012562139891088009 -0.027533086016774178  0.018494466319680214, 0.034174475818872452   -1.2692312002182007 -0.033226728439331055,  0.26297977566719055 -0.012166405096650124  0.055353343486785889 -0.012166405096650124   0.23504412174224854  0.029028458520770073  0.055353343486785889  0.029028458520770073   0.16782401502132416,  0.43998635647835016  -0.61842026400338312   0.95932601670423168   0.53300199089534317 0.0011102512917915419      0.10191668042836                     0,0.032475054264068604
IIWA_14,1715860116.3962648, 0.62437739847979024   1.0881425144632959 -0.10332906575427979  -1.5662345914721347  -1.0466605940199705   1.7128177209822648 -0.46869183085062005, -0.0079630652376780891  0.00065957786133721624   -0.088226435249353585   -0.077969469150921872   0.0014712355464408745     0.12994698029153076 -0.00050209549717372204, 13.392396690368653   60.87920677185059  12.985452346801758 -4.7183165359497075 0.78793554306030267 -3.1402695426940919 0.27234136962890626, -44.641744660903186    9.844393917123563   -31.42325793737448  -18.300392208571242   1.8827460329835286   1.8789634142195777 0.061620479997782973, 0.48847272992134094 0.062807060778141022  0.19619721174240112, 0.52024328708648682 -0.49511426687240601  0.50393998622894287  0.47984716296195984,-0.019509416073560715 -0.038497745990753174  0.027807345613837242, 0.034760016947984695   -1.2692142724990845 -0.033745449036359787,  0.26298436522483826 -0.012158544734120369  0.055359251797199249 -0.012158544734120369   0.23509560525417328  0.028999008238315582  0.055359251797199249  0.028999008238315582   0.16776266694068909,    0.43951000149089481     -0.6174875400750679     0.95805937345705416     0.53213363537363279  0.00089373998957142931    0.098236756625347255 -8.8817841970012523e-13,0.0470091812312603
IIWA_14,1715860116.4012628,   0.624315320281706   1.0881447914634714 -0.10447763388284455  -1.5672394687159614  -1.0466661546389673   1.7144798130824037 -0.46869266969949175, -0.0088535801135119375  0.00061874229609062254    -0.11652387334207322    -0.10257066507380536  0.00095456367728014718     0.17044126823878064 -0.00043523035260690412, 13.852784439086914  61.414182479858404  13.390071514129639 -4.4158603477478025 0.85660478591918943 -3.2767739791870119 0.25865755081176756, -44.13677217577731  9.7071793073399437 -30.764703980514025 -17.859477844107861  1.8199255354602912  1.4273950681341334 0.10697849025670803, 0.48816853761672974 0.062268510460853577  0.19661812484264374, 0.51942813396453857 -0.49477946758270264  0.50419270992279053  0.48080912232398987,-0.027802446857094765 -0.052228823304176331   0.03912932425737381, 0.035303380340337753   -1.2691974639892578 -0.034450728446245193,  0.26299011707305908 -0.012146896682679653  0.055367432534694672 -0.012146896682679653   0.23516327142715454  0.028958790004253387  0.055367432534694672  0.028958790004253387   0.16768243908882141,   0.43883688861789949   -0.61623300631197253    0.95633318435339731    0.53095771986466644 0.00062964986202729278   0.093509870135122242 8.8817841970012523e-13,0.064948849380016327
