DesiredFlux,1.182,HitTime,1715860046.1083205,DesiredPos, 0.51110422611236572 -0.29665762186050415  0.17906579375267029
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715860045.5739319, 0.56888324665009027   1.0997877655301334 -0.10554261197579584  -1.5492583376884175  -1.0641040648740812   1.6848518130678058 -0.48091520096098023,   0.001847686117202967  5.5560219390908493e-07  7.1888817557122419e-07 -5.7338157043725338e-06 -1.5178316342875886e-05 -7.1219302525103784e-06  1.0871518768560495e-06,-2.6234385681152346  65.838020065307617   4.325795616149902 -12.079428031921386  1.6295739555358886 -2.0378877487182616 0.11814809417724609,   2.3019534277892655     1.991713011094624   -0.4939774856355873    1.8518136607350406  -0.17776161887599562 -0.069295517799528028  -0.10184780230123958, 0.50147902965545654 0.036765579134225845   0.1893388032913208, 0.51789730787277222 -0.50509297847747803  0.49253928661346436    0.483806312084198,-6.3104307628236711e-05  0.00096402259077876806  4.5263327592692804e-06, 0.010486820712685585   -1.2915642261505127 -0.011193285696208477,  0.26113247871398926 -0.012227888219058514  0.057423800230026245 -0.012227888219058514   0.23666040599346161  0.024888860061764717  0.057423800230026245  0.024888860061764717   0.16814486682415009,   0.43625458775498061   -0.48252494469469553    0.86596635896096785     0.4249394356703462  -0.049187771204550756   0.093643267265797192 3.5527136788005009e-12,0.00088407949078828096
IIWA_14,1715860045.5789478, 0.56889127614639712   1.0997877655301334 -0.10554243220688288  -1.5492585174573303  -1.0641039688809724   1.6848520527233288 -0.48091490130976428,   0.001799328746036352  4.4448175512726795e-07  7.7658670590172503e-06 -1.1777809078172517e-05 -8.3029287224944703e-06  3.8886767172804321e-06  1.2855770139542252e-05, -2.595146583557129  65.889460037231444  4.3325168647766112 -12.094214778900147   1.637497329711914 -2.0355514869689944 0.11380932235717774,   2.2854247666157694      2.03019303110834  -0.48831126335449626    1.8546911364016079  -0.17734909154084022 -0.093930878666393602  -0.10181958985654388, 0.50147861242294312 0.036770064383745193   0.1893388032913208, 0.51789945363998413 -0.50509065389633179  0.49254149198532104  0.48380419611930847,-6.5815889684017748e-05  0.00095057982252910733  3.4471920571377268e-06, 0.010487447492778301   -1.2915642261505127 -0.011193571612238884,  0.26113271713256836 -0.012227672152221203  0.057423565536737442 -0.012227672152221203    0.2366601824760437  0.024889387190341949  0.057423565536737442  0.024889387190341949   0.16814485192298889,    0.4362476789303571   -0.48254267101111026    0.86597465405624519    0.42495329705882767  -0.049174836746601613   0.093651078677758903 8.8817841970012523e-13,0.00087196851382032037
IIWA_14,1715860045.5839589,   0.568899245647011   1.0997878854124363 -0.10554237232027293  -1.5492587571128533  -1.0641040648740812   1.6848523523745449 -0.48091508107867725,  0.0017582430213842915  5.1508775230438441e-06  8.6081580451667073e-06 -1.9008468181826747e-05 -1.0482067329801816e-05  1.5096990016322649e-05  3.0938595925184207e-06,-2.5668545989990235  65.884316040039067  4.3432708625793461  -12.11975552368164  1.6383777046203614 -2.0392227554321289 0.11614558410644531, -45.800092291741144   9.5805981924765202  -35.203786064022125  -18.558076054404719  0.43133757998518946   2.6391520338578571 -0.10173055240644738, 0.50147831439971924 0.036774195730686188  0.18933871388435364,  0.5179017186164856 -0.50508838891983032  0.49254345893859863  0.48380210995674133,-6.6126318415626884e-05  0.00092572893481701612 -7.1353520070260856e-07, 0.010487847030162811   -1.2915641069412231 -0.011193719692528248,  0.26113292574882507 -0.012227439321577549  0.057423342019319534 -0.012227439321577549   0.23665998876094818  0.024889839813113213  0.057423342019319534  0.024889839813113213   0.16814480721950531,    0.4362400565680602   -0.48255846230826904    0.86598074249533141    0.42496535902003529   -0.04916244463792907   0.093659279476909774 2.6645352591003757e-12,0.00084929791046306491
IIWA_14,1715860045.5889642, 0.56889876622688207   1.0997913009126994 -0.10555789189706473  -1.5492765536898205  -1.0641027225413535   1.6848650556444222 -0.48091520096098023,  0.0013874176119502606  0.00014074071254082754 -0.00061389654523588189 -0.00072706985323388535  4.5307655241698809e-05  0.00052020838710687778 -2.3202044449272926e-06,-2.3713827056884766  65.748000114440927  4.5919570617675785  -11.83477458190918  1.6339758300781251 -2.0766029434204101  0.1178143424987793, -45.799642714053746   9.5805567305696133  -35.203301740091106  -18.558019791761584  0.43166323031972481   2.6393119641990141 -0.10172338633923855, 0.50147789716720581 0.036778248846530914  0.18933869898319244, 0.51790368556976318 -0.50508630275726318  0.49254542589187622  0.48380020260810852,-6.9581175921484828e-05  0.00090268062194809318 -1.1117200529042748e-06, 0.010488552041351795    -1.291563868522644 -0.011193986050784588,  0.26113316416740417 -0.012227249331772327  0.057423118501901627 -0.012227249331772327   0.23665978014469147  0.024890320375561714  0.057423118501901627  0.024890320375561714   0.16814479231834412,   0.43623400216930008   -0.48257453503630643     0.8659884562058906     0.4249778669045412  -0.049150944330556001   0.093666479807019698 8.8817841970012523e-13,0.00082849868340417743
IIWA_14,1715860045.5939348, 0.56874656653479116   1.0998462485681246 -0.10593455609350999  -1.5496758681147997  -1.0640973535595084   1.6851231958403616 -0.48091621957876496, -0.0049780535940759565   0.0023104987870423217   -0.015557685093999169   -0.016554232881755206  0.00025100539799779141    0.010741774547261248 -4.2600874945204109e-05, 6.1908006210327153  61.496486434936529  11.008061000823975 -4.5758260650634766  1.1805827522277832 -3.2280462341308596 0.13650443649291993, -45.799262871355936   9.5804265257711165  -35.202818319893105  -18.557893318998637  0.43202492581050822   2.6394627276982918 -0.10162313829922079, 0.50147747993469238 0.036782205104827881  0.18933868408203125, 0.51790571212768555 -0.50508403778076172  0.49254730343818665  0.48379847407341003,-7.1946982643567026e-05  0.00088038865942507982 -1.4180913012751262e-06, 0.010489002801477909    -1.291563868522644 -0.011194023303687572,  0.26113340258598328 -0.012227042578160763   0.05742289125919342 -0.012227042578160763   0.23665960133075714  0.024890787899494171   0.05742289125919342  0.024890787899494171   0.16814474761486053,    0.43622734148662801    -0.48259028401531623     0.86599553667721096     0.42499007252239096   -0.049139197099812293    0.093673201851274257 -1.7763568394002505e-12,0.0008083350257948041
IIWA_14,1715860045.5989339, 0.56868994107253945   1.0998338449494629 -0.10633033502684001  -1.5499748745406758  -1.0641107760141209   1.6854203446904983 -0.48091639934767788, -0.0062474613653293138   0.0013522542831647727   -0.028277305408400288   -0.025203643340448272 -0.00033609386609952514    0.020479373643275102 -4.1271456473058224e-05, 10.282850387573243  60.290219093322754  13.377973266601563 -4.3029433708190918 0.72983079910278315 -2.7741439514160158 0.07075535583496094,  -45.779308213580201    9.5736666663579619   -35.185030375973362   -18.544458197166872   0.42921328515290902    2.6313512210898837 -0.099733625922900138, 0.50147110223770142 0.036772482097148895  0.18934154510498047, 0.51789635419845581 -0.50507736206054688  0.49254885315895081   0.4838138222694397,-0.00031311195925809443  0.00031548904371447861  0.00011293387797195464, 0.010489695705473423   -1.2915637493133545 -0.011194261722266674, 0.26113426685333252 -0.01222623698413372 0.057422466576099396 -0.01222623698413372  0.23666080832481384 0.024889452382922173 0.057422466576099396 0.024889452382922173   0.1681426465511322,    0.43619408586170749    -0.48255901351357267     0.86593852927130399     0.42495887008708877   -0.049140896056343308    0.093607967544429016 -1.7763568394002505e-12,0.00041967956349253654
IIWA_14,1715860045.6039321, 0.56864691772473008   1.0998321671426363 -0.10687579710564574  -1.5504252417006883  -1.0641103923907513   1.6859427970029441 -0.48091520096098023, -0.0067189030046381631   0.0010146911534684882   -0.044440327478949132   -0.038177601072856809 -0.00025353015809900564    0.037281591412454226  1.4918302727710631e-05,  13.217500785827637     61.2058505935669    14.28130908203125  -5.0960507087707523    1.418283977508545  -2.9967563209533692 0.075094127655029291,  -45.358238903948426    9.4386886939574737   -34.794480360801074   -18.260169215385467   0.36957382779928633    2.4501796223024495 -0.062032112444435461, 0.50134670734405518 0.036475718021392822  0.18941834568977356, 0.51764827966690063 -0.50496959686279297  0.49256280064582825  0.48417755961418152,-0.0052287443540990353  -0.011614908464252949  0.0031655323691666126, 0.010490397922694683   -1.2915643453598022 -0.011194509454071522,  0.26114627718925476 -0.012210488319396973  0.057420007884502411 -0.012210488319396973   0.23669238388538361  0.024848880246281624  0.057420007884502411  0.024848880246281624   0.16809850931167603,  0.43551572443867315  -0.48153059470124049   0.86444596258328232   0.42399626534361801 -0.049353763276194229  0.092034554178610506                     0,0.012010643258690834
IIWA_14,1715860045.6089525, 0.56861551903332053   1.0998358222984224 -0.10759197431099524   -1.551074307287474  -1.0641109676512728   1.6866420764758914 -0.48091544061650315,  -0.006631070060092792  0.00095795915421647182   -0.064199350197139293   -0.056504704329712642 -0.00022583454733682103    0.057796452047852748  2.3484212651002165e-06,  14.933023849487306   61.164698616027835   13.817542926788331  -5.8179128112792968   1.0978275108337403  -3.0705154418945311 0.091781711578369146,  -45.115628483503897    9.3998183521190697   -34.500709405404763    -18.10653552440462   0.35049808178799879    2.3022162636344774 -0.050452679716087273, 0.50126278400421143 0.036245636641979218  0.18954700231552124, 0.51739239692687988 -0.50488197803497314  0.49263286590576172  0.48447099328041077,-0.0075425431132316589  -0.018487676978111267  0.0076838275417685509, 0.010503171943128109   -1.2915787696838379 -0.011203840374946594,  0.26114383339881897 -0.012199771590530872  0.057427685707807541 -0.012199771590530872    0.2367180734872818  0.024818528443574905  0.057427685707807541  0.024818528443574905   0.16807430982589722,  0.43503910315578764  -0.48079627282771042    0.8633119497574171   0.42331855196930945 -0.049451765950614401  0.090598785102535828                     0,0.019577821716666222
IIWA_14,1715860045.6139355, 0.56859688360748162   1.0998348036806378 -0.10850804854798184  -1.5519347746799934  -1.0641198840148225   1.6875847556393306  -0.4809146616542414, -0.0060502730816305843  0.00072562261199057658   -0.088002449637175434   -0.079622459164547604 -0.00053732217985808927    0.083944328175852762  3.3037227482053718e-05,  14.328604179382324   61.084966659545898   13.496267242431641  -4.8890362510681156  0.88829828262329102  -2.8212029380798338 0.098790496826171872,   -44.80082511683554    9.3278930512596396   -34.110229064050259     -17.8763247860376   0.31665238086818004    2.0811056499786602 -0.025953960659766628, 0.50111526250839233 0.035936135798692703  0.18973580002784729, 0.51701325178146362 -0.50472980737686157  0.49273788928985596  0.48492735624313354,-0.011944147758185863 -0.027151264250278473  0.013711103238165379,0.010765580460429192  -1.2915866374969482 -0.01142208743840456,  0.26114603877067566 -0.012185465544462204  0.057433359324932098 -0.012185465544462204   0.23675341904163361  0.024781744927167892  0.057433359324932098  0.024781744927167892   0.16803503036499023,  0.43439926111776828  -0.47990782520024311   0.86187754837308006   0.42248760733976098 -0.049566551523660962  0.088412092312140089                     0,0.029902748763561249
IIWA_14,1715860045.6189358,0.56856578456728801  1.0998348036806378 -0.1096276747542254 -1.5529445654619967 -1.0641211303544413  1.6887719728842669 -0.4809150211920673, -0.0060841800730486719  0.00058049808959246131    -0.11518700795948285     -0.1040895986117681 -0.00047971132864020545     0.11464415233813467  1.2048268949632656e-05,  12.978304916381836   61.077250663757326    13.61590546798706  -4.1308794059753415   1.0978275108337403  -3.1993435897827149 0.094117973327636717,-44.410535087894345  9.2159523263651497  -33.62782545570105 -17.568524640187182 0.26961532358077678  1.7989619974396618 0.01437881492045906,  0.5008995532989502 0.035530824214220047  0.18997971713542938, 0.51652199029922485 -0.50450146198272705  0.49287539720535278  0.48554831743240356,-0.018199346959590912 -0.037894926965236664  0.020750364288687706, 0.010995685122907162   -1.2915984392166138 -0.011710486374795437,  0.26115524768829346 -0.012163753621280193  0.057435978204011917 -0.012163753621280193   0.23680068552494049   0.02473379485309124  0.057435978204011917   0.02473379485309124   0.16797630488872528,    0.43345197292143922    -0.47876367958643584     0.85994057225402543     0.42139078994285484   -0.049667982626289131    0.085488352856266658 -3.5527136788005009e-12,0.042898785322904587
