DesiredFlux,1.17,HitTime,1715860107.4333346,DesiredPos,0.48913231492042542 -0.2972838282585144  0.1789778470993042
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715860106.8926289, 0.59678342110159588   1.0916405299664143 -0.10251222090291838  -1.5680040023408157   -1.027312014954965   1.6993739373555123 -0.46803581438100522,  0.0017821457991162215 -2.3295991251700391e-06   1.916194618316793e-06   1.871922794182133e-05 -3.0953700944557276e-06  0.00027395412888447235 -3.6569041088456174e-07,-2.2659307632446288  65.112716461181648  4.3647788581848141 -12.060608535766601    1.11719575881958 -2.5285027160644531 0.23095616149902343,  0.49105450107284337    3.0851873764763509  -0.99722047139799797  -0.24581045937113802 -0.082680281270484657   0.32853209598357536   0.21667607005605583,0.48599225282669067  0.0485122911632061 0.19006241858005524, 0.51612335443496704 -0.50736349821090698  0.48833104968070984  0.48757743835449219,-0.00011333560541970655   0.0008891819161362946  4.7166759031824768e-05, 0.0026779032777994871    -1.2782385349273682 -0.0094571085646748543,  0.26281765103340149 -0.013099972158670425  0.055719271302223206 -0.013099972158670425    0.2360808253288269  0.026420490816235542  0.055719271302223206  0.026420490816235542   0.16700027883052826,   0.46965978297563993   -0.53668549138663479    0.91289962433194205    0.46586383520708097  -0.066865587444731034   0.085327025098003162 8.8817841970012523e-13,0.00082158343866467476
IIWA_14,1715860106.8976533, 0.59679049175764498   1.0916405299664143 -0.10251222090291838  -1.5680040623365088  -1.0273118231432801   1.6993742368976452 -0.46803581438100522,   0.001708542881257051 -1.8636793001360313e-06  1.5329556946534344e-06  1.2575554630247497e-05  5.1961713236244485e-06  0.00023114498842259908 -2.9255232870764942e-07,-2.2865067520141604  65.094712471008307  4.3661231079101563 -12.063297035217285  1.1180761337280274 -2.5224951858520508 0.23095616149902343,-43.618704698463922  9.7150645479809832 -33.635717582715181 -19.170693138488673 -0.5027636883361577  2.6314356802528449 0.21661202855807635, 0.48599180579185486 0.048516202718019485  0.19006294012069702, 0.51612460613250732 -0.50736141204833984  0.48833328485488892  0.48757603764533997,-0.00010773376561701298   0.0008678699960000813  5.8811183407669887e-05, 0.0026784995570778847    -1.2782385349273682 -0.0094579281285405159,  0.26281780004501343 -0.013099843636155128  0.055719088762998581 -0.013099843636155128    0.2360805869102478  0.026421047747135162  0.055719088762998581  0.026421047747135162   0.16700035333633423,   0.46965609248417195   -0.53670390812410318    0.91291018049322048    0.46587899412120493  -0.066854492687618006    0.08533105883312686 3.5527136788005009e-12,0.00080226222053170204
IIWA_14,1715860106.9026542, 0.59679708310264823    1.091640649739634 -0.10251222090291838  -1.5680041821097288  -1.0273118231432801    1.699374476553168 -0.46803581438100522,   0.001630488105135578  3.2999853513560961e-06  1.2263645557227477e-06  5.2695149038512932e-06  4.1569370588995587e-06  0.00019450221164848621 -2.3404186296611956e-07,-2.2890787506103516  65.076708480834967  4.3620903587341306 -12.063297035217285  1.1198368835449219 -2.5244976959228516 0.22828614807128905,  -43.61777909901646   9.7148621328189257  -33.635069501324736  -19.170508465512427 -0.50252767030065426   2.6317100007458869  0.21663733018245182, 0.48599138855934143 0.048519622534513474   0.1900629848241806, 0.51612627506256104 -0.50735962390899658  0.48833495378494263  0.48757445812225342,-0.0001034939123201184 0.00083114684093743563 4.8584675823803991e-05, 0.0026788807008415461    -1.2782382965087891 -0.0094581823796033859,  0.26281797885894775 -0.013099667616188526  0.055718895047903061 -0.013099667616188526   0.23608040809631348  0.026421448215842247  0.055718895047903061  0.026421448215842247   0.16700035333633423,   0.46965049437908135   -0.53671839756308515    0.91291583090580275    0.46589044179246031  -0.066844527617071492   0.085336917561740222 4.4408920985006262e-12,0.00076790852472186089
IIWA_14,1715860106.9076524, 0.59679552517812462   1.0916436458154612 -0.10252714128636137  -1.5680191624888649  -1.0273125902154865    1.699386281087564  -0.4680356346120923,  0.0012420735031640744  0.00012248302136951412 -0.00059583424607491365 -0.00059499955351906525 -2.7357338609685893e-05  0.00062778314515783153  7.0035230265220402e-06,-2.1321868362426759  64.973828536987313  4.5731375656127931 -11.818643585205079  1.1312817573547362 -2.5578728637695312 0.22895365142822266, -43.616736078204511   9.7145941809273246  -33.634355596310762  -19.170245142794062 -0.50227772748004473   2.6319376461079371  0.21667037666158623,   0.485990971326828 0.048522789031267166  0.19006296992301941, 0.51612788438796997 -0.50735777616500854  0.48833656311035156  0.48757302761077881,-9.8798125691246241e-05  0.00079150591045618057  3.8470796425826848e-05, 0.0026794362347573042    -1.2782382965087891 -0.0094585400074720383,  0.26281818747520447 -0.013099486008286476  0.055718705058097839 -0.013099486008286476   0.23608024418354034  0.026421820744872093  0.055718705058097839  0.026421820744872093   0.16700032353401184,  0.46964463420984259  -0.53673180926860908     0.912920676570117   0.46590098007026626 -0.066834893966749576  0.085342304468660757                     0,0.00073093234095722437
IIWA_14,1715860106.9126282, 0.59660605452527282   1.0916972153152757 -0.10329694798721843  -1.5685707363834618  -1.0273402018478517   1.6999423490959016 -0.46803521507857332,-0.0056516289371207774  0.0017777525218230688  -0.028209183779203104  -0.019892554497946913 -0.0010214988769403177   0.020602389527086699 2.4139025438788812e-05, 10.174826446533205  60.238779121398927  13.256990791320801  -5.116214454650879 0.64971668243408198 -2.9867437705993654 0.23896620178222655, -43.598544797556706   9.7088745895463404  -33.617602697654029   -19.15820927298364 -0.50416282675036972   2.6244943251276309  0.21796429261159211, 0.48598635196685791 0.048513337969779968  0.19006627798080444, 0.51611846685409546 -0.50735199451446533  0.48833906650543213  0.48758652806282043,-0.0002648087393026799 0.00025516137247905135 0.00016317216795869172, 0.0026799845509231091    -1.2782382965087891 -0.0094595728442072868,  0.26281866431236267 -0.013098783791065216  0.055718570947647095 -0.013098783791065216   0.23608146607875824  0.026420557871460915  0.055718570947647095  0.026420557871460915   0.16699856519699097,  0.46961461379169123  -0.53669937419886793   0.91286767954112946   0.46587039097367722 -0.066835770550000007  0.085280853116209698                     0,0.00036823548725806177
IIWA_14,1715860106.9176295, 0.59656662644663949   1.0917022487357555   -0.103846484646246  -1.5689812560404048  -1.0273322443681931   1.7005227451395999 -0.46803311784731089, -0.0060984262950298258   0.0016235388366484451   -0.044548813384465355   -0.032334829876079677 -0.00049889991521073459    0.039697753369601588  0.00010320047084832428, 13.081184860229493  60.830338798522952   13.96675464630127 -5.5423416175842286  1.0300386428833008  -3.659253402709961 0.23763119506835936, -43.227136337136479   9.5988375118342049  -33.251326882328385  -18.907252504480716 -0.54773630740969725   2.4556481409347324  0.24335462665938074, 0.48589834570884705 0.048241857439279556  0.19015176594257355, 0.51586705446243286 -0.50726222991943359  0.48837485909461975  0.48791009187698364,-0.0037341327406466007  -0.010652177967131138  0.0035520377568900585, 0.0026803819928318262    -1.2782381772994995 -0.0094597581773996353,  0.26282158493995667 -0.013086640276014805  0.055722843855619431 -0.013086640276014805   0.23611263930797577  0.026383621618151665  0.055722843855619431  0.026383621618151665   0.16696310043334961,   0.46905532506613667    -0.5356970687264706    0.91153472730454155    0.46497302894366044  -0.067031416188356729   0.083790644080039556 2.6645352591003757e-12,0.010830939747393131
IIWA_14,1715860106.9226282, 0.59653714521757939   1.0917069225093261 -0.10456751550316222    -1.56960269797387   -1.027339914217591   1.7012791893815375 -0.46803341749852684, -0.0060579901984279443   0.0014857820121430383   -0.064480284984220926   -0.050725541239469298 -0.00070591390808129903    0.062015972373187643  7.0574328040602012e-05, 14.516360076904297  61.298442543029786  13.411579509735107 -5.2009021873474124 0.78353366851806638  -3.480362503051758 0.26433132934570314, -43.009442781150497   9.5686400313657387  -32.968541956827551  -18.767663731614416 -0.56143549825923544   2.3144910034487767  0.24787194996435746,  0.4858405590057373 0.048028640449047089  0.19028329849243164, 0.51560360193252563 -0.50719082355499268  0.48845914006233215  0.48817837238311768,-0.0053022247739136219  -0.017043596133589745  0.0081073679029941559, 0.0026807654649019241    -1.2782386541366577 -0.0094598419964313507,  0.26281231641769409 -0.013079208321869373  0.055736199021339417 -0.013079208321869373   0.23613864183425903  0.026355337351560593  0.055736199021339417  0.026355337351560593   0.16694475710391998,    0.46868604276362191    -0.53496785332463048     0.91050451668461818      0.4643395226811009   -0.067137640246350827    0.082391822995298014 -1.7763568394002505e-12,0.017943317070603371
IIWA_14,1715860106.9276531, 0.59651797048500166   1.0917101582406763 -0.10549563382098454  -1.5704104347154468  -1.0273463377273699   1.7023046795092456 -0.46803359726743982, -0.0056133814618516114   0.0013180548637221486   -0.088708960700269374   -0.072889902654649785 -0.00082167151762401662    0.090632383006871264   4.926870591336623e-05, 14.097124305725098  60.719742858886725  13.127942817687988  -4.320418617248535 0.46219682693481445 -3.0394765357971192 0.27567888641357424, -42.702762431044683   9.4960904555275079  -32.574082270890663  -18.528268079429701 -0.59505707975469646   2.0817022094601092  0.26820692821098313, 0.48570647835731506 0.047727447003126144  0.19048666954040527,0.51519620418548584 -0.5070456862449646 0.48857980966567993 0.48863819241523743,-0.0096143651753664017  -0.025663107633590698   0.014631312340497971,  0.002685928950086236    -1.2782528400421143 -0.0094669703394174576,   0.2628081738948822 -0.013069430366158485   0.05574692040681839 -0.013069430366158485   0.23617565631866455   0.02632196806371212   0.05574692040681839   0.02632196806371212   0.16690893471240997,   0.46818921990610107   -0.53409148135230566    0.90921974872149036    0.46356527207436216  -0.067288353783112598    0.08011322589496217 3.5527136788005009e-12,0.028433740139007568
IIWA_14,1715860106.9326541, 0.59648902856268038   1.0917106376608052 -0.10663952806689553  -1.5713710902247664  -1.0273509396370089   1.7035795013743242 -0.46803359726743982, -0.0056483820623324677   0.0010736206961348917    -0.11672293839665519   -0.096738142496502366 -0.00084141359965572194      0.1234987810086433  3.9414964730692988e-05, 13.063180870056152  61.054102676391608  13.657577209472656  -4.254550380706787 0.78089254379272455 -3.3725607109069826 0.26766884613037112, -42.320911249477312   9.3820498358572593  -32.087118524928414  -18.207927199150987 -0.63821406212663301   1.7874843860738046  0.30436169537556201, 0.48550701141357422 0.047326821833848953   0.1907498836517334, 0.51467543840408325 -0.50681871175765991  0.48873960971832275  0.48926228284835815,-0.015685234218835831 -0.036515101790428162  0.022256245836615562, 0.002790471538901329   -1.2782630920410156 -0.009641558863222599,  0.26281023025512695 -0.013051800429821014  0.055755287408828735 -0.013051800429821014   0.23622569441795349  0.026277391240000725  0.055755287408828735  0.026277391240000725   0.16685295104980469, 0.46735971258460296 -0.53293675528820472  0.90741396423155152  0.46250789363444511 -0.06740856440412557 0.077082911557724287                    0,0.041688695549964905
IIWA_14,1715860106.9376571, 0.59644978025296003   1.0917132741988065 -0.10797097550330891  -1.5724964688180583  -1.0273510356301176    1.705009459120711 -0.46803269842287504,-0.0060886380386800621 0.00096435807695811188   -0.14663624817385923   -0.12240565772887671 -0.0006769706040763838    0.15599733466238536 6.7485754375690409e-05, 13.397540687561037  61.069534667968753  14.255768337249755 -4.8984459991455074 0.82755241394042967 -3.1616296501159669 0.24196996688842773, -41.859641474686008   9.2459043512530066  -31.484659811352728   -17.81240044168884 -0.69041134994728426   1.4109937072596392  0.34913767352226155, 0.48524093627929688 0.046819344162940979  0.19110023975372314, 0.51399224996566772 -0.50651520490646362  0.48895323276519775  0.49008065462112427,-0.023215992376208305 -0.049434326589107513  0.031861267983913422, 0.0028805169276893139    -1.2782782316207886 -0.0098930615931749344,  0.26281356811523438 -0.013029851019382477  0.055765140801668167 -0.013029851019382477    0.2362896054983139  0.026222985237836838  0.055765140801668167  0.026222985237836838   0.16678036749362946,  0.46632158913251232  -0.53152856810712024   0.90517722022287472   0.46121697808221285 -0.067548235578307469  0.073107590337961881                     0,0.057868640869855881
