DesiredFlux,0.665,HitTime,1715860535.8662486,DesiredPos, 0.53695619106292725 -0.30170494318008423   0.1750771701335907
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715860535.1860902, 0.57153901087117498   1.2287129185959602 -0.13012699104299011  -1.3520332294032629  -1.0675052836314856   1.7667789106418637 -0.55812009447743871,5.2671399729429676e-05 1.1333478093374248e-05  0.0017308552094319274 4.8891772031517861e-05 5.6315318301786221e-06 0.00010217333105369346 5.2471522488443791e-06,-0.90277150726318367   68.816394439697262   5.5248663711547854  -13.680429454803466   1.3011941146850585  -2.4637548904418947 0.061744060516357419, -1.6136154455902594  -1.9394347325561176 -0.38198079347224079  0.32488315823521552 -0.33909021159810515  0.36141167452180095   0.5525938959700939, 0.53807097673416138 0.054929975420236588  0.16934770345687866,0.49720823764801025 -0.4939386248588562 0.50241881608963013 0.50634366273880005,-0.00018889748025685549  0.00059121736558154225 -0.00036367800203152001,-0.00025467941304668784    -0.72648662328720093   0.0013063079677522182,  0.25354102253913879 -0.014963876456022263   0.06261424720287323 -0.014963876456022263   0.23587425053119659  0.028521079570055008   0.06261424720287323  0.028521079570055008   0.17369639873504639,  0.53766450105285912  -0.55708942040588738    0.9928179405314097    0.5892195902683639 -0.041877044346882997 -0.017599927580214114                     0,0.00065847754012793303
IIWA_14,1715860535.1910396, 0.57153925052669785   1.2287129185959602 -0.13011392823528664    -1.35203304963435  -1.0675054754431703   1.7667798693730385 -0.55811997459513563, 5.1723340698391583e-05  9.0667824746993984e-06   0.0019071964756842538  4.6304174139888784e-05 -3.1672419261643496e-06  0.00012008791183870504  8.9930139224584248e-06,-0.98507546234130861   68.824110435485849   5.5315876197814937  -13.658921459197998   1.3047156143188476  -2.4747686958312989 0.062745315551757816,  -27.738408551634237    4.4204555269167827   -15.833084657965456   -8.9932915865832257 -0.023368879358000749  -0.50408005779073806   0.55277161172111011, 0.53807008266448975 0.054932303726673126  0.16934612393379211, 0.49721097946166992 -0.49393841624259949  0.50241720676422119  0.50634282827377319,-0.00018545956118032336  0.00056605954887345433 -0.00035394640872254968,-0.00025456974981352687    -0.72648656368255615   0.0013070197310298681,  0.25354152917861938 -0.014964079484343529  0.062613822519779205 -0.014964079484343529   0.23587387800216675  0.028521621599793434  0.062613822519779205  0.028521621599793434   0.17369626462459564,   0.53767348634803369   -0.55710189975499702    0.99283865132271387    0.58923068765448505  -0.041878152764240895   -0.01759033486159467 2.6645352591003757e-12,0.00063424609834328294
IIWA_14,1715860535.1960416, 0.57153277906399758   1.2287159146717874 -0.13011386834867669  -1.3520436556729651  -1.0675049001826489   1.7667762741038624 -0.55812033413296158,-0.00021747983545228181  0.00012709645906818878   0.0015281526449453561 -0.00038719820529349716   2.047662731668503e-05  -4.774043757498471e-05 -7.1871019002640243e-06,-0.94649548339843759   68.705798500061036   5.5383088684082029  -13.513742488861084   1.3099978637695313  -2.4644223937988281 0.063079067230224606,   -27.73998944204353    4.4202025472415123   -15.835438692251563   -8.9935004796960509 -0.023388734026930758  -0.50340257595827809    0.5530689029731507, 0.53806871175765991 0.054936252534389496  0.16934369504451752,  0.4972153902053833 -0.49393799901008606   0.5024150013923645  0.50634109973907471,-0.00020336115267127752  0.00061073096003383398 -0.00038055246113799512,-0.00025450321845710278    -0.72648656368255615   0.0013074680464342237,  0.25354236364364624 -0.014964358881115913  0.062613122165203094 -0.014964358881115913   0.23587328195571899  0.028522498905658722  0.062613122165203094  0.028522498905658722   0.17369604110717773,  0.53768620810767942  -0.55712267082785871   0.99287124747782229   0.58924873132326638 -0.041878433370001744 -0.017574337120684902                     0,0.00068448629463091493
IIWA_14,1715860535.2010322, 0.57140191133144003    1.228772659907259   -0.130456796857844  -1.3522724944087572   -1.067499435382228   1.7667254011377422 -0.55812033413296158, -0.0054086931706637904   0.0023714865861190057   -0.012494618250736186  -0.0094633079959166935  0.00023497331868739963  -0.0020731109948665259 -5.7496815202112196e-06,  5.9258847656250007   64.714056678771982   10.798358043670655  -9.0656201477050775   1.3073567390441894  -2.5732254409790039 0.076762886047363282,  -27.741762821809594    4.4199136500493115   -15.838668590802335    -8.993780110571171 -0.023410372571919968  -0.50268690813885331   0.55338935812028867, 0.53806716203689575 0.054940748959779739  0.16934090852737427, 0.49722045660018921 -0.49393770098686218  0.50241214036941528  0.50633919239044189,-0.00022458714374806732   0.0006685120752081275 -0.00041580756078474224,-0.00025447431835345924    -0.72648650407791138   0.0013078766642138362,  0.25354331731796265 -0.014964759349822998   0.06261231005191803 -0.014964759349822998    0.2358725517988205  0.028523571789264679   0.06261231005191803  0.028523571789264679   0.17369581758975983,   0.53770392534779887   -0.55714732434264391    0.99291243345245306    0.58927066201874823  -0.041880035849928277  -0.017555925656331794 8.8817841970012523e-13,0.00074939359910786152
IIWA_14,1715860535.2061424, 0.57134276910440684   1.2287786520589135  -0.1308248923603266  -1.3524466252537302  -1.0675075846735713   1.7666687156797976 -0.55811961505730978,-0.0066926436178583147  0.0021368753350720629  -0.024719514699892791  -0.014535880195652356 -0.0001379929987819072 -0.0039259071136805383  2.416328085585166e-05,   9.981926551818848   64.644612716674814   12.196377758026124  -9.0535219001770013  0.83547578811645506  -2.5788992195129397 0.067751590728759761,  -27.728994797610632    4.4146139173662489   -15.830911971811046   -8.9866252066105456 -0.025244713578852107    -0.504093332362755   0.55492464100026495, 0.53806412220001221 0.054934941232204437  0.16933764517307281, 0.49722102284431458 -0.49393531680107117  0.50240838527679443  0.50634467601776123,-0.00030085915932431817   0.0003024716570507735  -0.0004629757022485137,-0.00025433473638258874    -0.72648626565933228   0.0013085692189633846,  0.25354450941085815 -0.014964140951633453  0.062611676752567291 -0.014964140951633453   0.23587317764759064  0.028522668406367302  0.062611676752567291  0.028522668406367302   0.17369423806667328,  0.53767882883892781  -0.55712109639483032   0.99287689980798177    0.5892410967902606 -0.041885659647356022 -0.017567948268570888                     0,0.00057628058129921556
IIWA_14,1715860535.211041, 0.57128470559993461   1.2287908760177451 -0.13137077375448511  -1.3527417367592145  -1.0675014487940531   1.7666550536787453 -0.55811913574626393,-0.0076766550731762057  0.0021984586213217743  -0.041610867526254612  -0.023433164375895311 0.00013504078170464335 -0.0036872057330340005 3.8503066518817907e-05,  12.343021263122559   64.603460739135741   12.856404373168946  -9.2793558540344243   1.3346483612060547  -2.4420610313415527 0.070421604156494136,  -27.407198659696959    4.3234486338329381   -15.557855565133858   -8.8289244655792505 -0.056813227985613557    -0.566506932353955    0.5750195326186468, 0.53803741931915283 0.054701130837202072  0.16935665905475616, 0.49708274006843567 -0.49388694763183594  0.50241857767105103  0.50651752948760986,-0.0013114531757310033 -0.0091099385172128677 0.00039165347698144615,-0.00025412088143639266    -0.72648602724075317   0.0013096345355734229,  0.25354459881782532 -0.014941699802875519  0.062619768083095551 -0.014941699802875519   0.23590520024299622  0.028478445485234261  0.062619768083095551  0.028478445485234261   0.17366746068000793,    0.53672671050986054    -0.55599321487509457     0.99114598301408563     0.58811130954339319   -0.041936684609389374   -0.018374863830494803 -3.5527136788005009e-12,0.0084323957562446594
IIWA_14,1715860535.2160358, 0.57122214787263847   1.2287978867871843 -0.13212398237415571   -1.353184074532003  -1.0675005859032709   1.7666256324453782 -0.55811907575057085,-0.0086436331503861978   0.002039197674625761  -0.063417038807827605  -0.036440042412254618 0.00014254825665013945 -0.0041266139211125156 3.3202280938263895e-05,  14.163996269226075    64.81436462402344   13.001583343505859  -9.0468006515502921   1.0670143890380859  -2.3098953666687012 0.071756610870361323,  -27.222677102794869    4.3044424694376788   -15.349183209304019   -8.7555938027926636 -0.062425056403566881  -0.61198479927204663   0.57801629105111807, 0.53803771734237671 0.054513264447450638  0.16941176354885101, 0.49694707989692688 -0.49385252594947815  0.50246822834014893  0.50663495063781738,-0.0010413099080324173  -0.014801967889070511  0.0025204815901815891,-0.00025388097856193781     -0.7264862060546875   0.0013108601560816169,  0.25353410840034485 -0.014921964146196842   0.06263367086648941 -0.014921964146196842   0.23593303561210632  0.028439326211810112   0.06263367086648941  0.028439326211810112   0.17365415394306183,    0.53589152872390855    -0.55504770120951008      0.9896011057994869     0.58716865870866997   -0.041897249789535351   -0.019045445790233373 -8.8817841970012523e-13,0.013776923529803753
IIWA_14,1715860535.2210648, 0.57117493006230424   1.2288071145611057 -0.13306893842868739  -1.3537633320756135  -1.0675061465222677   1.7665947730607074 -0.55811883609504798, -0.0088036189336782554   0.0020004690965577084    -0.08853187322752934   -0.052322335674225506 -0.00010838615455244105  -0.0045356665237193689  3.6148045665458956e-05, 14.400620140075684  65.027840507507321  13.500299991607665 -8.3934952850341791 0.85396366119384759 -2.3729744338989258 0.07309161758422851,  -26.965160106225589     4.260484007432165   -15.053844554118861   -8.6295593169258158 -0.078996318894950734  -0.69427251337345108   0.58988109431537883, 0.53801262378692627 0.054243490099906921  0.16950012743473053, 0.49673068523406982 -0.49378085136413574  0.50254309177398682  0.50684273242950439,-0.0018430182244628668  -0.022629907354712486  0.0055582881905138493,-0.00025331156211905181    -0.72649455070495605   0.0013122548116371036,   0.2535233199596405 -0.014893054030835629  0.062650904059410095 -0.014893054030835629    0.2359747588634491   0.02838457003235817  0.062650904059410095   0.02838457003235817   0.17362970113754272,   0.53466430053639158   -0.55373289206261944    0.98738823672217535    0.58583334339523674   -0.04182567077570809  -0.020167463071096847 2.6645352591003757e-12,0.021396100521087646
IIWA_14,1715860535.2260416, 0.57112567490731758   1.2288146646372837 -0.13418137420566198  -1.3544563198547734  -1.0675011611637923   1.7665388666741078   -0.558118656326135,-0.0090131013464090221  0.0019023783243674133    -0.1153229296610071  -0.069577379705777889 0.00011270541537298325 -0.0058647886829631419 3.6109193051482545e-05,  14.344036170959473   64.575168754577646   13.937181152343751  -8.0991045951843255   1.1453677558898925  -2.4657574005126954 0.079766651153564447, -26.632746186818196   4.1944514885216559  -14.671505887671277  -8.4580249462407497  -0.1009406633544192 -0.80195323528879303  0.60928188963078778, 0.53797054290771484 0.053875070065259933  0.16962245106697083, 0.49644175171852112 -0.49366852641105652  0.50264900922775269  0.50713008642196655,-0.003171777818351984 -0.032834913581609726 0.0093558672815561295,-0.00024613257846795022     -0.7265019416809082   0.0013022264465689659,  0.25351154804229736 -0.014851213432848454  0.062672622501850128 -0.014851213432848454   0.23603250086307526    0.0283090490847826  0.062672622501850128    0.0283090490847826   0.17359352111816406,   0.53290157164020968   -0.55193543935327938    0.98430649464731346    0.58397959592593196  -0.041686200872526058  -0.021699395153618184 8.8817841970012523e-13,0.031384944915771484
IIWA_14,1715860535.2310467, 0.57107468205889433    1.228817421057588 -0.13545050357030211  -1.3552621391340007   -1.067503749661606   1.7664501834404875   -0.558118656326135, -0.0092501950140571401   0.0016321594716630712    -0.14302351831441096   -0.087894674933714056 -1.3375580247582445e-05  -0.0082391602911790172  2.8887354441186036e-05,  15.154215728759766   65.094712471008307   13.766461437225342  -8.7994587020874029  0.99130214691162111  -2.2504875679016112 0.069754100799560542, -26.264761181821783   4.1109480028092493  -14.233017640361473  -8.2550727972154618 -0.12576721198834862  -0.9303578935215493  0.63567502195914782, 0.53790885210037231 0.053425166755914688  0.16977570950984955, 0.49608632922172546 -0.49350970983505249  0.50278961658477783  0.50749295949935913,-0.0050274194218218327  -0.044253237545490265   0.013644877821207047,-0.0002437480870867148    -0.7265128493309021  0.0012768362648785114,  0.25350025296211243 -0.014796935953199863  0.062697432935237885 -0.014796935953199863    0.2361045777797699   0.02821587398648262  0.062697432935237885   0.02821587398648262    0.1735454797744751,    0.5306298979563806   -0.54974181306910452    0.98045377633493302    0.58168772741584718  -0.041453985319961362  -0.023617741747194998 1.7763568394002505e-12,0.042635168880224228
