DesiredFlux,0.599,HitTime,1715860582.8662889,DesiredPos, 0.5625569224357605 -0.2588660717010498 0.17464900016784668
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715860582.1233065, 0.57983910520694393   1.3087723945334964 -0.12516564175311626  -1.1517043266237967  -1.0608738847181809   1.8566893596536231 -0.63299956900348819,5.8976131084210997e-06 0.00010425016910876962 0.00036018983467643069 0.00093398495370728969 2.5312092146298507e-07   0.000343109657824479 -0.0020566923994919124,-1.7901110229492188  73.088484107971198  5.2130004348754886 -16.090669212341307  1.6031627082824706 -2.3295867156982424 0.54468273925781252, 0.92775490766166679  -1.6070697604659672    2.539775916977371 -0.58437304065607953 -0.91631391229089165   0.4020937791158129 -0.49959735763886592, 0.56869369745254517 0.090830065310001373  0.16650901734828949, 0.48312142491340637 -0.50423526763916016  0.50438058376312256  0.50787866115570068,0.00019903937936760485 0.00033513823291286826 6.0109483456471935e-05,-0.0023300135508179665   -0.65301704406738281  0.0030839925166219473,  0.24064815044403076 -0.023207083344459534  0.068783454596996307 -0.023207083344459534   0.23009698092937469  0.036407910287380219  0.068783454596996307  0.036407910287380219   0.18482808768749237, 0.87663193751286173 -0.75589070717541063   1.3368062475676012  0.93639605256967684 -0.07587395491359672 -0.04812181786117975                    0,0.00036176459980197251
IIWA_14,1715860582.1283126,  0.5798391652026369   1.3087711362601888 -0.12516492267746443   -1.151703188123709  -1.0608740765298657   1.8566895394225362 -0.63301155319771396, 7.1179182055055566e-06  3.3069202985126027e-05  0.00031691489381427542  0.00079272796647625657 -7.4699706531368591e-06  0.00028167848278313947   -0.002124721688624211,-1.7643910369873048  72.751552291870127  5.1968694381713867 -15.961621238708496  1.6022823333740235 -2.3309217224121093 0.54701900100708012, -25.479804152139746   4.7944656554818623  -10.919998035132959  -8.4396253919187263  -1.1104711414885688  -1.2923469088437307 -0.49842006456475824,0.56869328022003174 0.09083026647567749 0.16650892794132233, 0.48312461376190186 -0.50423240661621094  0.50437742471694946  0.50788158178329468, 0.0001433591969544068 0.00027608865639194846 4.4422187784221023e-05,-0.0023286722134798765   -0.65301710367202759  0.0030850623734295368,  0.24064832925796509 -0.023207090795040131  0.068783357739448547 -0.023207090795040131   0.23009693622589111  0.036407969892024994  0.068783357739448547  0.036407969892024994    0.1848280131816864,  0.87663253084180326  -0.75589227586103647    1.3368088409198009     0.936396356663316 -0.075874214519267014 -0.048121050971516866                     0,0.00028824611217714846
IIWA_14,1715860582.1333113, 0.57983928497585679    1.308770477071147 -0.12516462313533155  -1.1517009111235337  -1.0608740765298657    1.856689659195756 -0.63302503542985333, 1.048526336031026e-05 8.7800716253539707e-08 0.00026551360036644156 0.00072526238019297298 -5.975976522509488e-06 0.00023013371501797651 -0.0022390666364742644,-1.7463870468139648  72.476348442077636  5.1955251884460445 -15.805688270568847   1.597880458831787 -2.3289192123413085 0.54935526275634761, -25.478887867505438   4.7938428892363998  -10.919726510644056   -8.438573468844627  -1.1107043139855306  -1.2924169389683859 -0.49762880938252418, 0.56869369745254517 0.090830862522125244  0.16650962829589844, 0.48312774300575256 -0.50423020124435425  0.50437450408935547  0.50788366794586182,0.00013173317711334676 0.00024472479708492756 6.3555249653290957e-05,-0.0023273865226656199   -0.65301716327667236    0.00308559974655509,  0.24064812064170837 -0.023207264021039009  0.068783409893512726 -0.023207264021039009   0.23009677231311798  0.036408063024282455  0.068783409893512726  0.036408063024282455   0.18482832610607147,   0.87664030942224969    -0.7558953448478789     1.3368158562219179     0.9364010369568021  -0.075875259653912508  -0.048118269661223678 8.8817841970012523e-13,0.00026151392376050353
IIWA_14,1715860582.13831, 0.57983173489967887   1.3087728140670154 -0.12517648744725432  -1.1517076223508398  -1.0608743641601264   1.8566819293506651 -0.63304055500664513,-0.00029361483642855737  9.3550075308180126e-05 -0.00026216159661747527  0.00031176081190994011 -1.6285991646815844e-05 -0.00012508683162153975   -0.002412036380851427, -1.581779136657715  72.239724571228038  5.3944741477966307 -15.608083560943603  1.5961197090148926 -2.3078928565979004 0.55502904129028319, -25.478250026933299   4.7931561434534711   -10.91960203126029  -8.4376434546326919  -1.1109961482936976  -1.2923421907362824 -0.49674099718910136,  0.5686943531036377 0.090831510722637177    0.166510209441185, 0.48313108086585999 -0.50422787666320801  0.50437134504318237  0.50788599252700806,  0.000131823486299254 0.00022171653108671308  7.437857857439667e-05,-0.0023264731280505657   -0.65301716327667236  0.0030858961399644613,  0.24064779281616211 -0.023207452148199081  0.068783514201641083 -0.023207452148199081   0.23009660840034485  0.036408144980669022  0.068783514201641083  0.036408144980669022   0.18482869863510132,   0.87664866887404713   -0.75589828017008642      1.336822359315093    0.93640668919370285  -0.075876432033439301  -0.048115387824232414 2.6645352591003757e-12,0.00024624381330795586
IIWA_14,1715860582.1433065, 0.57967480154740736   1.3088235672599158 -0.12547860983126075  -1.1518984111636092  -1.0608740765298657   1.8565581922698495 -0.63305901077265414, -0.0065122259600034656   0.0021049677762616172   -0.012294624637551011  -0.0073821438612504536 -1.5235828886444208e-06  -0.0050495526979207955   -0.002667859745041413, 6.3708405227661133  68.209402770996093  9.6409590301513663 -11.678841613769531   1.667430076599121 -2.0035113258361816 0.55736530303955079, -25.463523252559309   4.7874949397617295  -10.910493175991693  -8.4306914738061902  -1.1123912930246893   -1.293021378783328 -0.49476580121864655, 0.56869548559188843 0.090822070837020874  0.16650944948196411,0.48313155770301819 -0.5042232871055603 0.50436753034591675 0.50789386034011841, 0.00014972711505834013 -0.00020021927775815129  2.9147426175768487e-05,-0.002326267771422863  -0.65301710367202759 0.0030858675017952919,  0.24064753949642181 -0.023206327110528946  0.068784095346927643 -0.023206327110528946   0.23009820282459259  0.036406408995389938  0.068784095346927643  0.036406408995389938   0.18482773005962372,    0.87659405124007606    -0.75584303548303922      1.3367443759921827     0.93634596554981187   -0.075875840449768361   -0.048135474276733703 -1.7763568394002505e-12,0.00023088020680006593
IIWA_14,1715860582.1483076, 0.57959708378114527   1.3088201516505695 -0.12577719672361806  -1.1520409036616499  -1.0608868277308476   1.8563503858423749 -0.63307626804288253, -0.0083184914184862326   0.0015473498471594242   -0.021779175404333467   -0.011605415010626697 -0.00051126690559036932    -0.01235189925732239   -0.002824578605168649, 10.874410064697265  68.363722686767588  10.467672611236573 -11.971888053894043  1.3302464866638184 -1.9567860908508301 0.51898386001586916, -25.149085073962343   4.6984787255260576  -10.686343397854825  -8.3042154521899683  -1.1321027467153542  -1.3235697724726663 -0.47856792674809628,0.56870484352111816 0.09059964120388031 0.16650465130805969, 0.48303195834159851 -0.50418347120285034  0.50437420606613159  0.50802153348922729, 0.00049328309250995517  -0.0090574854984879494 -0.00016791328380350024,-0.0023263460025191307   -0.65301704406738281   0.003085496136918664,  0.24064382910728455 -0.023179469630122185    0.0687970370054245 -0.023179469630122185   0.23013798892498016  0.036366786807775497    0.0687970370054245  0.036366786807775497   0.18480142951011658,  0.87527716957414015  -0.75457904108944263       1.3349063208139   0.93492142778561771 -0.075834025637711022 -0.048748365427009333                     0,0.0083217248320579529
IIWA_14,1715860582.1532662, 0.57952505862440473   1.3088273421889216 -0.12617105830368169  -1.1523021597066363  -1.0608820340095242   1.8560733704559906 -0.63309688092676397, -0.0095357994044106085   0.0015255014118105551   -0.033177803526012031   -0.019734573807956998 -0.00021726467153436137   -0.020962134861227895  -0.0030841782393926571,  12.69281307220459  67.918766929626472  10.947569763183594   -12.0444775390625  1.6867983245849609 -1.7602063522338867 0.52999766540527349, -25.000033121331157   4.6817661540316751  -10.545083869913777  -8.2655911123558905  -1.1303132702291905  -1.3213031292639215 -0.47709722421667128, 0.56874251365661621 0.090437248349189758  0.16651995480060577,  0.4829765260219574 -0.50416022539138794   0.5044102668762207  0.50806140899658203, 0.0018987115472555161  -0.013742403127253056 0.00048005036660470068,-0.0023265788331627846   -0.65301746129989624  0.0030852549243718386,  0.24063257873058319 -0.023155082017183304  0.068810991942882538 -0.023155082017183304   0.23016899824142456  0.036331251263618469  0.068810991942882538  0.036331251263618469   0.18478976190090179, 0.87412109898110657 -0.75354997411380964   1.3332896298559049  0.93376488071417185 -0.07570551664848324 -0.04901881981389522                    0,0.012732451781630516
IIWA_14,1715860582.15832,  0.5794475207361387    1.308825424726572 -0.12668092711946993  -1.1527000359803117  -1.0608867319122719   1.8557095892983357 -0.63312180804639018,  -0.010730155054169795   0.0011437026354658255   -0.046936995452339189   -0.031702709993380776 -0.00036172784713580394   -0.031320954195178177  -0.0034644273765623559, 13.672744537353516  68.062798851013184  10.288887397766114  -11.50543339920044  1.3469736099243164 -1.9821512184143066 0.59240922927856443, -24.822347592340012   4.6261499388301317  -10.383519848786159  -8.1902568549443053  -1.1417621402602447   -1.322831487620389 -0.46220554071621006, 0.56876415014266968 0.090225644409656525  0.16652137041091919,0.48291662335395813 -0.5041014552116394 0.50444877147674561 0.50813841819763184,0.0023788749240338802  -0.01945960521697998 0.0004449620028026402,-0.0023273748811334372   -0.65302687883377075  0.0030860293190926313,  0.24062915146350861 -0.023118266835808754  0.068824514746665955 -0.023118266835808754   0.23021259903907776  0.036284271627664566  0.068824514746665955  0.036284271627664566   0.18476372957229614,  0.87240097448226805  -0.75220855626767502     1.331050229809172   0.93216228995540718 -0.075496909219374686 -0.049409102714115249                     0,0.017986368387937546
IIWA_14,1715860582.1633067, 0.57936536885182888   1.3088262036888338 -0.12733844162699834  -1.1532158370611445  -1.0608944975802457   1.8552185356772994 -0.63314278046809758,  -0.011870199415728731   0.0009461205988448544   -0.063850176663007602   -0.045994211228017536 -0.00060000899665985552   -0.044698908197594422  -0.0036104387695458534, 12.376457244873048  67.669283065795909  10.971766258239747 -10.614195831298828  1.3302464866638184 -1.6013405532836913 0.57672290039062502,-24.604466885743413  4.5473232288718677 -10.185583886452951 -8.0856145499916465 -1.1558582486981184 -1.3297791532012582 -0.4383956028529547, 0.56877881288528442 0.089950770139694214  0.16652216017246246, 0.48284652829170227 -0.50400447845458984   0.5045015811920166  0.50824880599975586, 0.0024817839730530977   -0.02656586654484272 0.00039719935739412904,-0.002333400072529912   -0.6530340313911438 0.0030911299400031567,  0.24063138663768768 -0.023067239671945572  0.068839110434055328 -0.023067239671945572   0.23027066886425018  0.036223411560058594  0.068839110434055328  0.036223411560058594   0.18472461402416229,   0.87003668780560872   -0.75048025341217794     1.3280954853991389    0.93002609839221151  -0.075173652085425147   -0.04992792049129946 1.7763568394002505e-12,0.024475211277604103
IIWA_14,1715860582.1683323, 0.57925355596954609    1.308822668415351 -0.12810932694133312  -1.1538313468386481  -1.0608891285984006   1.8545897234365694   -0.633166688969939,  -0.013968674823894637  0.00061548553976202612   -0.081915553903797261   -0.061415760082557051 -0.00026524792352345208   -0.060911616187278785  -0.0038446910892934302, 12.142405372619629  67.208895317077634  11.348156181335449 -10.891111274719238  1.5697084617614745 -1.7011323051452636 0.56137032318115232, -24.348190223622471   4.4506763607758648  -9.9468605385633833  -7.9623099093679244  -1.1718812183909335  -1.3324595466422084 -0.40990688255463059, 0.56879806518554688 0.089605346322059631  0.16651754081249237, 0.48276591300964355 -0.50387656688690186  0.50457608699798584  0.50837832689285278, 0.0027418290264904499  -0.035075802356004715 0.00014938449021428823,-0.0023504868149757385   -0.65304422378540039  0.0030889876652508974,  0.24063591659069061 -0.023000074550509453  0.068857014179229736 -0.023000074550509453    0.2303447425365448  0.036145199090242386  0.068857014179229736  0.036145199090242386   0.18467353284358978,  0.86694565853395744  -0.74828546753025194    1.3242783300126959   0.92729287429982321 -0.074726329636121136 -0.050539204931254744                     0,0.032269354909658432
