DesiredFlux,0.577,HitTime,1715860602.4862783,DesiredPos,  0.5465356707572937 -0.28632915019989014  0.17498943209648132
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715860601.7855406, 0.55579191906672554   1.1774328995881178 -0.11642482745569231  -1.3691002636518628    -1.06827984818715   1.7376965523659014 -0.59922718432359778,3.6927201316243109e-05 3.3029870464908774e-08    0.00129028335781457 4.6918892037091417e-09 3.0189379124654737e-06 1.6732922792093102e-07 0.00089897111440602169, -2.1450468292236331   69.575134025573732   4.7089067878723148  -13.957344898223877   1.2967922401428222  -2.2254561920166016 0.032707664489746095,    1.983794646911623    1.4437272988710572 -0.063196017108492208    1.0758170106828209  -0.56555733799749763   0.13523469782247133     1.232095895514524, 0.54385215044021606 0.052921116352081299  0.18379132449626923, 0.51637613773345947 -0.50153106451034546  0.48509982228279114   0.4964880645275116,-0.00016296304238494486  0.00054959027329459786 -0.00034070460242219269,0.00087441166397184134   -0.63006359338760376 -0.0028712970670312643, 0.25041085481643677 -0.01694117859005928 0.064168862998485565 -0.01694117859005928  0.23463436961174011 0.027952242642641068 0.064168862998485565 0.027952242642641068  0.17859411239624023,   0.61524841151872067   -0.53899231752918553     1.0322667849615996    0.56826368035522989  -0.078716087591246264   0.063344519318775383 2.6645352591003757e-12,0.00061067956266924739
IIWA_14,1715860601.7905409, 0.55579215872224841   1.1774328995881178  -0.1164205731065575  -1.3691003236475556    -1.06827984818715   1.7376965523659014 -0.59922436801668355, 3.9127981967842333e-05  2.6423896371927021e-08   0.0012024006516441954 -2.3960742029648172e-06  2.4151503299723793e-06  1.3386338233674483e-07  0.00083182916809413125, -2.1501908264160159   69.580278022766123   4.7183165359497075   -13.95196789932251   1.2941511154174805  -2.2247886886596682 0.032707664489746095,-24.014186499031791  3.9546411738745944 -17.519036959379129 -7.9295286626724195 -0.9745009319406327  1.5880367249623062   1.232160090477749, 0.54385161399841309 0.052922975271940231  0.18379020690917969, 0.51637744903564453 -0.50153177976608276  0.48509946465492249   0.4964863657951355, -0.0001524944236734882   0.0005140886059962213 -0.00031706472509540617,0.00087451707804575562   -0.63006347417831421 -0.0028703964781016111,  0.25041121244430542 -0.016941340640187263  0.064168564975261688 -0.016941340640187263   0.23463407158851624  0.027952635660767555  0.064168564975261688  0.027952635660767555   0.17859403789043427,  0.61525587428068462  -0.53900140408025266    1.0322826659479034   0.56827150586880038 -0.078716863732175568  0.063352791657145247                     0,0.00057048292364925146
IIWA_14,1715860601.7955134, 0.55579251826007436   1.1774328397015079 -0.11641601910620673  -1.3691002636518628    -1.06827984818715   1.7376965523659014 -0.59922197113420517, 4.5683898612504635e-05 -2.3743252786349188e-06   0.0011440805353459531  4.8296835195593083e-07  1.9321202639779034e-06  1.0709070586939587e-07  0.00076133863361065566, -2.1373308334350587   69.549414039611818   4.7196607856750488  -13.957344898223877   1.2985529899597168  -2.2257899436950686 0.033041416168212892, -24.012710908786318   3.9549070896199918  -17.517465287448761  -7.9292585407861926 -0.97440320302846883   1.5879231197926524   1.2321468260677446, 0.54385119676589966 0.052924379706382751  0.18378932774066925, 0.51637822389602661 -0.50153249502182007   0.4850994348526001  0.49648484587669373,-0.00013952884182799608  0.00046744820429012179 -0.00028874014969915152,0.00087458110647276044   -0.63006341457366943 -0.0028696246445178986,  0.25041154026985168 -0.016941454261541367  0.064168326556682587 -0.016941454261541367   0.23463384807109833   0.02795293927192688  0.064168326556682587   0.02795293927192688    0.1785939633846283,    0.61526115612586807    -0.53900838009823815       1.032294710650028     0.56827742493581468   -0.078717208881862177    0.063359062961509949 -7.1054273576010019e-12,0.00051912723574787378
IIWA_14,1715860601.8005123, 0.55578484841067644   1.1774340380882056 -0.11642728422478066  -1.3691112292283036  -1.0682807109033992   1.7377034433621206 -0.59921969413402976, -0.0002702468570271486  4.6036007683249278e-05   0.0004646596853197677 -0.00043823668295319242 -3.2962953753055422e-05  0.00027572552133269006  0.00070015091390493315,  -1.962434928894043   69.541698043823246   4.9683469848632811  -13.794690681457519   1.3055959892272948  -2.2451475410461428 0.035043926239013673,-24.011808634436946  3.9550627188454541 -17.516564135807855 -7.9290585316468647 -0.9743348483576989  1.5879263701095807  1.2322189714735299, 0.54385071992874146 0.052925974130630493  0.18378837406635284, 0.51637929677963257 -0.50153303146362305  0.48509922623634338  0.49648341536521912,  -0.000130937754875049  0.00043772542267106473 -0.00026929407613351941,0.00087467563571408391   -0.63006335496902466 -0.0028689184691756964,  0.25041186809539795 -0.016941577196121216  0.064168065786361694 -0.016941577196121216   0.23463359475135803   0.02795327827334404  0.064168065786361694   0.02795327827334404   0.17859387397766113,  0.61526689203006413  -0.53901624750807287    1.0323080267644613   0.56828409352149833 -0.078717438352526869  0.063366037341694437                     0,0.0004856758750975132
IIWA_14,1715860601.8055134, 0.55562156325984147   1.1774484790515196 -0.11681892869127886  -1.3693615198059321  -1.0682875180365479   1.7378545045541238 -0.59921759690276732, -0.0067476035190204642  0.00061446733870836327   -0.015294050911672095   -0.010362212451502031 -0.00029865568895091801   0.0062630280971963329  0.00064400998162123977,  7.3816359710693362   67.787595001220708   11.352188930511474  -9.5011570587158207   1.3311268615722656  -3.2066861267089846 0.069420349121093752, -24.011374149076488   3.9552153478469303  -17.516165697843253  -7.9289849055763311 -0.97426667563983471   1.5880283647777858   1.2323220234200198, 0.54385024309158325 0.052927765995264053  0.18378739058971405,  0.5163806676864624 -0.50153344869613647  0.48509889841079712  0.49648189544677734,-0.00012375111691653728   0.0004218309186398983 -0.00025470438413321972,0.00087475311011075974   -0.63006329536437988  -0.002868234645575285,   0.2504122257232666 -0.016941715031862259  0.064167790114879608 -0.016941715031862259   0.23463332653045654  0.027953650802373886  0.064167790114879608  0.027953650802373886   0.17859379947185516,   0.61527335144262452   -0.53902499477587185      1.032322712321232    0.56829158797278012  -0.078717603289923943   0.063373769252805801 2.6645352591003757e-12,0.00046527100494131446
IIWA_14,1715860601.8105135, 0.55555870609949554     1.17744003023986 -0.11722141896099819  -1.3695469157694791  -1.0682992145350629   1.7379737475211987 -0.59921106555345716,  -0.007912369229053591  0.00015362140458178523   -0.028334851518111097   -0.015705608503079289 -0.00070678449176345614   0.0097801411607524279  0.00077646195770371938,  12.147549369812012   66.972271446228035   13.092992324829101  -9.3761418342590339   1.0573302650451659  -2.7334262466430665 0.014685073852539062, -23.993221017117691   3.9518631463987437  -17.500396023707268  -7.9204886391758889 -0.97527757659852621   1.5824553524340854   1.2330782673524512, 0.54384756088256836 0.052917473018169403  0.18378953635692596, 0.51637202501296997 -0.50153189897537231   0.4850994348526001  0.49649196863174438,-0.00020541955018416047 -7.4253111961297691e-05 -0.00011797036131611094,0.00087481277296319604   -0.63006335496902466 -0.0028676979709416628,  0.25041237473487854 -0.016941100358963013  0.064168006181716919 -0.016941100358963013   0.23463457822799683  0.027952350676059723  0.064168006181716919  0.027952350676059723   0.17859259247779846,   0.61524446884941852   -0.53898757715487022     1.0322701487135433    0.56825436334850821  -0.078722559172739182   0.063325187912077752 8.8817841970012523e-13,0.0002273393765790388
IIWA_14,1715860601.8155148, 0.55552197444547347   1.1774421873577323 -0.11779756054647855  -1.3698127858105094  -1.0682937497346421   1.7381825726755413 -0.59920699086415219, -0.0077991615441257052  0.00020918183855845389   -0.045713544633703314   -0.023199288443675099 -0.00034683557657671333    0.016177119102306656  0.00078415713836165618,  13.235504776000978    67.56383112335206   13.540627483367921  -10.185380168914795   1.3716241073608397  -2.9950875625610354 0.033375167846679689, -23.593156567330322   3.8847981491490065  -17.136669938721024  -7.7361102822212287 -0.99867409526486373   1.4526140535316034   1.2455887108354036, 0.54380065202713013 0.052643641829490662  0.18387213349342346, 0.51613587141036987 -0.50149250030517578  0.48512846231460571  0.49674886465072632,-0.0020421876106411219  -0.011010965332388878   0.003210761584341526,0.00087488559074699879   -0.63006335496902466 -0.0028671168256551027,  0.25040465593338013 -0.016923844814300537  0.064181149005889893 -0.016923844814300537    0.2346699982881546  0.027912812307476997  0.064181149005889893  0.027912812307476997   0.17856912314891815,    0.61443266262450891     -0.5379227528408137      1.0306842533118754     0.56722549717136417   -0.078826608975290924    0.062035307357710678 -8.8817841970012523e-13,0.010668525472283363
IIWA_14,1715860601.8205142, 0.55548338521571183   1.1774428465467743 -0.11857461767229764  -1.3702097033530101  -1.0682967218558252   1.7384407128714805 -0.59920453409506391, -0.0077828984257658418  0.00019371303252749218   -0.067653120739726208   -0.034436132454968391 -0.00039635330858795424    0.023267303119412192  0.00072559647422040807,  13.721612510681153   67.661567070007322   13.153483562469482  -10.658556072235108   1.3055959892272948  -3.0017625961303711 0.063746570587158199,-23.377395873933089   3.873353864183116 -16.884491417915051 -7.6458184682837107 -1.0015792971316655  1.3654632393715769   1.246049567224617,  0.5437779426574707 0.052435196936130524   0.1839701235294342, 0.51592445373535156 -0.50145697593688965  0.48519587516784668  0.49693846702575684,-0.0025477302260696888  -0.017143301665782928  0.0064917225390672684,0.00087495590560138226   -0.63006347417831421 -0.0028665177524089813,  0.25039035081863403 -0.016907792538404465  0.064196906983852386 -0.016907792538404465   0.23469999432563782  0.027879387140274048  0.064196906983852386  0.027879387140274048   0.17855645716190338,    0.61369338553873831     -0.5370878824813019      1.0292911518616776     0.56642123877814754   -0.078807998760588305    0.060968709986397585 -1.7763568394002505e-12,0.016948185861110687
IIWA_14,1715860601.8255143, 0.55544042175451247   1.1774420075888195 -0.11957799687821059  -1.3707455779019022    -1.06829691366751     1.73882031314806 -0.59920213721258553, -0.0079448571885872114  0.00012141210782659021   -0.094257664828299059   -0.048983887919660546 -0.00032475511426067067    0.033797853558708214  0.00067635247851167708,  14.143420280456544   67.363215232849129   13.279843036651611  -10.223019161224364    1.156812629699707  -2.8048491058349607 0.053734020233154295,-23.117420138563865  3.8490524768036156 -16.559013690747868 -7.5194438034042665 -1.0111145568215847  1.2426927218911095  1.2520087938720472, 0.54373115301132202 0.052164278924465179  0.18410812318325043, 0.51562392711639404 -0.50138986110687256  0.48529696464538574   0.4972192645072937,-0.0039168940857052803  -0.024543575942516327   0.010721658356487751, 0.0008761434000916779   -0.63007158041000366 -0.0028682432603091002,  0.25037312507629395 -0.016885099932551384  0.064217023551464081 -0.016885099932551384   0.23474149405956268  0.027835732325911522  0.064217023551464081  0.027835732325911522   0.17853634059429169,    0.61265356227124812    -0.53602616814352189       1.027403792139836     0.56538507103276459   -0.078741542603566472    0.059420308560653723 -3.5527136788005009e-12,0.024787232279777527
IIWA_14,1715860601.830514, 0.55539584048217949   1.1774427266644714 -0.12079325720090332  -1.3713900296017272  -1.0682959549581521   1.7392867391916029 -0.59919836217449651, -0.0081391366441888689   0.0001258927123377337    -0.12401654477034843   -0.064965178328727086 -0.00022145571709249255    0.045695324588685249  0.00069208350636996497,  15.035903793334962   67.561259124755864    14.20603109741211  -9.4541083183288581   1.2835866165161132  -3.0831980056762696 0.029370147705078124,-22.778862473421523  3.8037865755117015 -16.142810649679134 -7.3453548821053234 -1.0244459765470268  1.0854358017677248  1.2647204409813353, 0.54366075992584229 0.051798209547996521  0.18428801000118256, 0.51523250341415405 -0.50128328800201416  0.48543265461921692  0.49759989976882935,-0.0059648742899298668  -0.034262362867593765   0.015789315104484558, 0.0009015085524879396   -0.63007789850234985 -0.0029278891161084175,   0.2503541111946106 -0.016851581633090973  0.064241982996463776 -0.016851581633090973   0.23479817807674408  0.027776019647717476  0.064241982996463776  0.027776019647717476   0.17850515246391296,    0.61114280155294409    -0.53458553550189691       1.024785103174608     0.56394986551389081   -0.078609004420471251    0.057356939877628577 -1.7763568394002505e-12,0.034974999725818634
