DesiredFlux,0.98,HitTime,1715860249.9633136,DesiredPos,0.50506079196929932 0.29756039381027222 0.17668452858924866
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715860249.4162025,-0.50555734388143081   1.1423003653140988 -0.01468325210250275  -1.4374276029780713  -1.9976347261994454  -1.8696460444663414   -1.077158433059773, 1.1301312410524116e-05  2.4966225334298767e-06  -0.0022833179385801095  0.00011124312574457657 -0.00031548830765835533 -1.5407591551581328e-07 -1.0290292432927762e-06,-0.072589485168457035    62.143320552825926   -1.0943060111999512   -12.776000671386718  -0.85044216156005858    1.9397647552490234 -0.097789241790771489,-0.00057254998199085527     -1.6293358242748481     0.06165769380889452      1.3386565409923996    -0.14351277140604546      1.4643070144793826      0.4583611535688169,  0.50134527683258057 -0.053574621677398682    0.1739114373922348,  -0.69758176803588867 -0.0031818731222301722  -0.001432146760635078    0.71649670600891113,-0.00025870019453577697 -0.00081569718895480037 -0.00044526462443172932, 0.0009744131239131093     1.0696301460266113 0.00072637398261576891,  0.26509812474250793  0.023558726534247398  0.052464183419942856  0.023558726534247398   0.23331570625305176 -0.026931356638669968  0.052464183419942856 -0.026931356638669968   0.16973443329334259,-0.86596165662644609 -0.47932254277860409   -1.139701624446765  0.63060404561987582   0.4816916028262952 0.049470818379582226 2.46586067120802e-05,0.00088381569366902113
IIWA_7,1715860249.4212041, -0.50555734388143081    1.1423002454317959 -0.014692539872117239   -1.4374273033268552   -1.9976364519810099   -1.8696460444663414    -1.077158433059773, 9.0410499284192925e-06 -2.7979940921981281e-06  -0.0021981651354436331  0.00010098054923815956  -0.0003214219087084156 -1.2326073241265062e-07 -8.2322339463422096e-07,-0.080654983520507817    62.146009052276611   -1.0978275108337403   -12.775120296478271  -0.85308328628540042    1.9397647552490234 -0.098790496826171872, 26.389486729847036   3.897411571270013  17.488895819514948 -8.1805970274268507 -1.0321703673356839  1.8020992082152005 0.45825813542461513,  0.50134426355361938 -0.053578022867441177   0.17390958964824677,  -0.69758492708206177 -0.0031793967355042696  -0.001431621378287673    0.71649360656738281,-0.00024673430016264319 -0.00078866089461371303 -0.00043035676935687661,0.00097603444010019302     1.0696302652359009 0.00072817294858396053,  0.26509866118431091  0.023558976128697395  0.052463512867689133  0.023558976128697395     0.233315110206604 -0.026932163164019585  0.052463512867689133 -0.026932163164019585   0.16973446309566498,  -0.86597524321874175   -0.47933914112174847    -1.1397349280661828    0.63061559413846169     0.4816908399867259   0.049455913004869956 2.4656274355550067e-05,0.00085363048128783703
IIWA_7,1715860249.4262302, -0.50555746376373389    1.1423002454317959 -0.014701468103905815   -1.4374265842512035   -1.9976378899577805   -1.8696460444663414    -1.077158433059773,  2.437547819352513e-06 -2.2383952737585025e-06  -0.0021156613798979564   0.0001095474654581074 -0.00031465659778858677 -9.8608585930120497e-08 -6.5857871570737681e-07,-0.069900985717773437     62.15138605117798   -1.0969471359252929   -12.772479171752929  -0.85308328628540042    1.9394310035705566 -0.099124248504638676, 26.388804988418734  3.8979346597374964  17.488622907096318 -8.1806449728484676 -1.0322051721777905  1.8019780528403515 0.45813693256129168, 0.50134313106536865 -0.05358123779296875  0.17390783131122589,  -0.69758796691894531 -0.0031770654022693634 -0.0014310036785900593    0.71649068593978882,-0.00024206736998166889 -0.00075957045191898942 -0.00041437070467509329,0.00097603403264656663     1.0696297883987427 0.00072817259933799505,   0.2650991678237915  0.023559212684631348  0.052462853491306305  0.023559212684631348   0.23331457376480103 -0.026932930573821068  0.052462853491306305 -0.026932930573821068   0.16973447799682617,  -0.86598800662596176   -0.47935494747974872    -1.1397664258971929     0.6306262312643085    0.48169032450751104   0.049442218190698384 2.4654148056413305e-05,0.00082318152999505401
IIWA_7,1715860249.4312191, -0.50552984011041324    1.1423121098528017 -0.014678338564326073   -1.4374547472112629   -1.9976421084185827   -1.8696426289660784    -1.077158433059773,   0.001106896171081561  0.00047278612401576819 -0.00076734752072867701  -0.0010388804300080574 -0.00042046371032006881  0.00013654112365364839 -5.2686297256590147e-07,-0.28498094177246092   61.988731834411624   -1.581153335571289  -12.420329208374023 -0.84956178665161131   1.9290847015380859 -0.09979175186157227, 26.388280314270038  3.8985375952514558   17.48839164005086 -8.1808769597003881 -1.0323664328892539  1.8017815924451934 0.45807470463574257,  0.50134223699569702 -0.053584452718496323   0.17390616238117218,  -0.69759088754653931 -0.0031748395413160324 -0.0014306345256045461     0.7164878249168396,-0.00023085261636879295 -0.00073613517452031374 -0.00039835783536545932, 0.0009774904465302825     1.0696296691894531 0.00072984141297638416,  0.26509964466094971  0.023559439927339554  0.052462242543697357  0.023559439927339554   0.23331402242183685 -0.026933677494525909  0.052462242543697357 -0.026933677494525909   0.16973450779914856,  -0.86600044415785504   -0.47937048388746462    -1.1397970710236294    0.63063712215338796    0.48168951817828543   0.049428355305636273 2.4651974683820299e-05,0.00079550466034561396
IIWA_7,1715860249.4362302, -0.50508618417770723    1.1424093617803843 -0.014192378250379344   -1.4377454844853093   -1.9976804580146379   -1.8696240534268493   -1.0771586128286861,  0.018631754245105679  0.0042683060025160832     0.0188245345412862  -0.012460595305861728 -0.0018703548104639861 0.00085225446808353666 -7.612246901608995e-06, -9.1812256240844725   58.185849361419677   -7.948024673461914  -7.5483344650268558 -0.44106782913208009   2.1824022254943847 -0.17355087280273437, 26.359258454328643    3.88208975573863  17.467382740006631 -8.1615124316667433 -1.0238917957084408  1.8088830834992886 0.45409393886338034,  0.50133562088012695 -0.053557232022285461   0.17390082776546478,    -0.697579026222229 -0.0031790584325790405  -0.001407748437486589     0.7164994478225708,  -0.000448256527306512  0.00049990712432190776 -0.00053194456268101931,0.00097822560928761959     1.0696293115615845 0.00073063047602772713,  0.26510009169578552   0.02355819009244442  0.052461754530668259   0.02355819009244442   0.23331813514232635 -0.026929907500743866  0.052461754530668259 -0.026929907500743866   0.16973033547401428,  -0.86592392009876562   -0.47926304210399451    -1.1396343245131391    0.63052742832336861    0.48172158371073692    0.04954151860481204 2.4670304021867651e-05,0.00078484253026545048
IIWA_7,1715860249.4412014, -0.50461879940298948    1.1423921045101562 -0.013667529164538148   -1.4379031969089258   -1.9977085489144157   -1.8695722216204713   -1.0771599310976867,   0.033600794384794526   0.0027243539928862299    0.036053591066676806   -0.016276973189349675  -0.0026199198394849473   0.0027550758295877133 -5.8820557546386442e-05,  -17.945733833312989    57.984211902618405   -12.862277412414551   -8.6901807212829585  -0.26235172271728513    1.9384297485351563 -0.072424114227294917,  25.931730387146064   3.7628262908906454    17.11205193577829  -7.9637335321332605 -0.94098558388041043   1.9312574232720663  0.42644105835124174, 0.50130230188369751 -0.05311477929353714  0.17390556633472443,  -0.69738370180130005 -0.0033623436465859413 -0.0011231785174459219    0.71668916940689087,  -0.001698417472653091    0.018096556887030602 -0.00023351324489340186,0.00097884563729166985     1.0696309804916382 0.00073135719867423177,  0.26507863402366638  0.023548061028122902  0.052480336278676987  0.023548061028122902   0.23338265717029572 -0.026863014325499535  0.052480336278676987 -0.026863014325499535   0.16969099640846252,  -0.86507195181617647   -0.47743369285591086    -1.1370415218516783    0.62885529218448255    0.48231880329918653   0.051424696988711105 2.4981605228902026e-05,0.016653977334499359
IIWA_7,1715860249.4462025, -0.50432356801520217    1.1423794012402786 -0.013094922852540788   -1.4382038211459354   -1.9977423924194084   -1.8695540056190683   -1.0771631668290367,   0.038689891019327988   0.0016713523992062827    0.051747125333235847   -0.025046548031863972  -0.0034496760712956448   0.0029327007197925579 -0.00017648570003594535,  -21.120851684570312    58.599878276824953   -13.854459934234619   -9.6471482467651359  -0.86188703536987299    2.1453557891845705 -0.081435409545898438,  25.582716346026384   3.8159526043682397   16.766171101261627  -7.9117471457611313 -0.92261562603712943   2.0391656185071443  0.43692692395059496, 0.50133424997329712 -0.05267755314707756  0.17397809028625488,   -0.69722902774810791  -0.0036364512052386999 -0.00091484544100239873     0.71683865785598755,-9.9882701761089265e-05    0.031964860856533051   0.0027193380519747734,0.00098251004237681627     1.0696556568145752  0.0007341982563957572,  0.26503279805183411  0.023546840995550156  0.052520360797643661  0.023546840995550156   0.23344272375106812 -0.026792606338858604  0.052520360797643661 -0.026792606338858604    0.1696794182062149,  -0.86458013865442496   -0.47554391994353296    -1.1345853949853435    0.62724413183801175    0.48294732182885269    0.05318552222366435 2.5281050142211825e-05,0.029390927404165268
IIWA_7,1715860249.4512026, -0.50418515020646659    1.1423766449290573 -0.012370116957535593    -1.438683250110572   -1.9977910963557841   -1.8695232061210074   -1.0771628671778208,   0.036488625164885602   0.0012268294705144811    0.070389936066796485   -0.039214397010955054  -0.0047078983120638161   0.0035781404982676702 -0.00012920251139513978, -18.851758148193358   57.945228660583496  -11.783818149566651  -9.1946355438232423 -0.34598733901977541   1.8693431510925294 -0.10646678543090821,   25.37270533328925   3.8169592419321412   16.501205067608058  -7.8159770624179465 -0.88729435583434713   2.1481122150979717  0.42560775819033636, 0.50131464004516602 -0.05228736624121666  0.17404915392398834,  -0.69702541828155518 -0.0038257031701505184 -0.0007170809549279511    0.71703583002090454,-0.00088833068730309606    0.041175659745931625   0.0050269872881472111,0.00099672086071223021     1.0696786642074585 0.00073695811443030834,  0.26500356197357178  0.023535219952464104  0.052548304200172424  0.023535219952464104   0.23350280523300171 -0.026727283373475075  0.052548304200172424 -0.026727283373475075   0.16965244710445404,  -0.86370747724551222   -0.47389600321157133    -1.1320436160389136    0.62575582350898884    0.48340150118697522   0.054875243348462277 2.5556355254252594e-05,0.038011576980352402
IIWA_7,1715860249.4562016, -0.50406752505052532    1.1423647805080515 -0.011350558985788968   -1.4392854574248493    -1.997825610939874   -1.8694969007366875   -1.0771642454425145,   0.033895906369559282  0.00050688673617681006     0.09709426772330218   -0.055459810179855733  -0.0051469020132459756   0.0039147277714106747 -0.00015849259686442064, -15.293529125213624   57.648149471282956  -10.615560646057128  -8.2464717674255361 -0.46835945129394529   1.9077245941162109 -0.11514432907104492,   25.37270533328925   3.8169592419321412   16.501205067608058  -7.8159770624179465 -0.88729435583434713   2.1481122150979717  0.42560775819033636, 0.50131464004516602 -0.05228736624121666  0.17404915392398834,  -0.69702541828155518 -0.0038257031701505184 -0.0007170809549279511    0.71703583002090454,-0.00088833068730309606    0.041175659745931625   0.0050269872881472111,0.00097288552206009626     1.0696786642074585  0.0007065678364597261,  0.26500356197357178  0.023535219952464104  0.052548304200172424  0.023535219952464104   0.23350280523300171 -0.026727283373475075  0.052548304200172424 -0.026727283373475075   0.16965244710445404,  -0.86370747724551222   -0.47389600321157133    -1.1320436160389136    0.62575582350898884    0.48340150118697522   0.054875243348462277 2.5556355254252594e-05,0.038011576980352402
IIWA_7,1715860249.461199, -0.50386948570371082    1.1423567511208277 -0.010019830734110483   -1.4399741308591814   -1.9978611800518979   -1.8694385375809994   -1.0771642454425145,   0.035038298968227619  8.4333899990505915e-05     0.13090454424578116   -0.071914785517168539    -0.00554028609155513   0.0054663084446517109 -0.00012679407749153652, -14.946712696075439    57.18976031494141  -10.832132873535157  -8.0131724166870111  -0.6100998115539551   2.0432277755737305 -0.11347557067871093,  25.051754605288561   3.7539484390330697   15.873122330129183  -7.5129110326746407 -0.78703536092154991   2.4207504756164142  0.35946535598789486,  0.50117290019989014 -0.051393106579780579   0.17424061894416809,   -0.69637030363082886  -0.0041107307188212872 -0.00029275962151587009     0.71767085790634155,-0.0057569765485823154   0.058962658047676086   0.010347614996135235,0.00097290653502568603     1.0697017908096313 0.00070658308686688542, 0.26496097445487976 0.023470645770430565 0.052602861076593399 0.023470645770430565  0.23366083204746246 -0.02656039223074913 0.052602861076593399 -0.02656039223074913  0.16955067217350006,  -0.86017158866891208   -0.47010649977430319    -1.1247620855776574    0.62217428537358899    0.48397949905787385   0.058921157569002958 2.6179267642589821e-05,0.055093623697757721
IIWA_7,1715860249.4662321,  -0.50362608612230153      1.142344227619863 -0.0084483992165509392     -1.440760295985702    -1.9978950235568904    -1.8693580635035161    -1.0771644251023444,   0.037766622430953578 -0.00043347291859562222     0.16758089609900667   -0.088978433474560137  -0.0057859690729429097   0.0075920098550553731  -0.0001086216551893084,  -16.441518390655517     57.24621880340576   -11.802306022644043   -8.4471972465515144  -0.37239858627319333    1.8843619766235351 -0.090112953186035155,  24.764931809393122   3.7571792009938001   15.368493557616764  -7.3456220285813174 -0.74192063561460664   2.6105061547555777  0.33060499742838917,  0.5011100172996521 -0.05073133111000061  0.17439953982830048,   -0.69589352607727051  -0.0043632397428154945 -2.0696770661743358e-05     0.71813172101974487,-0.0071875164285302162   0.073622472584247589   0.014691667631268501,0.00097234774148091674     1.0697282552719116 0.00068403535988181829,  0.26491865515708923  0.023424847051501274  0.052654344588518143  0.023424847051501274   0.23377567529678345 -0.026433050632476807  0.052654344588518143 -0.026433050632476807   0.16948720812797546,  -0.85764847412850287   -0.46724349853910496    -1.1193264271271985    0.61957659562228429    0.48440414820927202   0.061855375408370605 2.6632089422662375e-05,0.069086261093616486
