DesiredFlux,0.77,HitTime,1714663795.5146105,DesiredPos,  0.5050506591796875 -0.26628762483596802  0.19860367476940155
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714663794.9226983,  0.62688755435378718    1.1186271468366316 -0.096253459515125039   -1.4777777091664708   -1.0367420659044704    1.7815281359719257  -0.53389032857150454, 2.1945467539396901e-05 -1.7365727457974529e-05  5.4961293465441993e-06 -2.7765540973339737e-07 -5.6784574609377724e-06 -6.4971790884384986e-06  8.9482978079552962e-06, -1.1188193893432619   67.388935218811042   4.3446151123046874  -12.966632850646972   1.6912001991271972   -2.307225353240967 0.032040161132812502,-0.81306179995829198 -0.46180400173245723 -0.95023143381952213    1.584612595101941  0.10807052166497175  0.17351978859538791   1.0955981435315834, 0.50070565938949585 0.080895580351352692  0.20149020850658417, 0.51251763105392456 -0.49083787202835083  0.49812924861907959  0.49826812744140625, 7.1751187533664051e-06  7.6179890129424166e-06 -6.1813834690838121e-06,   0.001018855138681829    -0.84164738655090332 -0.00067691435106098652,  0.25869840383529663 -0.016714895144104958  0.057781275361776352 -0.016714895144104958   0.23262438178062439  0.033755656331777573  0.057781275361776352  0.033755656331777573   0.17374297976493835,  0.61737126172811685  -0.73587699613586466    1.1774416570764501   0.68371445482728888 -0.029433951165280803  0.041409014390758614                     0,1.1119567716377787e-05
IIWA_14,1714663794.9276588,  0.62688779400931005    1.1186269670677185 -0.096253459515125039   -1.4777776492798609   -1.0367420659044704    1.7815283157408388  -0.53389020879828464, 2.7142594946365365e-05 -2.1083338489935897e-05    4.39690347723536e-06  2.1733400679457425e-06 -4.5427659687502181e-06  1.9930132528054754e-06  1.1949567042270051e-05,-1.1033873977661133  67.409511207580564  4.3513363609313966 -12.967977100372314  1.6841571998596192 -2.3095616149902343 0.02970389938354492,-0.81305973520540675  -0.4617783844435307 -0.95010074698060776   1.5847528637778616  0.10803848325211281  0.17336781612548655   1.0955935464023958, 0.50070559978485107 0.080895602703094482  0.20149025321006775, 0.51251751184463501 -0.49083781242370605  0.49812936782836914  0.49826815724372864, 3.4945671814057278e-06  7.0815876824781299e-06 -2.9175573672546307e-06,  0.0010188729502260685    -0.84164738655090332 -0.00067690300056710839,  0.25869840383529663 -0.016714887693524361  0.057781271636486053 -0.016714887693524361   0.23262438178062439   0.03375566378235817  0.057781271636486053   0.03375566378235817   0.17374296486377716,    0.61737096636882427     -0.7358772739722852      1.1774415329393051     0.68371464646066471   -0.029433692628089148    0.041408572433176971 -2.6645352591003757e-12,7.7019476520945318e-06
IIWA_14,1714663794.9326611,  0.62688791389161314    1.1186269670677185 -0.096253339632822038   -1.4777777691621639   -1.0367418742673187    1.7815283756274487  -0.53389020879828464, 2.6509368080475214e-05 -1.6866670791948718e-05  8.3128149018405404e-06 -3.0566200645854353e-06  4.0312732931200562e-06  3.9898749979768411e-06  9.5596536338160408e-06,-1.0982434005737305  67.424943199157724  4.3647788581848141 -12.976042598724366  1.6841571998596192 -2.3139003868103027 0.02970389938354492,-30.590562392871561  4.7903161604061797 -20.953314142749313 -11.414553913425086 0.70819145920250159  1.0346447058715722  1.0955802300801749, 0.5007055401802063 0.08089582622051239 0.20149046182632446,0.51251751184463501 -0.4908376932144165 0.49812960624694824 0.49826809763908386,1.5708014871052001e-06 1.4427769201574847e-05 6.0345628298819065e-06, 0.0010188003070652485    -0.8416474461555481 -0.0006768243620172143,  0.25869840383529663 -0.016714891418814659  0.057781267911195755 -0.016714891418814659     0.232624351978302   0.03375571221113205  0.057781267911195755   0.03375571221113205   0.17374299466609955,    0.61737126095984252    -0.73587891294835117        1.17744290634203     0.68371605351469356   -0.029432926014649752    0.041408443108181814 -2.6645352591003757e-12,1.4379610547621269e-05
IIWA_14,1714663794.9376843,  0.62688114277769691    1.1186295437191098 -0.096268260016265025   -1.4777931688566526   -1.0367407237462756    1.7815320907789276  -0.53389026868489464,-0.00024963706218467232  8.9572719020907052e-05 -0.00059016508579801932  -0.0006184330756003007  4.9245860358610846e-05  0.00015179795915439047  5.2522585068794799e-06,-0.97735946655273442   67.383791221618651   4.6094323081970217  -12.727356399536133   1.6788749504089355  -2.3242466888427735  0.02870264434814453,-30.590668267643334  4.7904109052098462  -20.95331465979574 -11.414626895668659 0.70822013322843014  1.0346176994744776  1.0955463551325233,  0.5007055401802063 0.080895975232124329  0.20149058103561401, 0.51251745223999023 -0.49083772301673889  0.49812972545623779  0.49826797842979431,1.3003877938899677e-06 1.7473703337600455e-05 9.7348247436457314e-06,  0.0010188297601416707    -0.84164750576019287 -0.00067684502573683858,  0.25869840383529663 -0.016714904457330704  0.057781271636486053 -0.016714904457330704   0.23262433707714081  0.033755738288164139  0.057781271636486053  0.033755738288164139   0.17374302446842194,    0.61737182288634784    -0.73587984519019045      1.1774438589791103     0.68371690529911433    -0.02943269779720481    0.041408590665703571 -8.8817841970012523e-13,1.8338281734031625e-05
IIWA_14,1714663794.9426634,  0.62674194600669952    1.1186625602216529 -0.096654691293370606   -1.4781493999381294   -1.0367336291573992    1.7816061532803207  -0.53388990914706869,-0.0057675804896431433  0.0013923182769391075  -0.015929383152861659  -0.014743989719554857 0.00032318024334198356  0.0030839384230466954 1.8583319843734348e-05,  7.3507719879150395   64.184224967956553   11.075273487091064  -6.8045921096801756     1.45525972366333  -2.9433560523986815 0.069420349121093752,-30.590638633058209  4.7902952191741583 -20.953369460991702 -11.414530247118195 0.70814767634053832  1.0346192405081454  1.0955908399169685, 0.50070542097091675 0.080896049737930298  0.20149053633213043,0.51251751184463501 -0.4908376932144165 0.49812963604927063 0.49826803803443909,-3.1191893867799081e-06  1.6964555470622145e-05  6.0325828599161468e-06, 0.0010188781889155507   -0.84164750576019287 -0.0006769168539904058,  0.25869840383529663 -0.016714906319975853  0.057781253010034561 -0.016714906319975853   0.23262433707714081  0.033755749464035034  0.057781253010034561  0.033755749464035034   0.17374300956726074,    0.61737192115352002     -0.7358802764754202      1.1774442047540745     0.68371722374038768   -0.029432788298144885    0.041408656056951543 -8.8817841970012523e-13,1.6717822290956974e-05
IIWA_14,1714663794.94766,  0.62669131269610223    1.1186453029514245 -0.097068087143837953   -1.4784347443629533   -1.0367395732252327    1.7816106473940614  -0.53388769203350328,-0.0066393968156062055 0.00042356381241576732  -0.029279340540983179  -0.023208968768598424 2.0781481333724983e-05  0.0026469152880655594 0.00010355119849122274,  11.774609573364259   63.132277542114259   13.279843036651611  -6.4362676849365235   1.0317993927001954  -2.6279607162475584 0.036712684631347657,-30.574602301899873  4.7847641826073222 -20.939791017852755 -11.404313010883552 0.70583878557417257  1.0295881714036705  1.0970781225144903, 0.50070220232009888 0.080884255468845367  0.20149175822734833, 0.51250916719436646 -0.49083447456359863   0.4981292188167572  0.49828019738197327,-0.00013119776849634945 -0.00045805424451828003  5.3501862566918135e-05,  0.0010188918095082045     -0.8416474461555481 -0.00067695387406274676,  0.25869864225387573 -0.016714125871658325  0.057781536132097244 -0.016714125871658325   0.23262616991996765  0.033753961324691772  0.057781536132097244  0.033753961324691772   0.17374104261398315,  0.61733331692437332  -0.73582284227580175    1.1773697694588137   0.68366158102417529 -0.029440884216747065   0.04135409890082542                     0,0.00043865074985660613
IIWA_14,1714663794.9526629,  0.62666201123595511    1.1186417076822486 -0.097624754454607623   -1.4788520350247296    -1.036736984727419    1.7816413868964291  -0.53388709284015445,-0.0064835758583699325 0.00019504028289554689  -0.045690164863573371  -0.035258801485931343 0.00012016509761294904  0.0033471123251628617 0.00010680869274605681,  13.739616500854494   63.430629379272467   13.066107330322266  -7.1231792945861816   1.5230485916137695  -2.6947110519409181 0.039716449737548828,-30.212023505791915  4.6772672580831651 -20.611354136688675 -11.182551060205267 0.66239054222116445 0.91252800503740905  1.1253142956649538, 0.50063985586166382 0.080609060823917389  0.20154024660587311, 0.51230621337890625 -0.49076354503631592  0.49814066290855408   0.4985472559928894,-0.0026031490415334702  -0.011372733861207962  0.0019845550414174795,  0.0010189361637458205     -0.8416479229927063 -0.00067695422330871224,  0.25869914889335632 -0.016695622354745865  0.057792063802480698 -0.016695622354745865   0.23266972601413727   0.03371087834239006  0.057792063802480698   0.03371087834239006   0.17369966208934784,    0.61641927177014111     -0.7344694789059858      1.1755772700237088     0.68235135130212399   -0.029586177381801804    0.040093100203364429 -1.7763568394002505e-12,0.010826810263097286
IIWA_14,1714663794.957659,  0.62663888169637538    1.1186409287199868 -0.098394321390858713   -1.4794526844144833   -1.0367406279276998    1.7816474988213036  -0.53388679329802158, -0.0061120422698849406  0.00012487373584424354   -0.067334809340902302   -0.052233016778892374 -4.9595933141223622e-05   0.0029221668551074947  9.7428639511866643e-05,  13.631592559814454   62.908513664245611   12.251491996765136  -7.3207840042114256   1.2562949943542481  -2.5518653335571289 0.049061496734619139, -30.00704649819874   4.641454635180712 -20.376703108157017 -11.070129099560793 0.64790202410833986 0.84010729884289848  1.1344664161999916, 0.50061130523681641 0.080388739705085754  0.20161053538322449, 0.51213109493255615 -0.49071481823921204  0.49818870425224304  0.49872711300849915,-0.0032287649810314178  -0.017908660694956779  0.0044033392332494259,  0.0010204066056758165    -0.84166145324707031 -0.00067771621979773045,  0.25868979096412659 -0.016678614541888237  0.057808659970760345 -0.016678614541888237   0.23270748555660248  0.033670775592327118  0.057808659970760345  0.033670775592327118   0.17367361485958099,   0.61559171725544815   -0.73330871187948787     1.1738936183256499    0.68122639396062112  -0.029617874623077967   0.039120594314212553 3.5527136788005009e-12,0.017128219828009605
IIWA_14,1714663794.9626594,  0.62660466669805159     1.118632899332763 -0.099408306744469876   -1.4802208133085137    -1.036741394825373    1.7816510940904795  -0.53388607422236978, -0.0062582337488595284 -0.00022127650027554735    -0.09442726161716837   -0.072511569184331492 -7.0352653438715632e-05   0.0024815442511230629  0.00010670593768151395,  13.621304565429687   61.990310165405276   12.566046432495117   -6.828788604736328    1.140085506439209  -2.4644223937988281 0.047726490020751952,-29.763629338891132  4.5757003534535423 -20.090753613909985  -10.91112902163241 0.62319002350575614 0.74157778219350545  1.1552411074297533, 0.50055241584777832 0.080102868378162384  0.20169742405414581, 0.51189929246902466 -0.49062198400497437  0.49825605750083923  0.49898907542228699,-0.0049468507058918476  -0.025756921619176865  0.0070082922466099262,  0.0010517262853682041    -0.84167295694351196 -0.00070020568091422319,  0.25868314504623413 -0.016652945429086685  0.057826593518257141 -0.016652945429086685   0.23275895416736603  0.033618658781051636  0.057826593518257141  0.033618658781051636   0.17363210022449493,    0.61437273315245733     -0.7318224712511423      1.1716003465753744     0.67976023998905788   -0.029606817665950302    0.037756637349062316 -8.8817841970012523e-13,0.024835580959916115
IIWA_14,1714663794.9676588, 0.62655816796336916   1.1186232520253225 -0.10063447264791062  -1.4811370672053303  -1.0367402443043301   1.7816442032033435 -0.53388559480224085, -0.0068665363863849001 -0.00056291349783897757    -0.12458844543136431   -0.094659411220129164 -1.0261281035739489e-05    0.001709599915457933  0.00010454155530238396,  13.834780448913575   61.622514366149908   13.704625949859619  -6.2037124824523922   1.3302464866638184  -2.6823622398376465 0.049061496734619139,-29.442773768798823  4.4775752103420521  -19.71650523543234  -10.69398235017418 0.58974358678666605 0.61582735195178095  1.1869988661981983, 0.50046741962432861 0.079711370170116425  0.20180739462375641, 0.51159709692001343 -0.49048110842704773  0.49834984540939331  0.49934372305870056,-0.0073762773536145687  -0.036256570369005203   0.010025836527347565,  0.0010719782439991832    -0.84168881177902222 -0.00072607165202498436,  0.25867718458175659 -0.016614273190498352   0.05784931406378746 -0.016614273190498352    0.2328304797410965  0.033545516431331635   0.05784931406378746  0.033545516431331635   0.17357152700424194,   0.61256954014243803   -0.72976113835654388     1.1683367592176808    0.67770722466331534  -0.029542383751746115   0.035929867747697131 2.6645352591003757e-12,0.035067681223154068
