DesiredFlux,1.16,HitTime,1714664541.6323159,DesiredPos, 0.53509366512298584 -0.26548236608505249  0.19850553572177887
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714664541.0964282,  0.6219928972580413   1.0862328282101399 -0.12022957922977762  -1.4642317600739587  -1.0539930222296972   1.7292751177227124  -0.5651523777175681,-1.6629841652831492e-06   -4.25896024394634e-06 -1.5522894982457253e-06   2.550408340338429e-06   0.0036005370627972713  -1.459239945240668e-06 -4.0388774064795019e-06,-0.85390353393554697   66.874535499572758   4.9051672477722166  -13.825608425140381  0.89446090698242187  -2.2912052726745604  0.17254961776733399,  -1.6511442662205711    4.0171464395263685   -1.0177483634571767   0.91963878568452928   0.17271160436530031   0.39085369590918595 -0.027445040242464511, 0.52144443988800049 0.076461143791675568  0.21441535651683807, 0.52463936805725098 -0.49996021389961243  0.49967467784881592  0.47446656227111816,-0.00072933098999783397  -8.767698091105558e-06 -0.00046501311589963734, 0.023822013288736343   -1.2674863338470459 -0.027788514271378517,  0.25231567025184631 -0.016939645633101463  0.062264382839202881 -0.016939645633101463   0.23279014229774475  0.030768036842346191  0.062264382839202881  0.030768036842346191    0.1800689697265625,   0.6249102906679127  -0.66616774162397974    1.1066164050852478   0.62470811869363985 -0.022859861585011743   0.13487480375395933                     0,0.00079132249811664224
IIWA_14,1714664541.1014061,  0.6219928972580413   1.0862328880967498 -0.12022981888530053  -1.4642318199605688  -1.0539775865377925   1.7292750578361022   -0.565152497490788,-1.3303873322265195e-06 -1.0117037994246116e-06 -1.0828052515109757e-05 -3.5513773234350137e-07   0.0034978573264239279 -3.5628563608067793e-06 -8.0220307210894149e-06,-0.86161952972412115   66.856531509399417   4.9024787483215331  -13.825608425140381  0.89534128189086915  -2.2898702659606935       0.170880859375,  -1.6507093937471347    4.0166405761789425   -1.0180101656170313   0.92020749259025125     0.171763094877939   0.39077677309632108 -0.027338876829716932,0.52144122123718262 0.07646101713180542  0.2144133448600769, 0.52463889122009277 -0.49996507167816162  0.49966832995414734  0.47446870803833008,-0.00071208388544619083 -1.1932476809306536e-05 -0.00045267943642102182, 0.023828757926821709   -1.2674862146377563 -0.027785664424300194,   0.2523157000541687 -0.016940280795097351  0.062264345586299896 -0.016940280795097351   0.23279017210006714  0.030767662450671196  0.062264345586299896  0.030767662450671196   0.18006891012191772,   0.62493353786496897   -0.66615949198922664     1.1066170782942919    0.62470291190930283  -0.022886269638533463    0.13487233727715875 2.6645352591003757e-12,0.00077198998769745231
IIWA_14,1714664541.1064072,  0.6219928972580413   1.0862328880967498 -0.12022969900299753  -1.4642318798471787  -1.0539620548527791   1.7292752376050153 -0.56515261737309097,-1.0643098657812155e-06 -8.0936303953968927e-07 -3.8671498920355533e-06 -2.6795745816072618e-06   0.0034195532616770595  4.3404714349108507e-06 -1.1212916695813561e-05,-0.85647553253173836   66.861675506591794   4.8971017494201661  -13.808133178710937  0.89446090698242187  -2.2908715209960939  0.17188211441040038,   -48.84691796918505    9.5793885132487411   -33.445986613225607    -19.40316918583634     1.115577923907241    4.0636486537833871 -0.027279858064201565, 0.52143818140029907 0.076460935175418854  0.21441143751144409, 0.52463835477828979 -0.49996992945671082  0.49966216087341309  0.47447064518928528,-0.00069130462361499667 -1.2857407455157954e-05 -0.00043819655547849834, 0.023835256695747375   -1.2674862146377563 -0.027782866731286049,  0.25231567025184631 -0.016940919682383537  0.062264319509267807 -0.016940919682383537   0.23279018700122833  0.030767304822802544  0.062264319509267807  0.030767304822802544   0.18006891012191772,   0.62495705992837713   -0.66615163261651844     1.1066185694863506     0.6246981442448174  -0.022912203180958102    0.13487033029857542 2.6645352591003757e-12,0.00074885576032102108
IIWA_14,1714664541.1114054, 0.62198654567764411   1.0862354647481411 -0.12024461938644052    -1.46424931688632  -1.0539450851909948   1.7292926146484635 -0.56515267725970098,-0.00025491466378023712  0.00010241856522283427 -0.00059990905763312021   -0.000699625225315479   0.0034144290807103009  0.00069855411507491227 -1.1365797756824202e-05,-0.75102359008789066   66.771655555725104   5.1068047065734863  -13.543315982818603  0.88741790771484375  -2.3419355278015135  0.17254961776733399,  -48.846103519710709    9.5796219345645532    -33.44579734946003   -19.403240742934148    1.1148308440648871    4.0635742070395304 -0.027147434898314081,  0.5214352011680603 0.076460786163806915  0.21440955996513367, 0.52463793754577637 -0.49997437000274658  0.49965623021125793  0.47447267174720764,-0.00067154056159779429 -1.6381740351789631e-05  -0.0004258963163010776, 0.023841701447963715   -1.2674860954284668 -0.027780318632721901,  0.25231567025184631 -0.016941504552960396  0.062264293432235718 -0.016941504552960396   0.23279023170471191  0.030766945332288742  0.062264293432235718  0.030766945332288742   0.18006888031959534, 0.62497844950915038 -0.66614364615169563   1.1066186991781635  0.62469304796319847 -0.02293676729436811  0.13486792602801501                    0,0.00072762247873470187
IIWA_14,1714664541.1164055, 0.62185160325578148   1.0862783083270375 -0.12063500557963111  -1.4646518071560393  -1.0538805622884106   1.7297342333456003 -0.56515477449096341, -0.0056016286055292769   0.0017956780080338635   -0.016095374973730297   -0.016659310969023584   0.0053124593679356553    0.018223591177530717 -9.2981888702752593e-05, 6.9341082153320315  63.577233299255376  11.590121131896973 -6.6083316497802738 0.45339307785034177 -4.1862473030090328 0.22094361114501954,  -48.845417593858549    9.5798177000611346   -33.445841450246995   -19.403297204906643    1.1139712977911651    4.0634994576638324 -0.026996684052185586, 0.52143216133117676 0.076460756361484528  0.21440765261650085, 0.52463752031326294 -0.49997884035110474  0.49965021014213562  0.47447472810745239,-0.00065896013984456658 -1.4163684681989253e-05 -0.00041661350405775011,   0.0238477922976017   -1.2674859762191772 -0.027777897194027901,   0.2523157000541687 -0.016942109912633896  0.062264245003461838 -0.016942109912633896   0.23279023170471191  0.030766619369387627  0.062264245003461838  0.030766619369387627   0.18006883561611176,   0.6250007628700871   -0.6661365708691136    1.1066203749585668   0.62468878584098775 -0.022961518054920305   0.13486572949084064                     0,0.00071331940125674009
IIWA_14,1714664541.1214292, 0.62179725479370518   1.0862705784819466 -0.12105619116179935  -1.4649705875078423  -1.0538377066012927   1.7303485447364064 -0.56515639241117999, -0.0066552413674755622   0.0011273486027911699   -0.029723723265713629   -0.026078662847338632   0.0059641949790655811    0.039151328574270325 -0.00013910231962535873, 11.638293647766114  62.000598159790044  14.185867351531982 -5.4872273788452146 0.12853473663330078 -3.2000110931396484 0.11547808074951171,  -48.825857007461423    9.5741187282313867   -33.429159835096193    -19.39060132062297     1.110531346389247    4.0543802046524533 -0.025169441472098458,    0.52142333984375 0.076448127627372742  0.21440903842449188, 0.52462458610534668 -0.49997910857200623  0.49964460730552673  0.47449469566345215,-0.00088048737961798906 -0.00051653228001669049 -0.00027804530691355467, 0.023853752762079239   -1.2674860954284668 -0.027775498107075691,  0.25231626629829407 -0.016942104324698448  0.062264315783977509 -0.016942104324698448   0.23279191553592682   0.03076503798365593  0.062264315783977509   0.03076503798365593   0.18006670475006104,  0.62499150571238005  -0.66608687383951093    1.1065665848839501   0.62464228594549809 -0.022994586288405117   0.13478272440359262                     0,0.00096787838265299797
IIWA_14,1714664541.1264307, 0.62176867240920985   1.0862681817085513 -0.12160686621183153  -1.4654002220107532  -1.0538144092483053    1.731349826711057 -0.56515723126005168, -0.0064674884737933973  0.00080600794642062153   -0.045805980613858391   -0.038048310394306575   0.0057032501027504765     0.07137234184543817 -0.00014483581056821344, 13.940232391357423  62.841641700744631  14.070261875152587 -6.8906240921020512 0.58544931411743162 -3.6368920402526856 0.13783944320678712, -48.379984290423202   9.4506271463617146  -33.016200662695908  -19.095931975895393   1.0511242005671859   3.8306566748982447 0.010553018102654551, 0.52128356695175171 0.076148681342601776  0.21450652182102203,  0.5243036150932312 -0.49989160895347595  0.49965769052505493  0.47492769360542297,-0.0062989662401378155  -0.012386033311486244  0.0036805144045501947, 0.023859834298491478   -1.2674858570098877 -0.027773067355155945,  0.25232356786727905 -0.016930367797613144   0.06226995587348938 -0.016930367797613144   0.23283186554908752  0.030734892934560776   0.06226995587348938  0.030734892934560776   0.18002133071422577,   0.62434453830118031   -0.66508128793874022     1.1052798739656922    0.62366087422649485  -0.023236604148380025    0.13279161814505613 1.7763568394002505e-12,0.013150162063539028
IIWA_14,1714664541.1314054, 0.62174979732784796   1.0862768702848169 -0.12234815052388635  -1.4660283751715246  -1.0537800864759002   1.7327123731876639 -0.56515765079357072, -0.0059289940335103576  0.00099234940775928685   -0.066296156973279563   -0.055564774746304141   0.0059355109784049965     0.11159973254062816 -0.00013264998921601109, 14.187144256591798  63.327749435424806  13.079549827575683  -7.789927158355713 0.38648458480834963 -3.4516598587036134 0.17788964462280274, -48.082226053415958   9.4112141466005692  -32.663555039276964  -18.902174621061608   1.0279828207363408    3.608657870254838 0.023111690634584119, 0.52115499973297119 0.075899615883827209  0.21467982232570648, 0.52392381429672241 -0.49980974197387695   0.4997323751449585  0.47535422444343567,-0.010187146253883839 -0.019857753068208694 0.0098825711756944656, 0.023859849199652672   -1.2674866914749146 -0.027773084118962288,  0.25231802463531494 -0.016927827149629593  0.062280680984258652 -0.016927827149629593   0.23286503553390503  0.030717318877577782  0.062280680984258652  0.030717318877577782   0.17999380826950073,  0.62407370591888167  -0.66446100228123584      1.10450639047599   0.62308061013727212 -0.023403183997849908   0.13066557358865083                     0,0.022328648716211319
IIWA_14,1714664541.1364069, 0.62172624825474931   1.0862723761710762 -0.12332690215230596  -1.4668695478400802  -1.0537569809345977   1.7345188153615829 -0.56515848964244242, -0.0056851581507542798  0.00061411497657922658   -0.092186990715407979    -0.07809872653926514   0.0056726304348228198     0.16153747298926291 -0.00013967394624073533, 13.888792419433594  62.512425880432133  13.273121788024902 -7.6272729415893554 0.26851434707641603  -3.327170482635498 0.18456467819213868, -47.734747999696197   9.3595656852691178  -32.217791414131554  -18.649148167500385    1.007631446963084   3.2933005321443769 0.041284146503293435, 0.52096062898635864 0.075590349733829498  0.21494410932064056, 0.52337229251861572 -0.49966228008270264  0.49986803531646729  0.47597375512123108,-0.015933733433485031 -0.028221232816576958  0.018491800874471664, 0.023885546252131462   -1.2675045728683472 -0.027787474915385246,  0.25231420993804932 -0.016927096992731094   0.06229153648018837 -0.016927096992731094   0.23290631175041199  0.030705209821462631   0.06229153648018837  0.030705209821462631   0.17995563149452209,    0.62382636814106718    -0.66393473095160971      1.1038218027010771     0.62258416465432731   -0.023527256447941625     0.12757128533635864 -1.7763568394002505e-12,0.034133180975914001
IIWA_14,1714664541.1414304, 0.62169490955903284    1.086273275015641 -0.12451849362868009  -1.4678946185433523  -1.0537392442006073   1.7367499185045432 -0.56515830987352944, -0.0058016743492624754  0.00052724576385451726    -0.12141325162729144     -0.1034818093622993   0.0052475737074748332     0.21847410410982102 -0.00010454840047347289, 13.868216430664063  62.769625740051275  14.158982357025147 -6.2588267211914062 0.47804357528686525 -3.6318857650756837 0.16654208755493163,-46.698840901421697  9.1437438304180496 -30.913112976915215 -17.855034673627159 0.93156034577224722  2.3568816906486054 0.11496298793357726, 0.52030730247497559 0.074625179171562195  0.21576173603534698, 0.52165263891220093 -0.49913769960403442  0.50029492378234863   0.4779592752456665,-0.034114200621843338 -0.053132224828004837  0.041834175586700439, 0.024374257773160934   -1.2675005197525024 -0.028241083025932312, 0.25231686234474182 -0.01691763661801815 0.062317758798599243 -0.01691763661801815  0.23303908109664917 0.030669355764985085 0.062317758798599243 0.030669355764985085  0.17981889843940735,   0.62276958168983043   -0.66235583186546876     1.1015517127335173    0.62102064803948309  -0.023791286567487191    0.11776047019029789 8.8817841970012523e-13,0.069284036755561829
