DesiredFlux,0.5,HitTime,1714664588.4672811,DesiredPos,  0.5380515456199646 -0.31583982706069946   0.1986815482378006
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714664587.5958927, 0.59233829231699064    1.244028757977282 -0.15706309448491315   -1.297634915051185  -1.0533866203219953   1.8212124586100502 -0.58375441148092133, 1.8365786325811721e-06  1.0198610758929975e-06 -3.9625772049916553e-07 -1.0615039832922689e-05 -1.5927058686405209e-06 -3.7871783709863038e-06 -2.6061929724180625e-06,0.095163948059082043   70.130685722351075   5.8125358123779298   -13.95196789932251   1.3240838623046876  -2.1850722389221193  0.47058986663818358, -5.7948182899911469  -3.5383467561773259 -0.76192877165265749  -1.5066807279103631 -0.88582148865053412 0.053943181141810626 -0.10177244152706533, 0.54415911436080933 0.066778555512428284  0.18242235481739044,0.47625330090522766 -0.4944300651550293 0.51132851839065552 0.51697665452957153,-2.4531059352739248e-06  4.5090528146829456e-06 -2.2841652480565244e-06,-0.003633132204413414  -0.54700630903244019 0.0096719870343804359,  0.24784129858016968 -0.017652442678809166  0.065843150019645691 -0.017652442678809166   0.23551961779594421  0.030807256698608398  0.065843150019645691  0.030807256698608398   0.17799125611782074,    0.63634679293933516     -0.6225585278150092      1.0769457115928915     0.68924615528409561   -0.043619709947151364   -0.095780086382113439 -8.8817841970012523e-13,5.1346960390219465e-06
IIWA_14,1714664587.600888, 0.59233811254807767    1.244028757977282 -0.15706321425813308   -1.297634915051185  -1.0533864286848433   1.8212124586100502 -0.58375459124983431,-5.7214936130504448e-06   8.158888607143981e-07 -5.1079349734153692e-06  -8.492031866338152e-06  6.3913213820895983e-06 -3.0297426967890432e-06 -9.2757108970498318e-06,0.082303955078125005   70.125541725158698   5.8085030632019041  -13.956000648498534   1.3267249870300293  -2.1847384872436524  0.46925485992431643, -5.7947699778505157  -3.5382815208169238 -0.76186873422629509  -1.5067187308647045 -0.88578302657471542 0.053963275179126247 -0.10177987058015114, 0.5441591739654541 0.06677854061126709 0.18242236971855164, 0.47625339031219482 -0.49443003535270691  0.51132851839065552  0.51697659492492676, 3.0993027166914544e-07  2.9997515866853064e-06 -9.8122086455987301e-07,-0.0036331664305180311   -0.54700636863708496  0.0096719656139612198,  0.24784129858016968 -0.017652437090873718  0.065843150019645691 -0.017652437090873718   0.23551961779594421  0.030807249248027802  0.065843150019645691  0.030807249248027802   0.17799127101898193,   0.63634653026145571   -0.62255835879820864     1.0769454078394247    0.68924596785358005  -0.043619552846152487  -0.095779802299134076 1.7763568394002505e-12,2.8982922231080011e-06
IIWA_14,1714664587.6058631, 0.59233811254807767   1.2440286980906721 -0.15706309448491315  -1.2976348551645749  -1.0533864286848433   1.8212124586100502 -0.58375459124983431,-4.5771948904403562e-06  -1.742753307160942e-06  7.0458081828374045e-07 -4.3981610884562771e-06  5.1130571056716793e-06 -2.4237941574312349e-06 -7.4205687176398661e-06,0.054011970520019534   70.135829719543466   5.8071588134765628  -13.961377647399903   1.3249642372131347  -2.1860734939575197  0.47159112167358397, -20.634601687055831   2.4234688222732954   -7.762058609004769  -6.3486178753322573 -0.51926207003973146  -2.3196915588796139 -0.10177801104186579, 0.54415911436080933 0.066778309643268585  0.18242235481739044,  0.4762532114982605 -0.49443015456199646  0.51132833957672119  0.51697683334350586,-2.3837617391109234e-06 -6.4812325035745744e-06 -1.4465233562077628e-06,-0.0036331776063889265   -0.54700636863708496  0.0096720224246382713,  0.24784128367900848 -0.017652440816164017  0.065843157470226288 -0.017652440816164017   0.23551963269710541  0.030807213857769966  0.065843157470226288  0.030807213857769966   0.17799124121665955,   0.63634656071531737   -0.62255724516457889      1.076944410174363    0.68924499818923124  -0.043620318991521856  -0.095780693056823907 8.8817841970012523e-13,6.4481109802727588e-06
IIWA_14,1714664587.6108642, 0.59233361843433685   1.2440316342798894 -0.15706950606100342  -1.2976407873205362  -1.0533858534243219   1.8212017926848252 -0.58375477090966421,-0.00018342630554499617  0.00011605336604696804 -0.00025589937895619474 -0.00024080476732441395  2.7100866542153853e-05 -0.00042857604432708563 -1.3122848170191059e-05,0.14660391998291017  70.043237770080566  5.8891580467224118 -13.864591667175294   1.319681987762451 -2.1580383529663085 0.47025611495971681, -20.634716752465113   2.4235281103799311  -7.7621511713843514  -6.3486951228980235 -0.51924130987002959  -2.3196731433341133 -0.10179700970193861, 0.54415911436080933 0.066778309643268585  0.18242235481739044,  0.4762532114982605 -0.49443015456199646  0.51132833957672119  0.51697683334350586,-2.3837617391109234e-06 -6.4812325035745744e-06 -1.4465233562077628e-06,-0.0036332146264612675   -0.54700636863708496  0.0096720177680253983,  0.24784128367900848 -0.017652440816164017  0.065843157470226288 -0.017652440816164017   0.23551963269710541  0.030807213857769966  0.065843157470226288  0.030807213857769966   0.17799124121665955,   0.63634656071531737   -0.62255724516457889      1.076944410174363    0.68924499818923124  -0.043620318991521856  -0.095780693056823907 8.8817841970012523e-13,6.4481109802727588e-06
IIWA_14,1714664587.6158907, 0.59223600696892831   1.2440744178630927 -0.15722338345083783  -1.2977705165530062     -1.0533782793935   1.8209884135301317 -0.58375501067427016, -0.0040511996607776966    0.001804186020969961  -0.0063598150965414142  -0.0053818131126599535  0.00032464192610793348  -0.0088780270231991996 -2.0088862774036908e-05,  4.881653335571289  67.221755310058597  8.6394929847717279 -11.623727375030517  1.2536538696289061 -1.5916617546081544 0.45089851760864258, -20.626981820873954   2.4197569829931305  -7.7580648390877212   -6.345003755844937  -0.5204666033958063  -2.3186521607232402 -0.10091901169619832, 0.54415929317474365 0.066772326827049255  0.18241971731185913, 0.47625377774238586 -0.49442934989929199  0.51132690906524658  0.51697850227355957, 5.8754226301971357e-06 -0.00024383308482356369 -0.00010629922326188534,-0.0036331808660179377   -0.54700636863708496  0.0096720391884446144,  0.24784161150455475 -0.017651522532105446  0.065843239426612854 -0.017651522532105446   0.23552043735980988  0.030805809423327446  0.065843239426612854  0.030805809423327446   0.17799036204814911,    0.63630913914014542    -0.62252047150135326      1.0768887030625507     0.68920596796928635   -0.043621452244124725   -0.095783411715011368 -1.7763568394002505e-12,0.0002431541943224147
IIWA_14,1714664587.6208653, 0.59218543354494091   1.2440769945144841 -0.15735538968348317  -1.2978744198212853  -1.0533829771217147   1.8206267895994324 -0.58375477090966421, -0.0052638966881181151   0.0015464148724304348   -0.010368101383046632  -0.0084615812212890194  7.1804412300218942e-05   -0.021567378846534722 -6.4805059813454679e-06, 7.0112681732177737  67.098299377441407  9.1839141235351569 -11.297074691772462  1.0758181381225587 -2.1880760040283205 0.46224607467651369,  -20.455248145874503    2.3522123999576126   -7.6561676632414715   -6.2697915441481724  -0.54257461908480098   -2.3038307281576351 -0.086021756431008622,0.54416614770889282 0.06663881242275238 0.18238009512424469,0.47625043988227844 -0.4944165050983429 0.51130443811416626 0.51701605319976807,0.00027823619893752038 -0.0055358861573040485  -0.001669611781835556,-0.0036331776063889265   -0.54700636863708496  0.0096720224246382713,  0.24784515798091888 -0.017632564529776573  0.065846771001815796 -0.017632564529776573   0.23553837835788727  0.030775124207139015  0.065846771001815796  0.030775124207139015   0.17797392606735229,  0.63552877019823484  -0.62171572770974848    1.0756865549819139   0.68835838964531604 -0.043645810098524862 -0.095884657040912202                     0,0.0052904332987964153
IIWA_14,1714664587.6258714, 0.59209471296666849   1.2440818481660507 -0.15755978061069492  -1.2980584975158316  -1.0533784712051848   1.8200266195207244 -0.58375513044749006, -0.0078399404813912325   0.0014312779606107818   -0.016470118194907329   -0.014132372758883779  0.00023768019103599577   -0.041260706225545382 -1.9565917818866247e-05, 9.1074470291137697  66.398715759277351  9.5764350433349605 -11.091404483795166  1.1321621322631836 -1.3340054588317871 0.46091106796264647, -20.390601159332466   2.3256588009863619  -7.6260409246449123  -6.2598829840327941 -0.54904072531904591  -2.2504235419236531 -0.08039079648785219, 0.54420214891433716 0.066544622182846069   0.1823308914899826,  0.4763166606426239 -0.49442237615585327  0.51129001379013062  0.51696372032165527, 0.0016618883237242699 -0.0081966156139969826 -0.0033033313229680061,-0.0036331790033727884   -0.54700654745101929  0.0096720252186059952,  0.24784572422504425 -0.017612449824810028  0.065850719809532166 -0.017612449824810028    0.2355501651763916  0.030745048075914383  0.065850719809532166  0.030745048075914383   0.17796681821346283,  0.63552877019823484  -0.62171572770974848    1.0756865549819139   0.68835838964531604 -0.043645810098524862 -0.095884657040912202                     0,0.0082178432494401932
IIWA_14,1714664587.6308863, 0.59196492373850551   1.2440806496702699 -0.15785243545617395  -1.2983289814438224  -1.0533817307820958   1.8192622057781731 -0.58375543009870601,  -0.011463521511632178   0.0010970825372549912   -0.024882288375086801   -0.022125255326738359  5.9761076386710053e-05   -0.063585114682489008 -2.7638782893150409e-05, 11.558561691284181  66.167235885620116  10.338624637603759 -10.719047309875489  1.0115507698059081 -1.6600808486938476 0.46491608810424806,  -20.269738045082782    2.2710003751301588   -7.5760882021534135   -6.2298219045967809   -0.5664798453445129    -2.168107556644649 -0.067529952024383499, 0.54420214891433716 0.066544622182846069   0.1823308914899826,  0.4763166606426239 -0.49442237615585327  0.51129001379013062  0.51696372032165527, 0.0016618883237242699 -0.0081966156139969826 -0.0033033313229680061,-0.0036339610815048218   -0.54701006412506104  0.0096753928810358047,  0.24784572422504425 -0.017612449824810028  0.065850719809532166 -0.017612449824810028    0.2355501651763916  0.030745048075914383  0.065850719809532166  0.030745048075914383   0.17796681821346283,    0.63474009601449666    -0.62100028413780706      1.0745275981873803     0.68758099624055546   -0.043598823200596826   -0.095593560342166484 -8.8817841970012523e-13,0.0082178432494401932
IIWA_14,1714664587.6358902, 0.59181691861802244   1.2440816084014448 -0.15821322053800146  -1.2986673560617221  -1.0533810597029984   1.8182120281863616 -0.58375543009870601,  -0.015091022028628725  0.00091601527679974334    -0.03433723397317022   -0.031235188977381149  7.4652025005485559e-05   -0.092875195418450185 -2.2111026314520328e-05,  12.43561321258545   66.01548796844483  11.229862205505372 -10.396427375793458  1.0450050163269042 -1.4681736335754394 0.45623854446411133,  -20.269738045082782    2.2710003751301588   -7.5760882021534135   -6.2298219045967809   -0.5664798453445129    -2.168107556644649 -0.067529952024383499, 0.54425489902496338 0.066386908292770386  0.18224276602268219, 0.47643163800239563 -0.49443301558494568  0.51125437021255493  0.51688283681869507, 0.0034373556263744831  -0.012865716591477394 -0.0061664208769798279,-0.0036482536233961582   -0.54701143503189087  0.0097261983901262283,  0.24784888327121735 -0.017579453065991402  0.065855950117111206 -0.017579453065991402    0.2355695515871048  0.030695188790559769  0.065855950117111206  0.030695188790559769    0.1779533177614212,  0.63344636419238043  -0.61980916040749179    1.0726157764420208   0.68628234488699036 -0.043548984336005958 -0.095109332421294823                     0,0.013411631807684898
IIWA_14,1714664587.6408906, 0.59164518465552784   1.2440795111701823 -0.15861445231624705  -1.2990891408372391  -1.0533822102240413    1.816867458055635 -0.58375501067427016,  -0.01894217612268663 0.00064892297094250144  -0.043519058308359421  -0.041859542202585726 1.3700778289155434e-05   -0.12808296156382581 -9.118436176530383e-07, 11.458253746032716  65.632260177612309  11.401926170349121 -10.284854648590088  1.0925452613830566 -1.2495662841796875 0.45490353775024411,  -19.916136925694083    2.1184682068815461   -7.4136745258265568   -6.1305327326356247  -0.61388157111367458   -1.9555222847020322 -0.029173998340236151, 0.54440861940383911 0.065888583660125732  0.18198877573013306, 0.47676506638526917 -0.49445101618766785  0.51115524768829346  0.51665616035461426,0.0078174015507102013 -0.026367152109742165 -0.013271810486912727,-0.0036850254982709885   -0.54701387882232666  0.0097962077707052231,  0.24785947799682617 -0.017476396635174751  0.065871968865394592 -0.017476396635174751   0.23563170433044434  0.030540706589818001  0.065871968865394592  0.030540706589818001   0.17790937423706055,    0.6293998166224668   -0.61611484905288449     1.0666702737074374    0.68223564820879545  -0.043365446992460477  -0.093732020967074448 3.5527136788005009e-12,0.027906281873583794
