DesiredFlux,1.05,HitTime,1714664297.12239,DesiredPos,0.55326223373413086 0.36050045490264893 0.22020509839057922
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714664296.5737586,-0.42942060441174695   1.0580212437140963 0.077739689560955963  -1.3946816703445726  -1.9572426151283049  -1.7702249146787741 -0.89832389684562786,-0.00061121966821126375 -1.2448118316151268e-05   0.0025347846075909207  -0.0011497885461158469   9.213737065411019e-06   0.0023431999300057402 -2.0790876683505626e-05, 0.40730766677856445   62.733446182250979  -3.5672791290283201  -15.193510169982909  -1.3267249870300293    1.638053237915039 -0.21126481246948242,-0.38050589204154345   1.0434417725832126 -0.29537790989208124 -0.19396407688205744   1.9303861198336079  0.17030435106620867 -0.68645610067925866,  0.55280762910842896 0.0078897681087255478   0.22368636727333069,  -0.71439063549041748 -0.0075376871973276138    0.01531424093991518    0.69953888654708862, 0.00014410694711841643  0.00084505166159942746 -0.00016771406808402389,  9.588017564965412e-05      1.1497406959533691 -0.00073428614996373653,  0.24357061088085175  0.020744163542985916  0.068088449537754059  0.020744163542985916    0.2374785840511322 -0.012871099635958672  0.068088449537754059 -0.012871099635958672   0.18778575956821442,  -0.73563884615257535   -0.19167468957537181    -0.7153429942592382     0.4299013253739048    0.46200088338910206   0.045641570653565111 1.0834805941328796e-05,0.00079772569006308913
IIWA_7,1714664296.5787327,-0.42942449922305587   1.0580211838274864 0.077749936061745184  -1.3946859846894006  -1.9572428069399896  -1.7702193419515555 -0.89832389684562786,-0.00064476818692554003 -1.2353959048653476e-05   0.0024376877176415794  -0.0010924046300150878 -3.0147773797843192e-07   0.0020974690327474873 -1.6632701346804501e-05, 0.41671741485595704   62.748232929229736  -3.5760828781127931  -15.197912044525147   -1.322323112487793   1.6443945198059082 -0.21093106079101562,-0.37944307515184877   1.0510297319575082 -0.29824407477312365 -0.19442763711236236   1.9291994080035151  0.17516724950102686 -0.68633983042952451,  0.55280774831771851 0.0078926915302872658   0.22368672490119934,  -0.71438884735107422 -0.0075371633283793926   0.015313410200178623    0.69954073429107666,   0.000120165066618938  0.00079295312752947211 -0.00011969348270213231, 9.5898460131138563e-05      1.1497408151626587 -0.00073437078390270472,  0.24357050657272339  0.020743085071444511  0.068088732659816742  0.020743085071444511   0.23747898638248444 -0.012870228849351406  0.068088732659816742 -0.012870228849351406   0.18778561055660248,  -0.73559803299438897   -0.19166269699777416   -0.71529685504767571    0.42988838900459569    0.46199157164661386   0.045642163140513503 1.0835734087777382e-05,0.00074054353171959519
IIWA_7,1714664296.5837319,-0.42942821437453488   1.0580213635963993 0.077760002793621455  -1.3946905386897512  -1.9572426151283049  -1.7702148478378146 -0.89832389684562786,-0.00066442060870088189 -2.6924107242482918e-06   0.0023528194491641012  -0.0010560837180360058  7.4312851999245014e-06   0.0018577397758350747 -1.3306161077443602e-05,  0.4207501640319824   62.773773674011231  -3.5804847526550292  -15.204955043792724  -1.3258446121215821   1.6433932647705078 -0.21360107421874999,  30.797212285326758   2.7081797545274964   20.638290594722385  -7.5548041601315994   2.6627297911953005 -0.23696810106730157 -0.68627791892924073,  0.55280768871307373 0.0078953215852379799   0.22368715703487396,  -0.71438688039779663 -0.0075365742668509483   0.015312707051634789     0.6995428204536438,  9.403756121173501e-05  0.00073958979919552803 -7.8649347415193915e-05,  9.589848923496902e-05      1.1497409343719482 -0.00073437090031802654,  0.24357044696807861  0.020742075517773628   0.06808897852897644  0.020742075517773628   0.23747937381267548 -0.012869441881775856   0.06808897852897644 -0.012869441881775856   0.18778540194034576,  -0.73555984386963758   -0.19165207174509646   -0.71525432079866391     0.4298767112214108    0.46198278865983156   0.045643587870181079 1.0836918917789262e-05,0.00068464549258351326
IIWA_7,1714664296.5887318,-0.42940424587700032   1.0580250187521854 0.077799730523470736  -1.3947224166922068  -1.9572407935281646  -1.7702151474890306 -0.89832395673223775, 0.00042720341442147177  0.00014405230286228257   0.0034713647533025421  -0.0021199870726496435  7.8809033771290137e-05   0.0014742057720255617 -1.3040393257687344e-05, 0.21373570632934571   62.773773674011231  -4.0347582054138185  -14.869532203674316  -1.3637007331848143   1.6657546272277832 -0.21360107421874999,  30.798410876430648   2.7090903094810672   20.638387057196908  -7.5549148141734292   2.6623977708425617 -0.23580136390108855 -0.68624225640304792,  0.55280762910842896 0.0078974738717079163   0.22368757426738739, -0.71438503265380859 -0.007535942830145359  0.015312051400542259   0.69954466819763184,7.1141403168439865e-05 0.00067774899071082473 -4.615227589965798e-05, 9.5883005997166038e-05      1.1497411727905273 -0.00073452037759125233,  0.24357040226459503  0.020741160959005356  0.068089194595813751  0.020741160959005356   0.23747973144054413 -0.012868744321167469  0.068089194595813751 -0.012868744321167469   0.18778523802757263,  -0.73552525796927171   -0.19164293276840993   -0.71521618508540996    0.42986657993271393    0.46197467745479059   0.045644560547231094 1.0837896802229352e-05,0.00062377954600378871
IIWA_7,1714664296.59376,-0.42898479798826861   1.0580398192533254 0.078349446951411272  -1.3949734262364037  -1.9572149076773637  -1.7702132300266811  -0.8983251551189354,    0.01711967828080584  0.00070726188788982074     0.02476574892026347   -0.011736371425999296   0.0010984812590521306   0.0012560631116030681 -5.8367782512307086e-05,  -8.158251583099366   60.985921539306638  -10.519599781036376  -11.432548561096191  -1.2633379936218261   1.9607911109924316 -0.28135266494750977,  30.799217503705151   2.7096773832541925   20.638231465310582  -7.5547080273277301   2.6620938160646852 -0.23452243784228774 -0.68627319635412776,  0.55280733108520508 0.0078997062519192696   0.22368805110454559,   -0.7143828272819519 -0.0075353248976171017   0.015311725437641144    0.69954699277877808, 4.5233355194795877e-05  0.00063149182824417949 -1.7957321688299999e-05, 9.5908078947104514e-05      1.1497412919998169 -0.00073470734059810638,  0.24357041716575623  0.020740283653140068  0.068089388310909271  0.020740283653140068   0.23748007416725159 -0.012868077494204044  0.068089388310909271 -0.012868077494204044   0.18778499960899353,  -0.73549200803046944   -0.19163416513556797   -0.71517947546873017    0.42985680068952092    0.46196727353464695   0.045647484376409864 1.0839380948368671e-05,0.00057841913076117635
IIWA_7,1714664296.5987356,-0.42857098271336541   1.0580106976711743 0.078992700155455467  -1.3951708065032595  -1.9571804889118496  -1.7701775169904437 -0.89832611385011019,   0.030248353620772488 -0.00059905377573095994    0.045542727297978564   -0.017284307815030816   0.0022555356278070081   0.0024333719387782445 -8.5043473001155041e-05, -17.037021018981935   60.750677837371825  -15.179424171447753  -11.992467002868652  -1.1638556289672852   1.9417672653198241 -0.20692604064941406,  30.766984780772017   2.7019297393503088   20.612364558653873  -7.5362632333278441   2.6676341215860875  -0.2207072247247541 -0.68887961557325106,   0.5527990460395813 0.0079318834468722343   0.22368967533111572,  -0.71436625719070435 -0.0075452760793268681   0.015333478339016438    0.69956332445144653,-0.00029553391505032778   0.0017922741826623678   5.046134174335748e-05, 9.5932678959798068e-05      1.1497412919998169 -0.00073488749330863357,  0.24357070028781891  0.020737467333674431  0.068089768290519714  0.020737467333674431    0.2374834418296814 -0.012863214127719402  0.068089768290519714 -0.012863214127719402   0.18778188526630402,  -0.73537122081290818   -0.19154769019724682    -0.7149764766198885    0.42976900662239359    0.46199182126560601   0.045774461757019935 1.0868963506993623e-05,0.0016595327761024237
IIWA_7,1714664296.6037321,-0.42832045248021405   1.0580086603265217 0.079693298006486266  -1.3954892872038465  -1.9571397426296655   -1.770172423683354  -0.8983298888881992,   0.034219892222672313 -0.00056073680668632868    0.064458095879614791   -0.026566674275501918   0.0034342797896091994   0.0021504298346083179 -0.00021903630196154727, -21.294259899139405   61.073297771453859  -16.394341545104979  -11.540834674835205  -1.5142448425292969   2.0715966682434082 -0.19190721511840819,   30.279611440288416     2.703857221417362    20.169647651471472   -7.3739100290563142    2.7067157653717362 -0.044623458344074163  -0.69657137340485809,  0.55274492502212524 0.0083982432261109352   0.22375927865505219,  -0.71417039632797241 -0.0077804452739655972   0.015585102140903473    0.69975507259368896,-0.0024089470971375704   0.020086174830794334  0.0028279542457312346, 9.6010255219880491e-05      1.1497427225112915 -0.00073510053334757686,  0.24354551732540131  0.020705685019493103  0.068106576800346375  0.020705685019493103   0.23752854764461517 -0.012790286913514137  0.068106576800346375 -0.012790286913514137   0.18776632845401764,  -0.73396447611617788   -0.19023495491587994   -0.71217477367380155    0.42863023385564247    0.46245085786811302   0.047562602696338274 1.1275531619503454e-05,0.018654430285096169
IIWA_7,1714664296.6087584,-0.42824555112994933   1.0580024285193446  0.08050522921058792  -1.3959218578959747  -1.9571072414574007  -1.7701633756783457 -0.89833162658163568,    0.03037196778872674 -0.00069786173243632842    0.084043724867757991     -0.0385561671055299   0.0040474707222806251   0.0020822640680201975 -0.00024473677902830027, -20.679937774658203   60.531565132141111  -13.495266971588135  -11.334826946258545 -0.85396366119384759   1.7785626945495605 -0.20625853729248048,  29.873193975091883    2.786953748751746   19.744408867130254  -7.2963886991060933   2.7105362128616526  0.11299410219238781 -0.68665550472336789,  0.55272102355957031 0.0088861482217907906   0.22387388348579407,  -0.71397048234939575 -0.0080630797892808914   0.015795046463608742         0.699951171875,-0.0029060565866529942   0.035580910742282867  0.0068530822172760963,9.7838747024070472e-05     1.1497617959976196 -0.0007360442541539669,  0.24350318312644958  0.020670702680945396  0.068131953477859497  0.020670702680945396    0.2375749796628952 -0.012709708884358406  0.068131953477859497 -0.012709708884358406   0.18776610493659973,  -0.73243695340607928   -0.18881357289668443   -0.70911480671398408    0.42746881394339908    0.46289376683894545   0.049368518021175589 1.1690058698832217e-05,0.033196549862623215
IIWA_7,1714664296.6137593,-0.42825142339930078   1.0579911632916874 0.081648344494237135   -1.396457612671647  -1.9570516345693005  -1.7701601399469955 -0.89833234565728748,   0.024062683456923476  -0.0010088984922351999       0.112959591240175   -0.052275124711318288   0.0054622521018298925   0.0017952405084238759 -0.00022455244929466087, -17.233281478881835    60.15517520904541  -12.069939994812012  -10.965069484710693  -1.2474912452697753   1.7298349494934082 -0.23462742996215821,  29.613223561598165   2.8005247074238326   19.415895928064099  -7.1841365720983257   2.7298552433799337  0.25401051690078136 -0.69854444294597673,   0.5526580810546875 0.0093221664428710938   0.22397416830062866,  -0.71372431516647339 -0.0082669574767351151   0.016005374491214752     0.7001950740814209,-0.0048708505928516388   0.045897554606199265  0.0095067815855145454, 0.00011175583495059982      1.1497812271118164 -0.00076782074756920338,  0.24348045885562897  0.020628832280635834   0.06815066933631897  0.020628832280635834   0.23761993646621704 -0.012636064551770687   0.06815066933631897 -0.012636064551770687    0.1877494603395462,   -0.7306760493817066   -0.18756650646789552   -0.70610125339243268    0.42636442880361614    0.46317649142935124   0.051085902811109918 1.2103900104420973e-05,0.043033905327320099
IIWA_7,1714664296.618757,-0.42821774770771587   1.0579742056726751 0.083116891470385493  -1.3970705457977595  -1.9569898918016819  -1.7701309582600684  -0.8983327651908064,    0.02059717442893523  -0.0014854235542811805      0.1491095520380743   -0.066337424813552065   0.0068395123862083577   0.0026034598838237223 -0.00019642330019272814, -15.812409519195556   59.484394596099854  -12.934468154907226   -11.43959156036377  -1.4226858520507812   1.7889089965820313 -0.23262491989135742,  29.468255126096025    2.793301802234577   19.135640237599809  -7.0655180562314452   2.7525704568935732  0.38272597934989783 -0.72369030887259322,   0.5525660514831543 0.0097165163606405258   0.22407984733581543,  -0.71343535184860229 -0.0084102144464850426   0.016200188547372818    0.70048326253890991,-0.0076069007627665997   0.052480705082416534    0.01185273751616478, 0.00012090466043446213      1.1498000621795654 -0.00081959506496787071, 0.24346928298473358 0.020577626302838326 0.068166501820087433 0.020577626302838326   0.2376648485660553 -0.01256497111171484 0.068166501820087433 -0.01256497111171484  0.18772314488887787,  -0.72858644681517148    -0.1864311589150347   -0.70297242512573632    0.42527764030175774    0.46328486701963101   0.052710788075671644 1.2514627556470259e-05,0.049620408564805984
