RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714664301.4196889,0.51552987098693848  1.0451501607894897 0.27767723798751831,-0.0039175394922494888  0.0019308207556605339    0.39444065093994141    0.91891103982925415,0.51552987098693848  1.0451501607894897 0.27767723798751831,-0.0039175394922494888  0.0019308207556605339    0.39444065093994141    0.91891103982925415
1714664301.4246612,0.51547670364379883   1.045168399810791 0.27766302227973938,-0.0037346358876675367  0.0019185468554496765     0.3944341242313385    0.91891461610794067,0.51547670364379883   1.045168399810791 0.27766302227973938,-0.0037346358876675367  0.0019185468554496765     0.3944341242313385    0.91891461610794067
1714664301.4296894,0.51549911499023438  1.0451524257659912 0.27766895294189453,-0.0037863259203732014  0.0019096828764304519    0.39440923929214478    0.91892510652542114,0.51549911499023438  1.0451524257659912 0.27766895294189453,-0.0037863259203732014  0.0019096828764304519    0.39440923929214478    0.91892510652542114
1714664301.4346902,0.51563441753387451   1.045075535774231 0.27795892953872681,-0.0035227048210799694  0.0018814338836818933    0.39435791969299316    0.91894823312759399,0.51563441753387451   1.045075535774231 0.27795892953872681,-0.0035227048210799694  0.0018814338836818933    0.39435791969299316    0.91894823312759399
1714664301.4396927,0.51550036668777466  1.0451548099517822 0.27764305472373962,-0.0038137172814458609  0.0019722676370292902    0.39439994096755981    0.91892886161804199,0.51550036668777466  1.0451548099517822 0.27764305472373962,-0.0038137172814458609  0.0019722676370292902    0.39439994096755981    0.91892886161804199
1714664301.4447138, 0.5155109167098999  1.0451382398605347 0.27767747640609741,-0.0037957271561026573  0.0019243600545451045    0.39439225196838379    0.91893231868743896, 0.5155109167098999  1.0451382398605347 0.27767747640609741,-0.0037957271561026573  0.0019243600545451045    0.39439225196838379    0.91893231868743896
1714664301.4496896,0.51549595594406128  1.0451611280441284   0.277666836977005,-0.0037766741588711739  0.0018834531074389815    0.39439347386360168    0.91893196105957031,0.51549595594406128  1.0451611280441284   0.277666836977005,-0.0037766741588711739  0.0018834531074389815    0.39439347386360168    0.91893196105957031
1714664301.4546914,0.51551288366317749  1.0451761484146118 0.27763426303863525,-0.0037411726079881191  0.0019358462886884809    0.39441820979118347    0.91892141103744507,0.51551288366317749  1.0451761484146118 0.27763426303863525,-0.0037411726079881191  0.0019358462886884809    0.39441820979118347    0.91892141103744507
1714664301.4596932,0.51547139883041382  1.0451993942260742 0.27752006053924561,-0.0037980957422405481  0.0019286759197711945    0.39445346593856812    0.91890603303909302,0.51547139883041382  1.0451993942260742 0.27752006053924561,-0.0037980957422405481  0.0019286759197711945    0.39445346593856812    0.91890603303909302
1714664301.4646924,0.51549917459487915  1.0451769828796387 0.27768334746360779,-0.0036762985400855541  0.0018454279052093625    0.39443820714950562    0.91891324520111084,0.51549917459487915  1.0451769828796387 0.27768334746360779,-0.0036762985400855541  0.0018454279052093625    0.39443820714950562    0.91891324520111084
