DesiredFlux,0.98,HitTime,1714664089.9722841,DesiredPos,0.51769924163818359 -0.3253178596496582 0.19770775735378265
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714664089.4188399, 0.55974144022994365   1.0819650060061647 -0.16907290567166702  -1.5312262736990603  -1.0477322713847226   1.6553440747471506 -0.53906619551615953, 0.00050935404735068701 -2.3151614710610369e-07 -2.1770321164262864e-06  2.9305597580691749e-05  5.6200903277124648e-06  1.5466990662512627e-07 -2.3714712381065789e-05,-2.2890787506103516   66.02834796142578  6.2884002151489256 -13.082238327026367  1.4658242225646974 -2.1620433731079101  0.3310816650390625,  2.7493346794666493   2.4979385460964205  0.05374746479488679 -0.14679027611735646  -1.0858480048285371  0.38184166847584999 -0.06917300649154369, 0.51583421230316162 0.014860936440527439  0.20512919127941132,-0.51011061668395996  0.51486146450042725 -0.48369514942169189 -0.49065649509429932,5.4579359130002558e-06 0.00027906420291401446  3.514783202263061e-06,0.00084439612692221999    -1.0737115144729614 -0.0033599562011659145,  0.25300934910774231 -0.012208947911858559  0.063771337270736694 -0.012208947911858559   0.23907412588596344  0.018382739275693893  0.063771337270736694  0.018382739275693893   0.17385062575340271,   0.42701114711629629   -0.34501173975876043    0.68388150670983805    0.32071486539475558   -0.10082087051710431   0.062370422853064156 8.8817841970012523e-13,0.00025477560120634735
IIWA_14,1714664089.423887, 0.55974383711242204   1.0819650060061647 -0.16907290567166702  -1.5312259741569274  -1.0477322713847226   1.6553443743983665 -0.53906619551615953, 0.00050335853701590026 -1.8521291768488296e-07 -1.7416256931410292e-06  3.5426163379574595e-05   4.496072262169972e-06   1.210978455891662e-05 -1.8971769904852631e-05, -2.278790756225586   66.02834796142578  6.2910887145996091 -13.082238327026367  1.4728672218322754 -2.1633783798217774 0.33241667175292966,   2.7502382579456404    2.4947236409169165  0.052819393606139409  -0.14842216958670559   -1.0852233455708351   0.38472677314922255 -0.069142816755637312, 0.51583415269851685 0.014862134121358395  0.20512919127941132,-0.51011127233505249  0.51486092805862427 -0.48369565606117249 -0.49065595865249634,3.8651519389532041e-06 0.00027117959689348936 2.8111660412832862e-06,0.00084439612692221999    -1.0737115144729614 -0.0033599562011659145,   0.2530093789100647 -0.012208923697471619  0.063771307468414307 -0.012208923697471619   0.23907406628131866  0.018382884562015533  0.063771307468414307  0.018382884562015533    0.1738506406545639,    0.42701052159976882    -0.34501587034796444       0.683884550923608     0.32071794976218371     -0.1008179339105908    0.062372777997588003 -1.7763568394002505e-12,0.00024754871265031397
IIWA_14,1714664089.4288869, 0.55974611411259745   1.0819648862329447 -0.16907290567166702  -1.5312257943880143  -1.0477322713847226   1.6553441946294536 -0.53906631528937943, 0.00049376683662912891 -4.9390991344946117e-06 -1.3933005545128234e-06  3.5531687227215953e-05  3.5968578097359776e-06  2.4970711324588065e-06 -1.9968344719787921e-05, -2.278790756225586  66.030919960021976  6.3018427124023439 -13.080894077301025  1.4737475967407225 -2.1633783798217774 0.33241667175292966,  -37.820181797362245    7.4513206095007884   -28.894786127306659    -15.19169749663647   -1.9457874785861893    1.9465411218239597 -0.069114268724117744, 0.51583415269851685 0.014864691533148289  0.20512929558753967,  -0.510112464427948  0.51485967636108398 -0.48369684815406799 -0.49065485596656799,2.2608744529861724e-06 0.00026572801289148629 5.6794760894263163e-06,0.00084436906035989523    -1.0737115144729614 -0.0033599627204239368,  0.25300946831703186 -0.012208877131342888  0.063771232962608337 -0.012208877131342888   0.23907394707202911  0.018383216112852097  0.063771232962608337  0.018383216112852097   0.17385067045688629,    0.42700932599881725     -0.3450250594481119     0.68389164470339381      0.3207248852445943    -0.10081140630635588    0.062377253416734391 -8.8817841970012523e-13,0.00024259871861431748
IIWA_14,1714664089.4338875,0.55974827123046977  1.0819648862329447  -0.169072965558277 -1.5312257943880143 -1.0477322713847226  1.6553443743983665 -0.5390663752850724, 0.00048129818419632883 -3.9512793075956897e-06 -3.5101048426733887e-06  2.8425349781772763e-05  2.8774862477887822e-06  9.1884134206415359e-06 -1.8374503494599014e-05,-2.2530707702636721  66.030919960021976  6.2951214637756348 -13.075517078399658  1.4693457221984862 -2.1663821449279785 0.33041416168212889,  -37.820181797362245    7.4513206095007884   -28.894786127306659    -15.19169749663647   -1.9457874785861893    1.9465411218239597 -0.069114268724117744, 0.51583415269851685 0.014864691533148289  0.20512929558753967,  -0.510112464427948  0.51485967636108398 -0.48369684815406799 -0.49065485596656799,2.2608744529861724e-06 0.00026572801289148629 5.6794760894263163e-06,0.00084439781494438648    -1.0737115144729614 -0.0033599697053432465,  0.25300946831703186 -0.012208877131342888  0.063771232962608337 -0.012208877131342888   0.23907394707202911  0.018383216112852097  0.063771232962608337  0.018383216112852097   0.17385067045688629,    0.42700932599881725     -0.3450250594481119     0.68389164470339381      0.3207248852445943    -0.10081140630635588    0.062377253416734391 -8.8817841970012523e-13,0.00024259871861431748
IIWA_14,1714664089.4388876, 0.55974203942329248   1.0819672231197301 -0.16908932409302363  -1.5312407746580674  -1.0477339011731781   1.6553515049410255 -0.53906649505829241, 0.00013576626026535674   9.031444797050542e-05 -0.00065714947373933714 -0.00057647052229813274 -6.2889549222812263e-05  0.00029257243709631937 -1.9490531596025918e-05, -2.106466850280762  65.966619995117185  6.5451519126892093 -12.818765380859375  1.4939962196350098 -2.1860734939575197  0.3334179267883301,   -37.82017449355655    7.4513688074622344   -28.894732705292711   -15.191783164071579   -1.9456716481501426    1.9466732549744559 -0.069120793953967696,0.51583421230316162 0.01486591249704361 0.20512932538986206,-0.51011312007904053  0.51485913991928101 -0.48369741439819336 -0.49065417051315308,4.3484105844981968e-06 0.00026139186229556799  5.924146080360515e-06,0.00084441009676083922    -1.0737115144729614 -0.0033600658643990755,  0.25300949811935425 -0.012208852916955948  0.063771210610866547 -0.012208852916955948   0.23907387256622314  0.018383363261818886  0.063771210610866547  0.018383363261818886   0.17385070025920868,   0.42700868586997842    -0.3450291854898424    0.68389468458640579    0.32072795235027485   -0.10080835889070272   0.062380062736622222 5.3290705182007514e-12,0.00023867109848652035
IIWA_14,1714664089.4438879, 0.55957072499431681   1.0820016178869669 -0.16953315979464267  -1.5315583566231725  -1.0477633344056838   1.6554809346313626 -0.53906829274742196, -0.0067439641508143661   0.0014480422478470949   -0.018279147643753237   -0.013164455022043232  -0.0012276409396064301   0.0054112455631624562 -8.7499990459092777e-05, 6.9135322265625003  62.643597808837896  12.896731864929199 -6.5196111679077147  1.1902668762207032 -2.9460260658264161 0.36679309463500975,  -37.819973655783734    7.4513132732395446   -28.894519055338279   -15.191687015153871   -1.9455948810239097    1.9466732369099509 -0.069101260127665889,0.51583415269851685 0.01486700214445591 0.20512937009334564,-0.51011359691619873  0.51485854387283325 -0.48369795083999634 -0.49065372347831726,1.5362339809144032e-06  0.0002527020697016269 6.7177475102653261e-06,0.00084441003855317831    -1.0737113952636719 -0.0033600656315684319,  0.25300955772399902 -0.012208825908601284  0.063771173357963562 -0.012208825908601284   0.23907382786273956  0.018383502960205078  0.063771173357963562  0.018383502960205078   0.17385071516036987, 0.42700792358196793  -0.3450331137893059  0.68389751478470373  0.32073085548489644 -0.10080544460588925 0.062381816648304778                    0,0.00023073129705153406
IIWA_14,1714664089.4488876, 0.55950433234232178   1.0819899332348739 -0.17002876741602982  -1.5318074487050202  -1.0477898915101151   1.6555689587850237 -0.53907200789890097, -0.0080508774004530818  0.00069104771455757541   -0.034447622970488395   -0.020495247291540432  -0.0020443969289385472   0.0078499625969763349 -0.00021860605152772413,  12.72882105255127  62.386397949218754  16.352797908782961 -6.6392493934631345  1.1673771286010741 -2.7097298774719238 0.24130246353149415,   -37.80068332927182    7.4462987845780413   -28.877428376431208   -15.180206937067831    -1.947344393375867    1.9398211497688194 -0.067833282817473556, 0.51582968235015869 0.014854805544018745  0.20513230562210083,-0.51010400056838989   0.5148547887802124  -0.4836985170841217 -0.49066710472106934, -0.0001773725962266326 -0.00028567644767463207   0.0001227563334396109,0.00084438477642834187    -1.0737113952636719 -0.0033600858878344297,  0.25300997495651245 -0.012207872234284878   0.06377120316028595 -0.012207872234284878   0.23907490074634552  0.018381621688604355   0.06377120316028595  0.018381621688604355   0.17384923994541168,    0.42697071109731866    -0.34499135333909692      0.6838287841857138     0.32069257925293471    -0.10081018419860754    0.062324363439891783 -8.8817841970012523e-13,0.00032672358793206513
IIWA_14,1714664089.4538865, 0.55948353968952735   1.0819945471218346 -0.17062893738565468  -1.5322386411324549  -1.0477891244379087   1.6557889890622473  -0.5390734459411215, -0.0072724080321393192  0.00073739365007461006   -0.051564897161385279   -0.033643894930621282  -0.0016048346548940323    0.015081181166521233 -0.00023240653004318436, 14.598664031982423  62.934233650207524  16.604172607421877 -6.3206622085571293  1.3143997383117676 -3.0084376296997069 0.26600008773803713,  -37.361039392350889    7.3550428121286213   -28.463511525979534   -14.937421666631703   -1.9842548835382534    1.7853588750481575 -0.047460902318541637,  0.5157468318939209 0.014542820863425732  0.20521879196166992,-0.50985586643218994  0.51479864120483398 -0.48371747136116028 -0.49096512794494629,-0.003460954874753952 -0.012705377303063869 0.0035598441027104855,0.00084441911894828081    -1.0737118721008301  -0.003360135480761528,  0.25300931930541992 -0.012185413390398026  0.063778862357139587 -0.012185413390398026   0.23910222947597504  0.018330469727516174  0.063778862357139587  0.018330469727516174   0.17382286489009857, 0.42608778438602002  -0.3438614518822547   0.6820304536052646  0.31968950291361153 -0.10098229997179686 0.060964234989135946                    0,0.012450261041522026
IIWA_14,1714664089.4588881, 0.55948144245826492   1.0819932888485271 -0.17138526185437242  -1.5328574465279186  -1.0477967944618396   1.6560773894495084 -0.53907722097921051, -0.0059018156762087491  0.00053958398775779846   -0.071504896477817576     -0.0516673317630435  -0.0015906686811501243    0.023600960423664569 -0.00033692674759517075, 15.066767776489259   62.82363771057129  14.710124744415284 -6.0182060203552243  1.0714162635803222 -2.7674689178466796 0.33008041000366212,  -37.095834944395797     7.331789363412585   -28.149839116151696   -14.807067263220873   -1.9956176641979984     1.674823144266878 -0.043940315714132219, 0.51569974422454834 0.014283729717135429  0.20533569157123566,-0.50961947441101074  0.51475763320922852 -0.48378059267997742 -0.49119129776954651,-0.0046585071831941605  -0.020522970706224442  0.0075287511572241783,0.00084693013923242688    -1.0737226009368896 -0.0033633988350629807,  0.25299578905105591 -0.012163485400378704  0.063794143497943878 -0.012163485400378704   0.23912695050239563   0.01828274317085743  0.063794143497943878   0.01828274317085743   0.17381173372268677,    0.42523321218368437    -0.34286138020078738     0.68031847282767899     0.31880488934987739    -0.10104361964824449    0.059789030717460889 -8.8817841970012523e-13,0.020399929955601692
IIWA_14,1714664089.4638872, 0.55948222142052673   1.0819937082729629  -0.1723750390549261  -1.5336525399953109  -1.0478171196936437   1.6565091211836818 -0.53907901866834007, -0.0046902940504948056    0.000448444167640202   -0.096795005204401346   -0.073137604106129656  -0.0020855442170826452    0.036150037705864613 -0.00034144896325840864, 14.626956016540529  62.363249961853029  14.140162860870362 -5.2976881675720211 0.68229055404663086  -2.670013427734375 0.34076046371459962,  -36.803764089151905    7.2610682114356715   -27.802481824443952   -14.604405119237144   -2.0274474622371055    1.5170696690431731 -0.018699929438534088,  0.5155758261680603 0.013973974622786045  0.20547555387020111,-0.50931715965270996  0.51465040445327759 -0.48384979367256165 -0.49154898524284363,-0.0086945304647088051   -0.02879665419459343   0.011629156768321991,0.00089772942010313272    -1.0737318992614746 -0.0034536176826804876,  0.25299546122550964 -0.012135041877627373  0.063802778720855713 -0.012135041877627373   0.23915790021419525  0.018228931352496147  0.063802778720855713  0.018228931352496147   0.17378132045269012,   0.42412892290943915   -0.34175349427023605    0.67829437064670373    0.31777769949581369   -0.10107431974137882   0.058111703464369668 8.8817841970012523e-13,0.029434468597173691
