DesiredFlux,0.55,HitTime,1714663131.5674942,DesiredPos, 0.54695636034011841 -0.32449579238891602  0.19783739745616913
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714663130.8382537,  0.5710656938314127   1.0993619660610043 -0.20380163151604913  -1.4783704489422207  -1.0643684846992192   1.6446884210028709 -0.59288758921141227,  0.0015400559057392469  9.5587346761571166e-07 -8.6434560915189546e-06 -9.9289614389338651e-06  4.9366762531118615e-07 -0.00018942239528656237 -9.5909842578651007e-07,-2.4176786804199222  67.010851425170898  6.9847215728759764 -13.546004482269288  1.4429344749450683 -1.8433105201721192 0.30571653747558591, 0.61714486132344037   2.9368899079627373  0.75508000382514162    1.035234059879204 -0.78154246263109395 -0.10288971962630239  0.39138007113161244, 0.53835028409957886 0.017167314887046814  0.21090893447399139, 0.51485401391983032 -0.50461137294769287  0.49202835559844971   0.4880581796169281,-5.4234851631917991e-06  0.00084852264262735844 -3.8582267734454945e-05,  0.004966584499925375   -0.60260909795761108 -0.0075438786298036575,  0.24725165963172913 -0.010922075249254704  0.067285254597663879 -0.010922075249254704     0.239439457654953  0.017176669090986252  0.067285254597663879  0.017176669090986252   0.17889545857906342,  0.38091468165646347  -0.32695869625509744   0.62435642417479897   0.32032291106443012 -0.059457376758054181   0.07023364992519987                     0,0.00077517377212643623
IIWA_14,1714663130.8432534, 0.57107240505871892   1.0993618461787014 -0.20380145174713618  -1.4783703291690007  -1.0643683888806432    1.644687701927219 -0.59288746943819226,  0.0015004938168402767 -4.0305933448494601e-06  2.7599164478999476e-07  -3.152240350800387e-06  4.2276771387499563e-06 -0.00018030094230571142  4.0236500597174974e-06,-2.4331106719970705   66.98770343780518  6.9793445739746094 -13.532561985015869  1.4411737251281738 -1.8406405067443847 0.30538278579711914, 0.61015168043888113   2.9429033630238948  0.75331396674715079   1.0268968100122244 -0.77759520847677788 -0.10194863234232707  0.39140126263609315, 0.53835028409957886 0.017170988023281097  0.21090881526470184, 0.51485592126846313 -0.50460958480834961  0.49203008413314819  0.48805630207061768,-5.0413882490829565e-06  0.00082578667206689715 -3.5889752325601876e-05, 0.0049666352570056915   -0.60260909795761108 -0.0075437747873365879,  0.24725180864334106 -0.010921984910964966  0.067285142838954926 -0.010921984910964966   0.23943930864334106  0.017177095636725426  0.067285142838954926  0.017177095636725426   0.17889544367790222,   0.38091195440248526   -0.32697064983455704    0.62436474982607848    0.32033123667396524  -0.059447800961898167   0.070241796644054943 8.8817841970012523e-13,0.00075433461461216211
IIWA_14,1714663130.8482537, 0.57107917617263515   1.0993618461787014 -0.20380169140265908  -1.4783703890556106  -1.0643684846992192   1.6446867431960444 -0.59288764920710524,  0.0014712396101212739 -3.2244746758795683e-06 -9.3654276001260693e-06 -4.9172566763727702e-06 -4.5060132750104224e-07 -0.00018259000083143762 -3.9718364713413836e-06,-2.4511146621704101  66.977415443420412  6.9820330734252929 -13.541971733093261  1.4438148498535157 -1.8376367416381836 0.30538278579711914, -23.617566633999257   4.2680186609887443  -16.506150834119619  -8.7896623233063167 -0.67394357331231713   2.2541957687146708  0.39137200256214605, 0.53835028409957886 0.017174705862998962   0.2109086811542511, 0.51485788822174072 -0.50460803508758545  0.49203163385391235  0.48805427551269531,-4.0962599996419158e-06  0.00080930523108690977 -3.3748983696568757e-05, 0.0049665872938930988   -0.60260897874832153 -0.0075436155311763287,  0.24725194275379181 -0.010921931825578213  0.067285031080245972 -0.010921931825578213   0.23943915963172913  0.017177537083625793  0.067285031080245972  0.017177537083625793   0.17889545857906342,   0.38091058752609541   -0.32698281244947225    0.62437422647132479    0.32033991719782051  -0.059438964166602659   0.070250598775523088 3.5527136788005009e-12,0.00073921959847211838
IIWA_14,1714663130.8532538, 0.57108552775303245   1.0993619061743944 -0.20380163151604913  -1.4783702691733076  -1.0643685805177951   1.6446862638849984 -0.59288746943819226,  0.0014310549039890721 -1.7975201749408603e-07 -5.0968776821479491e-06   8.614867778438133e-07 -4.1932241005018413e-06 -0.00016524444250372758  4.0132873420422756e-06,-2.4614026565551761   66.98770343780518  6.9739675750732424 -13.531217735290527   1.448216724395752 -1.8399730033874511 0.30438153076171875, -23.617281085444336   4.2679771596270992  -16.505758507161083  -8.7896027897957651 -0.67367880774168443   2.2544336791212047  0.39142007288993624, 0.53835028409957886 0.017178261652588844  0.21090856194496155, 0.51485985517501831 -0.50460624694824219  0.49203324317932129   0.4880523681640625,-2.3254444840858923e-06  0.00078972504707053304 -3.1786719773663208e-05, 0.0049665491096675396   -0.60260897874832153 -0.0075434893369674683,  0.24725207686424255 -0.010921834968030453  0.067284926772117615 -0.010921834968030453   0.23943902552127838  0.017177935689687729  0.067284926772117615  0.017177935689687729   0.17889545857906342, 0.38090763273057604 -0.32699413906378538  0.62438177309598331  0.32034768736277641 -0.05942963814575819 0.070259004989026153                    0,0.00072128622559830546
IIWA_14,1714663130.8582528, 0.57108426937064172   1.0993625053677434 -0.20381715109284093  -1.4783820137120105  -1.0643683888806432   1.6446965702723977 -0.59288746943819226,   0.001094508627561891  2.3823932343524229e-05 -0.00062486057381773365 -0.00046909235869355788  4.3109067966005423e-06  0.00028005994196880963  3.2106298736338208e-06,-2.3096547393798827  66.995419433593753  7.2105555267333985 -13.340334274291992  1.4499774742126466 -1.8720131645202636 0.30605028915405275, -23.616890920868723   4.2679691705921794  -16.505367527461434  -8.7895484182479002 -0.67342778042528595   2.2545828432330763  0.39139739353155745, 0.53835028409957886 0.017181726172566414  0.21090845763683319, 0.51486164331436157 -0.50460469722747803  0.49203485250473022  0.48805055022239685,-1.9520164187269984e-06  0.00077031616820022464  -2.978982956847176e-05, 0.0049665044061839581   -0.60260885953903198 -0.0075433435849845409,   0.2472522109746933 -0.010921770706772804  0.067284822463989258 -0.010921770706772804   0.23943889141082764  0.017178352922201157  0.067284822463989258  0.017178352922201157   0.17889547348022461,    0.38090583385930188    -0.32700562024512436     0.62439046107432006     0.32035584948530982    -0.05942093048982855    0.070266725344936276 -8.8817841970012523e-13,0.00070351484464481473
IIWA_14,1714663130.8632526, 0.57094495282642443   1.0993682577547916 -0.20423839656161913  -1.4786550742913929  -1.0643670465479156   1.6448838238116841 -0.59288728966927939,-0.0046970548666417991 0.00024915462780491203  -0.017349707210182086  -0.011297697062249529 5.7142034542820701e-05   0.007714189525030714 9.7592604135815467e-06, 5.8873047866821295  65.763432106018072  13.228761547088624 -8.8397861938476563   1.243089370727539 -2.6813609848022462 0.35644679260253909, -23.598125372579581   4.2648984609516143  -16.488536748279966  -8.7797226777982917 -0.67485568325845358   2.2477196918669979  0.39212483155610733, 0.53834623098373413 0.017173098400235176  0.21091264486312866, 0.51485204696655273 -0.50460171699523926  0.49203649163246155   0.4880620539188385,-0.00016358695575036108  0.00027111664530821145  0.00014386347902473062,  0.004966468084603548   -0.60260891914367676 -0.0075432197190821171,  0.24725233018398285 -0.010921049863100052  0.067284964025020599 -0.010921049863100052   0.23943965137004852  0.017177080735564232  0.067284964025020599  0.017177080735564232   0.17889463901519775,  0.38087827126265239  -0.32697863543429406   0.62434261156507631   0.32032986954000364 -0.059422085451288353  0.070214112368738313                     0,0.00031739645055495203
IIWA_14,1714663130.868238, 0.57090085086513731   1.0993562136739561 -0.20470050826033429  -1.4788807372915278  -1.0643703062993595   1.6450628081991407 -0.59288794874923811, -0.0055217223447984022 -0.00028243953117804274   -0.032364233716751921   -0.018064677655197009 -8.4676430121135242e-05    0.013330727118291412 -1.8555790017945832e-05, 10.411450317382814  64.847800605773926  16.277519924163819 -8.3061190528869631  1.1700182533264161 -2.7013860855102538 0.30838655090332029, -23.179734799074474   4.2054103844652211  -16.093859388248372   -8.567905596579493 -0.70794800405631375   2.0960592049164175  0.40571851196978681, 0.53826701641082764 0.016892919316887856  0.21101915836334229, 0.51459437608718872 -0.50456911325454712  0.49205800890922546  0.48834574222564697,-0.0033027487806975842  -0.010987847112119198  0.0043773953802883625, 0.0049664354883134365   -0.60260909795761108 -0.0075431093573570251,  0.24724723398685455 -0.010901565663516521  0.067293763160705566 -0.010901565663516521   0.23946207761764526  0.017133396118879318  0.067293763160705566  0.017133396118879318   0.17887872457504272,     0.3801276952266619    -0.32601661763997924     0.62282997339035973     0.31945936026911426   -0.059588073467509162    0.068875415483837799 -1.7763568394002505e-12,0.011206732131540775
IIWA_14,1714663130.8733637, 0.57087065056042541   1.0993565731026989 -0.20527371376568049  -1.4791889714913256  -1.0643685805177951   1.6453734392814168 -0.59288603128688866, -0.0056253900643148261 -0.00021157447523168055   -0.048819607187249647   -0.026781110116067697  1.2901184759413339e-06    0.023089824985674127   6.185386196382118e-05, 13.042604881286621   65.96919199371338  16.621647853851318 -8.5870672454833983  1.2712613677978515 -2.7694714279174804  0.3090540542602539, -22.922554800160942   4.1905053915699124  -15.792149161021971  -8.4435105987566299 -0.71976381983019855   1.9797249293109886  0.40932645113311611, 0.53820914030075073 0.016660230234265327  0.21114833652973175,  0.5143427848815918 -0.50453203916549683  0.49212059378623962  0.48858600854873657,-0.0049631739966571331  -0.018092373386025429  0.0086729973554611206, 0.0049710115417838097   -0.60261392593383789 -0.0075489236041903496,  0.24723409116268158 -0.010881952941417694  0.067306242883205414 -0.010881952941417694   0.23948267102241516  0.017094314098358154  0.067306242883205414  0.017094314098358154   0.17887219786643982,    0.37937887514161162    -0.32519523994434252      0.6214189846067697     0.31870736205963368   -0.059632570899914583    0.067642814305379773 -8.8817841970012523e-13,0.01886170357465744
IIWA_14,1714663130.8782506, 0.57084931870997524   1.0993592096407001 -0.20600726812356129  -1.4796121345315363  -1.0643704021179354   1.6458302780132124 -0.59288603128688866, -0.0053535860694585834 -6.3798060135145969e-05   -0.068397860065031957   -0.038351409701283271 -7.1831910830597465e-05    0.036745409260362641  4.9483089571056945e-05, 14.156280273437501  66.033491958618171  15.526084327697754 -9.1126688880920419  1.2237211227416993 -2.6990498237609861 0.32674289321899413, -22.636026619679718   4.1589007270243501  -15.447034922453257  -8.2824833327893632 -0.73779414793881015   1.8260361487566819  0.41943930871755197,  0.5381130576133728 0.016377445310354233  0.21131475269794464, 0.51400840282440186 -0.50446343421936035  0.49220335483551025  0.48892524838447571,-0.0078220982104539871   -0.02577311173081398   0.013603882864117622, 0.0050681652501225471   -0.60261589288711548 -0.0076884226873517036,  0.24722295999526978 -0.010858515277504921  0.067318804562091827 -0.010858515277504921   0.23950810730457306  0.017049690708518028  0.067318804562091827  0.017049690708518028   0.17885896563529968,   0.37848161823994531     -0.324261761514677    0.61977607511565225    0.31784422860425821  -0.059664002986181686   0.065956321913418492 8.8817841970012523e-13,0.027536476030945778
IIWA_14,1714663130.8832512, 0.57083056340183336   1.0993587902162643  -0.2069435357109104  -1.4801670640397864  -1.0643723197111847   1.6465057088709281 -0.59288591140458569, -0.0050330811812421593 -6.7815425542079995e-05   -0.092168991545989745   -0.052878308091030238 -0.00013416925863651654    0.056413561716918456  4.4381763775787591e-05,  13.84506844329834  66.102935920715339  14.848582466125489 -8.7940817031860359 0.94376190185546871   -2.62262068939209 0.33475293350219726, -22.289128466541708   4.1119561948128762  -15.024311420206464  -8.0734693515999929 -0.76069518600441077   1.6244598888122872  0.43612299470076621, 0.53797310590744019 0.016018906608223915  0.21153563261032104, 0.51356709003448486 -0.50435656309127808  0.49231380224227905  0.48938781023025513,-0.011872396804392338 -0.034935381263494492  0.019735470414161682, 0.0051566888578236103   -0.60261869430541992 -0.0078471070155501366,  0.24721233546733856 -0.010828858241438866  0.067332878708839417 -0.010828858241438866   0.23954056203365326  0.016995307058095932  0.067332878708839417  0.016995307058095932    0.1788385808467865,   0.3773458960969478  -0.32312790355604193   0.61774641417855491   0.31678404572055285 -0.059677451558215466  0.063692924948455243                     0,0.038185268640518188
