DesiredFlux,1.01,HitTime,1714664174.9372971,DesiredPos, 0.50153815746307373 -0.30889493227005005   0.1983591765165329
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714664174.3658955, 0.57303398300486308    1.212727880055017 -0.11020165922183336  -1.4399339238182862  -1.0372345697195824   1.8027048605764484 -0.47347078014369109,  0.0001023442983527957 -1.2248578290401163e-05  3.5606054805780477e-06   0.0010285722291084988 -8.5080003517166642e-06 -3.0538732254101794e-06 -8.9750749729039717e-07,   -1.8698429794311524     67.815886985778818     4.8594627571105953    -11.899298568725586     1.3496147346496581    -2.1009668159484862 -0.0056737785339355468,  0.91880042253606742   -8.0850625232623443   -1.3214977028292216    2.0522047207883376   -2.4196291864594519 -0.024162202500041904  0.051557107222312659, 0.50141292810440063 0.047601703554391861   0.1692047119140625, 0.47504910826683044 -0.49641108512878418  0.50285935401916504  0.52443957328796387,0.00035203836159780622 0.00027506719925440848 7.5157528044655919e-05,0.00030529985087923706    -1.1036980152130127   0.069041065871715546,  0.26145794987678528 -0.014629967510700226   0.05662165954709053 -0.014629967510700226   0.23726542294025421  0.029133046045899391   0.05662165954709053  0.029133046045899391   0.16579288244247437,    0.51939579256288226    -0.56364697082589288     0.99715094313790331     0.55682764162501286   -0.079790202314633518    -0.11429173845378671 -3.5527136788005009e-12,0.00041376697481609881
IIWA_14,1714664174.3708978, 0.57303404289147308    1.212727760172714 -0.11020195876396624  -1.4399312872802847  -1.0372346655381581   1.8027049804587514  -0.4734706603704712,  8.427090308240991e-05 -1.4594154751262961e-05  -9.133200930558757e-06  0.00092831930334587938 -1.0639143310992555e-05  2.3521935386138856e-06  4.0729227980734957e-06,   -1.8904189682006838     67.751587020874027     4.8675282554626467    -11.946347309112548     1.3628203582763672    -2.0909542655944824 -0.0076762886047363277,   0.9175529132166832   -8.0870164291622846     -1.32347361185843    2.0530448685629823   -2.4207592369411186 -0.023726845059520454  0.051429814717093916, 0.50141435861587524 0.047602839767932892  0.16920502483844757, 0.47504901885986328 -0.49641260504722595  0.50285995006561279  0.52443766593933105,0.00033849180908873677 0.00026553825591690838 7.2831506258808076e-05,0.00030077568953856826    -1.1036980152130127   0.069038160145282745,  0.26145753264427185 -0.014630164951086044  0.056621968746185303 -0.014630164951086044   0.23726525902748108  0.029133206233382225  0.056621968746185303  0.029133206233382225   0.16579340398311615,    0.51940358059177072    -0.56365125182988862     0.99715906543895727     0.55683354725655221   -0.079790613641606001    -0.11428700240578848 -8.8817841970012523e-13,0.00039851723704487085
IIWA_14,1714664174.3758957, 0.57303422266038606   1.2127277002861041 -0.11020177899505329  -1.4399294297045453  -1.0372346655381581   1.8027047406941454  -0.4734706603704712, 7.4607478985043319e-05 -1.4070788196742831e-05 -1.1580422644184679e-07    0.000816958472254708  -8.511314648794045e-06 -7.7088294069929504e-06  3.2583382384587969e-06,   -1.9058509597778321     67.774735008239745     4.8487087593078613    -11.951724308013915     1.3672222328186034     -2.098296802520752 -0.0076762886047363277,  -36.65985466315901   4.4569055336146501  -23.418602586646152  -12.784020319597843  -1.5262659953156945  -3.4088894074519276 0.051430384579112233,  0.5014154314994812 0.047603726387023926  0.16920529305934906,0.47504881024360657 -0.4964137077331543   0.502860426902771   0.524436354637146,0.00031386932823807001 0.00024786256835795939 6.9109839387238026e-05,0.00029653662932105362    -1.1036981344223022    0.06903626024723053,  0.26145720481872559 -0.014630327001214027  0.056622210890054703 -0.014630327001214027   0.23726512491703033  0.029133336618542671  0.056622210890054703  0.029133336618542671   0.16579380631446838,  0.51940986360587971  -0.56365469593266937   0.99716554765105769   0.55683835149178407 -0.079791040942467362  -0.11428400499635671                     0,0.00037068428355269134
IIWA_14,1714664174.3808966, 0.57302733177324994   1.2127335725554556 -0.11021705891632219   -1.439945968008205  -1.0372329397565938    1.802688502150785  -0.4734706603704712,-0.00021594950225692366  0.00022363414350052221 -0.00061128949413721074 -7.9653685827677911e-06  6.2222210853814296e-05 -0.00065570879794215318  2.6066705907670377e-06,   -1.7926830215454101     67.586979110717778     5.0409364700317383     -11.71513635635376     1.3452128601074218    -2.0482340507507324 -0.0050062751770019532, -36.658926038068955   4.4565755727809728  -23.417927252299567  -12.783354289060185   -1.526391400441546  -3.4090947834912368 0.051476518777340122, 0.50141626596450806 0.047604169696569443  0.16920560598373413, 0.47504845261573792 -0.49641460180282593  0.50286084413528442  0.52443534135818481,0.00028568808920681477 0.00021605922665912658 6.7990156821906567e-05,0.00029314472340047359    -1.1036981344223022   0.069034457206726074,  0.26145696640014648 -0.014630438759922981  0.056622419506311417 -0.014630438759922981   0.23726506531238556  0.029133398085832596  0.056622419506311417  0.029133398085832596   0.16579410433769226,    0.51941415088307963    -0.56365627034171695     0.99716920567338718     0.55684104172204485   -0.079791392162853469    -0.11428228517385008 -1.7763568394002505e-12,0.00033298254129476845
IIWA_14,1714664174.3858986, 0.57289143062021264   1.2128344197522143 -0.11059941561320591  -1.4403306615918741  -1.0372141484946693   1.8022675562241397 -0.47347078014369109, -0.0056088057232974945   0.0042127951851498348   -0.015783299470658478   -0.015394115641630396  0.00080142824566305508     -0.0173624041041666 -2.7055923232921829e-06,    6.3734125213623054     60.269643104553225     10.642425075531007    -4.4252700958251951     1.0423638916015625   -0.97522240447998043 0.00066750335693359375,-36.658297387160282  4.4560167398614068  -23.41773501111506   -12.7826397710599 -1.5265926267337271 -3.4091557968943729 0.05163912620714798, 0.50141686201095581 0.047604672610759735  0.16920566558837891, 0.47504854202270508 -0.49641522765159607  0.50286102294921875  0.52443450689315796,0.00025154868490062654 0.00019291900389362127 5.6569617299828678e-05,0.00029060043743811548    -1.1036982536315918   0.069032922387123108, 0.26145678758621216  -0.0146305151283741 0.056622534990310669  -0.0146305151283741   0.2372649759054184 0.029133465141057968 0.056622534990310669 0.029133465141057968  0.16579431295394897,   0.51941721398840457   -0.56365810377201342     0.9971725836876999    0.55684347387341404  -0.079791521767624829   -0.11427986284040514 4.4408920985006262e-12,0.00029410418937914073
IIWA_14,1714664174.3909056, 0.57285110369701453   1.2128129081328511 -0.11104930335308934  -1.4406138487897424  -1.0372276667678577   1.8015250136387773 -0.47347101979921402, -0.0061001215065623355   0.0025097713735940303   -0.030622149171863917   -0.023642780428038353  0.00010041166899418482   -0.043591626697830795 -1.1750694775702036e-05,   10.558054237365724    60.555134948730469    12.888666366577148    -5.110837455749512   0.51325857162475585   -1.9838199768066407 0.0016687583923339843, -36.642086237727582   4.4472443406608093   -23.40710382448934  -12.772086592812423  -1.5298562461995802   -3.409435407386161 0.054217509931697334, 0.50141429901123047 0.047592252492904663  0.16920182108879089, 0.47504723072052002 -0.49641203880310059  0.50285828113555908  0.52444136142730713, 9.7769094281829894e-05 -0.00034243304980918765  -0.0001086497213691473,0.00028862009639851749    -1.1036982536315918   0.069031126797199249, 0.26145768165588379 -0.01462897751480341 0.056622233241796494 -0.01462897751480341  0.23726664483547211 0.029130475595593452 0.056622233241796494 0.029130475595593452   0.1657920777797699,  0.51935530786728634  -0.56358632720243662   0.99705906652935994   0.55677237585083361 -0.079795630467671685  -0.11429914089777782                     0,0.00034004938788712025
IIWA_14,1714664174.3959215, 0.57282701542626002   1.2128003846318864 -0.11167446043803346  -1.4410870459472016  -1.0372228730465343   1.8003805201995173  -0.4734706603704712,-0.0058436280354301727  0.0015068770602871973  -0.049504002735256028  -0.037842110640798413 0.00027207818813328194  -0.080653038928661852 4.9765938924124731e-06,    12.595077125549317     60.971798721313483     13.497611492156983     -6.027615768432617      1.282706241607666    -1.3610393447875977 0.00066750335693359375,-36.312106973593828  4.2888909024587791 -23.170173945393465 -12.578793058261645 -1.5862603213568494  -3.400766785680172 0.10002371138673749, 0.50137048959732056 0.047309760004281998  0.16912753880023956, 0.47502481937408447 -0.49634474515914917  0.50281292200088501  0.52456885576248169,-0.0016775672556832433  -0.011574029922485352 -0.0030557452701032162,0.00028720812406390905    -1.1036989688873291   0.069030821323394775,  0.26147395372390747 -0.014592106454074383  0.056618932634592056 -0.014592106454074383   0.23730464279651642  0.029059538617730141  0.056618932634592056  0.029059538617730141   0.16574528813362122,    0.51787958256710453    -0.56191611589540003     0.99436682704201473     0.55511078973324857   -0.079832420116332514    -0.11466116810154858 -8.8817841970012523e-13,0.011039689183235168
IIWA_14,1714664174.4009337, 0.57280208819755074   1.2127837864416169 -0.11250802325288434   -1.441800586723633  -1.0372171206158525   1.7988451012603281 -0.47347042060586519, -0.005671991576715405 0.00054157403744749125  -0.072945714782239907  -0.058815319569893776  0.0004477597777783672   -0.12593918871049675 1.3571859354034484e-05,   13.909368408203125     60.43682301330567    12.903453113555909   -5.6834878387451173   0.90150390624999999   -1.2342137069702148 0.0030037651062011718,-36.158198394634645  4.2556924296924947 -23.027049828798031 -12.548363454361807 -1.5959674800145556 -3.3105784997936039 0.10909782409659324,0.50142061710357666 0.04707973450422287 0.16906636953353882, 0.47509577870368958 -0.49636200070381165  0.50280696153640747  0.52449393272399902,0.00065856467699632049  -0.018461821600794792 -0.0048866528086364269,0.00029333520797081292    -1.1037129163742065   0.069053657352924347,  0.26146981120109558 -0.014553154818713665  0.056633010506629944 -0.014553154818713665   0.23733428120613098  0.028981348499655724  0.056633010506629944  0.028981348499655724   0.16572777926921844,   0.5163674764956383  -0.56023170054864124   0.99148723523345694   0.55343593315448913 -0.079713848659679343   -0.1143071841394061                     0,0.017452152445912361
IIWA_14,1714664174.4058957, 0.57277883877566793   1.2127744986720024 -0.11356658987882842  -1.4426876590426054   -1.037229488367998   1.7968979043908881 -0.47346970153021334, -0.0054675701366847015  6.1748445377684093e-05    -0.10069923686355534   -0.082535148414812964 -0.00013650226359833249    -0.17863922574599758   3.962051355746867e-05,   14.122844291687013    60.441967010498047    12.906141613006591   -4.3513363609313966   0.60833906173706054   -1.3657118682861329 0.0030037651062011718,-35.961389693820337  4.1724704716649148 -22.866047107946638 -12.482541848887379 -1.6251351574780306 -3.1748101642367819 0.13706765773888935, 0.50146853923797607 0.046757511794567108  0.16894327104091644, 0.47524517774581909 -0.49636635184288025   0.5027775764465332  0.52438265085220337, 0.0024316811468452215   -0.02766076847910881 -0.0088219540193676949,0.00039851441397331655    -1.1036983728408813   0.069478005170822144,  0.26147422194480896 -0.014491928741335869    0.0566447414457798 -0.014491928741335869   0.23737680912017822  0.028866585344076157    0.0566447414457798  0.028866585344076157   0.16569364070892334,   0.51400944475155086   -0.55779575960102079    0.98719849485195965    0.55096623459149896  -0.079505724540851475   -0.11367960355102014 1.7763568394002505e-12,0.026608657091856003
IIWA_14,1714664174.4108968, 0.57275546958056534   1.2127622747131708 -0.11484542643751892  -1.4437275901336275  -1.0372268996956515   1.7944473700549699 -0.47346922221916754, -0.0053088239134516033 -0.00043955959696197666    -0.13171285183846437    -0.10762536237273328 -5.6549170193917069e-06    -0.24093275403352774  5.0868852677891071e-05, 14.526648071289063  60.138471176147462  13.504332740783692 -4.2397636337280273 0.92879552841186519 -1.2512350425720216 0.00534002685546875, -35.69605259877742  4.0429362582099433 -22.658463231170355 -12.367418815088085 -1.6700558315185072 -3.0143479192060423 0.18356883592786064, 0.50150752067565918 0.046315673738718033   0.1687723845243454, 0.47545409202575684 -0.49634441733360291  0.50273048877716064  0.52425915002822876, 0.003480265149846673 -0.039806507527828217 -0.013869375921785831,0.00028019098681397736    -1.1036936044692993   0.069827765226364136,  0.26148772239685059 -0.014406323432922363  0.056654397398233414 -0.014406323432922363   0.23743553459644318  0.028711182996630669  0.056654397398233414  0.028711182996630669   0.16563951969146729,   0.51071827532123137   -0.55450115952648815     0.9813490382555301    0.54759043048235867  -0.079200948448487907   -0.11289057526031598 1.7763568394002505e-12,0.038628235459327698
