DesiredFlux,0.93,HitTime,1714664044.3523004,DesiredPos,0.51242274045944214  0.3510364294052124 0.21975156664848328
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714664043.8022048,-0.45403961779261781   1.0365153124880686 0.044982488621374363  -1.5135891497941614   -1.954126908500049  -1.8013433927133193 -0.99869495622159654,-4.3128210556069079e-05  2.0798492546245827e-06    0.001937773694385614  -1.264784804378145e-05  7.5372769400459139e-06  9.8677984180386084e-06 -4.3716663612316545e-06,-0.44494665908813474   60.188781452178958  -3.0998000526428222  -13.343842487335206  -1.5758710861206053   1.7962515335083007 -0.13617068481445313,0.0083152898375851159   -1.5635597277714621  -0.22267650705629802   0.54936776461674885 -0.088444621166108336   0.66570745721284708  -0.57675462177500214,   0.51447880268096924 -0.0016654075589030981    0.21693718433380127,   -0.69949644804000854 -0.00055132911074906588   0.0087993908673524857     0.71458166837692261,9.9477198091335595e-05 0.00067308906000107527 0.00041380373295396566,-0.00038141792174428701       1.018357515335083  0.00052314013009890914, 0.25625672936439514 0.020339205861091614 0.060717739164829254 0.020339205861091614  0.23752139508724213 -0.01770598441362381 0.060717739164829254 -0.01770598441362381  0.17572590708732605,  -0.72124664765116364   -0.27746437900866283   -0.84456273675392879    0.40181209595591127    0.44200535525629192   0.063918988259636933 2.2115197673144849e-05,0.00072725728387013078
IIWA_7,1714664043.8072028,-0.45403704125030958   1.0365154322612884 0.044992675126470552  -1.5135894494453772   -1.954126908500049  -1.8013433927133193 -0.99869495622159654, 6.8559123884354102e-05  6.4548081951645876e-06   0.0019576791593560673 -2.2104327068641678e-05  6.0298215520367313e-06  7.8942387344308864e-06 -3.4973330889853239e-06, -0.3051446876525879   60.172650455474852  -3.0549009323120115  -13.349124736785889  -1.5793925857543945   1.7989215469360351 -0.13717193984985351,   25.618224761341974    1.7583281157969424    17.292239578216449   -6.3592618178386724 0.0099251832118042102    1.5010139016571442  -0.57670675163625362,   0.51447910070419312 -0.0016626868164166808     0.2169385701417923,   -0.69949442148208618 -0.00055361527483910322   0.0087998630478978157     0.71458369493484497,9.2247573775239289e-05 0.00064730155281722546 0.00038622331339865923,-0.00038137478986755013      1.0183577537536621  0.00052267615683376789,  0.25625628232955933  0.020338986068964005  0.060718126595020294  0.020338986068964005   0.23752175271511078 -0.017705356702208519  0.060718126595020294 -0.017705356702208519   0.17572601139545441,  -0.72123671312596116   -0.27745372107190747   -0.84453916809046348    0.40180521637278588    0.44200792581516879   0.063931434687525268 2.2117585984915422e-05,0.0006935038254596293
IIWA_7,1714664043.8121912, -0.4540063016388588   1.0365223232575076 0.045036717201147693  -1.5136167734474819  -1.9541267166883642  -1.8013339251747917 -0.99869477645268367, 0.0012844317571387132 0.00028080369532412617  0.0033278263145704763  -0.001110643545842935 1.2496324631936631e-05 0.00038501693209140993 4.3928900434862303e-06,-0.35353767776489259   60.079897224426269  -3.4308210182189942   -13.01986452102661  -1.6014019584655761   1.7585375938415528 -0.13917444992065431,  25.617215098878393   1.7577214646310719   17.291895929676713  -6.3588865777381871  0.01021347852782848   1.5013622743629313 -0.57658303760079166,   0.51447951793670654 -0.0016588350990787148    0.21694010496139526,   -0.69949215650558472 -0.00055678590433672071   0.0088008800521492958     0.71458584070205688,9.0170848125126213e-05 0.00067190889967605472 0.00037027604412287474,-0.00038133212365210056      1.0183577537536621   0.0005222586914896965,  0.25625565648078918    0.0203387551009655  0.060718603432178497    0.0203387551009655   0.23752221465110779 -0.017704535275697708  0.060718603432178497 -0.017704535275697708   0.17572616040706635,  -0.72122564960519497   -0.27743899477439271   -0.84450961220916554    0.40179528584616264    0.44201243468844353    0.06394790843344822 2.2120743459197456e-05,0.00070543854963034391
IIWA_7,1714664043.8171668,-0.45351620674899717   1.0365703200301037 0.045595601516399714  -1.5138385415272251   -1.954122690039247   -1.801236673138126 -0.99869507610389963,   0.020631341000175982   0.0021445138601052338    0.025017633661737239  -0.0097592380264010514  0.00017106302439555963   0.0041980950123040733 -8.4717366032684277e-06, -9.6826307716369637   57.589002483367921  -10.254606933593751  -9.6673968696594237    -1.36193998336792   1.8957095336914063 -0.18856969833374024,  25.615237922743415   1.7574804109658959   17.290136952691025  -6.3583150851612809 0.010524499222261004   1.5022376535921209 -0.57643237118981194,   0.51447993516921997 -0.0016538215568289161    0.21694196760654449,    -0.6994892954826355 -0.00056077894987538457   0.0088024437427520752     0.71458864212036133,8.7417422037106007e-05 0.00073806708678603172 0.00037113088183104992,-0.00038125895662233233      1.0183578729629517  0.00052187551045790315,  0.25625494122505188  0.020338475704193115  0.060719180852174759  0.020338475704193115   0.23752281069755554 -0.017703501507639885  0.060719180852174759 -0.017703501507639885   0.17572630941867828,  -0.72121212695019921   -0.27742020600918238   -0.84447263232600989    0.40178234059506934    0.44201866767767939   0.063969598961932661 2.2124886811525357e-05,0.00075865705730393529
IIWA_7,1714664043.8221662,-0.45298698343171817   1.0365414381034754 0.046221178025779713  -1.5139875054879659  -1.9541105140987862  -1.8010023216708084  -0.9986938776081189,  0.037674005491300941 0.00056033402295177764   0.045037167304589759  -0.013765948850753728 0.00062388803794716674    0.01273253470254484 4.1162441946578688e-05, -19.111198345184327    57.82827893447876  -15.848509101867675  -10.174492816925049  -1.2466108703613281   1.7281661911010742 -0.12181936264038086,  25.583296779277418   1.7456913014231494   17.264999302058328  -6.3398198259611709 0.018750504111659162   1.5107028947171186 -0.57944302800692138,   0.51447421312332153 -0.0016179048689082265    0.21694207191467285,    -0.6994747519493103 -0.00057292100973427296   0.0088250301778316498     0.71460258960723877,-0.00015790210454724729   0.0020271048415452242  0.00030068313935771585,-0.00038120674435049295      1.0183581113815308  0.00052147149108350277,  0.25625407695770264  0.020335998386144638  0.060720108449459076  0.020335998386144638   0.23752684891223907 -0.017697392031550407  0.060720108449459076 -0.017697392031550407   0.17572323977947235,  -0.72109966933098235   -0.27729935127407401   -0.84423739836125833    0.40167169723304141    0.44205422568310837    0.06409869196577489 2.2149011513761252e-05,0.0018770209280773997
IIWA_7,1714664043.827203, -0.4526650871217851   1.0365383821410383 0.046823565108970011  -1.5142296466869842  -1.9541040904144742  -1.8007119439345878 -0.99869657403273016,   0.043015056790363451  0.00032602872087726041    0.060125217171283718   -0.020698407041336218  0.00075605780283889777    0.021801137210861805 -7.4927030893108895e-05, -22.408642921447754    57.94791716003418   -16.01137845993042  -10.462375411987304  -1.4816709709167479   1.9938325271606445 -0.11914934921264649,  25.104024261699948   1.7056414199880956   16.846954270714168  -6.1709039935172729 0.090983173702790923   1.6460917181145813 -0.59088083223657373,  0.51444154977798462 -0.001131011638790369   0.21698172390460968,   -0.69930797815322876 -0.00081805541412904859   0.0090964948758482933     0.71476215124130249,-0.0014437208883464336   0.021095927804708481  0.0018299884395673871,-0.0003811706556007266     1.0183583498001099 0.00052103190682828426,  0.25622346997261047  0.020313385874032974   0.06074349582195282  0.020313385874032974   0.23757870495319366 -0.017615387216210365   0.06074349582195282 -0.017615387216210365   0.17570334672927856,  -0.71998258749061961   -0.27564042732208804   -0.84132169544304247    0.40026077847343799    0.44266080076038605   0.065867003570474481 2.2481677852681514e-05,0.019382374361157417
IIWA_7,1714664043.8321986,-0.45254260842336025   1.0365361650274729 0.047557958424805646  -1.5145674221115351  -1.9540963247465004     -1.8002890205499 -0.99869705345285897,  0.039311193369284958 0.00017213843408557305   0.077475906370452388  -0.030069742615101917 0.00091547296122233065   0.034357845156199274 -7.911842986721902e-05, -19.609914993286132    58.11325987625122  -12.610490188598632  -10.257248058319092  -1.1726593780517578   1.3827332038879394 -0.13950820159912108,  24.698828411047838    1.753897119264306   16.463689260326536  -6.1084628582548746  0.12324110697387453   1.7403549492522776 -0.57846033662140262,    0.51446050405502319 -0.00061401416314765811     0.21705314517021179,  -0.69918620586395264 -0.0011166684562340379  0.0093086352571845055     0.7148781418800354,-0.00042414170457050204    0.037556149065494537   0.0043274364434182644,-0.0003811049391515553     1.0183597803115845 0.00052049139048904181,  0.25617265701293945   0.02028772234916687  0.060781285166740417   0.02028772234916687   0.23763161897659302 -0.017522534355521202  0.060781285166740417 -0.017522534355521202   0.17570395767688751,   -0.7187515357003349   -0.27379408945638062   -0.83808242873573136    0.39873286191127733    0.44320531812047648   0.067472938449775199 2.2787999043316631e-05,0.034525301307439804
IIWA_7,1714664043.8371882,-0.45244919131139344   1.0365366443385187 0.048654035667033593   -1.514985791386789  -1.9540859704061802  -1.7997366676930413 -0.99869729310838196,   0.035185639174100336  0.00015688318909815412     0.10582381478547978   -0.040790565102239947   0.0011465519817883511    0.049580390399308574 -7.2880964813063948e-05, -15.886343254089356   57.719394706726071  -11.088321971893311  -10.249324684143065  -1.2210799980163574   1.5172351303100586 -0.16320457077026368,  24.495677901799628   1.7278148413988004   16.241702801123189  -6.0334544142719082  0.16483625650018482   1.7804090186736965 -0.58769025685590082,    0.51445251703262329 -0.00019679474644362926     0.21708507835865021,  -0.69907057285308838 -0.0012903851456940174  0.0094747068360447884    0.71498876810073853,-0.00068776891566812992    0.046733196824789047   0.0047493386082351208,-0.00037965760566294193      1.0183790922164917  0.00051994161913171411,  0.25614336133003235  0.020251944661140442  0.060807056725025177  0.020251944661140442   0.23767727613449097 -0.017441963776946068  0.060807056725025177 -0.017441963776946068   0.17569085955619812,  -0.71720781555839608    -0.2722727635413591   -0.83499254672769752     0.3973883589765137    0.44344149589559123   0.068633145646757043 2.3010379379684309e-05,0.042900364845991135
IIWA_7,1714664043.8422041,-0.45227727757998587   1.0365314312582092 0.050071350030152756  -1.5154907467734837  -1.9540783963753581  -1.7989413345701262 -0.99869627449059728,   0.035025060595583038 -8.3016661098664113e-05     0.14135162635315035   -0.052830667549580178   0.0012202028183137732    0.071477637236052133 -1.7560060463409332e-05, -14.969564941406251    57.36585702896118  -12.124523239135742  -10.443887538909912  -1.4711064720153808   1.4391372375488281 -0.14751824188232421,  24.416215804922111   1.6838002829909404   16.067747492610764  -5.9677166897051315  0.20213065673371744   1.7823591436336237 -0.60866618428683983,   0.51443779468536377 0.00017962533456739038    0.21710473299026489,  -0.6989438533782959 -0.001380162313580513 0.0095833279192447662   0.71511101722717285,-0.0011691013351082802   0.052443761378526688  0.0046020927838981152,-0.00036787276621907949      1.0183987617492676  0.00050472805742174387,  0.25612303614616394  0.020198255777359009  0.060831405222415924  0.020198255777359009   0.23772253096103668 -0.017357977107167244  0.060831405222415924 -0.017357977107167244   0.17567054927349091,  -0.71503418636709171   -0.27081314103050147   -0.83144535430879074    0.39603159236012431    0.44334860111128194   0.069458438884950624 2.3170816376705261e-05,0.048085838556289673
IIWA_7,1714664043.8472037,-0.45204280623036519   1.0365228625642466 0.051699167245358009  -1.5161060167863816   -1.954074273733132  -1.7979006844034522 -0.99869699356624908,   0.037398902461293612  -0.0004091610873827787     0.17819398969073041   -0.066875334555578175   0.0011410679436928352    0.098808116455801079 -4.2811074442748102e-05,  -15.98716198348999    56.93838561630249  -13.790192565917968  -10.219391937255859  -1.4297288513183593   1.4858624725341796 -0.13116440963745118,  24.267509750129808   1.6756790565427722   15.749378866914217   -5.897189187489678  0.23661949207108871   1.8125383862263962 -0.62762321786430497,   0.51443111896514893 0.00068283639848232269    0.21715855598449707,  -0.69874358177185059 -0.0015232872683554888  0.0097019821405410767    0.71530479192733765,-0.0012493424583226442   0.062084794044494629  0.0058665513060986996,-0.00036612825351767242      1.0184159278869629  0.00048482968122698367,  0.25608858466148376  0.020123209804296494  0.060870479792356491  0.020123209804296494   0.23778462409973145 -0.017240533605217934  0.060870479792356491 -0.017240533605217934    0.1756490021944046,  -0.71200547322725072   -0.26882045061782378   -0.82647919791511981     0.3942449844238638    0.44319908558687615   0.070629347042050483 2.3399228332721123e-05,0.05695650726556778
