DesiredFlux,1,HitTime,1714664148.1772811,DesiredPos,0.51178693771362305  0.3428264856338501 0.21988970041275024
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714664147.6484108, -0.4680668534255058  0.99774256986410681 0.048279169050634813  -1.5750156128104538  -1.9510322940012705  -1.7568504596750676  -1.0357763051761892,  -0.001615480588267347  1.2776681098461567e-05   0.0013302562083208566  0.00026832919526723401   0.0013324044383501987 -2.3077211558962334e-06 -5.1233331690800557e-06,0.088720481872558599    58.68322175979614   -2.999437313079834  -12.939750404357911  -1.6559852027893067   1.9237446746826172 -0.10413052368164062,-0.35321398824477701 -0.43200105504495573 -0.39188051441826854   1.5098178461725158  0.27071084988006866 -0.24599980130548391  0.27490253448142871,    0.50598222017288208 -0.00055213045561686158     0.21938320994377136, -0.70842313766479492 0.0058474969118833542 -0.010242742486298084   0.70568943023681641,0.00042241663322784007 5.8302586694480851e-05 0.00046716316137462854, 0.0019965872634202242     1.0950820446014404 0.00017510473844595253, 0.25808793306350708    0.017167953774333 0.059795506298542023    0.017167953774333  0.23770865797996521 -0.01707874983549118 0.059795506298542023 -0.01707874983549118  0.17389823496341705,   -0.6079293822347509   -0.27557246940190794   -0.77434225306571847    0.34481286149912194    0.37734148140433632  -0.021899410351799986 8.3607272216568163e-06,0.00057759607443585992
IIWA_7,1714664147.6534142, -0.4680893837717367  0.99774268974640978 0.048286779013422737   -1.575015493037234  -1.9510269250194254  -1.7568504596750676  -1.0357763051761892, -0.0021935983198497931  1.5016636997711284e-05   0.0013686034781736642  0.00021945428500525215   0.0012806828244845915 -1.8461769247169869e-06 -4.0986665352640444e-06,  0.2943906898498535   58.703385505676266  -2.9369306945800782  -12.967922401428222  -1.6551048278808593   1.9220759162902832 -0.10312926864624024,-0.35704488011882385 -0.43032786332822975 -0.39552571317520613   1.5127509024555528  0.27158264786618347 -0.24368242278885996  0.27490253448142871,    0.50598222017288208 -0.00055213045561686158     0.21938320994377136, -0.70842313766479492 0.0058474969118833542 -0.010242742486298084   0.70568943023681641,0.00042241663322784007 5.8302586694480851e-05 0.00046716316137462854, 0.0019949264824390411     1.0950816869735718 0.00017446928541176021, 0.25808793306350708    0.017167953774333 0.059795506298542023    0.017167953774333  0.23770865797996521 -0.01707874983549118 0.059795506298542023 -0.01707874983549118  0.17389823496341705,   -0.6079293822347509   -0.27557246940190794   -0.77434225306571847    0.34481286149912194    0.37734148140433632  -0.021899410351799986 8.3607272216568163e-06,0.00057759607443585992
IIWA_7,1714664147.6584125,-0.46810700057979093  0.99774268974640978 0.048296126778730263  -1.5750159723482797  -1.9510217478492653  -1.7568504596750676  -1.0357763051761892,  -0.002459550978049143  1.2013309598169028e-05   0.0014687933948399519  0.00015639098617450606   0.0012316330659929166 -1.4769415397735895e-06 -3.2789332282112355e-06, 0.42343866348266601   58.675156261444094  -2.8902708244323732  -13.046275768280029   -1.667430076599121   1.9237446746826172 -0.10346302032470703,  28.798642433142469   3.3425898442053019   20.351354742010038  -8.7389754329549802 -0.88751898870445811 -0.92605473051459719  0.27456605891210389,    0.50598382949829102 -0.00056273856898769736      0.2193848043680191, -0.70842093229293823 0.0058555873110890388 -0.010253313928842545   0.70569139719009399, 0.00040129013359546661 -0.00037769324262626469  0.00043773988727480173,0.0019936142489314079    1.0950815677642822 0.0001739527506288141,  0.25808852910995483  0.017167164012789726  0.059795457869768143  0.017167164012789726   0.23770788311958313 -0.017079848796129227  0.059795457869768143 -0.017079848796129227   0.17389842867851257,  -0.60790540809119165    -0.2756044565401794   -0.77435569881334487    0.34484071422369311    0.37730726065898779  -0.021940286367261308 8.3546956020086327e-06,0.00064266996923834085
IIWA_7,1714664147.6634119,-0.46811820592083797  0.99774280951962979  0.04830739189730418  -1.5750165116550185  -1.9510173375767785  -1.7568504596750676  -1.0357763051761892, -0.0024158544243208374  1.4401576478881929e-05   0.0016256394588286789  0.00010354051938669958   0.0011617173522649581 -1.1815532318188718e-06 -2.6231465825689886e-06, 0.41940591430664065   58.676500511169436  -2.8506539535522459  -13.074447765350342  -1.6718319511413573   1.9207409095764161 -0.10379677200317383,  28.811319441241675   3.3427951206377249   20.354765687701295  -8.7405994600202632 -0.88948552761722155 -0.92796402321673765   0.2741676113067813,    0.50598651170730591 -0.00057684717467054725      0.2193891853094101, -0.70841437578201294 0.0058669238351285458 -0.010270178318023682   0.70569765567779541, 0.00035294014378450811 -0.00073683273512870073  0.00043905375059694052, 0.0019936137832701206     1.0950813293457031 0.00017395272152498364,   0.2580890953540802  0.017165469005703926  0.059795796871185303  0.017165469005703926   0.23770703375339508 -0.017080843448638916  0.059795796871185303 -0.017080843448638916   0.17389874160289764,  -0.60784983806527748   -0.27564392928791648   -0.77434587985436565    0.34487661265458769    0.37725252441234147  -0.021992709632101537 8.3476079382194257e-06,0.00084696843987330794
IIWA_7,1714664147.6684105,-0.46809393777208747  0.99775095878915654 0.048349156971805939  -1.5750462325396015  -1.9510153243394863  -1.7568578899780256  -1.0357763051761892,-0.00096195758943643525  0.00033749204225298974    0.002971114547133267  -0.0011060029678095717   0.0010099033735003191 -0.00029815736090635489  -2.098517266055191e-06, 0.11157272720336914   58.574337532043458  -3.3190134048461912  -12.725819301605224  -1.6471814537048339   1.9501110572814941 -0.10513177871704102,  28.809974419593832   3.3427021058809094   20.351857263758163  -8.7396853520699995 -0.88944682291855726 -0.92711736213338569  0.27422025389321025,    0.50598770380020142 -0.00057833641767501831     0.21939174830913544, -0.70841044187545776 0.0058684847317636013 -0.010274861007928848   0.70570152997970581,  0.0003299276577308774 -0.00064904481405392289  0.00045334154856391251, 0.0019924207590520382     1.0950809717178345 0.00017334941367153078,  0.25808894634246826  0.017164744436740875  0.059796229004859924  0.017164744436740875   0.23770706355571747 -0.017080560326576233  0.059796229004859924 -0.017080560326576233   0.17389890551567078,  -0.60782408026849311   -0.27564549369785141    -0.7743217938047664    0.34487999964927241    0.37723826558533347  -0.021997343639057476 8.3475839574020938e-06,0.00078321807086467743
IIWA_7,1714664147.6734135, -0.4675161783754736  0.99782472174841663 0.048903726942230115   -1.575366930462837  -1.9510280755404685  -1.7569090625953618  -1.0357768444829281,   0.022340809793005408   0.0032205120042061125    0.024559690454673669   -0.013712719303668637  0.00029787465951191985  -0.0022854305821741203 -2.3251083365749408e-05, -10.610163082122803   55.196237972259524  -10.941299362182617  -7.2410836219787598   -1.087263011932373    2.311897876739502 -0.21360107421874999,  28.772716425684873   3.3302680014749639    20.32213025569904   -8.715131447755482 -0.87902340623143571  -0.9123096261146495  0.27079610435533852,    0.50597900152206421 -0.00054582650773227215     0.21939414739608765, -0.70839124917984009 0.0058572306297719479 -0.010250680148601532   0.70572125911712646,-8.3063205238431692e-05  0.00078115210635587573  0.00045896900701336563, 0.0019903795327991247      1.095081090927124 0.00017174860113300383,  0.25808897614479065  0.017163058742880821   0.05979648232460022  0.017163058742880821    0.2377103865146637 -0.017075382173061371   0.05979648232460022 -0.017075382173061371   0.17389528453350067,  -0.60774739630087282   -0.27554295363341197   -0.77413495909706143    0.34478674389948338    0.37728732255715158  -0.021849275219310016 8.3737949907458642e-06,0.00083081104094162583
IIWA_7,1714664147.6784143, -0.4668896430258358  0.99780674540253655 0.049479628872187549  -1.5755344698537237  -1.9510216520306893  -1.7569201479450227  -1.0357770242518409,   0.042934061819916422   0.0018573557681617918    0.042683829562036299   -0.017671751078400938  0.00049524011877739502  -0.0022717584521743999 -2.5791623207274019e-05,  -21.237801410675051    54.841356044769284   -17.082794723510741   -8.6215114784240718  -0.94200115203857415    2.0749341850280763 -0.071089107513427729,  28.201947841303404   3.2405437556788947    19.84995906785678   -8.441245109823404  -0.7591399601273755 -0.70282294596545924  0.24535770956605635,   0.50588834285736084 1.8781181552185444e-06    0.21943672001361847,  -0.70817458629608154  0.0055832182988524437 -0.0098692765459418297    0.70594632625579834,-0.0037052796687930822   0.022529112175107002  0.0020735240541398525, 0.0019894554279744625     1.0950825214385986 0.00017082490376196802,  0.25806978344917297  0.017148906365036964  0.059810802340507507  0.017148906365036964   0.23776206374168396 -0.016990793868899345  0.059810802340507507 -0.016990793868899345   0.17386017739772797,  -0.60698143029735974   -0.27377707727094247   -0.77140943770359627    0.34325442104776727    0.37826396787998817  -0.019541446810045215 8.7716811592031263e-06,0.02093474380671978
IIWA_7,1714664147.6834104,-0.46653041586853178  0.99779464132600781  0.04998901837692997  -1.5758471382806523  -1.9510254868681218  -1.7569652686331776  -1.0357821175589306,   0.048716335748093968   0.0010017215533798106    0.054522643839325861    -0.02664413793986331  0.00024279859772221294   -0.003622234287934561 -0.00022436558215154171,  -23.135882022857665    55.864330085754396   -16.741209259033202   -9.1004354286193845   -1.3205623626708984    2.3549518432617189 -0.084772926330566406,  28.201950918129548   3.2405917985474617    19.84994104528667  -8.4412880152868155 -0.75916955856060631 -0.70281921153658811  0.24535770956605635,   0.50588834285736084 1.8781181552185444e-06    0.21943672001361847,  -0.70817458629608154  0.0055832182988524437 -0.0098692765459418297    0.70594632625579834,-0.0037052796687930822   0.022529112175107002  0.0020735240541398525, 0.0019955928437411785     1.0951029062271118 0.00017027079593390226,  0.25806978344917297  0.017148906365036964  0.059810802340507507  0.017148906365036964   0.23776206374168396 -0.016990793868899345  0.059810802340507507 -0.016990793868899345   0.17386017739772797,  -0.60698143029735974   -0.27377707727094247   -0.77140943770359627    0.34325442104776727    0.37826396787998817  -0.019541446810045215 8.7716811592031263e-06,0.02093474380671978
IIWA_7,1714664147.68841,-0.46636257682642918  0.99779242421244241 0.050624302189443408   -1.576322133018158  -1.9510216520306893  -1.7569922330974563  -1.0357822973278434,   0.045686630282579264  0.00071269270008761333    0.069029467571998238   -0.040315099852122047  0.00034763237547747345  -0.0039763660014974396 -0.00018668322223590786, -18.362451248168945     55.4207276763916  -12.636901435852051  -8.7289172172546383  -1.0053881454467772   1.9597898559570313 -0.11280806732177734,  27.506213288118612   3.2739100922171711   19.184696305156749  -8.1946845915400246 -0.65312870513663146 -0.39594514189448837   0.2433641026937326,   0.50578463077545166 0.00096784078050404787    0.21961155533790588,  -0.70780652761459351  0.0050109159201383591 -0.0092977862805128098    0.70632737874984741,-0.0063814539462327957   0.048629719763994217  0.0075256321579217911, 0.0020592566579580307     1.0951029062271118 0.00015813985373824835,  0.25800636410713196  0.017127083614468575  0.059857588261365891  0.017127083614468575   0.23785184323787689 -0.016836203634738922  0.059857588261365891 -0.016836203634738922   0.17383019626140594,  -0.60574934146639947   -0.27061121387816911   -0.76655618241883161    0.34057757088579166    0.37995575538918303  -0.015564816940205617 9.4608481049363036e-06,0.045309826731681824
IIWA_7,1714664147.6934092,-0.46616711413100598  0.99778661193878393 0.051639066396233273  -1.5769127755626453  -1.9510182964606695  -1.7570290846337815  -1.0357830164034953,    0.04436781204299136  0.00033766321373094287    0.095814142329193164   -0.055877781661188168   0.0004123287011758716  -0.0046551542542041663 -0.00017810960386518783, -14.197965599060058   55.383088684082033  -11.290808200836182  -8.0457462882995596 -0.99306289672851566   2.0589141044616701 -0.14117695999145508,  27.377313136411999   3.2145292266135352   18.976069185733145  -8.0293060014863791 -0.59091463219067142 -0.27531489705600265  0.20608632874518223,  0.50566279888153076 0.0013563928660005331   0.21968276798725128,  -0.70756053924560547  0.0048877471126616001 -0.0090383905917406082    0.70657801628112793,-0.010011903010308743  0.054431058466434479 0.0088841784745454788, 0.0020593241788446903     1.0951387882232666 0.00015814503422006965,  0.25800210237503052   0.01709846593439579  0.059865109622478485   0.01709846593439579   0.23789414763450623 -0.016768224537372589  0.059865109622478485 -0.016768224537372589   0.17378860712051392, -0.60452210460049116  -0.26935982775722067  -0.76398007559497216   0.33937285093710301   0.38041500452035137 -0.013850090383016322 9.767790132286791e-06,0.051182325929403305
