DesiredFlux,0.58,HitTime,1714663232.5475135,DesiredPos,0.55196863412857056 0.35930269956588745 0.22021675109863281
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714663231.820677,-0.42262075517658571   1.1033276059943633 0.060147566461908948  -1.3362012892898925  -1.9567591236698516  -1.8247718932312937 -0.92112418431622101,-6.7378194775127848e-05  1.4046917828759078e-05   0.0014356863735650865  5.8844404246464082e-07 -3.9584665223585979e-06  -8.464826409549861e-06   0.0027944681916877369,-0.52829014205932612   64.150285392761234   -3.460753765106201  -15.751667861938476   -1.322323112487793   1.7211574058532715 -0.28001765823364255,-0.10953217018217201 0.038343242918877092 -0.10461951997634772  -1.7419477015755218   1.4927999829332803  0.68620673794331122  0.77590862813267714,    0.55657202005386353 -0.00037631767918355763     0.21648724377155304, -0.70502835512161255 -0.027268655598163605  0.015543485060334206   0.70848417282104492,7.3316274210810661e-05 0.00058898003771901131 0.00032508195727132261,-0.00093316985294222832     0.63480424880981445  0.00075673684477806091, 0.24318698048591614 0.024506766349077225 0.067984260618686676 0.024506766349077225  0.23623019456863403 -0.01515462901443243 0.067984260618686676 -0.01515462901443243  0.18764087557792664,  -0.87824645108458554   -0.22368571212094679    -0.8311169701435972     0.5209890545749829    0.52034961954294801    0.11687842752117206 3.0641880144344213e-05,0.00061829661717638373
IIWA_7,1714663231.8256764,-0.42262291229445809   1.1033277258766663 0.060149543810868379  -1.3362012294032823  -1.9567591236698516  -1.8247717734580737 -0.92111142105065036,-0.00014018727071534842  1.6032826381949292e-05   0.0012276430572293101  2.8662196385859575e-06 -3.1667732178868787e-06 -1.9809323272931835e-06   0.0027461051761761006,-0.55786363601684574   64.178514636993413  -3.4810023880004883  -15.748146362304688  -1.3205623626708984   1.7214911575317382 -0.27868265151977539,  15.25391730046748  2.2451966853015746  9.2707908028710229 -4.6386572573621239  2.0758538203348391  1.9001454093725867 0.77536684148077439,     0.5565720796585083 -0.00037641057861037552     0.21648788452148438, -0.70502758026123047 -0.027264470234513283  0.015547272749245167   0.70848506689071655,6.1831480707041919e-05 0.00046746738371439278 0.00028608462889678776,-0.00093313149409368634     0.63480424880981445  0.00075639376882463694,  0.24318671226501465  0.024506378918886185  0.067984528839588165  0.024506378918886185   0.23623031377792358 -0.015154373832046986  0.067984528839588165 -0.015154373832046986   0.18764102458953857,  -0.87823170924483662   -0.22368427692942561   -0.83110132544739201    0.52099059868204733    0.52034563135006096    0.11688109474317088 3.0640392445491216e-05,0.00050392065895721316
IIWA_7,1714663231.8306758,-0.42262423056345877   1.1033277857632762 0.060151041848781978  -1.3362012294032823  -1.9567589318581669  -1.8247717734580737 -0.92109955673872768,-0.00016488057659959842  1.5221725501291895e-05   0.0010420359623273853  2.2929757108687662e-06  5.1390488159977438e-06 -1.5847458618345469e-06   0.0026714566178481784,-0.56324063491821286   64.185235885620116  -3.4924472618103026   -15.74374448776245  -1.3161604881286622   1.7238274192810059 -0.27801514816284179, 15.256757757813469  2.2433617973556936  9.2740750441605879 -4.6381697088900431  2.0762203201720109   1.899306244990647 0.77473635777814776,    0.55657219886779785 -0.00037691692705266178     0.21648822724819183, -0.70502722263336182 -0.027259748429059982  0.015551059506833553   0.70848548412322998,5.3855128498980775e-05 0.00035371928242966533 0.00024203286739066243,-0.00093307404313236475     0.63480424880981445  0.00075614359229803085,  0.24318668246269226  0.024506261572241783  0.067984588444232941  0.024506261572241783   0.23623029887676239 -0.015154361724853516  0.067984588444232941 -0.015154361724853516   0.18764106929302216,  -0.87822763868317111   -0.22368520448434737    -0.8310987006989734    0.52099213125611499    0.52034359391406326     0.1168797265753696 3.0638959813700239e-05,0.00039467570604756474
IIWA_7,1714663231.8356526,-0.42259900379261661   1.1033325195325399 0.060180942502277915  -1.3362123747486363   -1.956757685518548  -1.8247585308814573 -0.92108949000685136, 0.00087716637240660878  0.00020152815094852524   0.0020296549096993997 -0.00044397943358961842  5.3964823806532221e-05  0.00052843526796613903   0.0025398345693310458,-0.74605859756469728   64.109957901000982  -3.9088645935058595  -15.602884502410889  -1.3399306106567384   1.6714284057617188 -0.27834889984130862, 15.258621018570722  2.2418225486377277  9.2766430047855941 -4.6376809042275058  2.0765116800201486  1.8987181727802573 0.77424866734232178,     0.5565723180770874 -0.00037711934419348836     0.21648852527141571, -0.70502692461013794 -0.027255486696958542  0.015554775483906269   0.70848590135574341,4.6860819566063583e-05 0.00027487942134030163 0.00020566381863318384,-0.00093304482288658619     0.63480430841445923  0.00075592129724100232,  0.24318665266036987  0.024506174027919769  0.067984640598297119  0.024506174027919769   0.23623029887676239 -0.015154334716498852  0.067984640598297119 -0.015154334716498852   0.18764109909534454,  -0.87822449569330274   -0.22368546935869205    -0.8310962051210069    0.52099290357077166    0.52034224928565465    0.11687930069648189 3.0637798964505691e-05,0.00031657199724577367
IIWA_7,1714663231.8406799,-0.42221514905781926   1.1033681725730842 0.060536454508102862  -1.3362905718259444  -1.9567507825668233  -1.8246465982259545 -0.92107960293480495,  0.016055922489819321  0.0015873441425314004   0.015844204160757398 -0.0034830666391937317 0.00031928992803220046  0.0049000544344849099  0.0024273505373212604, -8.0009743652343754   62.508956478118897  -8.3609205055236817  -14.366838130950928  -1.3548969841003418   1.6944572715759276 -0.27901640319824217, 15.233203078433679  2.2358154520643678  9.2580759898260592 -4.6293481411045558  2.0796405819811534  1.9020296231957385 0.77326439757738452,    0.55657202005386353 -0.00035075482446700335     0.21648822724819183, -0.70501917600631714 -0.027261748909950256  0.015569722279906273   0.70849299430847168,2.6713942133937962e-05  0.0012744829291477799  0.0001526846899650991,-0.00093299651052802801     0.63480430841445923  0.00075574248330667615,  0.24318529665470123  0.024503638967871666  0.067985787987709045  0.024503638967871666     0.236233189702034 -0.015149982646107674  0.067985787987709045 -0.015149982646107674   0.18764002621173859,  -0.87811214301591889    -0.2236039303600279   -0.83091065634111061    0.52091855684466282    0.52035171803410663    0.11695444192483251 3.0654154770104469e-05,0.0011730307014659047
IIWA_7,1714663231.8457131,-0.42181703312862084   1.1033705095689528 0.060793156661821564  -1.3363207121349632  -1.9567412911172852  -1.8244848711087263 -0.92107217274093001,  0.028769375159792141  0.0013633551487691794   0.022943449477353998 -0.0039920656721078801 0.00063508992394982239   0.010389128236719249  0.0022390881848548721, -14.360619815826416   62.992886379241945  -10.928093738555908  -14.561400985717773  -1.0203545188903809   1.6854459762573242 -0.25765629577636717, 15.233203078433679  2.2358154520643678  9.2580759898260592 -4.6293481411045558  2.0796405819811534  1.9020296231957385 0.77326439757738452,    0.55657202005386353 -0.00035075482446700335     0.21648822724819183, -0.70501917600631714 -0.027261748909950256  0.015569722279906273   0.70849299430847168,2.6713942133937962e-05  0.0012744829291477799  0.0001526846899650991,-0.00093300006119534373     0.63480430841445923  0.00075565633596852422,  0.24318529665470123  0.024503638967871666  0.067985787987709045  0.024503638967871666     0.236233189702034 -0.015149982646107674  0.067985787987709045 -0.015149982646107674   0.18764002621173859,  -0.87811214301591889    -0.2236039303600279   -0.83091065634111061    0.52091855684466282    0.52035171803410663    0.11695444192483251 3.0654154770104469e-05,0.0011730307014659047
IIWA_7,1714663231.8506784, -0.4215014885081681   1.1033853699567027  0.06100389927851365  -1.3363882431779628  -1.9567360179540161  -1.8242743082609472 -0.92106450289153219,  0.035637284945943537  0.0016850996290110707   0.026784464249566646 -0.0058948942576708416 0.00071899846992578935   0.016733816500539178  0.0020980645237966091,-16.889153549194337  62.707905437469485 -10.900802116394043 -14.349230632781982 -1.4675849723815917  1.4428085060119629 -0.2573225440979004, 14.608578921018646  2.2393992942112941  8.7911773936969659 -4.5324776424820286  2.1126139538661763  2.0004168716580124 0.78609030331564411,   0.55660611391067505 0.00031828373903408647    0.21652919054031372, -0.70488381385803223 -0.027606582269072533  0.015846418216824532   0.70860821008682251,0.0013117652852088213  0.024765420705080032  0.001557939569465816,-0.00093300879234448075     0.63480496406555176  0.00075558345997706056,  0.24312317371368408  0.024459917098283768  0.068021304905414581  0.024459917098283768   0.23630118370056152 -0.015042422339320183  0.068021304905414581 -0.015042422339320183   0.18764027953147888,  -0.87603925034418495   -0.22151998171526799   -0.82673140260425271    0.51916398853180112    0.52083884234033206    0.11891929543139668 3.1098203123747226e-05,0.02270311675965786
IIWA_7,1714663231.8557348,-0.42126725681407035   1.1033909425748381 0.061278517782419467  -1.3365165942548223  -1.9567263346927932  -1.8239423452191379 -0.92105779166422586,  0.037879095720664946  0.0015709844286242748   0.032412311555886003 -0.0098499584805162646 0.00096252922485500067   0.026665574872802099  0.0019469007112906075, -16.397158149719239   62.750921428680421  -9.2747496604919437  -13.516395969390869 -0.76240467071533202   1.3199878883361815 -0.29303397369384765, 14.608578921018646  2.2393992942112941  8.7911773936969659 -4.5324776424820286  2.1126139538661763  2.0004168716580124 0.78609030331564411,   0.55660611391067505 0.00031828373903408647    0.21652919054031372, -0.70488381385803223 -0.027606582269072533  0.015846418216824532   0.70860821008682251,0.0013117652852088213  0.024765420705080032  0.001557939569465816,-0.00093295343685895205     0.63481354713439941  0.00075564801227301359,  0.24312317371368408  0.024459917098283768  0.068021304905414581  0.024459917098283768   0.23630118370056152 -0.015042422339320183  0.068021304905414581 -0.015042422339320183   0.18764027953147888,  -0.87603925034418495   -0.22151998171526799   -0.82673140260425271    0.51916398853180112    0.52083884234033206    0.11891929543139668 3.1098203123747226e-05,0.02270311675965786
IIWA_7,1714663231.8607001,-0.42107065561855944   1.1033983728777961 0.061702040251373033  -1.3366754451785263  -1.9567057218307282   -1.823434154101093 -0.92105221904609047, 0.038167324396968107 0.0015539996612203197  0.042870748002851441 -0.014234003732574847 0.0015945378624842364  0.041660104620037615 0.0017804252944479042, -13.658921459197998   62.472661735534665  -9.4455423927307134  -13.350885486602783  -1.2571753692626952   1.2615813446044921 -0.28502393341064453, 14.391645258277009  2.1543235274600163  8.6544822354185005 -4.4768892646928284  2.1573782666533901  1.9638878170982677 0.77727004475916794,   0.55664879083633423 0.00082656124141067266    0.21649064123630524, -0.70485597848892212 -0.027756460011005402  0.016001757234334946   0.70862650871276855,  0.0023714546114206314    0.034094277769327164 -0.00043968204408884048,-0.00093282520538195968     0.63482064008712769  0.00074984744424000382,  0.24309161305427551  0.024403620511293411  0.068045273423194885  0.024403620511293411   0.23635227978229523 -0.014954343438148499  0.068045273423194885 -0.014954343438148499   0.18763202428817749,  -0.87364426903580039   -0.21987149069424561   -0.82300031282667163    0.51757680146558016    0.52082291385691093    0.11977262305773451 3.1288714730237643e-05,0.031227229163050652
IIWA_7,1714663231.8656793,-0.42081910665854033   1.1033975339198414 0.062213586873987842  -1.3369068605657097  -1.9567053383818918  -1.8226821440862861 -0.92104371023873777,  0.04059581791833889 0.0012096414107897341  0.054758463306873499  -0.02064381847339624 0.0012909682434458167  0.063408484288304007 0.0017646925296664383, -11.970543804168701    62.00889558029175  -9.5960865020751953  -13.546328716278076  -1.2510127449035644    1.245227512359619 -0.27501138305664063, 14.327298261392091  2.1167355358721869  8.5662138978888542 -4.4724958013244542  2.1722501891332922  1.9042316094175589 0.77092590028145758,  0.55669689178466797 0.0011108606122434139   0.21645896136760712, -0.70484733581542969 -0.027788238599896431  0.016016723588109016   0.70863354206085205, 0.0038066897541284561   0.038651164621114731 -0.0016132440650835633,-0.00094004499260336161     0.63482660055160522  0.00074749061604961753, 0.24307580292224884 0.024351201951503754 0.068063229322433472 0.024351201951503754  0.23638199269771576 -0.01489594392478466 0.068063229322433472 -0.01489594392478466  0.18762807548046112,  -0.87154841919634407   -0.21887044169321968    -0.8202837367337068    0.51657086064071933    0.52050264112857292    0.11988966450715566 3.1319911109051191e-05,0.035513736307621002
