RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714663928.4709039,0.50222188234329224 0.46582239866256714 0.28040233254432678,-0.0041212090291082859  0.0012691142037510872    0.42879253625869751    0.90339267253875732,0.50222188234329224 0.46582239866256714 0.28040233254432678,-0.0041212090291082859  0.0012691142037510872    0.42879253625869751    0.90339267253875732
1714663928.4759037,0.50223857164382935  0.4657934308052063 0.28038078546524048,-0.0041277334094047546  0.0012906112242490053    0.42868778109550476    0.90344232320785522,0.50223857164382935  0.4657934308052063 0.28038078546524048,-0.0041277334094047546  0.0012906112242490053    0.42868778109550476    0.90344232320785522
1714663928.4809031,0.50224512815475464  0.4657990038394928 0.28037324547767639,-0.0041321879252791405  0.0012969403760507703    0.42870736122131348    0.90343302488327026,0.50224512815475464  0.4657990038394928 0.28037324547767639,-0.0041321879252791405  0.0012969403760507703    0.42870736122131348    0.90343302488327026
1714663928.4858148,0.50222516059875488 0.46582484245300293 0.28037756681442261,-0.0041621271520853043  0.0012358648236840963    0.42878872156143188    0.90339434146881104,0.50222516059875488 0.46582484245300293 0.28037756681442261,-0.0041621271520853043  0.0012358648236840963    0.42878872156143188    0.90339434146881104
1714663928.4909165,0.50221997499465942   0.465809166431427 0.28038367629051208,-0.0041115670464932919  0.0013022772036492825    0.42872518301010132    0.90342468023300171,0.50221997499465942   0.465809166431427 0.28038367629051208,-0.0041115670464932919  0.0013022772036492825    0.42872518301010132    0.90342468023300171
1714663928.4959013,0.50220602750778198 0.46581190824508667 0.28040334582328796,-0.0040281442925333977   0.001270763692446053    0.42875084280967712    0.90341293811798096,0.50220602750778198 0.46581190824508667 0.28040334582328796,-0.0040281442925333977   0.001270763692446053    0.42875084280967712    0.90341293811798096
1714663928.5009,0.50217074155807495 0.46587184071540833 0.28038594126701355,-0.0040449104271829128  0.0012886294862255454    0.42878672480583191    0.90339577198028564,0.50217074155807495 0.46587184071540833 0.28038594126701355,-0.0040449104271829128  0.0012886294862255454    0.42878672480583191    0.90339577198028564
1714663928.5057807,0.50214385986328125 0.46596094965934753 0.28033760190010071,-0.0041568763554096222  0.0013231007615104318    0.42881059646606445    0.90338391065597534,0.50214385986328125 0.46596094965934753 0.28033760190010071,-0.0041568763554096222  0.0013231007615104318    0.42881059646606445    0.90338391065597534
1714663928.5109098,0.50213241577148438 0.46600416302680969  0.2803577184677124,-0.0041715833358466625  0.0013198263477534056    0.42881643772125244    0.90338104963302612,0.50213241577148438 0.46600416302680969  0.2803577184677124,-0.0041715833358466625  0.0013198263477534056    0.42881643772125244    0.90338104963302612
1714663928.5159018,0.50214153528213501 0.46605050563812256 0.28037992119789124,-0.0040339166298508644  0.0012850873172283173    0.42887377738952637    0.90335452556610107,0.50214153528213501 0.46605050563812256 0.28037992119789124,-0.0040339166298508644  0.0012850873172283173    0.42887377738952637    0.90335452556610107
1714663928.5208452, 0.5021965503692627 0.46607229113578796 0.28035655617713928,-0.0041044782847166061  0.0013415487483143806    0.42881911993026733    0.90338003635406494, 0.5021965503692627 0.46607229113578796 0.28035655617713928,-0.0041044782847166061  0.0013415487483143806    0.42881911993026733    0.90338003635406494
1714663928.5258367,0.50225520133972168 0.46604055166244507 0.28039601445198059,-0.0040926262736320496  0.0013448516838252544    0.42877763509750366    0.90339982509613037,0.50225520133972168 0.46604055166244507 0.28039601445198059,-0.0040926262736320496  0.0013448516838252544    0.42877763509750366    0.90339982509613037
1714663928.530906,0.50229144096374512 0.46604275703430176 0.28043907880783081,-0.003760593244805932 0.0012330079916864634   0.42879468202590942   0.90339332818984985,0.50229144096374512 0.46604275703430176 0.28043907880783081,-0.003760593244805932 0.0012330079916864634   0.42879468202590942   0.90339332818984985
1714663928.5358977,0.50231653451919556 0.46601963043212891  0.2804095447063446,-0.0039868578314781189  0.0013258457183837891    0.42871859669685364    0.90342831611633301,0.50231653451919556 0.46601963043212891  0.2804095447063446,-0.0039868578314781189  0.0013258457183837891    0.42871859669685364    0.90342831611633301
1714663928.5408161,  0.502280592918396 0.46608102321624756  0.2804088294506073,-0.0040710759349167347  0.0013050934066995978    0.42873486876487732    0.90342026948928833,  0.502280592918396 0.46608102321624756  0.2804088294506073,-0.0040710759349167347  0.0013050934066995978    0.42873486876487732    0.90342026948928833
1714663928.5457492,0.50224369764328003 0.46611368656158447 0.28039398789405823,-0.0041058841161429882  0.0013078947085887194     0.4288536012172699    0.90336370468139648,0.50224369764328003 0.46611368656158447 0.28039398789405823,-0.0041058841161429882  0.0013078947085887194     0.4288536012172699    0.90336370468139648
1714663928.5507822,0.50217735767364502 0.46615681052207947 0.28041085600852966,-0.0038150318432599306  0.0012151224073022604    0.42889225482940674    0.90334677696228027,0.50217735767364502 0.46615681052207947 0.28041085600852966,-0.0038150318432599306  0.0012151224073022604    0.42889225482940674    0.90334677696228027
1714663928.5557809,0.50216889381408691 0.46611753106117249 0.28041699528694153,-0.0041159847751259804  0.0012931869132444263    0.42883571982383728    0.90337216854095459,0.50216889381408691 0.46611753106117249 0.28041699528694153,-0.0041159847751259804  0.0012931869132444263    0.42883571982383728    0.90337216854095459
1714663928.5607824,0.50217294692993164 0.46611577272415161 0.28038051724433899,-0.004110854584723711 0.0013106925180181861   0.42881986498832703   0.90337973833084106,0.50217294692993164 0.46611577272415161 0.28038051724433899,-0.004110854584723711 0.0013106925180181861   0.42881986498832703   0.90337973833084106
1714663928.5657852,0.50220239162445068 0.46610268950462341 0.28037440776824951,-0.0041047241538763046  0.0013386538485065103    0.42889809608459473    0.90334254503250122,0.50220239162445068 0.46610268950462341 0.28037440776824951,-0.0041047241538763046  0.0013386538485065103    0.42889809608459473    0.90334254503250122
1714663928.5707798,0.50221866369247437 0.46609532833099365 0.28043213486671448,-0.0040291124023497105  0.0012976427096873522    0.42889678478240967     0.9033435583114624,0.50221866369247437 0.46609532833099365 0.28043213486671448,-0.0040291124023497105  0.0012976427096873522    0.42889678478240967     0.9033435583114624
1714663928.5758955,0.50224387645721436 0.46608436107635498  0.2804141640663147,-0.0040450841188430786  0.0013385714264586568    0.42881050705909729    0.90338438749313354,0.50224387645721436 0.46608436107635498  0.2804141640663147,-0.0040450841188430786  0.0013385714264586568    0.42881050705909729    0.90338438749313354
1714663928.5808995,0.50227928161621094 0.46607586741447449 0.28039658069610596,-0.0040929312817752361  0.0013443271163851023    0.42875820398330688    0.90340900421142578,0.50227928161621094 0.46607586741447449 0.28039658069610596,-0.0040929312817752361  0.0013443271163851023    0.42875820398330688    0.90340900421142578
1714663928.5858006,0.50228363275527954 0.46610498428344727 0.28037700057029724,-0.0041100950911641121  0.0012944698100909591    0.42884498834609985    0.90336781740188599,0.50228363275527954 0.46610498428344727 0.28037700057029724,-0.0041100950911641121  0.0012944698100909591    0.42884498834609985    0.90336781740188599
1714663928.5909011, 0.5022662878036499 0.46612977981567383 0.28039053082466125,-0.0041624982841312885  0.0012398083927109838    0.42884173989295959    0.90336918830871582, 0.5022662878036499 0.46612977981567383 0.28039053082466125,-0.0041624982841312885  0.0012398083927109838    0.42884173989295959    0.90336918830871582
