DesiredFlux,0.6,HitTime,1714648833.1762962,DesiredPos,0.56185609102249146  -0.307087242603302 0.19897948205471039
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714648832.4427559,0.53374358172432923  1.2418822036011099  -0.105945581556561 -1.2614534015720522 -1.0949265325149442  1.8195887159750668 -0.6171293393115721,  0.0013897210679645001 -1.2565356316013325e-05  -0.0016798343956379305  5.6112991022707928e-05  3.2174850112151257e-06 -3.2589923162426137e-05  1.1847744382473928e-06,-0.39865978240966798   71.650736892700195   4.9764124832153325  -14.845893966674804   1.5767514610290527  -1.9217421646118165 -0.11147306060791015,  -1.3372231745879544   -5.2515581304848551   -3.3642896923773398    1.2776172002140571   -1.7867787134165691 -0.017741948528330165   0.17682963748604225, 0.56081044673919678 0.057566553354263306   0.1808004230260849, 0.48968195915222168 -0.50075846910476685  0.49615529179573059  0.51311057806015015,9.8556585726328194e-05 0.00044989382149651647 0.00043374666711315513,0.0007931276923045516   -0.6557573676109314  0.013755666092038155,  0.24567653238773346 -0.020417962223291397  0.066663190722465515 -0.020417962223291397   0.23292610049247742  0.032420013099908829  0.066663190722465515  0.032420013099908829   0.18165761232376099,    0.75256893738195885    -0.61076371195500911      1.2160618756382746      0.7113057555327984   -0.081641507750696007   -0.045991183889704246 -8.8817841970012523e-13,0.0005787353147752583
IIWA_14,1714648832.4477558, 0.53374717699350527   1.2418820837188069 -0.10594785855673639  -1.2614529222610065   -1.094926724326629   1.8195886560884569  -0.6171293393115721,  0.0012555876214131081  -1.484757717175269e-05  -0.0014349475235256428  6.4062834647862039e-05 -5.0984793813351464e-06 -2.8467402925673373e-05  9.4781955059791424e-07,-0.35750780487060546   71.655880889892586   5.0073302268981932   -14.82035322189331   1.5846748352050781  -1.9290847015380859 -0.11147306060791015,   -1.330943799752017   -5.2502301081639517   -3.3601211324187394    1.2794482657386634   -1.7868532770949168 -0.019679667384052968    0.1765409446449796, 0.56081146001815796 0.057565052062273026  0.18080241978168488, 0.48967903852462769 -0.50075823068618774  0.49615785479545593  0.51311111450195312,  0.000119185664516408 0.00029984372667968273 0.00042693040450103581,0.00079183222260326147   -0.65575766563415527    0.01375044509768486,  0.24567586183547974 -0.020417690277099609  0.066663660109043121 -0.020417690277099609   0.23292653262615204  0.032419543713331223  0.066663660109043121  0.032419543713331223   0.18165780603885651,   0.75255607551838466   -0.61075460659854031     1.2160389993169929    0.71129806855196875  -0.081636622027758676  -0.046000797053302733 2.6645352591003757e-12,0.00048953545046970248
IIWA_14,1714648832.4527836, 0.53375041272485535   1.2418820837188069 -0.10594941648125994  -1.2614528023787035  -1.0949265325149442   1.8195885362061539 -0.61712939919818199,  0.0011338993511337636 -1.1878061737402153e-05  -0.0012102749997626818  5.6045559837231663e-05    3.59368388523913e-06 -2.7569214459480729e-05 -1.6372087552541292e-06,-0.33693181610107426    71.65330889129639   5.0355594711303713   -14.81228772354126   1.5829140853881836  -1.9260809364318847 -0.11013805389404296, -24.105724896308164   3.0332057653078799  -14.651150041880449  -6.9628911731656711 -0.65725471579649386  -1.8862016459765418  0.17642355608166455, 0.56081199645996094 0.057565063238143921  0.18080341815948486, 0.48967781662940979 -0.50075781345367432  0.49615970253944397  0.51311087608337402,0.00011808404815383255 0.00024037277034949511 0.00038151335320435464,0.0007906442042440176  -0.65575790405273438  0.013745753094553947, 0.24567554891109467 -0.02041751891374588 0.066663876175880432 -0.02041751891374588  0.23292671144008636 0.032419376075267792 0.066663876175880432 0.032419376075267792  0.18165792524814606,  0.75254865684204475   -0.6107531059109661    1.2160286457287839   0.71129700448935296 -0.081632036589063262 -0.046003905257663291                     0,0.00042640001629479229
IIWA_14,1714648832.4577579, 0.53374741675811121   1.2418859186435058 -0.10596134078887573  -1.2614627492282766   -1.094924423284543   1.8195799076255812  -0.6171293393115721, 0.00078728081114161786  0.00014389453856643398  -0.0014451923044417631 -0.00035303753505489378  8.7244163157231873e-05 -0.00036719859447604625  1.0856973915291572e-06, -0.2057598876953125   71.563288940429686   5.1726729431152343  -14.659043254852294   1.5573832130432128  -1.9007158088684082 -0.11380932235717774, -24.105651471764041   3.0325620658811343  -14.652699646243372  -6.9627599567722411 -0.65726930319157317  -1.8859698208326494  0.17644246122943164, 0.56081223487854004 0.057566426694393158   0.1808040589094162, 0.48967775702476501 -0.50075709819793701  0.49616131186485291  0.51311010122299194, 0.0001037538968375884 0.00024684827076271176 0.00033086183248087764,0.0007897672476246953  -0.65575790405273438  0.013742313720285892,  0.24567544460296631 -0.020417418330907822  0.066663928329944611 -0.020417418330907822   0.23292669653892517  0.032419461756944656  0.066663928329944611  0.032419461756944656   0.18165802955627441,  0.75254506551214462  -0.61075851880776355    1.2160281931841155   0.71130184991030632 -0.081626504330856164 -0.046002646935328073                     0,0.00038936181226745248
IIWA_14,1714648832.46276, 0.53362098314360129   1.2419501541776286 -0.10624590625143789   -1.261680742379014  -1.0948896210701924   1.8193996049691239  -0.6171293393115721,-0.0044275199314836779  0.0026845369957617113  -0.012538772346039641 -0.0090021560575374721  0.0014618839045495164 -0.0075058651338727762 8.6855791322332579e-07,  5.9516047515869142   66.964555450439462   8.6811647262573235  -10.787604045867919   1.3249642372131347  -1.4624998550415038 -0.10846929550170899, -24.105479124386353   3.0317206715592722  -14.654217328721407  -6.9624296638789316 -0.65744056484180646  -1.8857397152625994  0.17655967147765694,0.56081223487854004 0.05756775289773941 0.18080437183380127, 0.48967796564102173 -0.50075638294219971  0.49616244435310364  0.51310950517654419, 8.270427497336641e-05 0.00025048782117664814 0.00027728668646886945,0.00078930635936558247   -0.65575802326202393   0.013740597292780876,  0.24567544460296631 -0.020417332649230957  0.066663913428783417 -0.020417332649230957   0.23292666673660278  0.032419554889202118  0.066663913428783417  0.032419554889202118    0.1816580593585968,  0.75254213770747924  -0.61076381512847888    1.2160285161550988   0.71130632632598889   -0.0816220823365299 -0.046001021981822987                     0,0.00035009783459827304
IIWA_14,1714648832.4677823, 0.53356633503030904   1.2419470382194984 -0.10660753018213717  -1.2618470833832029  -1.0948918261191694   1.8190869365421953 -0.61712915954265912,-0.0057279404768771401  0.0020229912714019977   -0.02449597510480319  -0.013855365013589849  0.0010813051645609535  -0.018511429184240782 7.8856028496940436e-06,   9.637278739929199   66.918259475708012   11.033601745605468  -10.814489040374756   1.2941511154174805   -2.098630554199219 -0.10279551696777343, -24.092796729987448   3.0254316869806002  -14.647732808279512  -6.9559247214035311 -0.65952948346364115  -1.8860016613817652  0.17800866861722039,0.56081092357635498 0.05756005272269249 0.18080195784568787, 0.48967635631561279 -0.50075381994247437  0.49616169929504395  0.51311427354812622, 1.4494033166556619e-05 -0.00010753301467048004  0.00012504866754170507,0.00078909087460488081   -0.65575802326202393    0.01373949833214283,  0.24567599594593048 -0.020416026934981346  0.066664025187492371 -0.020416026934981346     0.232928067445755  0.032417897135019302  0.066664025187492371  0.032417897135019302   0.18165647983551025,   0.75248491513146831   -0.61072207674506274     1.2159491077827767    0.71125913598457657  -0.081619755813555628    -0.0460181945118876 3.5527136788005009e-12,0.00015145061479415745
IIWA_14,1714648832.4727552, 0.53351396402627527   1.2419515922198492 -0.10712159356953335  -1.2620904829646122  -1.0948877994700521   1.8186167354605633 -0.61712921942926913,-0.0066771925428524654  0.0018005530311544155  -0.040159315579689742  -0.020820275267243366  0.0010261100963387731   -0.03361718661267192 3.9130178795818826e-06,  13.425832672119141   66.738219573974618    12.20982025527954  -11.801168338775636   1.5459383392333985  -1.3857369689941406 -0.10746804046630859,  -23.80492068992314   2.9222950576022515  -14.447728272901184  -6.8258355962852582 -0.69545258881226468  -1.9038159690336833  0.20247109445248268, 0.56079250574111938 0.057351496070623398  0.18076741695404053, 0.48961183428764343 -0.50071489810943604   0.4961419403553009  0.51323288679122925,-0.00072704290505498648  -0.0084285270422697067  -0.0012804431607946754,0.0007890744018368423   -0.6557583212852478  0.013738973997533321,  0.24568162858486176 -0.020388476550579071  0.066670641303062439 -0.020388476550579071   0.23296219110488892   0.03237653523683548  0.066670641303062439   0.03237653523683548   0.18162502348423004,    0.75124932859260696    -0.60963461609020442      1.2140817903354417     0.71008252746374012   -0.081634490573634366     -0.0464993796391866 -8.8817841970012523e-13,0.0078268358483910561
IIWA_14,1714648832.477771,  0.5334865201418677   1.2419504537197614 -0.10780127888546676  -1.2624705626613206  -1.0948873202026395   1.8180232766091617 -0.61712921942926913,-0.0064395094105844956  0.0013949024214131077  -0.059314865101087945  -0.031859408082130322 0.00084005877357682876  -0.050632103346201815 3.1304143036655062e-06, 15.033331794738771  67.296343269348142  12.773060890197755 -11.622383125305175  1.4130017280578613 -1.6193631439208984 -0.1071342887878418, -23.640915053462844   2.9068557836143394  -14.283283269610424  -6.7884480325294403 -0.69622893970788235  -1.8890972047402474  0.20434543199060709, 0.56082767248153687 0.057171918451786041   0.1807706356048584, 0.48957106471061707 -0.50069665908813477  0.49617835879325867  0.51325440406799316, 0.00082107394700869918   -0.013926845975220203 -0.00089291983749717474,0.00079020962584763765   -0.65576648712158203   0.013743304647505283,  0.24567146599292755 -0.020358620211482048  0.066685199737548828 -0.020358620211482048    0.2329937219619751  0.032331522554159164  0.066685199737548828  0.032331522554159164   0.18161101639270782,    0.74994650611337477    -0.60856765022609949      1.2120891925384569      0.7089504015214132   -0.081504543716803823   -0.046685495549425582 -6.2172489379008766e-12,0.012787784449756145
IIWA_14,1714648832.4827561, 0.53347783156560202   1.2419548879468922 -0.10863334355332095  -1.2629526880505684  -1.0948876076583673   1.8171798868270406 -0.61712874011822327,-0.0054991505790948272  0.0012932910223629568    -0.0807344787950382  -0.044772542035614066 0.00066054878974595999  -0.074241273961808379 2.1676773277068982e-05,  14.742695953369141    67.45837918090821     12.1345422706604  -11.073929237365723   1.3135193634033202   -1.482191204071045 -0.10980430221557617, -23.440713662073779   2.8732610689755926  -14.079316851587702  -6.7345889555481104 -0.70223923393416088   -1.863134043213108   0.2111407771363718, 0.56087476015090942 0.056928627192974091  0.18076407909393311, 0.48952969908714294 -0.50066280364990234  0.49623066186904907  0.51327627897262573,  0.0025363850872963667   -0.020875489339232445 -0.00097023806301876903,0.00080609775613993406   -0.65577280521392822   0.013803034089505672,   0.2456599622964859 -0.020314382389187813   0.06670428067445755 -0.020314382389187813   0.23303793370723724  0.032267820090055466   0.06670428067445755  0.032267820090055466   0.18158914148807526,   0.74803312692850454   -0.60708634300077335     1.2092333759170515    0.70735862181958709  -0.081288294401460348  -0.046888133097056084 1.7763568394002505e-12,0.019256394356489182
IIWA_14,1714648832.4877584, 0.53346369014442074    1.241955906564677 -0.10964157641080062  -1.2635190025596954  -1.0948901005121381   1.8161197022808799 -0.61712844046700732,-0.0049649773105270457  0.0010753775292818481   -0.10491689733521729  -0.058470613993572472 0.00042872488096711296   -0.10180040101587215 2.9327467259712597e-05,  13.122336837768556   67.378647224426274   11.704382358551026  -11.028224746704101   1.2985529899597168  -1.4020908012390136 -0.11180681228637696, -23.213838209445605   2.8191511224267272  -13.834202525183789  -6.6532814262639279 -0.71200540331988704  -1.8412010353268999  0.22727391533361324, 0.56091594696044922 0.056621164083480835  0.18075808882713318, 0.48947903513908386 -0.50058865547180176  0.49630749225616455  0.51332265138626099, 0.0036664181388914585   -0.02900327742099762 -0.0010018593166023493,0.00077917898306623101   -0.65578359365463257   0.013795892708003521,  0.24565218389034271 -0.020253552123904228  0.066725432872772217 -0.020253552123904228   0.23309661448001862  0.032186564058065414  0.066725432872772217  0.032186564058065414   0.18155433237552643,    0.74541788487625382    -0.60522690660214096      1.2054983234737193     0.70529480197478733   -0.080929073790869666    -0.04719914197437447 -1.7763568394002505e-12,0.026756521314382553
