DesiredFlux,0.66,HitTime,1714649045.761404,DesiredPos, 0.56688892841339111 -0.30819815397262573  0.19878248870372772
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714649045.0859821, 0.61197228767075207   1.0881627678093515 -0.17994409568851252  -1.4533898115215673   -1.082766570892624   1.6698806399981709  -0.5978735061921695,-4.1536653232776719e-05  1.4284296065081175e-06 -0.00020197610285417199   -2.16120680708901e-05  2.6150662874392518e-06 -1.6275216869878822e-05 -9.9020913258818521e-06,0.079731956481933597    67.51753514862061   6.5505289115905763  -14.246358589172363   1.6956020736694335  -1.8706781578063965  0.11013805389404296, -6.8452006462312358   5.6034198577559202  -2.5906614438506979  0.38228652055852058  0.41603540186484322 -0.21636920965946152 -0.36096483959569564, 0.54440104961395264 0.053390923887491226  0.22052408754825592, 0.52594596147537231 -0.49491286277770996  0.50903314352035522  0.46832394599914551, 1.8017861293628812e-05 -9.3545721028931439e-05    4.24479330831673e-05,  0.03842347115278244  -0.72044950723648071 -0.037146665155887604,  0.24619615077972412 -0.013074439950287342  0.066839240491390228 -0.013074439950287342    0.2364739328622818  0.024127725511789322  0.066839240491390228  0.024127725511789322   0.18257829546928406,    0.46749047309191383    -0.49968532380617603     0.84317076703310789     0.47362012700169487    0.011948427335539691       0.142356439524427 -1.7763568394002505e-12,9.5281524409074336e-05
IIWA_14,1714649045.0909774,  0.6119721079018392   1.0881627678093515 -0.17994493453738425  -1.4533900511770903   -1.082766570892624   1.6698806399981709 -0.59787338630986642,-4.0420079100895866e-05   1.142743685206494e-06 -0.00019513483715237427 -2.6875875376000815e-05  2.0920530299514014e-06 -1.3020173495903058e-05 -3.1263809373225612e-06,0.090019950866699228   67.509819152832037   6.5491846618652341  -14.246358589172363   1.7008843231201172  -1.8696769027709961  0.10913679885864258, -6.8409140689993722    5.603882958016249  -2.5872910202160302  0.38520697023569783  0.41539347510160457 -0.21799034453887481 -0.36099666099920635, 0.54440110921859741 0.053390368819236755  0.22052432596683502,0.52594548463821411 -0.4949130117893219 0.50903326272964478 0.46832424402236938, 1.7717362425173633e-05 -9.7143143648281693e-05  4.3436713895061985e-05, 0.038423370569944382  -0.72044956684112549 -0.037147119641304016,  0.24619606137275696 -0.013074410147964954  0.066839300096035004 -0.013074410147964954   0.23647399246692657  0.024127619341015816  0.066839300096035004  0.024127619341015816   0.18257832527160645,    0.46748917337691154    -0.49968266764466307     0.84316726179523016     0.47361786060395872    0.011947866195960444      0.1423543444856179 -4.4408920985006262e-12,9.8554723081178963e-05
IIWA_14,1714649045.0959783,  0.6119721079018392   1.0881627678093515 -0.17994595326425203  -1.4533901111727834   -1.082766570892624   1.6698806399981709 -0.59787356607877939,-3.2336063280716696e-05  9.1419494816519521e-07  -0.0001968569444330877 -2.3900528024010222e-05  1.6736424239611213e-06 -1.0416138796722447e-05 -9.6918612689734315e-06,0.092591949462890635   67.527823143005378   6.5532174110412598  -14.253079837799072   1.6973628234863281  -1.8706781578063965  0.10813554382324218,  -31.42450629763356   6.4545865462113543  -19.948098572241754  -11.746817009616532   1.9006461317098444   3.8857163190505388 -0.36097956047418667, 0.54440116882324219 0.053389851003885269  0.22052448987960815, 0.52594512701034546 -0.49491304159164429  0.50903332233428955  0.46832454204559326,   1.63231925398577e-05 -9.8332224297337234e-05   4.133018956054002e-05, 0.038423348218202591  -0.72044956684112549 -0.037147752940654755,  0.24619600176811218 -0.013074366375803947  0.066839352250099182 -0.013074366375803947   0.23647405207157135  0.024127516895532608  0.066839352250099182  0.024127516895532608   0.18257832527160645,    0.46748737943325125      -0.499680139880887     0.84316360751746089     0.47361554485636503    0.011947600477846265      0.1423526588180124 -1.7763568394002505e-12,9.8581876954995096e-05
IIWA_14,1714649045.1009781, 0.61196827286805711   1.0881630673514844 -0.17996045411417605  -1.4534050314471434  -1.0827638864017015   1.6698993953063128 -0.59787368596108237,-0.00017927020190840616  1.2713041273553352e-05 -0.00073751955250729714 -0.00061593139681954956   0.0001087185508369442  0.00074187941463791447 -1.2548781134120775e-05,0.17232390594482422  67.499531158447269  6.7656088676452635 -14.013803386688233   1.677114200592041 -1.9207409095764161 0.11214056396484375, -31.424543497172412   6.4545656242739238  -19.948115074386447  -11.746800328419422   1.9006334735312866   3.8856512656495705 -0.36099745367723657, 0.54440116882324219 0.053389407694339752  0.22052465379238129, 0.52594470977783203 -0.49491310119628906   0.5090334415435791  0.46832481026649475, 1.3677121387445368e-05 -9.6409843536093831e-05  3.9863240090198815e-05, 0.038423445075750351  -0.72044956684112549 -0.037148330360651016,   0.2461959570646286 -0.013074331916868687  0.066839389503002167 -0.013074331916868687   0.23647409677505493  0.024127434939146042  0.066839389503002167  0.024127434939146042   0.18257832527160645,    0.46748592955125901    -0.49967810520001876     0.84316064923584122     0.47361367805809351    0.011947395749167811     0.14235092482639544 -2.6645352591003757e-12,9.6126270364038646e-05
IIWA_14,1714649045.105978, 0.61188186663461253   1.0881683404274871 -0.18033232465474763  -1.4537546712926999  -1.0827016643666703   1.6702776174272818 -0.59787608273447768, -0.0035996654993099377  0.00022109347312812143   -0.015464837264869193   -0.014478338939714475   0.0025758562419198089    0.015722388370467959 -0.00010590996071961105, 5.1594291839599613  66.262399833679197  11.781004592895508 -8.1017930946350099  1.1973098754882812 -3.4092733955383299 0.15886579895019531, -31.424699719447663   6.4546074215310165   -19.94811323267562  -11.746853117127543    1.900653343963703    3.885604199107719 -0.36099585871319995, 0.54440128803253174 0.053389035165309906  0.22052489221096039, 0.52594435214996338 -0.49491307139396667  0.50903362035751343  0.46832507848739624, 1.4097900930210017e-05 -9.2034621047787368e-05  4.1302086174255237e-05, 0.038423556834459305  -0.72044950723648071 -0.037148945033550262,  0.24619588255882263 -0.013074297457933426  0.066839441657066345 -0.013074297457933426   0.23647415637969971  0.024127354845404625  0.066839441657066345  0.024127354845404625   0.18257835507392883,    0.46748450321132395    -0.49967625951907735      0.8431577002658841     0.47361202824980353    0.011947395220701651     0.14234927333145464 -8.8817841970012523e-13,9.3055568868294358e-05
IIWA_14,1714649045.1109779, 0.61186341097768648   1.0881560565820454 -0.18078568789058719  -1.4540425323732222  -1.0826717516922191   1.6707910216256361 -0.59787853950356606, -0.0036179586764896261 -0.00031447903916624105   -0.030506399245477538   -0.023097114372666257   0.0032571919715831429    0.033114078630547487 -0.00018299873211121282,  9.5961267623901367   64.132784996032711   14.617371513366699  -7.3664884948730469   1.0907845115661621  -2.8228716964721681 0.030371402740478514, -31.408634712058422   6.4508890246846127  -19.933188133248937  -11.736378862397419   1.8983797490478502   3.8771790662315446 -0.35972696868543658,0.54439520835876465  0.0533783920109272 0.22052954137325287, 0.52593183517456055 -0.49491044878959656  0.50903403759002686   0.4683414101600647, -0.0002304678491782397 -0.00049931759713217616  0.00021891783399041742, 0.038423575460910797  -0.72044950723648071 -0.037149339914321899,  0.24619625508785248 -0.013073884882032871  0.066839538514614105 -0.013073884882032871   0.23647518455982208  0.024126272648572922  0.066839538514614105  0.024126272648572922   0.18257702887058258, 0.46746567414324147 -0.49964671950686323  0.84311777000500854  0.47358296738231331 0.011938766637520359  0.14227649114051388                    0,0.0005407603457570076
IIWA_14,1714649045.1159782, 0.61186430971316819   1.0881522216573463 -0.18139304839856413  -1.4544506551476868  -1.0826623560612569     1.67167557728891 -0.59787865938586904, -0.0028584175219236014 -0.00040498021929823033   -0.048699539715459608   -0.034802602476715364   0.0029815788157520756    0.061873489435395786 -0.00015119427780791228,  13.081184860229493   65.711992134094245   15.704869541168213  -7.8947786369323731   1.4024372291564942  -3.4539961204528806 0.042386463165283203, -31.016404751614829   6.3665889684908619   -19.56405394376997  -11.494270996175926   1.8461449468426929   3.6894256434360519 -0.33171402585567145,0.54426479339599609 0.05312085896730423 0.22063545882701874, 0.52564787864685059 -0.49485281109809875  0.50904673337936401  0.46870720386505127,-0.0054030939936637878  -0.010697088204324245  0.0044138957746326923, 0.038423780351877213  -0.72044950723648071 -0.037149816751480103,  0.24620229005813599 -0.013061383739113808  0.066843807697296143 -0.013061383739113808   0.23650127649307251  0.024096375331282616  0.066843807697296143  0.024096375331282616    0.1825471967458725,    0.46691579053703691    -0.49885574827523982      0.8420035750953403     0.47280423606377298    0.011748476093309534     0.14062980158602301 -4.4408920985006262e-12,0.011667454615235329
IIWA_14,1714649045.1209779, 0.61187827136543649   1.0881573149644359  -0.1821698658688603  -1.4550371031205664  -1.0826409763015188   1.6728500912639688 -0.59788039707930563, -0.0017282679268068131 -0.00012025189185286178   -0.070032330584214736    -0.05130000089655852   0.0032404534421276335    0.096479350550666393 -0.00019046315970983318, 15.082199768066408  65.333908340454101  15.988506233215332 -8.3625775413513193  1.2448501205444336  -3.241396301269531 0.09244921493530274, -30.728660252147126   6.3436326395591482  -19.217274526306365  -11.326611731905016    1.826676582562003   3.4996007842588583 -0.32161076900518437,  0.5441480278968811 0.052883610129356384   0.2208067923784256, 0.52529627084732056 -0.49478837847709656  0.50912421941757202  0.46908503770828247,-0.0089988745748996735  -0.018036618828773499   0.010390125215053558, 0.038423728197813034  -0.72044980525970459 -0.037150375545024872,  0.24619537591934204 -0.013052326627075672  0.066853582859039307 -0.013052326627075672   0.23652626574039459  0.024072706699371338  0.066853582859039307  0.024072706699371338   0.18253006041049957,   0.46649384636676672    -0.4982458754279051     0.8410879533302662     0.4722197955748797   0.011661846413879573    0.13877776742354797 4.4408920985006262e-12,0.020717112347483635
IIWA_14,1714649045.1259782, 0.61190253940510386     1.08815371969526 -0.18312518830648419  -1.4558007380099391  -1.0826303343309376   1.6744285934375776 -0.59788075661713147,-0.00041189275475047248 -0.00024001228051935639   -0.094238761972327389   -0.071585396292154796   0.0030180415769502835     0.14032356738488416 -0.00016675204080165642,  16.30904309844971  64.909528572082522  14.874123210906982 -8.1649728317260735 0.91647027969360351 -3.0391427841186522  0.1405094566345215, -30.368702984497624   6.3073729886716574   -18.76167631414274  -11.092492355057605   1.8074810850704996   3.2164339279809924 -0.30507829781006335, 0.54396158456802368 0.052571401000022888  0.22106897830963135, 0.52476626634597778 -0.49466574192047119  0.50925725698471069   0.4696628749370575,-0.014665738679468632 -0.026887355372309685  0.018811913207173347, 0.038447827100753784  -0.72045427560806274 -0.037171568721532822,  0.24619080126285553 -0.013043089769780636  0.066863514482975006 -0.013043089769780636   0.23655857145786285  0.024050207808613777  0.066863514482975006  0.024050207808613777   0.18250301480293274, 0.46603689303204021 -0.49764110234296055   0.8401446551706826  0.47163114175230447 0.011615147156973649  0.13596600243470647                    0,0.032835982739925385
IIWA_14,1714649045.1309783, 0.61191913759537342   1.0881550978508705 -0.18429922297049711  -1.4567066255236636  -1.0826382918105961    1.676433074849228 -0.59788225465504508, 0.00033441340698188871 -0.00013688359999465343    -0.12235239613837866   -0.093503817582701682   0.0020961340752187075     0.19243811037392489 -0.00019332314918553978, 14.961315834045411  65.012408515930176  15.235726387023925 -6.9255745849609376  1.0397227668762208 -3.4940463218688964 0.10546553039550781, -29.924698060254087   6.2332871231476883  -18.213125954355327  -10.780268198004304   1.7736239817380357   2.8633599981219966 -0.27452745282309854, 0.54369372129440308 0.052165132015943527  0.22139880061149597, 0.52408099174499512 -0.49448370933532715  0.50941973924636841  0.47044289112091064,-0.022466007620096207 -0.037697874009609222  0.028268689289689064, 0.038967140018939972  -0.72040867805480957 -0.037638913840055466,  0.24619317054748535 -0.013029430992901325  0.066872484982013702 -0.013029430992901325   0.23660135269165039  0.024021860212087631  0.066872484982013702  0.024021860212087631   0.18245932459831238,   0.46538099119874943   -0.49687913403673178    0.83890332417713154    0.47086037183330376   0.011570060586940656    0.13224379721155088 1.7763568394002505e-12,0.047688022255897522
