DesiredFlux,0.72,HitTime,1714649275.7673919,DesiredPos,0.55284774303436279 -0.3158835768699646 0.19912390410900116
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714649274.9584856, 0.57936189335587274   1.0872148755656026 -0.15373183941041993  -1.4417404258788151  -1.0663339935195379   1.6911371196045251 -0.60600156702331087,-7.6363419812741767e-06  8.3832043400657297e-07  3.0330890549259393e-06 -1.3738533247052051e-05  -1.128634308310463e-06 -5.0316760059078251e-06 -2.6938819877440381e-06,-0.19547189331054687   67.499531158447269   5.7439790763854983  -14.689960998535156   1.3795474815368651  -2.3209091720581054  0.42887090682983398,  -4.0225153590436324    5.7726613517066259   -3.0203256003815544   -1.1969570538484833  -0.34399300551997225 0.0055736569762313559 0.0061239035651804719,   0.541451096534729 0.046998962759971619  0.21819759905338287,0.52221763134002686 -0.5074724555015564 0.49107110500335693 0.47813138365745544,-4.2848050725297071e-06 -5.5784930736990646e-06 -1.0633984857122414e-06,  0.01333150640130043  -0.78744208812713623 -0.022312039509415627,  0.24605442583560944 -0.016077987849712372  0.066626310348510742 -0.016077987849712372    0.2356627881526947  0.024672096595168114  0.066626310348510742  0.024672096595168114   0.18332609534263611,    0.57889294493573829     -0.4906151198298403     0.92764662744837523     0.48554357851227081   -0.064129173664717598     0.11970550278128655 -2.6645352591003757e-12,6.501228654087754e-06
IIWA_14,1714649274.9634824, 0.57936189335587274   1.0872148755656026 -0.15373183941041993  -1.4417406655343381  -1.0663338975264292   1.6911372993734382 -0.60600162690992088,-6.1090735850193419e-06  6.7065634720525846e-07  2.4264712439407516e-06 -2.0577047516930376e-05  2.9368169051578694e-06  3.1654157188300142e-06 -4.5505699903685829e-06,-0.19547189331054687   67.499531158447269   5.7386020774841304  -14.680551250457764   1.3804278564453125  -2.3192404136657716  0.42887090682983398,  -4.0216204198930932    5.7721990544081763   -3.0199586950172952   -1.1954344574981719  -0.34467129805367813 0.0050230379264794844 0.0061264526231993854,   0.541451096534729 0.046998929232358932   0.2181975394487381,0.52221775054931641 -0.5074724555015564 0.49107104539871216 0.47813135385513306, -3.444764161031344e-06 -5.7030401876545511e-06 -3.6030637602380011e-06, 0.013331516645848751  -0.78744208812713623 -0.022312073037028313,  0.24605444073677063 -0.016077984124422073  0.066626302897930145 -0.016077984124422073    0.2356627881526947  0.024672089144587517  0.066626302897930145  0.024672089144587517   0.18332608044147491,    0.57889283214418441    -0.49061489210533438     0.92764643836762417     0.48554333447370368   -0.064129301399873384     0.11970581531794977 -1.7763568394002505e-12,6.9220022851368412e-06
IIWA_14,1714649274.9685118, 0.57936189335587274   1.0872148755656026 -0.15373195929272293  -1.4417405457611181  -1.0663339935195379   1.6911371196045251 -0.60600156702331087,-4.8872588680154737e-06  5.3652507776420677e-07 -2.8541151248996512e-06 -1.1670709213197594e-05 -1.4902708276799439e-06 -4.6584239484922627e-06 -1.2449915921215136e-06,-0.22376387786865234   67.478955169677732   5.7278480796813964  -14.669797252655028    1.378667106628418   -2.320241668701172  0.43053966522216797,  -31.071304361525801     6.358933957674445   -22.409982159125363   -11.987963491117158  -0.34606498009135661    3.2744238198273017 0.0061616458612703817, 0.54145097732543945 0.046998880803585052   0.2181975245475769, 0.52221769094467163 -0.50747239589691162    0.491070955991745  0.47813153266906738,-7.4243571361876093e-06 -6.5159538280568086e-06 -3.2076388833957026e-06,0.013331599533557892 -0.78744208812713623 -0.02231207862496376,  0.24605447053909302 -0.016077984124422073  0.066626295447349548 -0.016077984124422073    0.2356627881526947  0.024672089144587517  0.066626295447349548  0.024672089144587517   0.18332605063915253,    0.57889275687195152    -0.49061486689883083     0.92764637448983223     0.48554322650939952   -0.064129416036173836     0.11970528919658108 -8.8817841970012523e-13,9.4912429631222039e-06
IIWA_14,1714649274.9734848, 0.57936189335587274   1.0872148755656026 -0.15373201917933288  -1.4417405457611181  -1.0663338975264292   1.6911371196045251  -0.6060014471410079,-3.9098070944123788e-06  4.2922006221136541e-07 -4.6787564978726278e-06 -9.3365673705580758e-06  2.6475076896622844e-06 -3.7267391587938103e-06  3.7992988452448185e-06,-0.24433986663818361   67.460951179504391   5.7049958343505862   -14.65501050567627   1.3804278564453125  -2.3195741653442381  0.43087341690063474,   -31.07135593453869    6.3590300731173484   -22.409953887261601   -11.988085367354712  -0.34600990853717994     3.274473433866655 0.0061183212860910635, 0.54145103693008423 0.046998865902423859  0.21819755434989929, 0.52221769094467163 -0.50747239589691162  0.49107104539871216  0.47813144326210022,-2.3380337097478332e-06 -5.8981631809729151e-06 -1.7441237787352293e-06, 0.013331559486687183  -0.78744208812713623 -0.022311942651867867,  0.24605444073677063 -0.016077976673841476  0.066626302897930145 -0.016077976673841476    0.2356628030538559  0.024672077968716621  0.066626302897930145  0.024672077968716621   0.18332606554031372,    0.57889245821929336    -0.49061462234778475     0.92764590706284622     0.48554303956915845   -0.064129269830459634      0.1197055199337882 -2.6645352591003757e-12,6.01318834014819e-06
IIWA_14,1714649274.978483, 0.57935638062434724   1.0872151152211256 -0.15374556140716528  -1.4417533688042157  -1.0663339935195379   1.6911528189502298 -0.60600162690992088,-0.00022363710669521562  9.9295969690578279e-06 -0.00054543211849418266 -0.00052039097779949461  -1.721718200076412e-06  0.00062499243686409568  -4.151317442919527e-06,-0.15946391296386719   67.468667175292978   5.8743712997436521  -14.457405796051026   1.3874708557128905  -2.3652981452941892   0.4285371551513672,  -31.071356929992131     6.359060088195494   -22.409934643313001   -11.988110367984694  -0.34602538150721285    3.2744689971641527 0.0060951188585650767, 0.54145103693008423 0.046998843550682068  0.21819755434989929, 0.52221763134002686 -0.50747251510620117  0.49107104539871216  0.47813141345977783,-2.3782406515238108e-06 -5.5630011956964154e-06 -1.3499595752364257e-06, 0.013331739231944084  -0.78744208812713623 -0.022311991080641747,  0.24605444073677063 -0.016077976673841476  0.066626310348510742 -0.016077976673841476    0.2356628030538559  0.024672072380781174  0.066626310348510742  0.024672072380781174   0.18332606554031372,  0.57889250368425849  -0.49061447207066067   0.92764572743231355   0.48554292855218506 -0.064129419702574353   0.11970541210359897                     0,5.6648264035175089e-06
IIWA_14,1714649274.9834564, 0.57924037338862266   1.0872185906079985  -0.1540992158372507  -1.4420424882671286  -1.0663353356777328   1.6915230715705849 -0.60600264563678863, -0.0048191991143393745   0.0001469591524933712   -0.014582522898212167   -0.011981091298754758 -5.5063702352296166e-05    0.015310098763693695 -4.4070128664413667e-05, 5.8693007965087896   66.21095986175537  11.279599445343017 -9.2296186141967773  1.1708986282348632 -3.9869975509643556 0.45223352432250974,  -31.054965360717556    6.3559555357499722   -22.394833397360625   -11.978642072252482  -0.34735783060643954    3.2667032172959778 0.0070064982946295012, 0.54144644737243652 0.046988289803266525  0.21820192039012909, 0.52220618724822998 -0.50746989250183105  0.49107182025909424  0.47814586758613586, -0.0001857707102317363 -0.00042661736370064318  0.00017361615027766675, 0.013331662863492966  -0.78744208812713623 -0.022312015295028687,  0.24605455994606018 -0.016077503561973572  0.066626541316509247 -0.016077503561973572   0.23566392064094543  0.024671014398336411  0.066626541316509247  0.024671014398336411   0.18332491815090179,    0.57886995129319274    -0.49058468731022487      0.9276037844125895      0.4855142964963477    -0.06413513156910966     0.11963926175884154 -8.8817841970012523e-13,0.00045386099372990429
IIWA_14,1714649274.9884827, 0.57918524596428456   1.0872096024896001 -0.15452112049507075  -1.4422864870418866  -1.0663400335804802   1.6919908158831285 -0.60600612102366169,  -0.006060456264995834 -0.00024195741394311367     -0.0285422046313717   -0.019344824029323929 -0.00023196707178127003    0.030957851512698725 -0.00017427157785409675, 10.218550422668457  65.120432456970221    14.0191803855896 -8.5037237625122071  1.0001058959960938 -2.8459005622863769 0.35577928924560548, -30.671078260999398   6.2929111859297846  -22.026250682571206  -11.763676257620473 -0.37557509483486973   3.0831261702413792 0.024835734092322426, 0.54134470224380493 0.046737555414438248  0.21831533312797546, 0.52192389965057373 -0.50741314888000488  0.49110245704650879  0.47848272323608398,-0.0042210482060909271  -0.010367205366492271  0.0046772765927016735, 0.013331668451428413  -0.78744244575500488 -0.022312024608254433,  0.24605338275432587 -0.016065822914242744  0.066634148359298706 -0.016065822914242744   0.23569124937057495  0.024644654244184494  0.066634148359298706  0.024644654244184494   0.18330065906047821,   0.57831557248189114   -0.48986065030476311    0.92655565238164428    0.48482723494647217  -0.064256070873014437    0.11805338993209347 8.8817841970012523e-13,0.011086313053965569
IIWA_14,1714649274.9935076, 0.57914096423408445   1.0872113401830366 -0.15510025815637832  -1.4426714802767717  -1.0663360067568302   1.6927976537801406 -0.60600564160353276,  -0.006619634220000746 -0.00012405819369542848   -0.045999270157400227   -0.030875588618865822 -2.4500711421700466e-05    0.057039797090642198  -0.0001202404571261046, 13.904224411010743  65.621972183227541  15.298906124114991 -8.4553307723999023  1.1691378784179687 -3.7413563156127929 0.38047691345214846, -30.384490654817359   6.2729526626976204  -21.692843366968052  -11.608252314738952 -0.38631332257533446   2.9058219677485893 0.031145486987063903, 0.54124963283538818 0.046503845602273941   0.2184748500585556, 0.52159267663955688 -0.50735419988632202  0.49117603898048401   0.4788307249546051,-0.0071842316538095474  -0.017632432281970978   0.010127002373337746, 0.013341937214136124  -0.78744971752166748 -0.022325329482555389,  0.24604250490665436 -0.016056867316365242  0.066646046936511993 -0.016056867316365242   0.23571792244911194  0.024622036144137383  0.066646046936511993  0.024622036144137383    0.1832856684923172,    0.57786291195771611    -0.48925879653882731     0.92563446581728215     0.48428060784466709   -0.064317166904359624     0.11630958715436179 -8.8817841970012523e-13,0.019707376137375832
IIWA_14,1714649274.9984825, 0.57912286800590129   1.0872120592586885 -0.15583626939243056  -1.4432378547815916  -1.0663404170293169   1.6938275181392863 -0.60600606113705169, -0.0060195565033270785 -7.0483528879881265e-05    -0.06623986556800987   -0.047355451087888203 -0.00019601146860798521    0.086826412038344167 -0.00011297370645788312, 15.642895462036133  65.634832176208505  15.356708862304687 -8.1622843322753909  1.1013490104675292 -3.5003876037597657 0.40784455108642576, -30.010892453945466   6.2270768527833598  -21.248350633614212  -11.372680526521876 -0.40762916998522919   2.6368474137220481 0.048054795366573658,    0.54107666015625 0.046187248080968857  0.21871094405651093,0.52109259366989136  -0.507240891456604 0.49128508567810059 0.47938308119773865,-0.012677015736699104 -0.026742978021502495  0.017555996775627136, 0.013579192571341991  -0.78744393587112427 -0.022655237466096878,  0.24603530764579773 -0.016046714037656784  0.066658072173595428 -0.016046714037656784   0.23575428128242493  0.024597996845841408  0.066658072173595428  0.024597996845841408    0.1832575649023056,  0.57731999537935508  -0.48859521007127427   0.92457978077575831   0.48366591721649144 -0.064376648342800991   0.11361392147968274                     0,0.031445484608411789
IIWA_14,1714649275.0034821, 0.57912999865764347   1.0872102016829488 -0.15675324236489885  -1.4439711095973395  -1.0663420468177724   1.6952066628061628 -0.60600678021270349, -0.0045304191329743797 -0.00013068985269079129   -0.089670811353139437   -0.067214553500227772 -0.00022200071310743148     0.12462691630573523 -0.00011914199123832714, 15.537443519592285  64.822080619812013  14.317603824615478  -7.729435920715332 0.75800279617309574 -3.0104401397705076 0.41685584640502932, -29.583580684625634   6.1498337293231842  -20.733479652302357   -11.07528460756571 -0.43568981669812362   2.3131864205859438 0.078803219473236846, 0.5408320426940918  0.0457913838326931 0.21900454163551331, 0.52046996355056763 -0.50706136226654053  0.49142563343048096  0.48010480403900146,-0.019939884543418884 -0.037175346165895462  0.025812173262238503, 0.013840007595717907  -0.78743720054626465 -0.023091454058885574,  0.24603532254695892 -0.016029899939894676  0.066669195890426636 -0.016029899939894676   0.23580135405063629  0.024568825960159302  0.066669195890426636  0.024568825960159302    0.1832127720117569,    0.57648543740995706    -0.48780405928017245     0.92318903551813492     0.48287996452156534   -0.064369035292166643     0.11016076387537765 -8.8817841970012523e-13,0.045193132013082504
