DesiredFlux,1.04,HitTime,1714657247.574836,DesiredPos, 0.51918983459472656 -0.34078496694564819   0.1988617330789566
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714657247.0062408, 0.56498429891085944   1.1618125410493942 -0.19090085308993088  -1.5074326138678205  -1.0987563072708648   1.6825965017717881 -0.48662310742074538,  0.0001712302493351984  6.5954101678642291e-06 -6.5988819963088956e-05  0.00055335201139084704  6.6201013971276913e-06  1.0223940016347073e-05 -8.7108656429107191e-05,-2.2993667449951172  66.064355941772462  6.6042989006042481 -11.814610836029052  1.4314896011352538 -2.0689266548156739 0.16987960433959962, -1.0163092323320206  -2.7472613272685558   1.2114670151359372  0.01322959392458644   1.1865438779304771  0.28418958193992011 -0.77101078810326462,  0.52151232957839966 0.0075306869111955166   0.18821160495281219, 0.48816967010498047 -0.48831740021705627  0.52081269025802612  0.50198668241500854,0.00015581291518174112 0.00017277944425586611 5.2814266382483765e-05,-0.0016569535946473479    -1.1401170492172241  0.0076085608452558517,   0.25777772068977356 -0.0070802783593535423   0.061067547649145126 -0.0070802783593535423    0.24072982370853424   0.017441948875784874   0.061067547649145126   0.017441948875784874     0.1672016829252243, 0.24407462194275809 -0.32431669567856147  0.56627722869251329  0.29836339624811359 0.009480458573740691 -0.04722843776328034                    0,0.00021762322285212576
IIWA_14,1714657247.0112405, 0.56498429891085944   1.1618126009360044 -0.19090079320332093  -1.5074277003296437  -1.0987564990825496   1.6825966216540911 -0.48662352695426431, 0.00013698419946815872  7.6717925389056288e-06 -5.0395591572518261e-05  0.00063922313618372572 -2.3763862726050941e-06  1.2974444132019688e-05 -8.6468265900285202e-05,-2.2890787506103516   66.02834796142578  6.6150528984069821 -11.776971843719483  1.4314896011352538 -2.0705954132080078 0.17254961776733399, -1.0163270412656733  -2.7463824546580553   1.2115887825819249 0.012095598855951871   1.1869490511337064   0.2844368736998692 -0.77142616148978782,  0.52151381969451904 0.0075315241701900959   0.18821200728416443,  0.4881693422794342 -0.48831865191459656  0.52081328630447388  0.50198513269424438,0.00018324180564377457 0.00017173087690025568 5.8442845329409465e-05,-0.0016574724577367306    -1.1401170492172241  0.0076081342995166779,  0.25777730345726013 -0.007080430630594492    0.0610678531229496 -0.007080430630594492   0.24072974920272827  0.017442105337977409    0.0610678531229496  0.017442105337977409    0.1672021746635437,   0.24408003168385761   -0.32431983446734591    0.56628383867707299    0.29836788647230605  0.0094801029035807005  -0.047225121596383701 8.8817841970012523e-13,0.00023519841488450766
IIWA_14,1714657247.0162418, 0.56498441879316241   1.1618126009360044 -0.19090067332101793  -1.5074221875981182  -1.0987563072708648   1.6825965017717881 -0.48662394637870016, 0.00011438265169346901   6.137434031124503e-06 -3.5521181137962358e-05  0.00073188776996666635  5.7713583722231717e-06  5.5842631866737208e-06 -8.5951590154191389e-05,-2.2685027618408204  66.025775962829599   6.631183895111084 -11.779660343170166  1.4306092262268066  -2.068592903137207 0.17254961776733399, -42.967657534368733   6.7384535833704309  -25.005557221878274  -15.242498394322416   2.1761055648575796   -1.516748166933477 -0.77181536519692862,  0.52151542901992798 0.0075324787758290768   0.18821239471435547,  0.4881691038608551 -0.48831990361213684  0.52081400156021118  0.50198346376419067,0.00021175238362047821 0.00017555247177369893 6.2369748775381595e-05,-0.0016580935334786773    -1.1401169300079346   0.007607840932905674,   0.25777682662010193 -0.0070805884897708893   0.061068173497915268 -0.0070805884897708893    0.24072965979576111   0.017442287877202034   0.061068173497915268   0.017442287877202034    0.16720269620418549,     0.2440856527261559    -0.32432344445076922     0.56629120246309839     0.29837288728717937   0.0094800444330189748   -0.047221204386715954 -1.7763568394002505e-12,0.00025726913008838892
IIWA_14,1714657247.0212173,  0.5649845386754655   1.1618125410493942   -0.190900433665495  -1.5074170942910285  -1.0987563072708648   1.6825965017717881 -0.48662412614761313, 9.6301413478158137e-05  2.5144828202853579e-06 -1.8830723993301597e-05  0.00078924249955905558  4.6170866977785374e-06  4.4674105493389765e-06 -7.5952028642468491e-05,-2.2427827758789065  66.010343971252439  6.6822653846740723 -11.794447090148926  1.4350111007690429 -2.0689266548156739 0.17221586608886719,-42.968128283577705  6.7391939189330801 -25.005795574130648 -15.243477663324784  2.1762886530433669  -1.516371793987872 -0.7722380607254784,  0.52151721715927124 0.0075336303561925888   0.18821275234222412, 0.48816895484924316 -0.48832148313522339  0.52081459760665894  0.50198149681091309,0.00024054707319010049 0.00018651143182069063 6.4221610955428332e-05,-0.0016589582664892077    -1.1401169300079346  0.0076073869131505489,   0.25777629017829895 -0.0070807775482535362   0.061068534851074219 -0.0070807775482535362    0.24072955548763275   0.017442485317587852   0.061068534851074219   0.017442485317587852    0.16720327734947205,    0.24409239663381044    -0.32432748571675774     0.56629949765518717     0.29837852260694575   0.0094795292442384493   -0.047216201839894723 -5.3290705182007514e-12,0.00028376103728078306
IIWA_14,1714657247.0262189, 0.56497830686828809    1.161817154936355 -0.19091667220885558  -1.5074291983675574  -1.0987542938590398   1.6825885322711742 -0.48662460545865899,-0.00017223115631362072  0.00018656706468477796 -0.00066460631361786148  0.00014723093849318078   8.423014235988061e-05 -0.00031520609611573853  -7.993406474811137e-05,-2.0395948867797853  65.848308059692386  7.0075738182067875 -11.584744132995606  1.4138821029663087 -2.0432277755737305 0.17188211441040038, -42.968490071366006   6.7397764422999549  -25.005980751933333   -15.24421980856574   2.1764516285485289  -1.5160939095184873 -0.77260941547760942,  0.52151888608932495 0.0075347507372498512   0.18821312487125397,0.48816877603530884  -0.488322913646698 0.52081525325775146  0.5019795298576355,0.00025899108732119203 0.00019403493206482381  6.606905662920326e-05,-0.0016600093804299831    -1.1401169300079346  0.0076070390641689301,   0.25777581334114075 -0.0070809549652040005   0.061068862676620483 -0.0070809549652040005    0.24072946608066559   0.017442692071199417   0.061068862676620483   0.017442692071199417    0.16720382869243622,  0.24409872838493385  -0.32433163915346341   0.56630779463606729    0.2983840723915776 0.0094793053344588429 -0.047211495364685163                     0,0.00030127869104035199
IIWA_14,1714657247.0312424, 0.56485205302269115    1.161902242900799 -0.19137063463804393  -1.5077545700643635  -1.0987166155166148    1.682408289501327 -0.48662598372335264, -0.0051879387489287528   0.0035527722295103769   -0.018690182218428438   -0.012897083121450718   0.0015745178108864128  -0.0074618756707799157 -0.00011907783954457747, 5.3986250534057616  59.953287277221683  12.902108863830566 -5.3729661521911618  1.0731770133972167  -1.889702003479004 0.17755589294433594, -42.951582123856547   6.7330675443920978  -24.993336173881598  -15.233862530572505   2.1729672198729744  -1.5183511189491981 -0.77063727138844373,  0.52151620388031006 0.0075231632217764854   0.18821235001087189, 0.48816439509391785 -0.48832085728645325  0.52081334590911865   0.5019877552986145, 9.9155637144576758e-05 -0.00030828494345769286  2.2046462618163787e-05,-0.0016611524624750018     -1.140116810798645  0.0076067317277193069,   0.25777631998062134 -0.0070797912776470184   0.061068765819072723 -0.0070797912776470184    0.24073034524917603   0.017439994961023331   0.061068765819072723   0.017439994961023331    0.16720253229141235,    0.24405675898897528    -0.32427591832551173     0.56621782736421267     0.29833135192447457   0.0094707722189113497   -0.047241811917508869 -3.5527136788005009e-12,0.0002960781566798687
IIWA_14,1714657247.0362179, 0.56480567406122872   1.1619102124014129 -0.19189380602614164  -1.5080106130290403  -1.0987070280739677   1.6820439091503234 -0.48662772141678917, -0.0060055094576399329   0.0031609978081635114   -0.035879001298651132   -0.020559385084230143   0.0016431119545938803   -0.020544714576768434 -0.00016477000909694489, 10.228838417053224  60.228491127014166  15.932047744750976 -5.2183774337768556 0.72278779983520502 -2.2321312255859374 0.14284571838378907,-42.566197979404251  6.6079735141822447 -24.665399733234491 -15.015883586312352   2.104312073422685 -1.5792355074473219 -0.7335597600925593,  0.52144986391067505 0.0072312420234084129   0.18822208046913147, 0.4880327582359314 -0.4882635772228241 0.52079159021377563 0.50219404697418213,-0.0025763260200619698  -0.011922728270292282 0.00040934848948381841,-0.0016624352429062128    -1.1401169300079346  0.0076065021567046642,   0.25778511166572571 -0.0070493654347956181   0.061069220304489136 -0.0070493654347956181     0.2407536506652832   0.017371617257595062   0.061069220304489136   0.017371617257595062    0.16717281937599182,  0.24295979667066092  -0.32287753588189361   0.56391241585362906   0.29699421181916819 0.0093048441636156554 -0.048068330612771604                     0,0.011132678017020226
IIWA_14,1714657247.0412719, 0.56477661236568766   1.1619265709361595 -0.19255293845388666  -1.5084465391166555  -1.0987022345271771   1.6815164235264808 -0.48662862026135395, -0.0059668753877545897   0.0031831396363937873   -0.055068498148721418   -0.033884551571993063   0.0015062314352997331   -0.037535196615120281 -0.00016776978986869192, 14.109984298706056  60.470258995056156  16.785646320343016 -5.6055213546752931  1.1321621322631836  -1.859998104095459 0.14084320831298827, -42.339720063324968   6.5712961495416771  -24.422050025023118   -14.92651096219792   2.0775283035433278  -1.5859993293164871 -0.72316409477243249,0.52144914865493774 0.00697660306468606 0.18825490772724152, 0.48794639110565186 -0.48824512958526611  0.52081120014190674  0.50227552652359009,-0.0020955754444003105  -0.019723527133464813  0.0016463348874822259,-0.0016636266373097897    -1.1401171684265137   0.007606232538819313,   0.25777614116668701 -0.0070152240805327892   0.061082612723112106 -0.0070152240805327892    0.24077485501766205   0.017300117760896683   0.061082612723112106   0.017300117760896683    0.16716314852237701,    0.24173952836825663    -0.32146930069920643     0.56146038321269742     0.29562359735813004   0.0092824870137064863   -0.048498142591668625 -8.8817841970012523e-13,0.018154306337237358
IIWA_14,1714657247.0462205, 0.56477487456316799   1.1619350797435122 -0.19336678712033778  -1.5090974623882638  -1.0986927429031059   1.6808090546706169 -0.48662850037905092, -0.0048430124109902113   0.0028868640032231451   -0.076608745177022042   -0.053144572121927122   0.0015846501110860355   -0.058322911526650853 -0.00012942053977379106, 15.511723533630372  60.928074745178229  15.663197799682617 -4.9266752433776855 0.77296916961669926 -1.8079328422546386  0.1598670539855957, -42.078022663306832   6.4903168943178908  -24.158488513132152  -14.789554834247786    2.036429158645912  -1.5883542887855655 -0.69401602037744414, 0.52141875028610229 0.006648465059697628  0.18827171623706818,0.48787695169448853 -0.4881838858127594 0.52082246541976929 0.50239080190658569,-0.0029049699660390615  -0.028904525563120842  0.0020025931298732758,-0.0016617570072412491    -1.1401268243789673   0.007606998085975647,   0.25777703523635864 -0.0069655110128223896   0.061090923845767975 -0.0069655110128223896    0.24080288410186768   0.017204945906996727   0.061090923845767975   0.017204945906996727     0.1671384871006012,   0.23996889323729675   -0.31961271005975789    0.55813033732032835    0.29376042818096693  0.0093255008746240264  -0.048996267632439583 8.8817841970012523e-13,0.026560720056295395
IIWA_14,1714657247.0512447, 0.56478104648373539   1.1619486817488716 -0.19440108559753136  -1.5099206587109393  -1.0987016592666556   1.6798771014280958 -0.48662862026135395, -0.0036275331060961953   0.0028535714169537585    -0.10265893522936081   -0.075443510604560421  0.00091106554688019604    -0.08393645892216689 -0.00010833172394019532,  14.68611198425293  60.781470825195314  14.781369979858399 -4.2921893730163578 0.48420619964599609 -1.6801059494018555 0.16921210098266601, -41.780358490339225   6.3711674039247406  -23.870011268690853  -14.606256320083551   1.9802951454353024  -1.5890947582525259 -0.64660404350977552,  0.52135080099105835 0.0062402328476309776   0.18827742338180542, 0.48782503604888916 -0.48807796835899353  0.52082276344299316  0.50254380702972412,-0.0050637875683605671  -0.039454128593206406  0.0018538538133725524,-0.0016104102833196521    -1.1401358842849731  0.0075814086012542248,   0.25778838992118835 -0.0068990304134786129   0.061093855649232864 -0.0068990304134786129    0.24083825945854187   0.017083525657653809   0.061093855649232864   0.017083525657653809    0.16709783673286438,    0.23760621991719688    -0.31726408045873455      0.5538336112254072     0.29135189005913276   0.0094307720734931877   -0.049571062703535063 -2.6645352591003757e-12,0.036321859806776047
