DesiredFlux,0.81,HitTime,1714649658.6938653,DesiredPos,0.56497305631637573  0.3217616081237793 0.22056162357330322
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714649658.0889959,-0.45763021144974797   1.1435316845203223 0.048899832130921209   -1.252928243429497  -1.9603007976242772  -1.8636355960890509  -0.8905704028705862,-0.00016567716097703284 -9.3391109937953669e-06    0.001697078464013232   0.0018365264546149392  1.4437738550252532e-06  2.4101292930711765e-06   5.821331034542518e-05,   -0.17206396484375   65.624927341461188  -3.0284896850585938  -16.582741775512694  -1.4138821029663087   1.6494007949829101 -0.25565378570556641, -0.37034627378030843   -1.3138356678028791  -0.48668037344684578  -0.82000193494912788    1.6426817634780604 -0.085285434008672389   0.83611212508127364,  0.56778258085250854 -0.033157799392938614   0.21329158544540405, -0.70502716302871704 -0.022310337051749229 0.0087399976328015327   0.70877540111541748,0.00061285204719752073 0.00029523562989197671 0.00067271903390064836,-0.0010674283839762211     0.8851473331451416  0.0027746777050197124,  0.24074764549732208  0.028131602331995964  0.068919435143470764  0.028131602331995964   0.23195135593414307 -0.019300080835819244  0.068919435143470764 -0.019300080835819244    0.1912485808134079,   -1.0456658541357911   -0.31711767418851622    -1.0125984675433131    0.70118585375666953    0.54007564338398595   0.074246664346411251 2.1781522363539807e-05,0.0008754864102229476
IIWA_7,1714649658.0939312,-0.45763194914318445   1.1435318042935423  0.04890582417349254  -1.2529187758909697  -1.9603007976242772  -1.8636354763158309 -0.89057004333276024,-0.00020204946624068876 -2.6803599946895883e-06    0.001597344474063853   0.0018479227047869349  1.1550190840202027e-06  6.7190322348036473e-06  6.0952161314570909e-05,-0.21776845550537111   65.616861843109135  -3.0513794326782224  -16.581861400604247  -1.4138821029663087   1.6467307815551757  -0.2573225440979004, -0.36916556922063987   -1.3190089000817102  -0.48385992460729133  -0.82025871280234308    1.6433101556626037 -0.088521124633023474   0.83654716146255437,  0.56778538227081299 -0.033157870173454285   0.21329432725906372, -0.70502674579620361 -0.022314293310046196 0.0087363561615347862   0.70877569913864136,0.00060245604254305363 0.00023331718693953007 0.00064785260474309325,-0.001069098012521863    0.8851473331451416 0.0027706122491508722,  0.24074617028236389  0.028131641447544098  0.068920120596885681  0.028131641447544098   0.23195125162601471 -0.019299713894724846  0.068920120596885681 -0.019299713894724846   0.19124981760978699,   -1.0456681168200532   -0.31711305393500311    -1.0125883519229717    0.70119550172620393    0.54007634662500692   0.074246804274480382 2.1782027737060616e-05,0.00083725264994427562
IIWA_7,1714649658.0989757,-0.45763308764327215   1.1435318042935423 0.048911396900711078  -1.2529091884701393  -1.9603007976242772  -1.8636354763158309 -0.89056974379062737,-0.00020717957650075533 -2.1442879957516707e-06   0.0015007846679925899   0.0018618349970434735  9.2401526721616225e-07  5.3752257878429183e-06  6.0743414366677924e-05,-0.26481719589233399   65.643746837615964  -3.0681065559387206  -16.580981025695799   -1.415642852783203   1.6500682983398438 -0.25632128906250001, 23.639131698412179  3.1712556448774532  13.023638376778534 -6.6404764853538429  1.6528965294056122  1.3529794482293191 0.83696794019388832,  0.56778830289840698 -0.033158093690872192   0.21329700946807861, -0.70502650737762451  -0.02231810986995697 0.0087327286601066589   0.70877587795257568,0.00059770914958789945 0.00017775027663446963 0.00062537053599953651,-0.0010699867270886898    0.88514721393585205  0.0027687405236065388,  0.24074468016624451  0.028131699189543724  0.068920813500881195  0.028131699189543724   0.23195113241672516 -0.019299369305372238  0.068920813500881195 -0.019299369305372238   0.19125106930732727,   -1.0456713962714304   -0.31710884511682025    -1.0125793485062928    0.70120590704192409    0.54007708530523502   0.074246161724467186 2.1782326165009636e-05,0.00080816046101972461
IIWA_7,1714649658.1039751,-0.45763422614335986   1.1435318042935423 0.048916609981020633  -1.2528996610450018  -1.9603007976242772  -1.8636355960890509 -0.89056950413510449,-0.00021128366470880857 -1.7154303966013367e-06   0.0014091509467762553   0.0018705650031343767  7.3921221377292984e-07 -4.9074817007237076e-07  5.8180952408190184e-05,-0.28901369094848633   65.669287582397459  -3.0848336791992188  -16.577459526062011  -1.4174036026000976   1.6510695533752442 -0.25565378570556641, 23.640161015980983  3.1712572410843003   13.02436514436106 -6.6409727219126786   1.652970147920932  1.3526674373892451 0.83743619732360453,  0.56779122352600098 -0.033158142119646072    0.2132997065782547, -0.70502638816833496 -0.022322136908769608 0.0087292445823550224   0.70877593755722046,0.00059474969748407602 0.00014027552970219404 0.00060815579490736127,-0.0010708196787163615    0.88514715433120728  0.0027670916169881821,  0.24074314534664154  0.028131799772381783  0.068921498954296112  0.028131799772381783   0.23195101320743561 -0.019299015402793884  0.068921498954296112 -0.019299015402793884   0.19125235080718994,   -1.0456761580766027   -0.31710408365004383    -1.0125709098067759    0.70121585908999862    0.54007859933147273   0.074246266074773359 2.1782736503439537e-05,0.00078892713645473123
IIWA_7,1714649658.1089749,-0.45760726167908117   1.1435415714832857 0.048955319093085217  -1.2529131432771412  -1.9603008934428532  -1.8636186384700384 -0.89056920448388854, 0.00090955163938052355  0.00038931524542020065   0.0026756852400043911  0.00095716271693260606 -3.2413732674826636e-06  0.00067791216196584419  5.8530810564609563e-05,-0.49468389892578124   65.561747604370112  -3.5892885017395018   -16.26580680847168   -1.438532600402832   1.5923292579650878 -0.25665504074096679, 23.641109183994978  3.1712001359215649  13.025058487853974 -6.6413884265085947  1.6530748558021178  1.3523908784238363 0.83789781464138546,   0.5677940845489502 -0.033158306032419205   0.21330234408378601, -0.70502632856369019 -0.022326089441776276 0.0087257875129580498   0.70877593755722046, 0.0005900903488509357 0.00010570995800662786 0.00059194263303652406,-0.0010717127006500959     0.8851470947265625  0.0027655055746436119,  0.24074167013168335  0.028131918981671333  0.068922162055969238  0.028131918981671333   0.23195086419582367 -0.019298689439892769  0.068922162055969238 -0.019298689439892769   0.19125361740589142,   -1.0456818416235691   -0.31709984185113171    -1.0125638166860185     0.7012261039012202     0.5400802266972704   0.074246107798714434 2.1783078452131122e-05,0.00077095342567190528
IIWA_7,1714649658.1139762,-0.45716845928885869   1.1436185101782028  0.04953763249004986  -1.2530679196206234  -1.9603036739268846  -1.8634591883529856 -0.89056794610149781,   0.018279736920403675    0.003388999993019949     0.02543308407058922  -0.0054253235657401051 -0.00011381245987244945    0.006920334411683147  9.7159944081054444e-05, -9.6140740356445313   62.496858230590817  -9.7924101066589362  -13.607074584960937  -1.5688280868530273    1.597001781463623 -0.25665504074096679,  23.61081948504928  3.1561682438781045  13.004872790258016 -6.6271428400381058  1.6589594788551332  1.3552243841299876  0.8355809065786326,  0.56779521703720093 -0.033127397298812866   0.21329978108406067, -0.70501577854156494 -0.022335916757583618 0.0087389126420021057   0.70878595113754272,0.00051785330288112164  0.0013208443997427821 0.00037144086672924459,-0.001072603277862072    0.8851470947265625   0.00276390858925879,  0.24074004590511322   0.02812848798930645  0.068923845887184143   0.02812848798930645   0.23195511102676392 -0.019293751567602158  0.068923845887184143 -0.019293751567602158   0.19125175476074219,   -1.0455160586682055    -0.3169902072688302    -1.0123251700848712    0.70111869490574463    0.54008223219792484   0.074338134171902936 2.1803032268508105e-05,0.0013420338509604335
IIWA_7,1714649658.1189797,-0.45674715382438746   1.1436073648328489 0.050011309067637975  -1.2531708640486445  -1.9602943741144983  -1.8631609010027612 -0.89056602863914835,   0.03147600811517183  0.0022653861802576459   0.039293530359995998  -0.008458035973438794 0.00028094252755798217   0.017467761538323048 0.00015442644924302141, -17.623113899230958   63.498324275970461  -12.415046958923339  -13.854459934234619 -0.84956178665161131   1.4281234321594238 -0.23929995346069335, 23.130494638495236  3.1216825071112324   12.60171777487197 -6.5204527574807845  1.6853576251085554  1.4399217729564939 0.83172592568498549,  0.56781983375549316 -0.032654717564582825   0.21332272887229919, -0.70484942197799683 -0.022554453462362289 0.0089318780228495598   0.70894205570220947,0.0013915593735873699  0.019964171573519707 0.0012177550233900547,-0.0010734781390056014    0.88514846563339233  0.0027623539790511131,  0.24069885909557343  0.028087757527828217  0.068953424692153931  0.028087757527828217   0.23201806843280792 -0.019218567758798599  0.068953424692153931 -0.019218567758798599   0.19123819470405579,   -1.0434343784826439   -0.31530922919298376    -1.0089404000330759    0.69957209186810587    0.54027431596281872   0.075929241500460876 2.2145251854510661e-05,0.018346900120377541
IIWA_7,1714649658.123976,-0.45647702943422247   1.1436218059052459 0.050478573960052731  -1.2533846027411639  -1.9602867042651004  -1.8627874725376661 -0.89056453060123475,  0.035985782098737235   0.002389951840086476   0.050125419984587007  -0.015315976479526797 0.00053154799795909714    0.02891134783446396 0.00018346267593863177, -20.369416088104249    62.76705242538452  -12.170302734374999   -13.56129508972168  -1.6181290817260743   1.5322539558410644 -0.22161111450195312, 22.810872082518294  3.1526661997768488  12.335181558968381 -6.5077784266216785  1.6844489275282746  1.4620168587497551 0.84247080019634768,  0.56788325309753418 -0.032239489257335663   0.21335573494434357, -0.70477312803268433 -0.022745896130800247 0.0090385265648365021   0.70901042222976685,0.0036337971687316895  0.032583177089691162 0.0022994701284915209,-0.0010743584716692567    0.88516885042190552  0.0027644855435937643,  0.24065122008323669  0.028049465268850327  0.068983443081378937  0.028049465268850327   0.23206961154937744 -0.019148809835314751  0.068983443081378937 -0.019148809835314751   0.19124233722686768,   -1.0415476575689198   -0.31376218478929019    -1.0059150299142061    0.69814034207560383    0.54033042179923996    0.07696956399083632 2.2361018814365252e-05,0.030074011534452438
IIWA_7,1714649658.1289775,-0.45634184735683697   1.1436141359467651 0.051086593657071529  -1.2536867849026971  -1.9602870877139369  -1.8622327826849387 -0.89056351198345007,  0.034195908774409728  0.0016051631328378741   0.064421123868421526  -0.024340067644950055 0.00040990044490885026   0.045316672376664383 0.00018751485213794726, -19.099100097656251   62.935083641052245  -9.7800848579406736  -13.127270259857177  -0.7042999267578125   1.0780179214477539 -0.23896620178222655, 22.810872082518294  3.1526661997768488  12.335181558968381 -6.5077784266216785  1.6844489275282746  1.4620168587497551 0.84247080019634768,  0.56788325309753418 -0.032239489257335663   0.21335573494434357, -0.70477312803268433 -0.022745896130800247 0.0090385265648365021   0.70901042222976685,0.0036337971687316895  0.032583177089691162 0.0022994701284915209,-0.0010818305891007185    0.88516891002655029  0.0027509203646332026,  0.24065122008323669  0.028049465268850327  0.068983443081378937  0.028049465268850327   0.23206961154937744 -0.019148809835314751  0.068983443081378937 -0.019148809835314751   0.19124233722686768,   -1.0415476575689198   -0.31376218478929019    -1.0059150299142061    0.69814034207560383    0.54033042179923996    0.07696956399083632 2.2361018814365252e-05,0.030074011534452438
IIWA_7,1714649658.133975,-0.45624591358917188    1.143618090753767 0.051952513785423593   -1.254065486443795   -1.960267721191491   -1.861554954944745  -0.8905633322145371,  0.031194077726131409  0.0014423227863455971   0.086173704228819786   -0.03462011575987485  0.0011025812537647003    0.06336644750908188 0.00015720263822947321, -15.540871074676513   62.531808723449707  -10.290702304840087  -13.263728370666504   -1.226362247467041   1.3513605461120606 -0.26232881927490237, 22.654203779455933  3.0918542050932452  12.194173156908597 -6.4572529423845522  1.7106371932450171  1.4475143700667612 0.83083654512222516,  0.56791919469833374 -0.031895358115434647   0.21334241330623627, -0.70470046997070312 -0.022824421525001526 0.0091193579137325287    0.7090790867805481,0.0043245996348559856  0.039835501462221146 0.0013141692616045475,-0.0011048285523429513    0.88518565893173218  0.0027356473729014397,  0.24062952399253845  0.028000522404909134  0.069004923105239868  0.028000522404909134   0.23211655020713806 -0.019088767468929291  0.069004923105239868 -0.019088767468929291   0.19123032689094543,   -1.0393093859102365     -0.312485423744846    -1.0030008462509343    0.69678375709258944    0.54012728547991884   0.077613293871792166 2.2498758411870767e-05,0.036685019731521606
