DesiredFlux,0.85,HitTime,1714650123.8889325,DesiredPos,0.56103724241256714 0.31101983785629272 0.21992781758308411
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714650123.3072991,-0.48017595399357788   1.0958342296733032 0.016512284509262693  -1.3285566121213064  -1.9555048066745904  -1.8622991153412409 -0.92177648563435677, 7.3372518701196674e-05  0.00029197716976041396 -0.00016883961037246183   0.0034256650682758516  -0.0021994645938605744  -0.0021272073014166255  5.8281115469245629e-05, 0.49333964920043943    64.12340039825439  -1.8382228088378907  -16.106458950042725  -1.1885061264038086   1.8823594665527343 -0.23395992660522461, -0.4788823384213225  0.75924367400525195 -0.18769488854512073 -0.77585581046442065 0.068522541783050617 -0.13797281890114793  0.67093168792878344,  0.55042159557342529 -0.049075238406658173   0.21996809542179108,  -0.70942121744155884 -0.0064326981082558632 -0.0027755042538046837     0.7047499418258667,9.8697601060848683e-05 -0.0005077644600532949 0.00048274450819008052,  0.0059933057054877281     0.92835789918899536 -2.0321311239968054e-05,  0.24761268496513367  0.028252094984054565  0.065034255385398865  0.028252094984054565   0.23052068054676056 -0.023172559216618538  0.065034255385398865 -0.023172559216618538   0.18826976418495178,   -1.0633725657669402   -0.40317984350934921    -1.1666529267095882    0.68083274173424968     0.4977219701052249 -0.0026146293805595633 7.2702475151231738e-06,0.00064780382672324777
IIWA_7,1714650123.3123219,-0.48017565434236192   1.0958359673667399 0.016512224622652734  -1.3285371977332057  -1.9555154486451714  -1.8623048078416793 -0.92177618609222389,7.0684063599014757e-05 0.00030308947327627547 -0.0001374671526963387   0.003517107578649226 -0.0021852504983277546 -0.0019294658586676606   5.86065776904177e-05, 0.49468389892578124   64.128777397155758  -1.8294190597534179  -16.105578575134277  -1.1946687507629394    1.884695728302002 -0.23195741653442384,   25.304590932536179    3.2987623823864816     16.06027995964596   -7.2252958430043659   0.26060956197156276 -0.069770857956438601   0.67244961186364749,  0.55042546987533569 -0.049079794436693192   0.21997189521789551,  -0.70942741632461548 -0.0064506190828979015 -0.0027740467339754105    0.70474350452423096, 0.00020424270769581199 -0.00048905715811997652  0.00044440981582738459,  0.0059923715889453888     0.92835772037506104 -2.1539141016546637e-05,  0.24760830402374268  0.028255203738808632  0.065035350620746613  0.028255203738808632   0.23052002489566803 -0.023172540590167046  0.065035350620746613 -0.023172540590167046   0.18827348947525024,    -1.063495514118884   -0.40318030532304761    -1.1667114408719925    0.68087637985936311    0.49777554803398516 -0.0025796579183889889 7.2740391487968736e-06,0.00063326669624075294
IIWA_7,1714650123.317296, -0.4801758341112749   1.0958381245936952 0.016511984967129821  -1.3285174836938889   -1.955526665876274  -1.8623106202244208 -0.92177600632331091, 4.9356494360096424e-05  0.00032876065683264144 -0.00011955994307358415   0.0036022476355904234  -0.0021968896427679973  -0.0017760679965963125  5.4076018671449547e-05,  0.4718316535949707   64.131465896606443  -1.8364620590209961   -16.12054494857788  -1.1955491256713866   1.8853632316589355 -0.23295867156982422,   25.304550689143941    3.2996409169799428    16.060265252313151   -7.2272896098050472   0.26082019146604335 -0.071313834834995066   0.67323097832938528, 0.55042791366577148 -0.04908231645822525  0.21997362375259399,  -0.70943081378936768 -0.0064590447582304478 -0.0027743219397962093    0.70473998785018921, 0.00026055108173750341 -0.00049205130198970437  0.00042484939331188798,  0.0059907948598265648     0.92835766077041626 -2.2730246200808324e-05,  0.24760611355304718    0.0282566137611866  0.065035946667194366    0.0282566137611866   0.23051965236663818 -0.023172503337264061  0.065035946667194366 -0.023172503337264061   0.18827542662620544,   -1.0635519333312971   -0.40318064831179612    -1.1667376002426622    0.68089834611750888    0.49779892426560224 -0.0025676859891632375 7.2749806179217558e-06,0.00064122944604605436
IIWA_7,1714650123.3222845,-0.48014898952929919   1.0958457345564832  0.01654242481828154  -1.3285239551565893  -1.9555368285794426  -1.8623158933004234 -0.92177552690318199, 0.0011132684745167056 0.00056740703698309218  0.0011219460916098811  0.0026229396004569029 -0.0021640198409567644  -0.001631777437377447 6.2437620094332434e-05, 0.23793220138549806   64.053499412536624  -2.3523617553710938  -15.807131481170654  -1.2219603729248047   1.8860307350158692 -0.23295867156982422,   25.304789363640904    3.3001286807156558    16.060593094670985   -7.2289175806100605   0.26131793035270456 -0.072723820707508768    0.6739372014747198,  0.55043017864227295 -0.049085181206464767   0.21997509896755219,   -0.7094343900680542 -0.0064673703163862228 -0.0027745359111577272    0.70473635196685791,0.00030090977088548243 -0.0005082969437353313 0.00039890388143248856,  0.0059886425733566284     0.92835748195648193 -2.3869351934990846e-05,  0.24760396778583527  0.028258040547370911  0.065036512911319733  0.028258040547370911   0.23051926493644714 -0.023172510787844658  0.065036512911319733 -0.023172510787844658   0.18827731907367706,   -1.0636091901901068   -0.40318220760315882    -1.1667651841875681    0.68092161114030603    0.49782250492302893 -0.0025561745120583623 7.2758243874204709e-06,0.00065259292023256421
IIWA_7,1714650123.3272994,-0.47969191114198062     1.09589822544282 0.017035995204099277  -1.3286898767363424  -1.9555421015681786  -1.8623157734181204 -0.92177360944083253,  0.019173750272355995  0.0025535610830606094   0.020640372305997409 -0.0045385115097603852 -0.0019421354222091559 -0.0013006266577830156 0.00012664859005364379, -8.5117892608642585   61.139166007995605  -8.1276211547851567  -12.683561305999756  -1.1224780082702637   2.1206581649780274 -0.28702644348144529,   25.304789363640904    3.3001286807156558    16.060593094670985   -7.2289175806100605   0.26131793035270456 -0.072723820707508768    0.6739372014747198,  0.55043017864227295 -0.049085181206464767   0.21997509896755219,   -0.7094343900680542 -0.0064673703163862228 -0.0027745359111577272    0.70473635196685791,0.00030090977088548243 -0.0005082969437353313 0.00039890388143248856,  0.0059861293993890285     0.92835748195648193 -2.4864311853889376e-05,  0.24760396778583527  0.028258040547370911  0.065036512911319733  0.028258040547370911   0.23051926493644714 -0.023172510787844658  0.065036512911319733 -0.023172510787844658   0.18827731907367706,   -1.0636091901901068   -0.40318220760315882    -1.1667651841875681    0.68092161114030603    0.49782250492302893 -0.0025561745120583623 7.2758243874204709e-06,0.00065259292023256421
IIWA_7,1714650123.3323009,-0.47918809436445675    1.095890975017858 0.017547541826714086  -1.3287952180468419  -1.9555389378098436   -1.862317211569424 -0.92176755740256822,  0.035491671318839554  0.0017528318679697393    0.03697416274939027 -0.0078444616277859279 -0.0014271580043637392 -0.0010980273783704538 0.00034340040261550598,  -17.52095092010498   61.276279479980467  -12.717895927429199   -13.11318426132202 -0.85220291137695314   1.8029265670776367 -0.18656718826293944,  24.801325059182602   3.2686353923362854   15.643835892583413  -7.0940228467401338  0.29702178535879165 0.065226258196577402  0.66750694554312429,  0.55043476819992065 -0.048609655350446701   0.22001448273658752,  -0.70925062894821167 -0.0067299762740731239 -0.0025156461633741856    0.70491981506347656,0.00037963231443427503   0.018481779843568802  0.0018291616579517722,   0.005983185488730669     0.92835724353790283 -2.5832621759036556e-05,  0.24756065011024475  0.028239227831363678  0.065066516399383545  0.028239227831363678   0.23058703541755676 -0.023103054612874985  0.065066516399383545 -0.023103054612874985   0.18825763463973999,    -1.0622747959008194    -0.40137370563719799      -1.163826574340554     0.67931666378662214     0.49837223770499151 -0.00051770408138196444  7.6610007226918242e-06,0.017007291316986084
IIWA_7,1714650123.337297,-0.47885187686442954   1.0958989445184719 0.018109901528839144  -1.3290365205060717  -1.9555463200289807  -1.8623366259575247 -0.92176540028469578,    0.0418420370561602  0.0017210455189310013   0.052073718284514528  -0.015927667671421529 -0.0014370151689748944 -0.0016549974267249074 0.00036100503698987136, -21.339964389801025   60.959036544799808  -13.752336444854736  -12.629858436584472  -1.2210799980163574   2.1146506347656251 -0.19791474533081055,  24.801325059182602   3.2686353923362854   15.643835892583413  -7.0940228467401338  0.29702178535879165 0.065226258196577402  0.66750694554312429,  0.55043476819992065 -0.048609655350446701   0.22001448273658752,  -0.70925062894821167 -0.0067299762740731239 -0.0025156461633741856    0.70491981506347656,0.00037963231443427503   0.018481779843568802  0.0018291616579517722,  0.0059804683551192284     0.92835873365402222 -2.6658161004888825e-05,  0.24756065011024475  0.028239227831363678  0.065066516399383545  0.028239227831363678   0.23058703541755676 -0.023103054612874985  0.065066516399383545 -0.023103054612874985   0.18825763463973999,    -1.0622747959008194    -0.40137370563719799      -1.163826574340554     0.67931666378662214     0.49837223770499151 -0.00051770408138196444  7.6610007226918242e-06,0.017007291316986084
IIWA_7,1714650123.3422978,-0.47869452408772212   1.0958880988243338 0.018824341149835198  -1.3293892760915924  -1.9555457447684592  -1.8623472919918329 -0.92176312328452048,  0.039767740713224968 0.00094300864962010419   0.070236559467453774  -0.026852357557966239 -0.0011266017143222991 -0.0017506393137085437 0.00037988403660386483, -19.958075672149658   60.419992404937744  -11.790861148834228  -12.246895351409911 -0.77737104415893554   1.8239529228210449 -0.23028865814208985, 24.136019295576972  3.3301601145402073  15.006429464589875 -6.9532025849082526 0.32014304310285535 0.30407413469314087 0.67193386860437287,    0.550453782081604 -0.047726400196552277   0.22016465663909912,  -0.70888650417327881 -0.0072510731406509876 -0.0020854240283370018    0.70528221130371094,0.00069460523081943393   0.043402403593063354  0.0065184859558939934,  0.0059824781492352486     0.92838042974472046 -2.6881705707637593e-05,  0.24746638536453247  0.028203841298818588  0.065129920840263367  0.028203841298818588   0.23071348667144775 -0.022970147430896759  0.065129920840263367 -0.022970147430896759   0.18823499977588654,   -1.0597776189129604   -0.39800270294065854    -1.1582876026743349    0.67634923789761103     0.4993412209284287  0.0032724314040777358 8.3863245237125739e-06,0.040186077356338501
IIWA_7,1714650123.3472974,-0.47858786439913886    1.095887319752989  0.01978158104980858  -1.3298333515578176  -1.9555466076592414  -1.8623480709540947  -0.9217629435156075,   0.036080580113910174  0.00072324406590529408    0.094478843572898319   -0.039244904695379307 -0.00093579700274426406  -0.0014316699414390292  0.00031109798580220726,  -16.24929067993164   60.187437202453616  -10.906084365844727  -12.002151126861571 -0.88389640808105463   1.8796894531249999 -0.23662994003295898, 24.136019295576972  3.3301601145402073  15.006429464589875 -6.9532025849082526 0.32014304310285535 0.30407413469314087 0.67193386860437287,    0.550453782081604 -0.047726400196552277   0.22016465663909912,  -0.70888650417327881 -0.0072510731406509876 -0.0020854240283370018    0.70528221130371094,0.00069460523081943393   0.043402403593063354  0.0065184859558939934,  0.0059753740206360817     0.92840200662612915 -4.8843008698895574e-05,  0.24746638536453247  0.028203841298818588  0.065129920840263367  0.028203841298818588   0.23071348667144775 -0.022970147430896759  0.065129920840263367 -0.022970147430896759   0.18823499977588654,   -1.0597776189129604   -0.39800270294065854    -1.1582876026743349    0.67634923789761103     0.4993412209284287  0.0032724314040777358 8.3863245237125739e-06,0.040186077356338501
IIWA_7,1714650123.3523002,-0.47841175620520643   1.0958843237862448 0.021002713641852726  -1.3303579609881357  -1.9555513055619891  -1.8623419589201373 -0.92176042675082615,   0.035908791848425492  0.00045875658295440138     0.12442837854008451   -0.052380300969030617 -0.00093655371210372615 -0.00090085459485542293  0.00034954897989605848, -15.081137668609619   59.790883533477782  -10.938658237457275  -12.554146194458008  -1.1700182533264161   1.9247459297180176 -0.23329242324829103, 23.995208165291174  3.3346467638216017  14.750292927673247 -6.8631950883112474 0.33713012822897237 0.41604474894577886  0.6549446651514127,   0.5504157543182373 -0.047343272715806961   0.22025133669376373,  -0.70862811803817749 -0.0074210609309375286 -0.0019081123173236847    0.70554059743881226,-0.00099353806581348181    0.050040654838085175   0.0086961043998599052,  0.0059360149316489697     0.92842370271682739 -9.5784016593825072e-05,  0.24743838608264923  0.028168713673949242  0.065157502889633179  0.028168713673949242   0.23077887296676636 -0.022908162325620651  0.065157502889633179 -0.022908162325620651    0.1882072389125824,   -1.0578570779502527   -0.39659434449479392     -1.155243776756798    0.67498808192834048    0.49950799326925477  0.0050099660242608479 8.7493328138066317e-06,0.046507205814123154
