DesiredFlux,0.53,HitTime,1714648446.9012792,DesiredPos,0.56033998727798462 0.30981940031051636  0.2189038097858429
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714648455.3219733,-0.47082670057469928    1.048149118667419 0.018285110878206803  -1.3531834153429612  -1.9540648781021697  -1.8230930231719722  -0.8986778509269292, 0.00027952978069535812   0.0017445866552711798 -9.1498845056997757e-06  0.00028613935228805949  6.1493364518726607e-09 -2.1246981961540177e-06  0.00012460384991174513, 0.12098247528076173   63.358522304534915  -1.7246544456481934  -16.674300765991212  -1.3584184837341309   1.7788964462280272 -0.28569143676757813,-0.32505983889113266   5.3941884870149108 0.041401356087263308 -0.81313020332186381  0.82311635669945626  0.69541517237072137  0.62305838772042899, 0.55492746829986572 -0.04248456284403801  0.23385250568389893,   -0.72309786081314087 -0.00064969243248924613  -0.0077770166099071503     0.69070154428482056,-4.9122158088721335e-05   0.0003360164409969002 -0.00088279269402846694, 0.0055560320615768433    0.58981859683990479 -0.0085946489125490189,  0.24411614239215851  0.027484944090247154  0.066390305757522583  0.027484944090247154   0.23105280101299286 -0.021377446129918098  0.066390305757522583 -0.021377446129918098   0.19229571521282196,    -1.0296792104469432    -0.36402340388441701     -1.1244561392764751     0.61245863812331436     0.46853217616060761   -0.063397027037837006 -1.1572789837543951e-05,0.00086583429947495461
IIWA_7,1714648455.3269761,-0.47082963676391654    1.048156249210078 0.018284871222683886  -1.3531829959185253  -1.9540647822835937  -1.8230930231719722 -0.89867695208236442, 0.00010617625586581016     0.00168089103057675 -1.6906128521211777e-05  0.00024568845926441083  3.8376625076625053e-06 -1.6997585569232143e-06  0.00013563686252053212,0.0094097480773925775    63.300719566345215   -1.7898021888732909   -16.656693267822266    -1.359298858642578    1.7732226676940919  -0.28802769851684568,-0.32216591349683982   5.3938947817767513 0.043031446532917877 -0.81301660588673907  0.82329136904729006  0.69540198495222427  0.62280138323073964,  0.55492699146270752 -0.042484484612941742   0.23384870588779449,   -0.72309672832489014 -0.00064741045935079455  -0.0077748722396790981     0.69070273637771606,-5.8754896599566564e-05  0.00027186129591427743 -0.00085844926070421934,  0.005555114708840847    0.58981877565383911 -0.0085899829864501953,  0.24411697685718536  0.027484599500894547  0.066390074789524078  0.027484599500894547   0.23105290532112122 -0.021377518773078918  0.066390074789524078 -0.021377518773078918   0.19229474663734436,    -1.0296654233661329    -0.36402446132210997      -1.124446620488051     0.61246032788186966     0.46853038131100533   -0.063395078671035776 -1.1571707148050336e-05,0.00082603981718420982
IIWA_7,1714648455.3319733,-0.47083317214648263   1.0481627206727784 0.018284511684857976  -1.3531811383427859  -1.9540647822835937  -1.8230931430542752 -0.89867689219575453,-5.6474297950906828e-05    0.001603571332476836 -2.7906415853396074e-05  0.00027085379698953317  3.0701300061300046e-06 -6.1550989644806012e-06  0.00011090495441215816,-0.10753997802734375   63.288621318817135   -1.839983558654785   -16.60299039840698  -1.3531362342834472   1.7738901710510253 -0.28302142333984376, 16.715323152271505  3.1502093641993918  12.406556883748632 -5.6716674148275779 0.96481804758805023 -2.1672619567858105 0.62236184692729735,  0.55492627620697021 -0.042485028505325317   0.23384463787078857,   -0.72309577465057373 -0.00064433622173964977  -0.0077727753669023514     0.69070374965667725,-7.5198899139650166e-05  0.00019577122293412685 -0.00084931810852140188, 0.0055542723275721073    0.58981883525848389 -0.0085857193917036057,  0.24411796033382416  0.027484225109219551  0.066389784216880798  0.027484225109219551    0.2310529500246048 -0.021377680823206902  0.066389784216880798 -0.021377680823206902   0.19229371845722198,    -1.0296509507705665    -0.36402795015533229     -1.1244393154941079     0.61246339050313736     0.46852719932388709   -0.063395805532273641 -1.1571120950293334e-05,0.00080081488704308867
IIWA_7,1714648455.3369732,-0.47080950330016397    1.048164398479605 0.018315311182918684  -1.3531967179152706  -1.9540643028416482   -1.823127178283686 -0.89867623300671262, 0.00090157441438561494   0.0013499693390447989   0.0012096547897456332 -0.00040649986179915743  2.1633781824019507e-05  -0.0013663332556040444  0.00011509152520601471,-0.48796265029907226   63.409603794097897  -2.3585243797302247  -16.294859180450437  -1.3848297309875488   1.9013833122253418 -0.28969645690917967, 16.718233977789804  3.1507880395444596  12.407741531736498 -5.6719465542044798 0.96450962838848786 -2.1673465269970138 0.62194886259945159,  0.55492556095123291 -0.042486459016799927   0.23384101688861847,   -0.72309476137161255 -0.00064077920978888869  -0.0077713620848953724      0.6907048225402832,-8.7452397565357387e-05    9.94056899799034e-05 -0.00082440371625125408, 0.0055533740669488907    0.58981889486312866 -0.0085815545171499252,  0.24411894381046295  0.027483858168125153  0.066389486193656921  0.027483858168125153   0.23105290532112122 -0.021377941593527794  0.066389486193656921 -0.021377941593527794   0.19229277968406677,    -1.0296377400278445    -0.36403457193134869     -1.1244358698663248     0.61246934218583959     0.46852233901706342   -0.063399970178679155 -1.1571060554160795e-05,0.00076432753121480346
IIWA_7,1714648455.3419442,-0.47038831771799577   1.0481441451335494 0.018778561381721542  -1.3533270463410894  -1.9540632483137141  -1.8234042535566801 -0.89867401589314722,  0.017568682818236217 0.00026984162901189123   0.019497731783910826  -0.005538336922188386 5.9488142822642382e-05  -0.012176077524248948 0.00018075776278104702, -9.5683695449829109   62.917608394622803  -8.8336818313598631  -14.023491916656495  -1.2237211227416993   2.5388490180969239 -0.36812810134887697, 16.721177900367582  3.1525515358323899  12.408654139975614 -5.6732297861166145 0.96378009280958177 -2.1674945196303486 0.62193486946477106,  0.55492526292800903 -0.042488496750593185   0.23383796215057373,   -0.72309410572052002 -0.00063795654568821192  -0.0077710729092359543     0.69070553779602051,-8.1592239439487457e-05 -2.0096508706046734e-06 -0.00078176945680752397, 0.0055525815114378929    0.58981895446777344 -0.0085771661251783371,  0.24411973357200623  0.027483588084578514   0.06638924777507782  0.027483588084578514   0.23105274140834808 -0.021378239616751671   0.06638924777507782 -0.021378239616751671   0.19229209423065186,    -1.0296289881566167    -0.36404255010946684     -1.1244364083600189     0.61247798605723602     0.46851759264221471    -0.06340639464053055 -1.1571446023594945e-05,0.0007195195066742599
IIWA_7,1714648455.3469772, -0.4699892429485395   1.0481335390949342  0.01905779377258808  -1.3534103367254868  -1.9540595091203248  -1.8237685140253808 -0.89866532742596461,  0.030017937032840003 -0.0002083682413958952   0.026767481061790173 -0.0077622849136495869 0.00019715824983262121  -0.024311280767424719  0.0004921448975290317, -16.122931205749513    62.82485516357422  -11.351554069519043  -14.601017856597901  -1.0722966384887695   1.8539905738830567 -0.24897875213623047, 16.689557289288466  3.1626153946690603  12.376088937940469 -5.6641643030627176 0.96335830249381516 -2.1461940328398259 0.62201537513381711,  0.55491888523101807 -0.042461711913347244   0.23384632170200348,   -0.72307401895523071 -0.00065799005096778274  -0.0077485824003815651     0.69072675704956055,-0.00032097214716486633   0.0010698168771341443 -0.00029082040418870747, 0.0055519412271678448    0.58981895446777344 -0.0085732880979776382,  0.24411791563034058  0.027483945712447166   0.06639031320810318  0.027483945712447166   0.23105631768703461 -0.021375264972448349   0.06639031320810318 -0.021375264972448349   0.19229033589363098,    -1.0296104551850149    -0.36396450765252553     -1.1243283075934585     0.61241347125307044     0.46857898772589834   -0.063226981960262663 -1.1533114907535946e-05,0.001056523178704083
IIWA_7,1714648455.3519688,-0.46969772671223126   1.0481388721666298  0.01932252531353058  -1.3535952532689048  -1.9540611390833131   -1.824341599648424 -0.89866346985022505,    0.0356749990786017 4.6628274706890375e-05   0.032003246487132132  -0.013606489667640158 9.2528080331748448e-05   -0.04237244953567005 0.00046801894760567075,-17.639244895935057  63.513111022949218 -10.729129009246826 -13.532242717742919 -1.2835866165161132  2.7437725486755369 -0.2549862823486328, 16.214036001121062  3.2731948862270639  11.926855052024573 -5.5737333886848548 0.95943638150829336 -1.9195114522052257 0.63486561962341082,  0.55489152669906616 -0.042041786015033722   0.23397025465965271,   -0.72285854816436768 -0.00098127522505819798  -0.0074899629689753056     0.69095474481582642,-0.0013589890440925956   0.017649723216891289  0.0047264755703508854, 0.0055511542595922947    0.58981978893280029 -0.0085699232295155525,  0.24407012760639191  0.027483707293868065   0.06641581654548645  0.027483707293868065   0.23111023008823395 -0.021319961175322533   0.06641581654548645 -0.021319961175322533   0.19228437542915344,     -1.029119357891517    -0.36256508630483353     -1.1223366362695941     0.61129000388238097     0.46937391668144812      -0.060933106379224 -1.1067199601200173e-05,0.016771653667092323
IIWA_7,1714648455.3569431,-0.46946271605587175   1.0481331196704984 0.019732206121601974  -1.3538305635764805  -1.9540556742828923  -1.8251110468114551 -0.89866197181231144,   0.037940425517261456 -0.00019279722549205746    0.041989829512561451   -0.020297604037136936  0.00029261448109945039   -0.064675846149778726  0.00043433667462875126, -16.932169540405273   62.550628219604491   -9.161181297302246  -13.981233921051025 -0.92527402877807619   2.0872829971313478 -0.27100636291503905, 15.897053146157296  3.3399451300969401  11.656246575242564 -5.4998867413418706 0.96061822629449989 -1.7371720879952093 0.64342316089768081,    0.554851233959198 -0.041705586016178131   0.23407907783985138,  -0.72267395257949829  -0.001266460632905364 -0.0072358697652816772     0.6911500096321106,-0.0027122986502945423   0.027560848742723465  0.0081358831375837326, 0.0055594267323613167    0.58983123302459717 -0.0085817854851484299,   0.2440340667963028  0.027495931833982468  0.066432110965251923  0.027495931833982468   0.23115019500255585 -0.021281395107507706  0.066432110965251923 -0.021281395107507706   0.19227847456932068,    -1.0292194963712475    -0.36150893838460263     -1.1211877111181323     0.61047315070617003     0.47021297119442806   -0.058854839486421895 -1.0654020776712514e-05,0.026421403512358665
IIWA_7,1714648455.361944,-0.46923765235816856   1.0481249704009716  0.02035232978606643  -1.3541618674292479  -1.9540561535503049  -1.8261493600913437 -0.89865939516092019,     0.0393548883219371 -0.00048020856146353016    0.058396810188627399   -0.029490237340408461  0.00021492088837375006   -0.093273208115365769  0.00045053539535302615, -14.720878742218018   62.307319019317625  -9.9235859680175782  -13.685427951812743  -1.1832238769531249   2.1914135208129881 -0.29370147705078126, 15.681585446947738  3.3607792071682034  11.446987221497887  -5.373809882362746 0.98045463849028658 -1.5246535719917214 0.63405739528950722,  0.5547444224357605 -0.04141756147146225  0.23419646918773651,  -0.72242063283920288 -0.0015211346326395869 -0.0069340723566710949    0.69141745567321777,-0.0064554903656244278   0.033554062247276306   0.011207609437406063, 0.0056248465552926064    0.58983707427978516 -0.0087331933900713921,  0.24401788413524628  0.027514217421412468  0.066438458859920502  0.027514217421412468   0.23118655383586884 -0.021256342530250549  0.066438458859920502 -0.021256342530250549   0.19225622713565826,    -1.0295788213099399    -0.36077095066833209     -1.1205343685549707     0.60988176176302034     0.47112326848175456   -0.056539603543903638 -1.0164586505823081e-05,0.032916568219661713
IIWA_7,1714648455.3669751,-0.46896656912774576   1.0481187385937942 0.021095591447080682  -1.3545663350479267  -1.9540612349018891  -1.8273408916811078 -0.89865735781626765,   0.042327239874461568 -0.00063343913626697141    0.076447914591472016   -0.039770894619476319 -3.1317352667742284e-05    -0.12227983008285861  0.00044192210238398169, -13.860558917999267   61.326016719818114   -10.65077564239502  -13.695992450714112  -1.3064763641357422   2.2935415344238281 -0.29270022201538087, 15.469080380895285  3.4317250756435298  11.167734628793564 -5.2474449538655987 0.98522150635253269 -1.2586067937225081 0.62612320249344988,  0.55460387468338013 -0.041100893169641495   0.23437413573265076,  -0.72206795215606689 -0.0018305358244106174 -0.0065927137620747089    0.69178825616836548,-0.010803995653986931  0.039481349289417267  0.016078736633062363, 0.0056964308023452759    0.58984214067459106 -0.0088731246069073677,  0.24399763345718384  0.027535634115338326  0.066447615623474121  0.027535634115338326   0.23122924566268921 -0.021228965371847153  0.066447615623474121 -0.021228965371847153   0.19223076105117798,   -1.0299982998871471   -0.36001694930298811    -1.1197967068365955    0.60933235694626831    0.47218101085544362     -0.053688702934096 -9.535345846245491e-06,0.040254402905702591
