DesiredFlux,1,HitTime,1714657026.3498497,DesiredPos,0.56000244617462158 0.31124871969223022 0.21981135010719299
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714657025.79668,-0.46434059837994429   1.1043849142379165 0.018605928574662142  -1.3038128429327522   -1.954535522541065  -1.8588123051791698  -0.9023929606271367, 6.4369754170929611e-05   0.0002015596492924739  4.6421772711458832e-06    0.002966566983208917  3.7216722127308741e-06 -9.3603753957622746e-06  6.6356274496987829e-05, 0.20835870742797852   64.610018798828122   -1.912174301147461  -16.458608913421632  -1.1955491256713866   1.8499855537414551 -0.24964625549316405, 0.06383262102914905  0.49767837367028511  0.98102000434871783 -0.41643200657997054   1.1026264516455555  0.23102865797607014  0.51700621888800924,  0.55776083469390869 -0.042539339512586594    0.2194124311208725,  -0.71215027570724487 -0.0098707601428031921   0.003256708849221468    0.70195013284683228, 0.00081070128362625837 -0.00035602427669800818  0.00039545958861708641,0.00028883898630738258     1.0923234224319458 5.1691567932721227e-05,  0.24484705924987793  0.028769128024578094  0.066385537385940552  0.028769128024578094   0.23080818355083466 -0.021840294823050499  0.066385537385940552 -0.021840294823050499   0.19009871780872345,   -1.0800694310395542   -0.36744459725746026    -1.1333353239999511    0.67589719149108163    0.51549314445065164   0.014202685272302062 7.8845472373245684e-06,0.00088776921620592475
IIWA_7,1714657025.8016796,-0.46434089803116024   1.1043854535446556 0.018605928574662142  -1.3037974432382633  -1.9545357143527498  -1.8588124848389997 -0.90239266097592075,  3.950975469868628e-05  0.00018281998899576617  3.7137418169167067e-06   0.0029892413661246481 -4.6951296201225475e-06 -1.4674693512688986e-05   6.507106823564767e-05,  0.2110472068786621   64.624805545806879   -1.919217300415039  -16.482379035949705  -1.1911472511291503   1.8489842987060547 -0.24764374542236328,0.062584575485960386  0.49927342505472361  0.97979129863178849 -0.41683160382029311    1.102477397570834  0.23126590765291882  0.51757983831626164,  0.55776476860046387 -0.042541440576314926   0.21941439807415009,  -0.71215248107910156 -0.0098748952150344849  0.0032522107940167189    0.70194786787033081, 0.00080466130748391151 -0.00036883490975014865  0.00039493371150456369,0.00028790155192837119     1.0923231840133667 5.1401988457655534e-05,  0.24484549462795258   0.02876967191696167  0.066386178135871887   0.02876967191696167   0.23080764710903168 -0.021840233355760574  0.066386178135871887 -0.021840233355760574   0.19010035693645477,  -1.0800947976559172   -0.3674453446240733   -1.1333474269177302   0.67591468256011922   0.51549715624865655  0.014193535251116884 7.882501762423999e-06,0.00088735087774693966
IIWA_7,1714657025.8066761,-0.46434107780007322   1.1043863523892203 0.018605808801442223  -1.3037824629682104  -1.9545356185341738  -1.8588123051791698 -0.90239242132039776, 2.4417047239833641e-05  0.00018220977378774895 -1.8199353432051151e-06   0.0029906038950143878  7.6639342402969174e-08 -4.5533616140720234e-06  6.1643075507806881e-05, 0.20567020797729493   64.646313541412354  -1.9209780502319336   -16.47797716140747  -1.2025921249389648   1.8479830436706544 -0.24831124877929686, 29.559842421713071  3.7183198186521174  19.204505748610366 -8.1905121213313397  1.0192556548161635 0.02270508772139497 0.51793126389012112,  0.55776828527450562 -0.042542960494756699   0.21941599249839783,  -0.7121543288230896 -0.009878719225525856 0.0032485527917742729   0.70194590091705322, 0.00078654888784512877 -0.00035576010122895241  0.00037998816696926951,0.00028683434356935322     1.0923229455947876  5.104527372168377e-05,  0.24484409391880035  0.028770165517926216  0.066386759281158447  0.028770165517926216   0.23080721497535706 -0.021840142086148262  0.066386759281158447 -0.021840142086148262   0.19010178744792938,   -1.0801174059729135   -0.36744477546246657    -1.1333567990980953    0.67592972761154613    0.51550152179569153   0.014187047163716215 7.8809936354673482e-06,0.00086347566684707999
IIWA_7,1714657025.8117023,-0.46431411333579453   1.1043940222386182 0.018636008997071029  -1.3037952860113078  -1.9545359061644345  -1.8588145221836521  -0.9023922415514849,  0.0010981122089394372  0.00045256179494291058   0.0012065518768776711   0.0018795613921173439  -1.144389895488588e-05 -9.2322868580015774e-05  5.6505216920919997e-05,-0.024196495056152345    64.541462062835691   -2.4034235000610353   -16.124066448211671   -1.2254818725585936    1.8583293457031249  -0.24864500045776367,  29.560533864500886   3.7196544168240093   19.204536522865837  -8.1916442552437498   1.0191182134141703 0.022387899843240577  0.51865366281836478,  0.55777233839035034 -0.042545195668935776   0.21941821277141571,  -0.71215665340423584 -0.0098831569775938988  0.0032438547350466251    0.70194351673126221, 0.00079138140426948667 -0.00037409117794595659  0.00039299382478930056,0.00028578512137755752     1.0923229455947876  5.069674807600677e-05,  0.24484243988990784  0.028770765289664268   0.06638742983341217  0.028770765289664268   0.23080666363239288 -0.021840084344148636   0.06638742983341217 -0.021840084344148636   0.19010354578495026,   -1.0801450682560443   -0.36744571092395262    -1.1333703287546015     0.6759482156208918    0.51550607484962541   0.014177864090747505 7.8788984225752756e-06,0.00087841902859508991
IIWA_7,1714657025.8167012,-0.46388357998831881   1.1044566398525242 0.019140964383765679  -1.3039903292822952  -1.9545365772435319  -1.8588212932975683 -0.90239014432022246,   0.018099823666180574   0.0028667539921952948    0.021163456969288133  -0.0062980817258023267  -3.599828306002622e-05 -0.00034470285151306514  0.00012909342403402924, -8.9916864128112799   61.490015186309812  -8.5660478591918938  -12.467869453430175  -1.1013490104675292    2.094625534057617 -0.29503648376464842,   29.56108499215301    3.720316242132045   19.204733164603969  -8.1924024011914458   1.0191148820805387 0.021928824739835165  0.51927453821386493,  0.55777639150619507 -0.042547330260276794   0.21942013502120972,   -0.7121589183807373 -0.0098872566595673561  0.0032392400316894054    0.70194119215011597, 0.00079308572458103299 -0.00038462079828605056  0.00039133764221332967,0.00028485289658419788     1.0923227071762085 5.0407634262228385e-05, 0.24484087526798248 0.028771305456757545 0.066388078033924103 0.028771305456757545  0.23080611228942871 -0.02184002473950386 0.066388078033924103 -0.02184002473950386  0.19010519981384277,   -1.0801704192573425   -0.36744651492615077    -1.1333825560351229    0.67596596387531349    0.51550985780934866   0.014168103371403618 7.8767454780859225e-06,0.00088288751430809498
IIWA_7,1714657025.821677,-0.46345064986744772   1.1044561604323953 0.019705601086066119  -1.3041201185104583  -1.9545329340432513  -1.8588161999904786 -0.90238493113082985,   0.031797063767788014   0.0022742263885990629    0.039516233667448122   -0.010230034507165493   0.0001169293847746801 -7.2029997624729664e-05  0.00031180231493188788, -17.789800865173341   61.492703685760496   -12.98817102432251  -12.959118652343749 -0.89181978225708003   1.8626681175231934 -0.19390972518920899,  29.530179255140929   3.7085553551473569   19.182137559579544  -8.1759290917920406   1.0250173804446097 0.031401425329364685  0.51688569480700486,  0.55777484178543091 -0.042519647628068924    0.2194201648235321,  -0.71214646100997925 -0.0099000781774520874  0.0032562862616032362    0.70195353031158447,0.00057444639969617128 0.00079961813753470778  0.0003138396714348346,0.00028377180569805205     1.0923224687576294 5.0025068048853427e-05,  0.24483929574489594  0.028769785538315773  0.066389419138431549  0.028769785538315773   0.23081012070178986 -0.021836185827851295  0.066389419138431549 -0.021836185827851295   0.19010314345359802,   -1.0800758602655947   -0.36734990825504354    -1.1332061859521403    0.67587651119627168    0.51553723394714979   0.014289034726111538 7.9018267484798344e-06,0.00094603747129440308
IIWA_7,1714657025.8267069,-0.46318448028428466   1.1044662871599646  0.02035556551741655  -1.3044012683636741  -1.9545367688806838  -1.8588238699489597 -0.90238343320199932,   0.036084434340752661   0.0022244502136549629    0.057611564187975715    -0.01943002173436487 -5.9849989479959003e-05 -0.00036442233733997224  0.00030935900516668874, -21.583273590087892   61.062543773651122  -13.968908672332763  -12.320846843719481  -1.1770612525939941   2.0936242790222166 -0.20091851043701173, 29.060961326230043  3.6686295430597458  18.790487028766886  -8.038438349347695  1.0598821684320812 0.16736201429073527 0.50764196123153549,  0.55776619911193848 -0.042074304074048996   0.21945278346538544,  -0.7119598388671875 -0.010126808658242226  0.003498587291687727   0.70213842391967773,0.00010464413207955658    0.01845262385904789  0.0015580544713884592, 0.0002827001444529742     1.0923240184783936 4.9682766984915361e-05,  0.24480441212654114  0.028746195137500763  0.066414937376976013  0.028746195137500763   0.23087364435195923 -0.021772062405943871  0.066414937376976013 -0.021772062405943871   0.19008061289787292,   -1.0785951195435572   -0.36576320013548269    -1.1303586383970554    0.67442623030178339    0.51595742031818048   0.016165410515078804 8.2890032615523523e-06,0.016952982172369957
IIWA_7,1714657025.8316872,-0.46309387947923208   1.1044605946595263 0.021181158831653581  -1.3047928529435624  -1.9545307288197413  -1.8588281841847045 -0.90238235458852156,   0.032491579674705187   0.0015518601533896102    0.079112983919861851   -0.031207400583024073  0.00019372244611658271 -0.00046410729966691098  0.00029063174324360242, -20.638266033172606   60.436123401641844  -11.768851776123046  -11.878898639678955 -0.76856729507446286   1.8860307350158692 -0.23496118164062499, 28.671833388506954  3.7370933816360328  18.415412052210918  -7.988961470327105   1.056948258410354 0.29510379112719598 0.51881533524219292,  0.55778825283050537 -0.041619203984737396   0.21953850984573364, -0.71177887916564941 -0.010407843627035618 0.0036983294412493706    0.7023167610168457,0.00094724789960309863   0.032964508980512619  0.0046809562481939793,0.00028309939079917967     1.0923495292663574 4.9714533815858886e-05,  0.24475006759166718  0.028725147247314453    0.0664491206407547  0.028725147247314453   0.23093709349632263 -0.021702257916331291    0.0664491206407547 -0.021702257916331291   0.19007584452629089,  -1.0772113006218831  -0.36408378966434896   -1.1274269416956528   0.67299396030140457   0.51640000945685216  0.018049476910420026 8.677401019951958e-06,0.03049197793006897
IIWA_7,1714657025.8367012, -0.4630765623223938    1.104461313626095 0.022311151311906287  -1.3052654507985897  -1.9545272774311455  -1.8588232706465277 -0.90238199505069561,   0.026685950013295403   0.0012702467854606727      0.1084900863459977   -0.043869834667510869  0.00029303350072565999 -0.00017474431266248082  0.00024688690763311275,  -17.00475902557373   60.449565898895266  -11.007327480316162  -11.773253650665284 -0.88829828262329102   1.8860307350158692 -0.24230371856689453, 28.426232145139679  3.7378356146187661  18.118413488614145 -7.8934798261433148  1.0770088329049421  0.4154951446729887 0.50751948105180189,  0.55776327848434448 -0.041206434369087219    0.2196117639541626, -0.71154725551605225 -0.010610547848045826 0.0038972396869212389   0.70254731178283691,-0.00026389956474304199    0.042877960950136185   0.0066853687167167664,0.00028460737667046487     1.0923748016357422 4.5634817070094869e-05,  0.24471677839756012  0.028692897409200668  0.066476687788963318  0.028692897409200668   0.23100186884403229 -0.021638305857777596  0.066476687788963318 -0.021638305857777596   0.19005312025547028,    -1.075397498537356    -0.3626236139480099    -1.1244084652233255    0.67162433154699386    0.51665005951129217   0.019847902352765345 9.0699066035426767e-06,0.039726089686155319
IIWA_7,1714657025.841677,-0.46301484355305245   1.1044604747772233 0.023759085404173198  -1.3058595687299503  -1.9545332216735121  -1.8588126047213027 -0.90238133586165381,   0.023817510784290594  0.00098264347350061182     0.14470943276747461   -0.058860584988435112 -3.3428940815208785e-06  0.00028684155887115598  0.00022387708777833748, -15.577165817260742   60.136355712890627  -11.157871589660644  -12.452903079986571  -1.1198368835449219   1.8937070236206055 -0.24297122192382811, 28.283809036431595   3.752285513276004  17.824731313562207 -7.8024362343062377   1.087946596825784   0.538603720703837 0.48945556397195833,  0.55771642923355103 -0.040816504508256912   0.21970959007740021, -0.71125108003616333 -0.010772504843771458 0.0040629287250339985   0.70284378528594971,-0.0021135702263563871   0.049892399460077286  0.0092802457511425018, 0.0002774742606561631     1.0924007892608643 3.4191300073871389e-05,  0.24469070136547089  0.028647331520915031  0.066505633294582367  0.028647331520915031   0.23107035458087921 -0.021573444828391075  0.066505633294582367 -0.021573444828391075   0.19002293050289154,   -1.0730524170048383   -0.36126756375409741    -1.1210560212129295    0.67029684219299668    0.51668881411082168   0.021602454849833919 9.4801411165690297e-06,0.046494718641042709
