DesiredFlux,0.57,HitTime,1714648592.7412901,DesiredPos, 0.5509154200553894 0.30501538515090942 0.22006341814994812
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714648592.0078475,-0.48059899715148563   1.1118847021350668 0.016482323969156804  -1.3140830840177109  -1.9539454193905827  -1.8706278520571982 -0.92775331820667228,  0.0014543180380329475  1.6135841460055613e-05  8.8208953758489341e-06  6.0839428826208462e-05 -0.00036404925701650972 -8.6482420082729212e-06 -2.3600674879905546e-06,0.37773417282104493  64.724280025482173 -1.7369796943664551 -16.139913196563722 -1.1127938842773437  1.8720131645202636 -0.1818946647644043, -0.38269623533026775  -0.49417797679413661 -0.048803569521161064  -0.71951157449271252  0.046585295623802439  -0.37482099530129259   0.92073694116876525,  0.55167096853256226 -0.050469644367694855   0.21574191749095917,  -0.70646393299102783 -0.0093704843893647194 -0.0034179578069597483    0.70767873525619507, 5.4255706345429644e-06  0.00057918747188523412 -4.9560148909222335e-05,-0.00010897374158957973     0.62250059843063354  0.00062352843815460801,  0.24794448912143707  0.028441360220313072  0.065039008855819702  0.028441360220313072    0.2302682101726532 -0.023439034819602966  0.065039008855819702 -0.023439034819602966   0.18769636750221252,   -1.0728518250378016   -0.40890828104611643    -1.1707694556912784    0.70339716553569076    0.50532325324237348  0.0088396306425764237 1.1047825765331254e-05,0.00053230056073516607
IIWA_7,1714648592.0128484,-0.48057826438530121   1.1118835636349791 0.016482024317940849  -1.3140818256353204  -1.9539481038815052  -1.8706279719395011 -0.92775319843345239,  0.0016584480326972259 -2.9460459760696852e-05 -3.9434658700136335e-06  8.8313471645470014e-05 -0.00033040044443759475 -9.3711085804482949e-06  3.2804856035918581e-06, 0.18147371292114259   64.369398097991947  -1.7906825637817383  -16.072124328613281  -1.0943060111999512   1.8716794128417968 -0.18222841644287111,-0.39537876241970055 -0.49473907513117765 -0.05535894153880655 -0.71734556031981545 0.046962626208881461 -0.37353227102241338  0.92089664786062031,  0.55167150497436523 -0.050461295992136002   0.21574178338050842,  -0.70646423101425171 -0.0093761971220374107 -0.0034119952470064163    0.70767837762832642, 2.4046228645602241e-05   0.0007972228922881186 -4.4906959374202415e-05,-0.00010898760956479236     0.62250077724456787  0.00062358658760786057,  0.24794356524944305  0.028441714122891426  0.065039336681365967  0.028441714122891426   0.23026910424232483 -0.023438043892383575  0.065039336681365967 -0.023438043892383575   0.18769638240337372,   -1.0728567313318393   -0.40887591596838746    -1.1707422180871063    0.70336797131975715    0.50534186795658798  0.0088735287615548941 1.1053057136223288e-05,0.00073147425428032875
IIWA_7,1714648592.0178297, -0.4805758676119059   1.1118832639837632 0.016482204086853806  -1.3140802078241867  -1.9539491584094393  -1.8706280917127209 -0.92775331820667228,  0.0014226293619700953 -3.5554416442174004e-05  4.0359838222718077e-06  0.00013536322266537824 -0.00030650147291350261 -1.2287815655823557e-05 -2.1665403130323265e-06, 0.20298170852661132   64.241694374084474  -1.7721946907043458  -16.051875705718995  -1.0925452613830566   1.8696769027709961 -0.18022590637207031,  16.742756268685955   2.5328263838244762   10.148948903229421  -5.1361607385343611 -0.04893174810293352  0.36217316930483756  0.92108478641044245,  0.55167198181152344 -0.050454452633857727   0.21574197709560394,  -0.70646464824676514 -0.0093810884281992912 -0.0034072748385369778    0.70767796039581299, 3.9081172872101888e-05   0.0009115894790738821 -2.8580288926605135e-05,-0.00010903819929808378     0.62250107526779175  0.00062366429483518004,  0.24794274568557739  0.028442040085792542  0.065039627254009247  0.028442040085792542   0.23026981949806213 -0.023437229916453362  0.065039627254009247 -0.023437229916453362   0.18769648671150208,   -1.0728623507727519   -0.40884926372353192    -1.1707210364910736    0.70334400736715708    0.50535738176638034  0.0089011151711559933 1.1057275983716863e-05,0.00083588284905999899
IIWA_7,1714648592.0228484, -0.4805758676119059   1.1118832639837632 0.016482204086853806  -1.3140802078241867  -1.9539491584094393  -1.8706280917127209 -0.92775331820667228,  0.0014226293619700953 -3.5554416442174004e-05  4.0359838222718077e-06  0.00013536322266537824 -0.00030650147291350261 -1.2287815655823557e-05 -2.1665403130323265e-06, 0.20298170852661132   64.241694374084474  -1.7721946907043458  -16.051875705718995  -1.0925452613830566   1.8696769027709961 -0.18022590637207031,   16.742625863236256    2.5335960624677294    10.148889990010463   -5.1367304587928562 -0.048943092610640754   0.36240311092651972   0.92125056061914556,  0.55167245864868164 -0.050450209528207779   0.21574217081069946,  -0.70646512508392334 -0.0093846060335636139 -0.0034043483901768923    0.70767742395401001, 5.1586324843810871e-05   0.0008990082424134016 -1.4984057997935452e-05,-0.00010912150901276618     0.62250113487243652  0.00062371738022193313,  0.24794207513332367  0.028442300856113434  0.065039858222007751  0.028442300856113434   0.23027026653289795 -0.023436689749360085  0.065039858222007751 -0.023436689749360085    0.1876966655254364,   -1.0728680371965282   -0.40883202077246494     -1.170707902844903    0.70332969420139335     0.5053681413116351  0.0089187606118201757 1.1059908544552854e-05,0.00082465441664680839
IIWA_7,1714648592.0278475,-0.48054872326963116   1.1118893160220276  0.01651006739569727  -1.3140964463675473  -1.9539505007421671  -1.8706206016322362 -0.92775319843345239,  0.0022238771805657984  0.00021363799741885175   0.0011177611407963851 -0.00054125115629313802 -0.00029889448744522417  0.00028977296686449628  3.0576965454799518e-06,0.044360240936279299   64.052155162811275  -2.1701241493225099  -15.836183853149414   -1.110152759552002   1.8393055000305176 -0.18389717483520507,   16.746271024742423    2.5347398234776297    10.150358766412365   -5.1379967451765909 -0.049317861386166999   0.36204421297173811   0.92141869527677156,  0.55167287588119507 -0.050449073314666748   0.21574248373508453,  -0.70646554231643677 -0.0093863457441329956 -0.0034037302248179913    0.70767700672149658,5.7400466175749898e-05 0.00076470134081318974  7.257292509166291e-07,-0.00010918756743194535     0.62250137329101562   0.0006236736080609262, 0.24794168770313263 0.028442462906241417 0.065039992332458496 0.028442462906241417  0.23027037084102631 -0.02343650721013546 0.065039992332458496 -0.02343650721013546  0.18769688904285431,   -1.0728731241007594    -0.4088265855601847    -1.1707051074756336    0.70332666309802505    0.50537260370653314  0.0089243666661076304 1.1060703464238486e-05,0.00070217676693573594
IIWA_7,1714648592.03285,-0.48005365495498292   1.1119317401764881 0.016862523548168133  -1.3142132925612267  -1.9539574035193588  -1.8706012471307454 -0.92775319843345239,   0.021581834330382212   0.0018678765763567142    0.014992455011471641  -0.0051068486722086748 -0.00051522667762096696   0.0010059984331244089  2.4461572363839616e-06, -8.7510657119750981   61.895978603363034  -7.2287583732604981  -13.739130821228027 -0.97985727310180659   2.0131901245117185 -0.19758099365234374,   16.722722966546272    2.5263842125580309    10.132301330026005   -5.1278566862438204 -0.045387521826172721   0.36648746395816167   0.91966704514480913,  0.55167210102081299 -0.050421889871358871   0.21574056148529053,  -0.70645636320114136 -0.0093959765508770943 -0.0033879766706377268    0.70768612623214722, 1.4018425645190291e-05   0.0016989805735647678 -7.6183881901670247e-05,-0.00010925349488388747     0.62250125408172607  0.00062362925382331014,  0.24794040620326996  0.028440644964575768  0.065041236579418182  0.028440644964575768   0.23027442395687103 -0.023432586342096329  0.065041236579418182 -0.023432586342096329   0.18769469857215881,   -1.0727667572298927   -0.40872300183991683    -1.1705219026643121    0.70322361386665477    0.50539193574650199  0.0090259893044120076 1.1079444917072578e-05,0.0015573026612401009
IIWA_7,1714648592.0378768, -0.4794966282154704   1.1119282047939221 0.017064637475204522    -1.31427896613757  -1.9539541439424477  -1.8705980712860051 -0.92775211981997463,   0.039546537044806679   0.0013528859584440369    0.020078521090632871  -0.0067124219915009496 -0.00028179826565468704  0.00093183253611151266  4.5101464899358567e-05, -16.543681369781496   62.194402042388916  -10.394586544036866     -13.973310546875 -0.74215604782104494   1.6884497413635253 -0.15519453048706056,   16.277753566518587    2.5018636550603111    9.8089918311050273    -5.031472757031052 -0.017005628948543208   0.46643167834252414   0.91901822557772228,  0.55168825387954712 -0.050008919090032578   0.21576268970966339,  -0.70633518695831299 -0.0096245696768164635 -0.0031617481727153063    0.70780503749847412,0.00065038888715207577   0.017877951264381409 0.00082472682697698474,-0.00010930765711236745     0.62250220775604248  0.00062354950932785869,  0.24790209531784058   0.02842952124774456  0.065065681934356689   0.02842952124774456   0.23032991588115692 -0.023374380543828011  0.065065681934356689 -0.023374380543828011   0.18768130242824554,   -1.0718291272802105   -0.40713091889532649     -1.168178449178825    0.70179099140510459    0.50590694233765277   0.010702116760796798 1.1382299547335606e-05,0.016397997736930847
IIWA_7,1714648592.0428753,-0.47906375798120931   1.1119342568321864 0.017208088595336735  -1.3144216382954406  -1.9539636353919858  -1.8706062804421419 -0.92775331820667228,   0.048952039006288729   0.0013243902973278205    0.021800861677794797   -0.011076823908023174 -0.00060509659404781155  0.00041709978341471178 -1.1854295986670359e-05,  -19.57765299987793   61.816667869567873  -10.633168144226074   -13.61587833404541  -1.0432442665100097   1.8229516677856445 -0.16253706741333007,    15.925597231496134      2.510172693967645     9.5937528665756897    -4.9816966610088738 -0.0025895173976366107    0.54658120423994494    0.92721528939262232,  0.55171453952789307 -0.049623202532529831   0.21579229831695557,  -0.70626533031463623  -0.009861379861831665 -0.0029449975118041039    0.70787245035171509,0.0015556971775367856  0.029731161892414093 0.0018452911172062159,-0.00010924428352154791     0.62251490354537964  0.00062410370446741581,  0.24786143004894257  0.028429543599486351  0.065087318420410156  0.028429543599486351   0.23037639260292053 -0.023323286324739456  0.065087318420410156 -0.023323286324739456   0.18767754733562469,   -1.0713958826586989   -0.40564813623156226    -1.1663784968591884    0.70046417788560689    0.50650628665760422   0.012234740790262322 1.1646976716406243e-05,0.027312139049172401
IIWA_7,1714648592.0478499,-0.47875690193702219   1.1119330584454887 0.017400016017276934  -1.3146182396000345    -1.95396018400339  -1.8706065200976649 -0.92775319843345239,   0.051435872972515805   0.0010115767699560992     0.02511778621984382   -0.016725511310177722 -0.00034602173140585544  0.00032409360581248071 -4.6925079934304749e-06,  -17.90943909072876   61.883880355834961  -9.1048373031616201  -13.336799488067626  -0.5942530632019043   1.7168186340332032 -0.17922465133666993,  15.730611076581956   2.4596121066243981   9.4958830800436314    -4.90635446300867 0.031809874671757055  0.60331241596003637  0.91832468341332174,  0.55170440673828125 -0.049314789474010468   0.21579432487487793,  -0.70619821548461914  -0.010015044361352921 -0.0027387184090912342    0.70793801546096802,0.0008234551060013473  0.036120422184467316 0.0015585708897560835,-0.00011106920283054933     0.62252563238143921  0.00061808695318177342,  0.24784156680107117  0.028426811099052429  0.065098166465759277  0.028426811099052429   0.23041558265686035 -0.023285137489438057  0.065098166465759277 -0.023285137489438057   0.18766225874423981,   -1.0709274881000042   -0.40451438121547056    -1.1649435915277451    0.69934211784072886    0.50696550290840747   0.013498410951662265 1.1866133853288829e-05,0.033111631870269775
IIWA_7,1714648592.0528488,-0.47845777562884301   1.1119350957901413  0.01772730517643251  -1.3148725447621916  -1.9539650735432894  -1.8706009474795293 -0.92775301866453941,   0.053113750705180138  0.00089075520206644021    0.033185795342098076   -0.023552615534425211 -0.00047239898110111947  0.00048217961007428455  3.4367501243710019e-06, -14.167047855377197   61.960502590179445  -9.3231702804565426  -13.278694744110107 -0.96401052474975579   1.8022590637207032 -0.18122716140747069,  15.638042445223958   2.4179261040438482   9.4268378262927914  -4.8410146495793134 0.058074199611880623  0.65067127632034794   0.9046044950388179, 0.55168110132217407 -0.04905208945274353  0.21580114960670471,  -0.70611017942428589  -0.010120040737092495 -0.0025678558740764856    0.70802503824234009,-0.00028998832567594945    0.039402443915605545   0.0015223749214783311,-0.00011417226778576151     0.62253451347351074  0.00061022595036774874,  0.24783046543598175  0.028417440131306648  0.065106824040412903  0.028417440131306648   0.23045207560062408 -0.023251650854945183  0.065106824040412903 -0.023251650854945183   0.18764260411262512,    -1.070234782711843   -0.40357069338359253    -1.1635231956566017    0.69834896305565053    0.50725503765036706   0.014575015809370484 1.2061103227267722e-05,0.036104742437601089
