RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714648347.7126238,0.58564043045043945 0.72294151782989502 0.27802091836929321,-0.0058307964354753494  0.0012983835767954588   0.022808637470006943    0.99972200393676758,0.58564043045043945 0.72294151782989502 0.27802091836929321,-0.0058307964354753494  0.0012983835767954588   0.022808637470006943    0.99972200393676758
1714648347.7176502,0.58566349744796753 0.72807258367538452 0.27799427509307861,-0.0057041770778596401 0.00090075162006542087   0.026954779401421547    0.99961996078491211,0.58566349744796753 0.72807258367538452 0.27799427509307861,-0.0057041770778596401 0.00090075162006542087   0.026954779401421547    0.99961996078491211
1714648347.7226233, 0.5856395959854126 0.73335617780685425 0.27800881862640381,-0.0053225620649755001  0.0012556244619190693   0.030781794339418411    0.99951118230819702, 0.5856395959854126 0.73335617780685425 0.27800881862640381,-0.0053225620649755001  0.0012556244619190693   0.030781794339418411    0.99951118230819702
1714648347.7276266,0.58558964729309082 0.73866873979568481 0.27799463272094727,-0.0053316880948841572  0.0015426344471052289   0.033916447311639786     0.9994092583656311,0.58558964729309082 0.73866873979568481 0.27799463272094727,-0.0053316880948841572  0.0015426344471052289   0.033916447311639786     0.9994092583656311
1714648347.7326279,0.58550930023193359 0.74399000406265259 0.27793934941291809,-0.0053351931273937225  0.0012274434557184577   0.036892794072628021    0.99930423498153687,0.58550930023193359 0.74399000406265259 0.27793934941291809,-0.0053351931273937225  0.0012274434557184577   0.036892794072628021    0.99930423498153687
1714648347.7426264, 0.5854489803314209   0.752155601978302 0.27782365679740906,-0.0049824793823063374   0.001323909149505198   0.040262963622808456    0.99917584657669067, 0.5854489803314209   0.752155601978302 0.27782365679740906,-0.0049824793823063374   0.001323909149505198   0.040262963622808456    0.99917584657669067
1714648347.7476242,0.58529025316238403 0.75770926475524902 0.27777078747749329,-0.0050652455538511276   0.001512399991042912   0.041819602251052856    0.99911117553710938,0.58529025316238403 0.75770926475524902 0.27777078747749329,-0.0050652455538511276   0.001512399991042912   0.041819602251052856    0.99911117553710938
1714648347.752579,0.58518040180206299 0.76327759027481079 0.27777236700057983,-0.004933719988912344 0.0016247885068878531   0.04280487447977066    0.9990699291229248,0.58518040180206299 0.76327759027481079 0.27777236700057983,-0.004933719988912344 0.0016247885068878531   0.04280487447977066    0.9990699291229248
1714648347.7576232,0.58500319719314575 0.76884359121322632 0.27769020199775696,-0.004766401369124651 0.0017299192259088159  0.043380439281463623     0.999045729637146,0.58500319719314575 0.76884359121322632 0.27769020199775696,-0.004766401369124651 0.0017299192259088159  0.043380439281463623     0.999045729637146
1714648347.7676296,0.58480876684188843 0.77737754583358765 0.27771872282028198,-0.0044999774545431137  0.0017217639833688736   0.043630752712488174    0.99903613328933716,0.58480876684188843 0.77737754583358765 0.27771872282028198,-0.0044999774545431137  0.0017217639833688736   0.043630752712488174    0.99903613328933716
