DesiredFlux,0.65,HitTime,1714649027.0513034,DesiredPos,0.59359645843505859 -0.3481631875038147 0.19932715594768524
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714649026.3376813,  0.4894111775256913   1.2541879053646929 -0.18742428931956595  -1.2155341660522829  -1.1270756060706921    1.747527212098376 -0.68655635104010149, 3.1630773943699122e-06 -2.8893100172971517e-06  2.0824086877365045e-07  -0.0021971622632608141  2.7603661828383405e-06  1.4259909328969792e-06    4.03945048105001e-06,-0.47324774169921879   71.951660728454598   6.8691160964965823  -15.479035587310792   1.6515833282470702  -1.8052628288269044 0.030705154418945311, -1.2458158690357912  -2.4741040250771715   0.4284682457375879  0.19293091657748027 -0.92611497544664756 -0.32893953738018977  0.29127127304282541, 0.59732824563980103 0.011232894845306873  0.19126255810260773, 0.48604747653007507 -0.49791920185089111  0.50130170583724976  0.51432567834854126,-0.00072368135442957282 -0.00039976360858418047 -0.00035489004221744835,-0.0013236580416560173   -0.71175795793533325  0.0028547600377351046,  0.23420436680316925 -0.014951083809137344  0.073700301349163055 -0.014951083809137344   0.23755750060081482  0.022306473925709724  0.073700301349163055  0.022306473925709724   0.18718312680721283,   0.52999073392001605   -0.37351582842504172    0.82909424723265346    0.51703993454133013  -0.056000435784575586  -0.061943999901892255 4.4408920985006262e-12,0.00082163285696879029
IIWA_14,1714649026.3426869,  0.4894111775256913   1.2541880251379127 -0.18742440920186892  -1.2155423752084198  -1.1270756060706921   1.7475271522117661 -0.68655647081332138, 2.5304619154959299e-06  2.4794807776271997e-06 -4.6286994239231087e-06  -0.0020860960560831498  2.2082929462706725e-06 -1.2546716494148772e-06 -1.5593684110658053e-06,-0.49382373046875006   71.943944732666026   6.8744930953979493  -15.469625839233398   1.6427795791625976  -1.8102691040039063 0.029036396026611327, -1.2460755766287832  -2.4745128852534712  0.42811298136611808  0.19315510638553882 -0.92630058803746218 -0.32895008739463727   0.2914106808558487, 0.59732550382614136 0.011231379583477974  0.19126124680042267, 0.48604816198348999 -0.49791666865348816   0.5013001561164856  0.51432901620864868,-0.00068927527172490954 -0.00038044966640882194 -0.00033627031370997429,-0.0013225157745182514   -0.71175795793533325  0.0028552776202559471,  0.23420554399490356 -0.014950709417462349  0.073699899017810822 -0.014950709417462349   0.23755776882171631  0.022306248545646667  0.073699899017810822  0.022306248545646667   0.18718203902244568,    0.52997626073381099    -0.37351120721407227     0.82908167378192843      0.5170282538289328   -0.055999051333799343   -0.061950756942152907 -2.6645352591003757e-12,0.00078181683784350753
IIWA_14,1714649026.3476198,  0.4894111775256913   1.2541879053646929 -0.18742440920186892  -1.2155501050535107  -1.1270756060706921   1.7475271522117661 -0.68655635104010149, 2.0243695323967439e-06 -2.8073441693631614e-06 -3.7029595391384872e-06  -0.0019780706485024412  1.7666343570165381e-06 -1.0037373195319017e-06  3.5434340670531689e-06,-0.50153972625732424   71.949088729858403   6.8798700942993163  -15.462904590606689   1.6515833282470702  -1.8072653388977051 0.028368892669677733, -29.007169308985294   3.0303201414222278  -13.913862368988816  -7.4127816997602656 -0.75249038708204796  -1.8444589723257896  0.29155574823450631, 0.59732282161712646 0.011229903437197208   0.1912599503993988, 0.48604878783226013 -0.49791410565376282  0.50129878520965576  0.51433223485946655,-0.00065753079252317548 -0.00036338358768261969 -0.00032106347498483956,-0.0013214985374361277    -0.7117580771446228   0.002855831291526556,  0.23420670628547668 -0.014950335025787354  0.073699511587619781 -0.014950335025787354    0.2375580221414566  0.022306032478809357  0.073699511587619781  0.022306032478809357   0.18718098104000092,    0.52996179578190805    -0.37350679151870736     0.82906943342475614     0.51701693253303205   -0.055997373100247216   -0.061957339422491486 -1.7763568394002505e-12,0.00074609566945582628
IIWA_14,1714649026.3526547, 0.48940488572282098   1.2541904819070011 -0.18743783154739832  -1.2155672425505191  -1.1270753184404314    1.747520021560024 -0.68655635104010149,-0.00025005261918677809   0.0001008158169914984 -0.00053985618880714311  -0.0022679563991371251  1.2918517914421486e-05 -0.00028602905954290878  2.8347472536425354e-06,-0.41151977539062501   71.889932762146003    7.070753555297852  -15.317725620269776   1.6471814537048339  -1.7902440032958984 0.032040161132812502,-29.007606600388183  3.0306750410983776 -13.913976848394116 -7.4131809777675466 -0.7522435232186202 -1.8444765830907695 0.29171036252811733, 0.59732037782669067 0.011228488758206367  0.19125869870185852, 0.48604941368103027 -0.49791166186332703  0.50129741430282593  0.51433533430099487,-0.00062423356575891376 -0.00034731629421003163  -0.0003067732322961092,-0.0013205341529101133    -0.7117580771446228  0.0028563097584992647,  0.23420777916908264 -0.014949972741305828  0.073699146509170532 -0.014949972741305828    0.2375582754611969  0.022305821999907494  0.073699146509170532  0.022305821999907494   0.18717998266220093,    0.52994784360205216    -0.37350247619105659     0.82905749397266248     0.51700618343364368   -0.055995707162637132   -0.061963575022083717 -8.8817841970012523e-13,0.00070997164584696293
IIWA_14,1714649026.3576841, 0.48927863198630711   1.2542320072168969 -0.18779783766696409  -1.2158022532068786   -1.127068127858446   1.7473777089399796 -0.68655647081332138, -0.0052501915559042423   0.0017416650494236955   -0.014832129733676515    -0.01121479137369201   0.0002979580937473201  -0.0059213280494096266 -2.5231309929917848e-06,  5.7998568344116217   68.662074523925781   11.548449390411378  -11.814610836029052   1.6427795791625976  -1.5422665061950684 0.028035140991210936, -29.008128153151223   3.0312021042687589  -13.914122490893975  -7.4137087222233182 -0.75196284844349615  -1.8445050812079988  0.29178041517536185,0.59731811285018921 0.01122721191495657 0.19125762581825256, 0.48604995012283325 -0.49790948629379272  0.50129622220993042  0.51433807611465454,-0.00059116218471899629 -0.00032891950104385614 -0.00028823190950788558,-0.0013195928186178207   -0.71175813674926758  0.0028567868284881115, 0.23420876264572144 -0.01494965236634016 0.073698811233043671 -0.01494965236634016  0.23755849897861481  0.02230563573539257 0.073698811233043671  0.02230563573539257   0.1871790736913681,    0.52993547891144743    -0.37349865782676517     0.82904698638941454     0.51699637536462006   -0.055994298849171287   -0.061969240738868336 -5.3290705182007514e-12,0.00067153741838410497
IIWA_14,1714649026.3626664,   0.489223264797363   1.2542269739055003 -0.18821309098408787  -1.2160127560589646  -1.1270734008471821   1.7471011728646411 -0.68655647081332138, -0.0064148408024878329   0.0011919995836764436   -0.028475836471892252   -0.017391947182394174   2.744692555411174e-05   -0.015798505453067987 -2.0185047943934278e-06,  10.686654167175293   68.564338577270505   13.351088272094726  -11.409991668701172    1.385710105895996  -2.0922892723083497 0.028035140991210936, -28.993689251007432   3.0273892905533359  -13.904099135455244  -7.4079262678178797 -0.75314188656926839  -1.8458344623446039  0.29297054902256292, 0.59731471538543701 0.011215935461223125  0.19125588238239288, 0.48604702949523926 -0.49790528416633606  0.50129449367523193   0.5143466591835022,-0.00060852360911667347 -0.00071418820880353451 -0.00030044245067983866,-0.0013187458971515298   -0.71175825595855713  0.0028572704177349806,  0.23421016335487366 -0.014947826974093914  0.073698654770851135 -0.014947826974093914   0.23755984008312225  0.022303501144051552  0.073698654770851135  0.022303501144051552   0.18717701733112335,   0.52986476838601249   -0.37345425482104844    0.82895599592536229    0.51693908102290465  -0.055991570576452432  -0.061998274710539647 8.8817841970012523e-13,0.00089971203124150634
IIWA_14,1714649026.3676419,  0.4891839566010327   1.2542305091789834 -0.18876130937411478  -1.2163001977150512  -1.1270697576469015   1.7466313913165281 -0.68655635104010149,-0.0067042004952023075  0.0010950106062638941  -0.044709404778590464  -0.025411223989376053 0.00016768555166599047  -0.031430066286972244 3.1761249603910708e-06,  13.672744537353516   68.410018661499024   14.040688381195068  -11.864348075866699   1.5309719657897949  -1.3123115997314454 0.021026355743408203, -28.649070444021625   2.9507750619378275  -13.642653375369633  -7.2725707292597574 -0.77972189088292521  -1.8862059259878667  0.31389325549001507, 0.59728753566741943 0.010978898033499718   0.1912655383348465, 0.48594224452972412 -0.49785429239273071  0.50129848718643188  0.51449108123779297,-0.0015763386618345976  -0.010052713565528393 0.00014731632836628705,-0.0013179486850276589   -0.71175855398178101  0.0028576611075550318,  0.23421579599380493 -0.014911669306457043  0.073704369366168976 -0.014911669306457043   0.23758764564990997  0.022256901487708092  0.073704369366168976  0.022256901487708092   0.18715322017669678,    0.52845971582460294    -0.37249807984185423     0.82702170121340401     0.51580897824443639   -0.055926116109716872   -0.062625994937448581 -2.6645352591003757e-12,0.0092934193089604378
IIWA_14,1714649026.3726177, 0.48916172579693462   1.2542296104435016 -0.18945279922444405  -1.2167025081067744  -1.1270690865678041   1.7460680128875352 -0.68655617127118851,-0.0062525925600849614 0.00084005906573857462  -0.063427117836043129   -0.03642139486042989 0.00016099160522890991  -0.047679190189293799 9.7316564874282384e-06,  14.482924095153809   68.646642532348636   13.306728031158448  -12.168148513793945   1.4737475967407225  -1.5415990028381348 0.030705154418945311, -28.445840524568581   2.9327757090179438  -13.443547135812864  -7.2174342766027522 -0.78283611055375724  -1.8889366001606156  0.32059463455261278, 0.59729987382888794 0.010772617533802986  0.19129568338394165, 0.48587402701377869 -0.49780973792076111  0.50134307146072388  0.51455515623092651,-0.00076975842239335179   -0.016293952241539955   0.0013270521303638816,-0.0013167854631319642   -0.71176576614379883  0.0028583651874214411,  0.23421072959899902 -0.014871370978653431  0.073713421821594238 -0.014871370978653431   0.23761364817619324  0.022208066657185555  0.073713421821594238  0.022208066657185555   0.18714158236980438,  0.52691674486382567  -0.37156078230271561   0.82497641362078156   0.51467568257379526 -0.055739437186730356  -0.06297194828341901                     0,0.014945512637495995
IIWA_14,1714649026.3776181, 0.48913877602626787   1.2542309885991123 -0.19033250123615142   -1.217218608838823  -1.1270750308101707   1.7453125872633823 -0.68655599150227553, -0.0059200648747378482  0.00072717347702057323   -0.085929774737129205   -0.049781145170290447 -0.00010897641047892095   -0.068360377117549942  1.4976081709057974e-05,  12.998880905151369    68.85497441864014   12.717946651458741  -11.701693859100342   1.2105154991149902  -1.3516942977905273 0.028368892669677733, -28.235684895742818   2.8942392917874504  -13.234719488171434  -7.1561065775074191 -0.79159408317647106  -1.8661049815565356  0.33347335675195883, 0.59732484817504883 0.010517057962715626  0.19130852818489075, 0.48583149909973145 -0.49774396419525146  0.50140082836151123   0.5146026611328125,0.00037500029429793358  -0.023259390145540237  0.0015833701472729445,-0.0013038732577115297   -0.71177268028259277  0.0028477667365223169, 0.23420801758766174  -0.0148141048848629 0.073723785579204559  -0.0148141048848629  0.23764702677726746 0.022141601890325546 0.073723785579204559 0.022141601890325546    0.187124103307724,    0.52474089538012691    -0.37031740508375321     0.82216485134889439     0.51313797080521084   -0.055448397580093456   -0.063224337914391526 -8.8817841970012523e-13,0.021292224526405334
IIWA_14,1714649026.3826764,  0.4890883224845835   1.2542291910190657 -0.19140790559880488   -1.217829564615976  -1.1270686071258587   1.7443447412157107 -0.68655599150227553,-0.0067541935671650739 0.00050983557975278185   -0.11175999429584196  -0.064263147222351449 0.00016976624409802761  -0.093402143600905513 1.1980865367246379e-05, 11.964937469482422   68.37143868255616  13.340334274291992 -11.568613136291503  1.6093253326416015 -1.5185701370239257 0.02236136245727539,-28.000720471111439  2.8414307445947626 -12.991563631391402 -7.0727911390014189 -0.8028139774161146 -1.8510482025060844 0.35388041648940427, 0.59734117984771729 0.010205088183283806  0.19132770597934723, 0.48577666282653809 -0.49764233827590942  0.50147712230682373  0.51467841863632202,0.00094298255862668157  -0.031089756637811661  0.0020488817244768143, -0.00130459014326334  -0.71178144216537476 0.0028292206116020679,   0.2342098206281662 -0.014741437509655952  0.073734618723392487 -0.014741437509655952   0.23768928647041321   0.02205999381840229  0.073734618723392487   0.02205999381840229   0.18709805607795715,   0.52198189573804399   -0.36880573899189528    0.81867277073488509    0.51121777240936694  -0.055040590418720114  -0.063585416043565601 5.3290705182007514e-12,0.028465121984481812
