DesiredFlux,0.52,HitTime,1714648389.441313,DesiredPos,0.56739002466201782 -0.3476637601852417  0.1989157646894455
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714648388.6846232, 0.56951751173573595   1.0680595899917427 -0.26606764938976379  -1.4970615254770199  -1.0623909917501246   1.5571352092064488 -0.64509111265011609,1.6419543966550606e-06 8.1983526468173348e-06 5.7119406546078899e-06 -0.0011610815702739212 6.0829251230562324e-06 -0.0020170175807144521 1.6649003482991377e-05,-1.5251951675415041  66.300979812622074  8.2160543212890627 -14.160326606750488  1.3848297309875488 -1.9784799499511718 0.25231626892089842, -0.053348810248067147     5.2249754068513159    0.49903165583882791     1.7473755565837064    -1.3067228496605605 -0.0030622374179670453      1.017212574905151,   0.55138152837753296 -0.0062241125851869583    0.22221960127353668,0.53015625476837158 -0.5058942437171936 0.48441001772880554 0.47786220908164978,-0.00011733599239960313 -0.00022509875998366624 -0.00062619056552648544, 0.018730137497186661  -0.56927430629730225 -0.027267089113593102,   0.24103593826293945 -0.0065178503282368183   0.070984289050102234 -0.0065178503282368183    0.24151287972927094  0.0088461451232433319   0.070984289050102234  0.0088461451232433319    0.18334987759590149,     0.2235078856527295    -0.16613073651772226     0.33506244982994815     0.16480191056622573   -0.065798500235914048     0.12590398395584401 -1.7763568394002505e-12,0.00061616173479706049
IIWA_14,1714648388.6896236, 0.56951739196251605   1.0680600095252617 -0.26606758950315385  -1.4970633830527593  -1.0623907999384399   1.5571353290887517 -0.64509105265442301,-3.4773652785817647e-06    2.33400228788942e-05  6.9650169216392186e-06  -0.0010031682857971416  1.2538807488752232e-05  -0.0016088187724526198  1.5719030509602673e-05,-1.5123351745605469  66.388427764892583   8.224119819641114 -14.288030330657959  1.3909923553466796 -1.9688011512756347 0.25064751052856443,-23.753289300396478  4.6619031332764971  -17.45053111746364  -8.553244455126503 -1.1738409305171975  3.9740382060841668  1.0171029997421286,   0.55138057470321655 -0.0062243444845080376    0.22221885621547699, 0.53015685081481934 -0.50589334964752197  0.48440927267074585  0.47786325216293335, -0.0001321078889304772 -0.00018934829859063029 -0.00053063227096572518,  0.01872815378010273  -0.56927448511123657 -0.027265246957540512,   0.24103634059429169 -0.0065177930518984795   0.070984132587909698 -0.0065177930518984795    0.24151289463043213  0.0088461171835660934   0.070984132587909698  0.0088461171835660934    0.18334949016571045,  0.22350588745467803  -0.16613018452282802   0.33506072889810667   0.16480044021971452 -0.065798143104700557   0.12590284974756116                     0,0.00052770553156733513
IIWA_14,1714648388.694627, 0.56951751173573595   1.0680600095252617 -0.26606740973424092  -1.4970647612083698  -1.0623909917501246   1.5571352092064488 -0.64509111265011609, 2.0090365730404015e-06  1.8672018303115361e-05  1.2762770054206311e-05 -0.00085766085305854502  2.3585786006945391e-06  -0.0012918503100810379  1.0175396684472571e-05,-1.4994751815795899  66.414147750854497  8.2523490638732913 -14.277276332855225  1.3953942298889159 -1.9698024063110351 0.25231626892089842,-23.753362094368896  4.6631766187330621 -17.449417193071405 -8.5536250834944525 -1.1734120125424397  3.9725379734684276  1.0168636734340406,  0.55137979984283447 -0.006224785465747118   0.22221840918064117, 0.53015691041946411 -0.50589287281036377  0.48440879583358765  0.47786417603492737,-0.00013566369307227433 -0.00016912528371904045  -0.0004425344814080745, 0.018728230148553848  -0.56927448511123657 -0.027264447882771492,   0.24103660881519318 -0.0065177325159311295   0.070984028279781342 -0.0065177325159311295    0.24151290953159332  0.0088460436090826988   0.070984028279781342  0.0088460436090826988    0.18334922194480896,    0.22350376795898796    -0.16612873992638555     0.33505780804343743     0.16479856215756428   -0.065798301156050343      0.1259008091123448 -2.6645352591003757e-12,0.00044938034261576831
IIWA_14,1714648388.6996257,  0.5695107407309028   1.0680595899917427 -0.26608316896655565  -1.4970766256293757  -1.0623904164896032   1.5571543240524166 -0.64509099276781301,-0.00026923296406758396 -1.8437261189480441e-06 -0.00062015907654571856   -0.001160705522681611  2.4897283738172141e-05 -0.00026888640935130727  1.2935609470960979e-05,-1.3837352447509765  66.342131790161133  8.5467397537231449 -14.009770637512206  1.3909923553466796 -2.0205326614379882 0.25198251724243165,-23.753934556163244  4.6645593047783827 -17.448763809950144 -8.5543506598902272 -1.1728765686771887  3.9714382881377479  1.0165975553280755,   0.55137938261032104 -0.0062249228358268738    0.22221818566322327, 0.53015714883804321 -0.50589239597320557  0.48440858721733093  0.47786462306976318,-0.00012598044122569263 -0.00014078625827096403 -0.00036284580710344017, 0.018728127703070641  -0.56927460432052612 -0.027262846007943153,   0.24103677272796631 -0.0065176892094314098   0.070983961224555969 -0.0065176892094314098    0.24151292443275452  0.0088460221886634827   0.070983961224555969  0.0088460221886634827    0.18334905803203583,   0.22350226966327824   -0.16612837296570149    0.33505654281196229    0.16479760327925419  -0.065797758019847663     0.1259003265516867 8.8817841970012523e-13,0.00037304492434486747
IIWA_14,1714648388.7046242, 0.56937010580860181   1.0680576126427834 -0.26651879551203794  -1.4973515437844975  -1.0623903206710272   1.5576356704794025 -0.64509075311229014, -0.0058407832632935142 -8.0568939264627859e-05   -0.017921189080528286   -0.011925290623017976  2.3750570029038723e-05    0.019038747951956564  1.9934708491616628e-05, 6.7463523178100591   65.39049230957032  15.280086627960205 -9.0145386581420901  1.1814631271362304 -3.8875395507812498 0.33875795364379885,-23.734671716085529  4.6637403508476805  -17.42964462709423 -8.5446559421348951 -1.1739346971886422  3.9613426226789441   1.016712986815874,   0.55137354135513306 -0.0062370826490223408    0.22222451865673065, 0.53014308214187622 -0.50589168071746826  0.48440888524055481  0.47788065671920776,  -0.000333732197759673 -0.00059903232613578439 -3.6795801861444488e-05,  0.01872917078435421  -0.56927460432052612 -0.027261871844530106,   0.24103683233261108 -0.0065172184258699417   0.070984013378620148 -0.0065172184258699417    0.24151328206062317  0.0088446298614144325   0.070984013378620148  0.0088446298614144325    0.18334865570068359,  0.22348545510109119  -0.16610006663331234   0.33501403132518703   0.16477484220356331 -0.065808848003889864   0.12582901027968774                     0,0.00062621454708278179
IIWA_14,1714648388.7096548, 0.56931767480887496   1.0680488042932978 -0.26698186594192785  -1.4975526989803591  -1.0623941555084597   1.5583094235302914 -0.64508847611211473, -0.0067698665997087742 -0.00041678913083483844   -0.032859768460019083   -0.017586440332878907 -0.00013439304127647211    0.042181120397121387  0.00010702777380970192, 11.779753570556641  64.845228607177745   18.41084423828125 -8.3061190528869631  1.1488892555236816 -2.8529093475341796 0.25231626892089842,-23.254807508823063  4.6177629183899471 -16.955989250647001 -8.2906872752455065 -1.2049041234283167  3.7293745974840387  1.0269729728263399,  0.55123937129974365 -0.006536959670484066   0.22239547967910767, 0.52978062629699707 -0.50586622953414917  0.48443928360939026  0.47827863693237305,-0.0056368540972471237  -0.012468992732465267  0.0068106460385024548, 0.018730144947767258  -0.56927460432052612 -0.027261445298790932,  0.24103397130966187 -0.006503282580524683  0.070987246930599213 -0.006503282580524683    0.2415226548910141 0.0088094770908355713  0.070987246930599213 0.0088094770908355713   0.18334242701530457,  0.22299046516138787  -0.16539282666627741   0.33390160583746109   0.16419922050214808 -0.066024319022695011   0.12402199690697557                     0,0.01393852848559618
IIWA_14,1714648388.714622,  0.5692923881514228   1.0680491038354307 -0.26754566390443962  -1.4978252202530025  -1.0623922380897435   1.5593805735438102 -0.64508482084724572, -0.0064273595778534809 -0.00032144961935284957   -0.048839733268486049   -0.024970003172036022 -3.0817684371326143e-05     0.07659089685844761  0.00023183281380803806, 14.104840301513672  66.200671867370616  18.541236461639404 -8.9701784172058101  1.1788220024108886 -3.5330952682495118 0.25965880584716799,-22.933092333570521  4.6204391471674189 -16.559894769201186 -8.1192733688860184 -1.2130755750168845  3.5035865557836905  1.0254824865902559,   0.55110841989517212 -0.0067864428274333477    0.22262276709079742, 0.52935910224914551 -0.50583004951477051   0.4845234751701355  0.47869816422462463,-0.0097548142075538635  -0.019938798621296883   0.014544688165187836, 0.018730681389570236  -0.56927472352981567 -0.027261257171630859,   0.24102102220058441 -0.0064964685589075089   0.070993416011333466 -0.0064964685589075089    0.24152927100658417  0.0087883211672306061   0.070993416011333466  0.0087883211672306061    0.18334798514842987,  0.22274495068952405  -0.16497157393047246   0.33325513987758626   0.16390329356852362 -0.066150140551002323   0.12202145211936966                     0,0.024199904873967171
IIWA_14,1714648388.7196553, 0.56928232131046341   1.0680544367980431 -0.26826262007205087  -1.4982228568711551  -1.0623929091688409   1.5607766159430891 -0.64508536015398454, -0.0055445613006583246  -4.384119098615021e-05   -0.067750033319238803   -0.035881467263733591 -5.1497311393178433e-05     0.11711441345791526   0.0001638939814935252, 14.634672012329103  67.383791221618651  16.964431533813478 -9.3573223381042485   1.196429500579834  -3.399594596862793 0.29203271865844727,-22.575048687206809  4.6136628389391729 -16.094846966971581  -7.896546426174484 -1.2252972312552264  3.1972528310198118  1.0295190668246661,    0.5509030818939209 -0.0070789838209748268    0.22293686866760254, 0.52877247333526611 -0.50575608015060425  0.48464155197143555  0.47930476069450378,-0.016030736267566681 -0.027614034712314606  0.024209890514612198, 0.018745418637990952  -0.56927520036697388 -0.027280170470476151,   0.24101021885871887 -0.0064950138330459595   0.070997774600982666 -0.0064950138330459595    0.24153551459312439  0.0087735168635845184   0.070997774600982666  0.0087735168635845184    0.18335121870040894,  0.22268383191459407  -0.16467341931392099   0.33285670412652735   0.16375175118898966 -0.066286835466833338   0.11918863538262769                     0,0.036540120840072632
IIWA_14,1714648388.724622, 0.56927680857893792   1.0680544367980431 -0.26921770296323499  -1.4987484849192581  -1.0623985657809465   1.5626030718075408 -0.64508530026737465, -0.0046561583015463457 -3.5072952788920168e-05   -0.092403342302755945   -0.049730295735105526 -0.00026746233333890162     0.16674976534439725  0.00013351064959055264, 13.711324516296388  66.923403472900389  16.035554973602295 -9.3452240905761723 0.85572441101074215  -3.121913200378418 0.29570398712158202,-22.142635740506265  4.5838501318903395 -15.538238150688152 -7.6081636872263134 -1.2446731506428756  2.8217435745354695  1.0430409750040164,   0.55061954259872437 -0.0074488096870481968    0.22333449125289917, 0.52802473306655884 -0.50563728809356689  0.48478847742080688  0.48010516166687012,-0.024184444919228554 -0.036807972937822342  0.035292144864797592, 0.019104044884443283  -0.56924086809158325 -0.027773335576057434,   0.24100306630134583 -0.0064924051985144615   0.071000650525093079 -0.0064924051985144615    0.24154371023178101  0.0087558981031179428   0.071000650525093079  0.0087558981031179428    0.18334876000881195,    0.22257954491067267    -0.16432163918356224     0.33236412704251705     0.16356108202231212    -0.06642624862784885      0.1155093212883429 -2.6645352591003757e-12,0.051465544849634171
IIWA_14,1714648388.7296238, 0.56925625569074956   1.0680537777180843 -0.27040737686817656  -1.4993725633907244  -1.0623964565505455   1.5648396876820265 -0.64508553992289752, -0.0045470421687716055   -5.44215605843881e-05    -0.12150963003986749   -0.064747375446740169 -0.00012960065063096252     0.22286444725494817  9.7222298757594278e-05, 12.643945098876953   66.81795153045654  17.296461215972901 -8.7994587020874029  1.2378071212768555 -3.3832407646179199 0.28569143676757813,-21.585772313106855  4.5596447844580661   -14.8142843030625 -7.2407880719546363 -1.2673247895769011  2.3364816750566781   1.058438834024318,   0.55024915933609009 -0.0079335672780871391    0.22386282682418823, 0.52704006433486938 -0.50547975301742554  0.48498630523681641  0.48115202784538269,-0.034194990992546082 -0.048694662749767303  0.049402497708797455, 0.019505338743329048  -0.56919759511947632 -0.028400955721735954,  0.24099212884902954 -0.006488181184977293  0.071005292236804962 -0.006488181184977293   0.24155505001544952 0.0087321940809488297  0.071005292236804962 0.0087321940809488297   0.18334643542766571,     0.2224142454849698    -0.16385036668431496      0.3316877544286001     0.16329792176339453   -0.066594211030057693     0.11067628496874704 -8.8817841970012523e-13,0.070523299276828766
