DesiredFlux,0.98,HitTime,1714656971.0048652,DesiredPos,0.56989079713821411  -0.305519700050354 0.19889242947101593
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714656970.4187691, 0.55907331968380014   1.1790027131854608 -0.12547974833134845  -1.3192500825081042  -1.1000007491932182   1.7660125194412697 -0.62796769248570439,-1.0670160548236041e-05  6.9200986795686759e-06  6.7897768876353936e-07  0.00060155633085167033  1.8312639995182131e-07   4.674858526177082e-06 -7.3297020654237491e-06, 1.2062673416137697  70.719673400878904   5.171328693389893 -16.222405685424803   1.965877170562744 -1.9841537284851074 0.33608794021606447,  -4.3936550972143413   0.35982595378480609   -3.3304111517216581   0.20958203352654226  -0.28987695363631927 -0.015290049677257139  0.072466489215848195, 0.56166911125183105 0.060494024306535721  0.20057302713394165, 0.50821793079376221 -0.49728807806968689  0.50135910511016846  0.49300926923751831,0.00017417254275642335 0.00010249037586618215  8.004479605006054e-05,  0.0041150897741317749     -1.0714267492294312 -0.00084025273099541664,  0.24462997913360596 -0.018554506823420525  0.066988907754421234 -0.018554506823420525   0.23325209319591522  0.030293412506580353  0.066988907754421234  0.030293412506580353   0.18441146612167358,  0.68196790723540346  -0.59401346196530369    1.1321839749687257   0.65114626340623261 -0.039943018505184114  0.048155251590742409                     0,0.00019881530897691846
IIWA_14,1714656970.423723, 0.55907319980149717   1.1790027131854608 -0.12547986810456838  -1.3192469666590572  -1.1000008450117942   1.7660128190924858 -0.62796751271679141,-1.3331420557530863e-05  5.5360789436549409e-06  -4.247746646005205e-06  0.00060587902656123046 -3.6862419185395504e-06  1.5725935463439969e-05  1.3269948667763827e-06, 1.2062673416137697  70.719673400878904  5.1726729431152343 -16.230471183776856  1.9667575454711914 -1.9828187217712403 0.33408543014526365, -42.985396043873855    6.508235005859742   -26.49747594292884  -13.838888953181055  0.70187870710090272   1.1666651732830988 0.072386902374050516, 0.56167000532150269 0.060494557023048401  0.20057332515716553, 0.50821787118911743 -0.49728894233703613  0.50135934352874756  0.49300819635391235,0.00017577521794009954 0.00010325601760996506 7.5927513535134494e-05,  0.0041142641566693783     -1.0714265108108521 -0.00084034091560170054,  0.24462965130805969 -0.018554653972387314  0.066989041864871979 -0.018554653972387314   0.23325197398662567  0.030293464660644531  0.066989041864871979  0.030293464660644531   0.18441180884838104,   0.68197397382707692   -0.59401492675004164     1.1321886003683446    0.65114986779324369  -0.039944054312179844   0.048158072022630449 3.5527136788005009e-12,0.00019897556921932846
IIWA_14,1714656970.4287267, 0.55907319980149717   1.1790027131854608 -0.12547986810456838  -1.3192436710410971  -1.1000008450117942   1.7660129988613986 -0.62796751271679141,-1.0665136446024691e-05  4.4288631549239529e-06 -3.3981973168041641e-06  0.00061652793965243482 -2.9489935348316403e-06  1.9771504885426467e-05  1.0615958934211062e-06, 1.2088393402099611  70.704241409301758    5.17670569229126 -16.222405685424803  1.9676379203796386  -1.983152473449707 0.33408543014526365, -42.985357731073918   6.5084785920566715  -26.497286013987345  -13.839076133992897  0.70192869867572882   1.1666687335009553 0.072196470550627723, 0.56167095899581909 0.060495015233755112  0.20057381689548492, 0.50821739435195923 -0.49728992581367493  0.50135987997055054  0.49300715327262878,0.00017710914835333824 0.00010094996832776815 8.0903126217890531e-05,   0.004113328643143177     -1.0714266300201416 -0.00084047089330852032,  0.24462929368019104 -0.018554810434579849  0.066989190876483917 -0.018554810434579849   0.23325188457965851  0.030293518677353859  0.066989190876483917  0.030293518677353859   0.18441219627857208,   0.68198032901634065   -0.59401638941114498     1.1321933694059538    0.65115355072631331  -0.039945006025554619   0.048159873491826488 1.7763568394002505e-12,0.00020060896349605173
IIWA_14,1714656970.4337623, 0.55906792683457762    1.179005709261288 -0.12549293091227184  -1.3192558948908457   -1.099998831774502    1.766019230668576 -0.62796757271248449,-0.00021945078593862142   0.0001233861236123684 -0.00052523086599215506  4.2683617764192406e-06  7.8170296860487234e-05  0.00026508949100448841  -1.550551008472684e-06, 1.3117192840576173  70.619365455627445   5.368933403015137 -15.985817733764648  1.9544322967529297 -2.0038450775146486 0.33174916839599611,-42.985570526015962  6.5087281542119948 -26.497312003873528 -13.839348400698499 0.70196343415124951  1.1667649982868602 0.07202971133498344,  0.5616719126701355 0.060495615005493164  0.20057429373264313, 0.50821715593338013 -0.49729093909263611  0.50136029720306396  0.49300602078437805,0.00017945858417078853 0.00010474951704964042 8.3326653111726046e-05,  0.0041123963892459869     -1.0714266300201416 -0.00084061635425314307, 0.24462892115116119 -0.01855497807264328 0.066989339888095856 -0.01855497807264328  0.23325176537036896 0.030293585732579231 0.066989339888095856 0.030293585732579231  0.18441258370876312,    0.68198719678047581    -0.59401831185645904      1.1321987705654735     0.65115775180490942   -0.039946007831304087    0.048162360439363283 -1.7763568394002505e-12,0.00020477219368331134
IIWA_14,1714656970.4387894, 0.55895161983855401   1.1790759967245921 -0.12583538021947641  -1.3195854011635666   -1.099983683712858   1.7661838938659384 -0.62796877109918214,-0.0048278404696951924  0.0029102074310524543  -0.014118156980976205  -0.013176836219414099 0.00066845870324569239  0.0067985994873001315 -4.917590871293536e-05, 7.5488158798217775  65.387920310974124  10.209576663970948 -8.8639826889038087  1.6225309562683106 -2.8722669448852538 0.36445683288574221, -42.969727744665725   6.5029799516993823   -26.48511956132733   -13.82986847028117  0.69962142566972008   1.1616918552580595 0.073703925102730272, 0.56166833639144897 0.060485705733299255  0.20057503879070282, 0.50820940732955933 -0.49728801846504211  0.50135970115661621  0.49301755428314209,  8.341339707840234e-07 -0.00031257164664566517  9.6839692560024559e-05,  0.0041115046478807926     -1.0714265108108521 -0.00084067456191405654,  0.24462936818599701 -0.018554097041487694  0.066989526152610779 -0.018554097041487694   0.23325327038764954  0.030292222276329994  0.066989526152610779  0.030292222276329994   0.18441089987754822,   0.68194594830117694   -0.59397884808642942     1.1321350557595977    0.65111491146829792  -0.039949518980897381   0.048111357047631031 8.8817841970012523e-13,0.00029930475284345448
IIWA_14,1714656970.4437246, 0.55890080675904374   1.1790845654185547 -0.12625794395725523  -1.3198352723167592   -1.099992408264723   1.7663662338670483 -0.62797206682622531, -0.0058947955561669593   0.0026709137033458109   -0.028197075095933964   -0.020536315103236794   0.0001857848879982287    0.012732479634233605 -0.00017116980869683496, 12.366169250488282  64.436280830383311  12.790536136627198 -8.4943140144348153  1.2633379936218261 -2.3005503196716308 0.27501138305664063,-42.597016363291516  6.3829986078964884 -26.177364366265504 -13.615806305778246 0.65750601438060674  1.0347512533687242 0.10958299989943368, 0.56157857179641724 0.060237403959035873  0.20060312747955322,  0.5080111026763916 -0.49719557166099548  0.50136369466781616  0.49331101775169373,-0.0035898594651371241  -0.010180428624153137  0.0012028090422973037,  0.0041105742566287518     -1.0714266300201416 -0.00084082770626991987,  0.24464204907417297 -0.018529457971453667  0.066993698477745056 -0.018529457971453667   0.23329216241836548  0.030258793383836746  0.066993698477745056  0.030258793383836746   0.18436700105667114,   0.68081330416358554   -0.59301529561484045     1.1305088007418362    0.65004210523245121  -0.039954283879595209   0.046802174290760945 1.7763568394002505e-12,0.0099345650523900986
IIWA_14,1714656970.4487023, 0.55888906222034096   1.1790902579189932 -0.12685709530909539  -1.3202475895537489  -1.0999860805735198   1.7667072450229491 -0.62796990959926979, -0.0051856179930449596   0.0023644309802198908   -0.046523714150353584   -0.032921741562175255  0.00040173555852794109    0.023826429943418662 -5.0646768736965173e-05, 15.262239669799806  64.539160774230965  13.797379180908203 -8.9876536636352533  1.7845199394226074 -2.7200761795043946 0.28969645690917967,-42.347878818634506  6.3592782643756456  -25.89870762738186 -13.501495042444997 0.65162214093576232 0.92289575822495484 0.11889196065997668, 0.56152671575546265 0.060018476098775864  0.20069780945777893, 0.50778001546859741 -0.49712520837783813  0.50142693519592285   0.4935554563999176,-0.0049514616839587688  -0.016897318884730339  0.0047542671672999859,  0.0041096429340541363     -1.0714271068572998 -0.00084097316721454263,  0.24463489651679993 -0.018508810549974442  0.067006528377532959 -0.018508810549974442   0.23332861065864563  0.030227275565266609  0.067006528377532959  0.030227275565266609   0.18434305489063263,  0.67984270306276073  -0.59216470762990525    1.1289983820015337   0.64913078681616554 -0.039873429744652356  0.045531662619779922                     0,0.016681496053934097
IIWA_14,1714656970.4537685, 0.55889906906560727   1.1790916960702968  -0.1276503310916651  -1.3208591445242506  -1.0999913535622561   1.7671177046841993 -0.62797050879261862, -0.0037482205837836386   0.0019490708363199541   -0.068948402623071142   -0.050799592069807928  0.00011046889736972677    0.035479530404742748 -6.4485148942650751e-05, 16.851734802246096  64.518584785461428  13.824264175415038 -8.8760809364318849  1.5635458374023437  -2.431380977630615 0.32440663146972654,-42.044067154262201  6.3115455184733209  -25.53703332931099 -13.329955885643576 0.63632252162125869 0.75325894474463739  0.1402436405552922, 0.56141865253448486 0.059731647372245789  0.20084087550640106,0.50744020938873291 -0.4969974160194397 0.50152379274368286 0.49393510818481445,-0.0082915117964148521  -0.024979963898658752  0.0095373094081878662,   0.004113475326448679     -1.0714423656463623 -0.00084176403470337391,  0.24463257193565369 -0.018479716032743454  0.067020229995250702 -0.018479716032743454   0.23337970674037933  0.030188297852873802  0.067020229995250702  0.030188297852873802   0.18430298566818237,   0.67847735264159326   -0.59113070278460356     1.1269994915616977    0.64795740975753802  -0.039704540300000701   0.043610176332364858 8.8817841970012523e-13,0.025604551658034325
IIWA_14,1714656970.4587467, 0.55892004148731456   1.1790940929527751 -0.12864328402787586  -1.3216701169971776  -1.0999932709809723    1.767659451611526 -0.62797092832613755, -0.0021596795987353836   0.0016551319681868731   -0.094876839546887595   -0.073078572572928407  1.1678369245929885e-05    0.050053501416865417 -6.8369459911120047e-05, 17.847098258972171  64.428564834594724  13.387383014678955 -8.2523490638732913  1.1585733795166016 -2.3552855949401854 0.35210802078247072,-41.673285829212162  6.2294544171650212 -25.098118553295354 -13.102117408570747 0.61552736251321627 0.54659401653444739 0.17597951054253202,0.56126344203948975 0.05935528501868248 0.20101924240589142, 0.50701558589935303 -0.49680092930793762  0.50165212154388428  0.49443826079368591,-0.012854849919676781 -0.035017214715480804   0.01478752214461565,  0.0042098970152437687     -1.0714563131332397 -0.00086641806410625577, 0.24463711678981781 -0.01843622513115406 0.067034974694252014 -0.01843622513115406  0.23344852030277252 0.030135896056890488 0.067034974694252014 0.030135896056890488  0.18424303829669952,  0.67648196498204527  -0.58976544176925216    1.1242396133672727   0.64634776660010829 -0.039404420649091776  0.041122167793616882                     0,0.036699377000331879
IIWA_14,1714656970.463722, 0.55893741853076284   1.1790943326082981 -0.12985812492613272  -1.3226433558940716  -1.0999945173205912   1.7682851480032089 -0.62797152751948637, -0.0010326619410568824   0.0013336917954687873    -0.12449510756778419   -0.097392413934100142 -4.0510889356990115e-05    0.065070656800806814 -7.8663301881974648e-05, 17.085786674499513  64.528872779846196  13.926427154541015 -7.5304869613647458  1.4218054771423341 -2.5565378570556638 0.33308417510986327,-41.227061586224217  6.1154832093278628 -24.576286494704977 -12.813475247448087 0.58505370511740962 0.28899359353389553 0.22434515493819873,0.56105029582977295 0.05888090655207634 0.20124141871929169, 0.50647902488708496 -0.49653854966163635  0.50180834531784058  0.49509277939796448,-0.018830563873052597 -0.046950682997703552  0.020759066566824913,  0.0042752036824822426     -1.0714759826660156 -0.00092279911041259766,  0.24464815855026245 -0.018380479887127876  0.067050963640213013 -0.018380479887127876   0.23353581130504608  0.030070798471570015  0.067050963640213013  0.030070798471570015   0.18416248261928558,   0.67393280682459533   -0.58807010880634891     1.1207699537756355    0.64431696442834863  -0.039017205616609374    0.03793220041892198 8.8817841970012523e-13,0.050008434802293777
