DesiredFlux,1.11,HitTime,1714657573.3998125,DesiredPos, 0.52818679809570312 -0.30164253711700439   0.1988837867975235
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714657572.8393822, 0.58124155918231313   1.1908406107498901 -0.12444479066511301  -1.3840072014055411  -1.0770979366099567   1.7909294607436221 -0.55407308162203184,-3.0019802916950049e-06  3.8915162451288481e-05   0.0011834835491303548  1.0872571006720443e-05 -2.4736016000761993e-06   0.0014961155086296472  1.8969515431251338e-06,-1.7078070678710939  68.999006340026853  5.0758869628906247 -13.875345664978028  1.6392580795288085 -2.4784399642944335 0.34242922210693361, -2.2843063635902592  -2.6977736881664782 -0.94857462448243368 -0.25508173505062331  0.62634283095100218  0.23048172314687926 0.038136351621841785, 0.53192603588104248 0.059815220534801483  0.18900039792060852, 0.49193799495697021 -0.49088054895401001  0.50921809673309326  0.50767135620117188,-0.00037418041029013693  0.00050190981710329652  4.6651116463181097e-06,-0.0027467061299830675     -1.214364767074585  0.0072578848339617252,  0.2534831166267395 -0.01603514701128006 0.062268044799566269 -0.01603514701128006  0.23511134088039398 0.030720489099621773 0.062268044799566269 0.030720489099621773  0.17505770921707153,   0.57991694323789034   -0.61326433239461409     1.0776740196645207    0.62590974258025511  -0.026118562137966705  -0.037230135681021181 8.8817841970012523e-13,0.0005722400383092463
IIWA_14,1714657572.844358, 0.58124155918231313   1.1908405507541973 -0.12444509020724588   -1.384007620829977  -1.0770978407913807   1.7909321572773165 -0.55407308162203184, -2.401584233356004e-06  2.8732302246703003e-05  0.00093480515398926267 -8.0789206285868699e-06  1.8538617584400482e-06    0.001304753754677126  1.5175612345001072e-06,-1.7026630706787109  68.962998359680185  5.0731984634399412 -13.883411163330079  1.6454207038879394 -2.4670924072265623 0.34509923553466798,-45.476429350407358  6.9286926536179134 -26.800680115079132 -15.348939614493645  1.1277633703444399 -1.5456677566385284 0.03802982310849333, 0.53192567825317383 0.059815105050802231  0.18900056183338165, 0.49193748831748962 -0.49088025093078613  0.50921827554702759   0.5076720118522644,-0.00031312156352214515  0.00039691128768026829  1.0371911230322439e-05,-0.0027465308085083961     -1.214364767074585  0.0072577032260596752, 0.25348320603370667 -0.01603514701128006 0.062268003821372986 -0.01603514701128006  0.23511137068271637 0.030720531940460205 0.062268003821372986 0.030720531940460205  0.17505761981010437,  0.57991684841063318  -0.61326500081637647    1.0776749221586002   0.62591016266466681  -0.02611840992017278 -0.037233138275638566                     0,0.00046219251817092299
IIWA_14,1714657572.8493581, 0.58124167895553303   1.1908403710943674 -0.12444497043402596  -1.3840073211787609  -1.0770981284216414   1.7909349135885377 -0.55407296173972886, 2.8696614092210099e-06  1.5799448601283239e-05  0.00075263505198842624  5.5229121396288078e-06 -1.0022121022056215e-05    0.001154055452592246  6.0093411065421155e-06,-1.6306471099853517  68.816394439697262  5.0893294601440431 -13.871312915802003  1.6366169548034668 -2.4594161186218262 0.34276297378540038, -45.473875485725138   6.9288465802901937  -26.797675195942919  -15.348610349160943   1.1278268097936759  -1.5455357969978125 0.037935926037353865,  0.5319252610206604 0.059814948588609695  0.18900114297866821, 0.49193641543388367 -0.49087995290756226  0.50921845436096191  0.50767308473587036,-0.0002676823060028255 0.00031129678245633841 3.1210925953928381e-05,-0.0027461017016321421     -1.214364767074585  0.0072576659731566906,  0.25348320603370667 -0.016035206615924835  0.062267996370792389 -0.016035206615924835   0.23511141538619995  0.030720606446266174  0.062267996370792389  0.030720606446266174   0.17505757510662079,  0.57991879842056449  -0.61326630457880782    1.0776775177072651    0.6259115244855451 -0.026118832676225168 -0.037238621452218013                     0,0.00037635085755027831
IIWA_14,1714657572.8543587, 0.58123610633739753   1.1908444456745892 -0.12445983082177592  -1.3840229606378558  -1.0770968820820226   1.7909289215459665 -0.55407308162203184,-0.00022060899629248226  0.00017562276775667102  7.6925315922383346e-06 -0.00062116003408369523  4.1835887936089051e-05  0.00068356265922441548   1.218076629166348e-08,-1.4274592208862305  68.422878654479987  5.3675891532897948  -13.59305322265625  1.6366169548034668  -2.435385997772217 0.34443173217773437, -45.472321298128819    6.929262887851471   -26.79554734836772  -15.348740187385891   1.1280635831918038  -1.5453575535709365 0.037739463382763752, 0.53192508220672607 0.059815142303705215  0.18900179862976074, 0.49193549156188965 -0.49087980389595032  0.50921887159347534  0.50767374038696289,-0.00022157585772220045  0.00025686470326036215  5.1499617256922647e-05,-0.0027459012344479561     -1.214364767074585  0.0072578461840748787,  0.25348314642906189 -0.016035301610827446  0.062268011271953583 -0.016035301610827446   0.23511138558387756  0.030720751732587814  0.062268011271953583  0.030720751732587814   0.17505761981010437,   0.5799223626574701  -0.61326942413231222    1.0776830418217642   0.62591487133545343 -0.026118767932459264 -0.037242679410631752                     0,0.00031362019944936037
IIWA_14,1714657572.8593583, 0.58111943991263104   1.1909253991722013 -0.12485495067514715  -1.3843525267971868  -1.0770876782627452   1.7908044053938059 -0.55407308162203184, -0.004843144187693476  0.0033786381186876324  -0.015798640109575574  -0.013679574400506805 0.00040162148144412492 -0.0044337959590437029 9.7446130333307842e-09, 6.0622006912231452  62.242366027832034  10.930094516754151 -7.1984572792053223  1.4755083465576171 -2.3275842056274416  0.3637893295288086, -45.455917726274997   6.9226266415008917  -26.783019805219311  -15.339711736598392   1.1256150985095466  -1.5469316165900369 0.039599889420793039, 0.53192228078842163 0.059803888201713562  0.18900033831596375,  0.4919312596321106 -0.49087592959403992  0.50921767950057983  0.50768280029296875,-0.00028843211475759745 -0.00024464490707032382 -1.7139802366727963e-05,-0.0027455550152808428     -1.214364767074585  0.0072575043886899948,  0.25348386168479919 -0.016033913940191269  0.062268022447824478 -0.016033913940191269   0.23511311411857605  0.030718527734279633  0.062268022447824478  0.030718527734279633   0.17505551874637604,  0.57986361496542571  -0.61321079427845149    1.0775891152299266   0.62585352478983225 -0.026120686478670052 -0.037277460260831674                     0,0.00034605516702868044
IIWA_14,1714657572.8643577, 0.58108648329669799   1.1909252792898983 -0.12532023821860247  -1.3846239095697426  -1.0771020592521829   1.7905514183915663 -0.55407308162203184, -0.0051927799874769889   0.0026981152028311643   -0.031250413825873145   -0.021798970422636794 -0.00025394239235407886   -0.013666516856820372  7.7956904266646283e-09, 10.192830436706544  61.938870193481449  13.235482795715333 -7.1124252967834476 0.90766653060913083 -2.2194486618041993       0.34176171875, -45.109282871432654   6.7955805825228977  -26.496898818506708  -15.146374416896421   1.0805425424723829  -1.6057986707001461 0.074715341409952063,  0.5318763256072998 0.059540659189224243  0.18899279832839966, 0.49180680513381958 -0.49079343676567078  0.50921845436096191  0.50788229703903198, -0.0020709400996565819   -0.010724496096372604 -0.00031306728487834334,-0.0027450451161712408     -1.214364767074585  0.0072565390728414059, 0.25349187850952148 -0.01600225456058979   0.0622737817466259 -0.01600225456058979  0.23515422642230988 0.030665859580039978   0.0622737817466259 0.030665859580039978  0.17501324415206909,  0.57851614224002645  -0.61183704789069537    1.0753755254322428   0.62443919823440552  -0.02612877308028061 -0.038129962696586972                     0,0.0099876504391431808
IIWA_14,1714657572.8693578, 0.58106287433698933   1.1909318706349017 -0.12595198664854984  -1.3850763140744073  -1.0770946770330456   1.7901603132318069 -0.55407170346642121, -0.005098582378327758  0.0024221459623993097  -0.050270268258593348  -0.035535356524700308 9.2134851609521843e-05  -0.026577419875831301  5.513246097761393e-05, 13.037460884094239  61.419326477050788   13.75839593887329 -7.6407154388427738  1.5494598388671874 -1.8876994934082032 0.33842420196533202,  -44.91001962273215   6.7617978526469944  -26.273756827118831  -15.066041108237767   1.0719384370565905  -1.6244371587742088 0.084481698834386068, 0.53188198804855347 0.059316694736480713  0.18902310729026794, 0.49170967936515808 -0.49074274301528931  0.50926721096038818  0.50797641277313232,-0.0014349020784720778  -0.017538482323288918 0.00096653163200244308,-0.0027447151951491833    -1.2143653631210327  0.0072555323131382465,  0.25348353385925293 -0.015970198437571526  0.062289498746395111 -0.015970198437571526   0.23519168794155121  0.030611241236329079  0.062289498746395111  0.030611241236329079   0.17499053478240967,   0.5771733345678598  -0.61052327058064293    1.0731036198592392   0.62308759375273581 -0.026009314486152846 -0.038658471413377526                     0,0.016108199954032898
IIWA_14,1714657572.8743596, 0.58104693533576168   1.1909283951389456 -0.12678728715683724  -1.3857474905829881   -1.077097648979696   1.7896058630346028 -0.55407152369750823, -0.0047164259517681849   0.0017986969316738457   -0.073628234938370507   -0.055275345562989395 -4.5169984725660836e-05   -0.043439943788830079   5.129672530120653e-05, 14.387760147094728  61.401322486877447  13.535250484466554 -7.0304260635375977  1.1444873809814453 -2.1226606750488282 0.35744804763793947,-44.651658980419164  6.6815820615003716 -26.004506154346586 -14.933236559913899  1.0445825875328445 -1.6451473837209099 0.11137240497822125, 0.53186303377151489 0.059006877243518829  0.18904045224189758, 0.49160417914390564 -0.49065175652503967  0.50931465625762939  0.50811886787414551,-0.0019169842125847936  -0.026424864307045937  0.0014788865810260177,-0.0027428106404840946    -1.2143837213516235  0.0072570079937577248,  0.25348201394081116 -0.015921548008918762  0.062305048108100891 -0.015921548008918762   0.23524479568004608  0.030533671379089355  0.062305048108100891  0.030533671379089355    0.1749495267868042,   0.57515499847493601   -0.60868070954089859     1.0698237621413753    0.62114131015800211   -0.02583030858094304   -0.03935204753258148 4.4408920985006262e-12,0.024253359064459801
IIWA_14,1714657572.8793826, 0.58103998445293248   1.1909305523659008 -0.12784423586256471  -1.3865818922467106  -1.0771048395616813   1.7888938802917782 -0.55407152369750823,  -0.004051176074582716   0.0015252466235506977    -0.10118053617979555   -0.077596342999291759 -0.00032375926719631159    -0.06323126474404725  4.1037380240965227e-05, 14.524076072692871  61.308730537414554  13.501644241333008 -6.1580079917907717 0.90238428115844727  -1.782567714691162 0.35911680603027346, -44.32726388740884  6.5647353526276619 -25.672834979882488 -14.750922216019928   1.008814276109868 -1.6718482877929415 0.15322371372070151, 0.53182381391525269 0.058592446148395538  0.18905657529830933, 0.49148571491241455 -0.49050787091255188  0.50937497615814209  0.50831186771392822, -0.00312235695309937 -0.037720881402492523  0.001851830049417913,-0.002706451341509819   -1.2144005298614502 0.0072555313818156719,  0.25348669290542603 -0.015852643176913261  0.062321648001670837 -0.015852643176913261   0.23531629145145416  0.030429165810346603  0.062321648001670837  0.030429165810346603   0.17488895356655121,   0.57231736887786155   -0.60621592338439001     1.0653583921609311    0.61849077076558956  -0.025536481699894864  -0.040238862502484096 8.8817841970012523e-13,0.034635081887245178
IIWA_14,1714657572.8843608, 0.58103087645223095   1.1909295336390331 -0.12910383780206747  -1.3875632804131315   -1.077099854203206   1.7880027332835009 -0.55407122404629228, -0.0036052608877273663   0.0011794482241304803    -0.13132850652394656    -0.10133260105626959 -5.9593074742113198e-05   -0.086230892126329978  4.4815952830829594e-05, 14.344036170959473   61.40903848266602  14.011114887237548 -6.1405327453613285  1.2554146194458007 -1.8973782920837403 0.35377677917480471, -43.95491345092546  6.4278963454929139 -25.283577359091122 -14.540651864267351 0.96856939859758129 -1.7018601630878574 0.20234568326228863, 0.53177839517593384 0.058077119290828705  0.18907415866851807, 0.49134233593940735 -0.49032500386238098  0.50945591926574707  0.50854575634002686,-0.0043475301936268806  -0.050797160714864731   0.002227486576884985,-0.0027029463090002537    -1.2144242525100708  0.0072128600440919399,  0.25349229574203491 -0.015765080228447914  0.062342599034309387 -0.015765080228447914   0.23540560901165009  0.030297433957457542  0.062342599034309387  0.030297433957457542   0.17481344938278198,    0.5687235437301652   -0.60312928080019645     1.0597261075604436     0.6151701145906685  -0.025142511956843805  -0.041319859632515943 2.6645352591003757e-12,0.046639788895845413
