DesiredFlux,0.6,HitTime,1714648805.6463938,DesiredPos,  0.5856136679649353 -0.33009737730026245  0.19911588728427887
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714648804.9173658, 0.50420078955647829   1.2328622167994294 -0.16679554344954722  -1.2407812128207052  -1.1211383333275518   1.7582839528040204  -0.6737204072323717,-0.00018003310883536164 -1.6537151977002442e-06 -0.00029343801306798368  -0.0021757533647713285  3.3602855295935721e-07 -0.00016200296891299791  0.00010064799972963923, 1.7026630706787109  71.460408996582032  6.7199043769836422 -15.165825401306153  1.5503402137756348 -1.7845702247619628 0.22094361114501954,-0.16335557344787344  -1.4145721312776811  0.42032638671148093  0.16678822853100156 -0.47016755350279682 -0.41525773715847547  0.21982890315667997, 0.58838438987731934 0.024358849972486496  0.19476900994777679, 0.49090182781219482 -0.49905186891555786  0.49967646598815918  0.51018238067626953,-0.00058071053354069591 -0.00061101233586668968 -0.00024894613306969404,-0.00050174555508419871    -0.65673547983169556  0.00078475079499185085,  0.23667825758457184 -0.016675423830747604  0.072089515626430511 -0.016675423830747604   0.23640057444572449   0.02474481612443924  0.072089515626430511   0.02474481612443924   0.18677288293838501,    0.59685277109622348    -0.43012469944958553     0.92996321812410798     0.55606971524113646   -0.060757611334061323     -0.0390827373815128 -1.7763568394002505e-12,0.0008030071621760726
IIWA_14,1714648804.9223645, 0.50420001059421649   1.2328622167994294 -0.16679626241611598  -1.2408040428181522  -1.1211383333275518   1.7582825745393267 -0.67371902907676107,-0.00014398334306382123 -1.0583777265281564e-06     -0.0002141626540506   -0.002214122078771902  9.8160688159418972e-07 -0.00015545709236583483  0.00011474739746162599, 1.6074991226196289  71.462980995178228   6.702429130554199 -15.163136901855468  1.5494598388671874 -1.7819002113342286 0.21927485275268555,-0.16435917810530085  -1.4243246820971203  0.41503010477993407   0.1661670652138223 -0.47079572178891504 -0.40959608060006886  0.22040983979204815, 0.58838111162185669 0.024356819689273834   0.1947672963142395, 0.49090278148651123 -0.49904870986938477  0.49967482686042786  0.51018613576889038,-0.00059423554921522737 -0.00057006540009751916 -0.00026755858561955392,-0.00050112750614061952    -0.65673553943634033  0.00078498979564756155,  0.23667967319488525 -0.016674885526299477  0.072089023888111115 -0.016674885526299477   0.23640093207359314  0.024744519963860512  0.072089023888111115  0.024744519963860512   0.18677152693271637,    0.59683163522716853    -0.43011814036209017     0.92994542983060313     0.55605434544592214   -0.060755090528274991   -0.039090112724515791 -3.5527136788005009e-12,0.00079103861935436726
IIWA_14,1714648804.9273658, 0.50420001059421649   1.2328622167994294 -0.16679626241611598  -1.2408040428181522  -1.1211383333275518   1.7582825745393267 -0.67371902907676107,-0.00014398334306382123 -1.0583777265281564e-06     -0.0002141626540506   -0.002214122078771902  9.8160688159418972e-07 -0.00015545709236583483  0.00011474739746162599, 1.6074991226196289  71.462980995178228   6.702429130554199 -15.163136901855468  1.5494598388671874 -1.7819002113342286 0.21927485275268555, -26.310946386881177   3.0587377102488742  -13.878437019652184  -7.0809845093066368 -0.49382512154668651  -1.3645496981981358  0.22095403553022702, 0.58837783336639404 0.024354616180062294  0.19476567208766937, 0.49090343713760376 -0.49904555082321167  0.49967324733734131  0.51019018888473511,-0.00060704926727339625 -0.00054418353829532862 -0.00027918154955841601,-0.00050055532483384013    -0.65673559904098511  0.00078530167229473591, 0.23668107390403748 -0.01667434349656105 0.072088539600372314 -0.01667434349656105  0.23640131950378418 0.024744218215346336 0.072088539600372314 0.024744218215346336  0.18677015602588654,    0.59681031346858759     -0.4301112524354167     0.92992730544594338     0.55603873639853418    -0.06075258586868415   -0.039098860404429558 -8.8817841970012523e-13,0.00078728835796937346
IIWA_14,1714648804.9323637, 0.50419929151856469   1.2328622167994294  -0.1667966819496349  -1.2408159071300748  -1.1211383333275518    1.758282035341671 -0.67371860965232522,-0.00014394970052307763 -8.4670218122252514e-07 -0.00018811146399747946  -0.0022458701399248196  7.8528550527535184e-07   -0.000145933580118096  0.00010857489540326402, 1.5766351394653322  71.447549003601083  6.6782326354980466 -15.156415653228759  1.5476990890502929 -1.7855714797973632 0.22060985946655273, -26.311284497861624   3.0580578534502214  -13.879060727415888  -7.0804795836758112 -0.49393156689665535  -1.3647073125444624   0.2214493709819893, 0.58837461471557617 0.024352272972464561  0.19476395845413208, 0.49090412259101868 -0.49904254078865051  0.49967163801193237  0.51019400358200073,-0.00061427633045241237 -0.00052902963943779469 -0.00029192818328738213,-0.00049993034917861223    -0.65673571825027466  0.00078555988147854805,  0.2366824597120285 -0.01667378842830658 0.072088070213794708 -0.01667378842830658  0.23640170693397522  0.02474386990070343 0.072088070213794708  0.02474386990070343   0.1867687851190567,  0.59678842805954702  -0.43010340402815928    0.9299076702991016   0.55602226751094719 -0.060750507097750983 -0.039107048663389321                     0,0.00078720506280660629
IIWA_14,1714648804.9373648,  0.5041904232824691   1.2328642541440817 -0.16681058360621012  -1.2408370593206952  -1.1211384291461277   1.7582769420345814 -0.67371831000110927,-0.00046988920424177163  8.0816424347700974e-05 -0.00070655543420684223  -0.0026427837367549397 -3.2045146342807261e-06 -0.00032047914768019927  9.8845964960668628e-05, 1.6923750762939453  71.403825027465828  6.8462638511657712 -15.011236682891846  1.5538617134094237 -1.7738901710510253 0.22161111450195312,-26.311109507402954   3.057210570089151 -13.879382123705286 -7.0796572845778769 -0.4940728042966504 -1.3650559199480006 0.22204799792152918, 0.58837121725082397 0.024349711835384369  0.19476225972175598, 0.49090474843978882 -0.49903935194015503  0.49966982007026672  0.51019829511642456,-0.00062725256429985166  -0.0005256692529655993 -0.00030129420338198543,-0.00049929815577343106    -0.65673583745956421  0.00078579038381576538,  0.23668389022350311 -0.016673222184181213  0.072087585926055908 -0.016673222184181213   0.23640210926532745  0.024743512272834778  0.072087585926055908  0.024743512272834778   0.18676736950874329,  0.59676604739955508  -0.43009511689184876   0.92988754865519496   0.55600511721642931 -0.060748526856890805 -0.039116599894306603                     0,0.00079675455344840884
IIWA_14,1714648804.9423649, 0.50391442651386964   1.2328899602259697 -0.16757493746215166  -1.2412533912512966  -1.1211458115397979   1.7579385075300717  -0.6737157333497179, -0.0099590582853391271  0.00082685901164264268   -0.028124729362137779   -0.016541752024227259 -0.00031958911215928507    -0.01284654562533448  0.00016009577513485516, 14.632100013732911  68.356006690979001  14.001705139160157 -11.297074691772462  1.2941511154174805 -2.0632528762817381 0.22327987289428711, -26.29429407395773  3.0526446704635779 -13.868053751104942 -7.0723767079347155 -0.4954855049599754 -1.3675694458046976 0.22350308224981158, 0.58836674690246582 0.024336133152246475  0.19476069509983063, 0.49090036749839783 -0.49903470277786255  0.49966734647750854  0.51020950078964233,-0.00068009475944563746 -0.00096371257677674294 -0.00030358531512320042,-0.0004986880230717361   -0.65673583745956421 0.00078605464659631252,  0.23668546974658966 -0.016671326011419296  0.072087429463863373 -0.016671326011419296   0.23640382289886475  0.024741208180785179  0.072087429463863373  0.024741208180785179   0.18676488101482391,  0.59668958290259866  -0.43004195174667359   0.92978709212587773   0.55593872708303849  -0.06074809294354111 -0.039156339116885874                     0,0.0011127409525215626
IIWA_14,1714648804.9473662, 0.50387266154845101   1.2328933158396229 -0.16807755585297787  -1.2415012250598367  -1.1211393880300187   1.7575575289887986 -0.67371423542088738,-0.0096378452450166466 0.00079571175544077423  -0.042604519122758824  -0.023146753960985762  1.269101440431119e-06  -0.025516378151194355 0.00018799377332906256, 16.491654998779296  68.428022651672364  14.091769870758057 -11.783693092346191  1.5212878417968749 -1.4064295730590821 0.21526983261108398, -25.908633254107123   2.9819244189489424  -13.578031187718928  -6.9304800749470248 -0.52117064047366934  -1.4211122886730509  0.23979621638705584,  0.5883452296257019 0.024073138833045959  0.19478107988834381, 0.49076876044273376 -0.49900233745574951  0.49966582655906677  0.51036924123764038,-0.0014092592755332589  -0.011290460824966431 0.00057430780725553632,-0.00049803499132394791    -0.65673625469207764  0.00078629923518747091, 0.23668448626995087 -0.01663852296769619 0.072097048163414001 -0.01663852296769619  0.23643589019775391 0.024693198502063751 0.072097048163414001 0.024693198502063751  0.18674221634864807,  0.59535440350977353  -0.42895731787506719    0.9277992323299955   0.55474497226359887 -0.060756902225733711  -0.03989807149373803                     0,0.010408206842839718
IIWA_14,1714648804.9523435, 0.50386618997666766   1.2328924169950581  -0.1687276401666313  -1.2418572763724005  -1.1211395796671706   1.7570647376743258 -0.67371345634954249,   -0.00796913906734735  0.00060061562176148343   -0.060086987844344332   -0.032759455671339671 -6.6502049246571196e-06   -0.040124755099866433  0.00018155787245848027, 15.956679290771485  68.682650512695318  12.701815654754638 -12.204443256378173  1.4050783538818359 -1.5275814323425292 0.23262491989135742, -25.675415109462602   2.9648426926640985  -13.364068781673035  -6.8681042123120468 -0.52522943661087496  -1.4366037260741249  0.24305615873659148,   0.588359534740448 0.023846102878451347  0.19481706619262695, 0.49067270755767822 -0.49897700548171997  0.49970099329948425  0.51045191287994385,-0.00055997271556407213   -0.018114181235432625   0.0019018122693523765,-0.00049712380860000849    -0.65674388408660889  0.00078641762956976891,  0.23667424917221069 -0.016603155061602592  0.072109617292881012 -0.016603155061602592   0.23646533489227295  0.024644555523991585  0.072109617292881012  0.024644555523991585   0.18673074245452881,  0.59394139334845164  -0.42792631369170664   0.92576609801309218   0.55359647709973814 -0.060654665129611374 -0.040365160328903471                     0,0.016647705808281898
IIWA_14,1714648804.9573662, 0.50386361343435937   1.2328942745707976 -0.16957372648244678  -1.2423240619537694  -1.1211462908072103    1.756386490400613 -0.67371165876949601, -0.0064783729462093102  0.00055479552698719126   -0.081913042908094702    -0.04487898779182864 -0.00027376576552751131   -0.059229695028404965  0.00021714949982602004, 14.143420280456544  68.559194580078128  12.145296268463134  -11.87913482284546  1.2237211227416993 -1.3787281837463379 0.23329242324829103, -25.502145133389636    2.934944128318254  -13.178896239315732  -6.8165927034042397 -0.53308830451466827  -1.4231439099986853  0.25243379587110226, 0.58838164806365967 0.023610489442944527   0.1948348730802536, 0.49061086773872375 -0.49892735481262207  0.49975374341011047  0.51050823926925659,0.00043110654223710299  -0.023917276412248611  0.0022407020442187786,-0.00049031409434974194    -0.65675115585327148  0.00077809597132727504,  0.23666712641716003 -0.016555244103074074  0.072122402489185333 -0.016555244103074074   0.23649957776069641  0.024585550650954247  0.072122402489185333  0.024585550650954247   0.18671415746212006,  0.59205648149340817  -0.42674652134344626   0.92321576422804696   0.55221810162731089 -0.060427200319956853 -0.040692353763027711                     0,0.021949458867311478
IIWA_14,1714648804.9623637, 0.50384210170591315   1.2328915182595765 -0.17060652692172676  -1.2428948106900273  -1.1211392920369099   1.7555294985040495 -0.67370998096266954,-0.0060431674948163219 0.00033358397274808963   -0.10684245189767472  -0.058733139683776601 6.0938199594584829e-05  -0.081663431885264745 0.00024083187291970516, 13.214928787231447  68.170822792053229  12.700471405029298 -11.666743366241455  1.5300915908813477 -1.6560758285522461 0.22194486618041992, -25.316805272817401     2.89275128360417  -12.963123957016029  -6.7493178716364808 -0.54104097942186458  -1.4097711182815522  0.26884377451681218, 0.58840078115463257 0.023328132927417755   0.1948569267988205, 0.49054515361785889 -0.49883997440338135  0.49983212351799011  0.51058006286621094,0.0010994760086759925 -0.030430970713496208 0.0026878234930336475,-0.00049055978888645768    -0.65675932168960571  0.00076800113311037421,   0.2366633415222168 -0.016491668298840523  0.072136357426643372 -0.016491668298840523   0.23654308915138245  0.024512117728590965  0.072136357426643372  0.024512117728590965   0.18668930232524872,  0.58956638800022887  -0.42531092984976482   0.91997344663408143   0.55047871436197937 -0.060054922182750659 -0.041081007089438515                     0,0.027926858514547348
