DesiredFlux,0.81,HitTime,1714649867.0488615,DesiredPos,  0.565360426902771 0.31345897912979126   0.219929039478302
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714649866.4409485, -0.4668470990981553   1.1460436978609758  0.04074750315102927  -1.2432034644233441  -1.9612234870518279  -1.8774912176417471 -0.88620448989015654, 4.278215898832548e-05 1.5652199321614391e-06 0.00076259616890927203  0.0022881707526986438 1.2218094534633761e-06 3.0286721210527849e-06 3.6175493173633101e-05,-0.099474479675292965    65.928727779388424   -2.7960707092285157   -16.734166259765626   -1.4103606033325196    1.6977947883605957  -0.25198251724243165,-0.027006948724240032  -0.95093008047474537  -0.31256208168381383  -0.71651843611455746    1.4824958234812184   0.21098363732797126   0.76972081398340064,  0.56699609756469727 -0.042413678020238876   0.21425996720790863, -0.70501106977462769 -0.020494185388088226 0.0081824595108628273   0.70885288715362549,  0.0006931736133992672 -4.5394150220090523e-05   0.0005460199317894876,-0.00045864091953262687     0.88474869728088379   0.0015966638457030058,  0.24096360802650452  0.029476355761289597  0.068545371294021606  0.029476355761289597   0.23071058094501495 -0.020798813551664352  0.068545371294021606 -0.020798813551664352    0.1917022168636322,   -1.1074726045343652   -0.35173769178875602    -1.0857792444474157    0.74572291774455124    0.54898858341445589   0.066240935473693696 2.0172925552230936e-05,0.00080891535617411137
IIWA_7,1714649866.4459715,-0.46684655979141643   1.1460436978609758 0.040751697613554121  -1.2431941166580365  -1.9612234870518279  -1.8774912176417471 -0.88620431012124357,5.5797996745786089e-05 1.2521759457291513e-06   0.000777855436121449  0.0022044472144624339 9.7744756277070099e-07 2.4229376968422282e-06 3.6131151058021869e-05,-0.064523986816406254    65.913941032409667   -2.7969510841369627    -16.73504663467407   -1.4138821029663087    1.6961260299682617  -0.25298377227783203,-0.027006948724240032  -0.95093008047474537  -0.31256208168381383  -0.71651843611455746    1.4824958234812184   0.21098363732797126   0.76972081398340064,  0.56699609756469727 -0.042413678020238876   0.21425996720790863, -0.70501106977462769 -0.020494185388088226 0.0081824595108628273   0.70885288715362549,  0.0006931736133992672 -4.5394150220090523e-05   0.0005460199317894876,-0.00045933970250189304     0.88474869728088379   0.0015955694252625108,  0.24096360802650452  0.029476355761289597  0.068545371294021606  0.029476355761289597   0.23071058094501495 -0.020798813551664352  0.068545371294021606 -0.020798813551664352    0.1917022168636322,   -1.1074726045343652   -0.35173769178875602    -1.0857792444474157    0.74572291774455124    0.54898858341445589   0.066240935473693696 2.0172925552230936e-05,0.00080891535617411137
IIWA_7,1714649866.4509487,-0.46684584071576463   1.1460436978609758 0.040756011958381973  -1.2431853681951608  -1.9612234870518279  -1.8774912176417471 -0.88620401047002761,7.3401423468649507e-05  1.001740756583321e-06 0.00079485814201124289  0.0021134962865973512 7.8195805021656088e-07 1.9383501574737827e-06 4.0890969484474908e-05,-0.038983242034912109     65.89915428543091   -2.7723005867004393   -16.731525135040282   -1.4068391036987304    1.6951247749328613  -0.25298377227783203, 23.674082837698965  3.1385198965970589  13.080822833894375  -6.603786606635043  1.4457356816398261  1.3209509529309911 0.77023891712205728,   0.5670015811920166 -0.042413040995597839   0.21426457166671753, -0.70501172542572021 -0.020502291619777679 0.0081767337396740913   0.70885205268859863,  0.0006427812622860074 -5.1572546908573713e-06  0.00051565183093771338,-0.00046003001625649631     0.88474875688552856    0.001594418310560286,  0.24096071720123291  0.029476741328835487  0.068546608090400696  0.029476741328835487   0.23071035742759705 -0.020798107609152794  0.068546608090400696 -0.020798107609152794   0.19170461595058441,   -1.1074892106437417   -0.35172583832476789     -1.085766190673354    0.74573950481315876    0.54899472480496314   0.066242843798747231 2.0173754222696516e-05,0.00075444643152877688
IIWA_7,1714649866.4559438,-0.46684482209797995   1.1460436978609758 0.040760625954425776  -1.2431764399633722  -1.9612234870518279  -1.8774912176417471 -0.88620389058772464,9.9465850161961443e-05  8.013926052666568e-07 0.00082044635536113533  0.0020479263008199595 6.2556644017324874e-07 1.5506801259790261e-06 3.7508067706521956e-05,-0.02150799560546875   65.874957790374751  -2.7643772125244142  -16.728884010314943   -1.408599853515625   1.6944572715759276 -0.25298377227783203, 23.673538692435152  3.1380306051328639  13.080276740471405 -6.6032601029973748   1.446163065041322  1.3211821180688044 0.77048557778771587,  0.56700426340103149 -0.042412370443344116   0.21426686644554138, -0.70501190423965454 -0.020506367087364197 0.0081742145121097565   0.70885181427001953,0.00062043033540248871 2.2822265236754902e-05 0.00050425506196916103,-0.0004600299580488354    0.88474869728088379   0.001594418310560286,  0.24095927178859711   0.02947690524160862  0.068547233939170837   0.02947690524160862   0.23071029782295227 -0.020797712728381157  0.068547233939170837 -0.020797712728381157   0.19170576333999634,    -1.107495919678847   -0.35171881586482101      -1.08575746490569    0.74574633407653579    0.54899801677876781   0.066245462785552434 2.0174509174353261e-05,0.00073225441155955195
IIWA_7,1714649866.4609449,-0.46681629960009463   1.1460523265506315 0.040798615881755471  -1.2431914801200352  -1.9612234870518279  -1.8774788140230856 -0.88620359104559177, 0.0012204725955423433 0.00034578870031127032  0.0021759541774766826  0.0010367347741366843 5.0045315213859906e-07 0.00049738529056098633 4.1988139480238765e-05,-0.22045695495605469   65.743221317291258  -3.2626694107055663  -16.435719165802002  -1.4358914756774903   1.6467307815551757 -0.25365127563476564,  23.67284255635726   3.137903344725208  13.079481156028326 -6.6030156323064375  1.4464535548627491  1.3214278114757421 0.77083876440099452,  0.56700700521469116 -0.042411450296640396    0.2142692506313324, -0.70501196384429932 -0.020510755479335785 0.0081716766580939293   0.70885169506072998,0.00060579704586416483  5.505397348315455e-05 0.00049869489157572389,-0.00046132810530252755     0.88474869728088379   0.0015922808088362217,  0.24095778167247772  0.029477069154381752  0.068547889590263367  0.029477069154381752   0.23071028292179108 -0.020797273144125938  0.068547889590263367 -0.020797273144125938   0.19170692563056946,   -1.1075022561302106   -0.35171077814233342    -1.0857472215768382    0.74575259298992336    0.54900164788485029    0.06624905800212133 2.0175468407046537e-05,0.00072012952296063304
IIWA_7,1714649866.4659455,-0.46636071925068961   1.1461235727451102 0.041377214236324157  -1.2433452976232595  -1.9612271302521087  -1.8773581927913172 -0.88620209300767816,   0.019199592052634509   0.0031264787393984442    0.024884697524728806  -0.0053233123096624963 -0.00014532764870987198    0.005222757503183577  9.3512028128405633e-05, -9.8399079895019526   62.888034900665282  -9.5864023780822745  -13.779628067016601  -1.6418992042541503   1.7158173789978026 -0.25532003402709963, 23.641352047786018  3.1241906736124818  13.057416000587649 -6.5883991207875559  1.4519815804543581  1.3261562772973401 0.76849953586093811,  0.56700772047042847 -0.042379904538393021   0.21426756680011749, -0.70500022172927856 -0.020521841943264008 0.0081863468512892723   0.70886284112930298,0.00051304907537996769  0.0013058391632512212 0.00033207674277946353,-0.00046195939648896456     0.88474863767623901    0.001591213047504425,  0.24095597863197327  0.029474001377820969  0.068549640476703644  0.029474001377820969   0.23071487247943878 -0.020792461931705475  0.068549640476703644 -0.020792461931705475   0.19170491397380829,   -1.1073428420731446   -0.35159589675970437    -1.0855120562469622     0.7456383340604944    0.54900862122586602   0.066354104562904581 2.0197806982480415e-05,0.0013199595268815756
IIWA_7,1714649866.4709468,-0.46590238259006345     1.14611716116902 0.041835850548166291  -1.2434411715043148  -1.9612164882815275  -1.8771060446379493 -0.88620053508315455,  0.033693140067154348  0.0022447199479079336   0.038253210493468401 -0.0080936050899401112 0.00030941670428027914   0.014264132137264345 0.00013712660344711248, -18.084191555023192   63.792714965820309  -12.213441104888917  -14.074553661346435 -0.76064392089843746   1.3977520294189454 -0.23229116821289061,  23.14883014446341  3.0996736048253566  12.645051602779963 -6.4841174940446002   1.473884191479355  1.4216997047192093 0.76626572714979391,  0.56703519821166992 -0.041901543736457825   0.21429768204689026, -0.70482546091079712 -0.020756671205163002 0.0083901397883892059   0.70902740955352783,0.0015021193539723754  0.020179307088255882 0.0014730512630194426,-0.00046196015318855643      0.8847501277923584   0.0015912156086415052,  0.24091066420078278  0.029437407851219177   0.06858130544424057  0.029437407851219177   0.23078224062919617 -0.020718269050121307   0.06858130544424057 -0.020718269050121307   0.19169087707996368,   -1.1053209210194481   -0.34982645675274426    -1.0821356862082965    0.74400691945974984    0.54924841275294511   0.068071796982316357 2.0560914748557479e-05,0.018574059009552002
IIWA_7,1714649866.475945,-0.46562159216559029   1.1461354371661161 0.042308508398886634  -1.2436521537765297  -1.9612108316694219  -1.8768186030909459 -0.88619969612519978,  0.038186129032649646  0.0025268158421719437   0.049508882423588432  -0.014914174960549829 0.00047379784764858216   0.022908967589944713 0.00014325960094865268, -20.040074905395507   62.877280902862552  -12.069939994812012  -13.863263683319092  -1.6102057075500489   1.7338399696350097 -0.22928740310668946, 22.806895393382732  3.1297887589404465  12.371177766368994 -6.4669588942398075  1.4721409811267669  1.4542220883306523 0.77775308749289807,  0.56710034608840942 -0.041473079472780228   0.21433328092098236, -0.70474070310592651 -0.020967880263924599 0.0085173184052109718   0.70910388231277466,0.0037902835756540298  0.033284559845924377  0.002607056638225913,-0.00046296787331812084     0.88477200269699097   0.0015911431983113289,  0.24085944890975952  0.029403971508145332  0.068612858653068542  0.029403971508145332   0.23083809018135071 -0.020648881793022156  0.068612858653068542 -0.020648881793022156    0.1916937381029129,    -1.103529944137982   -0.34817420124522158    -1.0791235765834628    0.74248314343527966    0.54937699486767855   0.069270751376748763 2.0804041156452513e-05,0.030760673806071281
IIWA_7,1714649866.4809496,-0.46546154285518854   1.1461285461698969 0.042918026024735947  -1.2439549951271049  -1.9612143790511265  -1.8763925039706011  -0.8861993965830669,  0.036950875642189934  0.0017458128249695603   0.063987810972843298  -0.024044993991449208 0.00023714300993466571   0.035371138885750109 0.00012658936607394333, -18.104355300903322   63.018427124023439  -9.6489089965820316  -13.165126380920411 -0.77825141906738282   1.1457695121765137 -0.25231626892089842, 22.641115241265705  3.0788088236651858  12.213765486418374 -6.4110206576964783  1.4959574130986117  1.4625083042876288 0.76691940406610826,  0.56712990999221802 -0.041123375296592712   0.21433292329311371, -0.70464235544204712 -0.021071098744869232  0.008620123378932476   0.70919734239578247,0.0041931006126105785  0.040618803352117538 0.0020779643673449755,-0.00046887598000466824     0.88477194309234619   0.0015765783609822392,  0.24083451926708221  0.029360508546233177   0.06863577663898468  0.029360508546233177   0.23088920116424561 -0.020590513944625854   0.06863577663898468 -0.020590513944625854   0.19168007373809814,    -1.101410273013137   -0.34684750072955239    -1.0762639054169298    0.74109708556413523    0.54925961338625484   0.070127000459052624 2.0985990722977022e-05,0.037430565804243088
IIWA_7,1714649866.4859493,-0.46529705942673899   1.1461307033968522 0.043771602530119448  -1.2443282438232872  -1.9611990391777978  -1.8758730477339822 -0.88619921681415392,   0.03614003765173382  0.0014829393381872694   0.085333308993614659  -0.034165943040450217 0.00080330934109534239   0.049075160573354683 0.00010846224937827005,  -15.02199068069458   62.430989994049071  -10.030111331939697  -13.350885486602783  -1.1515303802490233   1.4368009757995606 -0.25398502731323241, 22.554048455176531  3.0356036738460022  12.063931982180739 -6.3687283446268639  1.5176650881188365  1.4467572446110961 0.75142393311052746,  0.56716108322143555 -0.040784165263175964   0.21433219313621521, -0.70453542470932007 -0.021122995764017105 0.0086725885048508644   0.70930135250091553, 0.004580098669975996  0.046068210154771805 0.0016450393013656139,-0.00046888552606105804     0.88478994369506836   0.0015766104916110635,  0.24081426858901978   0.02929987758398056  0.068660862743854523   0.02929987758398056   0.23094387352466583 -0.020527644082903862  0.068660862743854523 -0.020527644082903862   0.19166368246078491,   -1.0986151124203758   -0.34552043285795975    -1.0729490089582683    0.73960591583688284    0.54886326142877806   0.070710664320294825 2.1119363147192871e-05,0.0424070805311203
