DesiredFlux,0.5,HitTime,1714648329.3563087,DesiredPos, 0.5547633171081543 0.31065255403518677   0.219919353723526
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714648328.5353041, -0.4696437976745908   1.1298409059339014 0.018429161300770918  -1.2914212143558534  -1.9565470508068368  -1.8878140694953458 -0.92575213241298193, 0.00067546985652238833  1.0733200480121811e-05  2.3596816468522589e-06   0.0030805248038448499 -5.2159301120647128e-06   4.788397026591726e-06  6.8945658016962746e-06,-0.21776845550537111   65.065719455718991  -1.8857630538940429  -16.191855316162108  -1.3284857368469238   1.8232854194641113 -0.21026355743408204,  0.12777831761644126   -1.5613346492724591   0.48790448483433158 -0.061515134951505339   0.96632346782664535   0.80722742355572319    1.0616505686878734,  0.55353713035583496 -0.045931518077850342   0.21317218244075775, -0.70220661163330078 -0.018577851355075836 0.0042831525206565857   0.71171790361404419,0.00085221178596839309 4.6352572098840028e-05 0.00046342558925971389,0.00025359055143781006    0.54613083600997925  0.0013818894512951374,  0.24662014842033386   0.02963847853243351   0.06560758501291275   0.02963847853243351   0.23066161572933197 -0.022971587255597115   0.06560758501291275 -0.022971587255597115   0.18770568072795868,   -1.1141412410804463   -0.39088284384547478    -1.1648875523349034    0.71691971200937843    0.54121372089266373   0.065477477670050632 2.2296856805326115e-05,0.00088913692161440849
IIWA_7,1714648328.5402486,-0.46964337825015495   1.1298411456985074 0.018429161300770918  -1.2914047959344968   -1.956546858995152  -1.8878142492642587 -0.92575207252637193, 0.00055715286265187387   1.817714462198151e-05  1.8877453174818073e-06   0.0031211566973434724  3.4997233006554764e-06 -3.3600388934011095e-06  7.9111170415303737e-06,-0.24734194946289062   65.100669948577874  -1.8884041786193848  -16.194496440887452  -1.3267249870300293   1.8239529228210449 -0.20892855072021485, 13.640926888321861  2.1614863945212353  7.8967859874104169 -4.3229847270972677 0.31253287304512867  1.6209955063599408  1.0623942217807716,  0.55354154109954834 -0.045933566987514496   0.21317464113235474, -0.70220935344696045 -0.018582969903945923 0.0042782011441886425   0.71171510219573975, 0.00085629353998228908 -4.4853939471067861e-05   0.0004686186439357698,0.00025256059598177671    0.54613059759140015  0.0013806949136778712,  0.24661831557750702  0.029639139771461487  0.065608382225036621  0.029639139771461487   0.23066101968288422 -0.022971486672759056  0.065608382225036621 -0.022971486672759056   0.18770758807659149,   -1.1141718320377691   -0.39088285729960148    -1.1649013949783793    0.71693885566048721    0.54121889158409431   0.065468133998436429 2.2295163937258167e-05,0.00089462421601638198
IIWA_7,1714648328.54529,-0.46964349813245793   1.1298412654717274 0.018429161300770918  -1.2913883176265304   -1.956546858995152  -1.8878143690374787 -0.92575225229528491, 0.00044092699800255707  1.9332644497931915e-05   1.510196253985446e-06    0.003156057676529221  2.7997786405243815e-06 -7.4789599150675927e-06   -8.61862885891083e-07,-0.26481719589233399   65.135620441436771  -1.9051313018798828  -16.203300189971923   -1.329366111755371   1.8246204261779786 -0.21026355743408204, 13.642976551395103  2.1627499950464624  7.8975680030084012 -4.3243888476863139 0.31229763176040715  1.6204417534667204  1.0631563445173327,  0.55354589223861694 -0.045935560017824173   0.21317709982395172, -0.70221185684204102 -0.018588144332170486 0.0042732241563498974    0.7117125391960144, 0.00086122262291610241 -0.00011563964653760195  0.00047364554484374821,0.00025151725276373327    0.54613053798675537  0.0013794803526252508,  0.24661648273468018  0.029639806598424911  0.065609186887741089  0.029639806598424911   0.23066042363643646 -0.022971389815211296  0.065609186887741089 -0.022971389815211296   0.18770948052406311,   -1.1142026330386301   -0.39088285935484635     -1.164915354484819    0.71695831426143997    0.54122417986057769   0.065459335043094313 2.2293621171343148e-05,0.00090605829609557986
IIWA_7,1714648328.550282,-0.46961785182809684   1.1298492349723412 0.018454208302700132  -1.2913887370509662  -1.9565485847767163  -1.8878054408056901 -0.92575225229528491,  0.0013785937728453327  0.00033424614015355522   0.0010030882341717483   0.0025080691637894138 -6.6791439660430016e-05  0.00035114610361002409 -6.8949030871286644e-07,-0.46779890441894534   65.015982215881351   -2.313625259399414  -16.019301834106447  -1.3337679862976075    1.789242748260498 -0.21026355743408204,  13.64501025701156  2.1640583952686456  7.8983346227769946 -4.3258076700864185 0.31209585639421905  1.6198724288744129  1.0639511468046436,  0.55355030298233032 -0.045937865972518921   0.21317960321903229, -0.70221441984176636 -0.018593290820717812 0.0042679724283516407   0.71170991659164429, 0.00086437619756907225 -0.00018482432642485946  0.00047903324593789876,0.00025047274539247155    0.54613041877746582  0.0013782422756776214,  0.24661466479301453  0.029640475288033485   0.06560998409986496  0.029640475288033485   0.23065978288650513 -0.022971324622631073   0.06560998409986496 -0.022971324622631073   0.18771140277385712,   -1.1142338530065743   -0.39088391729436012    -1.1649305266772103    0.71697878202225951    0.54122909709519718   0.065449410486806414 2.2291881229818955e-05,0.00092045060591772199
IIWA_7,1714648328.5552683,-0.46926683393601271   1.1299077778969424 0.018690537228060303  -1.2914906029745927   -1.956555583547017  -1.8877439618009548 -0.92575225229528491,   0.015143590701641778    0.002609113896169571    0.010255627601744253  -0.0020681816140279644 -0.00033338396375381967   0.0027400770722999655 -5.5159224697029315e-07, -7.0559668083190914    62.74420018005371  -5.7867042732238767  -13.821005687713622  -1.1814631271362304   1.8609993591308593 -0.22361362457275391, 13.620493794012585  2.1537330919191415  7.8819138795930153  -4.315390855035905 0.31695226232840129  1.6227805798806618  1.0625977465385699,  0.55355322360992432 -0.045914620161056519   0.21317833662033081, -0.70220845937728882 -0.018605472519993782 0.0042784013785421848   0.71171540021896362,0.00080865935888141394 0.00078200892312452197 0.00033228620304726064,0.00024944476899690926    0.54613029956817627  0.0013770388904958963,  0.24661216139793396  0.029639104381203651  0.065611705183982849  0.029639104381203651   0.23066306114196777 -0.022967616096138954  0.065611705183982849 -0.022967616096138954   0.18771077692508698,   -1.1141505903520255   -0.39079025955057745    -1.1647665578156108    0.71690064791507524    0.54124660824772519   0.065529431259925275 2.2307657943088088e-05,0.0010738966520875692
IIWA_7,1714648328.5602486,-0.46888447723912896   1.1299018457409811 0.018837164192932677  -1.2915230202837868  -1.9565488724069771  -1.8876685810305611 -0.92575099391289417,  0.027409140436663246  0.0018500048784820078   0.014069580676290338 -0.0029512376589872339 1.7384305936116455e-06  0.0052072924735882542 4.9894021831790546e-05, -12.294507987976074   63.354489555358889  -8.1152959060668941  -14.331623134613038 -0.91823102951049806    1.710477352142334 -0.19023845672607423, 13.309515167151762  2.0838901828830019  7.6811051857694954 -4.2232985934919594 0.35246086777934182  1.6723075074073601  1.0534282205702934,  0.55355978012084961 -0.045622650533914566   0.21316517889499664, -0.70212972164154053  -0.01873675175011158 0.0044429427944123745   0.71178865432739258, 0.00090515706688165665    0.012304548174142838 -0.00025959088816307485,0.00024843029677867889    0.54613018035888672  0.0013758385321125388, 0.24659116566181183 0.029625710099935532 0.065626382827758789 0.029625710099935532  0.23070359230041504 -0.02292637899518013 0.065626382827758789 -0.02292637899518013  0.18769544363021851,   -1.1132549016306115   -0.38968571035447042    -1.1629746737131796     0.7158547478196553    0.54151159738058396   0.066601144130373768 2.2514613284840834e-05,0.011297936551272869
IIWA_7,1714648328.5652788,-0.46856503769828423   1.1299109537416825 0.018972765694754049  -1.2916283615942865  -1.9565588432984609  -1.8876331676455396 -0.92575213241298193,   0.034704893983119989   0.0018443239308423591    0.016679724613887142   -0.006574642547176289  -0.0003974449148771699   0.0055823693797327767 -5.6247860449923123e-06, -14.919827701568604   63.061443115234376  -8.3794083786010738  -14.306092262268066  -1.3637007331848143    1.833631721496582 -0.19991725540161132, 13.073657373743909  2.0950456382047773  7.5388563947847889 -4.2039349349708095 0.35795845968932766  1.7071630668384141  1.0607877822068568,  0.55359148979187012 -0.045356705784797668   0.21317824721336365,  -0.7020995020866394 -0.018888797610998154 0.0045690280385315418   0.71181362867355347, 0.0019853669218719006   0.020482325926423073 0.00031564498203806579,0.00024740296066738665    0.54613083600997925  0.0013746205950155854,   0.2465604841709137  0.029620863497257233  0.065642900764942169  0.029620863497257233   0.23073598742485046 -0.022888766601681709  0.065642900764942169 -0.022888766601681709   0.18769590556621552,   -1.1127593508053479   -0.38864721628684151    -1.1615681935133182    0.71491553184799272    0.54180946725423951    0.06748852738969191 2.2680231026583897e-05,0.018841754645109177
IIWA_7,1714648328.5702691, -0.4683173836586571   1.1299084370859842 0.019148274695337659  -1.2917948224807785   -1.956546858995152  -1.8876088396101791 -0.92575183287084906,  0.037670076771580831  0.0013747929167426309   0.020364139714454128  -0.011918149497419844 0.00016141620045198108  0.0054390169182044089 7.4818564790273453e-06, -14.152261108398438   62.917608394622803  -7.6971178245544429  -14.125615406036376 -0.81170566558837887   1.6163593788146973 -0.21059730911254881, 12.915624792238876  2.0578906593827395  7.4517392408700269 -4.1474084487963783 0.38418151193802808  1.7464140431746098  1.0539210818855094,   0.5535895824432373 -0.045118872076272964   0.21317525207996368, -0.70205092430114746  -0.01900000125169754 0.0047145267017185688   0.71185767650604248, 0.0015035168034955859   0.025899292901158333 0.00013339491852093488,0.00024683953961357474     0.5461389422416687   0.001375058782286942,  0.24654367566108704  0.029614526778459549  0.065652541816234589  0.029614526778459549   0.23076765239238739 -0.022857341915369034  0.065652541816234589 -0.022857341915369034   0.18768495321273804,   -1.1122152345439673   -0.38776558569963981     -1.160299754667804    0.71403581142615025    0.54207780796122762   0.068374632579804029 2.2847181924134929e-05,0.023750867694616318
IIWA_7,1714648328.5752852,-0.46807847819098869   1.1299098751282048 0.019406474886969959  -1.2920122163290837  -1.9565559669958537  -1.8875881069530778 -0.92575165310193608,  0.039692280124001285  0.0011573560222195506   0.026619319436855318  -0.018230273530144437 -0.0002351870677040496  0.0051805198186171712  1.317624170233726e-05, -11.545760890960693   62.761675426483151  -7.9462639236450192  -13.748814945220946   -1.243089370727539   1.7795639495849609 -0.21093106079101562, 12.818498127557252  2.0294075570827608  7.3750766193602111 -4.0912032554258611 0.40298396124520425  1.7904475435206861   1.042946649446407,   0.5535743236541748 -0.044899612665176392   0.21318137645721436, -0.70197582244873047 -0.019080759957432747 0.0048450441099703312   0.71192866563796997,0.00058190023992210627    0.02948928065598011 0.00035317643778398633,0.00024596526054665446    0.54614543914794922  0.0013803417095914483,  0.24653403460979462  0.029603548347949982  0.065660633146762848  0.029603548347949982   0.23079900443553925 -0.022828247398138046  0.065660633146762848 -0.022828247398138046   0.18766908347606659,   -1.1115003331640949   -0.38698081302168674    -1.1590127696203822    0.71319587321383437    0.54224899781729619   0.069203655607807946 2.3007584282197513e-05,0.027004124596714973
IIWA_7,1714648328.5802488,-0.46776964468875909   1.1299055008967669 0.019731966356995981  -1.2922786855634627  -1.9565535701351919  -1.8875503565721881  -0.9257515332196331,  0.044107164188385013 0.00075091556025749784   0.034315114350525144  -0.025242988199275854 -9.227522769427265e-05  0.0056544310904822056 1.5336285480811839e-05,-10.469016860961913  62.346302261352541 -7.7833945655822756 -13.823646812438964 -1.1876257514953612  1.7939152717590332  -0.211932315826416, 12.713188575170921  1.9947106498253828  7.2728806052190462 -4.0213434168068307 0.42978803548284122  1.8442955604861637  1.0281124366690753,  0.55354613065719604 -0.044650163501501083   0.21319113671779633, -0.70187121629714966 -0.019170098006725311 0.0049984855577349663   0.71202832460403442,-0.00067443290026858449    0.033568017184734344  0.00067527452483773232,0.00023879001673776656    0.54615175724029541  0.0013736742548644543,  0.24652400612831116  0.029588032513856888   0.06567014753818512  0.029588032513856888   0.23083756864070892 -0.022793730720877647   0.06567014753818512 -0.022793730720877647   0.18764793872833252,   -1.1105460972418157   -0.38608851290256041    -1.1574101326701225    0.71223263304087681    0.54242454932662554   0.070204912039351086 2.3203906351909609e-05,0.030742930248379707
