RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714657337.2890007,0.49695587158203125  1.0881452560424805 0.27735334634780884,-0.0020429252181202173 0.00037995056482031941   0.025187131017446518    0.99968057870864868,0.49695587158203125  1.0881452560424805 0.27735334634780884,-0.0020429252181202173 0.00037995056482031941   0.025187131017446518    0.99968057870864868
1714657337.2940156,0.49692472815513611  1.0881422758102417 0.27743023633956909,-0.0021172964479774237 0.00043937459122389555   0.025121267884969711    0.99968206882476807,0.49692472815513611  1.0881422758102417 0.27743023633956909,-0.0021172964479774237 0.00043937459122389555   0.025121267884969711    0.99968206882476807
1714657337.2990165,0.49690419435501099  1.0881524085998535 0.27741611003875732,-0.0021249107085168362 0.00045284433872438967   0.025152126327157021    0.99968129396438599,0.49690419435501099  1.0881524085998535 0.27741611003875732,-0.0021249107085168362 0.00045284433872438967   0.025152126327157021    0.99968129396438599
1714657337.3040228,0.49696040153503418  1.0881553888320923 0.27738577127456665,-0.0020721782930195332 0.00037004344630986452   0.025182684883475304    0.99968063831329346,0.49696040153503418  1.0881553888320923 0.27738577127456665,-0.0020721782930195332 0.00037004344630986452   0.025182684883475304    0.99968063831329346
1714657337.3090193,0.49695292115211487  1.0881404876708984 0.27738720178604126,-0.0020433566533029079 0.00035535971983335912   0.025190511718392372    0.99968051910400391,0.49695292115211487  1.0881404876708984 0.27738720178604126,-0.0020433566533029079 0.00035535971983335912   0.025190511718392372    0.99968051910400391
1714657337.3140171,0.49680572748184204   1.088225245475769  0.2770344614982605,-0.0024062914308160543  0.0003511362592689693   0.025143492966890335    0.99968087673187256,0.49680572748184204   1.088225245475769  0.2770344614982605,-0.0024062914308160543  0.0003511362592689693   0.025143492966890335    0.99968087673187256
1714657337.3190167, 0.4969448447227478  1.0881415605545044 0.27745175361633301,-0.0021544790361076593 0.00035466573899611831   0.025195896625518799    0.99968016147613525, 0.4969448447227478  1.0881415605545044 0.27745175361633301,-0.0021544790361076593 0.00035466573899611831   0.025195896625518799    0.99968016147613525
1714657337.3240168,0.49696040153503418  1.0881403684616089 0.27737590670585632,-0.0020777352619916201 0.00039577530696988106   0.025203457102179527    0.99968010187149048,0.49696040153503418  1.0881403684616089 0.27737590670585632,-0.0020777352619916201 0.00039577530696988106   0.025203457102179527    0.99968010187149048
1714657337.3290167,  0.496908038854599  1.0882209539413452 0.27700600028038025,-0.0022469209507107735 0.00022636850189883262    0.02517908439040184    0.99968039989471436,  0.496908038854599  1.0882209539413452 0.27700600028038025,-0.0022469209507107735 0.00022636850189883262    0.02517908439040184    0.99968039989471436
1714657337.3341274,0.49692189693450928    1.08817458152771 0.27743446826934814,-0.0020487606525421143 0.00039776251651346684   0.025184778496623039    0.99968063831329346,0.49692189693450928    1.08817458152771 0.27743446826934814,-0.0020487606525421143 0.00039776251651346684   0.025184778496623039    0.99968063831329346
1714657337.3391268,0.49697181582450867  1.0881576538085938 0.27744024991989136,-0.0021932974923402071 0.00036184396594762802   0.025239270180463791    0.99967896938323975,0.49697181582450867  1.0881576538085938 0.27744024991989136,-0.0021932974923402071 0.00036184396594762802   0.025239270180463791    0.99967896938323975
1714657337.3440158, 0.4969346821308136  1.0881359577178955 0.27738949656486511,-0.0022404114715754986 0.00032599113183096051   0.025172127410769463    0.99968057870864868, 0.4969346821308136  1.0881359577178955 0.27738949656486511,-0.0022404114715754986 0.00032599113183096051   0.025172127410769463    0.99968057870864868
1714657337.349016,0.49693822860717773  1.0881507396697998 0.27739167213439941,-0.0020594976376742125 0.00033622328191995621   0.025198858231306076     0.9996802806854248,0.49693822860717773  1.0881507396697998 0.27739167213439941,-0.0020594976376742125 0.00033622328191995621   0.025198858231306076     0.9996802806854248
1714657337.3540177,0.49693202972412109  1.0881484746932983 0.27736955881118774,-0.0020280189346522093 0.00035880468203686178   0.025173118337988853    0.99968099594116211,0.49693202972412109  1.0881484746932983 0.27736955881118774,-0.0020280189346522093 0.00035880468203686178   0.025173118337988853    0.99968099594116211
1714657337.3590226,0.49690389633178711  1.0881785154342651 0.27744331955909729,-0.0021294287871569395  0.0003226185217499733   0.025190629065036774    0.99968034029006958,0.49690389633178711  1.0881785154342651 0.27744331955909729,-0.0021294287871569395  0.0003226185217499733   0.025190629065036774    0.99968034029006958
1714657337.3640182,0.49695327877998352  1.0881277322769165 0.27741822600364685,-0.0019990911241620779 0.00035232125082984567   0.025210699066519737    0.99968010187149048,0.49695327877998352  1.0881277322769165 0.27741822600364685,-0.0019990911241620779 0.00035232125082984567   0.025210699066519737    0.99968010187149048
1714657337.3690176,0.49694803357124329  1.0881267786026001 0.27742457389831543,-0.0020893060136586428 0.00045589741785079241   0.025140291079878807    0.99968165159225464,0.49694803357124329  1.0881267786026001 0.27742457389831543,-0.0020893060136586428 0.00045589741785079241   0.025140291079878807    0.99968165159225464
1714657337.3740168,0.49696508049964905  1.0881370306015015 0.27741518616676331,-0.002118478761985898  0.000425303092924878  0.025146204978227615   0.99968147277832031,0.49696508049964905  1.0881370306015015 0.27741518616676331,-0.002118478761985898  0.000425303092924878  0.025146204978227615   0.99968147277832031
1714657337.3790176,0.49699044227600098  1.0881752967834473 0.27741125226020813,-0.0021157471928745508  0.0002768722188193351   0.025236831977963448    0.99967920780181885,0.49699044227600098  1.0881752967834473 0.27741125226020813,-0.0021157471928745508  0.0002768722188193351   0.025236831977963448    0.99967920780181885
1714657337.3840485,0.49699729681015015  1.0881645679473877 0.27744618058204651,-0.0022078179754316807 0.00037957823951728642    0.02520633302628994    0.99967974424362183,0.49699729681015015  1.0881645679473877 0.27744618058204651,-0.0022078179754316807 0.00037957823951728642    0.02520633302628994    0.99967974424362183
1714657337.3890169,0.49700060486793518  1.0882055759429932 0.27739179134368896,-0.0020690555684268475 0.00024720627698116004   0.025236528366804123     0.9996793270111084,0.49700060486793518  1.0882055759429932 0.27739179134368896,-0.0020690555684268475 0.00024720627698116004   0.025236528366804123     0.9996793270111084
1714657337.3940184,0.49694830179214478  1.0881638526916504 0.27744987607002258, -0.002308504655957222 0.00043490668758749962   0.025166381150484085    0.99968051910400391,0.49694830179214478  1.0881638526916504 0.27744987607002258, -0.002308504655957222 0.00043490668758749962   0.025166381150484085    0.99968051910400391
1714657337.3990159, 0.496928870677948 1.0881386995315552  0.277454674243927,-0.0021551670506596565 0.00042326530092395842   0.025170054286718369    0.99968075752258301, 0.496928870677948 1.0881386995315552  0.277454674243927,-0.0021551670506596565 0.00042326530092395842   0.025170054286718369    0.99968075752258301
