RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714649859.5318,0.41600647568702698 0.90494698286056519 0.27671056985855103,0.00015041773440316319  0.0044051390141248703    0.32709437608718872    0.94498139619827271,0.41600647568702698 0.90494698286056519 0.27671056985855103,0.00015041773440316319  0.0044051390141248703    0.32709437608718872    0.94498139619827271
1714649859.5367985,0.41869693994522095 0.90957844257354736 0.27674409747123718,0.00082703644875437021  0.0046792235225439072    0.31533923745155334     0.9489670991897583,0.41869693994522095 0.90957844257354736 0.27674409747123718,0.00082703644875437021  0.0046792235225439072    0.31533923745155334     0.9489670991897583
1714649859.541774,0.42164307832717896 0.91423636674880981 0.27670285105705261,0.00093709659995511174  0.0043507996015250683    0.30320724844932556    0.95291423797607422,0.42164307832717896 0.91423636674880981 0.27670285105705261,0.00093709659995511174  0.0043507996015250683    0.30320724844932556    0.95291423797607422
1714649859.5518034,0.42646583914756775 0.92133903503417969 0.27683669328689575,0.0016004809876903892 0.0045651700347661972   0.28448837995529175   0.95866727828979492,0.42646583914756775 0.92133903503417969 0.27683669328689575,0.0016004809876903892 0.0045651700347661972   0.28448837995529175   0.95866727828979492
1714649859.5568049,0.42991980910301208 0.92616444826126099 0.27686434984207153,0.0017092690104618669 0.0043622273951768875   0.27144014835357666   0.96244388818740845,0.42991980910301208 0.92616444826126099 0.27686434984207153,0.0017092690104618669 0.0043622273951768875   0.27144014835357666   0.96244388818740845
1714649859.5617764, 0.4331190288066864 0.93121260404586792 0.27687805891036987,0.0018818550743162632 0.0039480933919548988   0.25827136635780334   0.96606248617172241, 0.4331190288066864 0.93121260404586792 0.27687805891036987,0.0018818550743162632 0.0039480933919548988   0.25827136635780334   0.96606248617172241
1714649859.5667982,0.43750214576721191 0.93570804595947266 0.27694138884544373,0.0020945125725120306 0.0037949047982692719   0.24443560838699341   0.96965581178665161,0.43750214576721191 0.93570804595947266 0.27694138884544373,0.0020945125725120306 0.0037949047982692719   0.24443560838699341   0.96965581178665161
1714649859.5717981,0.44155088067054749 0.94038403034210205 0.27697065472602844,0.0020612238440662622 0.0033102838788181543   0.23025670647621155   0.97312211990356445,0.44155088067054749 0.94038403034210205 0.27697065472602844,0.0020612238440662622 0.0033102838788181543   0.23025670647621155   0.97312211990356445
1714649859.5817773,0.44784983992576599  0.9473118782043457 0.27690696716308594,0.0013183188857510686 0.0026503549888730049   0.20909956097602844   0.97788989543914795,0.44784983992576599  0.9473118782043457 0.27690696716308594,0.0013183188857510686 0.0026503549888730049   0.20909956097602844   0.97788989543914795
1714649859.5867977, 0.4521319568157196 0.95184338092803955 0.27693122625350952,0.0011545650195330381 0.0024740118533372879   0.19462938606739044   0.98087304830551147, 0.4521319568157196 0.95184338092803955 0.27693122625350952,0.0011545650195330381 0.0024740118533372879   0.19462938606739044   0.98087304830551147
1714649859.5917733, 0.4564831554889679 0.95623016357421875 0.27692413330078125,0.00072779034962877631  0.0013642860576510429    0.18015660345554352    0.98363673686981201, 0.4564831554889679 0.95623016357421875 0.27692413330078125,0.00072779034962877631  0.0013642860576510429    0.18015660345554352    0.98363673686981201
1714649859.5968051, 0.4609488844871521 0.96040570735931396 0.27691254019737244,0.00080296961823478341   0.001008838415145874    0.16582922637462616    0.98615366220474243, 0.4609488844871521 0.96040570735931396 0.27691254019737244,0.00080296961823478341   0.001008838415145874    0.16582922637462616    0.98615366220474243
1714649859.6068039,0.46764573454856873 0.96641594171524048  0.2770041823387146,0.00096302403835579753  0.0013498659245669842    0.14376221597194672    0.98961085081100464,0.46764573454856873 0.96641594171524048  0.2770041823387146,0.00096302403835579753  0.0013498659245669842    0.14376221597194672    0.98961085081100464
1714649859.611804,0.47197189927101135 0.96989661455154419  0.2768578827381134,0.0015922944294288754 0.0018903816817328334   0.12867100536823273   0.99168425798416138,0.47197189927101135 0.96989661455154419  0.2768578827381134,0.0015922944294288754 0.0018903816817328334   0.12867100536823273   0.99168425798416138
1714649859.6167915,0.47619950771331787 0.97342950105667114 0.27701354026794434,0.0015490165678784251 0.0018494166433811188   0.11406891793012619   0.99346989393234253,0.47619950771331787 0.97342950105667114 0.27701354026794434,0.0015490165678784251 0.0018494166433811188   0.11406891793012619   0.99346989393234253
1714649859.6218195,0.48037430644035339  0.9767385721206665 0.27713167667388916,0.0015128899831324816 0.0020603975281119347  0.099495768547058105   0.99503469467163086,0.48037430644035339  0.9767385721206665 0.27713167667388916,0.0015128899831324816 0.0020603975281119347  0.099495768547058105   0.99503469467163086
1714649859.6317756,0.48637321591377258 0.98144268989562988 0.27724930644035339,0.0020718364976346493 0.0021598478779196739  0.078325442969799042   0.99692332744598389,0.48637321591377258 0.98144268989562988 0.27724930644035339,0.0020718364976346493 0.0021598478779196739  0.078325442969799042   0.99692332744598389
