DesiredFlux,1.01,HitTime,1714666570.8623023,DesiredPos,  0.5535813570022583 -0.24935413897037506  0.19736748933792114
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714666570.3021255,  0.59053442679446289     1.261905686194414 -0.072021896029144453   -1.1964769714730437   -1.0960117279783517    1.8892180213995455  -0.62109246258923256, 0.00015116713067320716  1.3199195828796722e-06 -3.2818569430545614e-05 -7.7179179585323216e-06  7.4346395467553391e-06  3.2070588153541406e-06 -2.4309192548325321e-05,-0.87705152130126962   72.381184494018555   3.9346189460754393  -16.034210723876953   1.6938413238525389    -2.28186022567749  0.49662249755859372, -1.5726679125462031  -3.0077864466553881  -1.3417729219286785 -0.38117558876451579  0.95999161705874569  0.64200307580011584 -0.75213031642440398,0.55786025524139404 0.11005662381649017 0.18445441126823425, 0.49139922857284546 -0.49535754323005676  0.51091045141220093  0.50211375951766968,-2.5047229428309947e-05  9.1067005996592343e-05  2.5864544568321435e-06,-0.0050148037262260914    -1.4465482234954834   0.015133507549762726,  0.24563983082771301 -0.024979796260595322  0.064717285335063934 -0.024979796260595322   0.22575096786022186  0.042085971683263779  0.064717285335063934  0.042085971683263779   0.18595539033412933,    0.98012742542152864    -0.92269585694548795      1.6022047801893535      1.0570624817916041    -0.03848274808770924   -0.012774631191980745 -8.8817841970012523e-13,6.5966123656835407e-05
IIWA_14,1714666570.3071001,  0.59053490610550874     1.261905686194414 -0.072021776146841465   -1.1964770313596538   -1.0960116321597757    1.8892180213995455  -0.62109258236245246, 0.00014010614637270229  1.0559356663037379e-06 -2.1459563424939353e-05 -8.5697987714401035e-06  9.7804546759052781e-06  2.5656470522833127e-06 -2.4238282834566071e-05,-0.88991151428222659   72.360608505249033   3.9332746963500975  -16.031522224426269   1.6973628234863281  -2.2825277290344239  0.49562124252319334, -56.458415559499443   9.2809770715610131  -30.630915170805203   -17.93323134195883   1.6921528268537518  -1.2175337872659602 -0.75216330299112144,0.55786031484603882 0.11005662381649017 0.18445447087287903, 0.49139919877052307 -0.49535751342773438  0.51091057062149048   0.5021136999130249,-1.6455371223855764e-05  7.2682058089412749e-05  4.7963417273422237e-06,-0.0050145722925662994    -1.4465484619140625   0.015133441425859928,  0.24563980102539062 -0.024979786947369576  0.064717307686805725 -0.024979786947369576   0.22575096786022186  0.042085956782102585  0.064717307686805725  0.042085956782102585   0.18595540523529053,  0.98012696641713859  -0.92269565827862721    1.6022040222987144    1.0570624076944313 -0.038482368116987686 -0.012774594896569624                     0,5.213645999901928e-05
IIWA_14,1714666570.3120983,  0.59053514576103161     1.261905686194414 -0.072021776146841465   -1.1964770913553466   -1.0960116321597757    1.8892181412818485  -0.62109246258923256, 0.00012167113801300968  8.4474853304299033e-07 -1.7167650739951484e-05 -9.2556667314798678e-06  7.8243637407242235e-06  6.8478097607686796e-06 -1.4599697471747045e-05,-0.90019950866699228   72.394044486999519   3.9319304466247558  -16.036899223327637   1.6973628234863281  -2.2835289840698243  0.49562124252319334, -56.458305055509257   9.2809106383698676  -30.630964715964506  -17.933185343581677   1.6921366559903586   -1.217505945098355 -0.75214175219182544,0.55786019563674927 0.11005691438913345 0.18445442616939545, 0.49139940738677979 -0.49535736441612244  0.51091057062149048  0.50211364030838013, -1.71879910340067e-05 6.9877060013823211e-05 2.0288548512326088e-06,-0.0050146034918725491    -1.4465483427047729   0.015132765285670757,  0.24563983082771301 -0.024979781359434128  0.064717277884483337 -0.024979781359434128   0.22575093805789948  0.042085994035005569  0.064717277884483337  0.042085994035005569   0.18595540523529053,  0.98012694941385092  -0.92269734458660935    1.6022050477095817    1.0570638626772322 -0.038481872510764958 -0.012773862860804286                     0,5.0260325224371627e-05
IIWA_14,1714666570.3171017,  0.59052915371846026    1.2619115584637655 -0.072036876299197403   -1.1964924910498356   -1.0960100023713202    1.8892099920123218  -0.62109276213136544,-0.00014234479244341452  0.00023556657288435087 -0.00061774021482945813 -0.00062339231294269808  7.1451029213622668e-05 -0.00032049253326126926 -2.3661443292418834e-05,-0.76902758026123053    72.22943657684327   4.1537316513061526  -15.811065269470214   1.6867983245849609  -2.2661738967895508  0.49461998748779296, -56.457931503005042   9.2809095239473738  -30.630777174777887  -17.933121588204859   1.6921617552856003  -1.2175558237797961 -0.75217280076616055,0.55786013603210449   0.110057033598423 0.18445444107055664, 0.49139940738677979 -0.49535730481147766  0.51091063022613525  0.50211358070373535,-1.6091820725705475e-05  6.0841808590339497e-05  2.2057499791117152e-06,-0.0050144973210990429    -1.4465483427047729   0.015133006498217583,  0.2456398606300354 -0.02497977577149868 0.064717262983322144 -0.02497977577149868  0.22575093805789948 0.042086012661457062 0.064717262983322144 0.042086012661457062  0.18595539033412933,  0.98012684717829757  -0.92269816633283597     1.602205503429488     1.057064552795417   -0.0384815363476676 -0.012773837645418951                     0,4.3965610529994592e-05
IIWA_14,1714666570.3220992,  0.59040266021734045    1.2620225323880936 -0.072423667114128898     -1.19681702389777   -1.0959722280357864    1.8890628257407105  -0.62109360108932021, -0.0051736158787474363   0.0046274102314326103   -0.015965824769123376   -0.013480027767731493   0.0015681342447212126  -0.0061430448910596309 -5.2487472824897739e-05, 6.6460443725585945  64.732060668945323  9.1382096328735347 -9.6073527870178221  1.4869532203674316 -1.9968362922668457 0.49194997406005858, -56.442027868063825    9.272699293320203  -30.620569727140005  -17.924390526981611   1.6898222887187038  -1.2190019796834084 -0.75010854738105026,0.55785864591598511  0.1100456714630127 0.18445080518722534, 0.49139612913131714 -0.49535250663757324  0.51090997457504272  0.50212228298187256,-7.3008937761187553e-05 -0.00040586054092273116 -0.00014392455341294408,-0.0050145513378083706    -1.4465483427047729   0.015132888220250607,  0.24564065039157867 -0.024977985769510269  0.064717590808868408 -0.024977985769510269   0.22575357556343079  0.042084101587533951  0.064717590808868408  0.042084101587533951   0.18595266342163086,      0.980033711884154    -0.92262651663954642      1.6020901492179718      1.0569788813858949   -0.038476430901823733   -0.012808802130948038 -3.5527136788005009e-12,0.0003049387305509299
IIWA_14,1714666570.3270998,  0.59036550913888253    1.2620269066195313 -0.072894467389109721   -1.1970701306732294   -1.0959677219447237    1.8888163700877809    -0.621094559820495, -0.0056249358413147437   0.0038768974426553492   -0.031604670814531631   -0.020908293232562068    0.001434751038286096   -0.014772662030030827 -8.0339225251227573e-05, 11.219057876586914  64.955824546813972  10.856160781860352 -9.6086970367431643  1.0273975181579589 -2.2625026283264158 0.47826615524291993,-56.091277352414131  9.1170905607520698 -30.366056964661951 -17.743217073174787  1.6448962530883529 -1.2631506414688196 -0.7120779945843343,0.55783349275588989   0.109786257147789 0.18439924716949463, 0.49128806591033936 -0.49525704979896545  0.51091432571411133  0.50231766700744629,-0.0010661495616659522  -0.010701660998165607  -0.002174923662096262,-0.0050144130364060402    -1.4465484619140625   0.015132944099605083,  0.24565026164054871 -0.024940546602010727  0.064729273319244385 -0.024940546602010727   0.22581407427787781  0.042040247470140457  0.064729273319244385  0.042040247470140457   0.18589705228805542,   0.9780405264736558  -0.92099882821727874    1.5994905956819849    1.0550743645030281 -0.038363416985376375 -0.013689443240316734                     0,0.0076599358581006527
IIWA_14,1714666570.3321006,  0.59035070863774253    1.2620352956536642 -0.073560970124119732   -1.1975079144456673   -1.0959542996646441    1.8884564838505182  -0.62109509912723382, -0.0050919687186517897   0.0034370793194409294   -0.051943846052025733    -0.03423798548356409     0.00168469203381333   -0.026213579114532079 -8.5843649753887316e-05, 13.821920455932618  64.279388916015634    11.9544128074646 -10.378952129364015  1.7695535659790038  -1.789242748260498 0.46658484649658205, -55.899210229858326   9.0908943732807721   -30.15118750519698   -17.68384886841363   1.6449282871685822  -1.2768005850365558 -0.70625664401483668,0.55786287784576416  0.1095736101269722 0.18441630899906158,  0.4911898672580719 -0.49519807100296021  0.51098358631134033  0.50240141153335571,0.00031832713284529746  -0.017068499699234962 -0.0010524295503273606,-0.0050143455155193806    -1.4465533494949341   0.015132935717701912,  0.24563832581043243 -0.024906933307647705  0.064749881625175476 -0.024906933307647705   0.22586791217327118  0.041994828730821609  0.064749881625175476  0.041994828730821609   0.18586738407611847,   0.97625723369265671   -0.91951664645240072     1.5969596177614065     1.0533982691303123  -0.038118717030855009  -0.014239799692283839 2.6645352591003757e-12,0.011939570307731628
IIWA_14,1714666570.3371005, 0.59035232644887603   1.2620332583090117 -0.07444420751839316  -1.1981709416847213  -1.0959321528326997   1.8880086333462043 -0.62109503913154085, -0.0040088625295813113    0.002668169669451183   -0.076884572612557725   -0.053911477949010536   0.0022336269048245606   -0.038884883464183714 -6.6275092084341181e-05,  16.20359115600586  64.413132843017578  11.815955085754394 -9.5549270477294925  1.2166781234741211 -1.9123971176147461 0.47926741027832032, -55.654378968765869   9.0211916874977636  -29.879338008341456  -17.578498535626711     1.63506186014243  -1.2979606889236326 -0.68524028247264945,0.55787926912307739 0.10927914083003998 0.18442629277706146,0.49106913805007935 -0.4950808584690094 0.51108032464981079 0.50253653526306152,0.00090256030671298504  -0.025437390431761742 -0.0004306571208871901,-0.0050143022090196609    -1.4466702938079834   0.015142339281737804,  0.24563242495059967 -0.024853449314832687  0.064773730933666229 -0.024853449314832687   0.22594650089740753  0.041931260377168655  0.064773730933666229  0.041931260377168655   0.18581540882587433,  0.97348356891213683   -0.9174689387867474    1.5932654278287828    1.0509788627697247 -0.037695007533145031  -0.01502396564045938                     0,0.017768731340765953
IIWA_14,1714666570.3421028, 0.59037018291245325   1.2620361345025359 -0.07555514514837107  -1.1990090583908397  -1.0959384805239027   1.8874306940715944 -0.62109491935832095, -0.0024928314805764519   0.0022495834765304339    -0.10594516328916256   -0.076653850603946083   0.0015337938757391722   -0.054225477755743684 -4.8229144871567137e-05, 15.956679290771485  63.983609077453615  12.216541503906249 -8.1958905754089351  1.0097900199890137 -1.7715539093017578 0.48227117538452147, -55.347841846089651   8.9129447213194144  -29.540609881085931  -17.423250204935268    1.616491968302012  -1.3399222357951612 -0.64906011209723491,0.55787390470504761 0.10888724774122238 0.18444091081619263, 0.49090823531150818 -0.49489724636077881  0.51120692491531372  0.50274574756622314,0.00049085792852565646  -0.036032989621162415 0.00026527637965045869,-0.0050029419362545013    -1.4467734098434448   0.015258063562214375,  0.24563334882259369 -0.024779105558991432  0.064800992608070374 -0.024779105558991432   0.22605322301387787  0.041848160326480865  0.064800992608070374  0.041848160326480865   0.18573835492134094,   0.96965560255135586   -0.91479229455249111     1.5883236803908574     1.0477225417062641  -0.037088919137673315  -0.016154527019196507 2.6645352591003757e-12,0.025150055065751076
IIWA_14,1714666570.3470941,  0.59037311910167045    1.2620331384267087 -0.076864182011773446   -1.1999875703637364   -1.0959301394208747    1.8867138576772029  -0.62109503913154085, -0.0018768176157729056    0.001679823748135918    -0.13711760516742513    -0.10046355939902357   0.0015606792217134719   -0.072053837980253443 -4.3374244693159528e-05, 15.596599487304688  63.811285171508793  12.498833946228027 -8.3356925468444825  1.3575381088256835 -1.8279579429626465 0.47960116195678709, -55.000183249303525   8.7797483477621796  -29.145331264013059  -17.243024019883173   1.6023935681665207  -1.3851891903590254 -0.60641133865496111,0.55787128210067749 0.10840179771184921 0.18445815145969391,0.49071460962295532  -0.494651198387146 0.51138204336166382 0.50299876928329468,0.00026118636014871299  -0.048258185386657715 0.00094721175264567137,-0.0050349882803857327    -1.4469254016876221   0.015230344608426094,  0.24563653767108917 -0.024682926014065742  0.064834192395210266 -0.024682926014065742   0.22618670761585236  0.041744537651538849  0.064834192395210266  0.041744537651538849   0.18564034998416901,   0.96475223388292619   -0.91147912543210197     1.5821102920394736     1.0436667329036808  -0.036247079066242804  -0.017529010638561715 8.8817841970012523e-13,0.033679842948913574
IIWA_14,1714666570.3520725,  0.59037162106375685     1.262035894847013 -0.078373295566642839   -1.2011361983789111   -1.0959279343718977    1.8857851401660317  -0.62109467959371489, -0.0015613756091625393   0.0014541158106778751    -0.17005862632871582    -0.12631596812620605   0.0013367453364494374   -0.094791770831050129 -2.0317882716296862e-05, 15.923243309020997  64.603460739135741   12.61309517288208 -9.1677831268310541   1.252773494720459 -1.7552000770568847 0.46791985321044921, -54.610904103874915    8.640328871355667   -28.71072448047935  -17.052222982920291   1.5852462439623043  -1.4314668967030646 -0.56039784203360465,0.55787509679794312 0.10782143473625183 0.18447503447532654, 0.49049389362335205 -0.49437716603279114  0.51157599687576294  0.50328618288040161,0.00032227303017862141  -0.061843562871217728  0.0015025663888081908,-0.0050530955195426941    -1.4471319913864136   0.015215086750686169,  0.24563777446746826 -0.024570293724536896  0.064874589443206787 -0.024570293724536896   0.22634358704090118  0.041619259864091873  0.064874589443206787  0.041619259864091873   0.18552759289741516,    0.95901935199549371    -0.90749393209765827      1.5747414208204802      1.0388249840254105   -0.035310553787581966   -0.019089930603399807 -8.8817841970012523e-13,0.043156541883945465
IIWA_14,1714666570.3571303,  0.59037455714389098    1.2620384115027112 -0.080077452283416464    -1.202481068160854   -1.0959257293229208      1.88468103353658  -0.62109342132040735,-0.0011316572819648118  0.0012639588764735566   -0.20421316973391765   -0.15484756577868186  0.0011575982282382097   -0.11999768184290838 3.4076626128852179e-05, 16.036411247253419  64.474860809326174  12.196377758026124 -9.3425355911254879  1.3548969841003418  -1.602008056640625 0.46091106796264647, -54.198113075455659   8.4753402647176017  -28.257646468331419  -16.847752518836696   1.5654032450664053  -1.4617116815773099 -0.50686781836351169, 0.5578884482383728 0.10714451968669891 0.18447154760360718, 0.49027568101882935 -0.49405762553215027  0.51179260015487671  0.50359225273132324,0.00073177472222596407  -0.076587259769439697  0.0011646549683064222,-0.0050408914685249329    -1.4473906755447388   0.015180140733718872,  0.24564225971698761 -0.024435179308056831   0.06492016464471817 -0.024435179308056831   0.22652523219585419  0.041469935327768326   0.06492016464471817  0.041469935327768326   0.18539519608020782,   0.95221671695711052   -0.90279276087112947      1.566046887564454     1.0331090874142745  -0.034203166896062953  -0.020721230657549938 4.4408920985006262e-12,0.053424354642629623
IIWA_14,1714666570.3620992,  0.59037611517749766    1.2620373928849264 -0.081987318305485585   -1.2040085174903463   -1.0959255375112358    1.8833984219398006  -0.62109276213136544,-0.00084300448130442531  0.00097042238978736262    -0.23976517666989894    -0.18497602580263894  0.00093375104998975683    -0.14730260934550465  5.3628862579369919e-05, 15.925815307617189  64.582884750366219  11.797135589599609 -9.7216140136718749  1.2976726150512694 -1.6223669090270996 0.46524983978271484, -53.769046621506114   8.2863389768731643  -27.788194695462575  -16.623503006601862   1.5410729780209609  -1.4899763315525512 -0.44347956278874734,0.55789732933044434 0.10637339204549789 0.18445287644863129,  0.4900524914264679 -0.49368360638618469  0.51203006505966187  0.50393480062484741,0.00085675891023129225  -0.092167258262634277 0.00032716023270040751,-0.0050313696265220642    -1.4476944208145142   0.015140509232878685, 0.24565301835536957 -0.02427777461707592  0.06496904045343399 -0.02427777461707592  0.22673159837722778 0.041298102587461472  0.06496904045343399 0.041298102587461472  0.18524090945720673,    0.94436135272424337    -0.89742721146457427      1.5560837753776369      1.0265467727954558   -0.032924918460075503   -0.022491428750548437 -8.8817841970012523e-13,0.064267463982105255
IIWA_14,1714666570.3671362,  0.59037455714389098    1.2620402690784507 -0.084109245213247447   -1.2057061428578097   -1.0959259209600725    1.8819312531192629  -0.62109192328249374,-0.00073672492931096446  0.00089138565279937734    -0.27668921764639365    -0.21588583534064831  0.00073166288652449629    -0.17652884029790999  7.6457044931422396e-05, 14.861007888793946  64.711484680175786  11.212386959075928 -8.8949004325866703  1.1893865013122558 -1.5993380432128905 0.47092361831665042, -53.321433571298918   8.0838073312305934   -27.29631449116987  -16.387223327017193   1.5155843005817531   -1.516816538555843 -0.37379733861792541,0.55790823698043823 0.10550405085086823 0.18442496657371521, 0.48981869220733643 -0.49326175451278687  0.51229077577590942  0.50431007146835327,  0.0010081564541906118    -0.10858040302991867 -0.00066488760057836771,-0.0050305970944464207    -1.4480462074279785   0.015104955062270164,   0.2456669807434082 -0.024098832160234451  0.065022759139537811 -0.024098832160234451   0.22696253657341003  0.041102524846792221  0.065022759139537811  0.041102524846792221   0.18506726622581482,    0.93549393695901983    -0.89137047263498914      1.5448442888059688       1.019132019037805   -0.031487390147688643    -0.02440212120546903 -3.5527136788005009e-12,0.075689814984798431
