DesiredFlux,1,HitTime,1714666522.3872526,DesiredPos, 0.5469963550567627 0.31884562969207764 0.21885889768600464
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714666521.8691542,-0.45680174194198669   1.1306336025188153 0.016686894665281529  -1.2839902757707036  -1.9558784268641038  -1.8883522210444135 -0.91018576279850871, 0.00032322972631351602  2.8644445675870324e-06  2.3021178588672417e-05 -1.3035287875859572e-05 -0.00092862562466058138  2.8360892855386874e-06  1.6095349098511642e-05,0.077966484069824218   65.064375205993656  -1.7968451881408691  -16.062440204620362  -1.0555695152282714   1.8436442718505859 -0.26166131591796876, -0.19108533433252814  -0.41617907691880812   0.49375423872666513   -2.1588016940697417 -0.068547470771548935   0.13227432610024847   0.58795273997283737,  0.55592054128646851 -0.040357824414968491   0.21378003060817719, -0.70351046323776245 -0.019178163260221481  0.012130149640142918   0.71032255887985229,-0.00015156125300563872  0.00011632943642325699 -0.00011892859038198367,-0.0075364690274000168     1.4424117803573608  0.0042873234488070011,  0.24525871872901917  0.030166260898113251  0.066138617694377899  0.030166260898113251   0.23103834688663483 -0.022239755839109421  0.066138617694377899 -0.022239755839109421   0.18844099342823029, -1.1302434502580283 -0.36764274075107295  -1.1512747201107842  0.70383631543702307  0.55582479929139339 0.085784657817278287 2.46407756421263e-05,0.0001560203090775758
IIWA_7,1714666521.8741336,-0.45679916539967846   1.1306335426322054 0.016687074434194482  -1.2839904555396167  -1.9558833164040033  -1.8883522210444135 -0.91018570291189871,  0.0003616454733800222 -1.0390874166283443e-07  2.5607699389081873e-05 -1.7618986824243933e-05  -0.0009384820957049002  2.2688714284309501e-06  1.5271743678982667e-05, 0.11426122665405274    65.09394869995117   -1.786280689239502  -16.060679454803466  -1.0599713897705079   1.8433105201721192 -0.26399757766723631, -0.19321157090016877  -0.41666634946521874    0.4928975600985922   -2.1580898273096927 -0.068032883872864769   0.13248803207217491   0.58790153619971908,   0.5559198260307312 -0.040356438606977463   0.21377937495708466, -0.70351129770278931 -0.019179763272404671   0.01213275920599699   0.71032160520553589,-0.00014912508777342737  0.00014841917436569929 -0.00012182138743810356,-0.0075354971922934055     1.4424123764038086  0.0042876331135630608,  0.24525845050811768  0.030166439712047577  0.066138580441474915  0.030166439712047577   0.23103863000869751 -0.022239552810788155  0.066138580441474915 -0.022239552810788155    0.1884409636259079,   -1.1302472544993947   -0.36763664031891352    -1.1512692216690823    0.70383025162623625    0.55583168726958121   0.085794843110775787 2.4642451634804274e-05,0.00016854736895766109
IIWA_7,1714666521.879101,-0.45679706816841603   1.1306336025188153 0.016686954551891484  -1.2839904555396167   -1.955888014306751  -1.8883523409267164 -0.91018558302959574,   0.000373205629201311  2.3123374024021931e-06  1.5690867391352026e-05 -1.4095189459395146e-05 -0.00093870178647223511 -2.9801949761972692e-06  1.7012687062128164e-05, 0.11829397583007813   65.122177944183349  -1.7915629386901855  -16.066842079162598  -1.0590910148620605   1.8453130302429199 -0.26266257095336915, 37.968304276349627  4.1794226164953594  23.505009503075463  -9.824666665662539   1.120689753663989  2.2119786226666265 0.58780961088040784,  0.5559191107749939 -0.04035482183098793  0.21377864480018616, -0.70351225137710571 -0.019181430339813232  0.012135620228946209   0.71032059192657471,-0.00014835345791652799  0.00018352460756432265 -0.00012634717859327793,-0.0075345486402511597     1.4424127340316772  0.0042880065739154816,   0.2452581524848938  0.030166616663336754   0.06613854318857193  0.030166616663336754   0.23103897273540497 -0.022239319980144501   0.06613854318857193 -0.022239319980144501   0.18844090402126312,   -1.1302506264678769   -0.36762963994974029    -1.1512624934155724    0.70382319439410423    0.55583895152899743   0.085805898439872408 2.4644267071494141e-05,0.00018557584553491324
IIWA_7,1714666521.8841345,-0.45676776670826891   1.1306436093640817 0.016717813936562156  -1.2840175398861982  -1.9558895482766305  -1.8883286720803978 -0.91018558302959574,   0.001470622909246017  0.00040212368057869225   0.0012469280807399397  -0.0010946500148273672 -0.00081232022436033039  0.00094436969676538261  1.3610149649702532e-05,-0.10081872940063477   65.013293716430667  -2.2361522674560548  -15.730538864135742  -1.1145546340942383   1.7598726005554199 -0.26132756423950193, 37.967351580654601  4.1793437070139374  23.504786587983002 -9.8244720507776435  1.1211700827437534  2.2121668108519934 0.58773713707508224,  0.55591833591461182 -0.040353339165449142   0.21377801895141602, -0.70351314544677734 -0.019183116033673286  0.012138401158154011   0.71031957864761353,-0.00014930019096937031  0.00020613145898096263  -0.0001262824225705117,-0.0075337025336921215     1.4424134492874146  0.0042884219437837601,  0.24525785446166992  0.030166804790496826  0.066138505935668945  0.030166804790496826   0.23103928565979004 -0.022239102050662041  0.066138505935668945 -0.022239102050662041   0.18844087421894073,     -1.13025460642735   -0.36762313567795246    -1.1512566504610078    0.70381655618856342    0.55584622382554016   0.085816767734669952 2.4646053198296158e-05,0.00019697638344950974
IIWA_7,1714666521.8891349,-0.45628695958802179   1.1307304350219622 0.017213241789036327  -1.2842546477738201  -1.9558710446449667  -1.8881604735004691 -0.91018462429842095,  0.020408783137281516  0.0037947252596845704   0.020814656563558784  -0.010360035516741497 9.0289087062930991e-05   0.007483438954559064 4.9237366711071397e-05, -9.2686018562316903   61.258804233551025  -8.3133802604675289   -12.23809160232544  -1.1224780082702637   1.8927057685852051 -0.27234136962890626, 37.966953136072611  4.1792498394802253  23.504910326284691 -9.8243772770231388  1.1215737168238704  2.2122460156633568 0.58765552783512731,  0.55591762065887451 -0.040352240204811096   0.21377734839916229, -0.70351409912109375 -0.019184533506631851  0.012140967883169651   0.71031856536865234,-0.00014962062414269894   0.0002088152541546151 -0.00012793501082342118,-0.0075328834354877472     1.4424140453338623  0.0042889160104095936,  0.24525760114192963  0.030167002230882645   0.06613844633102417  0.030167002230882645   0.23103953897953033 -0.022238943725824356   0.06613844633102417 -0.022238943725824356   0.18844082951545715,   -1.1302593869357835   -0.36761812452823506    -1.1512530045418856    0.70381140754172122    0.55585298946247974   0.085826155590496001 2.4647548002576514e-05,0.00019895442528650165
IIWA_7,1714666521.8941333,-0.45576888150701372   1.1307228250591743 0.017774882524592639   -1.284470244042079  -1.9558602108627008  -1.8878718933442951 -0.91018336591603033,  0.037050149750147879  0.0027313816962306775   0.039117354673099528  -0.016911879143746963 0.00050558256028882876   0.017529957410609507 8.9725188993783011e-05, -18.502253219604491    61.27224673080444  -12.920382156372071  -11.608623542785644 -0.74831867218017578   1.6083493385314942 -0.24764374542236328, 37.938086981213445  4.1611795210128353  23.487362423825051 -9.8093144799744447  1.1279005664626172  2.2130327008640687 0.58427541205251543,  0.55591559410095215 -0.040321152657270432   0.21376928687095642, -0.70350593328475952 -0.019187582656741142  0.012158479541540146   0.71032625436782837,-0.00020059529924765229   0.0014105108566582203 -0.00042478914838284254,-0.0075319292955100536     1.4424147605895996  0.0042892741039395332,  0.24525779485702515  0.030163360759615898  0.066139303147792816  0.030163360759615898   0.23104435205459595 -0.022234395146369934  0.066139303147792816 -0.022234395146369934   0.18843705952167511,   -1.1300758365679897   -0.36750616155067917    -1.1510109304646576    0.70368358042571799    0.55584865570690312   0.085908093297781818 2.4664270625862628e-05,0.0010306648910045624
IIWA_7,1714666521.8991356,-0.45544974161738494   1.1307161738275611 0.018421910875808901  -1.2848352834730414  -1.9558606903046463  -1.8874826457602754 -0.91018264684037853,  0.042405715385269639  0.0019190560924544314   0.057175017787130099  -0.028131080553495325 0.00038528837041194755   0.029593869289275723 0.00010054317726704705,  -23.04850579071045   60.040913982391359  -14.265595016479493  -11.476567306518554   -1.149769630432129   1.6884497413635253 -0.23329242324829103, 37.460242691397006  4.0594207679525542  23.130238758153475 -9.6641336565543572  1.1735895868397968  2.2928514133513458 0.56753474390545833,  0.55592191219329834 -0.039848029613494873   0.21375317871570587, -0.70334959030151367 -0.019363043829798698  0.012389244511723518   0.71047234535217285, 8.4639083070214838e-05    0.020053520798683167 -0.00098160572815686464,-0.0075311320833861828     1.4424238204956055  0.0042897299863398075,   0.2452290803194046  0.030127085745334625  0.066164806485176086  0.030127085745334625   0.23111304640769958 -0.022164002060890198  0.066164806485176086 -0.022164002060890198   0.18840764462947845,   -1.1280449077224475   -0.36577368185852777    -1.1477016113712324    0.70199038540419423    0.55604440081413742   0.087483911856978125 2.4994029068636792e-05,0.013917902484536171
IIWA_7,1714666521.9041362,-0.45536207700154957   1.1306837565183667 0.019228988428343839  -1.2853597731301396  -1.9558490894501741  -1.8868860710598265 -0.91018216752933268,   0.03743115694163051 0.00023855250618980118   0.078023116331101594  -0.043484450726723078 0.00077226487521596583   0.047538083449373637 9.9606983647774217e-05, -21.764747303009035    59.94412800216675   -11.95461088180542  -10.741454257965088  -0.6453148078918457   1.2118523445129394 -0.26232881927490237, 37.046364441261517  4.0667237519332309  22.786283762484512 -9.6066148145402046   1.188074017507978  2.3521522219447308 0.57027538523116217,  0.55596619844436646 -0.039338838309049606    0.2137790322303772,  -0.7032281756401062 -0.019583219662308693  0.012573369778692722   0.71058326959609985, 0.0018164739012718201    0.03641258180141449 0.00025476168957538903,-0.007531964685767889    1.4425554275512695 0.0042979861609637737,  0.24517987668514252  0.030087588354945183  0.066200107336044312  0.030087588354945183   0.23118491470813751 -0.022082431241869926  0.066200107336044312 -0.022082431241869926   0.18839643895626068,   -1.1258643674096902   -0.36382455506345224     -1.144050647974737     0.7001321234891833    0.55618459778727924   0.088956452259481011 2.5298150241326312e-05,0.025270860642194748
IIWA_7,1714666521.9091358,-0.45537430096038134   1.1306580503273957 0.020335791591489922  -1.2859997906028338  -1.9558427617589711   -1.886080731091645 -0.91018228730255257,   0.029455967200033625 -0.00083740563388717847     0.10669061959072462   -0.060388259489144634  0.00087091954829324907    0.070244065486760959  7.4894658122313568e-05, -17.332755958557129   58.909055713653565   -10.96947135925293  -11.162273464202881 -0.90854690551757811   1.3717193984985352 -0.25665504074096679, 36.815232903895811  4.0125129218957154  22.543451248790674 -9.5247550345217569  1.2216243136297977  2.3771052785991027  0.5519224855423327,   0.5559801459312439 -0.038890630006790161   0.21377760171890259, -0.70309078693389893 -0.019692385569214821  0.012716598808765411   0.71071362495422363, 0.0019812944810837507   0.047062162309885025 0.00015768424782436341,-0.0075492365285754204     1.4426928758621216  0.0043184175156056881,  0.24515348672866821  0.030030572786927223  0.066229008138179779  0.030030572786927223   0.23125530779361725 -0.022006072103977203  0.066229008138179779 -0.022006072103977203   0.18837016820907593,  -1.1230461475735254  -0.36211814596764924   -1.1402289901196738   0.69833320602707971   0.55599624787827651  0.090043134282069559 2.552917610643135e-05,0.032646484673023224
IIWA_7,1714666521.9140973,-0.45533643080627156   1.1305908188265288 0.021764371073182999   -1.286813639378368  -1.9558462133220997  -1.8849201787688545 -0.91018222741594257,  0.025079579924417936 -0.0033591845417881407     0.1424956749403028  -0.080864558612685863 0.00055867311348890023    0.10261734530102647 6.2311190898024202e-05,  -15.53818257522583   59.093217926025389  -10.941299362182617   -11.07863784790039  -1.0740573883056641   1.2642513580322265 -0.25598753738403318, 36.747517301814305   3.938505007611858  22.359688730547077 -9.4541616209337977  1.2526315183490866  2.3510888178200533 0.52053878655882035,  0.55598723888397217 -0.038495216518640518   0.21375927329063416, -0.70294439792633057 -0.019680054858326912  0.012770236469805241   0.71085774898529053,  0.0018373290076851845    0.053473822772502899 -0.00058755115605890751,-0.0076089156791567802     1.4428274631500244  0.0043091350235044956,  0.24514532089233398  0.029946818947792053  0.066256783902645111  0.029946818947792053    0.2313254326581955 -0.021929031237959862  0.066256783902645111 -0.021929031237959862   0.18833410739898682,   -1.1192351923527966   -0.36057603543504513    -1.1359076536425761    0.69652203704873017    0.55531884327386649   0.090550184576265735 2.5649063317700893e-05,0.037081804126501083
