RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714666255.6806197,0.55637305974960327 0.42905962467193604 0.31867378950119019,-0.47939664125442505  0.51981323957443237  0.51519989967346191 -0.48429548740386963,0.55637305974960327 0.42905962467193604 0.31867378950119019,-0.47939664125442505  0.51981323957443237  0.51519989967346191 -0.48429548740386963
1714666255.6856189,0.55620819330215454 0.42928415536880493 0.31893426179885864,-0.47952935099601746  0.51990067958831787  0.51500016450881958 -0.48428270220756531,0.55620819330215454 0.42928415536880493 0.31893426179885864,-0.47952935099601746  0.51990067958831787  0.51500016450881958 -0.48428270220756531
1714666255.6906292,0.55635809898376465 0.42905053496360779 0.31872081756591797,-0.47941720485687256  0.51982539892196655  0.51520150899887085 -0.48426038026809692,0.55635809898376465 0.42905053496360779 0.31872081756591797,-0.47941720485687256  0.51982539892196655  0.51520150899887085 -0.48426038026809692
1714666255.6956394,0.55610930919647217  0.4294154942035675 0.31883734464645386,-0.47948792576789856  0.52003693580627441  0.51479828357696533 -0.48439201712608337,0.55610930919647217  0.4294154942035675 0.31883734464645386,-0.47948792576789856  0.52003693580627441  0.51479828357696533 -0.48439201712608337
1714666255.7006342, 0.5560920238494873  0.4294297993183136 0.31886446475982666,-0.47954115271568298  0.52003681659698486  0.51479953527450562 -0.48433813452720642, 0.5560920238494873  0.4294297993183136 0.31886446475982666,-0.47954115271568298  0.52003681659698486  0.51479953527450562 -0.48433813452720642
1714666255.7056236,0.55637335777282715 0.42907500267028809 0.31865644454956055,-0.47939038276672363  0.51982086896896362  0.51519978046417236  -0.4842936098575592,0.55637335777282715 0.42907500267028809 0.31865644454956055,-0.47939038276672363  0.51982086896896362  0.51519978046417236  -0.4842936098575592
1714666255.710623,0.55618929862976074 0.42937007546424866  0.3188742995262146,-0.47947371006011963  0.51990610361099243  0.51494145393371582 -0.48439443111419678,0.55618929862976074 0.42937007546424866  0.3188742995262146,-0.47947371006011963  0.51990610361099243  0.51494145393371582 -0.48439443111419678
1714666255.7156181,0.55642175674438477 0.42907935380935669  0.3186955451965332,-0.47938838601112366  0.51967698335647583  0.51530128717422485 -0.48434203863143921,0.55642175674438477 0.42907935380935669  0.3186955451965332,-0.47938838601112366  0.51967698335647583  0.51530128717422485 -0.48434203863143921
1714666255.7206206,0.55639517307281494 0.42919477820396423 0.31868410110473633,    -0.4793701171875  0.51969093084335327  0.51526540517807007 -0.48438331484794617,0.55639517307281494 0.42919477820396423 0.31868410110473633,    -0.4793701171875  0.51969093084335327  0.51526540517807007 -0.48438331484794617
1714666255.7256353,0.55631512403488159  0.4293493926525116 0.31854331493377686,-0.47932419180870056  0.51983290910720825  0.51507347822189331 -0.48448053002357483,0.55631512403488159  0.4293493926525116 0.31854331493377686,-0.47932419180870056  0.51983290910720825  0.51507347822189331 -0.48448053002357483
1714666255.7306268,0.55631923675537109 0.42936739325523376  0.3185679018497467,-0.47932159900665283  0.51984262466430664  0.51508373022079468 -0.48446175456047058,0.55631923675537109 0.42936739325523376  0.3185679018497467,-0.47932159900665283  0.51984262466430664  0.51508373022079468 -0.48446175456047058
1714666255.7356019,0.55637890100479126 0.42934352159500122 0.31853881478309631,-0.47925907373428345  0.51989215612411499  0.51511669158935547 -0.48443537950515747,0.55637890100479126 0.42934352159500122 0.31853881478309631,-0.47925907373428345  0.51989215612411499  0.51511669158935547 -0.48443537950515747
1714666255.7406249,0.55640131235122681 0.42933341860771179 0.31852975487709045,-0.47928658127784729  0.51994186639785767  0.51511937379837036  -0.4843519926071167,0.55640131235122681 0.42933341860771179 0.31852975487709045,-0.47928658127784729  0.51994186639785767  0.51511937379837036  -0.4843519926071167
1714666255.7456357,0.55619174242019653 0.42919930815696716  0.3191971480846405,-0.47966963052749634  0.51996159553527832  0.51507019996643066 -0.48400381207466125,0.55619174242019653 0.42919930815696716  0.3191971480846405,-0.47966963052749634  0.51996159553527832  0.51507019996643066 -0.48400381207466125
1714666255.750634,0.55640661716461182 0.42936977744102478  0.3184787929058075,-0.47924801707267761  0.52002012729644775  0.51507145166397095   -0.484357088804245,0.55640661716461182 0.42936977744102478  0.3184787929058075,-0.47924801707267761  0.52002012729644775  0.51507145166397095   -0.484357088804245
1714666255.7556069,0.55614966154098511  0.4292445182800293 0.31921359896659851,-0.47968807816505432   0.5199856162071228  0.51502960920333862 -0.48400285840034485,0.55614966154098511  0.4292445182800293 0.31921359896659851,-0.47968807816505432   0.5199856162071228  0.51502960920333862 -0.48400285840034485
1714666255.7606287,0.55611342191696167 0.42927736043930054 0.31921917200088501,-0.47970825433731079  0.51997250318527222   0.5150180459022522  -0.4840092658996582,0.55611342191696167 0.42927736043930054 0.31921917200088501,-0.47970825433731079  0.51997250318527222   0.5150180459022522  -0.4840092658996582
1714666255.7656434,0.55607837438583374 0.42929983139038086 0.31923910975456238,-0.47972041368484497  0.51996505260467529  0.51497542858123779 -0.48405057191848755,0.55607837438583374 0.42929983139038086 0.31923910975456238,-0.47972041368484497  0.51996505260467529  0.51497542858123779 -0.48405057191848755
1714666255.7706387, 0.5560992956161499 0.42928481101989746 0.31920260190963745,-0.47963130474090576  0.51997834444046021  0.51498144865036011    -0.48411825299263, 0.5560992956161499 0.42928481101989746 0.31920260190963745,-0.47963130474090576  0.51997834444046021  0.51498144865036011    -0.48411825299263
1714666255.7756219,0.55609005689620972 0.42928588390350342 0.31920647621154785,-0.47970184683799744  0.51994103193283081  0.51501196622848511 -0.48405593633651733,0.55609005689620972 0.42928588390350342 0.31920647621154785,-0.47970184683799744  0.51994103193283081  0.51501196622848511 -0.48405593633651733
1714666255.7806218,0.55610537528991699 0.42925667762756348 0.31923946738243103,-0.47972512245178223  0.51992344856262207  0.51502251625061035  -0.4840405285358429,0.55610537528991699 0.42925667762756348 0.31923946738243103,-0.47972512245178223  0.51992344856262207  0.51502251625061035  -0.4840405285358429
1714666255.7856197,0.55614101886749268 0.42922592163085938  0.3192199170589447,-0.47963240742683411  0.51994013786315918  0.51507449150085449 -0.48405918478965759,0.55614101886749268 0.42922592163085938  0.3192199170589447,-0.47963240742683411  0.51994013786315918  0.51507449150085449 -0.48405918478965759
1714666255.7906208,0.55617988109588623  0.4291996955871582 0.31922045350074768,-0.47963431477546692  0.51999384164810181  0.51507061719894409 -0.48400375247001648,0.55617988109588623  0.4291996955871582 0.31922045350074768,-0.47963431477546692  0.51999384164810181  0.51507061719894409 -0.48400375247001648
1714666255.7956245,0.55617552995681763 0.42922350764274597 0.31923624873161316,-0.47966718673706055  0.52000308036804199  0.51505625247955322 -0.48397651314735413,0.55617552995681763 0.42922350764274597 0.31923624873161316,-0.47966718673706055  0.52000308036804199  0.51505625247955322 -0.48397651314735413
1714666255.8006208,0.55616825819015503 0.42925024032592773 0.31921321153640747,-0.47966134548187256  0.51998615264892578  0.51505070924758911 -0.48400640487670898,0.55616825819015503 0.42925024032592773 0.31921321153640747,-0.47966134548187256  0.51998615264892578  0.51505070924758911 -0.48400640487670898
1714666255.8056173,0.55618280172348022 0.42926210165023804 0.31923979520797729,-0.47958949208259583  0.52004241943359375  0.51505613327026367 -0.48401132225990295,0.55618280172348022 0.42926210165023804 0.31923979520797729,-0.47958949208259583  0.52004241943359375  0.51505613327026367 -0.48401132225990295
1714666255.8106322,0.55585700273513794  0.4296952486038208 0.31942936778068542,-0.47979921102523804   0.5201910138130188  0.51460093259811401 -0.48412802815437317,0.55585700273513794  0.4296952486038208 0.31942936778068542,-0.47979921102523804   0.5201910138130188  0.51460093259811401 -0.48412802815437317
1714666255.8156254,0.55616086721420288 0.42933252453804016 0.31922054290771484, -0.4795873761177063   0.5200689435005188  0.51497805118560791 -0.48406803607940674,0.55616086721420288 0.42933252453804016 0.31922054290771484, -0.4795873761177063   0.5200689435005188  0.51497805118560791 -0.48406803607940674
1714666255.8206224,0.55617594718933105 0.42931380867958069 0.31921768188476562, -0.4795505702495575  0.52007567882537842  0.51499342918395996 -0.48408082127571106,0.55617594718933105 0.42931380867958069 0.31921768188476562, -0.4795505702495575  0.52007567882537842  0.51499342918395996 -0.48408082127571106
1714666255.8256216, 0.5561566948890686 0.42930367588996887 0.31926020979881287,-0.47962439060211182  0.52004706859588623  0.51499718427658081 -0.48403447866439819, 0.5561566948890686 0.42930367588996887 0.31926020979881287,-0.47962439060211182  0.52004706859588623  0.51499718427658081 -0.48403447866439819
1714666255.8306205,0.55582910776138306 0.42966672778129578 0.31947347521781921,-0.47979879379272461  0.52016317844390869  0.51464676856994629 -0.48410958051681519,0.55582910776138306 0.42966672778129578 0.31947347521781921,-0.47979879379272461  0.52016317844390869  0.51464676856994629 -0.48410958051681519
1714666255.8356361, 0.5561528205871582 0.42927283048629761 0.31925871968269348,-0.47966232895851135  0.52003246545791626  0.51498275995254517  -0.4840279221534729, 0.5561528205871582 0.42927283048629761 0.31925871968269348,-0.47966232895851135  0.52003246545791626  0.51498275995254517  -0.4840279221534729
1714666255.8406181,0.55611246824264526 0.42927002906799316 0.31928971409797668,-0.47968083620071411   0.5199698805809021  0.51502144336700439  -0.4840356707572937,0.55611246824264526 0.42927002906799316 0.31928971409797668,-0.47968083620071411   0.5199698805809021  0.51502144336700439  -0.4840356707572937
1714666255.8456278,0.55612170696258545 0.42927685379981995 0.31928196549415588,-0.4796862006187439 0.51997441053390503 0.51503026485443115 -0.4840160608291626,0.55612170696258545 0.42927685379981995 0.31928196549415588,-0.4796862006187439 0.51997441053390503 0.51503026485443115 -0.4840160608291626
1714666255.85059,0.55613601207733154 0.42925223708152771 0.31928050518035889, -0.4796367883682251  0.52002477645874023   0.5150189995765686 -0.48402297496795654,0.55613601207733154 0.42925223708152771 0.31928050518035889, -0.4796367883682251  0.52002477645874023   0.5150189995765686 -0.48402297496795654
1714666255.8556216,0.55611968040466309 0.42927581071853638 0.31930983066558838,-0.47964158654212952  0.52000415325164795  0.51503753662109375 -0.48402062058448792,0.55611968040466309 0.42927581071853638 0.31930983066558838,-0.47964158654212952  0.52000415325164795  0.51503753662109375 -0.48402062058448792
1714666255.8606217,0.55611032247543335 0.42931050062179565 0.31927353143692017,-0.47961151599884033  0.51999610662460327  0.51500976085662842 -0.48408856987953186,0.55611032247543335 0.42931050062179565 0.31927353143692017,-0.47961151599884033  0.51999610662460327  0.51500976085662842 -0.48408856987953186
1714666255.8656278,0.55611371994018555 0.42931291460990906 0.31927621364593506, -0.4796203076839447  0.51999783515930176  0.51501733064651489 -0.48407000303268433,0.55611371994018555 0.42931291460990906 0.31927621364593506, -0.4796203076839447  0.51999783515930176  0.51501733064651489 -0.48407000303268433
1714666255.8706524,0.55611079931259155 0.42930513620376587 0.31929883360862732,-0.47965851426124573  0.51999354362487793  0.51500099897384644 -0.48405405879020691,0.55611079931259155 0.42930513620376587 0.31929883360862732,-0.47965851426124573  0.51999354362487793  0.51500099897384644 -0.48405405879020691
1714666255.8756204,0.55611073970794678 0.42929694056510925 0.31929060816764832,-0.47969204187393188  0.51998668909072876  0.51499998569488525  -0.4840293824672699,0.55611073970794678 0.42929694056510925 0.31929060816764832,-0.47969204187393188  0.51998668909072876  0.51499998569488525  -0.4840293824672699
1714666255.8806241,0.55612021684646606  0.4292791485786438 0.31928351521492004,-0.47970372438430786  0.51998615264892578  0.51501315832138062 -0.48400431871414185,0.55612021684646606  0.4292791485786438 0.31928351521492004,-0.47970372438430786  0.51998615264892578  0.51501315832138062 -0.48400431871414185
1714666255.8855786,0.55613511800765991 0.42923650145530701 0.31929606199264526,-0.47966259717941284  0.51999020576477051  0.51504409313201904 -0.48400783538818359,0.55613511800765991 0.42923650145530701 0.31929606199264526,-0.47966259717941284  0.51999020576477051  0.51504409313201904 -0.48400783538818359
1714666255.8906193,0.55612361431121826 0.42922389507293701 0.31929540634155273,-0.47970545291900635  0.51995956897735596  0.51505333185195923 -0.48398837447166443,0.55612361431121826 0.42922389507293701 0.31929540634155273,-0.47970545291900635  0.51995956897735596  0.51505333185195923 -0.48398837447166443
1714666255.895623,0.55611705780029297 0.42919978499412537 0.31929141283035278,-0.47973737120628357  0.51996392011642456  0.51506799459457397 -0.48393645882606506,0.55611705780029297 0.42919978499412537 0.31929141283035278,-0.47973737120628357  0.51996392011642456  0.51506799459457397 -0.48393645882606506
1714666255.9006345,0.55609011650085449 0.42921274900436401 0.31929895281791687,-0.47976696491241455  0.51995742321014404  0.51504290103912354 -0.48394086956977844,0.55609011650085449 0.42921274900436401 0.31929895281791687,-0.47976696491241455  0.51995742321014404  0.51504290103912354 -0.48394086956977844
1714666255.9056084,0.55608129501342773 0.42921146750450134 0.31930193305015564,-0.47977742552757263  0.51995158195495605  0.51504480838775635 -0.48393478989601135,0.55608129501342773 0.42921146750450134 0.31930193305015564,-0.47977742552757263  0.51995158195495605  0.51504480838775635 -0.48393478989601135
1714666255.9106197,0.55608081817626953 0.42923423647880554 0.31926995515823364,-0.47975292801856995  0.51997625827789307  0.51501661539077759 -0.48396247625350952,0.55608081817626953 0.42923423647880554 0.31926995515823364,-0.47975292801856995  0.51997625827789307  0.51501661539077759 -0.48396247625350952
1714666255.9156206,0.55609738826751709 0.42922177910804749 0.31925687193870544,-0.47974121570587158  0.51997041702270508  0.51503008604049683 -0.48396608233451843,0.55609738826751709 0.42922177910804749 0.31925687193870544,-0.47974121570587158  0.51997041702270508  0.51503008604049683 -0.48396608233451843
1714666255.9206204,0.55612802505493164 0.42919385433197021 0.31926694512367249,-0.47972413897514343  0.51996314525604248  0.51505094766616821   -0.483968585729599,0.55612802505493164 0.42919385433197021 0.31926694512367249,-0.47972413897514343  0.51996314525604248  0.51505094766616821   -0.483968585729599
1714666255.9256296,0.55630552768707275 0.42914828658103943 0.31890866160392761,-0.47949257493019104   0.5200316309928894  0.51506716012954712 -0.48410722613334656,0.55630552768707275 0.42914828658103943 0.31890866160392761,-0.47949257493019104   0.5200316309928894  0.51506716012954712 -0.48410722613334656
1714666255.9306238,0.55632781982421875 0.42925703525543213 0.31879088282585144,-0.47943529486656189   0.5200425386428833  0.51505887508392334 -0.48416104912757874,0.55632781982421875 0.42925703525543213 0.31879088282585144,-0.47943529486656189   0.5200425386428833  0.51505887508392334 -0.48416104912757874
1714666255.9355776,0.55634152889251709 0.42926287651062012 0.31879910826683044,-0.47942629456520081  0.52002823352813721  0.51504600048065186 -0.48419898748397827,0.55634152889251709 0.42926287651062012 0.31879910826683044,-0.47942629456520081  0.52002823352813721  0.51504600048065186 -0.48419898748397827
1714666255.9406321,0.55632239580154419  0.4293026328086853 0.31881922483444214,-0.47945407032966614  0.52004337310791016  0.51504725217819214 -0.48415389657020569,0.55632239580154419  0.4293026328086853 0.31881922483444214,-0.47945407032966614  0.52004337310791016  0.51504725217819214 -0.48415389657020569
1714666255.9456332,0.55632376670837402 0.42930731177330017 0.31881475448608398,-0.47939276695251465  0.52006989717483521  0.51502025127410889 -0.48421484231948853,0.55632376670837402 0.42930731177330017 0.31881475448608398,-0.47939276695251465  0.52006989717483521  0.51502025127410889 -0.48421484231948853
1714666255.9506292,0.55632036924362183 0.42933043837547302   0.318805992603302, -0.4793911874294281  0.52008241415023804  0.51499950885772705 -0.48422503471374512,0.55632036924362183 0.42933043837547302   0.318805992603302, -0.4793911874294281  0.52008241415023804  0.51499950885772705 -0.48422503471374512
1714666255.9556215,0.55629473924636841 0.42936518788337708 0.31879183650016785,-0.47937506437301636  0.52010023593902588   0.5149693489074707 -0.48425394296646118,0.55629473924636841 0.42936518788337708 0.31879183650016785,-0.47937506437301636  0.52010023593902588   0.5149693489074707 -0.48425394296646118
1714666255.960639,0.55630302429199219 0.42934924364089966 0.31880262494087219,-0.47939211130142212  0.52011555433273315  0.51496022939682007 -0.48423025012016296,0.55630302429199219 0.42934924364089966 0.31880262494087219,-0.47939211130142212  0.52011555433273315  0.51496022939682007 -0.48423025012016296
1714666255.9656367,0.55631005764007568 0.42932999134063721 0.31882393360137939,-0.47938460111618042  0.52009665966033936  0.51500046253204346 -0.48421528935432434,0.55631005764007568 0.42932999134063721 0.31882393360137939,-0.47938460111618042  0.52009665966033936  0.51500046253204346 -0.48421528935432434
1714666255.9706337,0.55631279945373535 0.42931953072547913 0.31884241104125977, -0.4794253408908844  0.52010476589202881   0.5150071382522583 -0.48415905237197876,0.55631279945373535 0.42931953072547913 0.31884241104125977, -0.4794253408908844  0.52010476589202881   0.5150071382522583 -0.48415905237197876
1714666255.975637,0.55630248785018921 0.42933854460716248 0.31884977221488953,-0.47939720749855042  0.52006274461746216   0.5150107741355896 -0.48422819375991821,0.55630248785018921 0.42933854460716248 0.31884977221488953,-0.47939720749855042  0.52006274461746216   0.5150107741355896 -0.48422819375991821
1714666255.9806204,0.55633234977722168 0.42931577563285828 0.31879562139511108,  -0.479389488697052  0.52007454633712769  0.51503205299377441 -0.48420059680938721,0.55633234977722168 0.42931577563285828 0.31879562139511108,  -0.479389488697052  0.52007454633712769  0.51503205299377441 -0.48420059680938721
