DesiredFlux,0.83,HitTime,1714666303.0554242,DesiredPos, 0.53605067729949951 -0.26255303621292114  0.19767028093338013
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714666302.5323191,  0.53615972140209356    1.1417205085771396 -0.061680528632009894   -1.3694011276534785   -1.0888265620987951    1.7827891760627321  -0.59471877884512758, 1.5817062709220535e-05  -5.091275715448492e-06  1.5756587908999408e-06  -0.0016093599978014754  7.8288928989046695e-07 -1.5118769090141921e-06  3.3674969032638819e-07,0.077159957885742189   70.282433639526374   3.3606243133544922  -14.404980056762696   1.8170938110351562  -2.1657146415710451  0.32774414825439452,   6.0611160986699506    1.3988939214743428 -0.049308823154715853  -0.51219894304910651   0.83279698059294116   0.93242658903396192   0.18130339682147623, 0.54260522127151489 0.063916102051734924  0.20103329420089722,0.51502668857574463 -0.5090833306312561 0.48367533087730408 0.49156877398490906,-0.00046447900240309536 -0.00027591836987994611 -0.00018850569904316217,-0.0031760937999933958    -1.1963684558868408 -0.0016293484950438142,  0.24991032481193542 -0.021487439051270485   0.06312214583158493 -0.021487439051270485   0.23050381243228912  0.033427782356739044   0.06312214583158493  0.033427782356739044   0.18302159011363983,    0.80861708263402221    -0.64689424321784372      1.3182789409968976     0.67199492845748665    -0.10166037243930504    0.081046344018176342 -8.8817841970012523e-13,0.00039696702151559293
IIWA_14,1714666302.537291, 0.53615996105761654   1.1417205085771396  -0.0616804087497069  -1.3694101757675701  -1.0888265620987951   1.7827892958359521 -0.59471883873173759, 2.2239871086665163e-05 -4.0730205723587941e-06  6.0558191524946492e-06  -0.0016494125619022006   6.263114319123736e-07  3.5814272731353519e-06 -2.1260646479122422e-06,0.14145992279052735  70.282433639526374  3.3646570625305174 -14.391537559509278  1.8188545608520508 -2.1647133865356447 0.32907915496826173,   6.0611017487388192    1.3977484767689303 -0.049621251500991281  -0.51102672125164506   0.83227567004817016    0.9321513486933084   0.18166549300329693, 0.54260271787643433 0.063914738595485687  0.20103219151496887, 0.51502728462219238 -0.50908076763153076  0.48367440700531006  0.49157166481018066,-0.00047210621414706111 -0.00027503256569616497 -0.00019490580598358065,-0.0031738383695483208     -1.196368932723999 -0.0016282849246636033,  0.24991121888160706 -0.021487021818757057  0.063121728599071503 -0.021487021818757057     0.230504110455513  0.033427700400352478  0.063121728599071503  0.033427700400352478   0.18302059173583984, 0.80859933653432137  -0.6468911980315184   1.3182667374129764  0.67198671667600962 -0.10165744315226988 0.081039630576817956                    0,0.00040245131822302938
IIWA_14,1714666302.542321, 0.53616020071313941   1.1417205085771396  -0.0616804087497069  -1.3694189841170556  -1.0888265620987951   1.7827891760627321 -0.59471865896282461, 2.7378117784179973e-05 -3.2584164578870357e-06  4.8446553219957198e-06  -0.0016718640289448967  5.0104914552989886e-07 -1.9257869818384236e-06  5.4899048007855885e-06,0.14660391998291017  70.274717643737802  3.3673455619812014 -14.374062313079834  1.8126919364929199 -2.1667158966064455  0.3287454032897949, -44.188755947465246   7.4684144697146646  -33.050831700173923  -15.169834369452019 -0.75682473421248631   1.5740254461732035  0.18211758924781074, 0.54260015487670898 0.063913449645042419  0.20103119313716888, 0.51502805948257446 -0.50907796621322632  0.48367348313331604  0.49157467484474182,-0.00048010775935836136 -0.00027174511342309415 -0.00019556877668946981,-0.0031715515069663525    -1.1963694095611572 -0.0016272632637992501,  0.24991211295127869 -0.021486587822437286  0.063121296465396881 -0.021486587822437286   0.23050439357757568  0.033427633345127106  0.063121296465396881  0.033427633345127106   0.18301957845687866,   0.80858096858715811   -0.64688867146678319     1.3182545939383061    0.67197873072721848   -0.10165384997584681   0.081033008219932867 2.6645352591003757e-12,0.00040607090340927243
IIWA_14,1714666302.5473201, 0.53615013398126321   1.1417233847706638 -0.06169640763754454  -1.3694435518079391  -1.0888296300385543   1.7827921121428663 -0.59471865896282461,-0.00038076678082071808   0.0001124410078031776 -0.00063607978924800019  -0.0023201988584933939 -0.00012231675104866065  0.00011590257577974894  4.3919238406284708e-06,0.32921582031250002  70.223277671813975  3.6093105125427245 -14.149572608947754  1.8487873077392578 -2.1770621986389158  0.3310816650390625, -44.188495524080139   7.4676825987011064  -33.050916524617207  -15.169076677621845 -0.75692841781870079   1.5736937283274419  0.18261580837168478, 0.54259741306304932 0.063912041485309601  0.20103009045124054, 0.51502883434295654 -0.50907498598098755  0.48367249965667725  0.49157792329788208,-0.00049366301391273737 -0.00027382411644794047 -0.00020088821474928409,-0.0031690541654825211     -1.196370005607605 -0.0016260701231658459,  0.24991308152675629 -0.021486131474375725  0.063120834529399872 -0.021486131474375725   0.23050469160079956  0.033427566289901733  0.063120834529399872  0.033427566289901733   0.18301850557327271,   0.80856162424858269   -0.64688591730721612     1.3182419416608582    0.67197022421439101    -0.1016502203485814   0.081025738192685992 1.7763568394002505e-12,0.00041570118628442287
IIWA_14,1714666302.5523179,  0.53593286001526086    1.1417597568868598 -0.062090748637737073   -1.3698226727734726   -1.0888790050540273    1.7828418467179818  -0.59471895861404056,  -0.008995572064750634   0.0015448374540827021   -0.016282503839099717   -0.017020997708134596  -0.0020728540197623457   0.0020821050652473898 -8.4725095655546343e-06, 10.159394454956056  66.815379531860358  10.755342052459717 -8.0829735984802245  1.7880414390563966 -2.6159456558227538 0.36645934295654298, -44.188265579761783   7.4671172301151723  -33.050959300483726  -15.168512213063456 -0.75697829547926143   1.5734411885778918  0.18302194312943554,  0.5425947904586792 0.063910633325576782  0.20102898776531219, 0.51502960920333862 -0.50907218456268311  0.48367157578468323  0.49158096313476562,  -0.000499952700920403 -0.00027540198061615229   -0.000204845578991808,-0.0031665281858295202    -1.1963704824447632  -0.001624927157536149,  0.24991400539875031 -0.021485676988959312  0.063120394945144653 -0.021485676988959312   0.23050500452518463  0.033427484333515167  0.063120394945144653  0.033427484333515167   0.18301744759082794,    0.80854234625160615    -0.64688285571445903      1.3182288465660719     0.67196158471904965     -0.1016466361170032    0.081018898903550962 -1.7763568394002505e-12,0.00042071979260072112
IIWA_14,1714666302.5573168,  0.53583273178507085    1.1417398630786302 -0.062477539452668561   -1.3701537369707171   -1.0889516774224877    1.7828346561796298  -0.59471835931160866, -0.011201586859400941 0.00044011763408044469  -0.028497635668539308  -0.026859366056287297 -0.0045651779542224234  0.0013780625181148962 1.7194089623671116e-05, 15.218515693664552  65.092140472412112   12.42624446105957 -7.4699957237243648  1.3408109855651855 -2.6276269645690919 0.31272532272338865, -44.167492142492087   7.4607122142807976  -33.034721287597989  -15.157696773056637 -0.75827540114799996   1.5674657012861848  0.18478937159393893, 0.54258954524993896 0.063894994556903839  0.20102871954441071, 0.51502162218093872 -0.50906550884246826  0.48367094993591309  0.49159687757492065,-0.00061032018857076764 -0.00084577529923990369 -0.00017463286349084228,-0.0031638182699680328    -1.1963708400726318 -0.0016236836090683937,  0.24991524219512939 -0.021484017372131348  0.063120387494564056 -0.021484017372131348     0.230507493019104   0.03342558816075325  0.063120387494564056   0.03342558816075325   0.18301421403884888,    0.8084623882380626   -0.64682138286276114     1.3181245305382561    0.67189295238989644   -0.10164388055322604   0.080952415800084054 1.7763568394002505e-12,0.00073365616844967008
IIWA_14,1714666302.5623209, 0.53579845690013717   1.1417308749602317 -0.06301814787990756  -1.3706181856653008  -1.0890203229672979   1.7828754025272637 -0.59471590254252038,  -0.01033226488486806 -7.430628673454876e-06  -0.044422445624391411  -0.040065440628379037 -0.0063979641557871704  0.0027323039198502196 0.00011202603523002001, 15.532299522399903  65.092140472412112  12.379195720672607 -8.2953650550842291  1.8452658081054687 -2.4751024475097658  0.3097215576171875, -43.705403210614783   7.3410182158134889  -32.657557537878368  -14.932604677425321 -0.78767370014699956   1.4387438085532618  0.21330666153294819, 0.54252797365188599 0.063569113612174988  0.20105952024459839,   0.514820396900177 -0.50898438692092896   0.4836793839931488  0.49188321828842163,-0.002954104682430625 -0.013710142113268375 0.0010950287105515599,-0.0031612266320735216    -1.1963748931884766 -0.0016224709106609225,  0.24991942942142487 -0.021456426009535789  0.063131742179393768 -0.021456426009535789   0.23055867850780487  0.033381946384906769  0.063131742179393768  0.033381946384906769   0.18296633660793304,    0.80706582887302147     -0.6454583323911578      1.3159590813813793     0.67048704610073173    -0.10167105204050841    0.079603919291848513 -8.8817841970012523e-13,0.0097587797790765762
IIWA_14,1714666302.5673187,  0.53577748447842977    1.1417281185399275 -0.063767042045667244   -1.3712958935231916   -1.0890927077054975    1.7829098571811106  -0.59471650184495228,  -0.009104708776190417 -0.00011620131510790442   -0.065493723129900483   -0.059160666818334665  -0.0080137608526134746   0.0035640292897554807  6.5648730907901185e-05, 15.064195777893067  64.191940963745125  11.153239971160888 -8.6058867416381837  1.6621478271484376  -2.392665782928467 0.34109421539306639, -43.464971425856795    7.297231148323899  -32.414455629493496   -14.81870176198176 -0.78818054977183594   1.3594399792948915   0.2267298970639533,0.54249173402786255 0.06332281231880188 0.20111474394798279, 0.51466304063796997 -0.50890469551086426  0.48373100161552429  0.49207958579063416,-0.0038198779802769423  -0.020818302407860756  0.0030899588018655777,-0.0031566566321998835    -1.1964561939239502 -0.0016212955815717578,  0.24991834163665771 -0.021430019289255142   0.06314394623041153 -0.021430019289255142   0.23060071468353271  0.033345304429531097   0.06314394623041153  0.033345304429531097   0.18293213844299316,    0.80577879764476279    -0.64440975113022603      1.3140677557137437     0.66937956069068605    -0.10153711009586175    0.078595663604019705 -2.6645352591003757e-12,0.014837821945548058
IIWA_14,1714666302.5723205, 0.53575567320785067   1.1417139772278293 -0.06476730540253306   -1.372168644761153  -1.0892099613681074   1.7829426939147406 -0.59471632207603931, -0.0081562178441162286 -0.00065861353601447093   -0.092405512778553023   -0.082238582973122837   -0.011101155186488808   0.0041646927770032103  5.9709741245436335e-05, 14.176856262207032  62.877649681091313  11.739332851409912 -7.4995692176818851  1.5424168395996094  -2.316570400238037 0.33775669860839841, -43.222652711589575   7.2316942556991197  -32.130567534176194  -14.671689555472543 -0.79454187076156768   1.2533215483103199  0.25212737739908953,0.54241847991943359 0.06303386390209198 0.20118820667266846, 0.51445358991622925 -0.50876522064208984  0.48381790518760681  0.49235725402832031,-0.0059951012954115868  -0.028208028525114059   0.005420866422355175,-0.0031082623172551394    -1.1965229511260986 -0.0016263953875750303,  0.24992334842681885 -0.021392596885561943  0.063156202435493469 -0.021392596885561943   0.23065555095672607  0.033301863819360733  0.063156202435493469  0.033301863819360733   0.18288151919841766,   0.80398931853675748   -0.64323055544779351     1.3116233523691179    0.66808082739022723   -0.10125354831735933   0.077198045430826312 1.7763568394002505e-12,0.020353076979517937
IIWA_14,1714666302.5773208,  0.5357260122098777   1.1416909674614695 -0.06598130734283511   -1.373186584812683  -1.0893699747247267   1.7829505436421345  -0.5947156030003875,-0.0077114141942117411 -0.0014472814832046652   -0.12248448783492445   -0.10650846843969818  -0.015281458413963209  0.0036457433173574315 7.6530819068369716e-05, 15.012755805969238  63.088553565979005  12.271655742645263 -7.7361571693420412  1.7906825637817383 -2.5048063468933104 0.32540788650512698, -42.896953893252658   7.1220610591251319  -31.758896126590233  -14.459353214638707 -0.81247202631826543   1.1144324798541116  0.29444597442175086, 0.54230213165283203 0.062641628086566925  0.20127417147159576, 0.51418167352676392 -0.50855785608291626   0.4839281439781189  0.49274709820747375,-0.009468376636505127 -0.038247991353273392 0.0077974097803235054,-0.0030882232822477818    -1.1966103315353394 -0.0016514789313077927, 0.24993604421615601 -0.02133810892701149 0.063170097768306732 -0.02133810892701149  0.23073200881481171 0.033241432160139084 0.063170097768306732 0.033241432160139084  0.18280589580535889,   0.80140995167088391   -0.64161948002627867     1.3081681139359702    0.66627386263284905   -0.10084181199587761    0.07529544649997888 1.7763568394002505e-12,0.027857672423124313
