DesiredFlux,0.71,HitTime,1714665986.2240446,DesiredPos,0.55335515737533569 0.32056981325149536 0.21880927681922913
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714665985.6520927,-0.45588632700312504   1.1102148201941437 0.016682580320453676  -1.3098063934685571   -1.954195745856544  -1.8740981840203856 -0.91665556645421009, 0.00090588598477025226 -8.5983591666008251e-06   3.541601894431213e-06  1.9669508657165716e-06 -2.5373179558239181e-06  1.6983060448763328e-05  0.00016208602768356283,-0.20970295715332032   64.417791088104252  -1.8487873077392578   -16.07916732788086  -1.1673771286010741   1.8102691040039063 -0.25532003402709963, 0.09456072435245777  0.41674068121245661  0.70483960372708654 -0.89562197154848622  0.68369511724992804   1.0889062911587564  0.70571466648819503,   0.5535767674446106 -0.037427619099617004   0.21790105104446411, -0.70633429288864136 -0.016882393509149551 0.0082268975675106049   0.70762926340103149,5.4001018725102767e-05 0.00076208868995308876 2.2229692149267066e-06,-1.0735032446973491e-05      1.0248031616210938  4.4020569475833327e-05,  0.24581520259380341  0.029288517311215401  0.065849125385284424  0.029288517311215401    0.2315325140953064 -0.021852705627679825  0.065849125385284424 -0.021852705627679825   0.18839244544506073,   -1.0926953118906013   -0.35922371006158471    -1.1342264176095185    0.66437959127529922    0.53675060990432399   0.064808943275096453 1.9753345625872498e-05,0.00052931334357708693
IIWA_7,1714665985.6571598,-0.45588614723421211   1.1102147003118408 0.016682640316146712  -1.3098062736953373   -1.954195745856544  -1.8740983037936056 -0.91665454772734234, 0.00073189954433309677 -1.1673979452222691e-05  5.2331092369504268e-06  6.3644894840381785e-06 -2.0298543646591347e-06  8.7955195586639577e-06  0.00017041789685692831,-0.22986670303344728   64.412414089202883  -1.8540695571899415  -16.085329952239992  -1.1647360038757324   1.8092678489685059 -0.25565378570556641, 0.13063528696132681  0.45423398611020321   0.7141358262450046 -0.94117114239366273  0.65933056025120806   1.0809779035288583  0.70555087557398599,   0.5535767674446106 -0.037427417933940887   0.21790112555027008, -0.70633423328399658  -0.01688217930495739 0.0082273446023464203   0.70762932300567627,4.2636955186026171e-05 0.00061770313186571002  4.795591848960612e-06,-1.0741804544522893e-05      1.0248031616210938    4.40275325672701e-05,  0.24581518769264221  0.029288521036505699  0.065849132835865021  0.029288521036505699   0.23153254389762878 -0.021852681413292885  0.065849132835865021 -0.021852681413292885   0.18839244544506073,   -1.0926952178866856   -0.35922301621127417    -1.1342257143205359    0.66437879624903218    0.53675089845750534   0.064809694380052463 1.9753395363864001e-05,0.00042898571700789034
IIWA_7,1714665985.6621296,-0.45588572770069313   1.1102147003118408 0.016682700202756671  -1.3098063335819472   -1.954195745856544  -1.8740983037936056 -0.91665358899616756, 0.00060230097622569734 -9.3391835617781534e-06  6.5819517879295818e-06  2.6961271914980829e-06 -1.6238834917273078e-06  7.0364156469311665e-06  0.00017468356447685203,-0.21911270523071288   64.423168087005621  -1.8531891822814941  -16.088851451873779  -1.1779416275024415   1.8099353523254393 -0.25431877899169919, 26.594571466339261  3.2654400206488785  17.082308622905554 -7.3263173023214359 0.91890606716736167   1.473587147216495 0.70537670479786452,  0.55357682704925537 -0.037427220493555069    0.2179010808467865, -0.70633441209793091 -0.016881838440895081 0.0082278326153755188   0.70762914419174194,3.7595880712615326e-05 0.00050204800209030509 1.9607937247201335e-06,-1.0740810466813855e-05      1.0248031616210938  4.4019128836225718e-05,  0.24581515789031982  0.029288517311215401  0.065849147737026215  0.029288517311215401   0.23153255879878998 -0.021852651610970497  0.065849147737026215 -0.021852651610970497   0.18839246034622192,   -1.0926949264877805   -0.35922215739958574    -1.1342247150425422    0.66437804948815682    0.53675103188499662   0.064809793699716067 1.9753271907063663e-05,0.00034880335442721844
IIWA_7,1714665985.6671679,-0.45588458920060543   1.1102149400764467 0.016682700202756671  -1.3098063335819472  -1.9541954582262833  -1.8740981840203856 -0.91665263026499277,0.00052738078448876218  2.119237388461536e-06 5.2655614303436659e-06 2.1569017531984665e-06 1.0206103635426409e-05  1.042006131789164e-05   0.000178096098572791, -0.2110472068786621   64.437954833984378  -1.8593518066406249  -16.083569202423096  -1.1814631271362304   1.8109366073608399 -0.25365127563476564, 26.599290974322845  3.2656899326981583  17.084527388580728 -7.3268982814349641 0.91883925404812727  1.4731482583854394 0.70516961022072355,  0.55357688665390015 -0.037426862865686417   0.21790118515491486, -0.70633435249328613 -0.016881469637155533 0.0082287155091762543   0.70762920379638672, 2.544869676057715e-05 0.00033485196763649583 4.9583131840336137e-06,-1.0739960089267697e-05      1.0248031616210938  4.4012027501594275e-05,  0.24581508338451385  0.029288535937666893  0.065849170088768005  0.029288535937666893   0.23153260350227356 -0.021852603182196617  0.065849170088768005 -0.021852603182196617   0.18839249014854431,   -1.0926952670162748   -0.35922083265660376    -1.1342235122837607    0.66437700250521203    0.53675180522372301    0.06481138065073111 1.9753384705722965e-05,0.00023268513905350119
IIWA_7,1714665985.6721294,-0.45585606681180318   1.1102209921147113 0.016713559587427339  -1.3098321595461382  -1.9541949787843378  -1.8740939295621679 -0.91665131199599215, 0.0015628001796807478 0.00024377692049224196  0.0012385878359709942 -0.0010313130462368072  2.734256072745663e-05 0.00017851437776322755 0.00019520763888333204, -0.3817669219970703   64.396283092498777  -2.3250701332092283  -15.749026737213134  -1.1990706253051757   1.7955840301513672 -0.25899130249023439, 26.600444859076205  3.2654855306757531  17.085177948769889 -7.3269273548210681 0.91885284044783599  1.4729859174850732 0.70506924407835614,  0.55357694625854492 -0.037426218390464783    0.2179010808467865, -0.70633429288864136 -0.016881383955478668 0.0082294000312685966   0.70762926340103149, 2.3687829525442794e-05  0.00029370104311965406 -2.6029351829492953e-07,-1.0739960089267697e-05      1.0248031616210938  4.4012027501594275e-05,  0.24581505358219147  0.029288522899150848  0.065849192440509796  0.029288522899150848   0.23153266310691833 -0.021852530539035797  0.065849192440509796 -0.021852530539035797   0.18839246034622192,   -1.0926942314952726   -0.35921859457044292    -1.1342206959081835    0.66437495091076215    0.53675247649920266   0.064813275750807975 1.9753660041033072e-05,0.00020414155733305961
IIWA_7,1714665985.6771286,-0.45540354242483538   1.1102693484251331 0.017202276321678357  -1.3100185142408598  -1.9541900892444382  -1.8740629504042772 -0.91664819614694504,  0.019351215622456633  0.0021292739532690753   0.020539539638817505 -0.0082792382258539757  0.0002174556445672822  0.0013819778178402848 0.00028080007299100072, -9.1489636306762687   61.549162174224854  -8.4577617454528813  -12.755752048492431  -1.0899041366577149   2.0485678024291993 -0.28035140991210938, 26.570995273858458  3.2540750082256316  17.063552709225384 -7.3118274712749907 0.92421948771379003  1.4805587083491702 0.70227493008383002,  0.55357301235198975 -0.037396006286144257   0.21789902448654175, -0.70632129907608032   -0.0168893001973629 0.0082493415102362633   0.70764178037643433,-0.00013837416190654039   0.0014433867763727903 -8.2368962466716766e-05,-1.0743530765466858e-05      1.0248032808303833  4.4016989704687148e-05,  0.24581463634967804  0.029286190867424011  0.065850108861923218  0.029286190867424011   0.23153722286224365 -0.021848423406481743  0.065850108861923218 -0.021848423406481743   0.18838915228843689,   -1.0925641789176765   -0.35911662919740905    -1.1340190054092147     0.6642655639135242    0.53676955613024546    0.06492927199897025 1.9777725235314847e-05,0.0010061995126307011
IIWA_7,1714665985.6821284,-0.45491332776175386   1.1102564653863425 0.017736053639308132  -1.3101483034690229   -1.954180693613476  -1.8739983554414117 -0.91664244375989667,  0.035089559021226222  0.0011880976109890026   0.037782724416245042  -0.011814959707206814 0.00054978975413938675  0.0036893807688915458 0.00045473554032733415, -17.693014884948731   61.902699851989745  -12.941511154174805  -13.257565746307373 -0.92615440368652346   1.7451875267028809 -0.21593733596801759, 26.570995273858458  3.2540750082256316  17.063552709225384 -7.3118274712749907 0.92421948771379003  1.4805587083491702 0.70227493008383002,  0.55357301235198975 -0.037396006286144257   0.21789902448654175, -0.70632129907608032   -0.0168893001973629 0.0082493415102362633   0.70764178037643433,-0.00013837416190654039   0.0014433867763727903 -8.2368962466716766e-05,-1.0745462532213423e-05      1.0248094797134399  4.4008014810970053e-05,  0.24581463634967804  0.029286190867424011  0.065850108861923218  0.029286190867424011   0.23153722286224365 -0.021848423406481743  0.065850108861923218 -0.021848423406481743   0.18838915228843689,   -1.0925641789176765   -0.35911662919740905    -1.1340190054092147     0.6642655639135242    0.53676955613024546    0.06492927199897025 1.9777725235314847e-05,0.0010061995126307011
IIWA_7,1714665985.6871333,-0.45458915445164538   1.1102635960380847 0.018355398341510804  -1.3104172294724903  -1.9541817483159429  -1.8739724095949177 -0.91663860872611458,  0.041038579621320084  0.0012357041584784853   0.054999967621102909  -0.020209007904461278 0.00039764370463477743  0.0039893384748715451 0.00051718978354570015, -21.752649055480958   61.537063926696774  -14.111529407501221  -12.761914672851562  -1.1708986282348632   2.0786054534912108 -0.21627108764648437, 26.106775910890303  3.2277369940357445  16.681221167322089 -7.1918386233530542 0.95477915199607488  1.6020994323420157 0.69626964615412335,  0.55357068777084351 -0.036949608474969864    0.2179320752620697, -0.70614808797836304 -0.017113767564296722 0.0084821730852127075   0.70780652761459351,-0.00021124517661519349     0.01900995709002018   0.0012577594025060534,-1.057131612469675e-05     1.0248094797134399 4.4169588363729417e-05,  0.24577720463275909   0.02926245704293251  0.065876655280590057   0.02926245704293251   0.23160074651241302 -0.021782509982585907  0.065876655280590057 -0.021782509982585907    0.1883692592382431,   -1.0910786188897958   -0.35751498765801415    -1.1311360717822794    0.66280745187086154    0.53715453120162238   0.066695708011543786 2.0145595414078343e-05,0.013198814354836941
IIWA_7,1714665985.6921306,-0.45445055687399682   1.1102531697683826 0.019146896539727051  -1.3107875419794552  -1.9541727361338175  -1.8739400521723335 -0.91663471391480567,  0.038374766802998395 0.00057151253870093644   0.075659902025532216  -0.030979706602167173 0.00067860224872607364  0.0044857676832663661 0.00056954427919308917, -20.608692539215088   61.127067760467533  -12.116599864959717  -12.171183109283447 -0.83547578811645506   1.7515288085937499 -0.25565378570556641, 25.703740358373182  3.2918095800458733  16.317693276282075 -7.1483095962315302 0.95434726942065717  1.7128173219335103 0.70864919160897866,    0.553600013256073 -0.036477465182542801   0.21800850331783295, -0.70598882436752319 -0.017393164336681366 0.0086834914982318878   0.70795613527297974,0.00098221690859645605    0.03409307450056076  0.0040683755651116371,-1.0572207429504488e-05      1.0248959064483643  4.4173313654027879e-05,  0.24572087824344635  0.029240595176815987  0.065911866724491119  0.029240595176815987   0.23166567087173462 -0.021709157153964043  0.065911866724491119 -0.021709157153964043   0.18836566805839539,   -1.089650595197611  -0.35576404154991081   -1.1281012127977164   0.66129370554257605   0.53756814799932329  0.068481689489807707 2.051577396855464e-05,0.023793336004018784
IIWA_7,1714665985.6971254,-0.45438608179343426   1.1102515518481659 0.020207620283543528  -1.3112254455251129  -1.9541686134915912   -1.873918959868323 -0.91663189760789143,  0.033278816664901317  0.0003924932222931516    0.10295687137308485  -0.042299907108039637 0.00070778748803155731   0.004432306307032445 0.00056828769992378516, -16.733220581054688   61.066576522827148  -11.112092094421387  -12.382473087310791 -0.95256565093994139   1.8416417617797851 -0.26366382598876953, 25.443875424697094  3.2908604093117648  16.026868332470094 -7.0562368314546156 0.97679620662087574  1.8250723929605452 0.69881571655573482,  0.55358099937438965 -0.036048490554094315   0.21807470917701721, -0.70577239990234375 -0.017600452527403831 0.0088896751403808594   0.70816415548324585,-1.4979852949181804e-06    0.044430449604988098   0.0059124138206243515,-1.0091051990457345e-05      1.0249841213226318  4.1070241422858089e-05,   0.2456851452589035  0.029209120199084282  0.065940216183662415  0.029209120199084282   0.23173172771930695 -0.021641967818140984  0.065940216183662415 -0.021641967818140984   0.18834392726421356,   -1.0878559199269944   -0.35423547589630289    -1.1250156659672328    0.65987175669235398    0.53782978078853461   0.070235592236400635 2.0891884666696114e-05,0.031045269221067429
