DesiredFlux,0.76,HitTime,1714666127.8690386,DesiredPos,0.53076344728469849 0.31723976135253906  0.2185056209564209
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714666127.335449,-0.47419750361012886   1.0308853033453123 0.017768411061892402  -1.4465109862468366  -1.9744059426605791  -1.8152652870357078 -0.95670558771233871,-6.6868510418110404e-05 -6.2685175956304974e-05 -4.3230086401736349e-05  -0.0025955705752415208  7.9455834064318267e-06  2.0230639887464943e-06 -4.0865650925078547e-06, -0.4839299011230469   61.363655712127688  -1.9438677978515624  -14.697859096527099  -1.2642183685302735   1.7645451240539551 -0.15519453048706056,-0.17171906599444853    1.861418071209904  0.76797792310191637 -0.20607793431876395  0.92899033824342203 -0.20832652385163938 -0.17030189154197461,  0.52755308151245117 -0.032079603523015976   0.22361540794372559,  -0.71789556741714478 0.00094394088955596089  0.0016866300720721483     0.6961480975151062,-0.00070374633651226759  0.00051197368884459138 -0.00035896158078685403, 0.0011471281759440899     1.1003867387771606 -0.0018322070827707648,  0.25154772400856018  0.024940976873040199  0.062404386699199677  0.024940976873040199    0.2338801771402359 -0.021605001762509346  0.062404386699199677 -0.021605001762509346   0.18351392447948456,  -0.91204749456519352   -0.36207336307736426    -1.0630720035562646    0.52044120437511054    0.45918151235646576  -0.015144815619372309 1.9214088098351567e-06,0.00065019004978239536
IIWA_7,1714666127.3404441,-0.47420091911039192   1.0308848839208764 0.017768111410676451  -1.4465248880124948  -1.9744059426605791  -1.8152650473801848 -0.95670558771233871,-0.00019011481885688081 -6.6925118199007209e-05 -4.6570117759446491e-05  -0.0026325270865206708  6.3564667251454613e-06  1.1204672110285931e-05 -3.2692520740062839e-06,-0.51888039398193364   61.248050235748288  -1.9553126716613769  -14.654720726013183   -1.265979118347168   1.7592050971984863 -0.15686328887939452,  28.916623473993553   3.4745377907694053   21.112428917241328  -8.6220264149229884       1.124783148671  -1.4651426073348091 -0.17184519030494663,  0.52754473686218262 -0.032079502940177917   0.22361209988594055,  -0.71789151430130005 0.00095479626907035708  0.0016928841359913349    0.69615226984024048,-0.00074848870281130075  0.00032944142003543675 -0.00034754292573779821, 0.0011487430892884731     1.1003869771957397 -0.0018316168570891023,  0.25155070424079895  0.024939872324466705  0.062402844429016113  0.024939872324466705   0.23388056457042694 -0.021605551242828369  0.062402844429016113 -0.021605551242828369   0.18351082503795624,  -0.91200421503323525   -0.36208651765878841    -1.0630614923892168    0.52042862930878897    0.45916803742862555   -0.01514257715395928 1.9229000614018332e-06,0.00061370222829282284
IIWA_7,1714666127.3454711,-0.47420283657274137   1.0308845243830504 0.017768111410676451  -1.4465389694379829  -1.9744058468420032  -1.8152651671534046 -0.95670558771233871,-0.00022879034906368251 -6.7921607597436532e-05 -3.7256094207557198e-05  -0.0026692786887400699  8.9179164186173759e-06   4.172808896763824e-06 -2.6154016592050275e-06,-0.54979813766479491   61.128412010192868  -1.9570734214782715  -14.640634727478027  -1.2642183685302735   1.7585375938415528 -0.15753079223632813,  28.916623473993553   3.4745377907694053   21.112428917241328  -8.6220264149229884       1.124783148671  -1.4651426073348091 -0.17184519030494663,  0.52754473686218262 -0.032079502940177917   0.22361209988594055,  -0.71789151430130005 0.00095479626907035708  0.0016928841359913349    0.69615226984024048,-0.00074848870281130075  0.00032944142003543675 -0.00034754292573779821, 0.0011505092261359096     1.1003873348236084 -0.0018312110332772136,  0.25155070424079895  0.024939872324466705  0.062402844429016113  0.024939872324466705   0.23388056457042694 -0.021605551242828369  0.062402844429016113 -0.021605551242828369   0.18351082503795624,  -0.91200421503323525   -0.36208651765878841    -1.0630614923892168    0.52042862930878897    0.45916803742862555   -0.01514257715395928 1.9229000614018332e-06,0.00061370222829282284
IIWA_7,1714666127.3504453,-0.47417665096164141   1.0308869811521388 0.017799030791040157  -1.4465813935924434  -1.9744052715814817  -1.8152795482301087 -0.95670552782572882,0.00086439216474746661 4.3933477457574766e-05  0.0012069703391822178 -0.0038323891294136888  3.014475399251041e-05 -0.0005719048210486204 3.0314306836843864e-07,-0.73530459976196294   61.018183532714843  -2.4087057495117188  -14.313135261535644  -1.2835866165161132   1.8186128959655761 -0.15953330230712889,  28.886479278847716   3.4655744219967182   21.086345651382683  -8.6014908857073742   1.1302802286599947  -1.4490599365745178 -0.17637028480776998,  0.52752500772476196 -0.032046899199485779   0.22360959649085999,  -0.71786791086196899 0.00095677434001117945  0.0017275557620450854    0.69617652893066406, -0.0010823201155290008    0.001462548621930182 -0.00023649192007724196, 0.0011522567365318537     1.1003875732421875 -0.0018308245344087481, 0.25155442953109741 0.024937264621257782 0.062401257455348969 0.024937264621257782  0.23388539254665375 -0.02160228043794632 0.062401257455348969 -0.02160228043794632  0.18350282311439514,  -0.91187122191183079     -0.362003313767012    -1.0628826235814515    0.52031239546135311     0.4591987400646147   -0.01497826962992832 1.9582913068916241e-06,0.0012672045268118382
IIWA_7,1714666127.3554468,-0.47374186337411389    1.030901002691017 0.018307521451217799  -1.4468910659435448  -1.9743984646228661  -1.8153753621154709 -0.95670558771233871,   0.018083017232898721  0.00059600833709386051    0.021305202678451457   -0.015452805347585082  0.00029639414782029497  -0.0042900792713258008 -2.1529499410377099e-06, -9.2484381103515627   59.118758670806884  -9.2201664161682135  -10.051240329742431 -0.97809652328491214   2.1830697288513186 -0.24797749710083009,  28.886488341216715   3.4655566378883309   21.086358873078989  -8.6014645463099768   1.1302988218597825  -1.4490520861626577 -0.17637028480776998,  0.52752500772476196 -0.032046899199485779   0.22360959649085999,  -0.71786791086196899 0.00095677434001117945  0.0017275557620450854    0.69617652893066406, -0.0010823201155290008    0.001462548621930182 -0.00023649192007724196,0.0011538389371708035    1.1003879308700562 -0.001830563647672534, 0.25155442953109741 0.024937264621257782 0.062401257455348969 0.024937264621257782  0.23388539254665375 -0.02160228043794632 0.062401257455348969 -0.02160228043794632  0.18350282311439514,  -0.91187122191183079     -0.362003313767012    -1.0628826235814515    0.52031239546135311     0.4591987400646147   -0.01497826962992832 1.9582913068916241e-06,0.0012672045268118382
IIWA_7,1714666127.3604724,-0.47330989198441759   1.0308698437642136 0.018834527654931384  -1.4471341659828212  -1.9743822618587552  -1.8154192843078452  -0.9567024718632916,   0.031745269374171228 -0.00076955040246040715    0.038124410291304534   -0.022086245849124529   0.0008852258826902706  -0.0051889511120309286   0.0001229116019315049,  -17.20505223464966   58.047391639709474  -13.607954959869385  -10.450050163269044 -0.87157115936279295   1.9694686546325684 -0.13984195327758789,   28.41325065551754   3.4399610351052625   20.662014945190226   -8.416042670161076   1.1821913906116708  -1.2558003875960828 -0.19005567487853095,  0.52746772766113281 -0.031587462872266769   0.22367027401924133,  -0.71765381097793579 0.00071823707548901439  0.0020214400719851255    0.69639670848846436,-0.0031661835964769125   0.019544495269656181  0.0022410221863538027, 0.0011554172961041331      1.100394606590271 -0.0018300891388207674,  0.25152686238288879   0.02492191269993782   0.06242210790514946   0.02492191269993782   0.23394548892974854 -0.021537406370043755   0.06242210790514946 -0.021537406370043755   0.18347260355949402,  -0.91084051475309735   -0.36044257684153536    -1.0603648587492742    0.51891221652677899    0.45984809754617828  -0.012885519939942469 2.3868791387826604e-06,0.01376080047339201
IIWA_7,1714666127.365448,-0.47303844921616883   1.0308589979609923 0.019402220428752066   -1.447508433296788  -1.9743711404462285  -1.8154662624626563 -0.95670588736355466,   0.036253926229287109  -0.0010494724508204999    0.053207239185870933   -0.032639689237973071   0.0011530372072195089  -0.0060302870820703111 -3.8290728977188551e-05, -20.112664390563964   58.511157794952389  -14.001482543945313  -10.174492816925049  -1.1929080009460449   2.2064323463439943 -0.12482312774658202,  28.040185744694213    3.479577304948315   20.300812881578306  -8.3207751017886356   1.2007398850382358  -1.1037041613570309 -0.18684679598870799, 0.52744364738464355 -0.03113541379570961  0.22375719249248505,  -0.71746534109115601 0.00045380688970908523  0.0022659667301923037     0.6965903639793396,-0.0035157348029315472   0.033712532371282578  0.0052745123393833637, 0.0011626653140410781      1.100394606590271 -0.0018324302509427071,  0.25148698687553406  0.024907495826482773  0.062450099736452103  0.024907495826482773    0.2340034544467926 -0.021469831466674805  0.062450099736452103 -0.021469831466674805   0.18345679342746735,  -0.90986116452462795   -0.35884874961134017    -1.0578281504649567     0.5175333904370305     0.4604571914494926   -0.01093962502896062 2.7829125670564281e-06,0.023688208311796188
IIWA_7,1714666127.3704445, -0.4729062033280006   1.0308506689225527 0.020145661858679276  -1.4480020635692157  -1.9743635664154067  -1.8154966424271981 -0.95670606713246764,   0.034292976510159147  -0.0011727394982409588    0.072303448545785132   -0.045856962287484801   0.0012253909986498176  -0.0060394282473284324 -3.7823339700866225e-05, -19.045330108642577   57.403496021270755  -11.686096534729003  -10.761702880859374 -0.79673929214477535   1.8673406410217286 -0.15185701370239257,  28.040185744694213    3.479577304948315   20.300812881578306  -8.3207751017886356   1.2007398850382358  -1.1037041613570309 -0.18684679598870799, 0.52744364738464355 -0.03113541379570961  0.22375719249248505,  -0.71746534109115601 0.00045380688970908523  0.0022659667301923037     0.6965903639793396,-0.0035157348029315472   0.033712532371282578  0.0052745123393833637, 0.0011627577478066087     1.1004821062088013 -0.0018325760029256344,  0.25148698687553406  0.024907495826482773  0.062450099736452103  0.024907495826482773    0.2340034544467926 -0.021469831466674805  0.062450099736452103 -0.021469831466674805   0.18345679342746735,  -0.90986116452462795   -0.35884874961134017    -1.0578281504649567     0.5175333904370305     0.4604571914494926   -0.01093962502896062 2.7829125670564281e-06,0.023688208311796188
IIWA_7,1714666127.3754447,-0.47281823917003241   1.0308257418029265 0.021227657566335982  -1.4486275801919859  -1.9743463092978946  -1.8155423623087019 -0.95670606713246764,   0.030952947526854919  -0.0019352763836409971     0.10112258714289636    -0.06170623474079652   0.0016705974994040103  -0.0066603378580153069 -3.0258671760692981e-05, -16.588041610717774   57.079531837463378  -11.248550205230712  -10.543369903564454  -1.0388423919677734   1.8359679832458495 -0.17188211441040038,  27.809162620420135   3.4503164317605322   20.037030911601963  -8.1891502094612463   1.2387561319080238 -0.97478995978296967  -0.2057658663049366,  0.52737528085708618 -0.030733058229088783   0.22382302582263947,  -0.71724224090576172 0.00027631450211629272  0.0025058600585907698    0.69681936502456665,-0.0055719967931509018   0.043056175112724304  0.0068633607588708401, 0.0012007176410406828     1.1005662679672241 -0.0018816194497048855,  0.2514670193195343 0.024883326143026352 0.062469121068716049 0.024883326143026352  0.23405994474887848 -0.02140919491648674 0.062469121068716049 -0.02140919491648674   0.1834237277507782,  -0.90853875060048495   -0.35749004657059658    -1.0552586870247183    0.51626307768426472     0.4608769714451455 -0.0091365502150608791 3.1684947998655844e-06,0.030350521206855774
IIWA_7,1714666127.3804452,-0.47269126624878366   1.0307994963052165 0.022587567504941654  -1.4493770735510942   -1.974340365055528  -1.8155473956200985 -0.95670510840129286,  0.029841274871433815 -0.0025980410153136043    0.13529446725854397  -0.079344722156970984  0.0015742476941852572 -0.0055296027422747588 1.4142309582754985e-05, -15.776114776611328   56.529733699798584  -11.934362258911133  -10.284539680480957  -1.0256367683410645   1.9297522048950195 -0.16954585266113281,  27.419437424243142     3.41648489681481   19.355646992457807  -7.8856827811321049   1.3097101856363633 -0.65800023596091572 -0.26644762058183852, 0.52716642618179321 -0.02979668602347374  0.22403129935264587,   -0.71656078100204468 -6.8972178269177675e-05   0.0030158499721437693     0.69751816987991333,-0.01122757513076067 0.061705641448497772 0.012162294238805771, 0.0012279731454327703     1.1006484031677246 -0.0019425232894718647, 0.25142735242843628 0.024793634191155434 0.062520734965801239 0.024793634191155434  0.23420654237270355 -0.02125251479446888 0.062520734965801239 -0.02125251479446888  0.18332777917385101,  -0.90412961117181112   -0.35432282275493776    -1.0479670173371147    0.51326610881829993    0.46145619799631277 -0.0047966816012490199 4.1535690442628947e-06,0.044105548411607742
