DesiredFlux,0.83,HitTime,1714663913.9922926,DesiredPos, 0.50886076688766479 -0.29206585884094238   0.1984231024980545
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714663913.4212663, 0.60733840730894684   1.1014780805860249 -0.12429522751102338  -1.5261890643277469  -1.0476950723097103   1.7276797178167014 -0.50190820740878261,  2.611900181436585e-06  6.9989890237670111e-06   9.139806218009937e-08 -1.6565650540584159e-06 -6.1771830598374932e-06 -2.2143110715403813e-05  2.3142945152114128e-06,-1.4943311843872071   66.18009587860108  4.8971017494201661 -12.348277976989745  1.7044058227539063 -2.0492353057861328 0.03637893295288086, -0.37973216393667275  0.098925985182920298  -0.74339974575902945    1.4901702261186187  -0.23603702322639242  0.022861973061194876 -0.028727545949765683, 0.50084733963012695 0.053579211235046387    0.201414555311203, 0.50829589366912842 -0.49804562330245972  0.50168877840042114  0.49182745814323425,-1.5741672143576579e-07  1.0618173291732091e-06 -4.1855364543152973e-06, 0.0034708632156252861    -0.9083220362663269 -0.0012956778518855572,   0.2588290274143219 -0.013620492070913315  0.058802384883165359 -0.013620492070913315    0.2359326034784317  0.027631999924778938  0.058802384883165359  0.027631999924778938   0.17089498043060303,  0.48902550585072646  -0.57036667399845697   0.94870364051580225    0.5133344106180715 -0.031568343578314284  0.043961740672671112                     0,3.9483702494180761e-06
IIWA_14,1714663913.4262559, 0.60733840730894684   1.1014778409305019 -0.12429516762441342  -1.5261890643277469  -1.0476950723097103   1.7276798375899212 -0.50190844706430549, 2.0895201451492682e-06 -3.9870297002751255e-06  2.4685828482520978e-06 -1.3252520432467327e-06 -4.9417464478699952e-06  -1.292355978085813e-05 -7.7347853026787126e-06, -1.4917591857910157   66.208387863159189   4.8957574996948239   -12.35096647644043   1.7052861976623535   -2.047566547393799 0.038381443023681641,  -32.760174567539636    6.0876647465849967   -22.830122341828247   -13.213954613094081   0.81081629777496445    1.1669841987263634 -0.028739220199855569,0.50084739923477173 0.05357920378446579 0.20141446590423584, 0.50829595327377319 -0.49804556369781494  0.50168883800506592   0.4918273389339447, 2.1144364836800378e-06  4.9342884267389309e-07 -7.0520900408155285e-06, 0.0034708450548350811   -0.90832209587097168 -0.0012957712169736624,  0.25882905721664429 -0.013620469719171524  0.058802381157875061 -0.013620469719171524    0.2359326034784317  0.027631986886262894  0.058802381157875061  0.027631986886262894   0.17089496552944183,    0.48902468039901947    -0.57036640507845959     0.94870291831128384     0.51333409985776512   -0.031567955611322418    0.043962179054446437 -8.8817841970012523e-13,6.7424657572701108e-06
IIWA_14,1714663913.4312487, 0.60733840730894684   1.1014779607037217  -0.1242951076287204  -1.5261890643277469  -1.0476950723097103   1.7276801372411372 -0.50190808752647964, 1.6716161161194145e-06  1.6013050312448209e-06   4.374693999590801e-06 -1.0602016345973861e-06 -3.9533971582959967e-06  1.6472008178117997e-06  8.1936847916469015e-06, -1.4943311843872071   66.203243865966797   4.8876920013427734  -12.354999225616455   1.7044058227539063  -2.0489015541076658 0.037380187988281251,  -32.760201807431017    6.0877633988827835   -22.830124257603511   -13.213985155711688   0.81083300043950579    1.1669312114741401 -0.028735107285920207, 0.50084739923477173 0.053579244762659073  0.20141458511352539, 0.50829601287841797 -0.49804556369781494  0.50168877840042114   0.4918273389339447,  2.156693653887487e-06  2.0600177776941564e-06 -9.5231365548897884e-07, 0.0034708925522863865   -0.90832209587097168 -0.0012957662111148238,   0.2588290274143219 -0.013620487414300442  0.058802392333745956 -0.013620487414300442    0.2359326034784317  0.027632003650069237  0.058802392333745956  0.027632003650069237   0.17089499533176422,   0.48902536626993509   -0.57036679435551463    0.94870373303379552    0.51333446352419543  -0.031568060722797497   0.043962274611786256 2.6645352591003757e-12,2.8608151296793949e-06
IIWA_14,1714663913.4362493, 0.60733157630842061   1.1014807171240262  -0.1243106272055122  -1.5262065612534981    -1.04769325070957   1.7276857698549657 -0.50190820740878261,-0.00027190272815633029  0.00011153785620301815 -0.00061728331647234263 -0.00070072519135360356  6.9701287884713737e-05  0.00022662231379287718  1.7596557143754918e-06, -1.3811632461547851   66.138943901062021   5.1121817054748533  -12.083460781097411   1.6912001991271972   -2.063920379638672 0.038047691345214844,  -32.760170375711731    6.0877554661147819   -22.830071853246015   -13.213957734303513   0.81082658829566834    1.1668579688658114 -0.028775495687958494,0.50084733963012695 0.05357925221323967  0.2014145702123642, 0.50829583406448364 -0.49804559350013733  0.50168889760971069  0.49182739853858948,-4.8093772875290597e-07  1.9788571989920456e-06 -9.6891619705274934e-07, 0.0034708683378994465   -0.90832209587097168 -0.0012956926366314292,  0.25882905721664429 -0.013620490208268166  0.058802377432584763 -0.013620490208268166    0.2359326034784317  0.027632018551230431  0.058802377432584763  0.027632018551230431   0.17089498043060303,    0.48902545218076909    -0.57036708628288579     0.94870414049985641     0.51333475195836087   -0.031568042519580786    0.043961744732534669 -1.7763568394002505e-12,2.0607330952771008e-06
IIWA_14,1714663913.4412513, 0.60719699342438394   1.1015183475135299 -0.12469921570957325   -1.526599464102387  -1.0476752263453188   1.7277642065877965 -0.50190820740878261,-0.0056008375439919201  0.0015944458651133461  -0.016037366815619958  -0.016276694108640157 0.00077673560035315615  0.0033187671642667454 1.4077245715003936e-06,  6.3451205368041999   62.581869842529301   11.414024417877197  -5.2963439178466798   1.2871081161499023  -2.6880360183715819 0.092115463256835936,  -32.742821420581258    6.0816314273350143   -22.815244776867605   -13.202173992653751   0.80789007027515691    1.1608580798828945 -0.026964361174222788, 0.50084251165390015 0.053566686809062958  0.20141623914241791,0.50828683376312256 -0.4980417788028717 0.50168800354003906 0.49184143543243408,-0.00019351835362613201 -0.00050109950825572014  6.5836116846185178e-05,0.0034708026796579361  -0.90832209587097168 -0.001295638969168067, 0.25882956385612488 -0.01361966785043478 0.058802384883165359 -0.01361966785043478  0.23593418300151825 0.027630047872662544 0.058802384883165359 0.027630047872662544  0.17089292407035828,   0.48898937569141765   -0.57031323321687921    0.94863033599690283    0.51328365712155488  -0.031578524762210236   0.043902572207876744 8.8817841970012523e-13,0.0004945184919051826
IIWA_14,1714663913.4462945, 0.60714528150030889   1.1014989331254292 -0.12511572740908772  -1.5269108142603149    -1.04768471796939   1.7277560573182698 -0.50190850695091549, -0.0065491469981954781  0.00049898116806213269   -0.029490361433074708   -0.025475361604029585  0.00024172351743627601   0.0023290429503435121 -1.0855505657820881e-05,  10.753526130676271   61.491342437744144   13.778559684753418  -5.0866409606933596   0.8891786575317383  -2.4393910179138185 0.027367637634277343, -32.364253749887482   5.9617164030938294  -22.474570530725611  -12.955620952037792  0.75231318442148098   1.0343013133167365 0.007999842541484177, 0.50075030326843262 0.053282700479030609  0.20146584510803223, 0.50808727741241455 -0.49796071648597717  0.50168722867965698  0.49213045835494995,-0.0038463040255010128  -0.011758270673453808  0.0020393109880387783, 0.0034708215389400721   -0.90832215547561646 -0.0012956977589055896,  0.25883665680885315 -0.013599203899502754  0.058806482702493668 -0.013599203899502754   0.23597055673599243  0.027582740411162376  0.058806482702493668  0.027582740411162376    0.1708504855632782,  0.48810395555598518  -0.56905247648852963   0.94684523862564873   0.51208196180141385 -0.031760065365205037  0.042637275294410415                     0,0.011456932872533798
IIWA_14,1714663913.4512918, 0.60710771099741512   1.1014968957807767 -0.12568593683860668  -1.5273704691899417  -1.0476826087389888   1.7277833813203742 -0.50190700891300188,-0.0067421377143071408 0.00031769114834814539  -0.046400666327218329  -0.038766486468293289 0.00027774802999806141  0.0029561944444539499 5.1237112017957922e-05,  13.629020561218262   61.949158187866217     14.1092451171875   -5.687520587921143    1.418283977508545  -2.4881187629699708 0.034042671203613283, -32.148143263109944   5.9209823945188518  -22.231998922114251  -12.832241745250515  0.73337615802249889  0.95822722845931818 0.020323559803674254, 0.50070458650588989 0.053052876144647598  0.20153878629207611, 0.50791901350021362 -0.49790522456169128  0.50172668695449829  0.49232003092765808,-0.0049127722159028053  -0.018596846610307693  0.0045535867102444172, 0.0034708727616816759   -0.90832251310348511 -0.0012957006692886353,  0.25883135199546814 -0.013579666614532471  0.058818936347961426 -0.013579666614532471     0.236002117395401  0.027538491412997246  0.058818936347961426  0.027538491412997246   0.17082525789737701,    0.48727235186696305    -0.56794729088061047     0.94515481926293887     0.51102378389966674   -0.031813050605400406    0.041686925096762195 -8.8817841970012523e-13,0.018061449751257896
IIWA_14,1714663913.4562492, 0.60708362272666061   1.1014968358941668 -0.12643872592475836  -1.5280274443907313  -1.0476819376598914   1.7277893134763356 -0.50190778787526369,-0.0063572410016260166 0.00025175745428278388  -0.067232096507841579  -0.057292197206221307 0.00024904158789456666  0.0026022417940168088 9.8311991421723514e-06,  14.621812019348145   61.632802360534669   13.486857494354249  -6.2211877288818362   1.1753005027770995  -2.3469418029785154 0.052065261840820311, -31.876667371145583   5.8452517345111366  -21.924277753256057  -12.650523005426583  0.70026493487647368  0.84895589284632678 0.045779629632557994, 0.50061905384063721 0.052745748311281204  0.20163139700889587, 0.5076860785484314 -0.4978032112121582 0.50178205966949463 0.49260690808296204,-0.0073603647761046886  -0.027156224474310875  0.0073585123755037785,0.0034753130748867989  -0.90833467245101929 -0.001297300448641181,  0.25883027911186218 -0.013550951145589352  0.058831349015235901 -0.013550951145589352   0.23604600131511688  0.027479644864797592  0.058831349015235901  0.027479644864797592   0.17078378796577454,     0.4860609736070387    -0.56649387767659931     0.94283189976973603     0.50961341844413255    -0.03184993221072574    0.040298727554954894 -8.8817841970012523e-13,0.026573339477181435
IIWA_14,1714663913.4612491, 0.60706468764960575    1.101492401667036 -0.12741400216630491  -1.5289030718222167  -1.0476872106486277   1.7277943468968153 -0.50190700891300188, -0.0058431958834952212  2.4036878193756605e-05   -0.092796726868135573   -0.080858855024392773 -1.1686279136972796e-05   0.0022831302544034371   3.902344978593187e-05,  14.076548316955567   60.748034843444827   13.337645774841308  -5.4563096351623539  0.94992452621459955  -2.2378050041198732 0.068085342407226565, -31.542826666376229   5.7333536325917587  -21.548530506123054  -12.409584524322259  0.65516796522021625  0.71417433189157642 0.085906583248006374, 0.50049233436584473 0.052342936396598816  0.20174291729927063, 0.50739878416061401 -0.49764716625213623  0.50185233354568481  0.49298885464668274,-0.010976080782711506 -0.037826027721166611  0.010369343683123589, 0.0035627116449177265   -0.90834468603134155 -0.0013365960912778974,  0.25883439183235168 -0.013509227894246578  0.058843947947025299 -0.013509227894246578   0.23610468208789825  0.027400780469179153  0.058843947947025299  0.027400780469179153   0.17072311043739319,  0.48432310008550417  -0.56456955510775231   0.93965636620119142   0.50771613630917756 -0.031844181507700853  0.038496944585020287                     0,0.037213891744613647
IIWA_14,1714663913.4662483,  0.6070349067693297   1.1014859302043356 -0.12860607306280794  -1.5299322171057108    -1.04768471796939   1.7277846995893749 -0.50190682914408891, -0.0058657919178383179 -0.00023962900546043068    -0.12192021735462959    -0.10585289535927704  9.0358146197889818e-05     0.00144061190590421  3.8409516347860883e-05,  13.394968688964845   60.354519058227545    14.04203263092041  -5.0369037208557126    1.226362247467041  -2.4951275482177735 0.063079067230224606,-31.128871060914904  5.5909070757581096 -21.081748217682346 -12.103854959326821 0.59887663216925568 0.54158142472086379 0.13785080860792553, 0.50032162666320801 0.051822904497385025  0.20188796520233154, 0.50703132152557373 -0.49743467569351196  0.50194591283798218  0.49348586797714233,-0.015645170584321022 -0.051042038947343826  0.014138638041913509, 0.0036144247278571129   -0.90835899114608765 -0.0013807205250486732, 0.25884190201759338 -0.01345374807715416 0.058858700096607208 -0.01345374807715416  0.23618064820766449  0.02729865163564682 0.058858700096607208  0.02729865163564682  0.17064240574836731,   0.48202316330137052   -0.56209026779807658     0.9355194109339493    0.50525752121810541  -0.031807564158548018    0.03616400558126287 1.7763568394002505e-12,0.050459444522857666
