DesiredFlux,1.13,HitTime,1714664460.7423077,DesiredPos, 0.51774871349334717 -0.29063445329666138  0.19882439076900482
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714664460.1805742, 0.57251248942359201   1.2114396357353259 -0.10139954557950395  -1.3629837549975039  -1.0554957480976703   1.8289737423167927 -0.55750404539319609,  0.0020221725297177727 -5.2922048079622134e-06 -1.1307510938701537e-05  2.2715123321925878e-05  2.1618289762842078e-06  2.6573833870372483e-05  1.2484428014360876e-05,-2.5437066116333011  69.101886283874521  4.5435640716552737  -13.38335026550293   1.292390365600586 -2.2251224403381347 0.23262491989135742,   0.93922404629115763    -5.3744686680557816   -0.84970303322632423     1.0138590060631227   -0.90292383490204942 3.8344125339831447e-05    0.90592539648425796,  0.5243801474571228 0.065018080174922943  0.18107447028160095, 0.48664289712905884 -0.49396377801895142  0.49635037779808044  0.52231675386428833,-0.00012036181578878313  0.00098292320035398006  3.8080943340901285e-06,-0.0099306069314479828    -1.2354973554611206   0.026576712727546692,  0.25469881296157837 -0.018464131280779839  0.061032172292470932 -0.018464131280779839   0.23412121832370758  0.033169522881507874  0.061032172292470932  0.033169522881507874   0.17418217658996582,   0.67344698248028578   -0.65856854045165392     1.1886247523333893     0.6848413640572204   -0.07569100086257663  -0.079373015236861022 4.4408920985006262e-12,0.00090547598665580153
IIWA_14,1714664460.1855736, 0.57252531257577255   1.2114397556176291   -0.101399485692894  -1.3629836351152009   -1.055496035727931   1.8289738620900127 -0.55750416516641599,  0.0021306641109958618  5.6152828145404273e-07 -6.6505443530083233e-06  2.2967390776482732e-05 -9.7757472477808884e-06  2.6049995896644693e-05  5.1966136155828877e-06,-2.4665466537475589   69.11474627685547  4.5354985733032223 -13.373940517425536  1.2941511154174805 -2.2307962188720705 0.23629618835449218,   0.93703803994443591    -5.3742769011057554    -0.8506695465149523      1.013494875333802   -0.90267141314054999 0.00031709201946816812    0.90598171845629016,  0.5243794322013855 0.065023571252822876  0.18107454478740692,  0.4866454005241394 -0.49396127462387085  0.49635306000709534  0.52231425046920776,-0.00012553884880617261   0.0010059494525194168  6.0567008404177614e-06,-0.0099297808483242989    -1.2354971170425415   0.026576409116387367, 0.25469920039176941 -0.01846393384039402 0.061031825840473175 -0.01846393384039402  0.23412083089351654 0.033170171082019806 0.061031825840473175 0.033170171082019806  0.17418217658996582,    0.67344197246121951    -0.65859419860814228      1.1886382940717866     0.68486258642952436   -0.075676999561125058   -0.079362735839083598 -1.7763568394002505e-12,0.00092696223873645067
IIWA_14,1714664460.1905482, 0.57253921423234777    1.211439695731019   -0.101399485692894  -1.3629834553462881  -1.0554958439162463   1.8289738620900127 -0.55750404539319609,  0.0022605975518055479 -1.9462417794510105e-06 -5.3204354824066593e-06  2.5564669135860678e-05 -1.4813040791746393e-07  2.0839996717315756e-05  8.9482196883721249e-06,-2.3610947113037111  69.122462272644043  4.5516295700073242 -13.387383014678955   1.299433364868164 -2.2247886886596682  0.2336261749267578, -43.616588190313351   5.9021700165354494  -27.108210555812853  -14.187985420202011 -0.90021634463109657  -2.9299740967708141  0.90595849372670978, 0.52437877655029297 0.065029993653297424  0.18107472360134125,  0.4866480827331543 -0.49395853281021118  0.49635636806488037  0.52231115102767944,-0.00012631478602997959   0.0010617241496220231  1.2019630048598628e-05,-0.0099289854988455772     -1.235496997833252    0.02657625637948513,  0.25469958782196045 -0.018463730812072754  0.061031471937894821 -0.018463730812072754   0.23412036895751953  0.033170938491821289  0.061031471937894821  0.033170938491821289   0.17418225109577179,  0.67343726628976697  -0.65862423477991427    1.1886548494732807   0.68488793556120697 -0.075660815772593537 -0.079350995080496034                     0,0.0009777178056538105
IIWA_14,1714664460.1955485, 0.57255455404022659   1.2114397556176291   -0.101399245928288  -1.3629837549975039  -1.0554958439162463   1.8289740418589255 -0.55750404539319609,  0.0024220703565973386  8.3847098105343632e-07  5.3342358541791775e-06  8.4656866750720225e-06 -1.1850432633397115e-07  2.3862753888527095e-05  7.1585757506977001e-06,-2.2222067871093749  69.137894264221188  4.5852358131408693 -13.404858261108398  1.2959118652343751 -2.2251224403381347  0.2336261749267578, -43.619499970500627   5.9025219269629021  -27.109279045189005  -14.188906589667869 -0.89948177093235004  -2.9292430791958979  0.90606864006799437, 0.52437800168991089 0.065036751329898834  0.18107472360134125, 0.48665127158164978 -0.49395528435707092  0.49635979533195496  0.52230799198150635,-0.00013236982340458781   0.0011195780243724585  9.5208442871808074e-06,-0.0099277002736926079    -1.2354967594146729   0.026575574651360512,  0.25470006465911865 -0.018463460728526115    0.0610310398042202 -0.018463460728526115   0.23411989212036133  0.033171739429235458    0.0610310398042202  0.033171739429235458   0.17418225109577179,  0.67343009288656219  -0.65865577510493267    1.1886710540514045   0.68491404286596946  -0.07564289435446625 -0.079338061609313115                     0,0.0010308766504749656
IIWA_14,1714664460.2005529, 0.57256468076779587   1.2114450885802415 -0.10141422630742403  -1.3630008923854293  -1.0554958439162463   1.8289604397444832 -0.55750392551089312,  0.0023427253880491427  0.00021398928128097219 -0.00059494777675769264 -0.00067872296767651898 -9.4803461067176922e-08 -0.00052499437458301574   1.052215271950019e-05,-1.9598629302978516  68.996434341430671  4.8648397560119632 -13.109123321533204  1.2985529899597168  -2.192081024169922  0.2356286849975586, -43.622861277349415   5.9030389810682671  -27.110540498760898  -14.190050557182088 -0.89877390796013545  -2.9284074877983812  0.90613785538817715, 0.52437710762023926 0.065044082701206207  0.18107473850250244, 0.48665466904640198 -0.49395206570625305  0.49636340141296387   0.5223044753074646,-0.00014107735478319228   0.0011888239532709122  8.5284909800975583e-06,-0.0099264560267329216    -1.2354966402053833   0.026574602350592613,  0.25470054149627686 -0.018463194370269775  0.061030592769384384 -0.018463194370269775   0.23411937057971954  0.033172588795423508  0.061030592769384384  0.033172588795423508   0.17418228089809418,    0.67342335361164629     -0.6586896685583099      1.1886885968381833     0.68494217324399642   -0.075624302787957731   -0.079323780934892341 -8.8817841970012523e-13,0.0010946814436465502
IIWA_14,1714664460.2055788, 0.57243123638384696    1.211535809158514 -0.10180467227814151  -1.3633717443082161   -1.055496035727931   1.8286882780096658 -0.55750392551089312,-0.0034635950475171168  0.0038000145559259598  -0.016093797050105427  -0.015377055285610867 -7.748310159160988e-06  -0.011306464892361076 8.4177221756001529e-06, 6.6486163711547857  62.280946006774904  10.509344352722168 -6.5128899192810055  1.1515303802490233 -1.7435187683105469 0.24263747024536134, -43.626895825767619   5.9034444501357202  -27.112176787711114   -14.19118379844946 -0.89799033235680492  -2.9275396091487105  0.90632112432162437, 0.52437597513198853 0.065052144229412079  0.18107466399669647, 0.48665851354598999 -0.49394819140434265  0.49636733531951904   0.5223008394241333,-0.00015861025894992054   0.0012735662749037147  3.9614669731236063e-06,-0.0099251139909029007    -1.2354962825775146   0.026574116200208664,    0.254701167345047 -0.018462870270013809  0.061030048877000809 -0.018462870270013809   0.23411880433559418  0.033173542469739914  0.061030048877000809  0.033173542469739914    0.1741822361946106,    0.67341479845328678    -0.65872736729755133      1.1887079640766629     0.68497313217630307   -0.075603327313267243   -0.079308472565209343 -2.6645352591003757e-12,0.0011735142907127738
IIWA_14,1714664460.2105725, 0.57240726788631235   1.2115343111206005 -0.10225366128254323  -1.3636691328138757  -1.0555160733294744   1.8281350263082423 -0.55750296677971833, -0.0037296159393980914   0.0029800901282009944   -0.030834597816153376   -0.024197184454874086 -0.00080770270986106651    -0.03117523997082915  4.5083424731789495e-05, 10.360010345458985  61.815414260864259  12.599652675628661 -6.2628594703674318 0.68669242858886714  -2.188409755706787 0.24397247695922852, -43.616140249265044   5.8962414199680522  -27.103606918981118  -14.183515497371181 -0.89937145270521246  -2.9270815116884803  0.90858534221854015, 0.52437281608581543 0.065048746764659882  0.18107110261917114,0.48666077852249146 -0.4939398467540741 0.49637016654014587 0.52230393886566162,-0.00025399395963177085  0.00088287598919123411 -0.00013950341963209212,-0.0099235605448484421    -1.2354961633682251   0.026573516428470612,  0.25470271706581116 -0.018460754305124283  0.061029408127069473 -0.018460754305124283   0.23412017524242401  0.033171981573104858  0.061029408127069473  0.033171981573104858   0.17417974770069122,   0.67332961219079834   -0.65869887917724412     1.1886147963107163    0.68493370554278954  -0.075578857436475744   -0.07931539031513779 2.6645352591003757e-12,0.00084964896086603403
IIWA_14,1714664460.2155797, 0.57239654207447732   1.2115412620034296 -0.10287546275383425  -1.3641154253936663  -1.0555151146201163   1.8272640727594105 -0.55750254735528249, -0.0034127252249197874   0.0026621074157245229   -0.049539737104563157   -0.037209450755521817 -0.00060781379356392748   -0.059778333929936159  5.2843717219394825e-05, 12.785405021667481  61.128690635681153  13.270433288574219  -7.328849502563477  1.2721417427062989 -1.3363417205810546 0.24263747024536134, -43.259651508547648    5.745295385217009  -26.835894992981078    -13.9872983961475 -0.94385617275667633  -2.9530637609658794  0.94871915938425988, 0.52433556318283081 0.064771391451358795  0.18102437257766724,  0.4865863025188446 -0.49385246634483337  0.49635672569274902   0.5224686861038208,-0.0016953469021245837  -0.010388282127678394 -0.0019783240277320147,-0.009921656921505928   -1.2354967594146729  0.026573071256279945,  0.25471580028533936 -0.018422776833176613  0.061033140867948532 -0.018422776833176613    0.2341664731502533  0.033112876117229462  0.061033140867948532  0.033112876117229462   0.17412999272346497,    0.67167838141113378      -0.657130081954449      1.1860345679144402     0.68330035702679481   -0.075534601406523905   -0.079941339809153078 -2.6645352591003757e-12,0.009792759083211422
IIWA_14,1714664460.2205739, 0.57238593603586219   1.2115375468519505  -0.1037012957235942  -1.3647924741715984  -1.0555204836019614   1.8261340801700747 -0.55750206793515356, -0.0031544217245412383   0.0019810798734147274   -0.072665108474048584   -0.056849511721704521 -0.00070101030865557436    -0.09302237071737976  6.1451778932688659e-05, 14.163996269226075  60.884350769042975  13.064763080596924 -7.2697025146484373 0.97193389892578119 -1.5242439155578613 0.25098126220703126, -43.092991503964733   5.6997299406658106  -26.670200427022355  -13.934268383476672 -0.95017841145655157  -2.9007305721455454  0.96109837693737843, 0.52437025308609009 0.064551584422588348  0.18098744750022888, 0.48660236597061157 -0.49381661415100098  0.49638620018959045  0.52245962619781494,2.7295072868582793e-05  -0.017104564234614372 -0.0030544751789420843,-0.0099185612052679062    -1.2355176210403442   0.026582781225442886,  0.25471347570419312 -0.018381627276539803  0.061046730726957321 -0.018381627276539803   0.23420508205890656  0.033047936856746674  0.061046730726957321  0.033047936856746674   0.17410352826118469,   0.66995684167192593   -0.65560295851341266     1.1832815696548593    0.68170856805149782  -0.075327814206715971  -0.079913669272180243 8.8817841970012523e-13,0.015886861830949783
IIWA_14,1714664460.2255595, 0.57237820619077129   1.2115380262720794 -0.10474158635244218  -1.3656691801074785  -1.0555235515417205   1.8246249666152055 -0.55750188816624058,  -0.002832731183268912   0.0016040407038889549   -0.099743711933158341   -0.080547846812566548 -0.00068352583728954405    -0.13478243876867452  5.6352179665266312e-05, 14.014820350646973  60.627150909423833  12.802634384155274 -5.9321740379333496 0.86452816009521483 -1.5345902175903321 0.24864500045776367, -42.888407864760225   5.6162829374080685  -26.481009262370065  -13.856561743167326 -0.97093549997642337  -2.8123103494226975  0.98658990668989532,0.52441215515136719 0.06425052136182785 0.18090502917766571,0.48666873574256897 -0.4937642514705658 0.49640893936157227 0.52242565155029297, 0.0016881891060620546  -0.025730745866894722 -0.0057289698161184788,-0.0098830526694655418    -1.2355326414108276   0.026707537472248077, 0.25471574068069458 -0.01832004077732563 0.061062179505825043 -0.01832004077732563  0.23425884544849396 0.032953541725873947 0.061062179505825043 0.032953541725873947  0.17406244575977325,    0.66740502097406562    -0.65342249023547794      1.1792658062566019     0.67940678791611475   -0.075028892150719173   -0.079708847921189374 -2.6645352591003757e-12,0.024151710793375969
