DesiredFlux,0.59,HitTime,1714663281.3024955,DesiredPos,  0.5248447060585022 -0.31481534242630005  0.19835980236530304
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714663280.6273165, 0.57965646566370121   1.0861611625912253 -0.17028139488044358  -1.5332392040314535  -1.0686703420453387   1.6617076382477876 -0.54171962274137575, 0.00022601609572293183  5.5440711049265763e-06 -6.7876105198590533e-05 -3.8847942331621476e-05 -1.3872726950176696e-05 -0.00015735773798840468 -2.4654893010042534e-06,-2.0035869064331058  65.894604034423836  6.2386629753112794 -12.884633617401123  1.6912001991271972 -2.0902867622375489 0.15853204727172851,   1.0583763517028253    1.6057399451418366   0.14655074578130689    1.4415329163400923 -0.033935243102920926  0.053261084718304791   0.31014113439292262, 0.51772946119308472 0.023853754624724388  0.20706957578659058,0.51491802930831909 -0.5000687837600708 0.49584808945655823 0.48879984021186829, 2.3680764570599422e-05  0.00015685937250964344 -4.1110830352408811e-05,  0.002985895611345768   -0.64631122350692749 -0.0036552937235683203,  0.25406506657600403 -0.010941172949969769  0.063127860426902771 -0.010941172949969769   0.23868004977703094  0.020086796954274178  0.063127860426902771  0.020086796954274178   0.17317230999469757,  0.38388019119484085  -0.38970813952055039     0.702816791830152   0.35012889995211793 -0.039665361839524849  0.067101102124489387                     0,0.0001495950564276427
IIWA_14,1714663280.6322172, 0.57965646566370121   1.0861609228266194 -0.17028139488044358  -1.5332391441448436  -1.0686703420453387   1.6617071589367418 -0.54171944297246277, 0.00018081287657834548 -5.1553273539427977e-06  -5.430088415887243e-05 -2.8682889469564721e-05 -1.1098181560141358e-05 -0.00014505863222041943  5.2183650783119788e-06,-2.0267348937988281  65.868884048461922  6.1983354835510251 -12.875223869323731  1.6929609489440918 -2.0869492454528809  0.1598670539855957,-24.344680340338947  4.3267262946848302 -17.969581606321807  -9.304207058238962 0.38272250214886994  1.8978021813629822 0.31014723184324999, 0.51772922277450562 0.023853544145822525  0.20706966519355774,0.51491791009902954 -0.5000685453414917 0.49584823846817017 0.48880007863044739, 1.1279834325250704e-05  0.00011708960664691404 -2.9102822736604139e-05, 0.0029859945643693209   -0.64631122350692749 -0.0036553044337779284,  0.25406509637832642 -0.010941124521195889   0.06312783807516098 -0.010941124521195889   0.23868006467819214  0.020086757838726044   0.06312783807516098  0.020086757838726044    0.1731722503900528,  0.38387841927089994  -0.38970739942634225   0.70281479664835445   0.35012786656274386 -0.039664775219883097  0.067100041323264747                     0,0.00011061743862228468
IIWA_14,1714663280.6372163,  0.5796567053192242   1.0861610427089223 -0.17028169453165953  -1.5332391441448436  -1.0686703420453387   1.6617070390544388 -0.54171944297246277, 0.00015423652218196513  6.7103023578779114e-07 -5.5426755965155357e-05 -2.2946311575651778e-05  -8.878545248113087e-06 -0.00012084219789527758   4.174692062649583e-06,-2.0241628952026369   65.83287606811524  6.1862372360229489 -12.856404373168946  1.6912001991271972 -2.0866154937744139 0.15753079223632813,-24.343501390760583  4.3266077115890633 -17.968693832739916 -9.3037243885482575 0.38265569885907064  1.8974585902799215 0.31015039567908831, 0.51772922277450562 0.023853357881307602   0.2070697546005249, 0.51491779088973999 -0.50006836652755737  0.49584832787513733   0.4888002872467041, 8.1167554526473396e-06  8.6238702351693064e-05 -1.9950664864154533e-05,  0.002986016683280468   -0.64631116390228271 -0.0036552757956087589,  0.25406509637832642 -0.010941090062260628  0.063127860426902771 -0.010941090062260628   0.23868009448051453  0.020086705684661865  0.063127860426902771  0.020086705684661865    0.1731722354888916,  0.38387709556619853  -0.38970641458213606   0.70281266797689312   0.35012693097868919 -0.039664508629577711  0.067098951197053225                     0,8.1141006376128644e-05
IIWA_14,1714663280.642303, 0.57964921523873925   1.0861621812090099 -0.17029805295732309   -1.533251727532418  -1.0686696709662413   1.6617151883239656 -0.54171962274137575,-0.00017621400165246482  4.6076827690173206e-05 -0.00069867843131428647 -0.00052169255223539904  1.9740327697627047e-05  0.00022929702275366212 -3.8510028689957151e-06,-1.8827029724121094  65.753144111633304  6.4349234352111813 -12.639980167388916  1.6832768249511718 -2.1079756011962889 0.15919955062866212,-24.342832866246596   4.326709193168238 -17.968385778659517 -9.3036547450369778 0.38265136431282626   1.897368608545086 0.31004401198623688, 0.51772934198379517 0.023853393271565437   0.2070697695016861, 0.51491785049438477 -0.50006860494613647  0.49584835767745972  0.48879998922348022,1.0761797966551967e-05 7.0429297920782119e-05 -1.526495543657802e-05,  0.002986126346513629   -0.64631122350692749 -0.0036553184036165476,  0.25406506657600403 -0.010941090993583202  0.063127875328063965 -0.010941090993583202   0.23868009448051453   0.02008669450879097  0.063127875328063965   0.02008669450879097   0.17317226529121399,  0.38387715199217354  -0.38970621191847243   0.70281242654424148   0.35012672495771113 -0.039664559062124738  0.067100002383746471                     0,6.6513530327938497e-05
IIWA_14,1714663280.6473446, 0.57949455877755995   1.0861751241344104 -0.17074122957898336   -1.533522630993928  -1.0686690957057199   1.6618595382886625  -0.5417201020524216, -0.0063272296484936609  0.00055457847817412878   -0.018286007611462166   -0.011253492502189976  3.8802683015718147e-05   0.0059574362060797904 -2.2253244129333148e-05, 6.5251604385375979   63.68011324310303  12.738110397338867 -7.1863590316772461  1.3821886062622071 -2.9543698577880861 0.24163621520996093,-24.342296292976723  4.3266492509657049  -17.96801744203659 -9.3034463564711753 0.38262438701626511  1.8972172411131696 0.31003171854813927, 0.51772934198379517 0.023853402584791183   0.2070697695016861, 0.51491785049438477 -0.50006848573684692  0.49584844708442688  0.48879998922348022,9.3520975497085601e-06 5.6698034313740209e-05 -1.250872082891874e-05, 0.0029862935189157724   -0.64631116390228271 -0.0036554383113980293,  0.25406503677368164 -0.010941068641841412  0.063127882778644562 -0.010941068641841412   0.23868010938167572  0.020086675882339478  0.063127882778644562  0.020086675882339478   0.17317226529121399,  0.38387634642500501  -0.38970597358378711   0.70281146028428054    0.3501264533030124 -0.039664189046106912   0.06709988271680345                     0,5.368447455111891e-05
IIWA_14,1714663280.6522183, 0.57943104242817212    1.086158226402008  -0.1712371967381964  -1.5337133599200874  -1.0686733141665221   1.6619760249445161 -0.54172387709051051, -0.0076024376943084363 -0.00023224651355798485   -0.034467492457691554   -0.016631951048125773 -0.00013769628567662486   0.0094254151990086493 -0.00016880411885964887,  11.658869636535645   63.245445480346682   15.809721019744874  -7.8584838943481445   1.3020744895935059  -2.5982568168640134 0.079432899475097657,-24.323867339800579  4.3229462265397087 -17.951494263456407  -9.293222839208461 0.38046747102487832  1.8905702106356193 0.31091995628776881, 0.51772552728652954 0.023841092362999916  0.20707342028617859, 0.51490724086761475 -0.50006675720214844  0.49584841728210449  0.48881295323371887,-0.00014487150474451482 -0.00044703256571665406  0.00013646998559124768, 0.0029863151721656322   -0.64631122350692749 -0.0036555016413331032,  0.25406506657600403 -0.010940426960587502  0.063128158450126648 -0.010940426960587502   0.23868116736412048  0.020084794610738754  0.063128158450126648  0.020084794610738754   0.17317117750644684,  0.38385039740873594  -0.38966159874309625   0.70274897445443685   0.35008705129335738 -0.039675767219193858  0.067041712542348364                     0,0.00044668963528238237
IIWA_14,1714663280.6572175, 0.57939155435384582   1.0861633795957075 -0.17184359851499859  -1.5340372934655899  -1.0686690957057199   1.6622260158709286 -0.54172070135485351, -0.0076614731284987215  2.0330537135067046e-05   -0.051830065038240627   -0.026262902658601837   5.858140354789947e-05    0.017539969215703898 -8.0138688076515738e-06,  13.77048048400879  64.562308761596682  16.073193965911866  -8.224119819641114  1.5432972145080566 -2.9029720993041992 0.10780179214477539,-23.911786855189927  4.2580771877624022 -17.553231530789759 -9.0802955007343034  0.3405926754706961  1.7462652475173355 0.32436187367532626, 0.51765894889831543 0.023548543453216553  0.20717413723468781, 0.51465243101119995 -0.50003594160079956  0.49587094783782959  0.48908990621566772,-0.0027829185128211975  -0.012057280167937279  0.0041397642344236374, 0.0029862455558031797   -0.64631122350692749 -0.0036554841790348291,  0.25405785441398621 -0.010922985151410103  0.063139967620372772 -0.010922985151410103   0.23870736360549927  0.020036475732922554  0.063139967620372772  0.020036475732922554   0.17315217852592468,    0.38315445244396784    -0.38854918114150649     0.70112341687700308     0.34910056079606733   -0.039903540735686249    0.065718621474530892 -1.7763568394002505e-12,0.011911077424883842
IIWA_14,1714663280.6622176, 0.57936189335587274   1.0861651772848371  -0.1726227529811632  -1.5345104906230491  -1.0686732183479462   1.6625458149495993 -0.54172231916598701, -0.0073156184217221766  8.8171994890325674e-05   -0.072630230677176943     -0.0399382084252492 -0.00011804056621237877    0.026823938519392965 -7.1123540386241698e-05, 13.577580589294435  64.197084960937502   14.67786275100708 -8.4244130287170407    1.45525972366333 -2.6860335083007811 0.19123971176147461,-23.658175782977825  4.2525080249290745 -17.245043245618053 -8.9695742872490722 0.32744741180302095  1.6407779944419836 0.32168765291947066, 0.51762902736663818 0.023303018882870674  0.20730315148830414, 0.51440167427062988 -0.50001788139343262  0.49593809247016907  0.48930403590202332,-0.0034302312415093184  -0.019462129101157188  0.0084764901548624039, 0.0029862469527870417   -0.64631146192550659 -0.0036554858088493347, 0.25403782725334167 -0.01090613380074501 0.063159428536891937 -0.01090613380074501  0.23873147368431091 0.019991496577858925 0.063159428536891937 0.019991496577858925   0.1731477826833725,    0.38248637510829298    -0.38756277227314229     0.69957662222552841     0.34823441634390662    -0.04002283830928377     0.06454420199286659 -1.7763568394002505e-12,0.019628886133432388
IIWA_14,1714663280.6672223, 0.57932276492845536   1.0861636792469236 -0.17363440122982285   -1.535129296127596  -1.0686757110271838    1.662997919803048 -0.54172405685942349, -0.0074176318340728881  1.0616079372486808e-05    -0.09857011448812765   -0.056702786922073312 -0.00019413962247737107    0.039543344953462747 -0.00012640656976805584, 13.292088745117189  64.060769035339362  14.058163627624511 -7.2589485168457033  1.0722966384887695 -2.6640058975219727 0.19557848358154298,-23.371854787193048  4.2100569845090217 -16.895189314788603 -8.7989778542336037 0.30069650001220494   1.492036448515484 0.33388988394073055, 0.51754367351531982 0.023001888766884804  0.20746123790740967,0.51407313346862793 -0.4999469518661499 0.49602276086807251  0.4896358847618103,-0.0061688916757702827   -0.02760356105864048   0.013114115223288536,  0.002989473519846797   -0.64631760120391846 -0.0036590076051652431, 0.25402575731277466 -0.01088358648121357  0.06317535787820816 -0.01088358648121357  0.23876203596591949 0.019939903169870377  0.06317535787820816 0.019939903169870377   0.1731288731098175,  0.38159798956804991  -0.38644070539106679    0.6977224280690919   0.34721811308724426 -0.040119349270284488  0.062867014444023539                     0,0.02845882810652256
IIWA_14,1714663280.6722193,  0.5792681168151631   1.0861636792469236  -0.1748725514365724  -1.5358424772571182  -1.0686794500460404    1.663594194961364 -0.54172321801055179, -0.0081200299989485081  8.4928634979894468e-06    -0.12838209986048432   -0.073889474718547982 -0.00030487245224309896    0.055485682295408234 -6.7571300946518229e-05,  14.02768034362793  64.060769035339362  14.946712696075439 -6.7199043769836422  1.3135193634033202 -3.0107738914489746 0.15185701370239257,-23.024597770840863  4.1444570698156369 -16.472728425104805 -8.5767368498761236 0.26668070716616421  1.3070397632422537  0.3560419096895826, 0.51741725206375122 0.022615410387516022  0.20766222476959229, 0.51366168260574341 -0.49983099102973938  0.49613070487976074  0.49007651209831238,-0.010013146325945854 -0.037519972771406174  0.018549166619777679, 0.0030544663313776255   -0.64632254838943481 -0.0037467298097908497,  0.25401580333709717 -0.010851969011127949  0.063192464411258698 -0.010851969011127949   0.23880179226398468  0.019873585551977158  0.063192464411258698  0.019873585551977158   0.17309871315956116,  0.38036277443254107  -0.38501008009550475   0.69528818910757906   0.34589194838741122 -0.040193151557232909  0.060693225978347698                     0,0.039283446967601776
